B' U L U2 B'
B' R U L U2 B'
B' R' U L U2 B'
B' R2 U L U2 B'
B' U L U2 D B'
B' U L U2 D' B'
B' U L U2 D2 B'
B' U L U2 B' D
B' U L U2 B' D'
B' U L U2 B' D2
B' U L D U2 B'
B' U L D' U2 B'
B' U L D2 U2 B'
B' U L F U2 B'
B' U L F' U2 B'
B' U L F2 U2 B'
B' U L' F L2 U2
B' U F L U2 B'
B' U F' L U2 B'
B' U F2 L U2 B'
B' U' D2 B2 R' B
B' U' B2 D2 R' B
B' D2 U' B2 R' B
B' F U L U2 B'
R' B' U L U2 B'
R2 B' U L U2 B'
R B' U L U2 B'
F' B' U L U2 B'
B' F' U L U2 B'
F2 B' U L U2 B'
F B' U L U2 B'
B' F2 U L U2 B'
F' B' U L U2 D2 B'
F' B' U L U2 B' D
F' B' U L U2 B' D'
F' B' U L U2 B' D2
F' B' U L D U2 B'
F' B' U L D' U2 B'
F' B' U L D2 U2 B'
F' B' U L F U2 B'
F' B' U L F' U2 B'
F' B' U L F2 U2 B'
F' B' U L' F L2 U2
R' B' D2 U' B2 R' B
B' F' U F L U2 B'
B' F' U F' L U2 B'
B' F' U F2 L U2 B'
D' B' D2 U2 L B' U
F2 B' U L U2 D B'
F2 B' U L U2 D' B'
F2 B' U L U2 D2 B'
F2 B' U L U2 B' D
F2 B' U L U2 B' D'
F2 B' U L U2 B' D2
F2 B' U L D U2 B'
F2 B' U L D' U2 B'
F2 B' U L D2 U2 B'
F2 B' U L F U2 B'
F2 B' U L F' U2 B'
F2 B' U L F2 U2 B'
F2 B' U L' F L2 U2
F' B' U F L U2 B'
F' B' U F' L U2 B'
F' B' U F2 L U2 B'
F2 B' U F L U2 B'
F B' R2 U L U2 B'
F2 B' U F' L U2 B'
R' B' F U L U2 B'
F2 B' U F2 L U2 B'
B' F' U' D2 B2 R' B
B' F' U' B2 D2 R' B
F' B' U' D2 B2 R' B
R2 B' D2 U' B2 R' B
D2 B' F' R' U' B R2
F B' U L U2 D B'
F B' U L U2 D' B'
F B' U L U2 D2 B'
F B' U L U2 B' D
F B' U L U2 B' D'
F B' U L U2 B' D2
F B' U L D U2 B'
F B' U L D' U2 B'
F B' U L D2 U2 B'
F B' U L F U2 B'
F B' U L F' U2 B'
F B' U L F2 U2 B'
F B' U L' F L2 U2
R' B' F' U L U2 B'
F2 B' U' D2 B2 R' B
D2 B' F' U' R' B R2
F' B' U' B2 D2 R' B
F2 B' U' B2 D2 R' B
F B' U F L U2 B'
F B' U F' L U2 B'
F B' U F2 L U2 B'
R2 B' F U L U2 B'
R' B' F2 U L U2 B'
R B' D2 U' B2 R' B
F B' U' D2 B2 R' B
R2 B' F' U L U2 B'
U' B2 L B' R' D L2
U' B2 L B' D L2 R'
U' B2 L B' D R' L2
F B' U' B2 D2 R' B
D B' F' D2 R F' U'
R B' F U L U2 B'
R2 B' F2 U L U2 B'
R B' F' U L U2 B'
B' F' D2 U' B2 R' B
F' B' D2 U' B2 R' B
R B' F2 U L U2 B'
F2 B' D2 U' B2 R' B
F B' D2 U' B2 R' B
L B2 L' B' U' R' B2
B' F2 R U L U2 B'
B' F2 R' U L U2 B'
B' F2 R2 U L U2 B'
B' F2 U L U2 D B'
B' F2 U L U2 D' B'
B' F2 U L U2 D2 B'
B' F2 U L U2 B' D
B' F2 U L U2 B' D'
B' F2 U L U2 B' D2
B' F2 U L D U2 B'
B' F2 U L D' U2 B'
B' F2 U L D2 U2 B'
B' F2 U L F U2 B'
B' F2 U L F' U2 B'
B' F2 U L F2 U2 B'
B' F2 U L' F L2 U2
B' F2 U F L U2 B'
B' F2 U F' L U2 B'
B' F2 U F2 L U2 B'
B' F2 U' D2 B2 R' B
B' F2 U' B2 D2 R' B
B' F2 D2 U' B2 R' B
