B2 R' F L2 U' F
B2 R' F U B' U2
F R' B2 R' U' F'
B U' F B R' U'
B U' B R' F U'
B U' B F R' U'
R' F B2 R' U' F'
R2 F B2 R' U' F2
B2 F L2 R' U' F
B2 F R' L2 U' F
B2 F R' U B' U2
R' B2 R' F U' F2
F B2 L2 R' U' F
F B2 R' L2 U' F
F B2 R' U B' U2
R' B2 F R' U' F'
R2 B2 F R' U' F2
F R' B2 R' U' D' F'
F R' B2 R' U' D2 F'
F R' B2 R' U' F' D
F R' B2 R' U' F' D'
F R' B2 R' U' F' D2
F R' B2 R' D U' F'
F R' B2 R' D' U' F'
F R' B2 R' D2 U' F'
U2 R' B2 F R' U' F'
U R' B2 R' F U' F2
F R' B2 D R' U' F'
F R' B2 D' R' U' F'
F R' B2 D2 R' U' F'
U R' B2 F R' U' F'
R2 U2 F B2 R' U' F2
L U2 B2 L2 U' F R
R2 U2 B2 F R' U' F2
U' R2 F B2 R' U' F2
U2 R2 F B2 R' U' F2
U R2 F B2 R' U' F2
F' R2 F2 B2 R' U' F
L D R2 U L2 F' R
L D R2 U F' L2 R
L D R2 U F' R L2
U' R2 B2 F R' U' F2
L D U L2 R2 F' R
F' R2 B2 F2 R' U' F
L D U R2 L2 F' R
L D U R2 F' L2 R
L D U R2 F' R L2
U2 R2 B2 F R' U' F2
U R2 B2 F R' U' F2
F U B U' B R' U'
L D' U' B R2 U2 R
B U' F B R' U' D
B U' F B R' U' D'
B U' F B R' U' D2
B U' F B R' D U'
B U' F B R' D' U'
B U' F B R' D2 U'
B U' F B D R' U'
B U' F B D' R' U'
B U' F B D2 R' U'
B U' F' B R' F2 U'
B U' B R F R2 U'
B U' B R' D F U'
B U' B R' D' F U'
B U' B R' D2 F U'
B U' B R' F U' D
B U' B R' F U' D'
B U' B R' F U' D2
B U' B R' F D U'
B U' B R' F D' U'
B U' B R' F D2 U'
B U' B D R' F U'
B U' B D F R' U'
B U' B D' R' F U'
B U' B D' F R' U'
B U' B D2 R' F U'
B U' B D2 F R' U'
B U' B F R' U' D
B U' B F R' U' D'
B U' B F R' U' D2
B U' B F R' D U'
B U' B F R' D' U'
B U' B F R' D2 U'
B U' B F D R' U'
B U' B F D' R' U'
B U' B F D2 R' U'
B U' B F' R' F2 U'
L D2 R2 F2 U F R
U' F R' B2 R' U' F'
R2 F R B2 R' U' F2
U2 F R' B2 R' U' F'
R2 F R' B2 R' U' F2
B U2 B R' F U' F'
U F R' B2 R' U' F'
R2 F R2 B2 R' U' F2
F' D L U L R2 F'
F' D L U R2 L F'
F' D L U R2 F' L
R F R2 B2 R' U' F'
B2 D R' F L2 U' F
B2 D R' F U B' U2
U' F B2 L2 R' U' F
R' F B2 L R' U' F'
R' F B2 L' R' U' F'
R' F B2 L2 R' U' F'
U' F B2 R' L2 U' F
U' F B2 R' U B' U2
R' F B2 R' L U' F'
R' F B2 R' L' U' F'
R' F B2 R' L2 U' F'
R' F B2 R' U' D F'
R' F B2 R' U' D' F'
R' F B2 R' U' D2 F'
R' F B2 R' U' F' D
R' F B2 R' U' F' D'
R' F B2 R' U' F' D2
R' F B2 R' D U' F'
R' F B2 R' D' U' F'
R' F B2 R' D2 U' F'
R' F B2 D R' U' F'
R' F B2 D' R' U' F'
R' F B2 D2 R' U' F'
U2 F B2 L2 R' U' F
U2 F B2 R' L2 U' F
U2 F B2 R' U B' U2
R2 F B2 L R' U' F2
R2 F B2 L' R' U' F2
R2 F B2 L2 R' U' F2
R2 F B2 R' L U' F2
R2 F B2 R' L' U' F2
R2 F B2 R' L2 U' F2
R2 F B2 R' U' F2 D
R2 F B2 R' U' F2 D'
R2 F B2 R' U' F2 D2
R2 F B2 R' D' L2 U'
D F B2 R' U' L2 F
R2 F B2 D' L2 R' U'
R2 F B2 D' R' L2 U'
U F B2 L2 R' U' F
U F B2 R' L2 U' F
U F B2 R' U B' U2
R F B2 R' U B U2
B2 D F L2 R' U' F
B2 D F R' L2 U' F
B2 D F R' U B' U2
B' D F B' L2 R' U'
B' D F B' R' L2 U'
B' D B' R' F L2 U'
B' D B' F L2 R' U'
B' D B' F R' L2 U'
R2 F' U F2 B2 R' U'
R2 F' U B2 R' F2 U'
R2 F' U B2 F2 R' U'
F D B2 R' U' L2 F
B2 D' R' F L2 U' F
B2 D' R' F U B' U2
R' F' B2 R' F2 U' F
D2 F2 L R2 B U F'
R2 F' B2 R' F2 U' F2
B2 D' F L2 R' U' F
B2 D' F R' L2 U' F
B2 D' F R' U B' U2
D2 F2 R2 L B U F'
B2 D2 R' F L2 U' F
B2 D2 R' F U B' U2
B2 D2 F L2 R' U' F
B2 D2 F R' L2 U' F
B2 D2 F R' U B' U2
B' D2 F B' R' U' F
B' D2 B' R' F U' F
B' D2 B' F R' U' F
U' B U' F B R' U'
U' B U' B R' F U'
U' B U' B F R' U'
U2 B U' F B R' U'
U2 B U' B R' F U'
U2 B U' B F R' U'
U B U' F B R' U'
U B U' B R' F U'
U B U' B F R' U'
B2 F L2 R' U' D F
B2 F L2 R' U' D' F
B2 F L2 R' U' D2 F
B2 F L2 R' U' F D
B2 F L2 R' U' F D'
B2 F L2 R' U' F D2
B2 F L2 R' D U' F
B2 F L2 R' D' U' F
B2 F L2 R' D2 U' F
B2 F L2 D R' U' F
B2 F L2 D' R' U' F
B2 F L2 D2 R' U' F
B2 F R' L2 U' D F
B2 F R' L2 U' D' F
B2 F R' L2 U' D2 F
B2 F R' L2 U' F D
B2 F R' L2 U' F D'
B2 F R' L2 U' F D2
B2 F R' L2 D U' F
B2 F R' L2 D' U' F
B2 F R' L2 D2 U' F
B2 F R' U D B' U2
B2 F R' U D' B' U2
B2 F R' U D2 B' U2
B2 F R' U B' U2 D
B2 F R' U B' U2 D'
B2 F R' U B' U2 D2
B2 F R' U B' D U2
B2 F R' U B' D' U2
B2 F R' U B' D2 U2
B2 F R' U' L2 F L2
B2 F R' D L2 U' F
B2 F R' D U B' U2
B2 F R' D' L2 U' F
B2 F R' D' U B' U2
B2 F R' D2 L2 U' F
B2 F R' D2 U B' U2
F' B U' F2 B R' U'
F' B U' B R' F2 U'
F' B U' B F2 R' U'
F2 B U' F' B R' U'
F2 B U' B F' R' U'
B F U' B R' U' R
B2 F D L2 R' U' F
B' F D B' L2 R' U'
B2 F D R' L2 U' F
F B U' B R' U' R
B2 F D R' U B' U2
B' F D B' R' L2 U'
B2 F D' L2 R' U' F
B2 F D' R' L2 U' F
B2 F D' R' U B' U2
B2 F D2 L2 R' U' F
B2 F D2 R' L2 U' F
B' F D2 B' R' U' F2
B2 F D2 R' U B' U2
B2 F' L2 R' F2 U' F'
B2 F' R' L2 F2 U' F'
B2 F' R' F2 L2 U' F
B2 F' R' F2 U B' U2
B F' U' F2 B R' U'
B F' U' B R' F2 U'
B F' U' B F2 R' U'
F B' D B' L2 R' U'
F B' D B' R' L2 U'
R' B2 R F R2 U' F'
R' B2 R' U' F' D R2
U' B2 R' F L2 U' F
U' B2 R' F U B' U2
R' B2 R' D F U' F2
R' B2 R' D' F U' F2
R' B2 R' D2 F U' F2
R' B2 R' F L U' F2
F B' D2 B' R' U' F2
R' B2 R' F L' U' F2
R' B2 R' F L2 U' F2
R' B2 R' F U' F2 D
R' B2 R' F U' F2 D'
R' B2 R' F U' F2 D2
R' B2 R' F D' L2 U'
F' B2 L2 R' F2 U' F'
U2 B2 R' F L2 U' F
U2 B2 R' F U B' U2
B2 F2 L2 F' R' U' F2
F2 B2 L2 F' R' U' F2
R2 B2 R' D' F L' U'
D B2 R' F U' L2 F
R B2 R F R2 U' F2
F B2 L2 R' U' D F
F B2 L2 R' U' D' F
F B2 L2 R' U' D2 F
F B2 L2 R' U' F D
F B2 L2 R' U' F D'
F B2 L2 R' U' F D2
F B2 L2 R' D U' F
F B2 L2 R' D' U' F
F B2 L2 R' D2 U' F
U B2 R' F L2 U' F
F' B2 R' L2 F2 U' F'
U B2 R' F U B' U2
F B2 L2 D R' U' F
F B2 L2 D' R' U' F
F B2 L2 D2 R' U' F
R B2 R' F U B U2
F' B2 R' F2 L2 U' F
F' B2 R' F2 U B' U2
L' B2 U2 L2 U F R
F B2 R' L2 U' D F
F B2 R' L2 U' D' F
F B2 R' L2 U' D2 F
F B2 R' L2 U' F D
F B2 R' L2 U' F D'
F B2 R' L2 U' F D2
F B2 R' L2 D U' F
F B2 R' L2 D' U' F
F B2 R' L2 D2 U' F
F B2 R' U D B' U2
F B2 R' U D' B' U2
F B2 R' U D2 B' U2
F B2 R' U B' U2 D
F B2 R' U B' U2 D'
F B2 R' U B' U2 D2
F B2 R' U B' D U2
F B2 R' U B' D' U2
F B2 R' U B' D2 U2
F B2 R' U' L2 F L2
F B2 R' D L2 U' F
F B2 R' D U B' U2
F B2 R' D' L2 U' F
F B2 R' D' U B' U2
F B2 R' D2 L2 U' F
F B2 R' D2 U B' U2
R' B2 D R' F U' F2
R' B2 D F R' U' F'
R' B2 D' R' F U' F2
R' B2 D' F R' U' F'
R2 B2 D F R' U' F2
R' B2 D2 R' F U' F2
R' B2 D2 F R' U' F'
B F2 U' F' B R' U'
U' B2 F L2 R' U' F
B F2 U' B F' R' U'
R' B2 F L R' U' F'
U' B2 F R' L2 U' F
U' B2 F R' U B' U2
R' B2 F L' R' U' F'
R' B2 F L2 R' U' F'
R2 B2 D' F R' U' F2
R' B2 F R' L U' F'
R' B2 F R' L' U' F'
R' B2 F R' L2 U' F'
R' B2 F R' U' D F'
R' B2 F R' U' D' F'
R' B2 F R' U' D2 F'
R' B2 F R' U' F' D
R' B2 F R' U' F' D'
R' B2 F R' U' F' D2
R' B2 F R' D U' F'
R' B2 F R' D' U' F'
R' B2 F R' D2 U' F'
R' B2 F D R' U' F'
R' B2 F D' R' U' F'
R' B2 F D2 R' U' F'
R' B2 F' R' F2 U' F
U2 B2 F L2 R' U' F
R2 B2 D2 F R' U' F2
U2 B2 F R' L2 U' F
U2 B2 F R' U B' U2
R B2 D' R' F L' U'
R B2 D' F L' R' U'
R2 B2 F L R' U' F2
R B2 D' F R' L' U'
R2 B2 F L' R' U' F2
R2 B2 F L2 R' U' F2
R2 B2 F R' L U' F2
R2 B2 F R' L' U' F2
R2 B2 F R' L2 U' F2
R2 B2 F R' U' F2 D
R2 B2 F R' U' F2 D'
R2 B2 F R' U' F2 D2
R2 B2 F R' D' L2 U'
F B2 D L2 R' U' F
D B2 F R' U' L2 F
F B2 D R' L2 U' F
F B2 D R' U B' U2
R2 B2 F D' L2 R' U'
R2 B2 F D' R' L2 U'
U B2 F L2 R' U' F
R2 B2 F' R' F2 U' F2
U B2 F R' L2 U' F
U B2 F R' U B' U2
F B2 D' L2 R' U' F
F B2 D' R' L2 U' F
F B2 D' R' U B' U2
R B2 F R' U B U2
F B2 D2 L2 R' U' F
F B2 D2 R' L2 U' F
F B2 D2 R' U B' U2
