F' R2 B2 U' F'
F' L R2 B2 U' F'
F' L' R2 B2 U' F'
F' L2 R2 B2 U' F'
B2 L2 F' R2 U' F2
F' R B2 R U' F'
F' R2 L B2 U' F'
F' R2 L' B2 U' F'
F' R2 L2 B2 U' F'
F' R2 U' D L2 F'
F' R2 U' D F' L2
F' R2 U' F' D L2
F' R2 D U' L2 F'
F' R2 D U' F' L2
F2 R2 F B2 U' F2
F R2 F2 B2 U' F
F' R2 B2 L U' F'
F' R2 B2 L' U' F'
F' R2 B2 L2 U' F'
F' R2 B2 U' D F'
F' R2 B2 U' D' F'
F' R2 B2 U' D2 F'
F' R2 B2 U' F' D
F' R2 B2 U' F' D'
F' R2 B2 U' F' D2
F' R2 B2 D U' F'
F' R2 B2 D' U' F'
F' R2 B2 D2 U' F'
F2 R2 B2 F U' F2
F R2 B2 F2 U' F
F' U' D B2 L2 F
B U' F' B R2 U'
B U' B F' R2 U'
F D L2 R2 F' B2
F D L2 R2 B2 F'
F D R2 L2 F' B2
F D R2 L2 B2 F'
F' D U' B2 L2 F
F D R2 F' L2 B2
F D R2 F' B2 L2
F D R2 B2 L2 F'
F D R2 B2 F' L2
L' F' R2 B2 U' F'
U' F' R2 B2 U' F'
U2 F' R2 B2 U' F'
L2 F' R2 B2 U' F'
L F' R2 B2 U' F'
U F' R2 B2 U' F'
F D B2 L2 R2 F
F D B2 L2 F R2
F D B2 R2 L2 F
D F' U' B2 L2 F
B2 F' L2 R2 U' F
B2 F' R2 L2 U' F
B2 F' R2 U B' U2
R2 B2 L2 F U' F2
F' B2 L2 R2 U' F
D B2 L2 F D R2
F' B2 R2 L2 U' F
F' B2 R2 U B' U2
R2 B2 U2 B' U F'
F' R2 B' D2 B' U' F'
F' R2 B2 L U' D F'
F' R2 B2 L U' D' F'
F' R2 B2 L U' D2 F'
F' R2 B2 L U' F' D
F' R2 B2 L U' F' D'
F' R2 B2 L U' F' D2
F' R2 B2 L D U' F'
F' R2 B2 L D' U' F'
F' R2 B2 L D2 U' F'
F' R2 B2 L' U' D F'
F' R2 B2 L' U' D' F'
F' R2 B2 L' U' D2 F'
F' R2 B2 L' U' F' D
F' R2 B2 L' U' F' D'
F' R2 B2 L' U' F' D2
F' R2 B2 L' D U' F'
F' R2 B2 L' D' U' F'
F' R2 B2 L' D2 U' F'
U' R2 B2 L2 F U' F2
F' R2 B2 L2 U' D F'
F' R2 B2 L2 U' D' F'
F' R2 B2 L2 U' D2 F'
F' R2 B2 L2 U' F' D
F' R2 B2 L2 U' F' D'
F' R2 B2 L2 U' F' D2
F' R2 B2 L2 D U' F'
F' R2 B2 L2 D' U' F'
F' R2 B2 L2 D2 U' F'
F' R2 B2 U B U2 F'
F' R2 B2 U B' U2 F'
F' R2 B2 U B2 U2 F'
F' R2 B2 U' L' F' L
F' R2 B2 U' L2 F' L2
F' R2 B2 U' D F' D
F' R2 B2 U' D F' D'
F' R2 B2 U' D F' D2
F' R2 B2 U' D' F' D
F' R2 B2 U' D' F' D'
F' R2 B2 U' D' F' D2
F' R2 B2 U' D2 F' D
F' R2 B2 U' D2 F' D'
F' R2 B2 U' D2 F' D2
F' R2 B2 U' F2 D F
F' R2 B2 U' F2 D' F
F' R2 B2 U' F2 D2 F
U' R2 B2 U2 B' U F'
U2 R2 B2 L2 F U' F2
F' R2 B2 D L U' F'
F' R2 B2 D L' U' F'
F' R2 B2 D L2 U' F'
F' R2 B2 D U' F' D
F' R2 B2 D U' F' D'
F' R2 B2 D U' F' D2
F' R2 B2 D' L U' F'
F' R2 B2 D' L' U' F'
F' R2 B2 D' L2 U' F'
F' R2 B2 D' U' F' D
F' R2 B2 D' U' F' D'
F' R2 B2 D' U' F' D2
F' R2 B2 D2 L U' F'
F' R2 B2 D2 L' U' F'
F' R2 B2 D2 L2 U' F'
F' R2 B2 D2 U' F' D
F' R2 B2 D2 U' F' D'
F' R2 B2 D2 U' F' D2
F2 R2 B2 U' F' D R2
D R2 B2 L2 F' D R2
F2 R2 B2 D F U' F2
U2 R2 B2 U2 B' U F'
F2 R2 B2 D' F U' F2
F2 R2 B2 D2 F U' F2
F R2 B2 L F2 U' F
F2 R2 B2 F L U' F2
F2 R2 B2 F L' U' F2
F2 R2 B2 F L2 U' F2
F2 R2 B2 F U' F2 D
F2 R2 B2 F U' F2 D'
F2 R2 B2 F U' F2 D2
F2 R2 B2 F D' L2 U'
F R2 B2 L' F2 U' F
F R2 B2 L2 F2 U' F
U R2 B2 L2 F U' F2
F R2 B2 U' D F' R2
F R2 B2 D U' F' R2
U R2 B2 U2 B' U F'
F R2 B2 F2 U' D F
F R2 B2 F2 U' D' F
F R2 B2 F2 U' D2 F
F R2 B2 F2 U' F D
F R2 B2 F2 U' F D'
F R2 B2 F2 U' F D2
F R2 B2 F2 D U' F
F R2 B2 F2 D' U' F
F R2 B2 F2 D2 U' F
R2 D U2 B U L2 F'
R2 D U2 B U F' L2
L' D F' U' B2 L2 F
L2 D F' U' B2 L2 F
L D F' U' B2 L2 F
R2 D B U F' L2 B'
F2 U R2 F B2 U' F2
L' D B2 L2 F D R2
F2 U R2 B2 F U' F2
F' U D B U2 L2 B
F' U D B U2 B L2
L2 D B2 L2 F D R2
F U R2 F2 B2 U' F
F U R2 B2 F2 U' F
F' U D' R2 F2 U2 F
F U D L2 R2 F' B2
F U D L2 R2 B2 F'
F' U D' F2 R2 U2 F'
F' U D' F2 B R2 U2
U' D F' U' B2 L2 F
F' U D' B R2 F2 U2
F' U D' B F2 R2 U2
L D B2 L2 F D R2
F U D R2 L2 F' B2
F U D R2 L2 B2 F'
F U D R2 F' L2 B2
F U D R2 F' B2 L2
F U D R2 B2 L2 F'
F U D R2 B2 F' L2
F U D B2 L2 R2 F
F U D B2 L2 F R2
F U D B2 R2 L2 F
U2 D F' U' B2 L2 F
D U F' U' B2 L2 F
U D F' U' B2 L2 F
F2 U F R2 B2 U' F'
U' D B2 L2 F D R2
U2 D B2 L2 F D R2
F' U B U' B R2 U'
D U B2 L2 F D R2
F U F2 R2 B2 U' F'
U D B2 L2 F D R2
B2 U B' U' F' R2 U'
F' U' L D B2 L2 F
F' U' L' D B2 L2 F
F' U' L2 D B2 L2 F
F2 U' R2 F B2 U' F2
F' U' R2 B2 U' F' R2
D U' F' U' B2 L2 F
F2 U' R2 B2 F U' F2
B U' R2 U2 F' B U
B U' R2 U2 B F' U
F' U' D F B2 L2 F
F' U' D F' B2 L2 F
F' U' D F2 B2 L2 F
F' U' D B2 L2 D F
F' U' D B2 L2 D' F
F' U' D B2 L2 D2 F
F' U' D B2 L2 F D
F' U' D B2 L2 F D'
F' U' D B2 L2 F D2
F' U' D B2 F L2 F
F' U' D B2 F' L2 F
F' U' D B2 F2 L2 F
F U' R2 F2 B2 U' F
F U' R2 B2 F2 U' F
F U' D L2 R2 F' B2
F U' D L2 R2 B2 F'
B U' D F' B U' B
B U' D B F' U' B
F U' D R2 L2 F' B2
F U' D R2 L2 B2 F'
F U' D R2 F' L2 B2
F U' D R2 F' B2 L2
F U' D R2 B2 L2 F'
F U' D R2 B2 F' L2
F U' D B2 L2 R2 F
F U' D B2 L2 F R2
F U' D B2 R2 L2 F
F2 U' F R2 B2 U' F'
F' U' F D B2 L2 F
B2 U' F D B2 R2 F'
D U' B2 L2 F D R2
F' U' F' D B2 L2 F
B U' F B R2 F2 U'
B U' F' R2 U2 F' U
F' U' F2 D B2 L2 F
B U' F' D B U' B
B U' F' B R2 U' D
B U' F' B R2 U' D'
B U' F' B R2 U' D2
B U' F' B R2 D U'
B U' F' B R2 D' U'
B U' F' B R2 D2 U'
B U' F' B U' D B2
B U' F' B D U' B2
B U' F' B' R2 B2 U'
B U' F' B2 R2 B' U'
F U' F2 R2 B2 U' F'
B U' F2 B R2 F U'
B U' B R2 U2 B U
B U' B D F' U' B2
B U' B F R2 F2 U'
B U' B F' R2 U' D
B U' B F' R2 U' D'
B U' B F' R2 U' D2
B U' B F' R2 D U'
B U' B F' R2 D' U'
B U' B F' R2 D2 U'
B U' B F' U' D B2
B U' B F' D U' B2
B U' B F2 R2 F U'
B U' B' F' R2 B2 U'
B U' B2 F' R2 B' U'
R2 D2 U2 F2 B U F
R2 D2 U2 B F2 U F
D U2 F' U' B2 L2 F
R D2 F2 L' U F R
F2 U2 R2 F B2 U' F2
F2 U2 R2 B2 F U' F2
D U2 B2 L2 F D R2
F U2 R2 F2 B2 U' F
F U2 R2 B2 F2 U' F
F U2 D L2 R2 F' B2
F U2 D L2 R2 B2 F'
F U2 D R2 L2 F' B2
F U2 D R2 L2 B2 F'
F U2 D R2 F' L2 B2
F U2 D R2 F' B2 L2
F U2 D R2 B2 L2 F'
F U2 D R2 B2 F' L2
F U2 D B2 L2 R2 F
F U2 D B2 L2 F R2
F U2 D B2 R2 L2 F
F2 U2 F R2 B2 U' F'
B U2 F' B R2 U' F
F U2 F2 R2 B2 U' F'
U' F R2 F2 B2 U' F
U' F R2 B2 F2 U' F
L' F R2 F2 B2 U' F
L' F R2 B2 F2 U' F
U2 F R2 F2 B2 U' F
L2 F R2 F2 B2 U' F
B U2 B F' R2 U' F
U2 F R2 B2 F2 U' F
L2 F R2 B2 F2 U' F
U F R2 F2 B2 U' F
L F R2 F2 B2 U' F
U F R2 B2 F2 U' F
L F R2 B2 F2 U' F
U' F D L2 R2 F' B2
U' F D L2 R2 B2 F'
U' F D R2 L2 F' B2
U' F D R2 L2 B2 F'
U' F D R2 F' L2 B2
U' F D R2 F' B2 L2
U' F D R2 B2 L2 F'
U' F D R2 B2 F' L2
F D L R2 F' L B2
L' F D L2 R2 F' B2
L' F D L2 R2 B2 F'
L' F D R2 L2 F' B2
L' F D R2 L2 B2 F'
L' F D R2 F' L2 B2
L' F D R2 F' B2 L2
L' F D R2 B2 L2 F'
L' F D R2 B2 F' L2
U' F D B2 L2 R2 F
U' F D B2 L2 F R2
U' F D B2 R2 L2 F
U2 F D L2 R2 F' B2
U2 F D L2 R2 B2 F'
L2 F D L2 R2 F' B2
L2 F D L2 R2 B2 F'
U2 F D R2 L2 F' B2
U2 F D R2 L2 B2 F'
L2 F D R2 L2 F' B2
L2 F D R2 L2 B2 F'
U2 F D R2 F' L2 B2
U2 F D R2 F' B2 L2
L' F D B2 L2 R2 F
L' F D B2 L2 F R2
L2 F D R2 F' L2 B2
U2 F D R2 B2 L2 F'
L2 F D R2 F' B2 L2
U2 F D R2 B2 F' L2
L' F D B2 R2 L2 F
L2 F D R2 B2 L2 F'
L2 F D R2 B2 F' L2
F D L' R2 B2 L' F'
B2 D L2 F' U' F2 B2
B2 D L2 F' U' B2 F2
U2 F D B2 L2 R2 F
U2 F D B2 L2 F R2
L2 F D B2 L2 R2 F
L2 F D B2 L2 F R2
U2 F D B2 R2 L2 F
L2 F D B2 R2 L2 F
U F D L2 R2 F' B2
U F D L2 R2 B2 F'
L F D L2 R2 F' B2
L F D L2 R2 B2 F'
U F D R2 L2 F' B2
U F D R2 L2 B2 F'
U F D R2 F' L2 B2
U F D R2 F' B2 L2
U F D R2 B2 L2 F'
U F D R2 B2 F' L2
L F D R2 L2 F' B2
L F D R2 L2 B2 F'
F D L2 R B2 R F'
L F D R2 F' L2 B2
L F D R2 F' B2 L2
L F D R2 B2 L2 F'
L F D R2 B2 F' L2
F D L2 R2 F' B2 D
F D L2 R2 F' B2 D'
F D L2 R2 F' B2 D2
F D L2 R2 B2 D F'
F D L2 R2 B2 D' F'
F D L2 R2 B2 D2 F'
F D L2 R2 B2 F' D
F D L2 R2 B2 F' D'
F D L2 R2 B2 F' D2
U F D B2 L2 R2 F
U F D B2 L2 F R2
U F D B2 R2 L2 F
F D L2 F R2 F' B2
F D L2 F R2 B2 F'
L F D B2 L2 R2 F
L F D B2 L2 F R2
L F D B2 R2 L2 F
F D L2 F' R2 F' B2
F D L2 F' R2 B2 F'
F D L2 F2 R2 F' B2
F D L2 F2 R2 B2 F'
F D R L2 B2 R F'
F' D R2 U' L2 F' B2
F' D R2 U' L2 B2 F'
F' D R2 U' F' L2 B2
F' D R2 U' F' B2 L2
F' D R2 U' B2 L2 F'
F' D R2 U' B2 F' L2
F D R B2 L2 R F'
F D R B2 R L2 F'
F D R B2 R F' L2
F D R2 L F' L B2
F D R2 L' B2 L' F'
F D R2 L2 F' B2 D
F D R2 L2 F' B2 D'
F D R2 L2 F' B2 D2
F' D U B U2 L2 B
F' D U B U2 B L2
F D R2 L2 B2 D F'
F D R2 L2 B2 D' F'
F D R2 L2 B2 D2 F'
F D R2 L2 B2 F' D
F D R2 L2 B2 F' D'
F D R2 L2 B2 F' D2
U' F' L R2 B2 U' F'
F D R2 F L2 F2 B2
F D R2 F L2 B2 F2
F D R2 F B2 L2 F2
L' F' L R2 B2 U' F'
F D R2 F' L' B2 L'
F D R2 F' L2 B2 D
F D R2 F' L2 B2 D'
F D R2 F' L2 B2 D2
F D R2 F' B L2 B
F D R2 F' B2 L2 D
F D R2 F' B2 L2 D'
F D R2 F' B2 L2 D2
R2 F B2 L2 F U' F
F' D U' F B2 L2 F
F D R2 B L2 F' B
F D R2 B L2 B F'
F D R2 B F' L2 B
F' D U' F' B2 L2 F
F D R2 B2 L F' L
F D R2 B2 L2 D F'
F' D U' F2 B2 L2 F
F D R2 B2 L2 D' F'
F D R2 B2 L2 D2 F'
F D R2 B2 L2 F' D
F D R2 B2 L2 F' D'
F D R2 B2 L2 F' D2
D F B2 L2 D R2 F
D F B2 L2 D F R2
F D R2 B2 F L2 F2
F D R2 B2 F' L2 D
F D R2 B2 F' L2 D'
F D R2 B2 F' L2 D2
F' D U' B2 L2 D F
F' D U' B2 L2 D' F
F' D U' B2 L2 D2 F
F' D U' B2 L2 F D
F' D U' B2 L2 F D'
F' D U' B2 L2 F D2
F' D U' B2 F L2 F
F' D U' B2 F' L2 F
F' D U' B2 F2 L2 F
F D U L2 R2 F' B2
F D U L2 R2 B2 F'
R2 F B2 U2 B' U F2
U2 F' L R2 B2 U' F'
L2 F' L R2 B2 U' F'
U' F' L' R2 B2 U' F'
R2 F B2 D' L2 F U'
F D U R2 L2 F' B2
F D U R2 L2 B2 F'
F D U R2 F' L2 B2
F D U R2 F' B2 L2
F D U R2 B2 L2 F'
F D U R2 B2 F' L2
L' F' L' R2 B2 U' F'
