F2 L B' U' R' F2
F2 L B' U' F2 R'
F L B' U' F' R'
U' L' F B' U B
U' L' B' F U B
L F B' U' F' R'
L F' B' U' R' F
L F' B' U' F R'
L F2 B' U' R' F2
L F2 B' U' F2 R'
L B' F U' F' R'
L B' F' U' R' F
L B' F' U' F R'
L B' F2 U' R' F2
L B' F2 U' F2 R'
U' L' D B' F U B
F2 L' D' L2 B' U' R'
U' L' D' F B' U B
U' L' D' B' F U B
U' L' D2 F B' U B
U' L' D2 B' F U B
U' L' F D B' U B
U' L' F D' B' U B
U' L' F D2 B' U B
U' L' F B' L U B
U' L' F B' L' U B
U' L' F B' L2 U B
U' L' F B' U D B
U' L' F B' U D' B
U' L' F B' U D2 B
U' L' F B' U B D
U' L' F B' U B D'
U' L' F B' U B D2
U' L' F B' D U B
U' L' F B' D' U B
U' L' F B' D2 U B
U' L' B' L' U B L
U' L' B' D F U B
U' L' B' D' F U B
U' L' B' D2 F U B
U' L' B' F L U B
U' L' B' F L' U B
U' L' B' F L2 U B
U' L' B' F U D B
U' L' B' F U D' B
U' L' B' F U D2 B
U' L' B' F U B D
U' L' B' F U B D'
U' L' B' F U B D2
U' L' B' F D U B
U' L' B' F D' U B
U' L' B' F D2 U B
L R2 B D B2 L2 R'
L R2 B D B2 R' L2
B' L2 F U' F' L' R'
B' L2 F U' F' R' L'
F L2 B' U' F' L' R'
F L2 B' U' F' R' L'
R U D2 R' F' B U'
R U D2 R' B F' U'
L' U' L' B' U B L
D' R B' L D' R' B
D' R B' R' D L B'
D' R B' D L R' B'
D' R B' D R' L B'
D' R B' D' L R' B
D' R B' D' R' L B
B' R' L U R B' U'
B' R' L U B' R U'
L' U' F L' B' U B
L' U' F B U B' R'
R' U' F2 L' F B' U
R' U' F2 L' B' F U
B' R' U' F2 L' F U
L' U' B F U B' R'
D' R' B' L R' D B2
D2 R' B' R' D L2 B2
D2 R' B' R' D B2 L2
D' R' B' R' L D B2
D' R' B' R' D L B2
D' R2 B D B2 L R'
D' R2 B D B2 R' L
D' R2 B' L D R' B2
D' R2 B' D L R' B2
D' R2 B' D R' L B2
B U L U' B' L' U'
L D F B' U' F' R'
L D F' B' U' R' F
L D F' B' U' F R'
L D F2 B' U' R' F2
L D F2 B' U' F2 R'
R2 D B' R' D2 B' L
R2 D B' D2 R' B' L
L D B' F U' F' R'
L D B' F' U' R' F
L D B' F' U' F R'
L D B' F2 U' R' F2
L D B' F2 U' F2 R'
U' D' L' B' U L B
D' U' L' B' U L B
L D' F B' U' F' R'
L D' F' B' U' R' F
L D' F' B' U' F R'
R' D' B' L R' D B2
R' D' B' R' L D B2
R' D' B' R' D L B2
L D' F2 B' U' R' F2
L D' F2 B' U' F2 R'
R2 D' B D2 B2 L R'
R2 D' B D2 B2 R' L
R2 D' B' L R' D2 B2
R2 D' B' L D2 R' B2
R2 D' B' R' L D2 B2
R2 D' B' R' D2 L B2
R2 D' B' D2 L R' B2
R2 D' B' D2 R' L B2
R D' B' L D' R' B
R D' B' R' D L B'
R D' B' D L R' B'
R D' B' D R' L B'
R D' B' D' L R' B
R D' B' D' R' L B
L D' B' F U' F' R'
L D' B' F' U' R' F
L D' B' F' U' F R'
L D' B' F2 U' R' F2
L D' B' F2 U' F2 R'
R D2 U R' F' B U'
R D2 U R' B F' U'
L D2 F B' U' F' R'
L D2 F' B' U' R' F
L D2 F' B' U' F R'
L D2 F2 B' U' R' F2
L D2 F2 B' U' F2 R'
L D2 B' F U' F' R'
L D2 B' F' U' R' F
L D2 B' F' U' F R'
L D2 B' F2 U' R' F2
L D2 B' F2 U' F2 R'
U' F L' F B' U B
U' F L' B' F U B
L2 F L' B' U' F' R'
B2 D L' F U' L' F'
L F D B' U' F' R'
L F D' B' U' F' R'
D' F B' U' L F' R'
D' F B' U' F' L R'
D' F B' U' F' R' L
L F D2 B' U' F' R'
L2 F B' U' F' L' R'
L2 F B' U' F' R' L'
D F B' U' L' F' R'
L F B' L U' F' R'
L F B' L' U' F' R'
L F B' L2 U' F' R'
L F B' U' D F' R'
L F B' U' D' F' R'
L F B' U' D2 F' R'
L F B' U' F R' F2
L F B' U' F' R' D
L F B' U' F' R' D'
L F B' U' F' R' D2
L F B' U' F' D R'
L F B' U' F' D' R'
L F B' U' F' D2 R'
L F B' U' F2 R' F
L F B' D U' F' R'
L F B' D' U' F' R'
L F B' D2 U' F' R'
U' F' L' F B' U B
U' F' L' B' F U B
B' D F U' L' F' R'
U2 F' L' U F L U
F' D B' U' R' F L'
F' D B' U' F L' R'
F' D B' U' F R' L'
L' F' U2 F2 U F' R
F2 D' L2 B' U' L R'
F2 D' L2 B' U' R' L
L F' D B' U' R' F
L F' D B' U' F R'
L F' D' B' U' R' F
L F' D' B' U' F R'
D' F' B' U' R' F L
D' F' B' U' F L R'
D' F' B' U' F R' L
L F' D2 B' U' R' F
L F' D2 B' U' F R'
L F' B' U' R F R2
L F' B' U' R' D F
L F' B' U' R' D' F
L F' B' U' R' D2 F
L F' B' U' R' F D
L F' B' U' R' F D'
L F' B' U' R' F D2
L F' B' U' D R' F
L F' B' U' D F R'
L F' B' U' D' R' F
L F' B' U' D' F R'
L F' B' U' D2 R' F
L F' B' U' D2 F R'
L F' B' U' F R' D
L F' B' U' F R' D'
L F' B' U' F R' D2
L F' B' U' F D R'
L F' B' U' F D' R'
L F' B' U' F D2 R'
L F' B' U' F' R' F2
L F' B' D U' R' F
L F' B' D U' F R'
L F' B' D' U' R' F
L F' B' D' U' F R'
L F' B' D2 U' R' F
L F' B' D2 U' F R'
U' F2 L' F B' U B
U' F2 L' B' F U B
L2 F2 L' B' U' R' F2
L2 F2 L' B' U' F2 R'
F2 D' B' L2 U' L' R'
F2 D' B' L2 U' R' L'
F' D' B' U' R' F L
F' D' B' U' F L R'
F' D' B' U' F R' L
F D' B' U' L F' R'
F D' B' U' F' L R'
F D' B' U' F' R' L
B' D2 R' U B R U'
L F2 D' B' L2 U' R'
D' F2 B' U' L R' F2
D' F2 B' U' L F2 R'
D' F2 B' U' R' L F2
D' F2 B' U' R' F2 L
D' F2 B' U' F2 L R'
D' F2 B' U' F2 R' L
L F2 B' L U' R' F2
L F2 B' L U' F2 R'
L F2 B' L' U' R' F2
L F2 B' L' U' F2 R'
L F2 B' L2 U' R' F2
L F2 B' L2 U' F2 R'
L F2 B' U' R F2 R2
L F2 B' U' R' F2 D
L F2 B' U' R' F2 D'
L F2 B' U' R' F2 D2
L F2 B' U' F R' F
L F2 B' U' F2 R' D
L F2 B' U' F2 R' D'
L F2 B' U' F2 R' D2
L F2 B' U' F2 D R'
L F2 B' U' F2 D' R'
L F2 B' U' F2 D2 R'
L F2 B' D' L2 U' R'
U' B U D' B' L R'
U' B U D' B' R' L
L B R2 D B2 L2 R'
L B R2 D B2 R' L2
B' F L2 U' F' L' R'
B' F L2 U' F' R' L'
U' B D' U B' L R'
U' B D' U B' R' L
D' B' L R' U R U'
D' B' L R2 D R B2
D' B' L R2 D B2 R
U' B' L' F B' U B2
U' B' L' B' F U B2
L B' L F U' F' R'
L B' L F' U' R' F
L B' L F' U' F R'
L B' L F2 U' R' F2
L B' L F2 U' F2 R'
L B' L' F U' F' R'
L B' L' F' U' R' F
L B' L' F' U' F R'
L B' L' F2 U' R' F2
L B' L' F2 U' F2 R'
D' B' R' L U R U'
D2 B' R' U B R U'
D' B' R' U R U' L
L B' L2 F U' F' R'
L B' L2 F' U' R' F
L B' L2 F' U' F R'
L B' L2 F2 U' R' F2
L B' L2 F2 U' F2 R'
D' B' R2 L D R B2
D' B' R2 L D B2 R
D' B' R2 D L R B2
D' B' R2 D L B2 R
D' B' R2 D R L B2
F B' L2 U' F' L' R'
F B' L2 U' F' R' L'
L B' U' R' U' R U
L B' U' R2 D' R F2
L B' D F U' F' R'
L B' D F' U' R' F
L B' D F' U' F R'
L B' D F2 U' R' F2
L B' D F2 U' F2 R'
B' F' U' R' D F L'
B' F' U' D R' F L'
B' F' U' D F L' R'
B' F' U' D F R' L'
D' B' F U' L F' R'
F' B' U' R' D F L'
D' B' F U' F' L R'
D' B' F U' F' R' L
F' B' U' D R' F L'
F' B' U' D F L' R'
F' B' U' D F R' L'
L B' D' F U' F' R'
L B' D' F' U' R' F
L B' D' F' U' F R'
L B' D' F2 U' R' F2
L B' D' F2 U' F2 R'
R B' D' R' B' L B2
L2 B' F U' F' L' R'
L2 B' F U' F' R' L'
D' B' F' U' R' F L
D' B' F' U' F L R'
D' B' F' U' F R' L
L B' D2 F U' F' R'
L B' D2 F' U' R' F
L B' D2 F' U' F R'
L B' D2 F2 U' R' F2
L B' D2 F2 U' F2 R'
D B' F U' L' F' R'
D' B' F2 U' L R' F2
D' B' F2 U' L F2 R'
D' B' F2 U' R' L F2
D' B' F2 U' R' F2 L
L B' F L U' F' R'
D' B' F2 U' F2 L R'
D' B' F2 U' F2 R' L
B' F' D U' R' F L'
L B' F L' U' F' R'
B' F' D U' F L' R'
B' F' D U' F R' L'
L B' F L2 U' F' R'
L B' F U' D F' R'
L B' F U' D' F' R'
L B' F U' D2 F' R'
F' B' D U' R' F L'
L B' F U' F R' F2
L B' F U' F' R' D
L B' F U' F' R' D'
L B' F U' F' R' D2
F' B' D U' F L' R'
L B' F U' F' D R'
F' B' D U' F R' L'
L B' F U' F' D' R'
L B' F U' F' D2 R'
L B' F U' F2 R' F
L B' F D U' F' R'
L B' F D' U' F' R'
L B' F D2 U' F' R'
L B' F' U' R F R2
L B' F' U' R' D F
L B' F' U' R' D' F
L B' F' U' R' D2 F
L B' F' U' R' F D
L B' F' U' R' F D'
L B' F' U' R' F D2
L B' F' U' D R' F
L B' F' U' D F R'
L B' F' U' D' R' F
L B' F' U' D' F R'
L B' F' U' D2 R' F
L B' F' U' D2 F R'
L B' F' U' F R' D
L B' F' U' F R' D'
L B' F' U' F R' D2
L B' F' U' F D R'
L B' F' U' F D' R'
L B' F' U' F D2 R'
L B' F' U' F' R' F2
L B' F' D U' R' F
L B' F' D U' F R'
U' B2 L' F B' U B'
L B' F' D' U' R' F
L B' F' D' U' F R'
L B' F' D2 U' R' F
L B' F' D2 U' F R'
L B' F2 L U' R' F2
L B' F2 L U' F2 R'
L B' F2 L' U' R' F2
L B' F2 L' U' F2 R'
U' B2 L' B' F U B'
L B' F2 L2 U' R' F2
L B' F2 L2 U' F2 R'
L B' F2 U' R F2 R2
L B' F2 U' R' F2 D
L B' F2 U' R' F2 D'
L B' F2 U' R' F2 D2
L B' F2 U' F R' F
L B' F2 U' F2 R' D
L B' F2 U' F2 R' D'
L B' F2 U' F2 R' D2
L B' F2 U' F2 D R'
L B' F2 U' F2 D' R'
L B' F2 U' F2 D2 R'
L B' F2 D' L2 U' R'
