B2 L' U L2 U L
B2 L' U2 D' L' B2
B2 L' U2 D' B2 L'
B2 L' D F2 R U2
B2 L' D' U2 L' B2
B2 L' D' U2 B2 L'
R' U L' B2 U2 L'
R' U B2 L' U2 L'
L' B2 U L U L2
L' B2 U2 L' D' B2
D2 R F2 D B2 R L'
L' U' R' U B2 U2 L'
L' U' R' U' L' D2 F2
L' U' R' U' D2 L' F2
L' U' R' D L2 U' L
L' U' R' D2 U' L' F2
F2 R B' L2 D F B2
F2 R B' L2 D B2 F
F2 R B' L2 F D B2
L' U' D L2 R' U' L
L' U' D R' L2 U' L
R' U' D2 R F2 L' R
R' U' D2 R F2 R L'
L' U' D2 R' U' L' F2
R' U' D2 F2 D2 L2 R
R' U' D2 F2 D2 R L2
B2 R' L' U L2 U L
B2 R' L' U2 D' L' B2
B2 R' L' U2 D' B2 L'
B2 R' L' D F2 R U2
B2 R' L' D' U2 L' B2
B2 R' L' D' U2 B2 L'
D' R' L2 B2 L U' R'
D2 R' U L' R' U2 F2
D R' L2 D2 B2 U' R'
U' R' U L' B2 U2 L'
D2 R' U R' L' U2 F2
D2 R' U R' U2 F2 R
R' U' F2 L2 R D2 F2
R' U' F2 L2 D2 R F2
U2 R' U L' B2 U2 L'
R' U' F2 R L2 D2 F2
U' R' U B2 L' U2 L'
U R' U L' B2 U2 L'
R' U' F2 D2 R F2 L'
F2 R' U B2 U2 L2 R2
F2 R' U B2 U2 R2 L2
U2 R' U B2 L' U2 L'
D2 R' U' R2 F2 L' R
D2 R' U' R2 F2 R L'
F2 R' U' L2 R2 D2 F2
D2 R' U' F2 R D2 L2
F2 R' U' R2 L2 D2 F2
U R' U B2 L' U2 L'
R' U' B2 L' U2 L' B2
R' U' B2 L' U2 B2 L'
R' U' B2 U2 L2 B2 R'
L2 U2 L B2 U L U
D' R' F2 B2 L U' R
F2 R' B U' L2 R2 F'
F2 R' B U' R2 L2 F'
F2 R' B U' R2 F' L2
F2 R' B' U' L2 R2 F
F2 R' B' U' L2 F R2
F2 R' B' U' R2 L2 F
D' R' B2 L U L2 U2
D' R' B2 L U' D2 R2
D' R' B2 L D F2 U'
D' R' B2 L D2 U' R2
D2 R' B2 U' F2 L R
D2 R' B2 U' F2 R L
D' R' B2 F2 L U' R
D2 R2 L' U' R U' F2
B2 R2 L' U L2 U L
B2 R2 L' U2 D' L' B2
B2 R2 L' U2 D' B2 L'
B2 R2 L' D F2 R U2
B2 R2 L' D' U2 L' B2
B2 R2 L' D' U2 B2 L'
D2 R2 U' R U' F2 R
L2 U2 B2 U L U R'
D' R2 D2 F2 L' U R
R' D L2 D2 B2 U' R'
L2 D R D F2 B2 R'
L2 D R D B2 R' F2
L2 D R D B2 F2 R'
L D R' F2 L2 U' L'
L' D U' L2 R' U' L
L' D U' R' L2 U' L
B2 U L U D2 L R2
B2 U L U D2 R2 L
B2 U L U' L2 U2 L'
B2 U L D2 U L R2
B2 U L D2 U R2 L
B U L' B U2 L' B'
L D F2 L2 R' U' L'
L D F2 R' L2 U' L'
B2 U D F2 L U R
B2 U F2 L U L R
B2 U F2 L U R L
B U B L' U2 L' B'
B U' L' B U2 L' B2
B U' L' B U2 B2 L'
R' D' B2 U' D' F2 R
R' D' B2 D' U' F2 R
R2 D2 R U' F2 L' R
R2 D2 R U' F2 R L'
L2 D2 R F2 D B2 R'
B U' B L' U2 B' L'
L D2 R' U' L R' F2
L D2 R' U' L F2 R'
L D2 R' U' R' L F2
L D2 R' U' R' F2 L
R' D2 U L' R2 U2 F2
L D2 R' U' F2 L R'
L D2 R' U' F2 R' L
R' D2 U R2 L' U2 F2
R' D2 U R2 U2 F2 R
R' D2 U' R F2 L' R
R' D2 U' R F2 R L'
L' D2 U' R' U' L' F2
R' D2 U' F2 D2 L2 R
R' D2 U' F2 D2 R L2
L D2 R2 F2 L D' B2
B2 U2 L' D' L' B2 R'
L2 D2 F2 R D B2 R'
B2 D L' U L2 F2 U
B2 D L' U F2 L2 U
B2 D L' U2 D' L2 B2
B2 D L' U2 D' B2 L2
B2 D L' D R2 F2 U2
B2 D L' D F2 R2 U2
B2 D L' D' U2 L2 B2
B2 D L' D' U2 B2 L2
L' F B2 U L F U
B2 D U F2 L U R
B2 D' L' D F2 U2 L2
B2 D' L' D' R2 U2 B2
F2 D' R' B2 L U' R2
L' F2 R B2 U' R2 U'
L' F2 R B2 U2 D B2
L' F2 R B2 D U2 B2
L' F2 R B2 D' F2 U2
D' F2 R' B2 L U' R2
R' F2 U B2 U2 L2 R
R' F2 U B2 U2 R L2
R' F2 U' L2 R D2 F2
R' F2 U' L2 D2 R F2
R' F2 U' R L2 D2 F2
R' F2 U' D2 R F2 L'
D F2 U R D F2 B2
D F2 U R D B2 F2
B2 D2 L' R2 U L2 U
B2 D2 L' R2 U2 D' B2
B2 D2 L' R2 D F2 U2
B2 D2 L' R2 D' U2 B2
D2 F2 D R D L2 B2
D2 F2 D R D B2 L2
D F2 U2 L2 R' U' R2
D F2 U2 R' L2 U' R2
D2 F2 D2 L2 R D B2
D2 F2 D2 R L2 D B2
R' F2 D2 U' R F2 L'
F2 D2 R F2 L' D B2
F2 D2 R F2 D L' B2
F2 D2 R F2 D B2 L'
F2 D2 R' U' R2 F2 L'
B2 D2 R2 L' U L2 U
B2 D2 R2 L' U2 D' B2
B2 D2 R2 L' D F2 U2
B2 D2 R2 L' D' U2 B2
R' F2 B' U' L2 R F
R' F2 B' U' R L2 F
L' F2 B2 R U L U
R' B U L' B U2 L'
R' B U B L' U2 L'
R B' L2 D F B2 R'
R B' L2 D B2 R' F
R B' L2 D B2 F R'
R B' L2 F D B2 R'
R' B' U L' U2 L' F
R' B' U B' L' U2 L'
R' B' U' F L2 F R
R' B' U' F2 L2 R F
R' B' U' F2 R L2 F
R' B' F2 U' L2 R F
R' B' F2 U' R L2 F
U' B2 L' U L2 U L
U' B2 L' U2 D' L' B2
U' B2 L' U2 D' B2 L'
U' B2 L' D F2 R U2
U' B2 L' D' U2 L' B2
U' B2 L' D' U2 B2 L'
U2 B2 L' U L2 U L
U2 B2 L' U2 D' L' B2
U2 B2 L' U2 D' B2 L'
U2 B2 L' D F2 R U2
U2 B2 L' D' U2 L' B2
U2 B2 L' D' U2 B2 L'
R2 B2 L' U' R U' L'
L' B2 R U L U L2
U B2 L' U L2 U L
L' B2 R U2 L' D' B2
U B2 L' U2 D' L' B2
U B2 L' U2 D' B2 L'
U B2 L' D F2 R U2
U B2 L' D' U2 L' B2
U B2 L' D' U2 B2 L'
R B2 L' U' R2 U' L'
R B2 L' U2 L' D B2
R B2 L' U2 D L' B2
R B2 L' U2 D B2 L'
R B2 L' D U2 L' B2
R B2 L' D U2 B2 L'
R B2 L' D' F2 R U2
L B2 L2 R' U L' U
L' B2 R' U L U L2
L' B2 R' U2 L' D' B2
L' B2 R2 U L U L2
L' B2 R2 U2 L' D' B2
L' B2 U L U L2 D
L' B2 U L U L2 D'
L' B2 U L U L2 D2
L' B2 U L D F2 U
L' B2 U L F U L2
L' B2 U L F' U L2
L' B2 U L F2 U L2
L B2 R' L2 U L' U
L' B2 U D L U L2
L' B2 U D' L U L2
L' B2 U D2 L U L2
R' B2 U2 L2 D' B2 R'
L' B2 U' B' U' L' B'
L' B2 U' B2 R' U' L'
L' B2 U2 L' U' L2 U
L' B2 U2 L' D' B2 D
L' B2 U2 L' D' B2 D'
L' B2 U2 L' D' B2 D2
L' B2 U2 L' B D' B2
L' B2 U2 L' B' D' B2
L' B2 U2 L' B2 D' B2
L' B2 U2 D L' D' B2
L' B2 U2 D' L' D' B2
L' B2 U2 D2 L' D' B2
B2 F2 U L U L R
B2 F2 U L U R L
F2 B2 U L U L R
F2 B2 U L U R L
L' B2 D U L U L2
L' B2 D U2 L' D' B2
L' B2 D' U L U L2
L' B2 D' U2 L' D' B2
R B2 U2 L2 D B2 R'
L' B2 D2 U L U L2
L' B2 D2 U2 L' D' B2
L' B2 F U L F U
L' B2 F2 R U L U
