U' L B' U' F' R
U2 L' F' R D' L2
U2 L' F' D' L2 R
U2 L' F' D' R L2
U' L2 U' F' L' R
U' L2 U' F' R L'
L' U F U F2 R
F' R D' L2 B' L
L U' B' U' F' R
L' U2 F' R D' L2
L' U2 F' D' L2 R
L' U2 F' D' R L2
L' F' R D' L2 B'
L' F' D' L2 R B'
L' F' D' L2 B' R
L' F' D' R L2 B'
F' D' L2 R B' L
F' D' L2 B' L R
F' D' L2 B' R L
F' D' R L2 B' L
U2 F2 D F L' R
U2 F2 D F R L'
L' F' D' L2 B' D2 R
L' F' D' R L2 D B'
L' F' D' R L2 D' B'
L' F' D' R L2 D2 B'
L' F' D' R L2 B' D
L' F' D' R L2 B' D'
L' F' D' R L2 B' D2
L' F' D' R B L2 B'
L' F' D' R B' L2 B'
L' F' D' R B2 L2 B'
L' F' D' R' L2 B' R2
F' D' L2 B' L R D
F' D' L2 B' L R D'
F' D' L2 B' L R D2
F' D' L2 B' L D R
F' D' L2 B' L D' R
F' D' L2 B' L D2 R
F' D' L2 B' R L D
F' D' L2 B' R L D'
F' D' L2 B' R L D2
F' D' L2 B' R D L
F' D' L2 B' R D' L
F' D' L2 B' R D2 L
F' D' L2 B' D L R
F' D' L2 B' D R L
F' D' L2 B' D' L R
F' D' L2 B' D' R L
F' D' L2 B' D2 L R
F' D' L2 B' D2 R L
F' D' R L B' L B'
F' D' R L2 B' L D
F' D' R L2 B' L D'
F' D' R L2 B' L D2
F' D' R L2 B' D L
F' D' R L2 B' D' L
F' D' R L2 B' D2 L
L' F' D' B L2 R B'
L' F' D' B L2 B' R
L' F' D' B R L2 B'
U2 F' D' R B' L B
L' F' D' B' L2 R B'
L' F' D' B' L2 B' R
L' F' D' B' R L2 B'
L' F' D' B2 L2 R B'
L' F' D' B2 L2 B' R
L' F' D' B2 R L2 B'
L' F' D2 R D L2 B'
F' D' R B' L2 B' L'
U2 F' D' B' L B R
F' D' R' L2 B' L R2
F' D' R' L2 B' R2 L
U2 F' D2 R U' F' U
L' F' B R D' L2 B'
L' F' B D' L2 R B'
L' F' B D' L2 B' R
L' F' B D' R L2 B'
U2 F' B R D' B' L
L' F' B' R D' L2 B'
U2 F' B D' R B' L
U2 F' B D' B' L R
U2 F' B D' B' R L
L' F' B' D' L2 R B'
L' F' B' D' L2 B' R
L' F' B' D' R L2 B'
L' F' B2 R D' L2 B'
L F' B R D L2 B'
L' F' B2 D' L2 R B'
L' F' B2 D' L2 B' R
L' F' B2 D' R L2 B'
L F' B D L2 R B'
L F' B D L2 B' R
L F' B D R L2 B'
U2 F2 R D F L' R
U2 F2 R D F R L'
F' D' B R D2 L2 B'
U2 F2 R' D F L' R
U2 F2 R' D F R L'
F' D' B' L2 R B' L'
F' D' B' L2 B' L' R
F' D' B' L2 B' R L'
F' D' B' R L2 B' L'
U2 F2 R2 D F L' R
U2 F2 R2 D F R L'
U2 F2 D R F L' R
U2 F2 D R F R L'
U2 F2 D R' F L' R
U2 F2 D R' F R L'
F' D2 L2 D R B' L
F' D2 L2 D B' L R
F' D2 L2 D B' R L
U2 F2 D R2 F L' R
U2 F2 D R2 F R L'
U2 F2 D F L' R D
U2 F2 D F L' R D'
U2 F2 D F L' R D2
U2 F2 D F L' D R
U2 F2 D F L' D' R
U2 F2 D F L' D2 R
U2 F2 D F R L' D
U2 F2 D F R L' D'
U2 F2 D F R L' D2
U2 F2 D F R D L'
U2 F2 D F R D' L'
U2 F2 D F R D2 L'
U2 F2 D F D L' R
U2 F2 D F D R L'
U2 F2 D F D' L' R
U2 F2 D F D' R L'
U2 F2 D F D2 L' R
U2 F2 D F D2 R L'
U' B L B' U' F' R
U' B L2 U' F' L' R
U' B L2 U' F' R L'
L' B U F U F2 R
F2 D2 B2 D' F L' R
F2 D2 B2 D' F R L'
L' B U2 F' R D' L2
L' B U2 F' D' L2 R
L' B U2 F' D' R L2
L B U' B2 U' F' R
L B U2 F' R D L2
L B U2 F' D L2 R
L B U2 F' D R L2
F' B R D' L2 B' L
L' B F' R D' L2 B'
L' B F' D' L2 R B'
L' B F' D' L2 B' R
L' B F' D' R L2 B'
U2 B F' R D' B' L
U2 B F' D' R B' L
U2 B F' D' B' L R
U2 B F' D' B' R L
U' B' L B' U' F' R
L B F' R D L2 B'
L B F' D L2 R B'
L B F' D L2 B' R
L B F' D R L2 B'
U' B' L2 U' F' L' R
U' B' L2 U' F' R L'
F' B D' L2 R B' L
F' B D' L2 B' L R
F' B D' L2 B' R L
F' B D' R L2 B' L
L' B' U F U F2 R
B' F' R D' L2 B' L
D' B' U2 D L F' R
D' B' U2 D F' L R
D' B' U2 D F' R L
F' B' R D' L2 B' L
L' B' U2 F' R D' L2
L' B' U2 F' D' L2 R
L' B' U2 F' D' R L2
B2 F' R D' L2 B' L
D' B' D U2 L F' R
D' B' D U2 F' L R
D' B' D U2 F' R L
B F' R D' L2 B' L
L' B' F' R D' L2 B'
L' B' F' D' L2 R B'
L' B' F' D' L2 B' R
L' B' F' D' R L2 B'
B' F' D' L2 R B' L
U' B2 L B' U' F' R
B' F' D' L2 B' L R
B' F' D' L2 B' R L
B' F' D' R L2 B' L
F' B' D' L2 R B' L
F' B' D' L2 B' L R
F' B' D' L2 B' R L
F' B' D' R L2 B' L
B2 F' D' L2 R B' L
B2 F' D' L2 B' L R
B2 F' D' L2 B' R L
B2 F' D' R L2 B' L
U' B2 L2 U' F' L' R
U' B2 L2 U' F' R L'
B F' D' L2 R B' L
B F' D' L2 B' L R
B F' D' L2 B' R L
B F' D' R L2 B' L
F' B2 R D' L2 B' L
L' B2 U F U F2 R
D' B2 U2 D F' L' R
D' B2 U2 D F' R L'
L' B2 U2 F' R D' L2
L' B2 U2 F' D' L2 R
L' B2 U2 F' D' R L2
D' B2 D U2 F' L' R
D' B2 D U2 F' R L'
L B2 U' B U' F' R
F' B2 D' L2 R B' L
F' B2 D' L2 B' L R
F' B2 D' L2 B' R L
F' B2 D' R L2 B' L
L' B2 F' R D' L2 B'
L' B2 F' D' L2 R B'
L' B2 F' D' L2 B' R
L' B2 F' D' R L2 B'
