D2 L2 D' F R B2
D2 L2 D' F B2 R
D2 L2 D' B2 F R
D2 L2 F R D' B2
D2 L2 F D' R B2
D2 L2 F D' B2 R
U' R2 D B' L U2
F U D2 L2 R F
F U D2 R L2 F
F' U' R2 B' L' U2
F' U' B' L' R2 U2
F' U' B' R2 L' U2
F U' B' R2 U2 R'
D2 F U L2 R F
D2 F U R L2 F
F D2 U L2 R F
F D2 U R L2 F
F U' B' R2 D U2 R'
F U' B' R2 D' U2 R'
F U' B' R2 D2 U2 R'
F U' B' U2 D2 L2 R
F U' B' U2 D2 R L2
F U' B' D2 U2 L2 R
F U' B' D2 U2 R L2
F U' B2 R2 U2 F' R'
L2 D2 F L2 D R B2
L2 D2 F L2 D B2 R
D U2 B2 U B U2 R'
D2 F L2 R D' F B2
D2 F L2 R D' B2 F
D2 F L2 R F D' B2
D2 F L2 D' R F B2
D2 F L2 D' R B2 F
D2 F L2 D' B2 R F
D2 F R L2 D' F B2
D2 F R L2 D' B2 F
D2 F R L2 F D' B2
D2 F R' U L2 R2 F
D2 F R' U L2 F R2
D2 F R' U R2 L2 F
D2 F R2 U L2 R' F
D2 F R2 U L2 F R'
D2 F R2 U R' L2 F
R' F U R D2 L2 F
D2 F U L2 R D F
D2 F U L2 R D' F
D2 F U L2 R D2 F
D2 F U L2 R F D
D2 F U L2 R F D'
D2 F U L2 R F D2
D2 F U L2 R' F R2
D2 F U L2 R2 F R'
D2 F U L2 D R F
D2 F U L2 D' R F
D2 F U L2 D2 R F
D2 F U R L2 D F
D2 F U R L2 D' F
D2 F U R L2 D2 F
D2 F U R L2 F D
D2 F U R L2 F D'
D2 F U R L2 F D2
D2 F U R F L2 F
D2 F U R F' L2 F
D2 F U R F2 L2 F
D2 F U R' L2 F R2
D2 F U R2 L2 F R'
D2 F U F' L2 F R
R' F U' R' B' U2 R2
D F U R D L2 F
D F U D L2 R F
D F U D R L2 F
D2 F U' B' U2 L2 R
D2 F U' B' U2 R L2
R F U L2 R F L'
R F U R L2 F L'
D F D U L2 R F
D F D U R L2 F
L2 F D' R B2 D' L2
L2 F D' B2 R D' L2
L2 F D' B2 D' L2 R
L2 F D' B2 D' R L2
L2 F D2 L2 D R B2
L2 F D2 L2 D B2 R
F D U R D L2 F
D2 F' L2 D' F B2 R'
D2 F' L2 D' B2 R' F
D2 F' L2 D' B2 F R'
D2 F' L2 F D' B2 R'
D2 F' U F L2 F R
D2 F' U F2 L2 R F
D2 F' U F2 R L2 F
D2 F' U' L' U2 L' F
R' F' U' R' B' L' U2
D2 F' U' B' L' U2 L'
R2 F' B' L' U L U
F D' U R D' L2 F
B D' F R2 F U R'
F' D' F2 U' B' U2 R
B2 D' F2 R2 U F' R
B2 D' F2 U R2 F' R
F D' F2 U' B' L' U2
D2 F2 U L2 F' R F2
D2 F2 U F' L2 R F
D2 F2 U F' R L2 F
D2 F2 U F2 L2 F R
D' F2 U' D2 B' L U2
F' D2 L2 D' F B2 R'
F' D2 L2 D' B2 R' F
F' D2 L2 D' B2 F R'
F' D2 L2 F D' B2 R'
F D2 L2 R D' F B2
F D2 L2 R D' B2 F
F D2 L2 R F D' B2
D' F2 D2 U' B' L U2
F D2 L2 D' R F B2
F D2 L2 D' R B2 F
F D2 L2 D' B2 R F
F D2 R L2 D' F B2
F D2 R L2 D' B2 F
F D2 R L2 F D' B2
F D2 R' U L2 R2 F
F D2 R' U L2 F R2
F D2 R' U R2 L2 F
D' F2 B2 R2 U F' R
D' F2 B2 U R2 F' R
F' D2 U F L2 F R
F' D2 U F2 L2 R F
F' D2 U F2 R L2 F
F D2 R2 U L2 R' F
F D2 R2 U L2 F R'
F D2 R2 U R' L2 F
F' D2 U' L' U2 L' F
F' D2 U' B' L' U2 L'
F D2 U L2 R D F
F D2 U L2 R D' F
F D2 U L2 R D2 F
F D2 U L2 R F D
F D2 U L2 R F D'
F D2 U L2 R F D2
F D2 U L2 R' F R2
F D2 U L2 R2 F R'
F D2 U L2 D R F
F D2 U L2 D' R F
F D2 U L2 D2 R F
F2 D2 U' B' L U2 L
F D2 U R L2 D F
F D2 U R L2 D' F
F D2 U R L2 D2 F
F D2 U R L2 F D
F D2 U R L2 F D'
F D2 U R L2 F D2
F D2 U R F L2 F
F D2 U R F' L2 F
F D2 U R F2 L2 F
F D2 U R' L2 F R2
F D2 U R2 L2 F R'
F D2 U F' L2 F R
F D2 U' B' U2 L2 R
F D2 U' B' U2 R L2
B D2 F U R F L2
F' D2 F2 U L2 R F
F' D2 F2 U R L2 F
U2 B U L R2 B2 U2
U2 B U L B2 R2 U2
U2 B U R2 L B2 U2
U2 B U R2 B2 U2 R'
U2 B U B2 R2 U2 R
U2 B U' D2 L2 F2 R
U2 B D B2 L2 U' R'
U2 B D2 U' L2 F2 R
F' B U D2 F2 L2 R
F' B U D2 F2 R L2
F' B U' L' R2 B2 U2
F' B U' L' B2 R2 U2
F' B U' R2 L' B2 U2
B F U R D2 F2 L'
F' B U' R2 B2 L' U2
B2 F U' R2 U2 F' R'
B F U D2 L2 R F2
B F U D2 R L2 F2
B F U D2 R F2 L2
F B U R D2 F2 L'
F' B U' B2 L' R2 U2
F' B U' B2 R2 L' U2
B2 F U' B R2 U2 R'
F B U D2 L2 R F2
F B U D2 R L2 F2
F B U D2 R F2 L2
R2 B' L U L' B' U
B F U' R2 B2 L U2
F B U' R2 B2 L U2
B F U' B2 R2 U2 R'
F B U' B2 R2 U2 R'
F' B D' R2 F2 U R
F' B D' F2 R2 U R'
F' B D2 U F2 L2 R
F' B D2 U F2 R L2
B F D' R2 F2 U R'
F B D' R2 F2 U R'
B F D2 U L2 R F2
B F D2 U R L2 F2
B F D2 U R F2 L2
B' F' L' R2 U L U
U2 B' R2 U' R2 U' R'
U2 B' R2 U2 D R B2
U2 B' R2 U2 D B2 R
U2 B' R2 D U2 R B2
U2 B' R2 D U2 B2 R
U2 B' R2 D' F2 L' U2
F' B' L' R2 U L U
F B D2 U L2 R F2
F B D2 U R L2 F2
F B D2 U R F2 L2
R2 B' U L' B' U B
R2 B' U B U B' R'
B' F' R2 L' U L U
F' B' R2 L' U L U
B2 F' U' L' R2 U2 F'
B2 F' U' L' B R2 U2
B2 F' U' R2 L' U2 F'
B F' U D2 F2 L2 R
B F' U D2 F2 R L2
B2 F' U' B L' R2 U2
B2 F' U' B R2 L' U2
B F' U' L' R2 B2 U2
B F' U' L' B2 R2 U2
B F' U' R2 L' B2 U2
B F' U' R2 B2 L' U2
R2 B' F' L' U L U
B F' U' B2 L' R2 U2
B F' U' B2 R2 L' U2
B F' D' R2 F2 U R
B F' D' F2 R2 U R'
B F' D2 U F2 L2 R
B F' D2 U F2 R L2
U' B2 R2 U2 D' F' R
U' B2 R2 D' U2 F' R
U2 B2 U B R2 U2 R
F' B2 U' L' R2 U2 F'
F' B2 U' L' B R2 U2
F' B2 U' R2 L' U2 F'
B2 F2 U' R2 U2 F' R
F2 B2 U' R2 U2 F' R
F' B2 U' B L' R2 U2
F' B2 U' B R2 L' U2
F B2 U' R2 U2 F' R'
F B2 U' B R2 U2 R'
D' B2 F2 R2 U F' R
D' B2 F2 U R2 F' R
