R2 L U' R' F U2
R2 L U' F R' U2
F2 L R2 U L2 B'
R2 L' U B2 L B
R2 L' U' R' U2 B'
D' L' U F2 B' L'
D' L' U B' F2 L'
L' R2 U B2 L B
L' R2 U' R' U2 B'
L2 R2 U B2 L B'
R2 L2 U B2 L B'
L R2 U' R' F U2
L R2 U' F R' U2
F2 L2 R2 U L B'
L' U D' F2 B' L'
L' U D' B' F2 L'
L' U B' D' F2 L'
R2 U B2 D L B'
F2 R2 L U L2 B'
F2 R2 L2 U L B'
L' D' U F2 B' L'
L' D' U B' F2 L'
L' F2 R2 U B' L'
B2 D' F2 L' R2 B'
B2 D' F2 L' B' R2
B2 D' F2 R2 L' B'
L F2 R2 U L' B
L F2 R2 U B L'
L' R2 F2 U' R' U2 B'
L2 R2 F2 U B2 L B'
R2 L2 F2 U B2 L B'
L R2 F2 U' F' R' U2
L' U L D' F2 L' B'
L2 U L D' F2 B' L'
L2 U L D' B' F2 L'
L2 U L B' D' F2 L'
R2 U L B2 D L B'
L U L' D' F2 L' B'
F2 L2 F R2 U L B'
R2 U L' B2 D L B'
L2 U L2 D' F2 L' B'
L U L2 D' F2 B' L'
L U L2 D' B' F2 L'
F2 L2 F' R2 U L B'
R2 U L2 B2 D L B'
L U L2 B' D' F2 L'
R U R U R B R2
F2 L2 F2 R2 U L B'
L' U D' L F2 L' B'
R2 U D B2 D L B'
L' U D' F2 D B' L'
L' U D' F2 D' B' L'
L' U D' F2 D2 B' L'
L' U D' F2 B L' B2
L' U D' F2 B' L' D
L' U D' F2 B' L' D'
L' U D' F2 B' L' D2
L' U D' F2 B' D L'
L' U D' F2 B' D' L'
L' U D' F2 B' D2 L'
L' U D' F2 B2 L' B
L' U D' B F2 L' B2
L' U D' B' L F2 L'
L' U D' B' L' F2 L'
L' U D' B' L2 F2 L'
L' U D' B' F2 L' D
L' U D' B' F2 L' D'
L' U D' B' F2 L' D2
L' U D' B' F2 D L'
L' U D' B' F2 D' L'
L' U D' B' F2 D2 L'
L U D' L' F2 L' B'
L' U D' B2 F2 L' B
L U D' L2 F2 B' L'
L U D' L2 B' F2 L'
R2 U D' B2 D L B'
L' U D2 B' D F2 L'
R2 U D2 B2 D L B'
U' R U L' R U B'
U' R U R L' U B'
U R U R U B R2
L' U F2 D' B' L' F2
L' U F2 B' L' D' F2
L' U F2 B' D' L' F2
R U B L R U R'
R2 U B U' L F U
R U B R L U R'
L' U B' L D' F2 L'
L' U B' L' D' F2 L'
L' U B' L2 D' F2 L'
L' U B' D' L F2 L'
L' U B' D' L' F2 L'
L' U B' D' L2 F2 L'
L' U B' D' F2 L' D
L' U B' D' F2 L' D'
L' U B' D' F2 L' D2
L' U B' D' F2 D L'
L' U B' D' F2 D' L'
L' U B' D' F2 D2 L'
L' U B' F2 L' D' F2
L' U B' F2 D' L' F2
L' U B2 D' F2 L' B
L' U B2 D' F2 B L'
L' U B2 D' B F2 L'
R2 U B2 D L D B'
R2 U B2 D L D' B'
R2 U B2 D L D2 B'
R2 U B2 D L B' D
R2 U B2 D L B' D'
R2 U B2 D L B' D2
L' U' R U R U B'
R2 U' R' U L' U B'
R2 U' R' U' R U' B
R2 U' R' F U' R U'
R2 U' R' F' U L' U
L' U' D R B2 U2 B
L U' D R F B2 U2
L U' D R B2 F U2
L' U' D' R U2 F2 B'
L' U' D' R U2 B' F2
L U' D B2 R F U2
L U' D' R F U2 F
L U' D' F U2 F L'
R2 U' F R' U' R2 U'
R2 U' F R' U2 D B2
R2 U' F R' D U2 B2
R2 U' F R' D' F2 U2
R2 U' F' R' U L' U
R2 U' F2 D R' U2 B
R2 U2 R U R2 F' U2
R2 U2 R U' D2 L2 B
R2 U2 R U' D2 B L2
R2 U2 R U' B D2 L2
R2 U2 R D B2 U' B'
R2 U2 R D2 U' L2 B
R2 U2 R D2 U' B L2
R2 U2 R2 U R F' U2
F2 R2 L U L2 D B'
F2 R2 L U L2 D' B'
F2 R2 L U L2 D2 B'
F2 R2 L U L2 B' D
F2 R2 L U L2 B' D'
F2 R2 L U L2 B' D2
F2 R2 L U B L2 B'
F2 R2 L U B' L2 B'
F2 R2 L U B2 L2 B'
F2 R2 L U' F U2 L2
F R2 L U' F U2 L'
F' R2 L' F' U B' L'
F R2 L' U D2 B' L
B2 R2 L' B2 U L B
F2 R2 L2 U L D B'
F2 R2 L2 U L D' B'
F2 R2 L2 U L D2 B'
F2 R2 L2 U L B' D
F2 R2 L2 U L B' D'
F2 R2 L2 U L B' D2
F R2 L' D2 U B' L
F R2 L' F U B' L'
F2 R2 L2 F U L B'
F2 R2 L2 F' U L B'
F2 R2 L2 F2 U L B'
B2 R2 L2 B2 U L B'
F2 R2 U B L' D' B2
U2 R2 U' R' U2 B R
F2 R2 U2 R U' L' B
F2 R2 U2 R U' B L'
F2 R2 D L U L2 B'
F2 R2 D L2 U L B'
F2 R2 D' L U L2 B'
R2 U2 B2 R U' L B
F2 R2 D' L2 U L B'
F R2 D' L' F U B'
F2 R2 D2 L U L2 B'
R2 D L U' R' F U2
R2 D L U' F R' U2
F2 R2 D2 L2 U L B'
F R2 D2 L' U B' L
R2 D L' U B2 L B
R2 D L' U' R' U2 B'
F R2 F L U L2 B'
F' R2 F' L U L2 B'
F R2 F L2 U L B'
F' R2 F' L2 U L B'
R2 D L2 U B2 L B'
B R2 B' L' U B' L
B2 R2 B2 L' U B' L2
L' D U' R B2 U2 B
R2 D U B2 D L B'
L D U' R F B2 U2
L D U' R B2 F U2
L D U' B2 R F U2
R' D' L' R' F2 U B'
R2 D' L U' R' F U2
R2 D' L U' F R' U2
R' D' L' F2 R' U B'
D' U F2 B L' D' B2
R2 D' L' U B2 L B
R2 D' L' U' R' U2 B'
D' U B F2 L' D' B2
R2 D' L2 U B2 L B'
L D' L2 U F2 B' L'
L D' L2 U B' F2 L'
R' D' R' L' F2 U B'
R' D' R' F2 L' U B'
F2 U B L' D' F2 B2
F2 U B L' D' B2 F2
L' D' U L F2 L' B'
L' D' U F2 D B' L'
L' D' U F2 D' B' L'
L' D' U F2 D2 B' L'
L' D' U F2 B L' B2
L' D' U F2 B' L' D
L' D' U F2 B' L' D'
L' D' U F2 B' L' D2
L' D' U F2 B' D L'
L' D' U F2 B' D' L'
L' D' U F2 B' D2 L'
L' D' U F2 B2 L' B
L' D' U B F2 L' B2
L' D' U B' L F2 L'
L' D' U B' L' F2 L'
L' D' U B' L2 F2 L'
L' D' U B' F2 L' D
L' D' U B' F2 L' D'
L' D' U B' F2 L' D2
L' D' U B' F2 D L'
L' D' U B' F2 D' L'
L' D' U B' F2 D2 L'
L' D' U B2 F2 L' B
L' D' U' R U2 F2 B'
L' D' U' R U2 B' F2
L D' U L' F2 L' B'
R2 D' U B2 D L B'
L D' U L2 F2 B' L'
L D' U L2 B' F2 L'
L D' U' R F U2 F
L D' U' F U2 F L'
L' D' F U F B' L'
L' D' F U B' F L'
R' D' F2 L' R' U B'
R' D' F2 R' L' U B'
U D' F2 B L' D' B2
R' D2 L' R' U B' L'
R2 D2 L U' R' F U2
R2 D2 L U' F R' U2
U D' B F2 L' D' B2
R2 D2 L' U B2 L B
R2 D2 L' U' R' U2 B'
R2 D2 L2 U B2 L B'
R' D2 R' L' U B' L'
L' D2 U B' D F2 L'
R2 D2 U B2 D L B'
R2 F L U' R' F U2
R2 F L U' F R' U2
R2 F L' U B2 L B
R2 F L' U' R' U2 B'
R2 F L2 U B2 L B'
L' F R2 U D2 B' L
L' F R2 D2 U B' L
L' F R2 F U B' L'
R2 F U B2 D L B'
R2 F' L U' R' F U2
R2 F' L U' F R' U2
R2 F' L' U B2 L B
R2 F' L' U' R' U2 B'
R2 F' L2 U B2 L B'
L' F' R2 F' U B' L'
R2 F' U B2 D L B'
F2 D' L U L2 F2 B'
F2 D' L U L2 B' F2
B2 D' L F2 L' R2 B
B2 D' L F2 R2 L' B
B2 D' L F2 R2 B L'
B2 D' L' F2 R2 B' L'
B2 D' L' F2 B' L' R2
B2 D' L' F2 B' R2 L'
B2 D' L' B' F2 L' R2
B2 D' L' B' F2 R2 L'
F2 D' L2 U L F2 B'
F2 D' L2 U L B' F2
F2 D' L2 U F2 L B'
F D' L' F U F B'
F D' L' F U B' F
B2 D' R U2 R F2 B
B2 D' R U2 R B F2
L2 F2 L R2 U B' L2
R2 F2 L U' R' F U2
R2 F2 L U' F R' U2
D' F2 L' B' U' B U
D' F2 L' B2 D' B R2
L F2 L R2 U L2 B
L F2 L R2 U B L2
B2 D' F R2 F L' B'
R2 F2 L' U B2 L B
R2 F2 L' U' R' U2 B'
R2 F2 L2 U B2 L B'
B' D' F2 L' B' D' R2
B2 D' F2 L' R B' R
B2 D' F2 L' R2 D B'
B2 D' F2 L' R2 D' B'
B2 D' F2 L' R2 D2 B'
B2 D' F2 L' R2 B' D
B2 D' F2 L' R2 B' D'
B2 D' F2 L' R2 B' D2
B2 D' F2 L' B R2 B2
B2 D' F2 L' B' R2 D
B2 D' F2 L' B' R2 D'
B2 D' F2 L' B' R2 D2
L F2 L2 R2 U L B
B2 D' F2 R L' B' R
B2 D' F2 R2 L' D B'
B2 D' F2 R2 L' D' B'
B2 D' F2 R2 L' D2 B'
B2 D' F2 R2 L' B' D
B2 D' F2 R2 L' B' D'
B2 D' F2 R2 L' B' D2
B2 D' F2 R2 D L' B'
B2 D' F2 R2 D' L' B'
B2 D' F2 R2 D2 L' B'
B2 D' F2 R2 B L' B'
B2 D' F2 R2 B' L' B'
B2 D' F2 R2 B2 L' B'
B2 D' F2 B L' R2 B'
B2 D' F2 B L' B' R2
B2 D' F2 B R2 L' B'
B2 D' F2 B' L' R2 B'
B2 D' F2 B' L' B' R2
B2 D' F2 B' R2 L' B'
B2 D' F2 B2 L' R2 B'
B2 D' F2 B2 L' B' R2
B2 D' F2 B2 R2 L' B'
L' F2 R2 U D B' L'
L' F2 R2 U D' B' L'
L' F2 R2 U D2 B' L'
L' F2 R2 U B L' B2
L' F2 R2 U B' L' D
L' F2 R2 U B' L' D'
L' F2 R2 U B' L' D2
L' F2 R2 U B' D L'
L' F2 R2 U B' D' L'
L' F2 R2 U B' D2 L'
L' F2 R2 U B2 L' B
L' F2 R2 D U B' L'
L' F2 R2 D' U B' L'
L' F2 R2 D2 U B' L'
L2 F2 R2 L U B' L2
B2 D' B F2 L' R2 B'
B2 D' B F2 L' B' R2
B2 D' B F2 R2 L' B'
L2 F2 R2 U L B' L2
L' F2 U D' B' L' F2
B2 D' B' F2 L' R2 B'
B2 D' B' F2 L' B' R2
B2 D' B' F2 R2 L' B'
L F2 R2 L U L2 B
L F2 R2 L U B L2
L' F2 U B' L' D' F2
L' F2 U B' D' L' F2
L F2 R2 L2 U L B
L F2 R2 U L B L2
L F2 R2 U L' D B
L F2 R2 U L' D' B
L F2 R2 U L' D2 B
L F2 R2 U L' B D
L F2 R2 U L' B D'
L F2 R2 U L' B D2
L F2 R2 U D L' B
L F2 R2 U D B L'
L F2 R2 U D' L' B
L F2 R2 U D' B L'
L F2 R2 U D2 L' B
L F2 R2 U D2 B L'
L F2 R2 U B L' D
L F2 R2 U B L' D'
L F2 R2 U B L' D2
L F2 R2 U B D L'
L F2 R2 U B D' L'
L F2 R2 U B D2 L'
L F2 R2 U B' L' B2
L F2 R2 D U L' B
L F2 R2 D U B L'
L F2 R2 D' U L' B
L F2 R2 D' U B L'
L F2 R2 D2 U L' B
L F2 R2 D2 U B L'
B2 D' B2 F2 L' R2 B'
B2 D' B2 F2 L' B' R2
B2 D' B2 F2 R2 L' B'
R2 F2 U B2 D L B'
L' F2 D' U B' L' F2
U2 F2 D' L' F2 R B
D' F2 B' L' B' D' R2
D' F2 B2 L' D' R2 B'
D' F2 B2 L' D' B' R2
U F2 B L' D' F2 B2
U F2 B L' D' B2 F2
D' F2 B2 D' L' R2 B'
D' F2 B2 D' L' B' R2
D' F2 B2 D' R2 L' B'
U B L' D' F2 L' B2
U B L' D' F2 B2 L'
U B L' D' B2 F2 L'
B2 D2 F2 L2 U' L B'
L' B R2 B' U B' L
U B D' F2 L' D' B2
U B F2 L' D' F2 B2
U B F2 L' D' B2 F2
R2 B' L' B U B2 L
F2 B' L' B' D' R2 F2
F2 B' L' B' D' F2 R2
R B' U B L R U
R B' U B R L U
D' B' F2 L' B' D' R2
R2 B2 L' B2 U L2 B
R2 B2 L' B2 U B L2
B' F2 L' B' D' R2 F2
B' F2 L' B' D' F2 R2
B2 F2 L' D' R2 F2 B'
B2 F2 L' D' R2 B' F2
B2 F2 L' D' F2 R2 B'
B2 F2 L' D' F2 B' R2
B2 F2 L' D' B' R2 F2
B2 F2 L' D' B' F2 R2
F2 B2 L' D' R2 F2 B'
F2 B2 L' D' R2 B' F2
F2 B2 L' D' F2 R2 B'
F2 B2 L' D' F2 B' R2
F2 B2 L' D' B' R2 F2
F2 B2 L' D' B' F2 R2
L2 B2 R2 B2 U L B'
L' B2 D' F2 L' B R2
L' B2 D' F2 B L' R2
L' B2 D' F2 B R2 L'
L' B2 D' B F2 L' R2
L' B2 D' B F2 R2 L'
D B2 D' R U2 R B
L B2 D' F2 L' R2 B
L B2 D' F2 R2 L' B
L B2 D' F2 R2 B L'
B2 F2 D' L' R2 F2 B'
B2 F2 D' L' R2 B' F2
B2 F2 D' L' F2 R2 B'
B2 F2 D' L' F2 B' R2
B2 F2 D' L' B' R2 F2
B2 F2 D' L' B' F2 R2
F2 B2 D' L' R2 F2 B'
F2 B2 D' L' R2 B' F2
F2 B2 D' L' F2 R2 B'
F2 B2 D' L' F2 B' R2
F2 B2 D' L' B' R2 F2
F2 B2 D' L' B' F2 R2
B2 F2 D' R2 L' F2 B'
B2 F2 D' R2 L' B' F2
F2 B2 D' R2 L' F2 B'
F2 B2 D' R2 L' B' F2
D' B2 F2 L' D' R2 B'
D' B2 F2 L' D' B' R2
D' B2 F2 D' L' R2 B'
D' B2 F2 D' L' B' R2
D' B2 F2 D' R2 L' B'
