U' R' D B' L2 U'
U' R' D2 B' U' F2
U' R' B' L2 U' F
U' R' B' U B' U2
B2 R2 U L F' U
B2 R2 U F' L U
B2 U L U2 B U'
U' D R' B' L2 U'
D2 U' R' B' U' F2
D U' R' B' L2 U'
B2 U' B2 R' B' U'
U' D2 R' B' U' F2
R' B2 U' B U' B'
R2 B2 U' B R U'
R B2 U' B R2 U'
B2 U L U2 B U' D2
B2 U L U2 B D U'
B2 U L U2 B D' U'
B2 U L U2 B D2 U'
F R2 B2 U' B R U'
B2 U L D U2 B U'
B2 U L D' U2 B U'
R2 D U' B' L2 R U'
R2 D U' B' R L2 U'
B2 U L D2 U2 B U'
B2 U L F U2 B U'
B2 U L F' U2 B U'
B2 U L F2 U2 B U'
U' D L2 R' U2 F U
U' D R B' L2 R2 U'
U' D R B' R2 L2 U'
U' D R' L2 U2 F U
U' D R' D B' U' F2
U' D R' B L2 B2 U'
U' D R' B' L2 U' D
U' D R' B' L2 U' D'
U' D R' B' L2 U' D2
U' D R' B' L2 D U'
U' D R' B' L2 D' U'
U' D R' B' L2 D2 U'
U' D R' B' U' D F2
U' D R' B' D U' F2
U' D R' B2 L2 B U'
R' D B' L2 U L2 U2
R' D B' L2 U' D2 R2
R' D B' L2 D F2 U'
R' D B' L2 D2 U' R2
D' U R2 U2 R B' U'
D' U R2 U2 B' R U'
B2 U R2 L F' R2 U
U2 D R' B' L2 U' R
U' D R2 B' L2 R U'
U' D R2 B' R L2 U'
B2 U R2 F' L R2 U
B2 U R2 F' R2 L U
B2 U D L U2 B U'
B2 U D' L U2 B U'
B2 U D2 L U2 B U'
B2 U F L U2 B U'
B2 U F' L U2 B U'
B2 U F2 L U2 B U'
B' U B' U L B U
D U' L2 R' U2 F U
D2 U' R B' R2 U' F2
D2 U' R' D' B' L2 U'
U' D' R' B2 L B U'
D' U' R' B2 L B U'
D2 U' R' B' L U' F2
D2 U' R' B' L' U' F2
D2 U' R' B' L2 U' F2
D2 U' R' B' U' F2 D
D2 U' R' B' U' F2 D'
D2 U' R' B' U' F2 D2
D2 U' R' B' D' L2 U'
D U' R B' L2 R2 U'
D U' R B' R2 L2 U'
L2 D' F B2 L R2 U
L2 D' F B2 R2 L U
D U' R' L2 U2 F U
D U' R' D B' U' F2
D2 U' R2 B' R U' F2
D U' R' B L2 B2 U'
D U' R' B' L2 U' D
D U' R' B' L2 U' D'
D U' R' B' L2 U' D2
D U' R' B' L2 D U'
D U' R' B' L2 D' U'
D U' R' B' L2 D2 U'
D U' R' B' U' D F2
D U' R' B' D U' F2
D U' R' B2 L2 B U'
U D' R2 U2 R B' U'
B2 U' R B2 R' B U'
U D' R2 U2 B' R U'
D U' R2 B' L2 R U'
D U' R2 B' R L2 U'
F' U' R' D B' L2 U'
B2 U' R' U2 L F U
F' U' R' D2 B' U' F2
F2 U' R' D B' L2 U'
F2 U' R' D2 B' U' F2
F' U' R' B' L2 U' F
F' U' R' B' U B' U2
F2 U' R' B' L2 U' F
F2 U' R' B' U B' U2
R' D' B' U2 R2 U R2
B2 U' R2 U2 L F' U
B2 U' R2 U2 F' L U
F U' R' D B' L2 U'
F U' R' D2 B' U' F2
F U' R' B' L2 U' F
F U' R' B' U B' U2
F' U' D R' B' L2 U'
F2 U' D R' B' L2 U'
L2 D' B2 R2 F L U
B2 U' D B2 R' B' U'
L2 D' B2 F L R2 U
L2 D' B2 F R2 L U
F U' D R' B' L2 U'
B2 U' D' B2 R' B' U'
F' U' D2 R' B' U' F2
F2 U' D2 R' B' U' F2
B2 U' D2 B2 R' B' U'
F U' D2 R' B' U' F2
B2 U' B D' R' U' B
U' D2 R B' R2 U' F2
U' D2 R' D' B' L2 U'
B2 U' B2 R B' R2 U'
B2 U' B2 R' D B' U'
B2 U' B2 R' D' B' U'
B2 U' B2 R' D2 B' U'
B2 U' B2 R' B' U' D
B2 U' B2 R' B' U' D'
B2 U' B2 R' B' U' D2
B2 U' B2 R' B' D U'
B2 U' B2 R' B' D' U'
B2 U' B2 R' B' D2 U'
U' D2 R' B' L U' F2
U' D2 R' B' L' U' F2
U' D2 R' B' L2 U' F2
U' D2 R' B' U' F2 D
U' D2 R' B' U' F2 D'
U' D2 R' B' U' F2 D2
B2 U' B2 R2 B' R U'
U' D2 R' B' D' L2 U'
D2 U2 R' B' U' R F2
R' D2 U' B' U' F2 B
R' D2 U' B' U' B F2
B2 U' B2 D R' B' U'
B2 U' B2 D' R' B' U'
B2 U' B2 D2 R' B' U'
R D2 U L2 F U F
U2 D2 R' B' U' R F2
B2 U2 L U B U' B'
R2 D2 U' R B' U' F2
U' D2 R2 B' R U' F2
R2 D2 U' B' R U' F2
D U2 R' B' L2 U' R
D2 U2 F2 U R' B' U'
U2 D2 F2 U R' B' U'
R' D2 B' L U' F2 R
R' D2 B' U' F2 D R2
B2 U2 B2 U R' B' U'
D2 F U' R' B' U' F
D F U' R' B' L2 U'
L2 F D' B2 L R2 U
L2 F D' B2 R2 L U
B2 D R2 U L F' U
B2 D R2 U F' L U
B2 D U L U2 B U'
R' F B2 U' B U' B'
F' D U' R' B' L2 U'
F2 D U' R' B' L2 U'
B2 D U' B2 R' B' U'
R F B2 U' B R2 U'
F D U' R' B' L2 U'
B D B U L U L
D F' U' R' B' L2 U'
B2 D' R2 U L F' U
B2 D' R2 U F' L U
B2 D' U L U2 B U'
R' F' B2 U' B U' B'
B2 D' U' B2 R' B' U'
R F' B2 U' B R2 U'
B D' B R2 U L U
D F2 U' R' B' L2 U'
B2 D2 R2 U L F' U
B2 D2 R2 U F' L U
B2 D2 U L U2 B U'
R' F2 B2 U' B U' B'
F' D2 U' R' B' U' F2
F2 D2 U' R' B' U' F2
B2 D2 U' B2 R' B' U'
F D2 U' R' B' U' F2
R F2 B2 U' B R2 U'
B D2 B U L F2 U
B D2 B U F2 L U
R B U' R2 B2 U' F'
R B U2 D B2 L2 F
R B D U2 B2 L2 F
R B D B U2 L2 B
R B D B U2 B L2
R B D' R2 F2 U2 F
B2 F R2 U L F' U
B2 F R2 U F' L U
R B D' F2 R2 U2 F'
R B D' F2 B R2 U2
R B D' B R2 F2 U2
R B D' B F2 R2 U2
B2 F U L U2 B U'
R' B' L' U L B' U2
B2 F U' B2 R' B' U'
R' B' L2 U L2 B' U2
R' B' L2 U' D2 R2 F
R' B' L2 U' D2 F R2
R' B' L2 U' F D2 R2
R' B' L2 D F2 U' F'
R' B' L2 D2 U' R2 F
R' B' L2 D2 U' F R2
U' B' U B' U L U
R' B' U B' U B U
B2 F' R2 U L F' U
B2 F' R2 U F' L U
B2 F' U L U2 B U'
B2 F' U' B2 R' B' U'
R' B2 R U' R' B U'
L B2 L' U L2 F U
R' B2 R2 U' R2 B U'
D' B2 U L R2 F' U
D' B2 U R2 L F' U
D' B2 U R2 F' L U
R' B2 U' D B U' B'
R' B2 U' D' B U' B'
R' B2 U' D2 B U' B'
R' B2 U' B R U' B'
R' B2 U' B R' U' B'
R' B2 U' B R2 U' B'
R' B2 U' B U' D B'
R' B2 U' B U' D' B'
R' B2 U' B U' D2 B'
R' B2 U' B U' B' D
R' B2 U' B U' B' D'
R' B2 U' B U' B' D2
R' B2 U' B D U' B'
R' B2 U' B D' U' B'
R' B2 U' B D2 U' B'
F' B2 R2 U L F' U
F' B2 R2 U F' L U
B2 F2 R2 U L F' U
B2 F2 R2 U F' L U
F2 B2 R2 U L F' U
F2 B2 R2 U F' L U
F' B2 U L U2 B U'
R2 B2 U' D B R U'
R2 B2 U' D' B R U'
B2 F2 U L U2 B U'
R2 B2 U' D2 B R U'
F2 B2 U L U2 B U'
R2 B2 U' B R U' D
R2 B2 U' B R U' D'
R2 B2 U' B R U' D2
R2 B2 U' B R D U'
R2 B2 U' B R D' U'
R2 B2 U' B R D2 U'
R2 B2 U' B D R U'
R2 B2 U' B D' R U'
R2 B2 U' B D2 R U'
R2 B2 U' B' R B2 U'
R2 B2 U' B2 R B' U'
R' B2 D U' B U' B'
F B2 R2 U L F' U
F B2 R2 U F' L U
R B2 U' R2 U2 F' U
R B2 U' D B U' B
R' B2 D' U' B U' B'
F B2 U L U2 B U'
R B2 U' B R2 U' D
R B2 U' B R2 U' D'
R B2 U' B R2 U' D2
R B2 U' B R2 D U'
R B2 U' B R2 D' U'
R B2 U' B R2 D2 U'
R B2 U' B U' D B2
R B2 U' B D U' B2
F' B2 U' B2 R' B' U'
R B2 U' B' R2 B2 U'
R B2 U' B2 R2 B' U'
B2 F2 U' B2 R' B' U'
R2 B2 D U' B R U'
F2 B2 U' B2 R' B' U'
R' B2 D2 U' B U' B'
R B2 U2 B' D L2 B2
R B2 U2 B' D B2 L2
R2 B2 D' U' B R U'
R B2 D U' B U' B
R' B2 F U' B U' B'
F B2 U' B2 R' B' U'
R2 B2 D2 U' B R U'
R' B2 F' U' B U' B'
R B2 D' F2 U' B U'
R' B2 F2 U' B U' B'
R B2 F U' B R2 U'
R B2 F' U' B R2 U'
R B2 F2 U' B R2 U'
