B' R D' F' L' F'
B' R F D' F2 L'
B' R F' L' D' F2
B' R F' D' L' F2
B' U' R' F' U R2
B2 D' B R F' L'
R B' U' R' F' U
R' U' R2 D B' L F
U' R B' L D F L2
U' R B' L F D L2
U' R B' L' D L2 F
D' R B' U' R' F' U
D2 R B' U' R' F' U
U' R B' D L F L
D R B' U' R' F' U
B R B2 U' R' F' U
U R' U' F' R2 B' L'
U R' U' F' B' L' R2
U R' U' F' B' R2 L'
U R' U' B' F' L' R2
U R' U' B' F' R2 L'
B' R' F' L' R2 D' F2
B' R' F' R2 L' D' F2
B' R' F' R2 D' L' F2
U' R2 D R' B' L F
R D B' U' R' F' U
B' U' R' D F' B2 U
B' U' R' D B2 F' U
B' U' R' F' U R2 D
B' U' R' F' U R2 D'
B' U' R' F' U R2 D2
B' U' R' F' D B2 U
B' U' R' F' B U R2
B' U' R' F' B' U R2
B' U' R' F' B2 U R2
B' U' R' B F' U R2
B' U' R' B' F' U R2
B' U' R' B2 F' U R2
B' U' D R' F' U R2
R D' B' U' R' F' U
B' U' D' R' F' U R2
B' U' D2 R' F' U R2
B' U' F R' F' U R
R D2 B' U' R' F' U
B2 U2 D' B L R F'
B2 U2 D' B R L F'
B2 U2 D' B R F' L
B2 U2 B L R D' F2
B2 U2 B R L D' F2
B2 U2 B R D' L F2
B2 U2 B R D' F2 L
B' D R D' F' L' F'
B' D R F D' F2 L'
B' D R F' L' D' F2
B' D R F' D' L' F2
B' D U' R' F' U R2
B2 D F' L' F B R
B2 D F' L' B F R
B2 D F' B L' F R
B2 D B R F' L' F
B2 D B D2 R F' L'
B2 D B F' L' F R
R2 F' U R' B' L' F'
B2 D' L B R F' L'
B2 D' L' B R F' L'
B2 D' L2 B R F' L'
B' D' R D' F' L' F'
B' D' R F D' F2 L'
B' D' R F' L' D' F2
B' D' R F' D' L' F2
R F' B L' B2 D F2
B' D' U' R' F' U R2
R F' B' L' U' R' U
R F' B' U' R' U L'
B2 D' U2 B L R F'
B2 D' U2 B R L F'
B2 D' U2 B R F' L
R F' B2 D L' F B
R F' B2 D L' B F
R F' B2 D B L' F
B2 D' B L R F' L'
B2 D' B L' R F' L'
B2 D' B L2 R F' L'
B2 D' B R L F' L'
B2 D' B R L' F' L'
B2 D' B R L2 F' L'
B2 D' B R D F' L'
B2 D' B R D' F' L'
B2 D' B R D2 F' L'
B2 D' B R F' L' D
B2 D' B R F' L' D'
B2 D' B R F' L' D2
B2 D' B R F' D L'
B2 D' B R F' D' L'
B2 D' B R F' D2 L'
B2 D' B' R F' L' B2
B2 D' B' R F' B2 L'
B2 D' B' R B2 F' L'
B2 D' B2 R F' B' L'
B2 D' B2 R B' F' L'
B' D2 R D' F' L' F'
B' D2 R F D' F2 L'
B' D2 R F' L' D' F2
B' D2 R F' D' L' F2
B' D2 U' R' F' U R2
B2 D2 B D R F' L'
U2 B U L R F B2
U2 B U L R B2 F
U2 B U L B2 R F
U2 B U R L F B2
U2 B U R L B2 F
R B F' L' B2 D F2
U' B' R U B L U'
R B' L U' R' F' U
D2 B' R D' F' L' F'
D' B' R D' F' L' F'
D2 B' R F D' F2 L'
D2 B' R F' L' D' F2
D2 B' R F' D' L' F2
D' B' R F D' F2 L'
D' B' R F' L' D' F2
D' B' R F' D' L' F2
R B' L' U' R' F' U
R B' L2 U' R' F' U
D B' R D' F' L' F'
D B' R F D' F2 L'
D B' R F' L' D' F2
D B' R F' D' L' F2
B' F' L' F R D' F2
F' B' L' F R D' F2
R' B' U' R' F' U R'
D2 B' U' R' F' U R2
D' B' U' R' F' U R2
D B' U' R' F' U R2
R B' U' R' D F' U
R B' U' R' D' F' U
R B' U' R' D2 F' U
R B' U' R' F' U D
R B' U' R' F' U D'
R B' U' R' F' U D2
R B' U' R' F' D U
R B' U' R' F' D' U
R B' U' R' F' D2 U
R B' U' D R' F' U
R B' U' D' R' F' U
R B' U' D2 R' F' U
R B' U' F R' F' U
R B' U' F' R' F' U
R B' U' F2 R' F' U
R B' D U' R' F' U
R B' D' U' R' F' U
R B' D2 U' R' F' U
B2 F' D L' F B R
B2 F' D L' B F R
B2 F' D B L' F R
R B' F' L' U' R' U
R B' F' U' R' U L'
D2 B2 D' B R F' L'
D' B2 D' B R F' L'
F' B2 D L' F B R
F' B2 D L' B F R
D B2 D' B R F' L'
R B2 D F' L' F B
R B2 D F' L' B F
L B2 D' R F' L' B'
F' B2 D B L' F R
R B2 D F' B L' F
R B2 D B F' L' F
R B2 F' D L' F B
R B2 F' D L' B F
R B2 F' D B L' F
