L' U' L' R' B'
L' U' R' L' B'
L' R U' L' R2 B'
L' R U' L' B' R2
L' R U' R2 L' B'
R2 L' U' L' R B'
R2 L' U' L' B' R
R2 L' U' R L' B'
R L' U' L' R2 B'
R L' U' L' B' R2
R L' U' R2 L' B'
U' L' U' R' B' L'
L' R2 U' L' R B'
L' R2 U' L' B' R
L' R2 U' R L' B'
L' U' L' R B' R2
L' U' L' R' D B'
L' U' L' R' D' B'
L' U' L' R' D2 B'
L' U' L' R' B' D
L' U' L' R' B' D'
L' U' L' R' B' D2
L' U' L' R2 B' R
L' U' L' D R' B'
L' U' L' D' R' B'
L' U' L' D2 R' B'
L' U' R L' B' R2
L' U' R' L' D B'
L' U' R' L' D' B'
L' U' R' L' D2 B'
L' U' R' L' B' D
L' U' R' L' B' D'
L' U' R' L' B' D2
L' U' R' D L' B'
L' U' R' D' L' B'
L' U' R' D2 L' B'
L' U' R' B L' B'
L' U' R' B' L' B'
L' U' R' B2 L' B'
L' U' R2 L' B' R
L' U' D L' R' B'
L' U' D R' L' B'
L' U' D' L' R' B'
L' U' D' R' L' B'
L' U' D2 L' R' B'
L' U' D2 R' L' B'
L' U' B L' B' R'
L' D U' L' R' B'
L' D U' R' L' B'
L' D' U' L' R' B'
L' D' U' R' L' B'
L' D2 U' L' R' B'
L' D2 U' R' L' B'
R L' U' R2 L' B' D
R L' U' R2 L' B' D'
R L' U' R2 L' B' D2
R L' U' R2 D L' B'
R2 L' U' D' L' R B'
R L' U' R2 D' L' B'
R2 L' U' D' L' B' R
R L' U' R2 D2 L' B'
R2 L' U' D' R L' B'
R L' U' R2 B L' B'
R L' U' R2 B' L' B'
R L' U' R2 B2 L' B'
R2 L' U' D2 L' R B'
R2 L' U' D2 L' B' R
R2 L' U' D2 R L' B'
R2 L' U' B L' R B'
R2 L' U' B L' B' R
R2 L' U' B R L' B'
R2 L' U' B' L' R B'
R2 L' U' B' L' B' R
R2 L' U' B' R L' B'
R L' U' B L' R2 B'
R L' U' B L' B' R2
R L' U' B R2 L' B'
R2 L' U' B2 L' R B'
R2 L' U' B2 L' B' R
R2 L' U' B2 R L' B'
R L' U' B' L' R2 B'
R L' U' B' L' B' R2
R L' U' B' R2 L' B'
R L' U' B2 L' R2 B'
R L' U' B2 L' B' R2
R L' U' B2 R2 L' B'
U' L' R U' R2 B' L'
U' L' R U' B' L' R2
U' L' R U' B' R2 L'
U L' R U' L' B R2
U L' R U' B L' R2
U L' R U' B R2 L'
R2 L' D U' L' R B'
R2 L' D U' L' B' R
R2 L' D U' R L' B'
B' L' R' B U' L' R'
B' L' R' B U' R' L'
U' L' R2 U' R B' L'
U' L' R2 U' B' L' R
U' L' R2 U' B' R L'
U2 L' R2 U' L' R B
U2 L' R2 U' R L' B
U2 L' R2 U' R B L'
R2 L' D' U' L' R B'
R2 L' D' U' L' B' R
R2 L' D' U' R L' B'
R2 L' D2 U' L' R B'
R2 L' D2 U' L' B' R
R2 L' D2 U' R L' B'
U' L' U' L' D2 R' B
U2 L' U' L' R B R2
U' L' U' R B' L' R2
U' L' U' R B' R2 L'
F L' U' L' R' F' B'
F L' U' L' R' B' F'
U2 L' U' R L' B R2
U' L' U' R' D B' L'
U' L' U' R' D' B' L'
U' L' U' R' D2 B' L'
U2 L' U' R B L' R2
U2 L' U' R B R2 L'
U' L' U' R' B L' B2
U' L' U' R' B' L' D
U' L' U' R' B' L' D'
U' L' U' R' B' L' D2
U' L' U' R' B' D L'
U' L' U' R' B' D' L'
U' L' U' R' B' D2 L'
U' L' U' R' B2 L' B
U' L' U' R2 B' L' R
U' L' U' R2 B' R L'
U' L' U' D R' B' L'
F L' U' R' L' F' B'
F L' U' R' L' B' F'
U' L' U' D' R' B' L'
U' L' U' D2 R' B' L'
U' L' D U' R' B' L'
U' L' D' U' R' B' L'
R' L' B' R' U' L' R
R' L' B' R' U' R L'
L' R' B' R' U' L' R
L' R' B' R' U' R L'
R2 L' B' R' U' L' R2
R2 L' B' R' U' R2 L'
U' L' D2 U' R' B' L'
L2 R' B' U R' U' F'
R L' B' R' U' L' R'
R L' B' R' U' L' R'
R L' B' R' U' R' L'
R' L2 U L R U' B
R' L2 U R L U' B
L' R2 U' L' R D B'
L' R2 U' L' R D' B'
L' R2 U' L' R D2 B'
L' R2 U' L' R B' D
L' R2 U' L' R B' D'
L' R2 U' L' R B' D2
L' R2 U' L' R' B' R2
L' R2 U' L' D R B'
L' R2 U' L' D B' R
L' R2 U' L' D' R B'
L' R2 U' L' D' B' R
L' R2 U' L' D2 R B'
L' R2 U' L' D2 B' R
L' R2 U' L' B R B2
L' R2 U' L' B' R D
L' R2 U' L' B' R D'
L' R2 U' L' B' R D2
L' R2 U' L' B' D R
L' R2 U' L' B' D' R
L' R2 U' L' B' D2 R
L' R2 U' R L' D B'
L' R2 U' R L' D' B'
L' R2 U' R L' D2 B'
L' R2 U' R L' B' D
L' R2 U' R L' B' D'
L' R2 U' R L' B' D2
L' R2 U' R D L' B'
L' R2 U' R D' L' B'
L' R2 U' R D2 L' B'
L' R2 U' R B L' B'
L' R2 U' R B' L' B'
L' R2 U' R B2 L' B'
L' R2 U' R' L' B' R2
L' R2 U' D L' R B'
L' R2 U' D L' B' R
L' R2 U' D R L' B'
L' R2 U' D' L' R B'
L' R2 U' D' L' B' R
L' R2 U' D' R L' B'
L' R2 U' D2 L' R B'
L' R2 U' D2 L' B' R
L' R2 U' D2 R L' B'
L' R2 U' B L' R B'
L' R2 U' B L' B' R
L' R2 U' B R L' B'
L' R2 U' B' L' R B'
L' R2 U' B' L' B' R
L' R2 U' B' R L' B'
L' R2 U' B2 L' R B'
L' R2 U' B2 L' B' R
L' R2 U' B2 R L' B'
B' L' B U' L' R' B'
B' L' B U' R' L' B'
L' R2 D U' L' R B'
L' R2 D U' L' B' R
L' R2 D U' R L' B'
L' R2 D' U' L' R B'
L' R2 D' U' L' B' R
L' R2 D' U' R L' B'
L' R2 D2 U' L' R B'
L' R2 D2 U' L' B' R
L' R2 D2 U' R L' B'
U' L2 R' U L U' B'
U' L2 U L U' R' B'
L' R2 B' R' U' L' R2
L' R2 B' R' U' R2 L'
R' L2 B' U R' U' F'
L2 U L R U' B R2
R' U L' R U' L' B
R' U L' R U' B L'
R' U R L' U' L' B
R' U R L' U' B L'
L' U R U2 L' B R2
L' U R U2 B L' R2
L' U R U2 B R2 L'
L2 U R L U' B R2
U' R L' U' R2 B' L'
U' R L' U' B' L' R2
U' R L' U' B' R2 L'
U R L' U' L' B R2
U R L' U' B L' R2
U R L' U' B R2 L'
F2 R U L2 R B R
F2 R U R L2 B R
F2 R U R B L2 R
F2 R U R B R L2
L' U F2 R U2 B R2
L' U' L R' B L2 B'
L' U' L R' B' L2 B'
L' U' L R' B2 L2 B'
L' U' L B L2 B' R'
L' U' L' R B R2 B2
L' U' L' R B' R2 D
L' U' L' R B' R2 D'
L' U' L' R B' R2 D2
L' U' L' R' D B' D
L' U' L' R' D B' D'
L' U' L' R' D B' D2
L' U' L' R' D' B' D
L' U' L' R' D' B' D'
L' U' L' R' D' B' D2
L' U' L' R' D2 B' D
L' U' L' R' D2 B' D'
L' U' L' R' D2 B' D2
L' U' L' R' B2 D B
L' U' L' R' B2 D' B
L' U' L' R' B2 D2 B
L' U' L' R2 D R B'
L' U' L' R2 D B' R
L' U' L' R2 D' R B'
L' U' L' R2 D' B' R
L' U' L' R2 D2 R B'
L' U' L' R2 D2 B' R
L' U' L' R2 B R B2
L' U' L' R2 B' R D
L' U' L' R2 B' R D'
L' U' L' R2 B' R D2
L' U' L' R2 B' D R
L' U' L' R2 B' D' R
L' U' L' R2 B' D2 R
L' U' L' D R B' R2
L' U' L' D R' D B'
L' U' L' D R' D' B'
L' U' L' D R' D2 B'
L' U' L' D R' B' D
L' U' L' D R' B' D'
L' U' L' D R' B' D2
L' U' L' D R2 B' R
L' U' L' D' R B' R2
L' U' L' D' R' D B'
L' U' L' D' R' D' B'
L' U' L' D' R' D2 B'
L' U' L' D' R' B' D
L' U' L' D' R' B' D'
L' U' L' D' R' B' D2
L' U' L' D' R2 B' R
L' U' L' D2 R B' R2
L' U' L' D2 R' D B'
L' U' L' D2 R' D' B'
L' U' L' D2 R' D2 B'
L' U' L' D2 R' B' D
L' U' L' D2 R' B' D'
L' U' L' D2 R' B' D2
L' U' L' D2 R2 B' R
L' U' L' F' R' F B'
L' U' L' F' R' B' F
L' U' L' F2 R' F2 B'
L' U' L' F2 R' B' F2
R2 U' L' U' R B' L'
R2 U' L' U' B' L' R
R2 U' L' U' B' R L'
R U' L' U' R2 B' L'
R U' L' U' B' L' R2
R U' L' U' B' R2 L'
L' U' L2 D2 L R' B
L' U' L2 D2 R' L B
L' U' R L' B R2 B2
L' U' R L' B' R2 D
L' U' R L' B' R2 D'
L' U' R L' B' R2 D2
L' U' R B L' R2 B'
L' U' R B L' B' R2
L' U' R B R2 L' B'
L' U' R B' L' R2 B'
L' U' R B' L' B' R2
L' U' R B' R2 L' B'
L' U' R B2 L' R2 B'
L' U' R B2 L' B' R2
L' U' R B2 R2 L' B'
L' U' R' L B L2 B'
L' U' R' L B' L2 B'
L' U' R' L B2 L2 B'
L' U' R' L' D B' D
L' U' R' L' D B' D'
L' U' R' L' D B' D2
L' U' R' L' D' B' D
L' U' R' L' D' B' D'
L' U' R' L' D' B' D2
L' U' R' L' D2 B' D
L' U' R' L' D2 B' D'
L' U' R' L' D2 B' D2
L' U' R' L' B2 D B
L' U' R' L' B2 D' B
L' U' R' L' B2 D2 B
D R F2 R U R B
L' U' R' D L' D B'
L' U' R' D L' D' B'
L' U' R' D L' D2 B'
L' U' R' D L' B' D
L' U' R' D L' B' D'
L' U' R' D L' B' D2
L' U' R' D B L' B'
L' U' R' D B' L' B'
L' U' R' D B2 L' B'
L' U' R' D' L' D B'
L' U' R' D' L' D' B'
L' U' R' D' L' D2 B'
L' U' R' D' L' B' D
L' U' R' D' L' B' D'
L' U' R' D' L' B' D2
L' U' R' D' B L' B'
L' U' R' D' B' L' B'
L' U' R' D' B2 L' B'
L' U' R' D2 L' D B'
L' U' R' D2 L' D' B'
L' U' R' D2 L' D2 B'
L' U' R' D2 L' B' D
L' U' R' D2 L' B' D'
L' U' R' D2 L' B' D2
L' U' R' D2 B L' B'
L' U' R' D2 B' L' B'
L' U' R' D2 B2 L' B'
L' U' R' B L' D B'
L' U' R' B L' D' B'
L' U' R' B L' D2 B'
L' U' R' B L' B' D
L' U' R' B L' B' D'
L' U' R' B L' B' D2
F2 R B L U L R2
F2 R B L U R2 L
L' U' R' B D L' B'
L' U' R' B D' L' B'
L' U' R' B D2 L' B'
L' U' R' B' L' D B'
L' U' R' B' L' D' B'
L' U' R' B' L' D2 B'
L' U' R' B' L' B' D
L' U' R' B' L' B' D'
L' U' R' B' L' B' D2
L' U' R' B' D L' B'
L' U' R' B' D' L' B'
L' U' R' B' D2 L' B'
L' U' R' B2 L' D B'
L' U' R' B2 L' D' B'
L' U' R' B2 L' D2 B'
L' U' R' B2 L' B' D
L' U' R' B2 L' B' D'
L' U' R' B2 L' B' D2
L' U' R' B2 D L' B'
L' U' R' B2 D' L' B'
L' U' R' B2 D2 L' B'
L' U' R2 L' D R B'
L' U' R2 L' D B' R
L' U' R2 L' D' R B'
L' U' R2 L' D' B' R
L' U' R2 L' D2 R B'
L' U' R2 L' D2 B' R
L' U' R2 L' B R B2
L' U' R2 L' B' R D
L' U' R2 L' B' R D'
L' U' R2 L' B' R D2
L' U' R2 L' B' D R
L' U' R2 L' B' D' R
L' U' R2 L' B' D2 R
L' U' R2 D L' R B'
L' U' R2 D L' B' R
L' U' R2 D R L' B'
L' U' R2 D' L' R B'
L' U' R2 D' L' B' R
L' U' R2 D' R L' B'
L' U' R2 D2 L' R B'
L' U' R2 D2 L' B' R
L' U' R2 D2 R L' B'
L' U' R2 B L' R B'
L' U' R2 B L' B' R
L' U' R2 B R L' B'
L' U' R2 B' L' R B'
L' U' R2 B' L' B' R
L' U' R2 B' R L' B'
L' U' R2 B2 L' R B'
L' U' R2 B2 L' B' R
L' U' R2 B2 R L' B'
L' U' D L' R B' R2
L' U' D L' R' D B'
L' U' D L' R' D' B'
L' U' D L' R' D2 B'
L' U' D L' R' B' D
L' U' D L' R' B' D'
L' U' D L' R' B' D2
L' U' D L' R2 B' R
L' U' D L' D R' B'
L' U' D L' D' R' B'
L' U' D L' D2 R' B'
L' U' D R L' B' R2
L' U' D R' L' D B'
L' U' D R' L' D' B'
L' U' D R' L' D2 B'
L' U' D R' L' B' D
L' U' D R' L' B' D'
L' U' D R' L' B' D2
L' U' D R' D L' B'
L' U' D R' D' L' B'
L' U' D R' D2 L' B'
L' U' D R' B L' B'
L' U' D R' B' L' B'
L' U' D R' B2 L' B'
L' U' D R2 L' B' R
L' U' D B L' B' R'
L' U' D' L' R B' R2
L' U' D' L' R' D B'
L' U' D' L' R' D' B'
L' U' D' L' R' D2 B'
L' U' D' L' R' B' D
L' U' D' L' R' B' D'
L' U' D' L' R' B' D2
L' U' D' L' R2 B' R
L' U' D' L' D R' B'
L' U' D' L' D' R' B'
L' U' D' L' D2 R' B'
L' U' D' R L' B' R2
L' U' D' R' L' D B'
L' U' D' R' L' D' B'
L' U' D' R' L' D2 B'
L' U' D' R' L' B' D
L' U' D' R' L' B' D'
L' U' D' R' L' B' D2
L' U' D' R' D L' B'
L' U' D' R' D' L' B'
L' U' D' R' D2 L' B'
L' U' D' R' B L' B'
L' U' D' R' B' L' B'
L' U' D' R' B2 L' B'
L' U' D' R2 L' B' R
L' U' D' B L' B' R'
L' U' D2 L' R B' R2
L' U' D2 L' R' D B'
L' U' D2 L' R' D' B'
L' U' D2 L' R' D2 B'
L' U' D2 L' R' B' D
L' U' D2 L' R' B' D'
L' U' D2 L' R' B' D2
L' U' D2 L' R2 B' R
L' U' D2 L' D R' B'
L' U' D2 L' D' R' B'
L' U' D2 L' D2 R' B'
L' U' D2 R L' B' R2
L' U' D2 R' L' D B'
L' U' D2 R' L' D' B'
L' U' D2 R' L' D2 B'
L' U' D2 R' L' B' D
L' U' D2 R' L' B' D'
L' U' D2 R' L' B' D2
L' U' D2 R' D L' B'
L' U' D2 R' D' L' B'
L' U' D2 R' D2 L' B'
L' U' D2 R' B L' B'
L' U' D2 R' B' L' B'
L' U' D2 R' B2 L' B'
L' U' D2 R2 L' B' R
L' U' D2 B L' B' R'
B' R' L' B U' L' R'
B' R' L' B U' R' L'
U' R' L2 U L U' B'
L' U' F' R' F L' B'
U' R' U L' U' L' B'
U2 R' U L' U' B' L'
L' U' B L' R B' R'
L' U' B L' R' B' R'
L' U' B L' R2 B' R'
L' U' B L' D B' R'
L' U' B L' D' B' R'
L' U' B L' D2 B' R'
L' U' B L' B' R' D
L' U' B L' B' R' D'
L' U' B L' B' R' D2
L' U' B L' B' D R'
L' U' B L' B' D' R'
L' U' B L' B' D2 R'
L' U' B R L' B' R'
L' U' B R' L' B' R'
L' U' B R2 L' B' R'
L' U' B D L' B' R'
L' U' B D' L' B' R'
L' U' B D2 L' B' R'
L' U' B' L' B R' B2
L' U' B2 L' D2 R2 B'
L' U' B2 L' D2 B' R2
L' U' B2 L' B' D2 R2
R2 U2 L' U' L' R B
R2 U2 L' U' R L' B
R2 U2 L' U' R B L'
B' R' B L' U' L' R'
B' R' B L' U' R' L'
U' R2 L' U' R B' L'
U' R2 L' U' B' L' R
U' R2 L' U' B' R L'
U2 R2 L' U' L' R B
U2 R2 L' U' R L' B
U2 R2 L' U' R B L'
D2 R2 U' L' U' R B'
D2 R2 U' L' U' B' R
L2 D L U' L' R' B'
L2 D L U' R' L' B'
L' D R U' L' R2 B'
L' D R U' L' B' R2
L' D R U' R2 L' B'
L' D R2 U' L' R B'
L' D R2 U' L' B' R
L' D R2 U' R L' B'
L' D U' L' R B' R2
L' D U' L' R' D B'
L' D U' L' R' D' B'
L' D U' L' R' D2 B'
L' D U' L' R' B' D
L' D U' L' R' B' D'
L' D U' L' R' B' D2
L' D U' L' R2 B' R
L' D U' L' D R' B'
L' D U' L' D' R' B'
L' D U' L' D2 R' B'
L' D U' R L' B' R2
L' D U' R' L' D B'
L' D U' R' L' D' B'
L' D U' R' L' D2 B'
L' D U' R' L' B' D
L' D U' R' L' B' D'
L' D U' R' L' B' D2
L' D U' R' D L' B'
L' D U' R' D' L' B'
L' D U' R' D2 L' B'
L' D U' R' B L' B'
L' D U' R' B' L' B'
L' D U' R' B2 L' B'
L' D U' R2 L' B' R
L' D U' B L' B' R'
F2 U R U L2 B R2
F2 U R U B L2 R2
F2 U R U B R2 L2
L2 D' L U' L' R' B'
L2 D' L U' R' L' B'
D U F2 R U B R2
U D F2 R U B R2
L' D' R U' L' R2 B'
L' D' R U' L' B' R2
L' D' R U' R2 L' B'
L' D' R2 U' L' R B'
L' D' R2 U' L' B' R
L' D' R2 U' R L' B'
L' D' U' L' R B' R2
L' D' U' L' R' D B'
L' D' U' L' R' D' B'
L' D' U' L' R' D2 B'
L' D' U' L' R' B' D
L' D' U' L' R' B' D'
L' D' U' L' R' B' D2
L' D' U' L' R2 B' R
L' D' U' L' D R' B'
L' D' U' L' D' R' B'
L' D' U' L' D2 R' B'
L' D' U' R L' B' R2
L' D' U' R' L' D B'
L' D' U' R' L' D' B'
L' D' U' R' L' D2 B'
L' D' U' R' L' B' D
L' D' U' R' L' B' D'
L' D' U' R' L' B' D2
L' D' U' R' D L' B'
L' D' U' R' D' L' B'
L' D' U' R' D2 L' B'
L' D' U' R' B L' B'
L' D' U' R' B' L' B'
L' D' U' R' B2 L' B'
L' D' U' R2 L' B' R
L' D' U' B L' B' R'
F U' L' R' B' L' F'
F U' L2 D2 R' F' B
F U' L2 D2 R' B F'
F U' R' L' B' L' F'
F U' R' F' L' B' L'
L2 D2 L U' L' R' B'
L2 D2 L U' R' L' B'
L' D2 R U' L' R2 B'
L' D2 R U' L' B' R2
L' D2 R U' R2 L' B'
L' D2 R2 U' L' R B'
L' D2 R2 U' L' B' R
L' D2 R2 U' R L' B'
L D2 R2 U L R B
L D2 R2 U R L B
L' D2 U' L' R B' R2
L' D2 U' L' R' D B'
L' D2 U' L' R' D' B'
L' D2 U' L' R' D2 B'
L' D2 U' L' R' B' D
L' D2 U' L' R' B' D'
L' D2 U' L' R' B' D2
L' D2 U' L' R2 B' R
L' D2 U' L' D R' B'
L' D2 U' L' D' R' B'
L' D2 U' L' D2 R' B'
L' D2 U' R L' B' R2
L' D2 U' R' L' D B'
L' D2 U' R' L' D' B'
L' D2 U' R' L' D2 B'
L' D2 U' R' L' B' D
L' D2 U' R' L' B' D'
L' D2 U' R' L' B' D2
L' D2 U' R' D L' B'
L' D2 U' R' D' L' B'
L' D2 U' R' D2 L' B'
L' D2 U' R' B L' B'
L' D2 U' R' B' L' B'
L' D2 U' R' B2 L' B'
L' D2 U' R2 L' B' R
L' D2 U' B L' B' R'
L2 F L U' L' R' B'
L2 F L U' R' L' B'
L F L2 U' L' R' B'
L F L2 U' R' L' B'
L2 F' L U' L' R' B'
L2 F' L U' R' L' B'
L F' L2 U' L' R' B'
L F' L2 U' R' L' B'
L2 F2 L U' L' R' B'
L2 F2 L U' R' L' B'
L F2 L2 U' L' R' B'
L F2 L2 U' R' L' B'
D F2 R U R B R
U F2 R U L2 B R2
U F2 R U B L2 R2
U F2 R U B R2 L2
D F2 R B L U R2
R F2 R U L2 R B
R F2 R U R L2 B
R F2 R U R B L2
L' F2 U R U2 B R2
B2 D' B2 L' U' R' B
R' B' L' R' U' L' R
R' B' L' R' U' R L'
R' B' L2 U L R' U'
R' B' L2 U R' L U'
R2 B' L' R' U' L' R2
R2 B' L' R' U' R2 L'
R B' L' R' U' L' R'
R B' L' R' U' R' L'
R' B' R' L' U' L' R
R' B' R' L' U' R L'
L' B' R' B U' L' R'
L' B' R' B U' R' L'
R2 B' R' L' U' L' R2
R2 B' R' L' U' R2 L'
R' B' U L' R' U' L'
R' B' U R' L' U' L'
R B' R' L' U' L' R'
R B' R' L' U' R' L'
R' B2 L D L F2 B'
R' B2 L D L B' F2
R' B2 L D F2 L B'
