U2 L' B' U F
U2 L' R B' U F
U2 L' R' B' U F
U2 L' R2 B' U F
U2 L' D B' U F
U2 L' D' B' U F
U2 L' D2 B' U F
U2 L' B' R U F
U2 L' B' R' U F
U2 L' B' R2 U F
U2 L' B' U D F
U2 L' B' U D' F
U2 L' B' U D2 F
U2 L' B' U F D
U2 L' B' U F D'
U2 L' B' U F D2
U2 L' B' D U F
U2 L' B' D' U F
U2 L' B' D2 U F
U2 R L' B' U F
U2 R' L' B' U F
R U2 L' B U F
U2 R2 L' B' U F
R U2 B L' U F
U2 B L' B' U F
U2 B' L' B' U F
U2 B2 L' B' U F
U2 L' B' U F2 D F'
U2 L' B' U F2 D' F'
U2 L' B' U F2 D2 F'
U2 L' B' U' B U2 F
U2 L' B' U' B' U2 F
U2 L' B' U' B2 U2 F
U2 L' B' D R U F
U2 L' B' D R' U F
U2 L' B' D R2 U F
U2 L' B' D U F D
U2 L' B' D U F D'
U2 L' B' D U F D2
U2 L' B' D' R U F
U2 L' B' D' R' U F
U2 L' B' D' R2 U F
U2 L' B' D' U F D
U2 L' B' D' U F D'
U2 L' B' D' U F D2
U2 L' B' D2 R U F
U2 L' B' D2 R' U F
U2 L' B' D2 R2 U F
U2 L' B' D2 U F D
U2 L' B' D2 U F D'
U2 L' B' D2 U F D2
U2 L' B2 R' U F R
U2 L' B2 D B U F
U2 L' B2 D' B U F
U2 L' B2 D2 B U F
B L2 F L U F R
L' U R F R D2 L2
L' U R' F2 L' F' R
L' U R2 D2 F L2 R
L' U R2 D2 F R L2
L' U R2 F D2 L2 R
L' U R2 F D2 R L2
L U D' B' U2 B' R'
L' U F R U2 R' U2
L' U F R B2 L B2
F2 R L' U2 B U F
L' U F R2 D2 L2 R'
L' U F R2 D2 R' L2
U2 R L' D B' U F
U2 R L' D' B' U F
U2 R L' D2 B' U F
U2 R L' B' R U F
U2 R L' B' R' U F
U2 R L' B' R2 U F
U2 R L' B' U D F
U2 R L' B' U D' F
U2 R L' B' U D2 F
U2 R L' B' U F D
U2 R L' B' U F D'
U2 R L' B' U F D2
U2 R L' B' D U F
U2 R L' B' D' U F
U2 R L' B' D2 U F
L' U F B2 R B2 L
L' U F' R' F2 L' R
L' U F' R' F2 R L'
U' R U' L' B' U F
D2 R U2 L' B U F'
D' R U2 L' B R' U
L' U B U2 F B' R'
L' U B U2 B' R' F
L' U B U2 B' F R'
D2 R U2 B L' U F'
D' R U2 B L' R' U
D' R U2 B R' L' U
F2 R U2 D' B R' U
L' U B2 F R B2 L
L' U' L U2 L' F R
F2 R D' U2 B R' U
L' U' L2 U2 L2 F R
L' U' L2 B' U2 L2 R'
L' U' L2 B' U2 R' L2
U2 R B L' B' U F
U2 R B' L' B' U F
U2 R B2 L' B' U F
L' U' F R' B' R' B
L' U' F R2 B' R' B2
F' R' L' F' R U' F2
U2 R' L' D B' U F
L' U' F U2 F' L' U2
U2 R' L' D' B' U F
U2 R' L' D2 B' U F
F2 R' L' F' R2 U' F2
L' U' F B' R2 B R
U2 R' L' B' R U F
U2 R' L' B' R' U F
L' U' F B2 R2 B R'
U2 R' L' B' R2 U F
U2 R' L' B' U D F
U2 R' L' B' U D' F
U2 R' L' B' U D2 F
U2 R' L' B' U F D
U2 R' L' B' U F D'
U2 R' L' B' U F D2
U2 R' L' B' D U F
U2 R' L' B' D' U F
U2 R' L' B' D2 U F
U' R' U' L' B' U F
L' U' B L U2 L' F
R U' B L' U F L
L' U' B' R F R2 B
L' U' B' F R2 B R
L' U' B2 F R2 B R'
R' U2 L' R U F R
R' U2 L' R2 B U F
R' U2 L' U F D R2
R' U2 L' U2 F' U' F2
R2 U2 L' R' B U F
R2 U2 L' R2 U F R
R U2 L' R' U F R
R U2 L' D B U F
R U2 L' D' B U F
R U2 L' D2 B U F
F' R' F' L' R U' F
L U2 L' B' L' U F
F' R' F' R L' U' F
R U2 L' B R U F
R U2 L' B R' U F
R U2 L' B R2 U F
R U2 L' B U D F
R U2 L' B U D' F
R U2 L' B U D2 F
R U2 L' B U F D
R U2 L' B U F D'
R U2 L' B U F D2
R U2 L' B D U F
R U2 L' B D' U F
R U2 L' B D2 U F
R' U2 R L' U F R
F2 R' F' L' R2 U' F
F2 R' F' R2 L' U' F
F' R' F' D2 R U' F'
F R' F' U2 L' U F
R2 U2 R' L' B U F
R' U2 R2 L' B U F
U2 R' B L' B' U F
R U2 R' L' U F R
R2 U2 R' B L' U F
R' U2 R2 B L' U F
R2 U2 R2 L' U F R
U2 R' B' L' B' U F
U2 R' B2 L' B' U F
R U2 D' L' B R' U
R U2 D' B L' R' U
R U2 D' B R' L' U
U2 R2 L' D B' U F
U2 R2 L' D' B' U F
U2 R2 L' D2 B' U F
U2 R2 L' B' R U F
U2 R2 L' B' R' U F
U2 R2 L' B' R2 U F
U2 R2 L' B' U D F
U2 R2 L' B' U D' F
U2 R2 L' B' U D2 F
U2 R2 L' B' U F D
U2 R2 L' B' U F D'
U2 R2 L' B' U F D2
U2 R2 L' B' D U F
U2 R2 L' B' D' U F
U2 R2 L' B' D2 U F
U' R2 U' L' B' U F
R U2 B L' R U F
R U2 B L' R' U F
R U2 B L' R2 U F
R U2 B L' U D F
R U2 B L' U D' F
R U2 B L' U D2 F
R U2 B L' U F D
R U2 B L' U F D'
R U2 B L' U F D2
R U2 B L' D U F
R U2 B L' D' U F
R U2 B L' D2 U F
R U2 B R L' U F
R U2 B R' L' U F
R U2 B R2 L' U F
R U2 B' L' B2 U F
D R2 F2 R F' L' U'
U2 R2 B L' B' U F
U2 R2 B' L' B' U F
U2 R2 B2 L' B' U F
F U L F B' U2 R
F U L B' F U2 R
F U L' U2 F B' R'
F U L' U2 B' R' F
F U L' U2 B' F R'
F U F' L' U2 F B'
F U F' L' U2 B' F
U2 D' L' B R' B2 U
U2 D' L' B' U2 L U'
L D' U B' U2 B' R'
R D' U2 L' B R' U
R D' U2 B L' R' U
R D' U2 B R' L' U
U2 D' B L' R' B' U
U2 D' B R' L' B' U
U2 D' B2 L' B' R' U
D2 U2 L' R B' U F'
D' U2 L' B R' B2 U
D' U2 L' B' U2 L U'
U2 D2 L' R B' U F'
D2 U2 L' B' R U F'
U2 D2 L' B' R U F'
D2 U2 R L' B' U F'
U2 D2 R L' B' U F'
R' D2 F2 R F U' F2
D' U2 B L' R' B' U
D' U2 B R' L' B' U
D' U2 B2 L' B' R' U
F2 D' R U2 B R' U
R' F2 L' R U' F R
R2 F2 L' R F' U' F2
R' F2 R L' U' F R
D2 F2 R U2 B U F'
R' F2 R D F L' U'
D' F2 R U2 B R' U
R' F2 R F L' U' F
R2 F2 R L' F' U' F2
D2 F2 R' F' R2 U' F'
R2 F2 R F' L' U' F
D F2 R' F' L' R2 U'
D F2 R' F' R2 L' U'
R' F2 D R F L' U'
R' F2 D2 R F U' F2
F2 D2 R U2 B U F'
F2 D2 R' F' R2 U' F'
U2 B L' R B' U F
U2 B L' R' B' U F
U2 B L' R2 B' U F
U2 B L' D B' U F
U2 B L' D' B' U F
U2 B L' D2 B' U F
U2 B L' B' R U F
U2 B L' B' R' U F
U2 B L' B' R2 U F
U2 B L' B' U D F
U2 B L' B' U D' F
U2 B L' B' U D2 F
U2 B L' B' U F D
U2 B L' B' U F D'
U2 B L' B' U F D2
U2 B L' B' D U F
U2 B L' B' D' U F
U2 B L' B' D2 U F
R B L' U D F L'
U2 B R L' B' U F
R B L' D U F L'
U2 B R' L' B' U F
R B L2 F L U F
U2 B R2 L' B' U F
U B U L' B' U F
L' B U2 B' U' F R
U' B' L' U R' F L
U' B' L' U F L R'
U' B' L' U F R' L
U2 B' L' R B' U F
U2 B' L' R' B' U F
U2 B' L' R2 B' U F
U2 B' L' D B' U F
U2 B' L' D' B' U F
U2 B' L' D2 B' U F
U2 B' L' B' R U F
U2 B' L' B' R' U F
U2 B' L' B' R2 U F
U2 B' L' B' U D F
U2 B' L' B' U D' F
U2 B' L' B' U D2 F
U2 B' L' B' U F D
U2 B' L' B' U F D'
U2 B' L' B' U F D2
U2 B' L' B' D U F
U2 B' L' B' D' U F
U2 B' L' B' D2 U F
U' B' R' U' L' U F
U2 B' R L' B' U F
U2 B' R' L' B' U F
U2 B' R2 L' B' U F
U' B' U' L' U R' F
U' B' U' L' U F R'
U B' U L' B' U F
L' B' U2 B U' F R
U2 B2 L' R B' U F
U2 B2 L' R' B' U F
U2 B2 L' R2 B' U F
U2 B2 L' D B' U F
U2 B2 L' D' B' U F
U2 B2 L' D2 B' U F
U2 B2 L' B' R U F
U2 B2 L' B' R' U F
U2 B2 L' B' R2 U F
U2 B2 L' B' U D F
U2 B2 L' B' U D' F
U2 B2 L' B' U D2 F
U2 B2 L' B' U F D
U2 B2 L' B' U F D'
U2 B2 L' B' U F D2
U2 B2 L' B' D U F
U2 B2 L' B' D' U F
U2 B2 L' B' D2 U F
U2 B2 R L' B' U F
U2 B2 R' L' B' U F
U2 B2 R2 L' B' U F
L' B2 U D F L2 R
L' B2 U D F R L2
L' B2 U F R D L2
L' B2 U F D L2 R
L' B2 U F D R L2
U B2 U L' B' U F
L' B2 U2 B2 U' F R
L' B2 D U F L2 R
L' B2 D U F R L2
