D' L R2 B2 U2 B
D' L B2 R2 F' U2
D L2 R' F2 B R
D L2 R' B F2 R
D L2 R2 F2 R B
B2 L2 U' D R' B
B2 L2 D U' R' B
B2 L2 F' R U' R2
D L2 F2 R' B R2
F' R B2 L2 U' R'
D R' L2 F2 B R
D R' L2 B F2 R
D' R2 L B2 U2 B
D R2 L2 F2 R B
B2 U' D R' F2 B
B2 U' D R' B F2
B2 U' D F2 R' B
B2 D U' R' F2 B
B2 D U' R' B F2
B2 D U' F2 R' B
L2 F2 B2 U' R B
D F2 B2 L2 R' B
D F2 B2 R' L2 B
D F2 B2 R' B L2
B2 F' L2 R U' R2
B2 F' R L2 U' R2
D B2 L2 R' F2 B
D B2 L2 R' B F2
F' B2 L2 R U' R2
D B2 L2 F2 R' B
F' B2 R L2 U' R2
D B2 R' L2 F2 B
D B2 R' L2 B F2
D B2 R' F2 L2 B
D B2 R' F2 B L2
D B2 R' B L2 F2
D B2 R' B F2 L2
L2 B2 F2 U' R B
D B2 F2 L2 R' B
D B2 F2 R' L2 B
D B2 F2 R' B L2
F' R B2 L2 U' R' D
F' R B2 L2 U' R' D'
F' R B2 L2 U' R' D2
F' R B2 L2 U' D R'
F' R B2 L2 U' D' R'
F' R B2 L2 U' D2 R'
F' R B2 L2 D U' R'
F' R B2 L2 D' U' R'
F' R B2 L2 D2 U' R'
F' R B2 L2 F U' R'
F' R B2 L2 F' U' R'
F' R B2 L2 F2 U' R'
D R B' F2 L2 B' R'
F' R B2 U' R' D F2
F' R B2 U' D R' F2
F' R B2 U' D F2 R'
F' R B2 D U' R' F2
F' R B2 D U' F2 R'
F' R B2 F L2 U' R'
F' R B2 F' L2 U' R'
F' R B2 F2 L2 U' R'
D R B2 F2 L2 R' B'
D R B2 F2 R' L2 B'
D R' L U2 L F2 B
D R' L U2 L B F2
D R' L U2 F2 L B
D' R' L B2 U2 L B
D R' L' B L' F2 R
B2 R' L2 F' R U' R'
D R' L2 F2 D B R
D R' L2 F2 D' B R
D R' L2 F2 D2 B R
D R' L2 F2 B R D
D R' L2 F2 B R D'
D R' L2 F2 B R D2
D R' L2 F2 B D R
D R' L2 F2 B D' R
D R' L2 F2 B D2 R
D R' L2 F2 B' R B2
D R' L2 F2 B2 R B'
D R' L2 B R F2 R
D R' L2 B R' F2 R
D R' L2 B R2 F2 R
D R' L2 B F2 R D
D R' L2 B F2 R D'
D R' L2 B F2 R D2
D R' L2 B F2 D R
D R' L2 B F2 D' R
D R' L2 B F2 D2 R
D R' L2 B' F2 R B2
D R' L2 B2 F2 R B'
D R' U L2 F2 B R
D R' U L2 B F2 R
D R' U' L2 F2 B R
D R' U' L2 B F2 R
D R' U2 L2 F2 B R
D R' U2 L2 B F2 R
F' R' D L2 F2 R B2
F' R' D L2 F2 B2 R
F' R' D L2 B2 F2 R
F' R' D F2 B2 L2 R'
F' R' D F2 B2 R' L2
F' R' D B2 L2 R' F2
F' R' D B2 L2 F2 R'
F' R' D B2 R' L2 F2
F' R' D B2 R' F2 L2
F' R' D B2 F2 L2 R'
F' R' D B2 F2 R' L2
B2 R' F' L2 R U' R'
B2 R' F' R L2 U' R'
D R' F2 B2 R' B' L2
F' R' B2 L2 R2 U' R
F' R' B2 R2 L2 U' R
D' R' B2 U2 L R' B'
D' R' B2 U2 R' L B'
D R' B2 R' F2 B' L2
D R' B2 R' B' L2 F2
D R' B2 R' B' F2 L2
D' R2 L U2 D2 F2 B'
D' R2 L U2 D2 B' F2
D' R2 L D2 U2 F2 B'
D' R2 L D2 U2 B' F2
D' R2 L F B2 U2 B
D' R2 L F' B2 U2 B
D' R2 L F2 B2 U2 B
D R' B2 F2 R' B' L2
D' R2 L B2 U2 D B
D' R2 L B2 U2 D' B
D' R2 L B2 U2 D2 B
D' R2 L B2 U2 B D
D' R2 L B2 U2 B D'
D' R2 L B2 U2 B D2
D' R2 L B2 D U2 B
D' R2 L B2 D' U2 B
D' R2 L B2 D2 U2 B
D' R2 L B2 F U2 B
D' R2 L B2 F' U2 B
D' R2 L B2 F2 U2 B
D' R2 L' F L2 B2 U2
D' R2 L' F B2 L2 U2
D' R2 L' B2 L2 U2 B'
D' R2 L' B2 F L2 U2
D' R2 L2 B2 L' U2 B'
D R2 L2 F2 R D B
D R2 L2 F2 R D' B
D R2 L2 F2 R D2 B
D R2 L2 F2 R B D
D R2 L2 F2 R B D'
D R2 L2 F2 R B D2
D R2 L2 F2 D R B
D R2 L2 F2 D' R B
D R2 L2 F2 D2 R B
D R2 L2 F2 B R B
D R2 L2 F2 B' R B
D R2 L2 F2 B2 R B
D R2 L2 B F2 R B
D R2 L2 B' F2 R B
D R2 L2 B2 F2 R B
D' R2 F L B2 U2 B
R' D L2 R' F2 B R
R' D L2 R' B F2 R
R' D L2 R2 F2 R B
D' R2 F' L B2 U2 B
R' D L2 F2 R' B R2
R2 D L2 R' F2 B R
R2 D L2 R' B F2 R
R2 D L2 R2 F2 R B
R D L2 R' F2 B R
R D L2 R' B F2 R
R D L2 R2 F2 R B
R2 D L2 F2 R' B R2
D' R2 F2 L B2 U2 B
R' D R' L2 F2 B R
R' D R' L2 B F2 R
R D L2 F2 R' B R2
R2 D R' L2 F2 B R
R2 D R' L2 B F2 R
R' D R2 L2 F2 R B
R D R' L2 F2 B R
R D R' L2 B F2 R
R2 D R2 L2 F2 R B
D' R2 B2 L U2 R' B'
R D R2 L2 F2 R B
D' R2 B2 L' F U2 R'
D' R2 B2 U2 D2 R' B
D' R2 B2 D2 U2 R' B
D' U L R2 B2 U2 B
L2 D U' L2 B2 R' B
D R2 B2 R' F2 L2 B'
D' U L B2 R2 F' U2
U' D L2 R' F2 B R
U' D L2 R' B F2 R
U' D L2 R2 F2 R B
U2 D L2 R' F2 B R
U2 D L2 R' B F2 R
U2 D L2 R2 F2 R B
U' D L2 F2 R' B R2
D U L2 R' F2 B R
D U L2 R' B F2 R
D U L2 R2 F2 R B
U2 D L2 F2 R' B R2
U D L2 R' F2 B R
U D L2 R' B F2 R
U D L2 R2 F2 R B
D U L2 F2 R' B R2
R' D F2 B2 L2 R' B
R' D F2 B2 R' L2 B
R' D F2 B2 R' B L2
F' U R B2 L2 U' R'
U D L2 F2 R' B R2
U' D R' L2 F2 B R
U' D R' L2 B F2 R
U2 D R' L2 F2 B R
U2 D R' L2 B F2 R
R2 D F2 B2 L2 R' B
R2 D F2 B2 R' L2 B
R2 D F2 B2 R' B L2
D' U R2 L B2 U2 B
D U R' L2 F2 B R
D U R' L2 B F2 R
U' D R2 L2 F2 R B
R D F2 B2 L2 R' B
R D F2 B2 R' L2 B
R D F2 B2 R' B L2
U D R' L2 F2 B R
U D R' L2 B F2 R
U2 D R2 L2 F2 R B
R' D B2 L2 R' F2 B
R' D B2 L2 R' B F2
R' D B2 L2 F2 R' B
D U R2 L2 F2 R B
R' D B2 R' L2 F2 B
R' D B2 R' L2 B F2
R' D B2 R' F2 L2 B
R' D B2 R' F2 B L2
R' D B2 R' B L2 F2
R' D B2 R' B F2 L2
U D R2 L2 F2 R B
B2 U D R' F2 L' B
B2 U D R' F2 B L'
B2 U D R' B F2 L'
R' D B2 F2 L2 R' B
R' D B2 F2 R' L2 B
R' D B2 F2 R' B L2
R2 D B2 L2 R' F2 B
R2 D B2 L2 R' B F2
R' D' L R2 B2 U2 B
R2 D B2 L2 F2 R' B
R2 D B2 R' L2 F2 B
R2 D B2 R' L2 B F2
R2 D B2 R' F2 L2 B
R2 D B2 R' F2 B L2
R2 D B2 R' B L2 F2
R2 D B2 R' B F2 L2
R D B2 L2 R' F2 B
R D B2 L2 R' B F2
R D B2 L2 F2 R' B
R2 D B2 F2 L2 R' B
R2 D B2 F2 R' L2 B
R2 D B2 F2 R' B L2
R' D' L B2 R2 F' U2
R D B2 R' L2 F2 B
R D B2 R' L2 B F2
B2 U D' B2 L U2 B'
R D B2 R' F2 L2 B
R D B2 R' F2 B L2
R D B2 R' B L2 F2
R D B2 R' B F2 L2
R2 D' L R2 B2 U2 B
R D B2 F2 L2 R' B
R D B2 F2 R' L2 B
R D B2 F2 R' B L2
R D' L R2 B2 U2 B
R2 D' L B2 R2 F' U2
U' D F2 B2 L2 R' B
U' D F2 B2 R' L2 B
U' D F2 B2 R' B L2
U2 D F2 B2 L2 R' B
U2 D F2 B2 R' L2 B
U2 D F2 B2 R' B L2
R D' L B2 R2 F' U2
D U F2 B2 L2 R' B
D U F2 B2 R' L2 B
D U F2 B2 R' B L2
U D F2 B2 L2 R' B
U D F2 B2 R' L2 B
U D F2 B2 R' B L2
U' D B2 L2 R' F2 B
U' D B2 L2 R' B F2
U' D B2 L2 F2 R' B
U' D B2 R' L2 F2 B
U' D B2 R' L2 B F2
U' D B2 R' F2 L2 B
U' D B2 R' F2 B L2
U' D B2 R' B L2 F2
U' D B2 R' B F2 L2
U2 D B2 L2 R' F2 B
U2 D B2 L2 R' B F2
U2 D B2 L2 F2 R' B
R' D' R2 L B2 U2 B
U2 D B2 R' L2 F2 B
U2 D B2 R' L2 B F2
U2 D B2 R' F2 L2 B
U' D B2 F2 L2 R' B
U2 D B2 R' F2 B L2
U2 D B2 R' B L2 F2
U2 D B2 R' B F2 L2
U' D B2 F2 R' L2 B
U' D B2 F2 R' B L2
D' U' L R2 B2 U2 B
U' D' L R2 B2 U2 B
D U B2 L2 R' F2 B
D U B2 L2 R' B F2
D U B2 L2 F2 R' B
D U B2 R' L2 F2 B
D U B2 R' L2 B F2
D U B2 R' F2 L2 B
D U B2 R' F2 B L2
D U B2 R' B L2 F2
D U B2 R' B F2 L2
U2 D B2 F2 L2 R' B
U D B2 L2 R' F2 B
U D B2 L2 R' B F2
U2 D B2 F2 R' L2 B
U2 D B2 F2 R' B L2
U D B2 L2 F2 R' B
U D B2 R' L2 F2 B
U D B2 R' L2 B F2
U D B2 R' F2 L2 B
U D B2 R' F2 B L2
U D B2 R' B L2 F2
U D B2 R' B F2 L2
U2 D' L R2 B2 U2 B
R2 D' R2 L B2 U2 B
D' U' L B2 R2 F' U2
U' D' L B2 R2 F' U2
D U B2 F2 L2 R' B
D U B2 F2 R' L2 B
D U B2 F2 R' B L2
U D B2 F2 L2 R' B
U D B2 F2 R' L2 B
U D B2 F2 R' B L2
U2 D' L B2 R2 F' U2
U D' L R2 B2 U2 B
R D' R2 L B2 U2 B
L D' R2 U' L U' B'
L2 D' U L' R2 F U2
L2 D' U L' F R2 U2
F' U B2 L2 R U' R2
F' U B2 R L2 U' R2
L2 D' U R2 L' F U2
U D' L B2 R2 F' U2
D U' L2 R' F2 B R
D U' L2 R' B F2 R
D U' L2 R2 F2 R B
D U' L2 F2 R' B R2
U' D' R2 L B2 U2 B
D' U' R2 L B2 U2 B
D U' R' L2 F2 B R
D U' R' L2 B F2 R
U2 D' R2 L B2 U2 B
D U' R2 L2 F2 R B
U D' R2 L B2 U2 B
F' U' R B2 L2 U' R'
F2 U' D L2 F2 R B
B2 U' D R' F2 D B
B2 U' D R' F2 D' B
B2 U' D R' F2 D2 B
B2 U' D R' F2 B D
B2 U' D R' F2 B D'
B2 U' D R' F2 B D2
B2 U' D R' B F2 D
B2 U' D R' B F2 D'
B2 U' D R' B F2 D2
B2 U' D F R' F B
B2 U' D F R' B F
B2 U' D F2 R' D B
B2 U' D F2 R' D' B
B2 U' D F2 R' D2 B
B2 U' D F2 R' B D
B2 U' D F2 R' B D'
B2 U' D F2 R' B D2
D U' F2 B2 L2 R' B
D U' F2 B2 R' L2 B
D U' F2 B2 R' B L2
D' U2 L R2 B2 U2 B
D U' B2 L2 R' F2 B
D U' B2 L2 R' B F2
D U' B2 L2 F2 R' B
D U' B2 R' L2 F2 B
D U' B2 R' L2 B F2
D U' B2 R' F2 L2 B
D U' B2 R' F2 B L2
D U' B2 R' B L2 F2
D U' B2 R' B F2 L2
B2 U' F' R' D F2 B2
B2 U' F' R' D B2 F2
D' U2 L B2 R2 F' U2
D U' B2 F2 L2 R' B
D U' B2 F2 R' L2 B
D U' B2 F2 R' B L2
D U2 L2 R' F2 B R
D U2 L2 R' B F2 R
D U2 L2 R2 F2 R B
D U2 L2 F2 R' B R2
F' U' B2 L2 R U' R2
F' U' B2 R L2 U' R2
D' U2 R2 L B2 U2 B
D U2 R' L2 F2 B R
D U2 R' L2 B F2 R
D U2 R2 L2 F2 R B
F' U2 R B2 L2 U' R'
D U2 F2 B2 L2 R' B
D U2 F2 B2 R' L2 B
D U2 F2 B2 R' B L2
D' F L R2 B2 U2 B
D U2 B2 L2 R' F2 B
D U2 B2 L2 R' B F2
D U2 B2 L2 F2 R' B
D U2 B2 R' L2 F2 B
D U2 B2 R' L2 B F2
D U2 B2 R' F2 L2 B
D U2 B2 R' F2 B L2
D U2 B2 R' B L2 F2
D U2 B2 R' B F2 L2
D' F L B2 R2 F' U2
D U2 B2 F2 L2 R' B
D U2 B2 F2 R' L2 B
D U2 B2 F2 R' B L2
D' F R2 L B2 U2 B
F' U2 B2 L2 R U' R2
F' U2 B2 R L2 U' R2
B2 D L U' R' F2 B
B2 D L U' R' B F2
B2 D L U' F2 R' B
B2 D L' U' R' F2 B
B2 D L' U' R' B F2
B2 D L' U' F2 R' B
B2 D L2 U' R' F2 B
B2 D L2 U' R' B F2
B2 D L2 U' F2 R' B
F D L' U L' F2 R
F' D R U' L2 F2 R
B2 D R U' R2 F2 B
B2 D R U' R2 B F2
B2 D U R' F2 L' B
B2 D U R' F2 B L'
B2 D U R' B F2 L'
D' F' L R2 B2 U2 B
F2 D U' L2 F2 R B
B2 D U' R' F2 D B
B2 D U' R' F2 D' B
B2 D U' R' F2 D2 B
B2 D U' R' F2 B D
B2 D U' R' F2 B D'
B2 D U' R' F2 B D2
B2 D U' R' B F2 D
B2 D U' R' B F2 D'
B2 D U' R' B F2 D2
B2 D U' F R' F B
B2 D U' F R' B F
B2 D U' F2 R' D B
B2 D U' F2 R' D' B
B2 D U' F2 R' D2 B
B2 D U' F2 R' B D
B2 D U' F2 R' B D'
B2 D U' F2 R' B D2
D F B2 R' F L2 B
D F B2 R' F B L2
D F B2 R' B F L2
D' F' L B2 R2 F' U2
B2 D F U' R' F B
B2 D F U' R' B F
B2 D F U' F R' B
B2 D F' U' F' R' B
U' F' R B2 L2 U' R'
R' F' R B2 L2 U' R'
L2 F' R F' B2 U' R
U2 F' R B2 L2 U' R'
L2 F' R B2 F' U' R
D' F' R2 L B2 U2 B
R2 F' R B2 L2 U' R'
U F' R B2 L2 U' R'
B' D B' U' R' F2 B
B' D B' U' R' B F2
B' D B' U' F2 R' B
R F' R B2 L2 U' R'
L F' U' L R B2 U'
L F' U' L B2 R U'
L F' U' R L B2 U'
L2 F' D R F' U' L2
U' F' B2 L2 R U' R2
U' F' B2 R L2 U' R2
R' F' B2 L2 R U' R2
R' F' B2 R L2 U' R2
U2 F' B2 L2 R U' R2
U2 F' B2 R L2 U' R2
D' F2 L R2 B2 U2 B
L2 F' B2 R F' U' R
B2 D' U B2 L U2 B'
R2 F' B2 L2 R U' R2
R2 F' B2 R L2 U' R2
L2 F' B2 D R F' U'
D F' B2 L2 F' R' B
D' F2 L B2 R2 F' U2
U F' B2 L2 R U' R2
U F' B2 R L2 U' R2
R F' B2 L2 R U' R2
R F' B2 R L2 U' R2
D' F2 R2 L B2 U2 B
D F2 R' B2 R' B' L2
L2 F2 U' R D L2 B
L2 F2 U' R D B L2
L2 F2 U' D L2 R B
L2 F2 U' D R L2 B
L2 F2 U' D R B L2
L2 F2 D U' L2 R B
L2 F2 D U' R L2 B
L2 F2 D U' R B L2
D F2 B L2 R' B R'
D F2 B L2 B R' B
D F2 B R' L2 B R'
D F2 B R' B L2 R'
D F2 B R' B R' L2
D2 F2 B2 R2 U R B
D F2 B' L2 B' R' B
L2 F2 B2 U' R D B
L2 F2 B2 U' R D' B
L2 F2 B2 U' R D2 B
L2 F2 B2 U' R B D
L2 F2 B2 U' R B D'
L2 F2 B2 U' R B D2
L2 F2 B2 U' D R B
L2 F2 B2 U' D' R B
L2 F2 B2 U' D2 R B
L2 F2 B2 U' B R B
L2 F2 B2 U' B' R B
L2 F2 B2 U' B2 R B
L2 F2 B2 D U' R B
L2 F2 B2 D' U' R B
D F2 B2 L' R' B L'
L2 F2 B2 D2 U' R B
D F2 B2 L2 R' D B
D F2 B2 L2 R' D' B
D F2 B2 L2 R' D2 B
D F2 B2 L2 R' B D
D F2 B2 L2 R' B D'
D F2 B2 L2 R' B D2
D F2 B2 R' L' B L'
D F2 B2 R' L2 D B
D F2 B2 R' L2 D' B
D F2 B2 R' L2 D2 B
D F2 B2 R' L2 B D
D F2 B2 R' L2 B D'
D F2 B2 R' L2 B D2
D F2 B2 R' B L2 D
D F2 B2 R' B L2 D'
D F2 B2 R' B L2 D2
D F2 B2 R' B' L2 B2
D B L2 R' F2 B R'
D B L2 R' B R' F2
D B L2 R' B F2 R'
D B L2 F2 R' B R'
D B L2 F2 B R' B
D B L2 B R' F2 B
D B L2 B R' B F2
D B L2 B F2 R' B
D B R' L2 F2 B R'
D B R' L2 B R' F2
D B R' L2 B F2 R'
D B R' F2 L2 B R'
D B R' F2 B L2 R'
D B R' F2 B R' L2
D B R' B L2 R' F2
D B R' B L2 F2 R'
D B R' B R' L2 F2
D B R' B R' F2 L2
D B R' B F2 L2 R'
D B R' B F2 R' L2
B2 F L2 U2 L U R'
F' B L2 B R U' R2
D B F2 L2 R' B R'
D B F2 L2 B R' B
D B F2 R' L2 B R'
D B F2 R' B L2 R'
D B F2 R' B R' L2
D B' L2 F2 B' R' B
D B' L2 B' R' F2 B
D B' L2 B' R' B F2
D B' L2 B' F2 R' B
D B' R F2 L2 B' R'
D B' R' B L2 F2 R
B2 F' L2 R U' R2 D
B2 F' L2 R U' R2 D'
B2 F' L2 R U' R2 D2
B2 F' L2 R D' F2 U'
B2 F' L2 R F U' R2
B2 F' L2 R F' U' R2
B2 F' L2 R F2 U' R2
B2 F' L2 U' R' D B2
B2 F' L2 D R U' R2
B2 F' L2 D' R U' R2
B2 F' L2 D2 R U' R2
B2 F' R L2 U' R2 D
B2 F' R L2 U' R2 D'
B2 F' R L2 U' R2 D2
B2 F' R L2 D' F2 U'
B2 F' R L2 F U' R2
B2 F' R L2 F' U' R2
B2 F' R L2 F2 U' R2
B' F' R B' L2 U' R'
B2 F' R U' R2 D F2
B2 F' R F L2 U' R2
B2 F' R F' L2 U' R2
F' B' R B' L2 U' R'
B2 F' R F2 L2 U' R2
B F' L2 B R U' R2
B2 F' U' R' D F2 B2
B2 F' U' R' D B2 F2
D' B2 L R2 U2 R B'
D' B2 L R2 U2 B' R
B2 F' D R U' R2 F2
B2 F' D R U' F2 R2
D B' F2 L2 B' R' B
D B2 L R' F2 L B
D' B2 L' F R2 U2 R
U' B2 L2 U' D R' B
L' B2 L' F2 U' R B
U' B2 L2 D U' R' B
R' B2 L2 U' D R' B
D' B2 L2 R2 U2 R B
U' B2 L2 F' R U' R2
D B2 L F2 L R' B
R' B2 L2 D U' R' B
D B2 L F2 R' L B
R' B2 L2 F' R U' R2
