B R' F' U' F'
B L R' F' U' F'
B L' R' F' U' F'
B L2 R' F' U' F'
B R' L F' U' F'
B R' L' F' U' F'
B R' L2 F' U' F'
B R' D' L2 F' U'
B R' D' F' L2 U'
B R' F' L U' F'
B R' F' L' U' F'
B R' F' L2 U' F'
B R' F' U' D F'
B R' F' U' D' F'
B R' F' U' D2 F'
B R' F' U' F' D
B R' F' U' F' D'
B R' F' U' F' D2
B R' F' D U' F'
B R' F' D' U' F'
B R' F' D2 U' F'
B D' L2 R' F' U'
B D' R' L2 F' U'
B D' R' F' L2 U'
L' B R' F' U' F'
L2 B R' F' U' F'
L2 B R' F' U' F'
L B R' F' U' F'
F2 B R' F' U' F
B F R' F' U' F2
F B R' F' U' F2
B F2 R' F' U' F
B R' F' L' D' U' F'
B R' F' L' D2 U' F'
B R' F' L2 U' D F'
B R' F' L2 U' D' F'
B R' F' L2 U' D2 F'
B R' F' L2 U' F' D
B R' F' L2 U' F' D'
B R' F' L2 U' F' D2
B R' F' L2 D U' F'
B R' F' L2 D' U' F'
B R' F' L2 D2 U' F'
B R' F' U B U2 F'
B R' F' U B' U2 F'
B R' F' U B2 U2 F'
B R' F' U' L' F' L
B R' F' U' L2 F' L2
B R' F' U' D F' D
B R' F' U' D F' D'
B R' F' U' D F' D2
B R' F' U' D' F' D
B R' F' U' D' F' D'
B R' F' U' D' F' D2
B R' F' U' D2 F' D
B R' F' U' D2 F' D'
B R' F' U' D2 F' D2
B R' F' U' F2 D F
B R' F' U' F2 D' F
B R' F' U' F2 D2 F
B R' F' D L U' F'
B R' F' D L' U' F'
B R' F' D L2 U' F'
B R' F' D U' F' D
B R' F' D U' F' D'
B R' F' D U' F' D2
B R' F' D' L U' F'
B R' F' D' L' U' F'
B R' F' D' L2 U' F'
B R' F' D' U' F' D
B R' F' D' U' F' D'
B R' F' D' U' F' D2
B R' F' D2 L U' F'
B R' F' D2 L' U' F'
B R' F' D2 L2 U' F'
B R' F' D2 U' F' D
B R' F' D2 U' F' D'
B R' F' D2 U' F' D2
B R' F2 D F U' F'
B R' F2 D' F U' F'
B R' F2 D2 F U' F'
F2 U F B R' U' R2
F2 U B R' F U' R
F2 U B F R' U' R2
B U' F2 U R' F' U'
B U' F2 B' D' R' B
B U' B' F2 D' R' B
F U2 B R' U' F R
L' F B R' F' U' F2
U2 F B R' U' F R
L2 F B R' F' U' F2
B D R' F' U2 R' U
U F B R' U' R2 F
U F B R' U' F R2
L F B R' F' U' F2
R' F' R B R' U' F'
B D' L R' F' L U'
B D' L2 R' D F' U'
B D' L2 R' D' F' U'
B D' L2 R' D2 F' U'
B D' L2 R' F' U' D
B D' L2 R' F' U' D'
B D' L2 R' F' U' D2
B D' L2 R' F' D U'
B D' L2 R' F' D' U'
B D' L2 R' F' D2 U'
B D' L2 D R' F' U'
B D' L2 D' R' F' U'
B D' L2 D2 R' F' U'
B D' L2 F R' F' U'
B D' L2 F' R' F' U'
B D' L2 F2 R' F' U'
B D' R' L F' L U'
B D' R' L2 D F' U'
B D' R' L2 D' F' U'
B D' R' L2 D2 F' U'
B D' R' L2 F' U' D
B D' R' L2 F' U' D'
B D' R' L2 F' U' D2
B D' R' L2 F' D U'
B D' R' L2 F' D' U'
B D' R' L2 F' D2 U'
B D' R' D F' U' F'
B D' R' F L2 F2 U'
B D' R' F' L2 U' D
B D' R' F' L2 U' D'
B D' R' F' L2 U' D2
B D' R' F' L2 D U'
B D' R' F' L2 D' U'
B D' R' F' L2 D2 U'
B D' R' F' U' D F2
B D' R' F' D U' F2
B D' F L2 R' F' U'
B D' F R' L2 F' U'
B D' F R' F' L2 U'
B D' F' L2 R' F' U'
B D' F' R' L2 F' U'
B D' F' R' F' L2 U'
B D' F2 L2 R' F' U'
B D' F2 R' L2 F' U'
B D' F2 R' F' L2 U'
B2 D' B' L2 R' F' U'
B2 D' B' R' L2 F' U'
B2 D' B' R' F' L2 U'
U' F2 U B R' F' U'
L' F2 B R' F' U' F
L2 F2 B R' F' U' F
B D2 R' D L2 F' U'
B D2 R' D F' L2 U'
B D2 R' D2 F' U' F'
B D2 R' F' U B2 U2
B D2 R' F' U' D2 F2
B D2 R' F' D L2 U'
B D2 R' F' D2 U' F2
L F2 B R' F' U' F
L' B L R' F' U' F'
U2 B L R' F U' F
L2 B L R' F' U' F'
L' B L' R' F' U' F'
U2 B L F R' U' F
U' B L2 R' U' F2 R
L2 B L' R' F' U' F'
D' B L2 R' F' U' B
L B L R' F' U' F'
L' B L2 R' F' U' F'
D' B L2 U' B' R' B
L2 B L2 R' F' U' F'
L B L' R' F' U' F'
U' B R' L2 U' F2 R
U' B R' U L U2 F2
L B L2 R' F' U' F'
D' B R' L2 F' U' B
L' B R' L F' U' F'
L' B R' L' F' U' F'
L' B R' L2 F' U' F'
L' B R' D' L2 F' U'
L' B R' D' F' L2 U'
D' B R' F' L2 U' B
L' B R' F' L U' F'
L' B R' F' L' U' F'
L' B R' F' L2 U' F'
U2 B R' L F U' F
L' B R' F' U' D F'
L' B R' F' U' D' F'
L' B R' F' U' D2 F'
L' B R' F' U' F' D
L' B R' F' U' F' D'
L' B R' F' U' F' D2
L' B R' F' D U' F'
L2 B R' L F' U' F'
L' B R' F' D' U' F'
L' B R' F' D2 U' F'
L2 B R' L' F' U' F'
L2 B R' L2 F' U' F'
U2 B R' U' F R F
L2 B R' D' L2 F' U'
L2 B R' D' F' L2 U'
U2 B R' F U' F R
L2 B R' F' L U' F'
L2 B R' F' L' U' F'
L2 B R' F' L2 U' F'
L2 B R' F' U' D F'
L2 B R' F' U' D' F'
L2 B R' F' U' D2 F'
L2 B R' F' U' F' D
L2 B R' F' U' F' D'
L2 B R' F' U' F' D2
L2 B R' F' D U' F'
L2 B R' F' D' U' F'
L2 B R' F' D2 U' F'
L B R' L F' U' F'
L B R' L' F' U' F'
L B R' L2 F' U' F'
L B R' D' L2 F' U'
L B R' D' F' L2 U'
U B R' F U' R F
L B R' F' L U' F'
L B R' F' L' U' F'
L B R' F' L2 U' F'
L B R' F' U' D F'
L B R' F' U' D' F'
L B R' F' U' D2 F'
L B R' F' U' F' D
L B R' F' U' F' D'
L B R' F' U' F' D2
L B R' F' D U' F'
L B R' F' D' U' F'
L B R' F' D2 U' F'
F2 B L R' F' U' F
F2 B L' R' F' U' F
F2 B L2 R' F' U' F
L' B D' L2 R' F' U'
L' B D' R' L2 F' U'
L' B D' R' F' L2 U'
R B U2 R' B U' F2
L2 B D' L2 R' F' U'
L2 B D' R' L2 F' U'
L2 B D' R' F' L2 U'
F2 B R' L F' U' F
F2 B R' L' F' U' F
F2 B R' L2 F' U' F
L B D' L2 R' F' U'
L B D' R' L2 F' U'
L B D' R' F' L2 U'
F2 B R' D F' U' F
L' B F R' F' U' F2
F2 B R' D' F' U' F
F2 B R' D2 F' U' F
F2 B R' F' U' D F
F2 B R' F' U' D' F
F2 B R' F' U' D2 F
F2 B R' F' U' F D
F2 B R' F' U' F D'
F2 B R' F' U' F D2
F2 B R' F' D U' F
F2 B R' F' D' U' F
F2 B R' F' D2 U' F
U2 B F R' U' F R
L2 B F R' F' U' F2
B F R' U' F D R2
B F R' D F' U' F2
B F R' D' F' U' F2
B F R' D2 F' U' F2
B F R' F' L U' F2
B F R' F' L' U' F2
B F R' F' L2 U' F2
B F R' F' U' F2 D
B F R' F' U' F2 D'
B F R' F' U' F2 D2
B F R' F' D' L2 U'
F B R' U' F D R2
F B R' D F' U' F2
F B R' D' F' U' F2
F B R' D2 F' U' F2
F B R' F' L U' F2
F B R' F' L' U' F2
F B R' F' L2 U' F2
F B R' F' U' F2 D
F B R' F' U' F2 D'
F B R' F' U' F2 D2
F B R' F' D' L2 U'
L' B F2 R' F' U' F
U B F R' U' R2 F
U B F R' U' F R2
L B F R' F' U' F2
L2 B F2 R' F' U' F
L B F2 R' F' U' F
F2 B D R' F' U' F
B F D R' F' U' F2
F2 B D' R' F' U' F
F B D R' F' U' F2
B F D' R' F' U' F2
F2 B D2 R' F' U' F
F B D' R' F' U' F2
B F D2 R' F' U' F2
F B D2 R' F' U' F2
B F2 L R' F' U' F
B F2 L' R' F' U' F
B F2 L2 R' F' U' F
B F2 R' L F' U' F
B F2 R' L' F' U' F
B F2 R' L2 F' U' F
B F2 R' D F' U' F
B F2 R' D' F' U' F
B F2 R' D2 F' U' F
B F2 R' F' U' D F
B F2 R' F' U' D' F
B F2 R' F' U' D2 F
B F2 R' F' U' F D
B F2 R' F' U' F D'
B F2 R' F' U' F D2
B F2 R' F' D U' F
B F2 R' F' D' U' F
B F2 R' F' D2 U' F
B F2 D R' F' U' F
B F2 D' R' F' U' F
B F2 D2 R' F' U' F
