R' D' B R F2 L'
U R2 B2 R L U' B
R D U' F' U2 L2 R'
R D U' F' U2 R' L2
F2 U L' R' B2 U' B'
F2 U L' B2 R' U' B
R' D B L2 R2 F' R'
R' D B R2 L2 F' R'
R' D B R2 F' L2 R'
R' D B R2 F' R' L2
F2 U R' L' B2 U' B'
R D F2 U L2 R' B'
R D F2 U R' L2 B'
R' D B' L2 R F B2
R' D B' L2 R B2 F
R' D B' L2 B2 R F
R' D B' R L2 F B2
R' D B' R L2 B2 F
R' D B2 U2 R B' L2
R' D B2 U2 B' L2 R
R' D B2 U2 B' R L2
R' D' L B R F2 L'
R' D' L' B R F2 L'
R' D' L2 B R F2 L'
D2 U' L R F2 U B'
R' D' R2 F' U2 F' R'
R' D' U B R F2 L'
F2 U B2 L' R' U' B
F2 U B2 R' L' U' B
R' D' U' B R F2 L'
D2 U' R L F2 U B'
R' D' U2 B R F2 L'
U' D' R F2 U L' B'
D' U' R F2 U L' B'
D2 U' R F2 L U B'
R D' U' R2 U2 B R
R D' U' F' R2 U2 R
R' D' B L R F2 L'
R' D' B L' R F2 L'
R' D' B L2 R F2 L'
R' D' B R L F2 L'
R' D' B R L' F2 L'
R' D' B R L2 F2 L'
R' D' B R F2 L' D
R' D' B R F2 L' D'
R' D' B R F2 L' D2
R' D' B R F2 D L'
R' D' B R F2 D' L'
R' D' B R F2 D2 L'
R' D' B' R F2 L' B2
R' D' B' R F2 B2 L'
R' D' B' R B2 F2 L'
R' D' B2 R F2 B' L'
R' D' B2 R B' F2 L'
U' D2 L R F2 U B'
U' D2 R L F2 U B'
U' D2 R F2 L U B'
F2 U2 L' B2 U' R' B
R' D2 B D R F2 L'
R D2 F2 L2 U R' B'
R D2 F2 U' F U2 R'
F2 D L D L F2 B'
F2 D L D L B' F2
F2 D L D F2 L B'
R F D2 F2 U R' B2
R F' U2 B2 U' B2 R'
D F2 L D L F2 B'
D F2 L D L B' F2
D F2 L D F2 L B'
U2 F2 L' B2 U' R' B
B2 D' F' R U' R' F'
F2 D2 L D' B' L2 F
R F2 U R' D L2 B'
R F2 U D L2 R' B'
R F2 U D R' L2 B'
R F2 D U L2 R' B'
R F2 D U R' L2 B'
R' B R U' R F' U
R' B U' R2 F' U R'
D B' L R U L R'
D B' L R U R' L
D B' L2 U' L' R U
D B' L2 U' R L' U
D B' R L U L R'
D B' R L U R' L
D B' U' L R U L
D B' U' R L U L
R2 B2 L R U' B R
B2 F2 L' R' U' B R
F2 B2 L' R' U' B R
R2 B2 R L U' B R
U B2 R U F' U2 F
U B2 R' U' D' F2 B
U B2 R' U' D' B F2
U B2 R' U' B D' F2
U B2 R' D' U' F2 B
U B2 R' D' U' B F2
U B2 R' D2 L2 U' B
B2 F2 R' L' U' B R
F2 B2 R' L' U' B R
R' B2 U' D' R F2 B'
R' B2 U' D' R B' F2
R' B2 U' D' B' R F2
R' B2 U' B' D' R F2
R' B2 U2 R2 U R' B'
R B2 U L F' U2 F
R' B2 D' U' R F2 B'
R' B2 D' U' R B' F2
R' B2 D' U' B' R F2
R B2 U' F' L U2 L'
U B2 U2 R U' F' U2
