F2 L R2 U F' R'
F2 L U R2 F' R'
F2 L U' B U2 R
L' U2 D' B2 L2 F
F2 R2 L U F' R'
L' D R2 F2 U2 F
L' D F2 R2 U2 F'
L' D F2 B R2 U2
L' D B R2 F2 U2
L' D B F2 R2 U2
L' D' U2 B2 L2 F
L' D' B U2 L2 B
L' D' B U2 B L2
L D' B2 U L2 F
B D L' R2 F U2
B D L' F R2 U2
B D R2 L' F U2
R F2 L U R F'
L F2 U D2 R2 F'
L F2 U' L2 B U2
L F2 U' B L2 U2
L F2 D2 U R2 F'
L' B U L2 F2 U
L' B U F2 L2 U
L' B U2 D' L2 B2
L' B U2 D' B2 L2
L' B D R2 F2 U2
L' B D F2 R2 U2
L' B D' U2 L2 B2
L' B D' U2 B2 L2
U2 L' B U2 D' L2 B2
U2 L' B U2 D' B2 L2
U' L' B D' U2 L2 B2
U' L' B D' U2 B2 L2
U2 L' B D R2 F2 U2
U2 L' B D F2 R2 U2
U2 L' B D' U2 L2 B2
U2 L' B D' U2 B2 L2
U L' B U L2 F2 U
U L' B U F2 L2 U
U L' B U2 D' L2 B2
U L' B U2 D' B2 L2
U L' B D R2 F2 U2
U L' B D F2 R2 U2
U L' B D' U2 L2 B2
U L' B D' U2 B2 L2
L' R2 D R2 F2 B U2
L' R2 D R2 B F2 U2
L' R2 D F2 R2 U2 F
F2 L' B2 L2 U R F
L' R2 D' U2 L2 F' B2
L' R2 D' U2 L2 B2 F'
L' R2 D' U2 F' L2 B2
L' R2 D' U2 F' B2 L2
L' R2 D' U2 B2 L2 F'
L' R2 D' U2 B2 F' L2
L R2 D' B2 U L2 F'
L R2 D' B2 U F' L2
L R2 F2 U D2 R2 F
L R2 F2 U D2 F R2
L R2 F2 U F D2 R2
L R2 F2 U' L2 B' U2
L R2 F2 D' B2 U F
L R2 F2 D2 U R2 F
L R2 F2 D2 U F R2
B L2 D L R2 U2 B'
B L2 D R2 L U2 B'
L' U L2 R2 F2 U F
L' U L2 F2 R2 U F'
L' U L2 F2 U' B U2
L' U R2 L2 F2 U F
L U D' L2 D' R2 F'
L U D2 R2 D L2 F'
L U D2 R2 D F' L2
L U D2 R2 F' D L2
L' U F2 L2 R2 U F'
L' U F2 L2 U' B U2
L' U F2 R2 L2 U F'
R U F2 L U R F'
B R D L' R2 F U2
B R D L' F R2 U2
B R D R2 L' F U2
F R F L U R F'
L U' L2 D R2 U2 F'
L U' L2 D B R2 U2
L U' L2 D' B U2 L2
L U' L2 B U F2 U
L U' L2 B U2 D' L2
L U' L2 B D R2 U2
L U' L2 B D' U2 L2
U' R F2 L U R F'
U2 R F2 L U R F'
U R F2 L U R F'
L' U' D2 R2 B2 U' F'
R U' F2 L U R F'
L U' B L2 U F2 U
L U' B L2 U2 D' L2
L U' B L2 D R2 U2
L U' B L2 D' U2 L2
B R' D L' R2 F U2
B R' D L' F R2 U2
B R' D R2 L' F U2
L' U2 D' F B2 L2 F
L' U2 D' F' B2 L2 F
L' U2 D' F2 B2 L2 F
L' U2 D' B2 L2 D F
L' U2 D' B2 L2 D' F
L' U2 D' B2 L2 D2 F
L' U2 D' B2 L2 F D
L' U2 D' B2 L2 F D'
L' U2 D' B2 L2 F D2
L' U2 D' B2 F L2 F
L' U2 D' B2 F' L2 F
L' U2 D' B2 F2 L2 F
F2 R2 L U D F' R'
F2 R2 L U D' F' R'
F2 R2 L U D2 F' R'
F2 R2 L U F R' F2
F2 R2 L U F' R' D
F2 R2 L U F' R' D'
F2 R2 L U F' R' D2
F2 R2 L U F' D R'
F2 R2 L U F' D' R'
F2 R2 L U F' D2 R'
F2 R2 L U F2 R' F
F2 R2 L D U F' R'
F2 R2 L D' U F' R'
F2 R2 L D2 U F' R'
D R2 L' U L2 U F'
D R2 L' U2 D' F' B2
D R2 L' U2 D' B2 F'
D R2 L' U2 F' D' B2
D R2 L' D F2 U2 F
D R2 L' D' U2 F' B2
D R2 L' D' U2 B2 F'
R' U2 F2 L U R F
R U2 F2 L U R F'
F2 R2 D L U F' R'
B R2 D L' R2 F U2
B R2 D L' F R2 U2
B R2 D R2 L' F U2
L' U2 B2 D' L2 F B2
L' U2 B2 D' L2 B2 F
F2 R2 D' L U F' R'
F2 R2 D2 L U F' R'
F R2 F L U R F2
L' D R' F2 R' U2 F'
L' D R2 U2 D2 F' B2
L' D R2 U2 D2 B2 F'
L' D R2 D2 U2 F' B2
L' D R2 D2 U2 B2 F'
L' D R2 F2 U2 D F
L' D R2 F2 U2 D' F
L' D R2 F2 U2 D2 F
L' D R2 F2 U2 F D
L' D R2 F2 U2 F D'
L' D R2 F2 U2 F D2
L' D R2 F2 D U2 F
L' D R2 F2 D' U2 F
L' D R2 F2 D2 U2 F
L' D R2 F2 B U2 F
L' D R2 F2 B' U2 F
L' D R2 F2 B2 U2 F
L' D R2 B F2 U2 F
L' D R2 B' F2 U2 F
L' D R2 B2 F2 U2 F
L' D F R2 F U2 F2
L' D F B R2 F U2
L' D F' R2 U2 F' B
L' D F' R2 U2 B F'
L' D F' B R2 U2 B
L' D F2 R2 U2 D F'
L' D F2 R2 U2 D' F'
L' D F2 R2 U2 D2 F'
L' D F2 R2 U2 F' D
L' D F2 R2 U2 F' D'
L' D F2 R2 U2 F' D2
L' D F2 R2 D U2 F'
L' D F2 R2 D' U2 F'
L' D F2 R2 D2 U2 F'
L' D F2 R2 B U2 F'
L' D F2 R2 B' U2 F'
L' D F2 R2 B2 U2 F'
L' D F2 D2 B U2 L2
L' D F2 B R2 U2 D
L' D F2 B R2 U2 D'
L' D F2 B R2 U2 D2
L' D F2 B R2 D U2
L' D F2 B R2 D' U2
L' D F2 B R2 D2 U2
L' D F2 B U2 D2 L2
L' D F2 B D2 U2 L2
L' D F2 B' R2 B2 U2
L' D F2 B2 R2 B' U2
L' D B R F2 U2 L'
L' D B R' F2 R' U2
L' D B R2 U2 D2 B2
L' D B R2 D2 U2 B2
L' D B R2 F2 U2 D
L' D B R2 F2 U2 D'
L' D B R2 F2 U2 D2
L' D B R2 F2 D U2
L' D B R2 F2 D' U2
L' D B R2 F2 D2 U2
L' D B U2 D2 L2 B2
L' D B U2 D2 B2 L2
L' D B D2 U2 L2 B2
L' D B D2 U2 B2 L2
L' D B F R2 F U2
L' D B F' R2 U2 B
L' D B F2 R2 U2 D
L' D B F2 R2 U2 D'
L' D B F2 R2 U2 D2
L' D B F2 R2 D U2
L' D B F2 R2 D' U2
L' D B F2 R2 D2 U2
L' D B F2 U2 D2 L2
L' D B F2 D2 U2 L2
L' D B' R2 F2 B2 U2
L' D B' R2 B2 F2 U2
L' D B' F2 R2 B2 U2
L' D B2 R2 F2 B' U2
L' D B2 R2 B' F2 U2
L' D B2 F2 R2 B' U2
L D' L2 D' R2 F' B2
L D' L2 D' R2 B2 F'
L' D' R2 U2 L2 F' B2
L' D' R2 U2 L2 B2 F'
B U F2 B' L U R
L' D' R2 U2 F' L2 B2
L' D' R2 U2 F' B2 L2
L' D' R2 U2 B2 L2 F'
L' D' R2 U2 B2 F' L2
B U F2 B2 U R B
L D' R2 B2 U L2 F'
L D' R2 B2 U F' L2
B U B' F2 L U R
L D' U L2 D' R2 F'
L' D' U2 F B2 L2 F
L' D' U2 F' B2 L2 F
L' D' U2 F2 B2 L2 F
L' D' U2 B2 L2 D F
L' D' U2 B2 L2 D' F
L' D' U2 B2 L2 D2 F
L' D' U2 B2 L2 F D
L' D' U2 B2 L2 F D'
L' D' U2 B2 L2 F D2
L' D' U2 B2 F L2 F
L' D' U2 B2 F' L2 F
L' D' U2 B2 F2 L2 F
B U B2 F2 U R B
L' D' F U2 B2 L2 F
L' D' F B U2 L2 B
L' D' F B U2 B L2
L' D' F' U2 B2 L2 F
L' D' F' B U2 L2 B
L' D' F' B U2 B L2
L D' F B2 U L2 F
L' D' F2 U2 B2 L2 F
L' D' F2 B U2 L2 B
L' D' F2 B U2 B L2
L' D' B R2 F' U2 L2
L D' F' B2 U L2 F
L' D' B U2 L' B L'
L' D' B U2 L2 D B
L' D' B U2 L2 D' B
L' D' B U2 L2 D2 B
L' D' B U2 L2 B D
L' D' B U2 L2 B D'
L' D' B U2 L2 B D2
L' D' B U2 B L2 D
L' D' B U2 B L2 D'
L' D' B U2 B L2 D2
L' D' B U2 B' L2 B2
L' D' B D2 R2 F' U2
L' D' B F U2 L2 B
L' D' B F U2 B L2
L' D' B F' U2 L2 B
L' D' B F' U2 B L2
L' D' B F2 U2 L2 B
L' D' B F2 U2 B L2
L D' F2 B2 U L2 F
L' D' B' U2 B' L2 F
L' D' B2 L2 D2 R2 F
L' D' B2 L2 D2 F R2
L' D' B2 L2 F D2 R2
L D' B2 R U L2 F
L D' B2 R' U L2 F
L D' B2 R2 U L2 F
L D' B2 U L2 D F
L D' B2 U L2 D' F
L D' B2 U L2 D2 F
L D' B2 U L2 F D
L D' B2 U L2 F D'
L D' B2 U L2 F D2
L D' B2 U F L2 F
L D' B2 U F' L2 F
L D' B2 U F2 L2 F
L D' B2 U' B' U2 L2
L D' B2 F U L2 F
L D' B2 F' U L2 F
L D' B2 F2 U L2 F
L' D2 U' R2 B2 U' F'
L D2 U R2 D L2 F'
L D2 U R2 D F' L2
L D2 U R2 F' D L2
L' D2 B U' B R2 U'
B U2 D' L2 B2 R' B
F2 D L R2 U F' R'
F2 D L U R2 F' R'
F2 D L U' B U2 R
B D L' R' F R' U2
B D L' R2 D F U2
B D L' R2 D' F U2
B D L' R2 D2 F U2
B D L' R2 F U2 D
B D L' R2 F U2 D'
B D L' R2 F U2 D2
B D L' R2 F D U2
B D L' R2 F D' U2
B D L' R2 F D2 U2
B D L' U2 D2 L2 B'
B D L' D2 U2 L2 B'
B D L' D2 F U2 L2
B D L' F R2 U2 D
B D L' F R2 U2 D'
B D L' F R2 U2 D2
B D L' F R2 D U2
B D L' F R2 D' U2
B D L' F R2 D2 U2
B D L' F U2 D2 L2
B D L' F D2 U2 L2
B D L' F' R2 F2 U2
B D L' F2 R2 U2 B
L' F B U F L2 U
B D R' L' F R' U2
F2 D R2 L U F' R'
L F D2 F U R2 F'
B D R2 L' D F U2
B D R2 L' D' F U2
B D R2 L' D2 F U2
B D R2 L' F U2 D
B D R2 L' F U2 D'
B D R2 L' F U2 D2
B D R2 L' F D U2
B D R2 L' F D' U2
B D R2 L' F D2 U2
R2 F' L F' U R F
R F' L F' U R F'
F2 D' L R2 U F' R'
R2 F' U' L F' U R
F2 D' L U R2 F' R'
F2 D' L U' B U2 R
R2 F' U' F' L U R
B D' L' R' U2 L' B
B D' L' R' U2 B L'
B D' L' R2 U2 L' B'
B D' L' F2 R F' U2
L' F' B U L2 F' U
L' F' B U F' L2 U
B D' R' L' U2 L' B
B D' R' L' U2 B L'
F2 D' R2 L U F' R'
L F' D2 F' U R2 F'
B D' R2 L' U2 L' B'
U' F2 L R2 U F' R'
U' F2 L U R2 F' R'
R' F2 L R' U F' R2
U' F2 L U' B U2 R
U2 F2 L R2 U F' R'
U2 F2 L U R2 F' R'
U2 F2 L U' B U2 R
R2 F2 L U D2 R F'
R2 F2 L D2 U R F'
U F2 L R2 U F' R'
U F2 L U R2 F' R'
U F2 L U' B U2 R
B D' U2 L2 B2 R' B
R F2 L R' U R2 F'
L' F2 L2 U D2 R2 F'
L' F2 L2 U' L2 B U2
L' F2 L2 U' B L2 U2
R F2 L U R D F'
R F2 L U R D' F'
R F2 L U R D2 F'
R F2 L U R F' D
R F2 L U R F' D'
R F2 L U R F' D2
L' F2 L2 D2 U R2 F'
R F2 L B U R F'
R F2 L B' U R F'
R F2 L B2 U R F'
R' F2 R' L U F' R2
U' F2 R2 L U F' R'
U2 F2 R2 L U F' R'
R F2 R' L U R2 F'
U F2 R2 L U F' R'
L F2 R2 U D2 F' R2
L F2 R2 U F' D2 R2
L F2 R2 U' L2 U2 F'
L F2 R2 D' B2 U F'
L F2 R2 D2 U F' R2
F2 D2 L R2 U F' R'
F2 D2 L U R2 F' R'
F2 D2 L U' B U2 R
L F2 U R2 D2 F' R2
L F2 U R2 F' D2 R2
L F2 U D2 R2 D F'
L F2 U D2 R2 D' F'
L F2 U D2 R2 D2 F'
L F2 U D2 R2 F' D
L F2 U D2 R2 F' D'
L F2 U D2 R2 F' D2
L F2 U D2 F R2 F'
L F2 U D2 F' R2 F'
L F2 U D2 F2 R2 F'
L F2 U F D2 R2 F'
L F2 U F' D2 R2 F'
L F2 U F2 D2 R2 F'
L F2 U' L' B L' U2
L F2 U' L2 D B U2
L F2 U' L2 D' B U2
L F2 U' L2 D2 B U2
L F2 U' L2 B U2 D
L F2 U' L2 B U2 D'
L F2 U' L2 B U2 D2
L F2 U' L2 B D U2
L F2 U' L2 B D' U2
L F2 U' L2 B D2 U2
L F2 U' D2 B U2 R2
L F2 U' B L2 U2 D
L F2 U' B L2 U2 D'
L F2 U' B L2 U2 D2
L F2 U' B L2 D U2
L F2 U' B L2 D' U2
L F2 U' B L2 D2 U2
L F2 U' B U2 D2 R2
L F2 U' B D2 U2 R2
L F2 U' B' L2 B2 U2
L F2 U' B2 L2 U2 F
L F2 D' R2 B2 U F'
L' F2 B U L2 U L2
L F2 D' B2 U' B' U2
F2 D2 R2 L U F' R'
L F2 D2 R U R F'
L F2 D2 U R2 D F'
L F2 D2 U R2 D' F'
L F2 D2 U R2 D2 F'
L F2 D2 U R2 F' D
L F2 D2 U R2 F' D'
L F2 D2 U R2 F' D2
L F2 D2 U F R2 F'
L F2 D2 U F' R2 F'
L F2 D2 U F2 R2 F'
L F2 D2 U' B U2 R2
R2 F2 B' U R F B
R2 F2 B' U R B F
L F2 B' U D2 R2 F2
L F2 B' U D2 F2 R2
L F2 B' U' L2 B2 U2
L F2 B' U' B2 L2 U2
L F2 B' D' R2 B2 U
L F2 B' D' B2 R2 U
L F2 B' D2 U R2 F2
L F2 B' D2 U F2 R2
R F2 B' U R F' B
R F2 B' U R B F'
D2 B L' U' B R' U'
L F2 B2 U' L2 U2 F
L F2 B2 U' B' L2 U2
L' B R U L2 F2 U
L' B R U F2 L2 U
L' B R U2 D' L2 B2
L' B R U2 D' B2 L2
L' B R D R2 F2 U2
L' B R D F2 R2 U2
L' B R D' U2 L2 B2
L' B R D' U2 B2 L2
L B L2 U L2 F2 U
L B L2 U F2 L2 U
L' B R' U L2 F2 U
L' B R' U F2 L2 U
L B L2 U2 D' L2 B2
L B L2 U2 D' B2 L2
L B L2 D R2 F2 U2
L B L2 D F2 R2 U2
L' B R' U2 D' L2 B2
L' B R' U2 D' B2 L2
L B L2 D' U2 L2 B2
L B L2 D' U2 B2 L2
L' B R' D R2 F2 U2
L' B R' D F2 R2 U2
L' B R' D' U2 L2 B2
L' B R' D' U2 B2 L2
L' B R2 U L2 F2 U
L' B R2 U F2 L2 U
L' B R2 U2 D' L2 B2
L' B R2 U2 D' B2 L2
L' B R2 D R2 F2 U2
L' B R2 D F2 R2 U2
L' B R2 D' U2 L2 B2
L' B R2 D' U2 B2 L2
L' B U L F2 L U
L' B U L2 U D' L2
L' B U L2 D' U L2
L' B U L2 F2 U D
L' B U L2 F2 U D'
L' B U L2 F2 U D2
L' B U L2 F2 D U
L' B U L2 F2 D' U
L' B U L2 F2 D2 U
L' B U F' L2 F' U
D B R2 D L' F U2
L' B U F2 L2 U D
L' B U F2 L2 U D'
L' B U F2 L2 U D2
L' B U F2 L2 D U
L' B U F2 L2 D' U
L' B U F2 L2 D2 U
L' B U F2 U D' B2
L' B U F2 D' U B2
L' B U' D2 R2 B2 U'
L' B U' D2 B2 R2 U'
L' B U2 D' L' B2 L'
L' B U2 D' L2 B2 D
L' B U2 D' L2 B2 D'
L' B U2 D' L2 B2 D2
L' B U2 D' B L2 B
L' B U2 D' B2 L2 D
L' B U2 D' B2 L2 D'
L' B U2 D' B2 L2 D2
U' B D L' R2 F U2
U' B D L' F R2 U2
L' B U2 B D' L2 B2
L' B U2 B D' B2 L2
U' B D R2 L' F U2
L' B U2 B' D' L2 B2
L' B U2 B' D' B2 L2
L' B U2 B2 D' L2 B2
L' B U2 B2 D' B2 L2
L' B D R F2 U2 L'
L' B D R' F2 R' U2
L' B D R2 U2 D2 B2
L' B D R2 D2 U2 B2
L' B D R2 F2 U2 D
L' B D R2 F2 U2 D'
L' B D R2 F2 U2 D2
L' B D R2 F2 D U2
L' B D R2 F2 D' U2
L' B D R2 F2 D2 U2
L' B D F R2 F U2
L' B D F' R2 U2 B
U2 B D L' R2 F U2
L' B D F2 R2 U2 D
L' B D F2 R2 U2 D'
L' B D F2 R2 U2 D2
L' B D F2 R2 D U2
L' B D F2 R2 D' U2
L' B D F2 R2 D2 U2
U2 B D L' F R2 U2
L' B D F2 U2 D2 L2
L' B D F2 D2 U2 L2
U2 B D R2 L' F U2
L' B D' R U2 L2 B2
L' B D' R U2 B2 L2
L' B D' R' U2 L2 B2
L' B D' R' U2 B2 L2
L' B D' R2 U2 L2 B2
L' B D' R2 U2 B2 L2
L' B D' U2 L' B2 L'
L' B D' U2 L2 B2 D
L' B D' U2 L2 B2 D'
L' B D' U2 L2 B2 D2
L' B D' U2 B L2 B
L' B D' U2 B2 L2 D
L' B D' U2 B2 L2 D'
L' B D' U2 B2 L2 D2
L' B D' F U2 L2 B2
L' B D' F U2 B2 L2
L' B D' F' U2 L2 B2
L' B D' F' U2 B2 L2
L' B D' F2 U2 L2 B2
L' B D' F2 U2 B2 L2
U B D L' R2 F U2
U B D L' F R2 U2
U B D R2 L' F U2
L' B D2 U' R2 B2 U'
L' B D2 U' B2 R2 U'
L' B F U F L2 U
L' B F' U L2 F' U
L' B F' U F' L2 U
L' B F2 U L2 U L2
F2 B' U R D2 F2 B
F2 B' U R D2 B F2
F2 B' U D2 R F2 B
F2 B' U D2 R B F2
L B' D' R2 B2 U L2
L B' D' B2 R2 U L2
F2 B' U' B2 U2 R B
R2 B' F2 U R F B
R2 B' F2 U R B F
L B' F2 U D2 R2 F2
L B' F2 U D2 F2 R2
L B' F2 U' L2 B2 U2
L B' F2 U' B2 L2 U2
L B' F2 D' R2 B2 U
L B' F2 D' B2 R2 U
L B' F2 D2 U R2 F2
L B' F2 D2 U F2 R2
R B' F2 U R F' B
R B' F2 U R B F'
F2 B' D2 U R F2 B
F2 B' D2 U R B F2
D2 B2 R' U B' L' U2
L' B2 U L2 F2 U F'
L' B2 U F2 L2 U F
B' F2 U R D2 F2 B
B' F2 U R D2 B F2
L' B2 U2 D' L2 F B2
L' B2 U2 D' L2 B2 F
B' F2 U D2 R F2 B
B' F2 U D2 R B F2
L' B2 D R2 F2 B' U2
L' B2 D R2 B' F2 U2
L' B2 D F2 R2 B' U2
L' B2 D F2 B' R2 U2
L' B2 D B' R2 F2 U2
L' B2 D B' F2 R2 U2
B' F2 U' B2 U2 R B
L' B2 D' U2 L2 F B2
L' B2 D' U2 L2 B2 F
L' B2 D' B' U2 B' L2
B' F2 D2 U R F2 B
B' F2 D2 U R B F2
L B2 F2 U' L2 U2 F
L B2 F2 U' B' L2 U2
