B' U F' U2 R
B' R2 U' D2 B R'
B' R2 D2 U' B R'
B' R2 F' U' B R
D2 R2 B' U' B2 R'
B' U L F' U2 R
B' U L' F' U2 R
B' U L2 F' U2 R
B' U F L' F2 U2
B' U F' L U2 R
B' U F' L' U2 R
B' U F' L2 U2 R
B' U F' U2 R D
B' U F' U2 R D'
B' U F' U2 R D2
B' U F' U2 D R
B' U F' U2 D' R
B' U F' U2 D2 R
B' U F' D U2 R
B' U F' D' U2 R
B' U F' D2 U2 R
B' U' R2 D2 B R'
B' U' D2 R2 B R'
R2 D2 B' U' B2 R'
U F' U' B' U' R
R2 F' B' U' R B2
R2 F' B' U' B2 R
B' D2 R2 U' B R'
B' D2 U' R2 B R'
B' F U L' F2 U2
B' F U F2 U2 R
D2 B' U L F' U2
D2 B' U F' L U2
F B' U L' F2 U2
F B' U L' F2 U2
R2 B' F' U' R B2
R2 B' F' U' B2 R
F B' U F2 U2 R
F' U' B' F U' F' R
F' U' B' F2 U' F2 R
B' U' B2 R2 D2 B R'
B' U' B2 U2 F' U2 R
B' U' B2 D2 R2 B R'
B' U2 L U' F' U2 R
U' D2 R2 B R' D L2
U' D2 R2 B D L2 R'
U' D2 R2 B D R' L2
R2 D2 U' B R' D L2
R2 D2 U' B D L2 R'
R2 D2 U' B D R' L2
B' U2 L' U' F' U2 R
B' U2 L2 U' F' U2 R
R2 D2 F B' U' B2 R'
R2 D2 F' B' U' B2 R'
R2 D2 F2 B' U' B2 R'
R' D2 B' U L U2 B'
R2 D2 B' R U' B2 R'
R2 D2 B' R' U' B2 R'
R2 D2 B' R2 U' B2 R'
R2 D2 B' U L U2 B2
R2 D2 B' U' R B2 R'
R2 D2 B' U' R' B2 R'
R2 D2 B' U' R2 B2 R'
R2 D2 B' U' B2 R' D
R2 D2 B' U' B2 R' D'
R2 D2 B' U' B2 R' D2
R2 D2 B' U' B2 D R'
R2 D2 B' U' B2 D' R'
R2 D2 B' U' B2 D2 R'
R2 D2 B' F U' B2 R'
R2 D2 B' F' U' B2 R'
R2 D2 B' F2 U' B2 R'
B' U2 B U' F' U2 R
B' U2 B' U' F' U2 R
B' U2 B2 U' F' U2 R
B' D R F' R U' B
B' D R2 U' B' R' B2
D2 F B' U L F2 U2
D2 F B' U F2 L U2
D2 F B' U' D2 B2 R'
D2 F B' D2 U' B2 R'
R2 F B' U L' U2 B2
F D R2 F2 B' U' R
F D R2 B' U L' U2
F D R2 B' F2 U' R
R' F' R' B' U' R2 B2
R' F' R' B' U' B2 R2
U F' R' U' B' U' R2
F D F2 B' R2 U' R'
R F' R' B' U' R2 B
L' F' U' L B' U' R
F D B' R2 U L' U2
U' F' U' B' U' R F
F D B' R2 F2 U' R
F D B' F2 R2 U' R'
R2 F' U' B R D L2
R2 F' U' B D L2 R
R2 F' U' B D R L2
L2 F' U2 D R F2 L'
U F' U' D B' U' R
U F' U' D' B' U' R
U F' U' D2 B' U' R
U2 F' U2 B' U' B R
U F' U' B' U' R D
U F' U' B' U' R D'
U F' U' B' U' R D2
U F' U' B' U' D R
U F' U' B' U' D' R
U F' U' B' U' D2 R
U F' U' B' D U' R
U F' U' B' D' U' R
U F' U' B' D2 U' R
U F' U2 R U B' U'
L2 F' D R2 U2 R' F2
L2 F' D R2 U2 F2 R'
L2 F' D U2 R F2 L'
R2 F' D B' U' R B2
R2 F' D B' U' B2 R
U F' D U' B' U' R
L2 F' D' B2 U2 L2 R
L2 F' D' B2 U2 R L2
R2 F' D' B' U' R B2
R2 F' D' B' U' B2 R
U F' D' U' B' U' R
B' D' R2 U' D' B R'
B' D' R2 D' U' B R'
R' F' B' R' U' B R2
R2 F' D2 B' U' R B2
R2 F' D2 B' U' B2 R
R' F' B' U' R' B R2
U F' D2 U' B' U' R
R2 F' B' R' U' R2 B2
R2 F' B' R' U' B2 R2
R2 F' B' R2 U' R' B2
R2 F' B' U' R B2 D
R2 F' B' U' R B2 D'
R2 F' B' U' R B2 D2
R2 F' B' U' R' B2 R2
R2 F' B' U' B' R B'
R2 F' B' U' B2 R D
R2 F' B' U' B2 R D'
R2 F' B' U' B2 R D2
R2 F' B' U' B2 D R
R2 F' B' U' B2 D' R
R2 F' B' U' B2 D2 R
B' D' U' R2 D' B R'
R2 F' B' D' R2 U' R'
R F' B' R' U' R2 B
R F' B' R2 U' R' B
U2 F2 L2 F U R B'
U2 F2 L2 F U B' R
B' D2 R' U' R' B R'
B' D2 R' U' B R' B
B' D2 R2 U' B R' D
B' D2 R2 U' B R' D'
B' D2 R2 U' B R' D2
B' D2 R2 U' B D R'
B' D2 R2 U' B D' R'
B' D2 R2 U' B D2 R'
B' D2 R2 F U' B R'
B' D2 R2 F' U' B R'
B' D2 R2 F2 U' B R'
D2 F2 B' U F L U2
B' D2 U' R' B R' B
B' D2 U' R2 B R' D
B' D2 U' R2 B R' D'
B' D2 U' R2 B R' D2
B' D2 U' R2 B D R'
B' D2 U' R2 B D' R'
B' D2 U' R2 B D2 R'
B' D2 U' B R2 B R
B2 D2 B R2 U' B R
B2 D2 B U F' U2 R'
B2 D2 B U' R2 B R
D2 B R2 B2 U' R B'
D2 B R2 B2 U' B' R
F D2 F2 B' U' R B'
F D2 F2 B' U' B' R
D B R2 B2 U' B' R'
F D2 B' F2 U' R B'
F D2 B' F2 U' B' R
B' F R U L' F2 U2
B' F R U F2 U2 R
B' F R' U L' F2 U2
B' F R' U F2 U2 R
B' F R2 U L' F2 U2
B' F R2 U F2 U2 R
B' F U L F2 L2 U2
B' F U L' U2 D2 B2
B' F U L' D2 U2 B2
B' F U L' F2 U2 D
B' F U L' F2 U2 D'
B' F U L' F2 U2 D2
B' F U L' F2 D U2
B' F U L' F2 D' U2
B' F U L' F2 D2 U2
B' F U L2 F2 L U2
B' F U D2 L' U2 B2
B' F U F2 L U2 R
B' F U F2 L' U2 R
B' F U F2 L2 U2 R
B' F U F2 U2 R D
B' F U F2 U2 R D'
B' F U F2 U2 R D2
B' F U F2 U2 D R
B' F U F2 U2 D' R
B' F U F2 U2 D2 R
B' F U F2 D U2 R
B' F U F2 D' U2 R
B' F U F2 D2 U2 R
B' F D R2 U L' U2
B' F D R2 F2 U' R
B' F D F2 R2 U' R'
R' B' R U F' U2 R
R' B' R' U' D2 B R'
D2 B' R' U' B2 R' B
B' F D2 U L' U2 B2
R' B' R' D2 U' B R'
R' B' R' F' U' B R
B' F D2 F2 U' R B2
B' F D2 F2 U' B2 R
R2 B' R F' U' R B2
R2 B' R F' U' B2 R
D2 B' R2 U L U2 B
D B' R F' R U' B
D2 B' R2 U' B2 R' B'
D' B' R2 U' D' B R'
D' B' R2 D' U' B R'
D2 B' U L D F' U2
D2 B' U L D' F' U2
D2 B' U L D2 F' U2
D2 B' U L F' U2 D
D2 B' U L F' U2 D'
D2 B' U L F' U2 D2
D2 B' U L F' D U2
D2 B' U L F' D' U2
D2 B' U L F' D2 U2
R B' R U' D2 B R'
D2 B' U L' F' L2 U2
R2 B' R' F' U' R B2
R2 B' R' F' U' B2 R
R B' R D2 U' B R'
D2 B' U D L F' U2
D2 B' U D F' L U2
D2 B' U D' L F' U2
R B' R F' U' B R
D2 B' U D' F' L U2
D2 B' U D2 L F' U2
D2 B' U D2 F' L U2
D2 B' U F L F2 U2
D' B' U D F' U2 R
D2 B' U F' L U2 D
D2 B' U F' L U2 D'
D2 B' U F' L U2 D2
D2 B' U F' L D U2
D2 B' U F' L D' U2
D2 B' U F' L D2 U2
D2 B' U F' D L U2
D2 B' U F' D' L U2
D2 B' U F' D2 L U2
D B' R2 U' B' R' B2
R B' R' U F' U2 R
R2 B' R2 F' U' R B2
R2 B' R2 F' U' B2 R
R' B' U' R' D2 B R'
D2 B' U' R' B2 R' B
D2 B' U' R2 B2 R' B'
D' B' U' R2 D' B R'
U B' R2 U' F' B R
U B' R2 U' B F' R
U2 B' U F' U2 R F
D' B' U' D' R2 B R'
D2 B' U' B R2 B R'
D2 B' U' B2 R2 B R
R2 B' U F L' U2 B2
D B' U D' F' U2 R
R2 B' U F' U2 R B2
R2 B' U F' U2 B2 R
U B' U F' B U2 R
D B' U' D R2 B R'
R2 B' U' F' R F B2
R2 B' U' F' R B2 F
U B' U B F' U2 R
R2 B' U' F' B2 R F
B' F' R' U' R2 D B2
R2 B' U' B D2 B R'
D2 B' D U L F' U2
R2 B' U' B2 F' R F
D2 B' D U F' L U2
B' F' R' F U' R2 B
D' B' D U F' U2 R
F' B' R' U' R2 D B2
U B' U' R2 F' B R
U B' U' R2 B F' R
F' B' R' F U' R2 B
F B' R U L' F2 U2
F B' R U F2 U2 R
D2 B' D' U L F' U2
D2 B' D' U F' L U2
D' B' D' R2 U' B R'
D' B' D' U' R2 B R'
D B' D R2 U' B R'
D B' D U' R2 B R'
F B' R' U L' F2 U2
F B' R' U F2 U2 R
D2 B' D2 U L F' U2
D2 B' D2 U F' L U2
D B' D' U F' U2 R
R B' D R F' U' B
B' F' U' R U R' U'
B' F' U' R2 D R' B2
F B' R2 U L' F2 U2
F B' R2 U F2 U2 R
D2 B' F U L F2 U2
D2 B' F U F2 L U2
D2 B' F U' D2 B2 R'
F' B' U' R U R' U'
F' B' U' R2 D R' B2
D2 B' F D2 U' B2 R'
R' B' F' R' U' B R2
F B' U L F2 L2 U2
F B' U L' U2 D2 B2
F B' U L' D2 U2 B2
F B' U L' F2 U2 D
F B' U L' F2 U2 D'
F B' U L' F2 U2 D2
F B' U L' F2 D U2
F B' U L' F2 D' U2
F B' U L' F2 D2 U2
F B' U L2 F2 L U2
R' B' F' U' R' B R2
F B' U D2 L' U2 B2
B' F' U2 B U R B'
B' F' U2 B U B' R
B' F' U2 B' U B R
F B' U F2 L U2 R
F B' U F2 L' U2 R
F B' U F2 L2 U2 R
B' F' U2 B2 U R B2
B' F' U2 B2 U B2 R
F B' U F2 U2 R D
F B' U F2 U2 R D'
F B' U F2 U2 R D2
F B' U F2 U2 D R
F B' U F2 U2 D' R
F B' U F2 U2 D2 R
R2 B' F U L' U2 B2
F B' U F2 D U2 R
F B' U F2 D' U2 R
F B' U F2 D2 U2 R
R B' D2 R U' B R'
D2 B' F2 U F L U2
F' B' U2 B U R B'
F' B' U2 B U B' R
F' B' U2 B' U B R
F' B' U2 B2 U R B2
F' B' U2 B2 U B2 R
R2 B' F' R' U' R2 B2
R2 B' F' R' U' B2 R2
R2 B' F' R2 U' R' B2
R2 B' F' U' R B2 D
R2 B' F' U' R B2 D'
R2 B' F' U' R B2 D2
R2 B' F' U' R' B2 R2
R2 B' F' U' B' R B'
R2 B' F' U' B2 R D
R2 B' F' U' B2 R D'
R2 B' F' U' B2 R D2
R2 B' F' U' B2 D R
R2 B' F' U' B2 D' R
R2 B' F' U' B2 D2 R
R2 B' F' D' R2 U' R'
R B' F' R' U' R2 B
R B' F' R2 U' R' B
F B' D R2 U L' U2
F B' D R2 F2 U' R
F B' D F2 R2 U' R'
F B' D2 U L' U2 B2
F B' D2 F2 U' R B2
F B' D2 F2 U' B2 R
R2 B2 D2 B U' R' B2
