F2 L' U F U2 F'
L2 R' F2 L' U' B'
R' L2 F2 L' U' B'
L U' D B' R2 F'
L U' B' D R2 F'
L D U' B' R2 F'
R' F2 L' U F U2
L' F2 U F' U2 F
L R2 F2 U' D' B' F2
L R2 F2 U' B' D' F2
L R2 F2 U2 R2 U B'
L R2 F2 D' U' F2 B'
L R2 F2 D' U' B' F2
B L2 F L' U B' R'
L' U D R2 D2 L2 B'
L' U D F U2 F' R2
L U D R2 D2 B' L2
L U D R2 B' D2 L2
L' U D' F L2 U2 F'
L U D B' R2 D2 L2
L U D' L2 F U2 F'
F2 R L U2 R' U B'
L' U F U' F U' F2
L' U F U2 F' D R2
F2 R U2 L R' U B'
F2 R U2 R' L U B'
F2 R U2 D2 R' U B
L U B' D R2 D2 L2
F2 R D2 U2 R' U B
L U' R D B' R2 F'
L U' R B' D R2 F'
B2 R F2 B2 L U' B'
L U' R' D B' R2 F'
L U' R' B' D R2 F'
L U' R2 D B' R2 F'
L U' R2 B' D R2 F'
B2 R B2 L F2 U' B'
F2 R B2 L B2 U' B
L' U' D' L2 U2 B' L2
L U' D F B' R2 F'
L' U' D' F L2 U2 L2
L U' D F' B' R2 F'
L U' D F2 B' R2 F'
U R B2 L D R2 B'
U R B2 L D B' R2
L U' D B' R2 D F'
L U' D B' R2 D' F'
L U' D B' R2 D2 F'
L U' D B' R2 F' D
L U' D B' R2 F' D'
L U' D B' R2 F' D2
U R B2 L B' D R2
L U' D B' F R2 F'
L U' D B' F' R2 F'
L U' D B' F2 R2 F'
B2 R B2 F2 L U' B'
L U' D' L2 U2 L2 B'
L U' D' L2 F U2 L2
F2 R' L U2 R U B'
L U' D' B' D2 R2 F'
F2 R' L2 U2 R U B
F2 R' U2 L R U B'
F2 R' U2 R L U B'
D2 R' U2 B2 R U B'
L U' B' R2 D F' R2
L U' B' D R2 D F'
L U' B' D R2 D' F'
L U' B' D R2 D2 F'
L U' B' D R2 F' D
L U' B' D R2 F' D'
L U' B' D R2 F' D2
L U' B' D F R2 F'
L U' B' D F' R2 F'
L U' B' D F2 R2 F'
D2 R' D2 F2 L' U' B
F2 R2 L U' D' F2 B'
F2 R2 L U' D' B' F2
F2 R2 L U' B' D' F2
F2 R2 L U2 R2 U B'
F2 R2 L D' U' F2 B'
F2 R2 L D' U' B' F2
F2 R2 L' D2 L2 U' B'
R U2 D2 R' B2 U B'
L U2 F2 U' D' B' L2
L U2 F2 U' B' D' L2
L U2 F2 U2 F2 U B'
L U2 F2 D' U' B' L2
F2 R2 U2 L R2 U B'
L U2 F2 D2 B2 U' B
F2 R2 U2 R2 L U B'
F2 R2 D2 L2 R' U' B
F2 R2 D2 R' L2 U' B
L2 D L' U' B' R2 F'
L' D L2 U' B' R2 F'
L' D U R2 D2 L2 B'
L' D U F U2 F' R2
L D U R2 D2 B' L2
L D U R2 B' D2 L2
L D U B' R2 D2 L2
B2 U L D R2 B' L2
B2 U L D B' L2 R2
B2 U L D B' R2 L2
B' U L B' D L2 R2
B' U L B' D R2 L2
L D U' F B' R2 F'
L D U' F' B' R2 F'
L D U' F2 B' R2 F'
L D U' B' R2 D F'
L D U' B' R2 D' F'
L D U' B' R2 D2 F'
L D U' B' R2 F' D
L D U' B' R2 F' D'
L D U' B' R2 F' D2
L D U' B' F R2 F'
L D U' B' F' R2 F'
L D U' B' F2 R2 F'
B2 U L' D L2 R2 B'
B2 U L' D L2 B' R2
B2 U L' D R2 L2 B'
F2 U L' F L U2 F'
L D F U' B' R2 F'
L D F' U' B' R2 F'
L D F2 U' B' R2 F'
L' D' U F L2 U2 F'
L' D' U' L2 U2 B' L2
L' D' U' F L2 U2 L2
L D' U L2 F U2 F'
L D' U' L2 U2 L2 B'
L D' U' L2 F U2 L2
L D' U' B' D2 R2 F'
D2 U2 L' B2 R' U B
U2 D2 L' B2 R' U B
R D2 U2 R' B2 U B'
L' D2 B2 U D L2 B'
L' D2 B2 D U L2 B'
L D2 B2 U D L2 B
L D2 B2 U D B L2
L D2 B2 U2 B2 U' B'
L D2 B2 D U L2 B
L D2 B2 D U B L2
L D2 B2 D2 F2 U B
D F L' U R2 D2 L2
B' U2 F2 D' B R' U'
B D L2 F L' U R2
B2 D F L' U L' R2
B2 D F L' U R2 L'
R' F' L2 F' L' U' B'
F' D F' R U2 R' U
D F' R U' R D' F2
D F' R U2 R' U R2
R' F' D F' L' R U'
R' F' D F' R L' U'
R' F2 L U' D F2 B'
R' F2 L U' D B' F2
R' F2 L U' B' D F2
R' F2 L D U' F2 B'
R' F2 L D U' B' F2
L' F2 L U F' U2 F
R' F2 L' R U F U2
R' F2 L' R' U F U2
L2 F2 L U F U2 F'
R' F2 L' R2 U F U2
R' F2 L' U D F U2
R' F2 L' U D' F U2
R' F2 L' U D2 F U2
R' F2 L' U F U2 D
R' F2 L' U F U2 D'
R' F2 L' U F U2 D2
R' F2 L' U F D U2
R' F2 L' U F D' U2
R' F2 L' U F D2 U2
R' F2 L' U' L2 B' L2
R' F2 L' U2 L2 U B'
R' F2 L' D U F U2
L' F2 L' U F' U2 F
R' F2 L' D' U F U2
R2 F2 L U' D' F2 B'
R2 F2 L U' D' B' F2
R' F2 L' D2 U F U2
R2 F2 L U' B' D' F2
R2 F2 L U2 R2 U B'
R2 F2 L D' U' F2 B'
R2 F2 L D' U' B' F2
L' F2 L2 U F' U2 F
R F2 L U2 R' U B'
R2 F2 L' D2 L2 U' B'
R' F2 R L' U F U2
R' F2 R' L' U F U2
L F2 L2 U F U2 F'
R' F2 R2 L' U F U2
L2 F2 R' U2 R U B
L F2 R U2 R' U B'
L' F2 R2 U' D' F2 B
L' F2 R2 U' D' B F2
L' F2 R2 U' B D' F2
L' F2 R2 D' U' F2 B
L' F2 R2 D' U' B F2
L' F2 R2 D2 L2 U' B
L F2 R' U2 R U B'
L' F2 U D F' U2 F
L' F2 U D' F' U2 F
L' F2 U D2 F' U2 F
L' F2 U F' U2 D F
L' F2 U F' U2 D' F
L' F2 U F' U2 D2 F
L' F2 U F' U2 F D
L' F2 U F' U2 F D'
L' F2 U F' U2 F D2
L' F2 U F' D U2 F
L' F2 U F' D' U2 F
L' F2 U F' D2 U2 F
L' F2 U F' B U2 F
L' F2 U F' B' U2 F
L' F2 U F' B2 U2 F
L' F2 U B F' U2 F
L' F2 U B' F' U2 F
L' F2 U B2 F' U2 F
L F2 R2 U' D' F2 B'
L F2 R2 U' D' B' F2
L F2 R2 U' B' D' F2
L F2 R2 U2 R2 U B'
L F2 R2 D' U' F2 B'
L F2 R2 D' U' B' F2
U2 F2 U' L D' B' L2
U2 F2 U' L B' D' L2
U2 F2 U' L' D' L2 B'
L F2 U F U2 F' B'
L F2 U F U2 B' F'
L F2 U F' U2 F B'
L F2 U F' U2 B' F
L F2 U F2 U2 F2 B'
L F2 U F2 U2 B' F2
U2 F2 U2 L F2 U B'
R2 F2 U2 L R2 U B'
L F2 U' R2 B' R2 F'
U2 F2 U2 F2 L U B'
R2 F2 U2 R2 L U B'
L' F2 D U F' U2 F
L F2 U' B' R2 F' R2
L F2 U' B' U2 B U2
L F2 U' B2 D2 F2 B
L F2 U' B2 D2 B F2
R F2 U2 L R' U B'
L' F2 D' U F' U2 F
R F2 U2 R' L U B'
R F2 U2 D2 R' U B
R' F2 D2 L' R' U' B
R' F2 D2 R' L' U' B
U2 F2 D' B R' U' L2
L' F2 D2 U F' U2 F
U2 F2 D2 R' B2 U' B'
R2 F2 D2 L2 R' U' B
R2 F2 D2 R' L2 U' B
U2 F2 D2 B2 R' U' B
R F2 D2 U2 R' U B
R F2 B2 L B2 U' B
D B L2 F L' U R2
L B U2 F2 B' U' B'
L B U2 B' F2 U' B'
L B D L2 F U R2
L B' U F2 B U' F2
L B' U B F2 U' F2
R B2 L F2 B2 U' B
R B2 L B2 F2 U' B
L' B2 U D L2 R2 B'
L' B2 U D L2 B' R2
L' B2 U D R2 L2 B'
B2 F2 R B2 L U' B'
F2 B2 R B2 L U' B'
D2 B2 U2 R' B2 U' B'
L B2 U D L2 B R2
L B2 U D B L2 R2
L B2 U D B R2 L2
D2 B2 U2 B2 R' U' B
L' B2 D U L2 R2 B'
L' B2 D U L2 B' R2
L' B2 D U R2 L2 B'
D2 B2 D2 L F2 U B'
L B2 U2 F2 B2 U' B'
L B2 U2 B2 F2 U' B'
D2 B2 D2 F2 L U B'
L B2 D U L2 B R2
L B2 D U B L2 R2
L B2 D U B R2 L2
L B2 D2 F2 B2 U B'
L B2 D2 B2 F2 U B'
R B2 F2 L B2 U' B
