L2 F D' L' B2
L2 F D' B2 L'
D L2 D' F L' B2
D L2 D' F B2 L'
D L2 D' B2 F L'
F L2 D' F L B2
R' U L2 R F L'
R' U R L2 F L'
R2 U L2 R2 F L'
R U L2 R' F L'
R2 U L2 F L' R2
R2 U L2 F R2 L'
F L2 F D' L B2
R U L2 F L' R'
R U L2 F R' L'
R U R' L2 F L'
R2 U R2 L2 F L'
L2 D' B2 D F L'
L' F L' D' F B2
L' F L' D' B2 F
L' F L' F D' B2
L2 F L' U' L' U
L2 F U' L2 U L
L2 F D L' D2 B2
L2 F D' L B2 L2
L2 F D' L' B2 D
L2 F D' L' B2 D'
L2 F D' L' B2 D2
L2 F D' B L' B
L2 F D' B2 L' D
L2 F D' B2 L' D'
L2 F D' B2 L' D2
L2 F D' B2 D L'
L2 F D' B2 D' L'
L2 F D' B2 D2 L'
L2 F D2 L' D B2
L2 F B D' L' B2
L2 F B D' B2 L'
L2 F B' D' L' B2
L2 F B' D' B2 L'
L2 F B2 D' L' B2
L2 F B2 D' B2 L'
L2 F2 D' F' L' B2
L2 F2 D' F' B2 L'
L2 F2 D' B2 F' L'
L2 B F D' L' B2
L2 B F D' B2 L'
L2 B' F D' L' B2
L2 B' F D' B2 L'
L2 B2 F D' L' B2
L2 B2 F D' B2 L'
L2 F D2 L2 D L B2
L2 F D2 U R2 U' L'
L2 F D2 B L' D B2
L2 F D2 B D L' B2
L2 F D2 B D B2 L'
L2 F D2 B' L' D B2
L2 F D2 B' D L' B2
L2 F D2 B' D B2 L'
L2 F D2 B2 L' D B2
L2 F D2 B2 D L' B2
L2 F D2 B2 D B2 L'
L2 F B L' U' L' U
B2 D R2 U F' L' R2
B2 D R2 U F' R2 L'
L2 F B U' L2 U L
L2 F B D L' D2 B2
L2 F B D' L B2 L2
L2 F B D' L' B2 D
L2 F B D' L' B2 D'
L2 F B D' L' B2 D2
L2 F B D' B L' B
L2 F B D' B2 L' D
L2 F B D' B2 L' D'
L2 F B D' B2 L' D2
L2 F B D' B2 D L'
L2 F B D' B2 D' L'
L2 F B D' B2 D2 L'
L2 F B D2 L' D B2
L2 F B' L' U' L' U
L2 F B' U' L2 U L
L2 F B' D L' D2 B2
L2 F B' D' L B2 L2
L2 F B' D' L' B2 D
L2 F B' D' L' B2 D'
L2 F B' D' L' B2 D2
L2 F B' D' B L' B
L2 F B' D' B2 L' D
L2 F B' D' B2 L' D'
L2 F B' D' B2 L' D2
L2 F B' D' B2 D L'
L2 F B' D' B2 D' L'
L2 F B' D' B2 D2 L'
L2 F B' D2 L' D B2
L2 F B2 L' U' L' U
L2 F B2 U' L2 U L
L2 F B2 D L' D2 B2
L2 F B2 D' L B2 L2
L2 F B2 D' L' B2 D
L2 F B2 D' L' B2 D'
L2 F B2 D' L' B2 D2
L2 F B2 D' B L' B
L2 F B2 D' B2 L' D
L2 F B2 D' B2 L' D'
L2 F B2 D' B2 L' D2
R2 F B2 U L' R2 F'
L2 F B2 D' B2 D L'
L2 F B2 D' B2 D' L'
L2 F B2 D' B2 D2 L'
L2 F B2 D2 L' D B2
R2 F B2 U R2 L' F'
L2 F' L F2 L' D' B2
D F' L2 D' F L' B2
D F' L2 D' F B2 L'
D F' L2 D' B2 F L'
U' F' U' R F B' U2
U' F' U' R B' F U2
U' F' U' B' R F U2
L2 F' U' L2 U F2 L'
R2 F' U' R B' U2 R
R F' U R' D2 L2 F
R2 F' U' B' R U2 R
R F' U' R B' U2 R2
L2 F' D' B2 D F2 L'
F D' L2 D' F L B2
F D' L2 F D' L B2
U2 F' B' R U' R' U'
L2 F2 L F' L' D' B2
D F2 L2 D' F L' B2
D F2 L2 D' F B2 L'
D F2 L2 D' B2 F L'
L2 F2 U' L2 U F' L'
L2 F2 D' L F' L' B2
L2 F2 D' L F' B2 L'
L2 F2 D' L B2 F' L'
L2 F2 D' L' F' L' B2
L2 F2 D' L' F' B2 L'
L2 F2 D' L' B2 F' L'
L2 F2 D' L2 F' L' B2
L2 F2 D' L2 F' B2 L'
L2 F2 D' L2 B2 F' L'
L2 F2 D' F' L B2 L2
L2 F2 D' F' L' B2 D
L2 F2 D' F' L' B2 D'
L2 F2 D' F' L' B2 D2
L2 F2 D' F' B L' B
L2 F2 D' F' B2 L' D
L2 F2 D' F' B2 L' D'
L2 F2 D' F' B2 L' D2
L2 F2 D' F' B2 D L'
L2 F2 D' F' B2 D' L'
L2 F2 D' F' B2 D2 L'
L2 F2 D' B F' L' B
L2 F2 D' B2 L F' L'
L2 F2 D' B2 L' F' L'
L2 F2 D' B2 L2 F' L'
L2 F2 D' B2 D F' L'
L2 F2 D' B2 D' F' L'
L2 F2 D' B2 D2 F' L'
L2 F2 D' B2 F' L' D
L2 F2 D' B2 F' L' D'
L2 F2 D' B2 F' L' D2
L2 F2 D' B2 F' D L'
L2 F2 D' B2 F' D' L'
L2 F2 D' B2 F' D2 L'
F D2 L2 D' F L B2
F D2 L2 F D' L B2
L2 F2 D2 F' L' D B2
L2 F2 D2 F' D L' B2
L2 F2 D2 F' D B2 L'
L2 F2 B D' F' L' B2
L2 F2 B D' F' B2 L'
L2 F2 B D' B2 F' L'
L2 F2 B' D' F' L' B2
L2 F2 B' D' F' B2 L'
L2 F2 B' D' B2 F' L'
L2 F2 B2 D' F' L' B2
L2 F2 B2 D' F' B2 L'
L2 F2 B2 D' B2 F' L'
L B L F D' L' B2
L B L F D' B2 L'
U B U' D2 F2 B' L
U B U' D2 B' L F2
U B U' D2 B' F2 L
U B U' B' L2 F L'
L2 B D' B2 D F L'
L2 B F L' U' L' U
B2 F R2 U L' F' R2
L2 B F U' L2 U L
L2 B F D L' D2 B2
L2 B F D' L B2 L2
L2 B F D' L' B2 D
L2 B F D' L' B2 D'
L2 B F D' L' B2 D2
L2 B F D' B L' B
L2 B F D' B2 L' D
L2 B F D' B2 L' D'
L2 B F D' B2 L' D2
L2 B F D' B2 D L'
L2 B F D' B2 D' L'
L2 B F D' B2 D2 L'
L2 B F D2 L' D B2
U B D2 U' F2 B' L
U B D2 U' B' L F2
U B D2 U' B' F2 L
L2 B F2 D' F' L' B2
L2 B F2 D' F' B2 L'
L2 B F2 D' B2 F' L'
L B' L F D' L' B2
L B' L F D' B2 L'
B F D' R2 U L' R2
B F D' R2 U R2 L'
F B D' R2 U L' R2
F B D' R2 U R2 L'
U' B' U F B U L'
U' B' U B F U L'
L2 B' D' B2 D F L'
L2 B' F L' U' L' U
L2 B' F U' L2 U L
L2 B' F D L' D2 B2
L2 B' F D' L B2 L2
L2 B' F D' L' B2 D
L2 B' F D' L' B2 D'
L2 B' F D' L' B2 D2
L2 B' F D' B L' B
L2 B' F D' B2 L' D
L2 B' F D' B2 L' D'
L2 B' F D' B2 L' D2
L2 B' F D' B2 D L'
L2 B' F D' B2 D' L'
L2 B' F D' B2 D2 L'
L2 B' F D2 L' D B2
U2 B' F' R U' R' U'
L2 B' F2 D' F' L' B2
L2 B' F2 D' F' B2 L'
L2 B' F2 D' B2 F' L'
L B2 L F D' L' B2
L B2 L F D' B2 L'
D B2 R2 U F' L' R2
D B2 R2 U F' R2 L'
R2 B2 U R2 F L' F2
R2 B2 U F L' R2 F'
R2 B2 U F R2 L' F'
R2 B2 U F2 R2 F' L'
F B2 R2 U L' F' R2
U B2 U' B2 L2 F L'
L2 B2 D' B2 D F L'
L2 B2 F L' U' L' U
L2 B2 F U' L2 U L
L2 B2 F D L' D2 B2
L2 B2 F D' L B2 L2
L2 B2 F D' L' B2 D
L2 B2 F D' L' B2 D'
L2 B2 F D' L' B2 D2
L2 B2 F D' B L' B
L2 B2 F D' B2 L' D
L2 B2 F D' B2 L' D'
L2 B2 F D' B2 L' D2
L2 B2 F D' B2 D L'
L2 B2 F D' B2 D' L'
L2 B2 F D' B2 D2 L'
L2 B2 F D2 L' D B2
R2 B2 F U L' R2 F'
R2 B2 F U R2 L' F'
L2 B2 F2 D' F' L' B2
L2 B2 F2 D' F' B2 L'
L2 B2 F2 D' B2 F' L'
