U L U2 L2 F B'
U L U2 L2 B' F
U L F U2 L2 F
U L F B' U2 L2
U L B' U2 L2 B'
U L B' F U2 L2
U L' D2 R2 F B'
U L' D2 R2 B' F
U L' D2 F R2 B'
U L' D2 F B' R2
U L' D2 B' R2 F
U L' D2 B' F R2
B2 L' F R' D B2
U L' F D2 R2 B'
U L' F D2 B' R2
U L' F B' D2 R2
U L' B' D2 R2 F
U L' B' D2 F R2
U L' B' F D2 R2
B2 U L' R' F B'
B2 U L' R' B' F
B2 U L' F R' B'
B2 U R' L' F B'
B2 U R' L' B' F
U B' L' F B' R'
U B' L' B' R' F
U B' L' B' F R'
U B2 L' R' F B'
U B2 L' R' B' F
U B2 L' F R' B'
U B2 R' L' F B'
U B2 R' L' B' F
U L' D2 F R2 B' D2
U L' D2 F B R2 B2
U L' D2 F B' R2 D
U L' D2 F B' R2 D'
U L' D2 F B' R2 D2
U L' D2 F' R2 F2 B'
U L' D2 F' R2 B' F2
U L' D2 F' B' R2 F2
U L' D2 B R2 F B2
U L' D2 B R2 B2 F
U' L' F R D2 B R2
U L' D2 B F R2 B2
U' L' F R B D2 R2
U L' D2 B' R' F R'
U L' D2 B' R2 D F
U L' D2 B' R2 D' F
U L' D2 B' R2 D2 F
U L' D2 B' R2 F D
U L' D2 B' R2 F D'
U L' D2 B' R2 F D2
U' L' F R' D2 R2 B
U L' D2 B' F R2 D
U L' D2 B' F R2 D'
U L' D2 B' F R2 D2
U L' D2 B' F' R2 F2
B2 L' F R' U R2 U'
B2 L' F R' D B2 D
B2 L' F R' D B2 D'
B2 L' F R' D B2 D2
B2 L' F R' B D B2
B2 L' F R' B' D B2
B2 L' F R' B2 D B2
B2 L' F U R U' R2
U L' F R D2 R2 B'
U L' F R D2 B' R2
U L' F R B' D2 R2
U L' F R' D2 R2 B'
U L' F R' D2 B' R2
U L' F R' B' D2 R2
U' L' F D2 R B R
B2 L' F D R' D B2
U L' F R2 D2 R2 B'
U L' F R2 D2 B' R2
U L' F R2 B' D2 R2
B2 L' F D' R' D B2
B' L' F B' R' D B2
B2 L' F D2 R' D B2
U L' F U2 L2 F U2
B L' F B R' D B2
U L' F D B' D R2
U L' F D2 R B' R
U L' F D2 R2 D B'
U L' F D2 R2 D' B'
U L' F D2 R2 D2 B'
U L' F D2 R2 B' D
U L' F D2 R2 B' D'
U L' F D2 R2 B' D2
U L' F D2 B R2 B2
U L' F D2 B' R2 D
U L' F D2 B' R2 D'
U L' F D2 B' R2 D2
U L' F B' R D2 R2
U L' F B' R' D2 R2
U L' F B' R2 D2 R2
U L' F B' U2 L2 U2
U L' F B' D2 R2 D
U L' F B' D2 R2 D'
U L' F B' D2 R2 D2
U L' F B2 D2 B R2
B2 L' F2 D F' R' B
U L' F2 D2 F' R2 B'
U L' F2 D2 F' B' R2
U L' F2 D2 B' F' R2
U L' F2 B' D2 F' R2
B L' B F R' D B2
U L' B' R D2 R2 F
U L' B' R D2 F R2
U L' B' R F D2 R2
U L' B' R' D2 R2 F
U L' B' R' D2 F R2
U L' B' R' F D2 R2
B' L' B' F R' D B2
U L' B' R2 D2 R2 F
U L' B' R2 D2 F R2
U L' B' R2 F D2 R2
U L' B' U2 L2 B' U2
U L' B' D' F D' R2
U L' B' D2 R' F R'
U L' B' D2 R2 D F
U L' B' D2 R2 D' F
U L' B' D2 R2 D2 F
U L' B' D2 R2 F D
U L' B' D2 R2 F D'
U L' B' D2 R2 F D2
U L' B' D2 F R2 D
U L' B' D2 F R2 D'
U L' B' D2 F R2 D2
U L' B' D2 F' R2 F2
U L' B' F R D2 R2
U L' B' F R' D2 R2
U L' B' F R2 D2 R2
U L' B' F U2 L2 U2
U L' B' F D2 R2 D
U L' B' F D2 R2 D'
U L' B' F D2 R2 D2
U L' B' F2 D2 F' R2
U L' B2 D2 F B R2
U L' B2 D2 B R2 F
U L' B2 D2 B F R2
U L' B2 F D2 B R2
R' U L U2 L2 F B'
R' U L U2 L2 B' F
R' U L F U2 L2 F
R' U L F B' U2 L2
R2 U L U2 L2 F B'
R2 U L U2 L2 B' F
R' U L B' U2 L2 B'
R' U L B' F U2 L2
R U L U2 L2 F B'
R U L U2 L2 B' F
R2 U L F U2 L2 F
R2 U L F B' U2 L2
R U L F U2 L2 F
R U L F B' U2 L2
R2 U L B' U2 L2 B'
R2 U L B' F U2 L2
R' U L' D2 R2 F B'
R' U L' D2 R2 B' F
R' U L' D2 F R2 B'
R' U L' D2 F B' R2
R' U L' D2 B' R2 F
R' U L' D2 B' F R2
R' U L' F D2 R2 B'
R' U L' F D2 B' R2
R' U L' F B' D2 R2
R U L B' U2 L2 B'
R U L B' F U2 L2
U' L2 F L F R B
L U L' U B' L' F
R' U L' B' D2 R2 F
R' U L' B' D2 F R2
R' U L' B' F D2 R2
R2 U L' D2 R2 F B'
R2 U L' D2 R2 B' F
R2 U L' D2 F R2 B'
R2 U L' D2 F B' R2
R2 U L' D2 B' R2 F
R2 U L' D2 B' F R2
R2 U L' F D2 R2 B'
R2 U L' F D2 B' R2
R2 U L' F B' D2 R2
R U L' D2 R2 F B'
R U L' D2 R2 B' F
R U L' D2 F R2 B'
R U L' D2 F B' R2
R U L' D2 B' R2 F
R U L' D2 B' F R2
U L2 F L F R B'
U L2 F L F B' R
R U L' F D2 R2 B'
R U L' F D2 B' R2
U L2 F L B' F R
R U L' F B' D2 R2
R2 U L' B' D2 R2 F
R2 U L' B' D2 F R2
R2 U L' B' F D2 R2
R U L' B' D2 R2 F
R U L' B' D2 F R2
R U L' B' F D2 R2
U' L2 F2 L R F B
U' L2 F2 L R B F
U' L2 F2 R L F B
U' L2 F2 R L B F
U L2 F2 L R F B'
U L2 F2 L R B' F
U L2 F2 L B' R F
U L2 F2 R L F B'
U L2 F2 R L B' F
U' R L U2 L2 F B
U' R L U2 L2 B F
U' R L B' U2 L2 B2
U' R L B' U2 B2 L2
U R L U2 L2 F B'
U R L U2 L2 B' F
U R L F U2 L2 F
U R L F B' U2 L2
U' R L' D2 F B R2
U' R L' D2 B R2 F
U' R L' D2 B F R2
U' R L' F D2 B R2
U' R L' F B D2 R2
U R L B' U2 L2 B'
U R L B' F U2 L2
U' R L' B D2 R2 F
U' R L' B D2 F R2
U' R L' B F D2 R2
U R L' D2 R2 F B'
U R L' D2 R2 B' F
U R L' D2 F R2 B'
U R L' D2 F B' R2
U R L' D2 B' R2 F
U R L' D2 B' F R2
U R L' F D2 R2 B'
U R L' F D2 B' R2
U R L' F B' D2 R2
U R L' B' D2 R2 F
U R L' B' D2 F R2
U R L' B' F D2 R2
B2 R U L' R2 F B'
B2 R U L' R2 B' F
B2 R U L' F R2 B'
B2 R U L' F B' R2
B2 R U L' B' R2 F
B2 R U L' B' F R2
B2 R U R2 L' F B'
B2 R U R2 L' B' F
R' U B' L' F B' R'
R' U B' L' B' R' F
R' U B' L' B' F R'
R2 U B' L' F B' R'
R2 U B' L' B' R' F
R2 U B' L' B' F R'
R U B' L' F B' R'
R U B' L' B' R' F
R U B' L' B' F R'
R' U B2 L' R' F B'
R' U B2 L' R' B' F
R' U B2 L' F R' B'
R' U B2 R' L' F B'
R' U B2 R' L' B' F
R2 U B2 L' R' F B'
R2 U B2 L' R' B' F
R2 U B2 L' F R' B'
R2 U B2 R' L' F B'
R2 U B2 R' L' B' F
R U B2 L' R' F B'
R U B2 L' R' B' F
R U B2 L' F R' B'
R U B2 R' L' F B'
R U B2 R' L' B' F
L U' R U' L2 F B
L U' R U' L2 B F
U R B' L' F B' R'
U R B' L' B' R' F
U R B' L' B' F R'
U' R B2 R' B' L' F
U R B2 L' R' F B'
U R B2 L' R' B' F
U R B2 L' F R' B'
U R B2 R' L' F B'
U R B2 R' L' B' F
U' R' L F' U2 L2 F
U' R' L F' B' U2 L2
U' R' L B' F' U2 L2
U R' L U2 L2 F B'
U R' L U2 L2 B' F
U' R' L' D2 R2 F B
U' R' L' D2 R2 B F
U' R' L' F D2 R2 B2
U R' L F U2 L2 F
U' R' L' F D2 B2 R2
U R' L F B' U2 L2
B2 R' L' F U R U'
U R' L B' U2 L2 B'
U R' L B' F U2 L2
U R' L' D2 R2 F B'
U R' L' D2 R2 B' F
U R' L' D2 F R2 B'
U R' L' D2 F B' R2
U R' L' D2 B' R2 F
U R' L' D2 B' F R2
U R' L' F D2 R2 B'
U R' L' F D2 B' R2
U R' L' F B' D2 R2
U R' L' B' D2 R2 F
U R' L' B' D2 F R2
U R' L' B' F D2 R2
L' U2 L2 B' U' R' U'
U R' B' L' F B' R'
U R' B' L' B' R' F
U R' B' L' B' F R'
U R' B2 L' R' F B'
U R' B2 L' R' B' F
U R' B2 L' F R' B'
U R' B2 R' L' F B'
U R' B2 R' L' B' F
U R2 L U2 L2 F B'
U R2 L U2 L2 B' F
U R2 L F U2 L2 F
U R2 L F B' U2 L2
U R2 L B' U2 L2 B'
U R2 L B' F U2 L2
U R2 L' D2 R2 F B'
U R2 L' D2 R2 B' F
U R2 L' D2 F R2 B'
U R2 L' D2 F B' R2
U R2 L' D2 B' R2 F
U R2 L' D2 B' F R2
U R2 L' F D2 R2 B'
U R2 L' F D2 B' R2
U R2 L' F B' D2 R2
U R2 L' B' D2 R2 F
U R2 L' B' D2 F R2
U R2 L' B' F D2 R2
B2 R2 U L' R F B'
B2 R2 U L' R B' F
B2 R2 U L' B' R F
B2 R2 U R L' F B'
B2 R2 U R L' B' F
B2 R2 U' L' R F B
B2 R2 U' L' R B F
B2 R2 U' R L' F B
B2 R2 U' R L' B F
B2 R2 U' R B L' F
U' R2 B2 L' R' F B
U' R2 B2 L' R' B F
U' R2 B2 L' F R' B
U' R2 B2 R' L' F B
U' R2 B2 R' L' B F
U' R2 B2 R' B L' F
U R2 B' L' F B' R'
U R2 B' L' B' R' F
U R2 B' L' B' F R'
U R2 B2 L' R' F B'
U R2 B2 L' R' B' F
U R2 B2 L' F R' B'
U R2 B2 R' L' F B'
U R2 B2 R' L' B' F
B2 U L' R F R2 B'
B2 U L' R F B' R2
B2 U L' R B' R2 F
B2 U L' R B' F R2
B2 U L' R' D F B'
B2 U L' R' D B' F
B2 U L' R' D' F B'
B2 U L' R' D' B' F
B2 U L' R' D2 F B'
B2 U L' R' D2 B' F
B2 U L' R' F D B'
B2 U L' R' F D' B'
B2 U L' R' F D2 B'
B2 U L' R' F B' D
B2 U L' R' F B' D'
B2 U L' R' F B' D2
B2 U L' R' B' D F
B2 U L' R' B' D' F
B2 U L' R' B' D2 F
B2 U L' R' B' F D
B2 U L' R' B' F D'
B2 U L' R' B' F D2
B2 U L' R2 B' R F
L' D F U R F U'
B2 U L' D R' F B'
B2 U L' D R' B' F
B2 U L' D F R' B'
B2 U L' D' R' F B'
B2 U L' D' R' B' F
B2 U L' D' F R' B'
B2 U L' D2 R' F B'
B2 U L' D2 R' B' F
B2 U L' D2 F R' B'
B2 U L' F R B' R2
B2 U L' F R' D B'
B2 U L' F R' D' B'
B2 U L' F R' D2 B'
B2 U L' F R' B' D
B2 U L' F R' B' D'
B2 U L' F R' B' D2
B2 U L' F R2 B' R
B2 U L' F D R' B'
B2 U L' F D' R' B'
B2 U L' F D2 R' B'
B2 U L' F' R' F2 B'
B2 U L' F' R' B' F2
B U L' F B R' B2
B U L' B R' F B2
B U L' B R' B2 F
B U L' B F R' B2
B2 U R L' F R2 B'
B2 U R L' F B' R2
B2 U R L' B' R2 F
B2 U R L' B' F R2
B2 U R' L' D F B'
B2 U R' L' D B' F
B2 U R' L' D' F B'
B2 U R' L' D' B' F
B2 U R' L' D2 F B'
B2 U R' L' D2 B' F
B2 U R' L' F D B'
B2 U R' L' F D' B'
B2 U R' L' F D2 B'
B2 U R' L' F B' D
B2 U R' L' F B' D'
B2 U R' L' F B' D2
B2 U R' L' B' D F
B2 U R' L' B' D' F
B2 U R' L' B' D2 F
B2 U R' L' B' F D
B2 U R' L' B' F D'
B2 U R' L' B' F D2
B2 U R' B L' F B'
B2 U R' B L' B' F
B2 U R' B' L' F B'
B2 U R' B' L' B' F
B2 U R' B2 L' F B'
B2 U R' B2 L' B' F
B2 U R2 L' B' R F
B2 U B L' F B' R'
B2 U B L' B' R' F
B2 U B L' B' F R'
B U B L' R' F B'
B U B L' R' B' F
B U B L' F R' B'
B U B R' L' F B'
B U B R' L' B' F
B U B2 L' F B' R'
B U B2 L' B' R' F
B U B2 L' B' F R'
B2 U' L' R F B R2
B2 U' L' R B R2 F
B2 U' L' R B F R2
B2 U' L' R' F D2 B2
B2 U' L' F R B R2
B U' L' R F B R'
B U' L' R B R' F
B U' L' R B F R'
B U' L' F R B R'
B2 U' R L' F B R2
B2 U' R L' B R2 F
B2 U' R L' B F R2
B2 U' R B L' R2 F
B2 U' R B L' F R2
B2 U' R B R2 L' F
B U' R L' F B R'
B U' R L' B R' F
B U' R L' B F R'
B2 U' R' L' F D2 B2
B U' R B L' R' F
B U' R B L' F R'
B U' R B R' L' F
L' D2 R' F R' D B2
L' D2 R2 F U R U'
L' D2 F R' D R' B2
L' D2 F R2 U R' U'
L' D2 F U R U' R
U F L F R B' U2
U F L F B' R U2
U F L B' F R U2
L' F R D2 R2 D B2
L' F R' D B2 D R2
L' F R' D2 R2 D' B2
L' F U R U L2 U2
L' F U R U' D2 R2
L' F U R D F2 U'
L' F U R D2 U' R2
L' F U D R F2 U'
L' F U D2 R U' R
L' F U2 L2 U' R U'
L F U' R U' L2 F
L' F D R' D R2 B2
L' F D R' D B2 R2
L' F D U R F2 U'
L' F D2 R' D R' B2
L' F D2 R2 U R' U'
L' F D2 U R U' R
L F B' U' R U' L2
L' F' L' U F2 L R
L' F' L' U F2 R L
U F' L F B' U2 L'
U F' L B' F U2 L'
L' F' U' L' U F2 R
L F' U L' U L' F
U' F2 L R B' U2 B2
U' F2 L B' R U2 B
L F' B' U L' U L'
U F2 L R F B' U2
U F2 L R B' F U2
U' F2 R L B' U2 B2
U F2 L B' R F U2
L2 F2 R D' L F B'
L2 F2 R D' L B' F
U F2 R L F B' U2
U F2 R L B' F U2
L2 F2 D' L R F B'
L2 F2 D' L R B' F
L2 F2 D' L B' R F
L2 F2 D' R L F B'
L2 F2 D' R L B' F
U' B L' R F B R'
U' B L' R B R' F
U' B L' R B F R'
U' B L' F R B R'
U' B R L' F B R'
U' B R L' B R' F
U' B R L' B F R'
U' B R B L' R' F
U' B R B L' F R'
U' B R B R' L' F
U B L' F B R' B2
U B L' B R' F B2
U B L' B R' B2 F
U B L' B F R' B2
U B' L' R F B' R'
U B' L' R B' R' F
U B' L' R B' F R'
U B' L' R' F B' R'
U B' L' R' B' R' F
U B' L' R' B' F R'
U B' L' R2 F B' R'
U B' L' R2 B' R' F
U B' L' R2 B' F R'
U B' L' D F B' R'
U B' L' D B' R' F
U B' L' D B' F R'
U B' L' D' F B' R'
U B' L' D' B' R' F
U B' L' D' B' F R'
U B' L' D2 F B' R'
U B' L' D2 B' R' F
U B' L' D2 B' F R'
U B' L' F R B' R'
U B' L' F R' B' R'
U B' L' F R2 B' R'
U B' L' F D B' R'
U B' L' F D' B' R'
U B' L' F D2 B' R'
U B' L' F B' R' D
U B' L' F B' R' D'
U B' L' F B' R' D2
U B' L' F B' D R'
U B' L' F B' D' R'
U B' L' F B' D2 R'
U B' L' F' B' R' F2
U B' L' B' R F R2
U B' L' B' R' D F
U B' L' B' R' D' F
U B' L' B' R' D2 F
U B' L' B' R' F D
U B' L' B' R' F D'
U B' L' B' R' F D2
U B' L' B' D R' F
U B' L' B' D F R'
U B' L' B' D' R' F
U B' L' B' D' F R'
U B' L' B' D2 R' F
U B' L' B' D2 F R'
U B' L' B' F R' D
U B' L' B' F R' D'
U B' L' B' F R' D2
U B' L' B' F D R'
U B' L' B' F D' R'
U B' L' B' F D2 R'
U B' L' B' F' R' F2
U B' R L' F B' R'
U B' R L' B' R' F
U B' R L' B' F R'
U B' R' L' F B' R'
U B' R' L' B' R' F
U B' R' L' B' F R'
B2 F' L' U R' F L'
B2 F' L' U F L' R'
B2 F' L' U F R' L'
U B' R2 L' F B' R'
U B' R2 L' B' R' F
U B' R2 L' B' F R'
U' B' U2 L' F R B'
U' B' U2 L' F B' R
U' B' U2 L' B' F R
L B' U L' U B' L'
L B' U' R U' L2 B
L B' U' R U' B L2
U B' U2 L' F R B
L B' F U' R U' L2
U' B2 L' R F B R2
U' B2 L' R B R2 F
U' B2 L' R B F R2
U' B2 L' R' F D2 B2
L B' F' U L' U L'
U' B2 L' F R B R2
R' B2 L' F R' D B2
U2 B2 L' D' R' F B
U2 B2 L' D' R' B F
U2 B2 L' D' F R' B
U2 B2 L' F D' R' B
U' B2 R L' F B R2
U' B2 R L' B R2 F
U' B2 R L' B F R2
R2 B2 L' F R' D B2
U B2 L' R F R2 B'
U B2 L' R F B' R2
U B2 L' R B' R2 F
U B2 L' R B' F R2
U B2 L' R' D F B'
U B2 L' R' D B' F
U B2 L' R' D' F B'
U B2 L' R' D' B' F
U B2 L' R' D2 F B'
U B2 L' R' D2 B' F
U B2 L' R' F D B'
U B2 L' R' F D' B'
U B2 L' R' F D2 B'
U B2 L' R' F B' D
U B2 L' R' F B' D'
U B2 L' R' F B' D2
U' B2 R B L' R2 F
U' B2 R B L' F R2
U B2 L' R' B' D F
U B2 L' R' B' D' F
U B2 L' R' B' D2 F
U B2 L' R' B' F D
U B2 L' R' B' F D'
U B2 L' R' B' F D2
U' B2 R B R2 L' F
U B2 L' R2 B' R F
U' B2 R' L' F D2 B2
U B2 L' D R' F B'
U B2 L' D R' B' F
U B2 L' D F R' B'
U B2 L' D' R' F B'
U B2 L' D' R' B' F
U B2 L' D' F R' B'
U B2 L' D2 R' F B'
U B2 L' D2 R' B' F
U B2 L' D2 F R' B'
U B2 L' F R B' R2
U B2 L' F R' D B'
U B2 L' F R' D' B'
U B2 L' F R' D2 B'
U B2 L' F R' B' D
U B2 L' F R' B' D'
U B2 L' F R' B' D2
U B2 L' F R2 B' R
U B2 L' F D R' B'
U B2 L' F D' R' B'
U B2 L' F D2 R' B'
F' B2 L' U R' F L'
U B2 L' F' R' F2 B'
U B2 L' F' R' B' F2
F' B2 L' U F L' R'
F' B2 L' U F R' L'
R B2 L' F R' D B2
U B2 R L' F R2 B'
U B2 R L' F B' R2
U B2 R L' B' R2 F
U B2 R L' B' F R2
R' B2 U L' R' F B'
R' B2 U L' R' B' F
R' B2 U L' F R' B'
R' B2 U R' L' F B'
R' B2 U R' L' B' F
D' B2 U L' R' F' B'
D' B2 U L' R' B' F'
D' B2 U R' L' F' B'
D' B2 U R' L' B' F'
U B2 R' L' D F B'
U B2 R' L' D B' F
U B2 R' L' D' F B'
U B2 R' L' D' B' F
U B2 R' L' D2 F B'
U B2 R' L' D2 B' F
U B2 R' L' F D B'
U B2 R' L' F D' B'
U B2 R' L' F D2 B'
U B2 R' L' F B' D
U B2 R' L' F B' D'
U B2 R' L' F B' D2
U B2 R' L' B' D F
U B2 R' L' B' D' F
U B2 R' L' B' D2 F
U B2 R' L' B' F D
U B2 R' L' B' F D'
U B2 R' L' B' F D2
U B2 R' B L' F B'
U B2 R' B L' B' F
U B2 R' B' L' F B'
U B2 R' B' L' B' F
U B2 R' B2 L' F B'
U B2 R' B2 L' B' F
U B2 R2 L' B' R F
R2 B2 U L' R' F B'
R2 B2 U L' R' B' F
R2 B2 U L' F R' B'
U' B2 U2 L' R' F B'
U' B2 U2 L' R' B' F
U' B2 U2 L' F R' B'
R2 B2 U R' L' F B'
R2 B2 U R' L' B' F
U' B2 U2 R' L' F B'
U' B2 U2 R' L' B' F
R B2 U L' R' F B'
R B2 U L' R' B' F
R B2 U L' F R' B'
R B2 U R' L' F B'
R B2 U R' L' B' F
