L R U L2 R B'
L R U L2 B' R
L R U R L2 B'
L2 R U L R B'
L2 R U L B' R
L2 R U R L B'
R L U L2 R B'
R L U L2 B' R
R L U R L2 B'
R2 L' U' R' U B'
L' R' D' R' F2 B'
L' R' D' R' B' F2
R' L' D' R' F2 B'
R' L' D' R' B' F2
L' R' D' F2 R' B'
R' L' D' F2 R' B'
L' R2 U' R' U B'
R L2 U L R B'
R L2 U L B' R
R L2 U R L B'
U' R U L' R B'
U' R U L' B' R
U' R U R L' B'
U2 R U L' B R
U R U L' R B
U R U R L' B
U R U R B L'
U R U R B L'
U2 R U B L' R
U2 R U B R L'
L' U' R U R B'
L' U' R U B' R
R2 U' R' U L' B'
R' D' L' R' F2 B'
R' D' L' R' B' F2
R' D' L' F2 R' B'
R' D' R' L' F2 B'
R' D' R' L' B' F2
L' B' R' D' R' F2
L' B' R' D' F2 R'
L' B' R2 U' R' U
L' B' U' R U R
R2 B' D L' F B'
R2 B' D L' B' F
R2 B2 L' D F2 B'
R2 B2 L' D B' F2
R2 B2 L' B' D F2
L' R2 U' D' R' U B'
L' R2 U' D2 R' U B'
L2 R2 U' R' U L B'
R2 L2 U' R' U L B'
L R2 U' R' U L2 B'
F2 L' F2 U' R2 B' L'
F2 L' F2 U' B' L' R2
F2 L' F2 U' B' R2 L'
F2 L' B U' R2 B2 L
D2 L' B' R' D' F2 R
B' L' B' R' D' R' F2
B' L' B' R' D' F2 R'
L' R2 D U' R' U B'
B' L' B' R2 U' R' U
D' L' B' U F2 L' U'
B2 L' B' R' D' R' F2
B2 L' B' R' D' F2 R'
B' L' B' U' R U R
B2 L' B' R2 U' R' U
B L' B' R' D' R' F2
B L' B' R' D' F2 R'
B L' B' R2 U' R' U
B2 L' B' U' R U R
B L' B' U' R U R
D L' B' U' R B' U
D L' B' U' B' R U
L' R2 D' U' R' U B'
B' L2 R U L R B'
B' L2 R U L B' R
B' L2 R U R L B'
B2 L2 R U L R B'
B2 L2 R U L B' R
B2 L2 R U R L B'
U2 L2 R U L B R
B L2 R U L R B'
B L2 R U L B' R
B L2 R U R L B'
L' R2 D2 U' R' U B'
U L2 R U L R B
U L2 R U R L B
L' R2 F U' R' U B'
L' R2 F' U' R' U B'
D2 L2 U R U L B'
L' R2 F2 U' R' U B'
L' R2 B' L D L' F
L' R2 B' R' D' R F'
L' R2 B' D L' F L
L' R2 B' D' R F' R'
L' R2 B2 U L U' B
R U L' B' R D B2
L2 U R U L R B'
L2 U R U L B' R
L2 U R U R L B'
D' L2 F2 L' U' L2 B'
L U R U L2 R B'
L U R U L2 B' R
L U R U R L2 B'
R U R B L' D' B2
R' U R2 U L' R B
R' U R2 U R L' B
R' U R2 U R B L'
B' R L U L2 R B'
B' R L U L2 B' R
B' R L U R L2 B'
B2 R L U L2 R B'
B2 R L U L2 B' R
B2 R L U R L2 B'
U2 R L U L2 B R
U2 R L U B L2 R
U2 R L U B R L2
B R L U L2 R B'
B R L U L2 B' R
B R L U R L2 B'
U R L U L2 R B
U R L U R L2 B
U R L U R B L2
D R L B2 U L2 B'
B' R L2 U L R B'
B' R L2 U L B' R
B' R L2 U R L B'
B2 R L2 U L R B'
B2 R L2 U L B' R
B2 R L2 U R L B'
U2 R L2 U L B R
B R L2 U L R B'
B R L2 U L B' R
B R L2 U R L B'
U R L2 U L R B
U R L2 U R L B
U' R U L' R D B'
U' R U L' R D' B'
U' R U L' R D2 B'
U' R U L' R B' D
U' R U L' R B' D'
U' R U L' R B' D2
U' R U L' R' B' R2
U' R U L' D R B'
U' R U L' D B' R
U' R U L' D' R B'
U' R U L' D' B' R
U' R U L' D2 R B'
U' R U L' D2 B' R
U' R U L' B R B2
U' R U L' B' R D
U' R U L' B' R D'
U' R U L' B' R D2
U' R U L' B' D R
U' R U L' B' D' R
U' R U L' B' D2 R
U' R U R L' D B'
U' R U R L' D' B'
U' R U R L' D2 B'
U' R U R L' B' D
U' R U R L' B' D'
U' R U R L' B' D2
U' R U R D L' B'
U' R U R D' L' B'
U' R U R D2 L' B'
U' R U R B L' B'
U' R U R B' L' B'
U' R U R B2 L' B'
U2 R U L B L2 R
U2 R U L B R L2
U' R U R' L' B' R2
U2 R U L' D B R
U2 R U L' D' B R
U2 R U L' D2 B R
U2 R U L' B R D
U2 R U L' B R D'
U2 R U L' B R D2
U2 R U L' B D R
U2 R U L' B D' R
U2 R U L' B D2 R
U2 R U L' B' R B2
U2 R U L' B2 R B'
U' R U D L' R B'
U' R U D L' B' R
U' R U D R L' B'
U' R U D' L' R B'
U' R U D' L' B' R
U' R U D' R L' B'
U' R U D2 L' R B'
U' R U D2 L' B' R
U' R U D2 R L' B'
U2 R U D L' B R
U2 R U D B L' R
U2 R U D B R L'
U2 R U D' L' B R
U R U L R B L2
U2 R U D' B L' R
U2 R U D' B R L'
U2 R U D2 L' B R
U' R U B L' R B'
U R U L' R D B
U R U L' R D' B
U R U L' R D2 B
U R U L' R B D
U R U L' R B D'
U R U L' R B D2
U' R U B L' B' R
U' R U B R L' B'
U2 R U D2 B L' R
U2 R U D2 B R L'
U R U L' D R B
U R U L' D' R B
U R U L' D2 R B
U R U L' B R B
U R U L' B' R B
U R U L' B2 R B
U' R U B' L' R B'
U' R U B' L' B' R
U' R U B' R L' B'
U' R U B2 L' R B'
U' R U B2 L' B' R
U R U R L B L2
U R U R L' D B
U R U R L' D' B
U R U R L' D2 B
U R U R L' B D
U R U R L' B D'
U R U R L' B D2
U' R U B2 R L' B'
U R U R D L' B
U R U R D B L'
U R U R D' L' B
U R U R D' B L'
U R U R D2 L' B
U R U R D2 B L'
U R U R B L' D
U R U R B L' D'
U R U R B L' D2
U R U R B D L'
U R U R B D' L'
U R U R B D2 L'
U R U R B' L' B2
U2 R U B L' R D
U2 R U B L' R D'
U2 R U B L' R D2
U2 R U B L' D R
U2 R U B L' D' R
U2 R U B L' D2 R
U2 R U B R L' D
U2 R U B R L' D'
U2 R U B R L' D2
U2 R U B R D L'
U2 R U B R D' L'
U2 R U B R D2 L'
U2 R U B D L' R
U2 R U B D R L'
U2 R U B D' L' R
U2 R U B D' R L'
U2 R U B D2 L' R
U2 R U B D2 R L'
U2 R U B' L' R B2
U2 R U B' L' B2 R
U2 R U B' R L' B2
U2 R U B' R B2 L'
U R U D L' R B
U R U D R L' B
U R U D R B L'
U2 R U B2 R B' L'
U R U D' L' R B
U R U D' R L' B
U R U D' R B L'
U R U D2 L' R B
U R U D2 R L' B
U R U D2 R B L'
F2 R U' L' U' R B
U R U B L' R B
U R U B R L' B
U R U B R B L'
U R U B' L' R B
U R U B' R L' B
U R U B' R B L'
U R U B2 L' R B
U R U B2 R L' B
U R U B2 R B L'
R U B L' R D' B2
R U B L' D' R B2
R U B L' D' B2 R
R U B R L' D' B2
R U B' L' R D B2
U' R D U L' R B'
U' R D U L' B' R
U' R D U R L' B'
R U B' R L' D B2
R U B' R D L' B2
R U B' R D B2 L'
U2 R D U L' B R
U2 R D U B L' R
U2 R D U B R L'
F R D R F' L' B'
U R D U L' R B
U R D U R L' B
U R D U R B L'
U' R D' U L' R B'
U' R D' U L' B' R
U' R D' U R L' B'
U2 R D' U L' B R
U2 R D' U B L' R
U2 R D' U B R L'
U R D' U L' R B
U R D' U R L' B
U R D' U R B L'
U' R D2 U L' R B'
U' R D2 U L' B' R
U' R D2 U R L' B'
U2 R D2 U L' B R
U2 R D2 U B L' R
U2 R D2 U B R L'
U R D2 U L' R B
U R D2 U R L' B
U R D2 U R B L'
L' U' R U R D B'
L' U' R U R D' B'
L' U' R U R D2 B'
L' U' R U R B' D
L' U' R U R B' D'
L' U' R U R B' D2
L' U' R U R' B' R2
L' U' R U D R B'
L' U' R U D B' R
L' U' R U D' R B'
L' U' R U D' B' R
L' U' R U D2 R B'
L' U' R U D2 B' R
L' U' R U B R B2
L' U' R U B' R D
L' U' R U B' R D'
L' U' R U B' R D2
L' U' R U B' D R
L' U' R U B' D' R
L' U' R U B' D2 R
L' U' R D U R B'
L' U' R D U B' R
L' U' R D' U R B'
L' U' R D' U B' R
L2 U' R U L R B'
L2 U' R U L B' R
L2 U' R U R L B'
L' U' R D2 U R B'
L' U' R D2 U B' R
L' U' R B U R B2
L' U' R B U B2 R
L U' R U L2 R B'
L U' R U L2 B' R
L U' R U R L2 B'
L' U' R B2 U B R
R2 U' R' U L' D B'
R2 U' R' U L' D' B'
R2 U' R' U L' D2 B'
R2 U' R' U L' B' D
R2 U' R' U L' B' D'
R2 U' R' U L' B' D2
R2 U' R' U D L' B'
R2 U' R' U D' L' B'
R2 U' R' U D2 L' B'
R2 U' R' U B L' B'
R2 U' R' U B' L' B'
R2 U' R' U B2 L' B'
R2 U' R' D U L' B'
U' R B U L' R B'
U' R B U L' B' R
U' R B U R L' B'
R2 U' R' D' U L' B'
R' U' R2 U L' R B'
R' U' R2 U L' B' R
R' U' R2 U R L' B'
R2 U' R' D2 U L' B'
U R B L U L2 R
U R B L U R L2
U' R B' U L' R B'
U' R B' U L' B' R
U' R B' U R L' B'
L' U' D R B2 U B
U2 R B' U L' R B2
U2 R B' U L' B2 R
U2 R B' U R L' B2
U2 R B' U R B2 L'
U2 R B' U B2 L' R
U2 R B' U B2 R L'
R2 U' D R' U L' B'
U' R B2 U L' R B'
U' R B2 U L' B' R
U' R B2 U R L' B'
D R B2 L U L2 B'
D R B2 L2 U L B'
U2 R B2 U R B' L'
U2 R B2 U B' L' R
U2 R B2 U B' R L'
R2 U' D' R' U L' B'
R2 U' D2 R' U L' B'
D2 R' L' D' F2 R B'
D2 R' L' D' F2 B' R
D2 R' L' D' B' F2 R
B' R' L' D' R' F2 B'
B' R' L' D' R' B' F2
B' R' L' D' F2 R' B'
B2 R' L' D' R' F2 B'
B2 R' L' D' R' B' F2
B2 R' L' D' F2 R' B'
D2 R' L' B' D' F2 R
D R' L' D' R2 F2 B'
D R' L' D' R2 B' F2
D R' L' D' F2 R2 B'
D R' L' D' F2 B' R2
D R' L' D' B' R2 F2
D R' L' D' B' F2 R2
B R' L' D' R' F2 B'
B R' L' D' R' B' F2
B R' L' D' F2 R' B'
L' U' B R U R B2
L' U' B R U B2 R
D' R' D' L' F2 R B'
D' R' D' L' F2 B' R
D' R' D' L' B' F2 R
B' R' D' L' R' F2 B'
B' R' D' L' R' B' F2
B' R' D' L' F2 R' B'
B' R' D' R' L' F2 B'
B' R' D' R' L' B' F2
B2 R' D' L' R' F2 B'
B2 R' D' L' R' B' F2
B2 R' D' L' F2 R' B'
B2 R' D' R' L' F2 B'
B2 R' D' R' L' B' F2
D R' D' L' R2 F2 B'
D R' D' L' R2 B' F2
B R' D' L' R' F2 B'
B R' D' L' R' B' F2
D R' D' L' F2 R2 B'
D R' D' L' F2 B' R2
D R' D' L' B' R2 F2
D R' D' L' B' F2 R2
B R' D' L' F2 R' B'
B R' D' R' L' F2 B'
B R' D' R' L' B' F2
D R' D' R2 L' F2 B'
D R' D' R2 L' B' F2
L2 U2 R U L R B'
L2 U2 R U L B' R
L2 U2 R U R L B'
L U2 R U L2 R B'
L U2 R U L2 B' R
L U2 R U R L2 B'
R U2 R' U' L' R2 B
R U2 R' U' R2 L' B
R U2 R' U' R2 B L'
R U2 R2 U' L' R' B
R U2 R2 U' R' L' B
R U2 R2 U' R' B L'
B' R2 L' U' R' U B'
B2 R2 L' U' R' U B'
U2 R2 L' U' R' U B
B R2 L' U' R' U B'
B' R2 U' R' U L' B'
B2 R2 U' R' U L' B'
U2 R2 U' R' U L' B
U2 R2 U' R' U B L'
B R2 U' R' U L' B'
R' D L' R' D2 F2 B'
R' D L' R' D2 B' F2
F R2 D' F' L' F B'
F R2 D' F' L' B' F
R' D L' D2 R' F2 B'
R' D L' D2 R' B' F2
R' D L' D2 F2 R' B'
R D L U L2 R B'
R D L U L2 B' R
R D L U R L2 B'
R2 D L' U' R' U B'
R D L2 U L R B'
R D L2 U L B' R
R D L2 U R L B'
R' D R' L' D2 F2 B'
R' D R' L' D2 B' F2
R' D R' D2 L' F2 B'
R' D R' D2 L' B' F2
L' D R' D' R2 F2 B'
L' D R' D' R2 B' F2
L' D R' D' F2 R2 B'
L' D R' D' F2 B' R2
L' D R' D' B' R2 F2
L' D R' D' B' F2 R2
B' R2 B' D L' F B'
B' R2 B' D L' B' F
B2 R2 B' D L' F B'
B2 R2 B' D L' B' F
B' R2 B2 L' D F2 B'
B' R2 B2 L' D B' F2
B' R2 B2 L' B' D F2
B2 R2 B2 L' D F2 B'
B2 R2 B2 L' D B' F2
B2 R2 B2 L' B' D F2
B R2 B' D L' F B'
B R2 B' D L' B' F
L' D U' R B2 U B
B R2 B2 L' D F2 B'
B R2 B2 L' D B' F2
B R2 B2 L' B' D F2
R2 D U' R' U L' B'
B' U R U L' R B
B' U R U R L' B
B' U R U R B L'
B2 U R U L' R B
B2 U R U R L' B
B2 U R U R B L'
U' D R B2 U L' B'
B U R U L' R B
B U R U R L' B
B U R U R B L'
U2 D R B2 U B' L'
L' D B' U' R B' U
L' D B' U' B' R U
R' D B2 L U2 L2 B'
R' D B2 L F U2 L2
R2 D B' D L' F B'
R2 D B' D L' B' F
R2 D B2 L' D F2 B'
R2 D B2 L' D B' F2
R2 D B2 L' B' D F2
R' D' L' R F2 R2 B'
R' D' L' R F2 B' R2
R' D' L' R B' R2 F2
R' D' L' R B' F2 R2
R' D' L' R' F2 D B'
R' D' L' R' F2 D' B'
R' D' L' R' F2 D2 B'
R' D' L' R' F2 B' D
R' D' L' R' F2 B' D'
R' D' L' R' F2 B' D2
R' D' L' R' B' F2 D
R' D' L' R' B' F2 D'
R' D' L' R' B' F2 D2
R' D' L' R2 B' R F2
R' D' L' F R' F B'
R' D' L' F R' B' F
R' D' L' F2 R B' R2
R' D' L' F2 R' D B'
R' D' L' F2 R' D' B'
R' D' L' F2 R' D2 B'
R' D' L' F2 R' B' D
R' D' L' F2 R' B' D'
R' D' L' F2 R' B' D2
R' D' L' F2 R2 B' R
R' D' L' F2 D R' B'
R' D' L' F2 D' R' B'
R' D' L' F2 D2 R' B'
R D' L U L2 R B'
R D' L U L2 B' R
R D' L U R L2 B'
R' D' L2 R' F2 L B'
R2 D' L' U' R' U B'
R' D' L2 F2 L R' B'
R' D' L2 F2 R' L B'
R' D' R L' F2 R2 B'
R' D' R L' F2 B' R2
R' D' R L' B' R2 F2
R' D' R L' B' F2 R2
R D' L2 U L R B'
R D' L2 U L B' R
R D' L2 U R L B'
R' D' R' L' F2 D B'
R' D' R' L' F2 D' B'
R' D' R' L' F2 D2 B'
R' D' R' L' F2 B' D
R' D' R' L' F2 B' D'
R' D' R' L' F2 B' D2
R' D' R' L' B' F2 D
R' D' R' L' B' F2 D'
R' D' R' L' B' F2 D2
R' D' R' L2 F2 L B'
U' D B2 R U L' B'
R' D' R' B L' F2 B'
R' D' R' B L' B' F2
R' D' R' B' L' F2 B'
R' D' R' B' L' B' F2
R' D' R' B2 L' F2 B'
R' D' R' B2 L' B' F2
U2 D B2 R U L' B
U2 D B2 R U B L'
R' D' R2 L' B' R F2
R2 D' U' R' U L' B'
D U' R B2 U L' B'
L' D' F2 L' U' L B'
B' U' R U L' R B'
B' U' R U L' B' R
B' U' R U R L' B'
B2 U' R U L' R B'
B2 U' R U L' B' R
B2 U' R U R L' B'
R' D' B L' F2 B' R'
R' D' B L' B' R' F2
R' D' B L' B' F2 R'
B U' R U L' R B'
B U' R U L' B' R
B U' R U R L' B'
L' D' B' U F2 L' U'
R2 D' B' D L' F B'
R2 D' B' D L' B' F
R2 D' B2 L' D F2 B'
R2 D' B2 L' D B' F2
R2 D' B2 L' B' D F2
R D2 L U L2 R B'
R D2 L U L2 B' R
R D2 L U R L2 B'
R' D2 L2 U' L R' B'
R' D2 L2 U' R' L B'
R2 D2 L' U' R' U B'
D U' B2 R U L' B'
R D2 L2 U L R B'
R D2 L2 U L B' R
R D2 L2 U R L B'
R' D2 R' D L' F2 B'
R' D2 R' D L' B' F2
D U2 R B2 U B' L'
R2 D2 U' R' U L' B'
B' U2 R U L' B R
B' U2 R U B L' R
B' U2 R U B R L'
B2 U2 R U L' B R
B2 U2 R U B L' R
B2 U2 R U B R L'
B U2 R U L' B R
B U2 R U B L' R
B U2 R U B R L'
R2 D2 B' D L' F B'
R2 D2 B' D L' B' F
R2 D2 B2 L' D F2 B'
R2 D2 B2 L' D B' F2
R2 D2 B2 L' B' D F2
D U2 B2 R U L' B
D U2 B2 R U B L'
L' F R D R F' B'
L' F R D R B' F'
L' F R D B' R F'
L' F R B' D R F'
R2 F U' R' F' L' U
L' F B' R D R F'
L2 F' U L R2 F B'
L2 F' U L R2 B' F
L2 F' U L F R2 B'
L2 F' U L F B' R2
L2 F' U L B' R2 F
L2 F' U L B' F R2
L2 F' U R2 L F B'
L2 F' U R2 L B' F
F2 D' L' F2 U' B' L'
L2 F2 L R2 D F2 B'
L2 F2 L R2 D B' F2
L2 F2 L R2 B' D F2
D' F2 L' U R U2 B'
L' F2 L' U' L R2 B'
L' F2 L' U' L B' R2
L' F2 L' U' R2 L B'
L2 F2 L B' R2 D F2
L2 F2 L' U' L2 R2 B'
L2 F2 L' U' L2 B' R2
L2 F2 L' U' R2 L2 B'
L F2 L' U' L' R2 B
L F2 L' U' R2 L' B
L F2 L' U' R2 B L'
L2 F2 R2 L D F2 B'
L2 F2 R2 L D B' F2
L2 F2 R2 L B' D F2
L' F2 R2 B' U L' U'
R' F2 D' F2 L' R' B'
R' F2 D' F2 R' L' B'
L' F2 B' R2 U L' U'
L' F2 B' U L' U' R2
R' B L' D' F2 B' R'
R' B L' D' B' R' F2
R' B L' D' B' F2 R'
R' B L' B' D' R' F2
R' B L' B' D' F2 R'
U B L R U L2 R
U B L R U R L2
R B L U L2 R B'
R B L U L2 B' R
R B L U R L2 B'
U' B R U L' R B'
U' B R U L' B' R
U' B R U R L' B'
