U' L' R F B R'
U' L' R B R' F
U' L' R B F R'
U' L' F R B R'
B L' F R' D B2
U L' F B R' B2
U L' B R' F B2
U L' B R' B2 F
U L' B F R' B2
U' R L' F B R'
U' R L' B R' F
U' R L' B F R'
U' R B L' R' F
U' R B L' F R'
U' R B R' L' F
B U L' R' F B'
B U L' R' B' F
B U L' F R' B'
B U R' L' F B'
B U R' L' B' F
L' F B R' D B2
U B L' R' F B'
U B L' R' B' F
U B L' F R' B'
U B R' L' F B'
U B R' L' B' F
L' B F R' D B2
U B2 L' F B' R'
U B2 L' F B' R'
U B2 L' B' R' F
U B2 L' B' F R'
B' U L U2 L2 B' F
U R2 B2 L' F B' R'
U R2 B2 L' B' R' F
U R2 B2 L' B' F R'
B' U L F U2 L2 F
B' U L F B' U2 L2
B' U L B' U2 L2 B'
B' U L B' F U2 L2
D2 U L' R F' R B'
D2 U L' R F' B' R
D2 U L' R B' F' R
B' U L' D2 R2 F B'
B' U L' D2 R2 B' F
B' U L' D2 F R2 B'
B' U L' D2 F B' R2
B' U L' D2 B' R2 F
B' U L' D2 B' F R2
D2 U L' F' R F' B'
D2 U L' F' R B' F'
D2 U L' F' B' R F'
B' U L' F D2 R2 B'
B' U L' F D2 B' R2
B' U L' F B' D2 R2
D2 U L' B' R F' R
D2 U L' B' F' R F'
B U L' R F R2 B'
B U L' R F B' R2
B U L' R B' R2 F
B U L' R B' F R2
B U L' R' D F B'
B U L' R' D B' F
B U L' R' D' F B'
B U L' R' D' B' F
B U L' R' D2 F B'
B U L' R' D2 B' F
B' U L' B' D2 R2 F
B' U L' B' D2 F R2
B U L' R' F D B'
B U L' R' F D' B'
B U L' R' F D2 B'
B U L' R' F B' D
B U L' R' F B' D'
B U L' R' F B' D2
B' U L' B' F D2 R2
B U L' R' B' D F
B U L' R' B' D' F
B U L' R' B' D2 F
B U L' R' B' F D
B U L' R' B' F D'
B U L' R' B' F D2
B U L' R2 B' R F
B U L' D R' F B'
B U L' D R' B' F
B U L' D F R' B'
B U L' D' R' F B'
B U L' D' R' B' F
B U L' D' F R' B'
B U L' D2 R' F B'
B U L' D2 R' B' F
B U L' D2 F R' B'
B U L' F R B' R2
B U L' F R' D B'
B U L' F R' D' B'
B U L' F R' D2 B'
B U L' F R' B' D
B U L' F R' B' D'
B U L' F R' B' D2
B U L' F R2 B' R
B U L' F D R' B'
B U L' F D' R' B'
B U L' F D2 R' B'
B U L' F' R' F2 B'
B U L' F' R' B' F2
D2 U R L' F' R B'
D2 U R L' F' B' R
D2 U R L' B' F' R
B U R L' F R2 B'
B U R L' F B' R2
B U R L' B' R2 F
B U R L' B' F R2
B U R' L' D F B'
B U R' L' D B' F
B U R' L' D' F B'
B U R' L' D' B' F
B U R' L' D2 F B'
B U R' L' D2 B' F
B U R' L' F D B'
B U R' L' F D' B'
B U R' L' F D2 B'
B U R' L' F B' D
B U R' L' F B' D'
B U R' L' F B' D2
B U R' L' B' D F
B U R' L' B' D' F
B U R' L' B' D2 F
B U R' L' B' F D
B U R' L' B' F D'
B U R' L' B' F D2
B U R' B L' F B'
B U R' B L' B' F
B U R' B' L' F B'
B U R' B' L' B' F
B U R' B2 L' F B'
B U R' B2 L' B' F
B U R2 L' B' R F
B U B L' F B' R'
B' U B' L' F B' R'
B U B L' B' R' F
B U B L' B' F R'
B' U B' L' B' R' F
B' U B' L' B' F R'
D2 U' L' R F' B R
D2 U' L' R B F' R
B' U B2 L' R' F B'
B' U B2 L' R' B' F
B' U B2 L' F R' B'
D2 U' L' F' R F' B
D2 U' L' F' R B F'
B' U B2 R' L' F B'
B' U B2 R' L' B' F
D2 U' R L' F' B R
D2 U' R L' B F' R
D2 U' R B L' F' R
L' D' F U R F' U'
B U' L' R F B R2
B U' L' R B R2 F
B U' L' R B F R2
B U' L' R' F D2 B2
B U' L' F R B R2
B U' R L' F B R2
B U' R L' B R2 F
B U' R L' B F R2
B U' R B L' R2 F
B U' R B L' F R2
B U' R B R2 L' F
B U' R' L' F D2 B2
U' D2 L' R F' B R
U' D2 L' R B F' R
U' D2 L' F' R F' B
U' D2 L' F' R B F'
U D2 L' R F' R B'
U D2 L' R F' B' R
U D2 L' R B' F' R
U' D2 R L' F' B R
U' D2 R L' B F' R
U D2 L' F' R F' B'
U D2 L' F' R B' F'
U D2 L' F' B' R F'
U D2 L' B' R F' R
U D2 L' B' F' R F'
U' D2 R B L' F' R
U D2 R L' F' R B'
U D2 R L' F' B' R
U D2 R L' B' F' R
L' F R' B D R' B2
L' F R' B' D B2 R'
L' F U D' R F' U'
L' F D' U R F' U'
L' F B R' U R2 U'
L' F B R' D B2 D
L' F B R' D B2 D'
L' F B R' D B2 D2
L' F B R' B D B2
L' F B R' B' D B2
L' F B R' B2 D B2
L' F B U R U' R2
L' F B D R' D B2
L' F B D' R' D B2
L' F B D2 R' D B2
L' F B' R' D B2 R'
L' F2 B D F' R' B
U' B L' R F B R2
U' B L' R B R2 F
U' B L' R B F R2
U' B L' R' F D2 B2
U2 B L U L2 R' F
U2 B L U L2 F R'
U2 B L U R' L2 F
U' B L' F R B R2
R' B L' F R' D B2
U2 B L' R' D' F B2
U2 B L' R' D' B2 F
U2 B L' R' F D' B2
U2 B L' D' R' F B2
U2 B L' D' R' B2 F
U2 B L' D' F R' B2
U2 B L' F R' D' B2
U2 B L' F D' R' B2
U' B R L' F B R2
U' B R L' B R2 F
U' B R L' B F R2
R2 B L' F R' D B2
U B L' R F R2 B'
U B L' R F B' R2
U B L' R B' R2 F
U B L' R B' F R2
U B L' R' D F B'
U B L' R' D B' F
U B L' R' D' F B'
U B L' R' D' B' F
U B L' R' D2 F B'
U B L' R' D2 B' F
U B L' R' F D B'
U B L' R' F D' B'
U B L' R' F D2 B'
U B L' R' F B' D
U B L' R' F B' D'
U B L' R' F B' D2
U B L' R' B' D F
U B L' R' B' D' F
U B L' R' B' D2 F
U B L' R' B' F D
U B L' R' B' F D'
U B L' R' B' F D2
U B L' R2 B' R F
U B L' D R' F B'
U' B R B L' R2 F
U B L' D R' B' F
U' B R B L' F R2
U' B R B R2 L' F
U B L' D F R' B'
U B L' D' R' F B'
U B L' D' R' B' F
U B L' D' F R' B'
U B L' D2 R' F B'
U B L' D2 R' B' F
U B L' D2 F R' B'
U B L' F R B' R2
U B L' F R' D B'
U B L' F R' D' B'
U B L' F R' D2 B'
U B L' F R' B' D
U B L' F R' B' D'
U B L' F R' B' D2
U B L' F R2 B' R
U B L' F D R' B'
U B L' F D' R' B'
U B L' F D2 R' B'
U B L' F' R' F2 B'
U B L' F' R' B' F2
U' B R' L' F D2 B2
R B L' F R' D B2
L' B R' F U R U'
D' B R' B U L' B'
U2 B R' L' D' F B2
U2 B R' L' D' B2 F
U2 B R' L' F D' B2
U B R L' F R2 B'
U B R L' F B' R2
U B R L' B' R2 F
U B R L' B' F R2
R' B U L' R' F B'
R' B U L' R' B' F
R' B U L' F R' B'
U B R' L' D F B'
U B R' L' D B' F
U B R' L' D' F B'
U B R' L' D' B' F
U B R' L' D2 F B'
U B R' L' D2 B' F
R' B U R' L' F B'
R' B U R' L' B' F
U B R' L' F D B'
U B R' L' F D' B'
U B R' L' F D2 B'
U B R' L' F B' D
U B R' L' F B' D'
U B R' L' F B' D2
U B R' L' B' D F
U B R' L' B' D' F
U B R' L' B' D2 F
U B R' L' B' F D
U B R' L' B' F D'
U B R' L' B' F D2
U B R' B L' F B'
U B R' B L' B' F
U B R' B' L' F B'
U B R' B' L' B' F
U B R' B2 L' F B'
U B R' B2 L' B' F
U B R2 L' B' R F
R2 B U L' R' F B'
R2 B U L' R' B' F
R2 B U L' F R' B'
R2 B U R' L' F B'
R2 B U R' L' B' F
U' B U2 L' R' F B'
U' B U2 L' R' B' F
U' B U2 L' F R' B'
U' B U2 R' L' F B'
U' B U2 R' L' B' F
R B U L' R' F B'
R B U L' R' B' F
R B U L' F R' B'
R B U R' L' F B'
R B U R' L' B' F
F' B L' U R' F L'
F' B L' U F L' R'
F' B L' U F R' L'
L' B D F R' D B2
L' B D' F R' D B2
L' B D2 F R' D B2
L' B F R' U R2 U'
L' B F R' D B2 D
L' B F R' D B2 D'
L' B F R' D B2 D2
L' B F R' B D B2
L' B F R' B' D B2
L' B F R' B2 D B2
L' B F U R U' R2
L' B F D R' D B2
L' B F D' R' D B2
L' B F D2 R' D B2
L' B F2 D F' R' B
U B' L U2 L2 F B'
U B' L U2 L2 B' F
U B' L F U2 L2 F
U B' L F B' U2 L2
U B' L B' U2 L2 B'
U B' L B' F U2 L2
U B' L' D2 R2 F B'
U B' L' D2 R2 B' F
U B' L' D2 F R2 B'
U B' L' D2 F B' R2
U B' L' D2 B' R2 F
U B' L' D2 B' F R2
U B' L' F D2 R2 B'
U B' L' F D2 B' R2
U B' L' F B' D2 R2
U B' L' B' D2 R2 F
U B' L' B' D2 F R2
U B' L' B' F D2 R2
B F' L' U R' F L'
B F' L' U F L' R'
B F' L' U F R' L'
L' B' F R' D B2 R'
U B2 L' R F B' R'
U B2 L' R B' R' F
U B2 L' R B' F R'
U B2 L' R' F B' R'
U B2 L' R' B' R' F
U B2 L' R' B' F R'
U B2 L' R2 F B' R'
U B2 L' R2 B' R' F
U B2 L' R2 B' F R'
U B2 L' D F B' R'
U B2 L' D B' R' F
U B2 L' D B' F R'
U B2 L' D' F B' R'
U B2 L' D' B' R' F
U B2 L' D' B' F R'
U B2 L' D2 F B' R'
U B2 L' D2 B' R' F
U B2 L' D2 B' F R'
U B2 L' F R B' R'
U B2 L' F R' B' R'
U B2 L' F R2 B' R'
U B2 L' F D B' R'
U B2 L' F D' B' R'
U B2 L' F D2 B' R'
U B2 L' F B' R' D
U B2 L' F B' R' D'
U B2 L' F B' R' D2
U B2 L' F B' D R'
U B2 L' F B' D' R'
U B2 L' F B' D2 R'
U B2 L' F' B' R' F2
U B2 L' B' R F R2
U B2 L' B' R' D F
U B2 L' B' R' D' F
U B2 L' B' R' D2 F
U B2 L' B' R' F D
U B2 L' B' R' F D'
U B2 L' B' R' F D2
U B2 L' B' D R' F
U B2 L' B' D F R'
U B2 L' B' D' R' F
U B2 L' B' D' F R'
U B2 L' B' D2 R' F
U B2 L' B' D2 F R'
U B2 L' B' F R' D
U B2 L' B' F R' D'
U B2 L' B' F R' D2
U B2 L' B' F D R'
U B2 L' B' F D' R'
U B2 L' B' F D2 R'
U B2 L' B' F' R' F2
U B2 R L' F B' R'
U B2 R L' B' R' F
U B2 R L' B' F R'
U B2 R' L' F B' R'
U B2 R' L' B' R' F
U B2 R' L' B' F R'
U B2 R2 L' F B' R'
U B2 R2 L' B' R' F
U B2 R2 L' B' F R'
U' B2 U2 L' F R B'
U' B2 U2 L' F B' R
U' B2 U2 L' B' F R
U B2 U2 L' F R B
