B2 U' R F U2
B2 L2 U' R U2 B'
B2 L2 F2 U B' L'
U' R D L2 U2 B'
U' R D F L2 U2
U' R D' F U2 R2
U' R F U B2 U
U' R F U2 D' R2
U' R F D L2 U2
U' R F D' U2 R2
F2 U L' D' R2 B
U' D L2 R U2 B'
U' D R L2 U2 B'
U' D R F L2 U2
F2 U D' L' R2 B
F2 U D' R2 L' B
F2 U D' R2 B L'
D U' L2 R U2 B'
D U' R L2 U2 B'
D U' R F L2 U2
B2 U' R D F U2
B2 U' R D' F U2
B2 U' R D2 F U2
B2 U' R F U2 D
B2 U' R F U2 D'
B2 U' R F U2 D2
B2 U' R F D U2
B2 U' R F D' U2
B2 U' R F D2 U2
B2 U' R' F R2 U2
B2 U' R2 F R' U2
B2 U' D R F U2
B2 U' D' R F U2
B2 U' D2 R F U2
R F U R' B2 U
B2 D U' R F U2
F2 D' U L' R2 B
F2 D' U R2 L' B
F2 D' U R2 B L'
B2 D' U' R F U2
D' F2 U L' R2 B
D' F2 U R2 L' B
D' F2 U R2 B L'
D' F2 U R2 B L'
L2 F2 B2 U L' B
L2 F2 B2 U B L'
B2 D2 U' R F U2
L2 B2 F2 U L' B
L2 B2 F2 U B L'
U L2 D' R2 B2 L B
U L2 D' B R2 B2 L
B2 L2 D2 U' R U2 B'
B2 L2 D2 F2 U B' L'
B2 L2 F U D2 B' L
B2 L2 F D2 U B' L
R U L2 R' B2 U B
D' L2 F2 U R2 B' L'
D' L2 F2 U B' L' R2
D' L2 F2 U B' R2 L'
B2 L2 F2 U D B' L'
B2 L2 F2 U D' B' L'
B2 L2 F2 U D2 B' L'
B2 L2 F2 U B L' B2
B2 L2 F2 U B' L' D
B2 L2 F2 U B' L' D'
B2 L2 F2 U B' L' D2
B2 L2 F2 U B' D L'
B2 L2 F2 U B' D' L'
B2 L2 F2 U B' D2 L'
B2 L2 F2 U B2 L' B
B2 L2 F2 D U B' L'
B2 L2 F2 D' U B' L'
B2 L2 F2 D2 U B' L'
B L2 F2 B U L' B2
B L2 F2 B U B2 L'
R U R' L2 B2 U B
D' L2 B U R2 B2 L
B L2 B U' R U2 B2
R U R' B2 L2 U B'
R U R' B2 U' F U2
B L2 B F2 U L' B2
B L2 B F2 U B2 L'
F2 L2 B2 U' F' R' U2
L2 U D' R2 B2 L B
L2 U D' B R2 B2 L
U' R L2 U B2 U B
U' R L2 U2 D' R2 B'
U' R L2 U2 D' B' R2
U' R L2 D L2 F U2
U' R L2 D' U2 R2 B'
U' R L2 D' U2 B' R2
D R L2 U R' U B'
U' R U L2 B2 U B
U' R U B2 L2 U B'
U' R U B2 U' F U2
U' R D L2 U2 D B'
U' R D L2 U2 D' B'
U' R D L2 U2 D2 B'
U' R D L2 U2 B' D
U' R D L2 U2 B' D'
U' R D L2 U2 B' D2
U' R D L2 D U2 B'
U' R D L2 D' U2 B'
U' R D L2 D2 U2 B'
U' R D L2 F U2 B'
U' R D L2 F' U2 B'
U' R D L2 F2 U2 B'
U' R D F L2 U2 D
U' R D F L2 U2 D'
U' R D F L2 U2 D2
U' R D F L2 D U2
U' R D F L2 D' U2
U' R D F L2 D2 U2
U' R D F U2 D2 R2
U' R D F D2 U2 R2
U' R D F' L2 F2 U2
U' R D F2 L2 F' U2
U' R D' L2 U2 R2 B'
U' R D' L2 U2 B' R2
U R D F L2 U2 F'
U' R D' F L U2 R2
U' R D' F L' U2 R2
U' R D' F L2 U2 R2
U' R D' F U2 R2 D
U' R D' F U2 R2 D'
U' R D' F U2 R2 D2
U' R D' F D2 L2 U2
U' R D' F2 U2 R2 B
U R D' R2 D2 L2 B'
U R D' F U2 F' R2
U' R D2 F U' F U'
U' R F L U B2 U
U' R F L U2 D' R2
U' R F L D L2 U2
U' R F L D' U2 R2
U' R F L' U B2 U
U' R F L' U2 D' R2
U' R F L' D L2 U2
U' R F L' D' U2 R2
U' R F L2 U B2 U
U' R F L2 U2 D' R2
U' R F L2 D L2 U2
U' R F L2 D' U2 R2
B' R F U R' B' U
U' R F U B2 U D
U' R F U B2 U D'
U' R F U B2 U D2
U' R F U B2 D U
U' R F U B2 D' U
U' R F U B2 D2 U
D R F L2 U R' U
U' R F U' D2 F2 U'
U' R F U2 R D' R2
U' R F U2 R' D' R2
U' R F U2 R2 D' R2
B2 R F U R' U R
U' R F U2 D' R2 D
U' R F U2 D' R2 D'
U' R F U2 D' R2 D2
U' R F D L2 U2 D
U' R F D L2 U2 D'
U' R F D L2 U2 D2
U' R F D L2 D U2
U' R F D L2 D' U2
U' R F D L2 D2 U2
U' R F D' L U2 R2
U' R F D' L' U2 R2
U' R F D' L2 U2 R2
U' R F D' U2 R2 D
U' R F D' U2 R2 D'
U' R F D' U2 R2 D2
U' R F D2 U' F2 U'
B R F U R' B U
U R F U B2 U F'
U R F U2 D' F' R2
U R F U2 F' D' R2
U R F D L2 U2 F'
U R F D' U2 F' R2
L2 U' R U B2 U B
L2 U' R U2 D' R2 B'
L2 U' R U2 D' B' R2
L2 U' R D L2 F U2
L2 U' R D' U2 R2 B'
L2 U' R D' U2 B' R2
U' R F2 U2 D' R2 B
U' R F2 D L2 F' U2
U' R F2 D F' L2 U2
U' R F2 D' U2 R2 B
U' R F2 D' F' U2 R2
L2 U' D L2 R F U2
L2 U' D R L2 F U2
L2 U' D' R U2 R B'
L2 U' D' R U2 B' R
U R' D' R2 D' L2 B'
B2 R' D2 R U L2 B'
U R' D2 L2 D R2 B'
U R' D2 L2 D B' R2
U R' D2 L2 B' D R2
U' R' F R2 U B2 U
U' R' F R2 U2 D' R2
U' R' F R2 D L2 U2
U' R' F R2 D' U2 R2
R U2 R D' F2 R2 B
L2 U2 D2 F2 U' B' L'
F2 R2 L' D' F2 B R2
F2 R2 L' D' B R2 F2
F2 R2 L' D' B F2 R2
U' R2 D L2 R' U2 B'
U' R2 D R' L2 U2 B'
U' R2 D R' F L2 U2
U' R2 D F L2 R' U2
U' R2 D F R' L2 U2
U' R2 D' R' F U2 R'
F2 R2 D' L' F2 B R2
F2 R2 D' L' B R2 F2
F2 R2 D' L' B F2 R2
U' R2 D' F R' U2 R'
F2 R2 D' B L' R2 F2
F2 R2 D' B L' F2 R2
F2 R2 D' B R2 L' F2
U' R2 F R' U B2 U
U' R2 F R' U2 D' R2
U' R2 F R' D L2 U2
U' R2 F R' D' U2 R2
U' R2 F U B2 U L
U' R2 F D L2 R' U2
U' R2 F D R' L2 U2
U' R2 F D' R' U2 R'
R2 D L2 R' B2 U2 B
R D L2 U R' U B'
R2 D L2 B2 U2 L B
R2 D R' L2 B2 U2 B
R2 D R' F L2 B2 U2
R2 D R' F B2 L2 U2
R2 D R' B2 L2 U2 B'
R2 D R' B2 F L2 U2
F2 R2 B2 R2 U B' L'
L2 D U' L2 R F U2
D' U L R2 B2 L B'
L2 D U' R L2 F U2
F2 U L' R2 D' B R2
B2 U L' U2 R U2 B
F2 U L' D' R2 D B
F2 U L' D' R2 D' B
F2 U L' D' R2 D2 B
F2 U L' D' R2 B D
F2 U L' D' R2 B D'
F2 U L' D' R2 B D2
F2 U L' D' B R2 B
F2 U L' D' B' R2 B
R2 D F L2 R' B2 U2
F2 U L' D' B2 R2 B
R2 D F L2 B2 U2 L
U' D L2 R U2 D B'
U' D L2 R U2 D' B'
U' D L2 R U2 D2 B'
U' D L2 R U2 B' D
U' D L2 R U2 B' D'
U' D L2 R U2 B' D2
U' D L2 R D U2 B'
B2 U L' F2 L' F2 B'
B2 U L' F2 L' B' F2
U' D L2 R D' U2 B'
U' D L2 R D2 U2 B'
R2 D F R' L2 B2 U2
U' D L2 R F U2 B'
U' D L2 R F' U2 B'
U' D L2 R F2 U2 B'
R2 D F R' B2 L2 U2
D' U L2 R2 B2 L B
U' D L2 D R U2 B'
U' D L2 D' R U2 B'
U' D L2 D2 R U2 B'
R D F L2 U R' U
B2 U L2 U2 R U2 B'
R2 D F B2 L2 U2 L'
D' U L2 B R2 B2 L
U' D L2 F2 U2 B' L'
F2 U L2 D' L R2 B
F2 U L2 D' R2 L B
B2 U L2 F2 B' L' F2
U' D R L2 U2 D B'
U' D R L2 U2 D' B'
U' D R L2 U2 D2 B'
U' D R L2 U2 B' D
U' D R L2 U2 B' D'
U' D R L2 U2 B' D2
U' D R L2 D U2 B'
U' D R L2 D' U2 B'
U' D R L2 D2 U2 B'
U' D R L2 F U2 B'
U' D R L2 F' U2 B'
U' D R L2 F2 U2 B'
B2 U L2 B' U2 R U2
B2 U L2 B' F2 L' F2
D' U R F U2 F' R
U' D R D2 F U2 R2
U' D R F L2 U2 D
U' D R F L2 U2 D'
U' D R F L2 U2 D2
U' D R F L2 D U2
U' D R F L2 D' U2
U' D R F L2 D2 U2
U' D R F U2 D2 R2
U' D R F D2 U2 R2
U' D R F' L2 F2 U2
U' D R F2 L2 F' U2
B2 U R F U2 F' R'
D' U R' D2 L2 R' B'
D' U R' D2 R' L2 B'
D U R F L2 U2 F'
U' D R' F L2 R2 U2
U' D R' F R2 L2 U2
B2 U R' D2 L2 R B'
B2 U R' D2 L2 B' R
B2 U R' D2 R L2 B'
U D R F L2 U2 F'
D' U R2 L B2 L B'
D' U R2 L2 B2 L B
D' U R2 U2 R' F U2
D' U R2 U2 F R' U2
D U R' D2 L2 R2 B'
D U R' D2 L2 B' R2
D U R' D2 R2 L2 B'
F2 U R2 L' D' B R2
U' D R2 F L2 R' U2
U' D R2 F R' L2 U2
D' U R2 B' L2 B' L
F2 U R2 D' L' B R2
U D R' D2 L2 R2 B'
U D R' D2 L2 B' R2
U D R' D2 R2 L2 B'
D' U R2 B2 L2 B' L'
F2 U R2 D' B L' R2
F2 U R2 D' B R2 L'
R2 D B2 L2 U2 B' L'
F2 U D' L R2 B L2
F2 U D' L' R2 D B
F2 U D' L' R2 D' B
F2 U D' L' R2 D2 B
F2 U D' L' R2 B D
F2 U D' L' R2 B D'
F2 U D' L' R2 B D2
F2 U D' L' B R2 B
F2 U D' L' B' R2 B
F2 U D' L' B2 R2 B
F2 U D' R2 L B L2
F2 U D' R2 L' D B
F2 U D' R2 L' D' B
F2 U D' R2 L' D2 B
F2 U D' R2 L' B D
F2 U D' R2 L' B D'
F2 U D' R2 L' B D2
F2 U D' R2 D L' B
F2 U D' R2 D B L'
F2 U D' R2 D' L' B
F2 U D' R2 D' B L'
F2 U D' R2 D2 L' B
F2 U D' R2 D2 B L'
F2 U D' R2 B L' D
F2 U D' R2 B L' D'
F2 U D' R2 B L' D2
F2 U D' R2 B D L'
F2 U D' R2 B D' L'
F2 U D' R2 B D2 L'
F2 U D' R2 B' L' B2
R2 D B2 F L2 U2 L'
F2 U D' B L' R2 B
F2 U D' B R2 L' B
F2 U D' B R2 B L'
F2 U D' B' L' R2 B
F2 U D' B' R2 L' B
F2 U D' B' R2 B L'
F2 U D' B2 L' R2 B
F2 U D' B2 R2 L' B
F2 U D' B2 R2 B L'
D' U F2 L' R2 F2 B
D' U F2 L' R2 B F2
F2 U D2 L' D R2 B
U' D F2 L2 F' U2 L
D' U F2 R2 L' F2 B
D' U F2 R2 L' B F2
D' U F2 R2 B L' F2
R2 D' L' R2 F2 L' B'
R2 D' L2 R2 F2 B' L'
R2 D' L2 R2 B' F2 L'
F U F B2 U L' F'
B2 U F2 L F2 L2 B'
B2 U B U2 R F U2
R2 D' R' F U2 R' F
R2 D' R' F U2 F R'
R2 D' R2 L' F2 L' B'
R2 D' R2 L2 F2 B' L'
D' U' L' R U2 R B
U' D' L' R U2 R B
R2 D' R2 L2 B' F2 L'
B2 U B' U2 R F U2
U D' L R2 B2 L B'
U' D' L2 R U2 R B'
U' D' L2 R U2 B' R
D' U' L2 R U2 R B'
D' U' L2 R U2 B' R
L2 D' U R2 B2 L B
L2 D' U B R2 B2 L
B2 U B2 U2 R F U2
L2 D' U' R U2 R B'
L2 D' U' R U2 B' R
U' D' R L' U2 R B
D' U' R L' U2 R B
U' D' R L2 U2 R B'
D' U' R L2 U2 R B'
U' D' R L2 U2 B' R
D' U' R L2 U2 B' R
D U' L2 R U2 D B'
D U' L2 R U2 D' B'
D U' L2 R U2 D2 B'
D U' L2 R U2 B' D
D U' L2 R U2 B' D'
D U' L2 R U2 B' D2
D U' L2 R D U2 B'
D U' L2 R D' U2 B'
D U' L2 R D2 U2 B'
D U' L2 R F U2 B'
D U' L2 R F' U2 B'
D U' L2 R F2 U2 B'
D2 U' R D F U2 R2
D U' L2 D R U2 B'
D2 U' R D' L2 U2 B'
D2 U' R D' F L2 U2
D U' L2 D' R U2 B'
U D' L2 R2 B2 L B
D U' L2 D2 R U2 B'
U' D' R F2 L' F' U2
D' U' R F2 L' F' U2
D2 U' R F U' F U'
D U' L2 F2 U2 B' L'
F U B2 F U L' F'
D U' R L2 U2 D B'
D U' R L2 U2 D' B'
D U' R L2 U2 D2 B'
D U' R L2 U2 B' D
D U' R L2 U2 B' D'
D U' R L2 U2 B' D2
D U' R L2 D U2 B'
D U' R L2 D' U2 B'
D U' R L2 D2 U2 B'
D U' R L2 F U2 B'
D U' R L2 F' U2 B'
D U' R L2 F2 U2 B'
U D' L2 B R2 B2 L
U' D' R' F R2 U2 R
D' U' R' F R2 U2 R
R2 D' F R' U2 R' F
R2 D' F R' U2 F R'
D U' R D2 F U2 R2
D U' R F L2 U2 D
D U' R F L2 U2 D'
D U' R F L2 U2 D2
D U' R F L2 D U2
D U' R F L2 D' U2
D U' R F L2 D2 U2
D U' R F U2 D2 R2
D U' R F D2 U2 R2
D U' R F' L2 F2 U2
D U' R F2 L2 F' U2
U D' R F U2 F' R
U' D' R2 F R' U2 R
D' U' R2 F R' U2 R
R D' F U R' U R'
D U' R' F L2 R2 U2
D U' R' F R2 L2 U2
U D' R' D2 L2 R' B'
U D' R' D2 R' L2 B'
B2 U' R U L2 U B'
B2 U' R U2 L2 B' L2
B' U' R F U B' U
B2 U' R D F U2 D
B2 U' R D F U2 D'
B2 U' R D F U2 D2
B2 U' R D F D U2
B2 U' R D F D' U2
B2 U' R D F D2 U2
B2 U' R D' F U2 D
B2 U' R D' F U2 D'
B2 U' R D' F U2 D2
B2 U' R D' F D U2
B2 U' R D' F D' U2
B2 U' R D' F D2 U2
B2 U' R D2 F U2 D
B2 U' R D2 F U2 D'
B2 U' R D2 F U2 D2
B2 U' R D2 F D U2
B2 U' R D2 F D' U2
B2 U' R D2 F D2 U2
U D' R2 L B2 L B'
B2 U' R F' U2 D2 B2
D2 U' F U' F U' L'
B2 U' R F' D2 U2 B2
L2 D' F2 U R2 B' L'
L2 D' F2 U B' L' R2
L2 D' F2 U B' R2 L'
B2 U' R F2 D F' U2
U D' R2 L2 B2 L B
B2 U' R F2 D' F' U2
B2 U' R F2 D2 F' U2
D U' R2 F L2 R' U2
D U' R2 F R' L2 U2
U D' R2 U2 R' F U2
U D' R2 U2 F R' U2
B U' R D' F L' U2
B2 U' R' U2 D2 L2 B'
R2 D' F2 B R2 B L
R2 D' F2 B2 L R2 B
R2 D' F2 B2 R2 L B
U D' R2 B' L2 B' L
B2 U' R' D2 U2 L2 B'
U D' R2 B2 L2 B' L'
B2 U' R' D2 F U2 L2
B2 U' R' F R2 U2 D
B2 U' R' F R2 U2 D'
B2 U' R' F R2 U2 D2
B2 U' R' F R2 D U2
B2 U' R' F R2 D' U2
B2 U' R' F R2 D2 U2
B2 U' R' F U2 D2 L2
B2 U' R' F D2 U2 L2
B2 U' R' F' R2 F2 U2
L2 D' B U R2 B2 L
B2 U' R' F2 R2 U2 B
B2 U' R2 D R' F U2
B2 U' R2 D F R' U2
B2 U' R2 D' R' F U2
B2 U' R2 D' F R' U2
R2 D' B F2 R2 B L
B2 U' R2 D2 R' F U2
D' U' F2 U2 L' R2 B
U' D' F2 U2 L' R2 B
B2 U' R2 D2 F R' U2
D' U' F2 U2 R2 L' B
U' D' F2 U2 R2 L' B
D' U' F2 U2 R2 B L'
U' D' F2 U2 R2 B L'
B2 U' R2 F R' U2 D
B2 U' R2 F R' U2 D'
B2 U' R2 F R' U2 D2
B2 U' R2 F R' D U2
B2 U' R2 F R' D' U2
B2 U' R2 F R' D2 U2
B2 U' R2 F D R' U2
B2 U' R2 F D' R' U2
B2 U' R2 F D2 R' U2
B2 U' R2 F' R' F2 U2
B2 U' D R D F U2
B2 U' D R D' F U2
B2 U' D R D2 F U2
B2 U' D R F U2 D
B2 U' D R F U2 D'
B2 U' D R F U2 D2
B2 U' D R F D U2
B2 U' D R F D' U2
B2 U' D R F D2 U2
U2 D' F2 U' L' R2 B
U2 D' F2 U' R2 L' B
U2 D' F2 U' R2 B L'
F2 U' D L2 F' U2 L
B2 U' D R' F R2 U2
B2 U' D R2 F R' U2
D U' F2 L2 F' U2 L
U D' F2 L' R2 F2 B
U D' F2 L' R2 B F2
U D' F2 R2 L' F2 B
U D' F2 R2 L' B F2
U D' F2 R2 B L' F2
B2 U' D' R D F U2
B2 U' D' R D' F U2
B2 U' D' R D2 F U2
B2 U' D' R F U2 D
B2 U' D' R F U2 D'
B2 U' D' R F U2 D2
B2 U' D' R F D U2
B2 U' D' R F D' U2
B2 U' D' R F D2 U2
B2 U' D' R' F R2 U2
B2 U' D' R2 F R' U2
R2 D' B2 F2 L R2 B
R2 D' B2 F2 R2 L B
B2 U' D2 R D F U2
B2 U' D2 R D' F U2
B2 U' D2 R D2 F U2
B2 U' D2 R F U2 D
B2 U' D2 R F U2 D'
B2 U' D2 R F U2 D2
B2 U' D2 R F D U2
B2 U' D2 R F D' U2
B2 U' D2 R F D2 U2
B2 U' D2 R' F R2 U2
B2 U' D2 R2 F R' U2
B2 U' F U F U L'
B2 U' F U2 F L' F'
B2 U' F2 R U2 L' B'
B2 U' F2 R2 U2 L' B
B2 U' F2 R2 U2 B L'
B2 U' B R F B' U2
B2 U' B R B' F U2
U' D2 R D F U2 R2
U' D2 R D' L2 U2 B'
U' D2 R D' F L2 U2
U' D2 R F U' F U'
B2 U' B2 R F B2 U2
B2 U' B2 R B2 F U2
U' D2 F U' F U' L'
L2 D2 U2 F2 U' B' L'
D' U2 F2 U' L' R2 B
D2 U2 F2 R2 U' L' B
D2 U2 F2 R2 U' B L'
D' U2 F2 U' R2 L' B
D' U2 F2 U' R2 B L'
U2 D2 F2 R2 U' L' B
U2 D2 F2 R2 U' B L'
B2 U2 R' U R2 F U2
B2 U2 R' U F R2 U2
B2 U2 R' U' D2 L2 B'
B2 U2 R' D2 U' L2 B'
B2 U2 R2 U R' F U2
B2 U2 R2 U F R' U2
R F L U R' B2 U
R F L' U R' B2 U
R F L2 U R' B2 U
R2 F R' U R' B2 U
B2 U2 B U R F U2
B2 U2 B' U R F U2
U' F U F B2 U L'
U' F U B2 F U L'
B2 U2 B2 U R F U2
R2 F U B2 R2 U L
R F U R B2 R2 U
R F U R' U D' R2
R F U R' D' U R2
R F U R' B2 U D
R F U R' B2 U D'
R F U R' B2 U D2
R F U R' B2 D U
R F U R' B2 D' U
R F U R' B2 D2 U
R F U R2 B2 R U
R F U D' R' U R'
R F U B2 U2 L U'
R2 F U2 D' R2 F2 L'
B2 D L2 U' R U2 B'
R2 F D L2 R' B2 U2
R F U2 R D' R2 F2
R F U2 R D' F2 R2
R2 F D L2 B2 U2 L
R2 F D R' L2 B2 U2
R2 F D R' B2 L2 U2
B2 D L2 F2 U B' L'
R2 F D B2 L2 U2 L'
R F D L2 U R' U
R2 F D' R' U2 R' F2
R2 F D' R' U2 F2 R'
R2 F D' U2 R2 F2 L'
R F D' U R' U R'
B2 D U' R D F U2
B2 D U' R D' F U2
B2 D U' R D2 F U2
B2 D U' R F U2 D
B2 D U' R F U2 D'
B2 D U' R F U2 D2
B2 D U' R F D U2
B2 D U' R F D' U2
B2 D U' R F D2 U2
F2 D U' L2 F' U2 L
B2 D U' R' F R2 U2
B2 D U' R2 F R' U2
B' D B' U' R F U2
B D B U' R F U2
F2 D' L U L2 R2 B
F2 D' L U R2 L2 B
F2 D' L U R2 B L2
F2 D' L' R2 D' F2 B
F2 D' L' R2 D' B F2
F2 D' L' R2 B D' F2
B2 D' L2 U' R U2 B'
F2 D' L2 U L R2 B
F2 D' L2 U R2 L B
F' D' L2 F' U L' R2
F' D' L2 F' U R2 L'
B2 D' L2 F2 U B' L'
F D' L' F U R2 B
F2 D' R2 L' D' F2 B
F2 D' R2 L' D' B F2
F2 D' R2 L' B D' F2
F2 D' R2 D' L' F2 B
F2 D' R2 D' L' B F2
F2 D' R2 D' B L' F2
F2 D' R2 B L' D' F2
F2 D' R2 B D' L' F2
F2 D' U L R2 B L2
F2 D' U L' R2 D B
F2 D' U L' R2 D' B
F2 D' U L' R2 D2 B
F2 D' U L' R2 B D
F2 D' U L' R2 B D'
F2 D' U L' R2 B D2
F2 D' U L' B R2 B
F2 D' U L' B' R2 B
F2 D' U L' B2 R2 B
F2 D' U R2 L B L2
F2 D' U R2 L' D B
F2 D' U R2 L' D' B
F2 D' U R2 L' D2 B
F2 D' U R2 L' B D
F2 D' U R2 L' B D'
F2 D' U R2 L' B D2
F2 D' U R2 D L' B
F2 D' U R2 D B L'
F2 D' U R2 D' L' B
F2 D' U R2 D' B L'
F2 D' U R2 D2 L' B
F2 D' U R2 D2 B L'
F2 D' U R2 B L' D
F2 D' U R2 B L' D'
F2 D' U R2 B L' D2
F2 D' U R2 B D L'
F2 D' U R2 B D' L'
F2 D' U R2 B D2 L'
F2 D' U R2 B' L' B2
D' F2 L U L2 R2 B
D' F2 L U R2 L2 B
D' F2 L U R2 B L2
F2 D' U B L' R2 B
F2 D' U B R2 L' B
F2 D' U B R2 B L'
F2 D' U B' L' R2 B
F2 D' U B' R2 L' B
F2 D' U B' R2 B L'
F2 D' U B2 L' R2 B
F2 D' U B2 R2 L' B
F2 D' U B2 R2 B L'
B2 D' U' R D F U2
B2 D' U' R D' F U2
B2 D' U' R D2 F U2
B2 D' U' R F U2 D
B2 D' U' R F U2 D'
B2 D' U' R F U2 D2
B2 D' U' R F D U2
B2 D' U' R F D' U2
B2 D' U' R F D2 U2
B2 D' U' R' F R2 U2
B2 D' U' R2 F R' U2
L' F2 L B2 U L2 B'
D' F2 L' R2 D' F2 B
D' F2 L' R2 D' B F2
D' F2 L' R2 B D' F2
D' F2 L2 U L R2 B
D' F2 L2 U R2 L B
F' D' F' L2 U L R2
F' D' F' L2 U R2 L
L F2 L B2 U L2 B
L F2 L B2 U B L2
D' F2 R2 L' D' F2 B
D' F2 R2 L' D' B F2
D' F2 R2 L' B D' F2
D' F2 R2 D' L' F2 B
D' F2 R2 D' L' B F2
F2 D' B U L' R2 B
D' F2 R2 D' B L' F2
F2 D' B U R2 L' B
F2 D' B U R2 B L'
D' F2 R2 B L' D' F2
D' F2 R2 B D' L' F2
B' D' B' U' R F U2
D' F2 U L R2 B L2
D' F2 U L' R2 D B
D' F2 U L' R2 D' B
D' F2 U L' R2 D2 B
D' F2 U L' R2 B D
D' F2 U L' R2 B D'
D' F2 U L' R2 B D2
D' F2 U L' B R2 B
D' F2 U L' B' R2 B
D' F2 U L' B2 R2 B
D' F2 U R2 L B L2
D' F2 U R2 L' D B
D' F2 U R2 L' D' B
D' F2 U R2 L' D2 B
D' F2 U R2 L' B D
D' F2 U R2 L' B D'
D' F2 U R2 L' B D2
D' F2 U R2 D L' B
D' F2 U R2 D B L'
D' F2 U R2 D' L' B
D' F2 U R2 D' B L'
D' F2 U R2 D2 L' B
D' F2 U R2 D2 B L'
D' F2 U R2 B L' D
D' F2 U R2 B L' D'
D' F2 U R2 B L' D2
D' F2 U R2 B D L'
D' F2 U R2 B D' L'
D' F2 U R2 B D2 L'
D' F2 U R2 B' L' B2
B D' B U' R F U2
F2 D' B' U L' R2 B
F2 D' B' U R2 L' B
F2 D' B' U R2 B L'
D2 F2 U F' U2 F L'
D' F2 U B L' R2 B
D' F2 U B R2 L' B
D' F2 U B R2 B L'
D' F2 U B' L' R2 B
D' F2 U B' R2 L' B
D' F2 U B' R2 B L'
D' F2 U B2 L' R2 B
D' F2 U B2 R2 L' B
D' F2 U B2 R2 B L'
L2 F2 U D' R2 B' L'
L2 F2 U D' B' L' R2
L2 F2 U D' B' R2 L'
F2 D' B2 U L' R2 B
F2 D' B2 U R2 L' B
