L' R F' R D2 B2
L R F' R B' L2
L' R F' D2 R B2
L' R F' D2 B2 R
R L F' R B' L2
L R F' B' L2 R
L R F' B' R L2
R L F' B' L2 R
R L F' B' R L2
L R B' L2 F' R
R L B' L2 F' R
L R B' F' L2 R
L R B' F' R L2
R L B' F' L2 R
R L B' F' R L2
D2 L' R' F B R'
D2 L' R' B R' F
D2 L' R' B F R'
R L' F' R D2 B2
R L' F' D2 R B2
R L' F' D2 B2 R
D2 L' F R' B R'
F L' F R U2 F'
D2 L' F B R' B
D2 L' B R' F B
D2 L' B R' B F
D2 L' B F R' B
D2 R' L' F B R'
D2 R' L' B R' F
D2 R' L' B F R'
D2 R' B L' R' F
D2 R' B L' F R'
D2 R' B R' L' F
L' F' R D2 F' B2
L' F' R D2 B2 F'
L F' R F' B' L2
L F' R B' L2 F'
L F' R B' F' L2
L F' B' L2 R F'
L F' B' R L2 F'
L F' B' R F' L2
D2 B L' R' F B
D2 B L' R' B F
D2 B L' F R' B
D2 B R' L' F B
D2 B R' L' B F
D2 B R' B L' F
L B' L2 R F' R
L B' L2 F' R F'
L B' R L2 F' R
L B' R F' L2 R
L B' R F' R L2
L B' F' L2 R F'
L B' F' R L2 F'
L B' F' R F' L2
L R B F' L2 R B2
L R B F' L2 B2 R
L R B F' R L2 B2
L R B F' R B2 L2
B L F' R F' B' L2
B L F' R B' L2 F'
B L F' R B' F' L2
R L B F' L2 R B2
R L B F' L2 B2 R
R L B F' R L2 B2
R L B F' R B2 L2
U L F' R F' B' L2
U L F' R B' L2 F'
U L F' R B' F' L2
L R B' L F' L R
L R B' L F' R L
R L B' L F' L R
R L B' L F' R L
R2 L B' L2 R' F' R
L R B' L2 F' R D
L R B' L2 F' R D'
L R B' L2 F' R D2
L R B' L2 F' D R
L R B' L2 F' D' R
L R B' L2 F' D2 R
R L B' L2 F' R D
R L B' L2 F' R D'
R L B' L2 F' R D2
R L B' L2 F' D R
R L B' L2 F' D' R
R L B' L2 F' D2 R
R2 L B' R' L2 F' R
R2 L B' R' F' L2 R
R2 L B' R' F' R L2
B' L F' B' L2 R F'
B' L F' B' R L2 F'
B' L F' B' R F' L2
U2 L F' B' L2 R F'
U2 L F' B' R L2 F'
U2 L F' B' R F' L2
U' L F' B' L2 R F'
U' L F' B' R L2 F'
U' L F' B' R F' L2
B2 L F' B' L2 R F'
B2 L F' B' R L2 F'
B2 L F' B' R F' L2
B L F' B' L2 R F'
B L F' B' R L2 F'
B L F' B' R F' L2
U L F' B' L2 R F'
U L F' B' R L2 F'
U L F' B' R F' L2
L' R B' F' R D2 B2
L' R B' F' D2 R B2
L' R B' F' D2 B2 R
L R B' F' L2 R D
L R B' F' L2 R D'
L R B' F' L2 R D2
L R B' F' L2 D R
L R B' F' L2 D' R
L R B' F' L2 D2 R
L R B' F' R L2 D
L R B' F' R L2 D'
L R B' F' R L2 D2
R L B' F' L2 R D
R L B' F' L2 R D'
R L B' F' L2 R D2
R L B' F' L2 D R
R L B' F' L2 D' R
R L B' F' L2 D2 R
R L B' F' R L2 D
R L B' F' R L2 D'
R L B' F' R L2 D2
L R B2 L2 F' B R
L R B2 L2 B F' R
R L B2 L2 F' B R
R L B2 L2 B F' R
L' R B2 F' R D2 B2
L' R B2 F' D2 R B2
L' R B2 F' D2 B2 R
L R B2 F' L2 B R
R L B2 F' L2 B R
U' L B' L2 R F' R
B' L B' L2 R F' R
F' L B' R F L' F2
U2 L B' L2 R F' R
U' L B' L2 F' R F'
B' L B' L2 F' R F'
B2 L B' L2 R F' R
U2 L B' L2 F' R F'
U' L B' R L2 F' R
B' L B' R L2 F' R
U2 L B' R L2 F' R
B2 L B' L2 F' R F'
U' L B' R F' L2 R
U' L B' R F' R L2
B' L B' R F' L2 R
B' L B' R F' R L2
U2 L B' R F' L2 R
U2 L B' R F' R L2
B2 L B' R L2 F' R
B L B' L2 R F' R
B2 L B' R F' L2 R
B2 L B' R F' R L2
B L B' L2 F' R F'
B L B' R L2 F' R
U L B' L2 R F' R
B L B' R F' L2 R
B L B' R F' R L2
U L B' L2 F' R F'
U L B' R L2 F' R
U L B' R F' L2 R
U L B' R F' R L2
B' L B' F' L2 R F'
B' L B' F' R L2 F'
B' L B' F' R F' L2
U' L B' F' L2 R F'
U' L B' F' R L2 F'
U' L B' F' R F' L2
U2 L B' F' L2 R F'
U2 L B' F' R L2 F'
U2 L B' F' R F' L2
B2 L B' F' L2 R F'
B2 L B' F' R L2 F'
B2 L B' F' R F' L2
B L B' F' L2 R F'
B L B' F' R L2 F'
B L B' F' R F' L2
U L B' F' L2 R F'
U L B' F' R L2 F'
U L B' F' R F' L2
R' L' U2 F L' B U2
L' R' U2 F L' B U2
R' L' U2 F B L' U2
L' R' U2 F B L' U2
R2 L' U2 F L' B' U2
R' L' U2 B F L' U2
L' R' U2 B F L' U2
R L' U2 F L' U2 F2
R L' U2 F U2 F2 R
F2 L' R F U2 R F2
B' L' R F' R D2 B2
U' L' R F' R D2 B2
B' L' R F' D2 R B2
U' L' R F' D2 R B2
B' L' R F' D2 B2 R
U' L' R F' D2 B2 R
U2 L' R F' R D2 B2
F L' R F R U2 F2
F L' R F U2 F2 L'
U2 L' R F' D2 R B2
B2 L' R F' R D2 B2
U2 L' R F' D2 B2 R
B2 L' R F' D2 R B2
B2 L' R F' D2 B2 R
B L' R F' R D2 B2
B L' R F' D2 R B2
B L' R F' D2 B2 R
U L' R F' R D2 B2
U L' R F' D2 R B2
U L' R F' D2 B2 R
D2 L' R' F B R' D
D2 L' R' F B R' D'
D2 L' R' F B R' D2
D2 L' R' F B D R'
D2 L' R' F B D' R'
D2 L' R' F B D2 R'
D2 L' R' F' B R' F2
D2 L' R' B R F R2
D2 L' R' B R' D F
D2 L' R' B R' D' F
D2 L' R' B R' D2 F
D2 L' R' B R' F D
D2 L' R' B R' F D'
D2 L' R' B R' F D2
D2 L' R' B D R' F
D2 L' R' B D F R'
D2 L' R' B D' R' F
D2 L' R' B D' F R'
D2 L' R' B D2 R' F
D2 L' R' B D2 F R'
D2 L' R' B F R' D
D2 L' R' B F R' D'
D2 L' R' B F R' D2
D2 L' R' B F D R'
D2 L' R' B F D' R'
D2 L' R' B F D2 R'
D2 L' R' B F' R' F2
F L' R' F B R U2
F L' R' B F R U2
D2 L' R2 F R B R'
F L' R2 F R B U2
R2 L' F L' U2 L F
R L' F L' U2 L F2
R L' F L' U2 F2 L
R' L' F B L' U2 L
L' R' F B L' U2 L
R2 L' F' R' F' R2 B
R L' F' R U2 F2 U2
R L' F' R D2 B2 D
R L' F' R D2 B2 D'
R L' F' R D2 B2 D2
R L' F' R B D2 B2
R L' F' R B' D2 B2
R L' F' R B2 D2 B2
R L' F' R2 D2 R' B2
R L' F' U2 F2 L' U2
R L' F' D' R D' B2
R L' F' D2 R B2 D
R L' F' D2 R B2 D'
R L' F' D2 R B2 D2
R L' F' D2 R' B2 R2
R L' F' D2 B' R B'
R L' F' D2 B2 R D
R L' F' D2 B2 R D'
R L' F' D2 B2 R D2
R L' F' D2 B2 D R
R L' F' D2 B2 D' R
R L' F' D2 B2 D2 R
R L' F' B R D2 B2
R L' F' B D2 R B2
R L' F' B D2 B2 R
R L' F' B' R D2 B2
R L' F' B' D2 R B2
R L' F' B' D2 B2 R
R L' F' B2 R D2 B2
R L' F' B2 D2 R B2
R L' F' B2 D2 B2 R
R L' F2 R F R B
R L' F2 R2 F B R
R L' F2 R2 B F R
R' L' B F L' U2 L
L' R' B F L' U2 L
R L' B F' R D2 B2
R L' B F' D2 R B2
R L' B F' D2 B2 R
R L' B' F' R D2 B2
R L' B' F' D2 R B2
R L' B' F' D2 B2 R
D2 L' F R' B R' D
D2 L' F R' B R' D'
D2 L' F R' B R' D2
D2 L' F R' B D R'
D2 L' F R' B D' R'
D2 L' F R' B D2 R'
F L' F R U2 D F'
F L' F R U2 D' F'
F L' F R U2 D2 F'
F L' F R U2 F' D
F L' F R U2 F' D'
F L' F R U2 F' D2
F L' F R D U2 F'
F L' F R D' U2 F'
F L' F R D2 U2 F'
F L' F R B U2 F'
F L' F R B' U2 F'
F L' F R B2 U2 F'
F L' F R' B R2 U2
D2 L' F B R' D B
D2 L' F B R' D' B
D2 L' F B R' D2 B
D2 L' F B R' B D
D2 L' F B R' B D'
D2 L' F B R' B D2
F L' F B R U2 F'
R L' B2 F' R D2 B2
F L' F B' R U2 F'
R L' B2 F' D2 R B2
R L' B2 F' D2 B2 R
D2 L' F' R' F2 B R'
D2 L' F' R' B R' F2
D2 L' F' R' B F2 R'
B' L' F' R D2 F' B2
B' L' F' R D2 B2 F'
U' L' F' R D2 F' B2
U' L' F' R D2 B2 F'
F L' F B2 R U2 F'
U2 L' F' R D2 F' B2
U2 L' F' R D2 B2 F'
B2 L' F' R D2 F' B2
B2 L' F' R D2 B2 F'
B L' F' R D2 F' B2
B L' F' R D2 B2 F'
U L' F' R D2 F' B2
U L' F' R D2 B2 F'
D2 L' F' B R' F2 B
D2 L' F' B R' B F2
D2 L' B R' D F B
D2 L' B R' D B F
D2 L' B R' D' F B
D2 L' B R' D' B F
D2 L' B R' D2 F B
D2 L' B R' D2 B F
D2 L' B R' F D B
D2 L' B R' F D' B
D2 L' B R' F D2 B
D2 L' B R' F B D
D2 L' B R' F B D'
D2 L' B R' F B D2
D2 L' B R' B D F
D2 L' B R' B D' F
D2 L' B R' B D2 F
D2 L' B R' B F D
D2 L' B R' B F D'
D2 L' B R' B F D2
L' R2 U2 F L' B' U2
R L2 U2 L F' R B
D2 L' B F R' D B
D2 L' B F R' D' B
D2 L' B F R' D2 B
D2 L' B F R' B D
D2 L' B F R' B D'
D2 L' B F R' B D2
D2 L' B F' R' F2 B
D2 L' B F' R' B F2
R L2 U2 F' L R B
R L2 U2 F' R L B
F L' B F R U2 F'
F L' B' F R U2 F'
F L' B2 F R U2 F'
F' L2 R F L' F2 B'
F' L2 R F L' B' F2
L' R2 F L' U2 L F
L' R2 F' R' F' R2 B
R L2 F' L' R B' L2
R L2 F' L' B' L2 R
R L2 F' L' B' R L2
R L2 F' R L' B' L2
L R2 B' L2 R' F' R
L R2 B' R' L2 F' R
L R2 B' R' F' L2 R
L R2 B' R' F' R L2
R U L F' R B' L2
R U L F' B' L2 R
R U L F' B' R L2
R U L B' L2 F' R
R U L B' F' L2 R
R U L B' F' R L2
R U L' F' R D2 B2
R U L' F' D2 R B2
R U L' F' D2 B2 R
L U R F' R B' L2
L U R F' B' L2 R
L U R F' B' R L2
L U R B' L2 F' R
L U R B' F' L2 R
L U R B' F' R L2
F' R L D2 F' B' L
F' R L D2 B' L F'
F' R L D2 B' F' L
F2 R L U2 F' B' R'
F2 R L U2 B' F' R'
F' R L F B' L' F2
B' R L F' R B' L2
U' R L F' R B' L2
B' R L F' B' L2 R
B' R L F' B' R L2
U' R L F' B' L2 R
U' R L F' B' R L2
B2 R L F' R B' L2
B' R L B' L2 F' R
U' R L B' L2 F' R
B2 R L F' B' L2 R
F' R L B' F L' F2
B2 R L F' B' R L2
U2 R L F' R B' L2
B' R L B' F' L2 R
B' R L B' F' R L2
U' R L B' F' L2 R
U' R L B' F' R L2
U2 R L F' B' L2 R
U2 R L F' B' R L2
B2 R L B' L2 F' R
B R L F' R B' L2
B2 R L B' F' L2 R
B2 R L B' F' R L2
U2 R L B' L2 F' R
B R L F' B' L2 R
B R L F' B' R L2
U2 R L B' F' L2 R
U2 R L B' F' R L2
B R L B' L2 F' R
B R L B' F' L2 R
B R L B' F' R L2
U R L F' R B' L2
U R L F' B' L2 R
U R L F' B' R L2
B' R L' F' R D2 B2
U' R L' F' R D2 B2
B' R L' F' D2 R B2
B' R L' F' D2 B2 R
U' R L' F' D2 R B2
U' R L' F' D2 B2 R
U R L B' L2 F' R
U R L B' F' L2 R
U R L B' F' R L2
F2 R L' F U2 R F2
B2 R L' F' R D2 B2
B2 R L' F' D2 R B2
B2 R L' F' D2 B2 R
U2 R L' F' R D2 B2
U2 R L' F' D2 R B2
U2 R L' F' D2 B2 R
B R L' F' R D2 B2
B R L' F' D2 R B2
B R L' F' D2 B2 R
F R L' F R U2 F2
F R L' F U2 F2 L'
F' R L2 F L' F2 B'
F' R L2 F L' B' F2
U R L' F' R D2 B2
U R L' F' D2 R B2
U R L' F' D2 B2 R
L U F' R F' B' L2
L U F' R B' L2 F'
L U F' R B' F' L2
L U F' B' L2 R F'
L U F' B' R L2 F'
L U F' B' R F' L2
L U B' L2 R F' R
L U B' L2 F' R F'
L U B' R L2 F' R
L U B' R F' L2 R
L U B' R F' R L2
L U B' F' L2 R F'
L U B' F' R L2 F'
L U B' F' R F' L2
R U' L F' R B' L2
R U' L F' B' L2 R
R U' L F' B' R L2
F' R F L F2 B' L2
F' R F L B' L2 F2
F' R F L B' F2 L2
R U' L B' L2 F' R
R U' L B' F' L2 R
R U' L B' F' R L2
R U' L' F' R D2 B2
R U' L' F' D2 R B2
R U' L' F' D2 B2 R
F2 R F' L' F U2 F'
L U' R F' R B' L2
L U' R F' B' L2 R
L U' R F' B' R L2
L U' R B' L2 F' R
L U' R B' F' L2 R
L U' R B' F' R L2
D2 R' L' F B R' D
D2 R' L' F B R' D'
D2 R' L' F B R' D2
D2 R' L' F B D R'
D2 R' L' F B D' R'
D2 R' L' F B D2 R'
D2 R' L' F' B R' F2
D2 R' L' B R F R2
D2 R' L' B R' D F
D2 R' L' B R' D' F
D2 R' L' B R' D2 F
D2 R' L' B R' F D
D2 R' L' B R' F D'
D2 R' L' B R' F D2
D2 R' L' B D R' F
D2 R' L' B D F R'
D2 R' L' B D' R' F
D2 R' L' B D' F R'
D2 R' L' B D2 R' F
D2 R' L' B D2 F R'
D2 R' L' B F R' D
D2 R' L' B F R' D'
D2 R' L' B F R' D2
D2 R' L' B F D R'
D2 R' L' B F D' R'
D2 R' L' B F D2 R'
D2 R' L' B F' R' F2
F R' L' F B R U2
F R' L' B F R U2
D2 R' U L' F B R'
D2 R' U L' B R' F
D2 R' U L' B F R'
L U' F' R F' B' L2
L U' F' R B' L2 F'
L U' F' R B' F' L2
D2 R' U B L' R' F
D2 R' U B L' F R'
D2 R' U B R' L' F
D2 R' U' L' F B R'
D2 R' U' L' B R' F
D2 R' U' L' B F R'
L U' F' B' L2 R F'
L U' F' B' R L2 F'
L U' F' B' R F' L2
D2 R' U' B L' R' F
D2 R' U' B L' F R'
D2 R' U' B R' L' F
D2 R' U2 L' F B R'
D2 R' U2 L' B R' F
D2 R' U2 L' B F R'
D2 R' U2 B L' R' F
D2 R' U2 B L' F R'
D2 R' U2 B R' L' F
L U' B' L2 R F' R
L U' B' L2 F' R F'
L U' B' R L2 F' R
L U' B' R F' L2 R
L U' B' R F' R L2
L U' B' F' L2 R F'
L U' B' F' R L2 F'
L U' B' F' R F' L2
L2 U2 L R F' B R
L2 U2 L R B F' R
L2 U2 L F' R F' B
L2 U2 L F' R B F'
R U2 L F' R B' L2
R U2 L F' B' L2 R
R U2 L F' B' R L2
R U2 L B' L2 F' R
R U2 L B' F' L2 R
R U2 L B' F' R L2
R U2 L' F' R D2 B2
R U2 L' F' D2 R B2
R U2 L' F' D2 B2 R
L2 U2 R L F' B R
L2 U2 R L B F' R
L2 U2 R F' L B R
D2 R' B L' R F R2
D2 R' B L' R' D F
D2 R' B L' R' D' F
D2 R' B L' R' D2 F
D2 R' B L' R' F D
D2 R' B L' R' F D'
D2 R' B L' R' F D2
D2 R' B L' D R' F
D2 R' B L' D F R'
D2 R' B L' D' R' F
D2 R' B L' D' F R'
D2 R' B L' D2 R' F
D2 R' B L' D2 F R'
D2 R' B L' F R' D
D2 R' B L' F R' D'
D2 R' B L' F R' D2
D2 R' B L' F D R'
D2 R' B L' F D' R'
D2 R' B L' F D2 R'
D2 R' B L' F' R' F2
L U2 R F' R B' L2
L U2 R F' B' L2 R
L U2 R F' B' R L2
D2 R' B R L' F R2
D2 R' B R' L' D F
D2 R' B R' L' D' F
D2 R' B R' L' D2 F
D2 R' B R' L' F D
D2 R' B R' L' F D'
D2 R' B R' L' F D2
L U2 R B' L2 F' R
L U2 R B' F' L2 R
L U2 R B' F' R L2
F R' B L' F R U2
D2 R2 L' F R B R'
L' U2 F U2 F2 R F'
L' U2 F D2 L' U2 F
F R2 L' F R B U2
L2 U2 F' L R F' B
L2 U2 F' L R B F'
L2 U2 F' R L F' B
L2 U2 F' R L B F'
L2 U2 F' R F' L B
L U2 F' R F' B' L2
L U2 F' R B' L2 F'
L U2 F' R B' F' L2
L U2 F' B' L2 R F'
L U2 F' B' R L2 F'
L U2 F' B' R F' L2
L U2 B' L2 R F' R
L U2 B' L2 F' R F'
L U2 B' R L2 F' R
L U2 B' R F' L2 R
L U2 B' R F' R L2
L U2 B' F' L2 R F'
L U2 B' F' R L2 F'
L U2 B' F' R F' L2
D2 U L' R' F B R'
D2 U L' R' B R' F
D2 U L' R' B F R'
D2 U L' F R' B R'
D2 U L' F B R' B
D2 U L' B R' F B
D2 U L' B R' B F
D2 U L' B F R' B
D2 U R' L' F B R'
D2 U R' L' B R' F
D2 U R' L' B F R'
D2 U R' B L' R' F
D2 U R' B L' F R'
D2 U R' B R' L' F
D2 U B L' R' F B
D2 U B L' R' B F
D2 U B L' F R' B
D2 U B R' L' F B
D2 U B R' L' B F
D2 U B R' B L' F
D2 U' L' R' F B R'
D2 U' L' R' B R' F
D2 U' L' R' B F R'
D2 U' L' F R' B R'
D2 U' L' F B R' B
D2 U' L' B R' F B
D2 U' L' B R' B F
D2 U' L' B F R' B
D2 U' R' L' F B R'
D2 U' R' L' B R' F
D2 U' R' L' B F R'
D2 U' R' B L' R' F
D2 U' R' B L' F R'
D2 U' R' B R' L' F
D2 U' B L' R' F B
D2 U' B L' R' B F
D2 U' B L' F R' B
D2 U' B R' L' F B
D2 U' B R' L' B F
D2 U' B R' B L' F
R' D2 L' R' B R' F'
R2 D2 L' R' F' B R'
R2 D2 L' R' B F' R'
R2 D2 L' B R' F' B
R2 D2 L' B R' B F'
U' D2 L' R' F B R'
U' D2 L' R' B R' F
U' D2 L' R' B F R'
R D2 L' F' R' B R'
R D2 L' F' B R' B
D2 U2 L' R' F B R'
D2 U2 L' R' B R' F
D2 U2 L' R' B F R'
R D2 L' B F' R' B
U' D2 L' F R' B R'
U' D2 L' F B R' B
R' D2 R' L' B R' F'
U' D2 L' B R' F B
U' D2 L' B R' B F
D2 U2 L' F R' B R'
U' D2 L' B F R' B
D2 U2 L' F B R' B
U2 D2 L' R' F B R'
U2 D2 L' R' B R' F
U2 D2 L' R' B F R'
D2 U2 L' B R' F B
D2 U2 L' B R' B F
D2 U2 L' B F R' B
R' D2 R' B L' R' F'
R' D2 R' B R' L' F'
U2 D2 L' F R' B R'
U2 D2 L' F B R' B
U2 D2 L' B R' F B
U2 D2 L' B R' B F
U2 D2 L' B F R' B
R2 D2 R' L' F' B R'
R2 D2 R' L' B F' R'
U D2 L' R' F B R'
U D2 L' R' B R' F
U D2 L' R' B F R'
U D2 L' F R' B R'
U D2 L' F B R' B
R2 D2 R' B L' F' R'
U D2 L' B R' F B
U D2 L' B R' B F
U D2 L' B F R' B
U' D2 R' L' F B R'
U' D2 R' L' B R' F
U' D2 R' L' B F R'
D2 U2 R' L' F B R'
D2 U2 R' L' B R' F
D2 U2 R' L' B F R'
U' D2 R' B L' R' F
U' D2 R' B L' F R'
U' D2 R' B R' L' F
U2 D2 R' L' F B R'
U2 D2 R' L' B R' F
U2 D2 R' L' B F R'
D2 U2 R' B L' R' F
D2 U2 R' B L' F R'
D2 U2 R' B R' L' F
U2 D2 R' B L' R' F
U2 D2 R' B L' F R'
U2 D2 R' B R' L' F
U D2 R' L' F B R'
U D2 R' L' B R' F
U D2 R' L' B F R'
U D2 R' B L' R' F
U D2 R' B L' F R'
U D2 R' B R' L' F
U' D2 B L' R' F B
U' D2 B L' R' B F
U' D2 B L' F R' B
D2 U2 B L' R' F B
D2 U2 B L' R' B F
U' D2 B R' L' F B
U' D2 B R' L' B F
D2 U2 B L' F R' B
U' D2 B R' B L' F
D2 U2 B R' L' F B
D2 U2 B R' L' B F
D2 U2 B R' B L' F
R' D2 B U2 L' R' B
R' D2 B U2 R' L' B
R' D2 B U2 R' B L'
U2 D2 B L' R' F B
U2 D2 B L' R' B F
U2 D2 B L' F R' B
U2 D2 B R' L' F B
U2 D2 B R' L' B F
U2 D2 B R' B L' F
R2 D2 B L' R' F' B
R2 D2 B L' R' B F'
R2 D2 B R' L' F' B
R2 D2 B R' L' B F'
R2 D2 B R' B L' F'
U D2 B L' R' F B
U D2 B L' R' B F
U D2 B L' F R' B
U D2 B R' L' F B
U D2 B R' L' B F
U D2 B R' B L' F
R D2 B L' F' R' B
L' F L' R U2 L F'
L' F L' R U2 F' L
L' F L' R2 U2 L F
U' F L' F R U2 F'
R' F L' F B R U2
R' F L' B F R U2
L' F L' B2 R' B U2
U2 F L' F R U2 F'
R2 F L' F R B U2
L' F R L' U2 L F'
L' F R L' U2 F' L
U F L' F R U2 F'
R F L' F R U2 F
L' F R' B L' U2 L
L' F R2 L' U2 L F
L' F D2 L' U2 F L
R' F B L' F R U2
L2 F' L R F' D2 B2
L2 F' L' R F' B' L2
L2 F' L' R B' L2 F'
L2 F' L' R B' F' L2
R F' L R D2 B' L
L2 F' L' B' L2 R F'
L2 F' L' B' R L2 F'
L2 F' L' B' R F' L2
R F' L D2 R B' L
R F' L D2 B' L R
R F' L D2 B' R L
L' F' R U2 F2 U2 F
L' F' R D F' D B2
L' F' R D' F' D' B2
L' F' R D2 F' B2 D
L' F' R D2 F' B2 D'
L' F' R D2 F' B2 D2
L' F' R D2 B2 D F'
L' F' R D2 B2 D' F'
