B U' L R2 B'
B U' L B' R2
B U' R2 L B'
B R U' L R B'
B R U' L B' R
B R U' R L B'
B R' U' L R' B'
B R' U' R' L B'
B U L B' R2 F'
B2 U' L R2 B' L
B2 U' L B' L R2
B2 U' L B' R2 L
B U' L R B' R
B U' L R2 D B'
B U' L R2 D' B'
B U' L R2 D2 B'
B U' L R2 B' D
B U' L R2 B' D'
B U' L R2 B' D2
B U' L B R2 B2
B U' L B' R2 D
B U' L B' R2 D'
B U' L B' R2 D2
B U' R L B' R
B2 U' R2 L B' L
B2 U' R2 B' L B'
B U' R2 L D B'
B U' R2 L D' B'
B U' R2 L D2 B'
B U' R2 L B' D
B U' R2 L B' D'
B U' R2 L B' D2
B2 U' B' L R2 B'
B2 U' B' L B' R2
B2 U' B' R2 L B'
B' U' B2 L R2 B'
B' U' B2 L B' R2
B' U' B2 R2 L B'
D' F2 B R' U' L
D' B R' F2 U' L
R B U' L R B'
R B U' L B' R
R B U' R L B'
F' B U' L R2 B'
F' B U' L B' R2
F' B U' R2 L B'
D' B F2 R' U' L
F2 B U' L R2 B'
F2 B U' L B' R2
F2 B U' R2 L B'
B F U' L R2 B'
B F U' L B' R2
B F U' R2 L B'
F B U' L R2 B'
F B U' L B' R2
F B U' R2 L B'
B F' U' L R2 B'
B F' U' L B' R2
B F' U' R2 L B'
B F2 U' L R2 B'
B F2 U' L B' R2
B F2 U' R2 L B'
B2 U L B' L R2 F'
B2 U L B' R2 L F'
B2 U L B' R2 F' L
B U L F B' R2 F'
B U L F' B' R2 F'
B' U L' F R' U2 R'
B U L F2 B' R2 F'
B U L B' R2 D F'
B U L B' R2 D' F'
B U L B' R2 D2 F'
B U L B' R2 F' D
B U L B' R2 F' D'
B U L B' R2 F' D2
B U L B' F R2 F'
B U L B' F' R2 F'
B U L B' F2 R2 F'
B U L' U2 L2 R2 B'
B U L' U2 L2 B' R2
B U L' U2 R2 L2 B'
B U L' F U2 L2 R2
B U L' F U2 R2 L2
B' U R' L U2 R' B'
B' U R' L' F U2 R'
B U R U2 L R B'
B U R U2 L B' R
B U R U2 R L B'
B' U R' U2 D2 R' B
B' U R' D2 U2 R' B
B U R' U2 L R' B'
B U R' U2 R' L B'
B' U D2 L2 R' U2 B
B' U D2 R' L2 U2 B
B U F L B' R2 F'
B U F U2 L R2 B'
B U F U2 L B' R2
B U F U2 R2 L B'
B U F' L B' R2 F'
B U F' U2 L R2 B'
B U F' U2 L B' R2
B U F' U2 R2 L B'
B U F2 L B' R2 F'
B U F2 U2 L R2 B'
B U F2 U2 L B' R2
B U F2 U2 R2 L B'
B2 U B' L R2 F' B'
B2 U B' L R2 B' F'
B2 U B' R2 L F' B'
B2 U B' R2 L B' F'
B2 U B' R2 F' L B'
B2 U' L R B' L R
B2 U' L R B' R L
B2 U' L R2 B' L D
B2 U' L R2 B' L D'
B2 U' L R2 B' L D2
B2 U' L R2 B' D L
B2 U' L R2 B' D' L
B2 U' L R2 B' D2 L
B' U' L B2 L B R2
B U' L R D R B'
B U' L R D B' R
B U' L R D' R B'
B U' L R D' B' R
B U' L R D2 R B'
B U' L R D2 B' R
B U' L R B R B2
B U' L R B' R D
B U' L R B' R D'
B U' L R B' R D2
B U' L R B' D R
B U' L R B' D' R
B U' L R B' D2 R
B U' L R' D R' B'
B U' L R' D' R' B'
B U' L R' D2 R' B'
B2 U' L B' L R2 D
B2 U' L B' L R2 D'
B2 U' L B' L R2 D2
B2 U' L B' R2 L D
B2 U' L B' R2 L D'
B2 U' L B' R2 L D2
B2 U' L B' R2 D L
B2 U' L B' R2 D' L
B2 U' L B' R2 D2 L
B U' L R2 D B' D
B U' L R2 D B' D'
B U' L R2 D B' D2
B U' L R2 D' B' D
B U' L R2 D' B' D'
B U' L R2 D' B' D2
B U' L R2 D2 B' D
B U' L R2 D2 B' D'
B U' L R2 D2 B' D2
B U' L R2 B2 D B
B U' L R2 B2 D' B
B U' L R2 B2 D2 B
B U' L D' B' D R2
B U' L D2 B' D2 R2
B U' L F' R2 F B'
B U' L F' R2 B' F
B U' L F' B' R2 F
B U' L F2 R2 F2 B'
B U' L F2 R2 B' F2
B U' L F2 B' R2 F2
B U' L B R B2 R
B U' L B R2 B2 D
B U' L B R2 B2 D'
B U' L B R2 B2 D2
B U' L B' R D R
B U' L B' R D' R
B U' L B' R D2 R
B U' L B' R' D R'
B U' L B' R' D' R'
B U' L B' R' D2 R'
B U' L B' F' R2 F
B U' L B' F2 R2 F2
B U' L' R2 B L2 B'
B U' L' R2 B' L2 B'
B U' L' R2 B2 L2 B'
B U' L' B L2 R2 B'
B U' L' B L2 B' R2
B U' L' B R2 L2 B'
B U' L' B' L2 R2 B'
B U' L' B' L2 B' R2
B U' L' B' R2 L2 B'
B U' L' B2 L2 R2 B'
B U' L' B2 L2 B' R2
B U' L' B2 R2 L2 B'
B U' L2 R2 D L' B'
B U' L2 R2 D' L' B'
B U' L2 R2 D2 L' B'
B U' L2 R2 B L' B'
B U' L2 R2 B' L' B'
B U' L2 R2 B2 L' B'
B2 U' R L B' L R
B2 U' R L B' R L
B U' L2 B L' R2 B'
B U' L2 B L' B' R2
B U' L2 B R2 L' B'
B U' L2 B' L' R2 B'
B U' L2 B' L' B' R2
B U' L2 B' R2 L' B'
B U' L2 B2 L' R2 B'
B U' L2 B2 L' B' R2
B U' L2 B2 R2 L' B'
B U' R L D R B'
B U' R L D B' R
B U' R L D' R B'
B U' R L D' B' R
B U' R L D2 R B'
B U' R L D2 B' R
B U' R L B R B2
B U' R L B' R D
B U' R L B' R D'
B U' R L B' R D2
B2 U' R B' L R B'
B U' R L B' D R
B U' R L B' D' R
B U' R L B' D2 R
B2 U' R B' L B' R
B2 U' R B' R L B'
R2 D' B R' U' L R
R2 D' B R' U' R L
B U' R' L D R' B'
B U' R' L D' R' B'
B U' R' L D2 R' B'
B2 U' R2 L B' L D
B2 U' R2 L B' L D'
B2 U' R2 L B' L D2
B2 U' R2 L B' D L
B2 U' R2 L B' D' L
B2 U' R2 L B' D2 L
B U' R' D2 L R' B
B U' R' D2 R' L B
R D' B R' U' L R2
R D' B R' U' R2 L
B2 U' R2 B' L D B'
B2 U' R2 B' L D' B'
B2 U' R2 B' L D2 B'
B2 U' R2 B' L B' D
B2 U' R2 B' L B' D'
B2 U' R2 B' L B' D2
B U' R2 L D B' D
B U' R2 L D B' D'
B U' R2 L D B' D2
B U' R2 L D' B' D
B U' R2 L D' B' D'
B U' R2 L D' B' D2
B U' R2 L D2 B' D
B U' R2 L D2 B' D'
B U' R2 L D2 B' D2
B U' R2 L B2 D B
B U' R2 L B2 D' B
B U' R2 L B2 D2 B
B U' R2 L' B L2 B'
B U' R2 L' B' L2 B'
B U' R2 L' B2 L2 B'
B U' R2 L2 D L' B'
B U' R2 L2 D' L' B'
B U' R2 L2 D2 L' B'
B U' R2 L2 B L' B'
B U' R2 L2 B' L' B'
B U' R2 L2 B2 L' B'
B U' R2 F L F' B'
B U' R2 F L B' F'
B U' R2 F2 L F2 B'
B U' R2 F2 L B' F2
B U' R2 B L B' L
B U' D2 L B2 R' B
B U' F L F' R2 B'
B U' F L F' B' R2
B U' F L B' F' R2
B U' F' R2 F L B'
B U' F2 L R2 F2 B'
B U' F2 L R2 B' F2
B U' F2 L F2 R2 B'
B U' F2 L F2 B' R2
B U' F2 L B' R2 F2
B U' F2 L B' F2 R2
B' U' B R2 B L B'
B U' F2 R2 L F2 B'
B U' F2 R2 L B' F2
B U' F2 R2 F2 L B'
B' U' B' L R2 B' L
B' U' B' L B' L R2
B' U' B' L B' R2 L
B U' B L R2 B' L
B U' B L B' L R2
B U' B L B' R2 L
B2 U' B' L R B' R
B2 U' B' L R2 D B'
B2 U' B' L R2 D' B'
B2 U' B' L R2 D2 B'
B2 U' B' L R2 B' D
B2 U' B' L R2 B' D'
B2 U' B' L R2 B' D2
B2 U' B' L B R2 B2
B2 U' B' L B' R2 D
B2 U' B' L B' R2 D'
B2 U' B' L B' R2 D2
B' U' B' R2 L B' L
B' U' B' R2 B' L B'
B2 U' B' R L B' R
B U' B R2 L B' L
B U' B R2 B' L B'
B2 U' B' R2 L D B'
B2 U' B' R2 L D' B'
B2 U' B' R2 L D2 B'
B2 U' B' R2 L B' D
B2 U' B' R2 L B' D'
B2 U' B' R2 L B' D2
B' U' B2 L R B' R
B' U' B2 L R2 D B'
B' U' B2 L R2 D' B'
B' U' B2 L R2 D2 B'
B' U' B2 L R2 B' D
B' U' B2 L R2 B' D'
B' U' B2 L R2 B' D2
B' U' B2 L B R2 B2
B' U' B2 L B' R2 D
B' U' B2 L B' R2 D'
B' U' B2 L B' R2 D2
B' U' B2 R L B' R
B' U' B2 R2 L D B'
B' U' B2 R2 L D' B'
B' U' B2 R2 L D2 B'
B' U' B2 R2 L B' D
B' U' B2 R2 L B' D'
B' U' B2 R2 L B' D2
B U' B' R2 B L B'
B2 U' B2 R2 B L B'
B2 U2 L U R2 B' L
B2 U2 L U B' L R2
B2 U2 L U B' R2 L
B U2 L R2 D' F2 B'
B U2 L R2 D' B' F2
B U2 L R2 B' D' F2
B U2 L B' R2 D' F2
B U2 L' U L2 R2 B'
B U2 L' U L2 B' R2
B U2 L' U R2 L2 B'
B U2 R2 L D' F2 B'
B U2 R2 L D' B' F2
B U2 R2 L B' D' F2
B U2 F U L R2 B'
B U2 F U L B' R2
B U2 F U R2 L B'
B U2 F' U L R2 B'
B U2 F' U L B' R2
B U2 F' U R2 L B'
B U2 F2 U L R2 B'
B U2 F2 U L B' R2
B U2 F2 U R2 L B'
B2 U2 B' U L R2 B'
B2 U2 B' U L B' R2
B2 U2 B' U R2 L B'
B' U2 B2 U L R2 B'
B' U2 B2 U L B' R2
B' U2 B2 U R2 L B'
U2 F U R2 B2 L B'
D' F B R' F U' L
U2 F' L U R2 B' L2
U2 F' L U B' L2 R2
U2 F' L U B' R2 L2
U2 F' U L R2 B' L2
U2 F' U L B' L2 R2
U2 F' U L B' R2 L2
U2 F' U R2 L B' L2
B2 D' R' F2 B R' U'
B2 D' R' B R' F2 U'
B2 D' R' B F2 R' U'
D' F2 R B R' U' L
B2 D' F2 R' B R' U'
F' D' F2 B R' U' L
B2 D' F2 B R' B U'
D' F2 R' B R' U' L
F2 D' F2 B R' U' L
F' D' B R' F2 U' L
B2 D' B R' F2 B U'
B2 D' B R' B F2 U'
F2 D' B R' F2 U' L
B D' F2 U' D L B'
B D' F2 D U' L B'
F' D' B F2 R' U' L
D' F2 R2 B R' U' L
B2 D' B F2 R' B U'
F2 D' B F2 R' U' L
F D' F2 B R' U' L
F D' B R' F2 U' L
F D' B F2 R' U' L
D' F2 D B U' L B'
D' F2 B R' U' L D
D' F2 B R' U' L D'
D' F2 B R' U' L D2
D' F2 B R' U' D L
D' F2 B R' U' D' L
D' F2 B R' U' D2 L
D' F2 B R' D U' L
D' F2 B R' D' U' L
D' F2 B R' D2 U' L
D' F2 B D R' U' L
D' F2 B D' R' U' L
D' F2 B D2 R' U' L
B' D2 U L2 R' U2 B
B' D2 U R' L2 U2 B
D' F2 B2 U' L' B' L
B D2 U' L B2 R' B
R2 B L B' U L' U'
L B L R2 B2 D F2
L B L B2 R2 D F2
L B L' U' L2 R2 B2
L B L' U' L2 B2 R2
L B L' U' R2 L2 B2
L B L' U' R2 B2 L2
L B L' U' B2 L2 R2
L B L' U' B2 R2 L2
R2 B L2 D L' F2 B'
R2 B L2 D L' B' F2
D' B R F2 R2 U' L
D' B R' U' L D R2
D' B R' U' D L R2
D' B R' U' D R2 L
D' B R' D U' L R2
D' B R' D U' R2 L
R2 B R U' L R' B'
R2 B R U' R' L B'
D' B R' F2 U' L D
D' B R' F2 U' L D'
D' B R' F2 U' L D2
D' B R' F2 U' D L
D' B R' F2 U' D' L
D' B R' F2 U' D2 L
D' B R' F2 D U' L
D' B R' F2 D' U' L
D' B R' F2 D2 U' L
R2 B R' U' L R B'
R2 B R' U' L B' R
R2 B R' U' R L B'
R2 B R2 U' L R2 B'
R2 B R2 U' L B' R2
R2 B R2 U' R2 L B'
R B R' U' L R2 B'
R B R' U' L B' R2
R B R' U' R2 L B'
D2 B U' L B2 R' B
L B R2 L B2 D F2
D B R2 F' R U' L
D2 B U' D2 L R2 B'
D2 B U' D2 L B' R2
D2 B U' D2 R2 L B'
R B R2 U' L R' B'
R B R2 U' R' L B'
D' B D R' U' L R'
D' B D R' U' R' L
R B U' L R D B'
R B U' L R D' B'
R B U' L R D2 B'
R B U' L R B' D
R B U' L R B' D'
R B U' L R B' D2
R B U' L R' B' R2
R B U' L D R B'
R B U' L D B' R
R B U' L D' R B'
R B U' L D' B' R
R B U' L D2 R B'
R B U' L D2 B' R
R B U' L B R B2
R B U' L B' R D
R B U' L B' R D'
R B U' L B' R D2
R B U' L B' D R
R B U' L B' D' R
R B U' L B' D2 R
R B U' R L D B'
R B U' R L D' B'
R B U' R L D2 B'
R B U' R L B' D
R B U' R L B' D'
R B U' R L B' D2
R B U' R' L B' R2
F' B R U' L R B'
F' B R U' L B' R
F' B R U' R L B'
F2 B R U' L R B'
F2 B R U' L B' R
F2 B R U' R L B'
D2 B D2 U' L R2 B'
D2 B D2 U' L B' R2
D2 B D2 U' R2 L B'
F' B R' U' L R' B'
F' B R' U' R' L B'
B F R U' L R B'
B F R U' L B' R
B F R U' R L B'
F2 B R' U' L R' B'
F2 B R' U' R' L B'
D' B F R' F U' L
F B R U' L R B'
F B R U' L B' R
F B R U' R L B'
B F R' U' L R' B'
B F R' U' R' L B'
F B R' U' L R' B'
F B R' U' R' L B'
F' B U L B' R2 F'
D' B F2 R' U' L D
D' B F2 R' U' L D'
D' B F2 R' U' L D2
D' B F2 R' U' D L
D' B F2 R' U' D' L
D' B F2 R' U' D2 L
D' B F2 R' D U' L
D' B F2 R' D' U' L
D' B F2 R' D2 U' L
F2 B U L B' R2 F'
D' B F2 D R' U' L
D' B F2 D' R' U' L
D' B F2 D2 R' U' L
F' B U' L R B' R
F' B U' L R2 D B'
F' B U' L R2 D' B'
F' B U' L R2 D2 B'
F' B U' L R2 B' D
F' B U' L R2 B' D'
F' B U' L R2 B' D2
F' B U' L B R2 B2
F' B U' L B' R2 D
F' B U' L B' R2 D'
F' B U' L B' R2 D2
F' B U' R L B' R
B2 F U' L R2 B' L
B F U L B' R2 F'
B2 F U' L B' L R2
B2 F U' L B' R2 L
F2 B U' L R B' R
F2 B U' L R2 D B'
F2 B U' L R2 D' B'
F2 B U' L R2 D2 B'
F2 B U' L R2 B' D
F2 B U' L R2 B' D'
F2 B U' L R2 B' D2
F' B U' R2 L D B'
F' B U' R2 L D' B'
F' B U' R2 L D2 B'
F' B U' R2 L B' D
F' B U' R2 L B' D'
F' B U' R2 L B' D2
F2 B U' L B R2 B2
F2 B U' L B' R2 D
F2 B U' L B' R2 D'
F2 B U' L B' R2 D2
F2 B U' R L B' R
B' F U' B2 L R2 B'
B' F U' B2 L B' R2
B2 F U' R2 L B' L
B' F U' B2 R2 L B'
B2 F U' R2 B' L B'
F2 B U' R2 L D B'
F2 B U' R2 L D' B'
F2 B U' R2 L D2 B'
F2 B U' R2 L B' D
F2 B U' R2 L B' D'
F2 B U' R2 L B' D2
F B U L B' R2 F'
B2 F U' B' L R2 B'
B2 F U' B' L B' R2
B2 F U' B' R2 L B'
B F U' L R B' R
B F U' L R2 D B'
B F U' L R2 D' B'
B F U' L R2 D2 B'
B F U' L R2 B' D
B F U' L R2 B' D'
B F U' L R2 B' D2
B F U' L B R2 B2
B F U' L B' R2 D
B F U' L B' R2 D'
B F U' L B' R2 D2
B F U' R L B' R
B F U' R2 L D B'
B F U' R2 L D' B'
B F U' R2 L D2 B'
B F U' R2 L B' D
B F U' R2 L B' D'
B F U' R2 L B' D2
F B U' L R B' R
F B U' L R2 D B'
F B U' L R2 D' B'
F B U' L R2 D2 B'
F B U' L R2 B' D
F B U' L R2 B' D'
F B U' L R2 B' D2
F B U' L B R2 B2
F B U' L B' R2 D
F B U' L B' R2 D'
F B U' L B' R2 D2
F B U' R L B' R
F B U' R2 L D B'
F B U' R2 L D' B'
F B U' R2 L D2 B'
F B U' R2 L B' D
F B U' R2 L B' D'
F B U' R2 L B' D2
L B' L R2 D F2 L'
D2 B' U L2 R' U2 B
D2 B' U R' L2 U2 B
L2 B' R2 D F2 L' B'
L B' R2 L D F2 L'
R' B' U' B2 L B' R'
B F' R U' L R B'
B F' R U' L B' R
B F' R U' R L B'
R B' U' B2 L R B'
R B' U' B2 L B' R
R B' U' B2 R L B'
B F' R' U' L R' B'
B F' R' U' R' L B'
B2 F' U' L R2 B' L
B F' U L B' R2 F'
B2 F' U' L B' L R2
B2 F' U' L B' R2 L
B' F' U' B2 L R2 B'
B' F' U' B2 L B' R2
B' F' U' B2 R2 L B'
B2 F' U' R2 L B' L
B2 F' U' R2 B' L B'
F' B' U' B2 L R2 B'
F' B' U' B2 L B' R2
F' B' U' B2 R2 L B'
B2 F' U' B' L R2 B'
B2 F' U' B' L B' R2
B2 F' U' B' R2 L B'
B F' U' L R B' R
B F' U' L R2 D B'
B F' U' L R2 D' B'
B F' U' L R2 D2 B'
B F' U' L R2 B' D
B F' U' L R2 B' D'
B F' U' L R2 B' D2
B F' U' L B R2 B2
F2 B' U' B2 L R2 B'
B F' U' L B' R2 D
B F' U' L B' R2 D'
F2 B' U' B2 L B' R2
B F' U' L B' R2 D2
F2 B' U' B2 R2 L B'
B F' U' R L B' R
B F' U' R2 L D B'
B F' U' R2 L D' B'
B F' U' R2 L D2 B'
B F' U' R2 L B' D
B F' U' R2 L B' D'
B F' U' R2 L B' D2
F B' U' B2 L R2 B'
F B' U' B2 L B' R2
F B' U' B2 R2 L B'
R2 B2 L B' L D F2
R' B2 U L U2 B' L
B F2 R U' L R B'
B F2 R U' L B' R
B F2 R U' R L B'
R' B2 U' B' L B' R'
B F2 R' U' L R' B'
B F2 R' U' R' L B'
F' B2 U' L R2 B' L
F' B2 U' L B' L R2
F' B2 U' L B' R2 L
R B2 U' L R B' L
R B2 U' L B' L R
R B2 U' L B' R L
B2 F2 U' L R2 B' L
B2 F2 U' L B' L R2
B2 F2 U' L B' R2 L
B F2 U L B' R2 F'
R B2 U' R L B' L
R B2 U' R B' L B'
F' B2 U' R2 L B' L
F2 B2 U' L R2 B' L
B' F2 U' B2 L R2 B'
B' F2 U' B2 L B' R2
F' B2 U' R2 B' L B'
B' F2 U' B2 R2 L B'
F2 B2 U' L B' L R2
F2 B2 U' L B' R2 L
B2 F2 U' R2 L B' L
B2 F2 U' R2 B' L B'
F2 B2 U' R2 L B' L
F2 B2 U' R2 B' L B'
F' B2 U' B' L R2 B'
F' B2 U' B' L B' R2
F' B2 U' B' R2 L B'
R B2 U' B' L R B'
R B2 U' B' L B' R
R B2 U' B' R L B'
B2 F2 U' B' L R2 B'
B2 F2 U' B' L B' R2
B2 F2 U' B' R2 L B'
B F2 U' L R B' R
B F2 U' L R2 D B'
B F2 U' L R2 D' B'
B F2 U' L R2 D2 B'
B F2 U' L R2 B' D
B F2 U' L R2 B' D'
B F2 U' L R2 B' D2
F2 B2 U' B' L R2 B'
F2 B2 U' B' L B' R2
F2 B2 U' B' R2 L B'
B F2 U' L B R2 B2
B F2 U' L B' R2 D
B F2 U' L B' R2 D'
B F2 U' L B' R2 D2
B F2 U' R L B' R
B F2 U' R2 L D B'
B F2 U' R2 L D' B'
B F2 U' R2 L D2 B'
B F2 U' R2 L B' D
B F2 U' R2 L B' D'
B F2 U' R2 L B' D2
F B2 U' L R2 B' L
F B2 U' L B' L R2
F B2 U' L B' R2 L
F B2 U' R2 L B' L
F B2 U' R2 B' L B'
F B2 U' B' L R2 B'
F B2 U' B' L B' R2
F B2 U' B' R2 L B'
D' B2 F2 U' L' B' L
