F L' U' L2 R2
F L' U' R2 L2
U' L R D R F'
F L R2 D F2 B2
F L R2 D B2 F2
F L' U' L2 R2 D
F L' U' L2 R2 D'
F L' U' L2 R2 D2
F L' U' R2 L2 D
F L' U' R2 L2 D'
F L' U' R2 L2 D'
F L' U' R2 L2 D2
F L' D' F2 B2 U'
F L' D' B2 F2 U'
F L' F U' L2 R2
F L' F U' R2 L2
F L' F' U' L2 R2
F L' F' U' R2 L2
D' L' F2 U' L2 F'
D' L' F2 U' F' L2
F L' F2 U' L2 R2
F L' F2 U' R2 L2
F L' B U' L2 R2
F L' B U' R2 L2
F L' B' U' L2 R2
F L' B' U' R2 L2
F L' B2 U' L2 R2
F L' B2 U' R2 L2
U' L2 R2 D' L' F
U' R L D R F'
U' R D L R F'
U' R D R L F'
U' R D R F' L
L2 U' R2 D' L' F
F R2 L D F2 B2
F R2 L D B2 F2
U' R2 L2 D' L' F
U' R2 D' L' F L2
U' R2 F L D F2
F2 U L F R2 B
R2 D' L' F L2 B'
F2 U' L R' F' R'
F U' L R2 D F2
F2 U' R' L F' R'
F2 U' R' F' L R'
F2 U' R' F' R' L
F U' R2 L D F2
F' U2 R U L R
F' U2 R U R L
L' F L' U' L' R2
L' F L' U' R2 L'
U' F L R2 D F2
R2 F L D F2 B2
R2 F L D B2 F2
L F L' U' L R2
L F L' U' R2 L
U' F R2 L D F2
U2 F' R U L R
U2 F' R U R L
F D' L' F2 U' L2
D' F2 L' U' F L2
F' D' F2 L' U' L2
U2 F2 U L R2 F
U2 F2 U L F R2
U2 F2 U R2 L F
D' F2 U' L' F L2
F L' D2 U R2 L2 U2
F L' F U' L2 R2 D
F L' F U' L2 R2 D'
F L' F U' L2 R2 D2
F L' F U' R2 L2 D
F L' F U' R2 L2 D'
F L' F U' R2 L2 D2
F L' F D' F2 B2 U'
F L' F D' B2 F2 U'
F2 L' F' L' U' L' R2
F2 L' F' L' U' R2 L'
F L' F B U' L2 R2
F L' F B U' R2 L2
F L' F B' U' L2 R2
F L' F B' U' R2 L2
F L' F B2 U' L2 R2
F L' F B2 U' R2 L2
F L' F' U' L2 R2 D
F L' F' U' L2 R2 D'
F L' F' U' L2 R2 D2
F L' F' U' R2 L2 D
F L' F' U' R2 L2 D'
F L' F' U' R2 L2 D2
D' L' F2 L U' L F'
D' L' F2 L U' F' L
D' L' F2 L' U' L' F'
F' L' F2 L' U' L' R2
F' L' F2 L' U' R2 L'
F L' F' D' F2 B2 U'
F L' F' D' B2 F2 U'
F L' F' B U' L2 R2
F L' F' B U' R2 L2
F L' F' B' U' L2 R2
F L' F' B' U' R2 L2
F L' F' B2 U' L2 R2
F L' F' B2 U' R2 L2
D' L' F2 U' L F' L
D' L' F2 U' L2 D F'
D' L' F2 U' L2 D' F'
D' L' F2 U' L2 D2 F'
D' L' F2 U' L2 F' D
D' L' F2 U' L2 F' D'
D' L' F2 U' L2 F' D2
D' L' F2 U' F L2 F2
D' L' F2 U' F' L2 D
D' L' F2 U' F' L2 D'
D' L' F2 U' F' L2 D2
D' L' F2 D' B2 U' F'
D' L' F2 B U' L2 F'
D' L' F2 B U' F' L2
D' L' F2 B' U' L2 F'
D' L' F2 B' U' F' L2
F L' F2 U' L2 R2 D
F L' F2 U' L2 R2 D'
F L' F2 U' L2 R2 D2
F L' F2 U' R2 L2 D
F L' F2 U' R2 L2 D'
F L' F2 U' R2 L2 D2
D' L' F2 B2 U' L2 F'
D' L' F2 B2 U' F' L2
F L' F2 D' F2 B2 U'
F L' F2 D' B2 F2 U'
F L' F2 B U' L2 R2
F L' F2 B U' R2 L2
F L' F2 B' U' L2 R2
F L' F2 B' U' R2 L2
F L' F2 B2 U' L2 R2
F L' F2 B2 U' R2 L2
F L' B U' L2 R2 D
F L' B U' L2 R2 D'
F L' B U' L2 R2 D2
F L' B U' R2 L2 D
F L' B U' R2 L2 D'
F L' B U' R2 L2 D2
D' L' B F2 U' L2 F'
D' L' B F2 U' F' L2
F L' B D' F2 B2 U'
F L' B D' B2 F2 U'
F L' B F U' L2 R2
F L' B F U' R2 L2
F L' B F' U' L2 R2
F L' B F' U' R2 L2
F L' B F2 U' L2 R2
F L' B F2 U' R2 L2
L R2 D R F' R' B2
F L' B' U' L2 R2 D
F L' B' U' L2 R2 D'
F L' B' U' L2 R2 D2
F L' B' U' R2 L2 D
F L' B' U' R2 L2 D'
F L' B' U' R2 L2 D2
D' L' B' F2 U' L2 F'
D' L' B' F2 U' F' L2
F L' B' D' F2 B2 U'
F L' B' D' B2 F2 U'
L2 R2 D B2 D2 L' F
R2 L2 D B2 D2 L' F
L R2 D B2 R F' R'
F L' B' F U' L2 R2
F L' B' F U' R2 L2
L2 R2 D' L' D2 F B2
L2 R2 D' L' D2 B2 F
F L' B' F' U' L2 R2
F L' B' F' U' R2 L2
R2 L2 D' L' D2 F B2
R2 L2 D' L' D2 B2 F
F L' B' F2 U' L2 R2
F L' B' F2 U' R2 L2
F L' B2 U' L2 R2 D
F L' B2 U' L2 R2 D'
F L' B2 U' L2 R2 D2
D' L' B2 F2 U' L2 F'
F L' B2 U' R2 L2 D
F L' B2 U' R2 L2 D'
F L' B2 U' R2 L2 D2
D' L' B2 F2 U' F' L2
F L' B2 D' F2 B2 U'
F L' B2 D' B2 F2 U'
U' L2 R D L' R F'
U' L2 R D R L' F'
F L' B2 F U' L2 R2
F L' B2 F U' R2 L2
F L' B2 F' U' L2 R2
U' L2 R D' L' R F
F L' B2 F' U' R2 L2
U' L2 R D' R L' F
F L' B2 F2 U' L2 R2
F L' B2 F2 U' R2 L2
U' L2 R' D' L' R' F
U' L2 R' D' L' F R'
U' L2 R' D' R' L' F
L R2 F U L' R2 U'
L R2 F U R2 L' U'
U' L2 R2 D' L' D F
U' L2 R2 D' L' D' F
U' L2 R2 D' L' D2 F
U' L2 R2 D' L' F D
U' L2 R2 D' L' F D'
U' L2 R2 D' L' F D2
U2 L2 R2 D' L' F B2
U2 L2 R2 D' L' B2 F
U2 L2 R2 D' B2 L' F
F2 L2 U' L' R' F' R'
F2 L2 U' R' L' F' R'
F2 L2 U' R2 D2 L' F
F L2 U' L' R2 D F2
F L2 U' R2 L' D F2
F' L2 U2 R U L' R
F' L2 U2 R U R L'
U L2 U2 R2 D' L' F
U' L2 D' L' D R2 F
U' L2 D' L' D F R2
F L2 D' L F2 U' L2
U' R L D R D F'
U' R L D R D' F'
U' R L D R D2 F'
U' R L D R F' D
U' R L D R F' D'
U' R L D R F' D2
L U F L' U' R2 B
U' R L2 D L' R F'
U' R L2 D R L' F'
U' R L2 D' L' R F
U' R L2 D' R L' F
F' R U L R D B2
F' R U R L D B2
F' R U R D L B2
U2 R U L D R F'
U2 R U D L R F'
U2 R U D R L F'
U2 R U D R F' L
F' R U2 R' U' L R2
F' R U2 R' U' R2 L
U R U2 L D R F'
U' R D L R D F'
U' R D L R D' F'
U' R D L R D2 F'
U' R D L R F' D
U' R D L R F' D'
U' R D L R F' D2
U' R D L' R F' L2
U R U2 D L R F'
U R U2 D R L F'
U R U2 D R F' L
U' R D R L D F'
U' R D R L D' F'
U' R D R L D2 F'
U' R D R L F' D
U' R D R L F' D'
U' R D R L F' D2
U' R D R L' F' L2
U' R D R D L F'
U' R D R D F' L
U' R D R D' L F'
U' R D R D' F' L
U' R D R D2 L F'
U' R D R D2 F' L
U' R D R F L F2
U' R D R F' L D
U' R D R F' L D'
U' R D R F' L D2
U' R D R F' D L
U' R D R F' D' L
U' R D R F' D2 L
U2 R D U L R F'
U2 R D U R L F'
U2 R D U R F' L
U' R D' L' R F L2
U' R D' R L' F L2
U R D U2 L R F'
U R D U2 R L F'
U R D U2 R F' L
U' R D2 L D' R F'
L' U' L' R2 D' L' F
L2 U' L' R D R F'
L' U' L2 R D R F'
L' U' R L2 D R F'
L2 U' R L' D R F'
L2 U' R D L' R F'
L2 U' R D R L' F'
L2 U' R D' L' R F
L2 U' R D' R L' F
L2 U' R' D' L' R' F
L2 U' R' D' L' F R'
L2 U' R' D' R' L' F
L' U' R2 L' D' L' F
L2 U' R2 D' L' D F
L2 U' R2 D' L' D' F
L2 U' R2 D' L' D2 F
L2 U' R2 D' L' F D
L2 U' R2 D' L' F D'
L2 U' R2 D' L' F D2
L2 U' D' L' D R2 F
L2 U' D' L' D F R2
U' R' L D R F' R2
U' R' L F' R' D' F2
U' R' L2 D' L' R' F
U' R' L2 D' L' F R'
U' R' L2 D' R' L' F
U' R' D L R F' R2
U' R' D R L F' R2
U' R' D R F' L R2
U' R' D R F' R2 L
U' R' D' L' R' F L2
U' R' D' L' F L2 R'
U' R' D' L' F R' L2
U' R' D' R' L' F L2
U' R' F L R' D F2
U' R' F L D R' F2
U' R' F L D F2 R'
U' R' F R' L D F2
U' R' F' L R' D' F2
U' R' F' R' L D' F2
U' R' F' R' D' L F2
U' R' F' R' D' F2 L
U2 R' F' R U L R2
U2 R' F' R U R2 L
U2 R' F2 U L R' F
U2 R' F2 U L F R'
U2 R' F2 U R' L F
D' R2 L D B2 R2 F'
U' R2 L D R F' R'
U' R2 L D' L' F L
U' R2 L F U L' U'
U' R2 L F' U' R U
F R2 L U L2 R2 U'
F R2 L U R2 L2 U'
F R2 L D F2 B2 D
F R2 L D F2 B2 D'
F R2 L D F2 B2 D2
F R2 L D B2 F2 D
F R2 L D B2 F2 D'
F R2 L D B2 F2 D2
F R2 L F D F2 B2
F R2 L F D B2 F2
F R2 L F' D F2 B2
F R2 L F' D B2 F2
F R2 L F2 D F2 B2
F R2 L F2 D B2 F2
F R2 L B D F2 B2
F R2 L B D B2 F2
F R2 L B' D F2 B2
F R2 L B' D B2 F2
F R2 L B2 D F2 B2
F R2 L B2 D B2 F2
U' R2 L2 D' L' D F
U' R2 L2 D' L' D' F
U' R2 L2 D' L' D2 F
U' R2 L2 D' L' F D
U' R2 L2 D' L' F D'
U' R2 L2 D' L' F D2
L' U2 F' R U L2 R
L' U2 F' R U R L2
U2 R2 L2 D' L' F B2
U2 R2 L2 D' L' B2 F
U2 R2 L2 D' B2 L' F
F R2 U L' R2 U' L2
F R2 U R2 L' U' L2
U' R2 U' F' R U L
U' R2 U' F2 U L F
U' R2 D L R F' R'
U' R2 D L2 D2 L' F
U' R2 D R L F' R'
U' R2 D R F' L R'
U' R2 D R F' R' L
D R2 D L B2 R' F'
U' R2 D' L U2 B' U2
F R2 D L B2 D F2
U' R2 D' L' F L2 D
U' R2 D' L' F L2 D'
U' R2 D' L' F L2 D2
U' R2 D' L' F' L2 F2
U' R2 D' L' F2 L2 F'
U' R2 D' F L' F L2
U' R2 D' F' L' F L2
U' R2 D' F2 L' F L2
R2 D L R F' R' B2
U' R2 D2 L2 D L' F
R D L R D F' B2
R D L R D B2 F'
R D L R F' D B2
U' R2 F L U L2 U'
U' R2 F L D F2 D
U' R2 F L D F2 D'
U' R2 F L D F2 D2
U' R2 F L F D F2
U' R2 F L F' D F2
U' R2 F L F2 D F2
R2 D L B2 R F' R'
U' R2 F U L' U' L2
U' R2 F D L D F2
U' R2 F D' L D F2
U' R2 F D2 L D F2
U' R2 F' L U' R U
F2 R2 F' L D F2 B2
F2 R2 F' L D B2 F2
U' R2 F' U' R U L
R' D R U' L F' R2
R' D R U' F' L R2
R' D R U' F' R2 L
U2 R2 F' R U L R'
U2 R2 F' R U R' L
R2 D L2 B2 D2 L' F
R2 D R L F' R' B2
R D R L D F' B2
R D R L D B2 F'
R D R L F' D B2
R2 D R F' L R' B2
R2 D R F' R' L B2
R D R D L F' B2
R D R D L B2 F'
R D R D F' L B2
R D R F' L D B2
R D R F' D L B2
R D R' U' L R2 F'
R D R' U' R2 L F'
R D R' U' R2 F' L
U' D L R D' F' R2
U' D L R F' D' R2
U' D L R' D' R2 F'
F2 U L F R2 D B
F2 U L F R2 D' B
F2 U L F R2 D2 B
F2 U L F R2 B D
F2 U L F R2 B D'
F2 U L F R2 B D2
F2 U L F B R2 B
F2 U L F B' R2 B
F2 U L F B2 R2 B
F2 U L B F R2 B
F2 U L B' F R2 B
F2 U L B2 F R2 B
F2 U L' U2 L2 R2 F
F2 U L' U2 L2 F R2
F2 U L' U2 R2 L2 F
F2 U L' B' U2 L2 R2
F2 U L' B' U2 R2 L2
D2 U L2 U2 D L' F
D2 U L2 D U2 L' F
F2 U L2 U2 L' R2 F
F2 U L2 U2 L' F R2
F2 U L2 U2 R2 L' F
U' D R L D' F' R2
U' D R L F' D' R2
U' D R D' L F' R2
U' D R D' F' L R2
U' D R D' F' R2 L
U' D R F' L D' R2
U' D R F' D' L R2
U' D R F' D' R2 L
U' D R' L D' R2 F'
U' D R' D' L R2 F'
U' D R' D' R2 L F'
U' D R' D' R2 F' L
F2 U R' U2 L R' F'
F2 U R' U2 R' L F'
F2 U R' U2 R' F' L
R2 D B2 U2 R' B U2
R2 D' L U2 F2 B' U2
R2 D' L U2 B' F2 U2
F2 U D2 L2 U2 L' F
L2 D' L F2 U' L2 F
R2 D' L B D2 F2 B2
R2 D' L B D2 B2 F2
L' D' L' F2 B2 U' F'
F2 U F L R2 F B
F2 U F L R2 B F
L' D' L' B2 F2 U' F'
F2 U F R2 L F B
F2 U F R2 L B F
R2 D' L' F L2 D B'
R2 D' L' F L2 D' B'
R2 D' L' F L2 D2 B'
R2 D' L' F L2 B' D
R2 D' L' F L2 B' D'
R2 D' L' F L2 B' D2
R2 D' L' F B L2 B'
R2 D' L' F B' L2 B'
R2 D' L' F B2 L2 B'
R2 D' L' B F L2 B'
R2 D' L' B' F L2 B'
R2 D' L' B2 F L2 B'
L D' L' F2 U' L F'
L D' L' F2 U' F' L
U2 D B2 U' R' B U2
D U' L R D' F' R2
D U' L R F' D' R2
D U' L R' D' R2 F'
F2 U B2 R' U2 R' F'
L2 D' U' L' D R2 F
L2 D' U' L' D F R2
F' U' L R' D' R' F2
F' U' L R' D' F2 R'
F' U' L R2 U' R' U
F' U' L U' R U R
F2 U' L R' D F' R'
F2 U' L R' D' F' R'
F2 U' L R' D2 F' R'
F2 U' L R' F R' F2
F2 U' L R' F' R' D
F2 U' L R' F' R' D'
F2 U' L R' F' R' D2
F2 U' L R' F' D R'
F2 U' L R' F' D' R'
F2 U' L R' F' D2 R'
F2 U' L R' F2 R' F
F2 U' L F R' F' R'
F2 U' L F' R' F' R'
F2 U' L F2 R' F' R'
F U' L R D R F2
F2 U' L' R' F' L2 R'
F2 U' L' R' F' R' L2
F U' L R' D R' F2
F U' L R' D F2 R'
D U' R L D' F' R2
F U' L R2 U L2 U'
D U' R L F' D' R2
F U' L R2 D F2 D
F U' L R2 D F2 D'
F U' L R2 D F2 D2
F U' L R2 F D F2
F U' L R2 F' D F2
F U' L R2 F2 D F2
F U' L U L2 U' R2
F U' L D F2 D' R2
D U' R D' L F' R2
D U' R D' F' L R2
D U' R D' F' R2 L
F U' L F R2 D F2
F U' L F' R2 D F2
D U' R F' L D' R2
F U' L F2 R2 D F2
D U' R F' D' L R2
D U' R F' D' R2 L
F2 U' L2 R2 D2 L' F
D U' R' L D' R2 F'
D U' R' D' L R2 F'
D U' R' D' R2 L F'
D U' R' D' R2 F' L
L' D' F2 L' B2 U' F
L' D' F2 B2 L' U' F
L2 D' F2 U' F2 L' F
F' U' R' L D' R' F2
F' U' R' L D' F2 R'
F2 U' R' L D F' R'
F2 U' R' L D' F' R'
F2 U' R' L D2 F' R'
F2 U' R' L F R' F2
F2 U' R' L F' R' D
F2 U' R' L F' R' D'
F2 U' R' L F' R' D2
F2 U' R' L F' D R'
F2 U' R' L F' D' R'
F2 U' R' L F' D2 R'
F2 U' R' L F2 R' F
F2 U' R' L' F' L2 R'
F2 U' R' L' F' R' L2
F U' R L D R F2
F' U' R' D' L R' F2
L D' F2 L' U' F L
F' U' R' D' L F2 R'
F' U' R' D' R' L F2
F' U' R' D' R' F2 L
F' U' R' D' F2 L R'
F' U' R' D' F2 R' L
F2 U' R' D L F' R'
F2 U' R' D F' L R'
F2 U' R' D F' R' L
F2 U' R' D' L F' R'
F2 U' R' D' F' L R'
F2 U' R' D' F' R' L
F2 U' R' D2 L F' R'
F2 U' R' D2 F' L R'
F2 U' R' D2 F' R' L
F2 U' R' F L R' F2
F2 U' R' F L F2 R'
F2 U' R' F R' L F2
F2 U' R' F R' F2 L
F2 U' R' F' L R' D
F2 U' R' F' L R' D'
F2 U' R' F' L R' D2
F2 U' R' F' L D R'
F2 U' R' F' L D' R'
F2 U' R' F' L D2 R'
F2 U' R' F' R' L D
F2 U' R' F' R' L D'
F2 U' R' F' R' L D2
F2 U' R' F' R' D L
F2 U' R' F' R' D' L
F2 U' R' F' R' D2 L
F2 U' R' F' D L R'
F2 U' R' F' D R' L
F2 U' R' F' D' L R'
F' U' R2 L U' R' U
F2 U' R' F' D' R' L
F2 U' R' F' D2 L R'
F2 U' R' F' D2 R' L
F2 U' R' F2 R' F L
F' U' R2 U' R' U L
F2 U' R2 L2 D2 L' F
F U' R' L D R' F2
F U' R' L D F2 R'
B2 U' R2 D' F2 L' F
F2 U' R2 D2 L' F L2
L' D' B2 L' F2 U' F'
F U' R2 L U L2 U'
F U' R2 L D F2 D
F U' R2 L D F2 D'
F U' R2 L D F2 D2
F U' R2 L F D F2
F U' R2 L F' D F2
F U' R2 L F2 D F2
F U' R2 U L' U' L2
F U' R2 D L D F2
F U' R2 D' L D F2
L' D' B2 F2 L' U' F
F U' R2 D2 L D F2
F U' D' L D R2 F2
F U' D' L D F2 R2
F2 U' F L R' F' R'
F2 U' F R' L F' R'
F2 U' F R' F' L R'
F2 U' F R' F' R' L
F2 U' F' L R' F' R'
F2 U' F' R' L F' R'
F2 U' F' R' F' L R'
F2 U' F' R' F' R' L
F' U' F2 L R2 D F2
F2 U' F2 L R' F' R'
F' U' F2 R2 L D F2
F2 U' F2 R' L F' R'
F2 U' F2 R' F' L R'
F2 U' F2 R' F' R' L
U D2 L2 U2 D L' F
U D2 L2 D U2 L' F
F' U2 R U L R D
F' U2 R U L R D'
F' U2 R U L R D2
F' U2 R U L D R
F' U2 R U L D' R
F' U2 R U L D2 R
F' U2 R U R L D
F' U2 R U R L D'
F' U2 R U R L D2
F' U2 R U R D L
F' U2 R U R D' L
F' U2 R U R D2 L
F' U2 R U D L R
F' U2 R U D R L
F' U2 R U D' L R
F' U2 R U D' R L
F' U2 R U D2 L R
F' U2 R U D2 R L
F' U2 R D U L R
F' U2 R D U R L
F' U2 R D' U L R
F' U2 R D' U R L
F' U2 R D2 U L R
F' U2 R D2 U R L
F2 U2 R' U L R' F'
F2 U2 R' U R' L F'
F2 U2 R' U R' F' L
U' F L R D R F2
U' F L R' D R' F2
U' F L R' D F2 R'
U' F L R2 U L2 U'
U' F L R2 D F2 D
U' F L R2 D F2 D'
U' F L R2 D F2 D2
U' F L R2 F D F2
U' F L R2 F' D F2
U' F L R2 F2 D F2
U' F L U L2 U' R2
U' F L D F2 D' R2
R' F L D R' F2 B
R' F L D R' B F2
R' F L D F2 R' B
U' F L F R2 D F2
U' F L F' R2 D F2
U' F L F2 R2 D F2
D U2 B2 U' R' B U2
R2 F L U L2 R2 U'
R2 F L U R2 L2 U'
D' F L' U' F L2 R
D' F L' U' F R L2
L' F L' U' L' R2 D
L' F L' U' L' R2 D'
L' F L' U' L' R2 D2
L' F L' U' R2 L' D
L' F L' U' R2 L' D'
L' F L' U' R2 L' D2
L' F L' U' R2 D L'
L' F L' U' R2 D' L'
L' F L' U' R2 D2 L'
R2 F L D F2 B2 D
R2 F L D F2 B2 D'
R2 F L D F2 B2 D2
R2 F L D B2 F2 D
R2 F L D B2 F2 D'
R2 F L D B2 F2 D2
R2 F L F D F2 B2
R2 F L F D B2 F2
R2 F L F' D F2 B2
R2 F L F' D B2 F2
R2 F L F2 D F2 B2
R2 F L F2 D B2 F2
U F L R2 D F2 B
U F L R2 D B F2
U F L R2 B D F2
R2 F L B D F2 B2
R2 F L B D B2 F2
R2 F L B' D F2 B2
R2 F L B' D B2 F2
L' F L' B U' L' R2
R2 F L B2 D F2 B2
L' F L' B U' R2 L'
R2 F L B2 D B2 F2
L' F L' B' U' L' R2
L' F L' B' U' R2 L'
L' F L' B2 U' L' R2
L' F L' B2 U' R2 L'
R2 F L' R2 U' L2 R2
R2 F L' R2 U' R2 L2
L2 F L' F' U' L' R2
L2 F L' F' U' R2 L'
B' U2 F' R U L' R
B' U2 F' R U R L'
U' F R L D R F2
U F L' U' L2 R2 B
U F L' U' R2 L2 B
U F L' U' R2 B L2
L F L' U' L R2 D
L F L' U' L R2 D'
L F L' U' L R2 D2
L F L' U' R2 L D
L F L' U' R2 L D'
L F L' U' R2 L D2
L F L' U' R2 D L
L F L' U' R2 D' L
L F L' U' R2 D2 L
F' U2 F' U L R2 F
F' U2 F' U L F R2
F' U2 F' U R2 L F
L F L' D' F2 U' L
L F L' F U' L R2
L F L' F U' R2 L
L F L' F' U' L R2
L F L' F' U' R2 L
F U2 F U L R2 F
F U2 F U L F R2
L F L' F2 U' L R2
L F L' F2 U' R2 L
F U2 F U R2 L F
U' F R' L D R' F2
U' F R' L D F2 R'
