U2 L2 F2 B U' L
U2 L2 B F2 U' L
D2 R2 F' B2 U L'
D2 R2 B2 F' U L'
F' U2 L2 F' U' L
D2 F R2 B2 U L
D2 F' R2 B2 U L'
D F' U L' F' R2
D2 F' B2 R2 U L'
U2 F2 L2 B U' L
U2 F2 B L2 U' L'
F' D2 R2 B U L'
U2 B F2 L2 U' L'
D2 B2 R2 F' U L'
D2 B2 F' R2 U L'
D2 F R2 B2 U D' L
D2 F R2 B2 U D2 L
D2 F R2 B2 D U L
D2 F R2 B2 D' U L
D2 F R2 B2 D2 U L
D2 F R2 B2 F U L
D2 F R2 B2 F' U L
D2 F R2 B2 F2 U L
D' F U D2 F2 L' R2
D' F U D2 F2 R2 L'
D2 F U D' F2 L' R2
D2 F U D' F2 R2 L'
B U2 B F2 L2 U' L'
F' U2 B2 L2 F' U' L
D' F U' L2 R B2 U2
D' F U' L2 B2 R U2
D' F U' R L2 B2 U2
D' F U' R B2 L2 U2
D' F U' B2 L2 R U2
D' F U' B2 R L2 U2
D F U F2 L' F' R2
D F U' R U2 R F
D' F D' R2 B2 U L
D2 F D' U F2 L' R2
D2 F D' U F2 R2 L'
D' F D2 U F2 L' R2
D' F D2 U F2 R2 L'
F' D R2 B U L' F2
D2 F B2 R2 U' R' U2
D2 F B2 U D' F2 L'
D2 F B2 D' U F2 L'
L F' L F' R U' L2
F D U2 F U' F L'
B' D F' U L' F' R2
B2 D F' U L' F' R2
U2 F' L2 F' B U' L
U2 F' L2 B F' U' L
D2 F' R B2 R U L'
B D F' U L' F' R2
D2 F' R2 U L' D' R2
D2 F' R2 U D' L' R2
D2 F' R2 U D' R2 L'
D2 F' R2 D' U L' R2
D2 F' R2 D' U R2 L'
D2 F' R2 B2 U L' D
D2 F' R2 B2 U L' D'
D2 F' R2 B2 U L' D2
D2 F' R2 B2 U D L'
D2 F' R2 B2 U D' L'
D2 F' R2 B2 U D2 L'
D2 F' R2 B2 D U L'
D2 F' R2 B2 D' U L'
D2 F' R2 B2 D2 U L'
D2 F' U L' D' R2 F2
D2 F' U L' D' F2 R2
D' F' U L' D2 F2 R
D2 F' U D' L' R2 F2
D2 F' U D' L' F2 R2
D2 F' U D' R2 L' F2
D' F' U D2 L' R2 F2
D' F' U D2 L' F2 R2
D' F' U D2 R2 L' F2
D' F' U' L2 B2 R' U2
D F' U L F' L2 R2
D F' U L F' R2 L2
D F' U L' F R2 F2
D F' U L' F' R2 D
D F' U L' F' R2 D'
D F' U L' F' R2 D2
D F' U L' F2 R2 F
D F' U L2 F' L R2
D F' U L2 F' R2 L
D' F' U' B2 L2 U2 L
R' F' U2 L2 F' U' L
R2 F' U2 L2 F' U' L
D2 F' D' U L' R2 F2
D2 F' D' U L' F2 R2
R F' U2 L2 F' U' L
D2 F' D' U R2 L' F2
D' F' D' R2 B2 U L'
D' F' D' B2 R2 U L'
R' F' D2 R2 B U L'
D F' D B2 U L' F'
D' F' D2 U L' R2 F2
D' F' D2 U L' F2 R2
D' F' D2 U R2 L' F2
R2 F' D2 R2 B U L'
D2 F' B' R2 B' U L'
R F' D2 R2 B U L'
D F' B U L' F' R2
D2 F' B2 R2 U L' D
D2 F' B2 R2 U L' D'
D2 F' B2 R2 U L' D2
D2 F' B2 R2 U D L'
D2 F' B2 R2 U D' L'
D2 F' B2 R2 U D2 L'
D2 F' B2 R2 D U L'
D2 F' B2 R2 D' U L'
D2 F' B2 R2 D2 U L'
D2 F' B2 U L' D' F2
D2 F' B2 U D' L' F2
D2 F' B2 D' U L' F2
D F' B' U L' F' R2
D F' B2 U L' F' R2
U2 F2 L' B L' U' L2
U2 F2 L2 U2 F' U L'
U2 F2 L2 D B U' L
U2 F2 L2 D' B U' L
U2 F2 L2 D2 B U' L
U2 F2 L2 B U' L D
U2 F2 L2 B U' L D'
U2 F2 L2 B U' L D2
U2 F2 L2 B U' D L
U2 F2 L2 B U' D' L
U2 F2 L2 B U' D2 L
U2 F2 L2 B D U' L
U2 F2 L2 B D' U' L
U2 F2 L2 B D2 U' L
U2 F2 L2 B' U R' U2
U F2 L' B' L' U' B
L F2 R D' L B' U'
D2 F2 R2 F B2 U L'
D2 F2 R2 B2 F U L'
L2 F2 U2 L2 F U L'
L2 F2 U2 F L2 U L
U2 F2 D B U' L F2
U2 F2 D B U' F2 L
L F2 D' L R B' U'
L F2 D' L B' R U'
L2 F2 D2 R2 B' U' L
L F2 D' R L B' U'
L2 F2 D2 B' R2 U' L
U2 F2 B L2 U' L' D
U2 F2 B L2 U' L' D'
U2 F2 B L2 U' L' D2
U2 F2 B L2 U' D L'
U2 F2 B L2 U' D' L'
U2 F2 B L2 U' D2 L'
U2 F2 B L2 D U' L'
U2 F2 B L2 D' U' L'
U2 F2 B L2 D2 U' L'
U2 F2 B L2 B U' L'
U2 F2 B L2 B' U' L'
U2 F2 B L2 B2 U' L'
B' D2 R2 F' B2 U L'
F' D2 R2 D B U L'
F' D2 R2 D' B U L'
F' D2 R2 D2 B U L'
U2 F2 B U' D L F2
U2 F2 B U' D F2 L
B' D2 R2 B2 F' U L'
U2 F2 B D U' L F2
U2 F2 B D U' F2 L
F' D2 R2 B U L' D
F' D2 R2 B U L' D'
F' D2 R2 B U L' D2
F' D2 R2 B U D L'
F' D2 R2 B U D' L'
F' D2 R2 B U D2 L'
F' D2 R2 B D U L'
F' D2 R2 B D' U L'
F' D2 R2 B D2 U L'
B2 D2 R2 F' B2 U L'
U2 F2 B' L2 U R' U2
U2 F2 B' L2 B2 U' L
B2 D2 R2 B2 F' U L'
D2 F2 B2 R2 F U L'
B D2 R2 F' B2 U L'
U2 F2 B2 L2 B' U' L
B D2 R2 B2 F' U L'
U2 B L F2 L U' L'
B' D2 F R2 B2 U L
B2 D2 F R2 B2 U L
B' D2 F' R2 B2 U L'
U2 B L2 U' L' D R2
U2 B L2 U' D L' R2
U2 B L2 U' D R2 L'
U2 B L2 D U' L' R2
U2 B L2 D U' R2 L'
B D2 F R2 B2 U L
B' D2 F' B2 R2 U L'
B2 D2 F' R2 B2 U L'
U2 B L2 F2 U R U2
B2 D2 F' B2 R2 U L'
B D2 F' R2 B2 U L'
B D2 F' B2 R2 U L'
F' D2 B R2 B U L'
F D2 F2 R2 B U L'
F' D2 B' R2 B U L'
B' D2 B2 R2 F' U L'
F' D2 B2 R2 B U L'
B' D2 B2 F' R2 U L'
B2 D2 B2 R2 F' U L'
B2 D2 B2 F' R2 U L'
U2 B U' D L R2 F2
U2 B U' D L F2 R2
U2 B U' D R2 L F2
U2 B U' D R2 F2 L
B D2 B2 R2 F' U L'
U2 B U' D F2 L R2
U2 B U' D F2 R2 L
B D2 B2 F' R2 U L'
U2 B D U' L R2 F2
U2 B D U' L F2 R2
U2 B D U' R2 L F2
U2 B D U' R2 F2 L
U2 B D U' F2 L R2
U2 B D U' F2 R2 L
U2 B F2 L2 U' L' D
U2 B F2 L2 U' L' D'
U2 B F2 L2 U' L' D2
U2 B F2 L2 U' D L'
U2 B F2 L2 U' D' L'
U2 B F2 L2 U' D2 L'
U2 B F2 L2 D U' L'
U2 B F2 L2 D' U' L'
U2 B F2 L2 D2 U' L'
U2 B F2 L2 B U' L'
U2 B F2 L2 B' U' L'
U2 B F2 L2 B2 U' L'
D B F' U L' F' R2
U2 B F2 U' D L F2
U2 B F2 U' D F2 L
U2 B F2 D U' L F2
U2 B F2 D U' F2 L
F' B U2 L2 F' U' L
U2 B' L2 F2 U R' U2
U2 B' L2 F2 B2 U' L
U2 B' L2 B2 F2 U' L
F' B D2 R2 B U L'
D2 B' R2 F' B' U L'
D2 B' R2 B' F' U L'
U2 B' U' D R2 F2 L'
U2 B' D U' R2 F2 L'
B' F' U2 L2 F' U' L
D2 B' F' R2 B' U L'
F' B' U2 L2 F' U' L
B2 F' U2 L2 F' U' L
B F' U2 L2 F' U' L
U2 B' F2 L2 U R' U2
U2 B' F2 L2 B2 U' L
D B' F' U L' F' R2
B' F' D2 R2 B U L'
F' B' D2 R2 B U L'
B2 F' D2 R2 B U L'
B F' D2 R2 B U L'
U2 B2 L2 F2 B' U' L
U2 B2 L2 B' F2 U' L
D2 B2 R' F' R' U L'
D2 B2 R2 U2 B U' L
D2 B2 R2 D F' U L'
D2 B2 R2 D' F' U L'
D2 B2 R2 D2 F' U L'
D2 B2 R2 F U' R U2
D2 B2 R2 F' U L' D
D2 B2 R2 F' U L' D'
D2 B2 R2 F' U L' D2
D2 B2 R2 F' U D L'
D2 B2 R2 F' U D' L'
D2 B2 R2 F' U D2 L'
D2 B2 R2 F' D U L'
D2 B2 R2 F' D' U L'
D2 B2 R2 F' D2 U L'
D2 B2 D' F' U L' F'
F' B2 U2 L2 F' U' L
D2 B2 F R2 U' R' U2
D2 B2 F U D' F2 L'
D2 B2 F D' U F2 L'
D2 B2 F' R2 U L' D
D2 B2 F' R2 U L' D'
D2 B2 F' R2 U L' D2
D2 B2 F' R2 U D L'
D2 B2 F' R2 U D' L'
D2 B2 F' R2 U D2 L'
D2 B2 F' R2 D U L'
D2 B2 F' R2 D' U L'
D2 B2 F' R2 D2 U L'
D2 B2 F' U L' D' F2
D2 B2 F' U D' L' F2
D2 B2 F' D' U L' F2
D2 B2 F2 R2 F U L'
F' B2 D2 R2 B U L'
U2 B2 F2 L2 B' U' L
D B2 F' U L' F' R2
