U L2 B' R' U'
U L2 R B' R' U'
U L2 R' B' R' U'
U L2 R2 B' R' U'
U L2 D B' R' U'
U L2 D' B' R' U'
U L2 D2 B' R' U'
U L2 B' R' U' D
U L2 B' R' U' D'
U L2 B' R' U' D2
U L2 B' R' D U'
U L2 B' R' D' U'
U L2 B' R' D2 U'
U L2 B' D R' U'
U L2 B' D' R' U'
U L2 B' D2 R' U'
U R L2 B' R' U'
U R' L2 B' R' U'
U R2 L2 B' R' U'
B' U L2 B' R' U'
B2 U L2 B' R' U'
B U L2 B' R' U'
U' F U2 L2 R U'
U' F U2 R L2 U'
U' F' L' F2 R U
D F2 U' F' L' U
U B' L2 R' B' U'
U B' R' L2 B' U'
U B' L2 R' D' B' U'
U B' L2 R' D2 B' U'
U B' L2 R' B' U' D
U B' L2 R' B' U' D'
U B' L2 R' B' U' D2
U B' L2 R' B' D U'
U B' L2 R' B' D' U'
U B' L2 R' B' D2 U'
U B' L2 R2 B' R U'
L2 B' R D2 U' R' B
U B' L2 D R' B' U'
U B' L2 D' R' B' U'
U B' L2 D2 R' B' U'
U B' R L2 B' R2 U'
L' B' U L' B U' L
U B' R' L2 D B' U'
U B' R' L2 D' B' U'
U B' R' L2 D2 B' U'
U B' R' L2 B' U' D
U B' R' L2 B' U' D'
U B' R' L2 B' U' D2
U B' R' L2 B' D U'
U B' R' L2 B' D' U'
U B' R' L2 B' D2 U'
L' B' U B L' U' L2
U B' R' B L2 B' U'
U B' R' B' L2 B' U'
U B' R' B2 L2 B' U'
U B' R2 L2 B' R U'
U2 B' U' L2 B' R' U'
L2 B' D F' R U' R'
L2 B' D2 R' U' B R
D B' F2 U' F' L' U
U B2 L2 B R' B2 U'
U B2 L2 B' U2 L U
U2 B2 U' L2 B' R' U'
L2 B2 D' B R' U' R
D B2 F2 U' F' L' U
