L2 R F U R2 B2
L2 R F U B2 R2
D L2 R F U R2
R L2 F U R2 B2
R L2 F U B2 R2
D R L2 F U R2
R U2 B' U' R2 B'
R U2 B' U' B' R2
R D L2 F B2 U
R D L2 B2 F U
R B' U' B' R2 F'
R' B2 U' R2 F' U
R U R2 B2 U B U'
R' U D' R2 B' U' F2
R' U D' B' R2 U' F2
U' R L2 F U R2 B2
U' R L2 F U B2 R2
D R L2 D F B2 U
D R L2 D B2 F U
U2 R L2 F U R2 B2
U2 R L2 F U B2 R2
D R L2 F U R2 D
D R L2 F U R2 D'
D R L2 F U R2 D2
D R L2 F D B2 U
D R L2 F B U R2
D R L2 F B' U R2
D R L2 F B2 U R2
D R L2 B F U R2
D R L2 B' F U R2
U R L2 F U R2 B2
U R L2 F U B2 R2
D R L2 B2 F U R2
D' R U2 R B' U' R
D' R U2 B' R U' R
R' U B' U' D' F2 B'
R' U B' U' D' B' F2
U' R U2 B' U' R2 B'
U' R U2 B' U' B' R2
R' U B' U' B' D' F2
R' U B' U2 R2 U B'
R' U B' D' U' F2 B'
R' U B' D' U' B' F2
U2 R U2 B' U' R2 B'
U2 R U2 B' U' B' R2
U' R D L2 F B2 U
U' R D L2 B2 F U
U2 R D L2 F B2 U
U2 R D L2 B2 F U
U R U2 B' U' R2 B'
U R U2 B' U' B' R2
U R D L2 F B2 U
U R D L2 B2 F U
R U B2 R2 U' F' U
R U B2 U B U' R2
R' U' L2 R2 F U B2
D R F L2 F U R2
R' U' L2 F R2 U B2
D R F' L2 F U R2
L2 U' R F U R2 B2
L2 U' R F U B2 R2
D R F2 L2 F U R2
R' U' R2 L2 F U B2
R' U' R2 U2 B' U' B'
R' U' R2 D L2 F U
U' R B' U' B' R2 F'
U2 R B' U' B' R2 F'
U R B' U' B' R2 F'
D R' L2 F R2 U R2
D R' U' L2 R2 F U
D R' U' L2 F R2 U
D R' U' R2 L2 F U
R U' B' U' R2 F' B'
R U' B' U' R2 B' F'
L2 U2 R F U R2 B2
L2 U2 R F U B2 R2
R U2 R B' U' R B'
R U2 R B' U' B' R
U' R' B2 U' R2 F' U
F2 R' B2 U L' B U'
F2 R' B2 U B L' U'
U2 R' B2 U' R2 F' U
U R' B2 U' R2 F' U
R U2 D' R2 F2 B' U'
R U2 D' R2 B' F2 U'
R U2 D' F2 R2 B' U'
R U2 D' F2 B' R2 U'
R U2 D' B' R2 F2 U'
R U2 D' B' F2 R2 U'
R U2 F B' U' R2 B'
R U2 F B' U' B' R2
R U2 F' B' U' R2 B'
R U2 F' B' U' B' R2
R U2 F2 B' U' R2 B'
R U2 F2 B' U' B' R2
R U2 B' R U' R B'
R U2 B' R U' B' R
R U2 B' R' U' R' B'
R U2 B' U' R B' R
R U2 B' U' R2 D B'
R U2 B' U' R2 D' B'
R U2 B' U' R2 D2 B'
R U2 B' U' R2 B' D
R U2 B' U' R2 B' D'
R U2 B' U' R2 B' D2
R U2 B' U' B R2 B2
R U2 B' U' B' R2 D
R U2 B' U' B' R2 D'
R U2 B' U' B' R2 D2
R U2 B' D' F2 U' B'
R U2 B' F U' R2 B'
R U2 B' F U' B' R2
R U2 B' F' U' R2 B'
R U2 B' F' U' B' R2
R U2 B' F2 U' R2 B'
R U2 B' F2 U' B' R2
R2 D L2 R' F U R2
R D L' B2 L' F U
R D L2 D' F U R2
R D L2 F U D' R2
R D L2 F D' U R2
R D L2 F B2 U D
R D L2 F B2 U D'
R D L2 F B2 U D2
R D L2 F B2 D U
R D L2 F B2 D' U
R D L2 F B2 D2 U
L2 D R F L2 U R2
R D L2 B2 D F U
R D L2 B2 D' F U
R D L2 B2 D2 F U
R D L2 B2 F U D
R D L2 B2 F U D'
R D L2 B2 F U D2
R D L2 B2 F D U
R D L2 B2 F D' U
R D L2 B2 F D2 U
R2 D R' L2 F U R2
D' R2 B' U' D' R F'
D' R2 B' D' U' R F'
D' R2 B2 L B U' R
U' D L2 R F U R2
U2 D L2 R F U R2
R D F L2 F B2 U
R D F L2 B2 F U
D U L2 R F U R2
U' D R L2 F U R2
U D L2 R F U R2
R D F' L2 F B2 U
U2 D R L2 F U R2
R D F' L2 B2 F U
D U R L2 F U R2
U D R L2 F U R2
R D F2 L2 F B2 U
R D F2 L2 B2 F U
R D B2 L2 U2 B U'
R' D' R2 B' U' R2 F2
R' D' R2 B' U' F2 R2
R' D' U R2 B' U' F2
R' D' U B' R2 U' F2
D U' L2 R F U R2
D U' R L2 F U R2
R D' U2 R2 F2 B' U'
R D' U2 R2 B' F2 U'
R D' U2 F2 R2 B' U'
R D' U2 F2 B' R2 U'
R D' U2 B' R2 F2 U'
R D' U2 B' F2 R2 U'
R' D' F2 U R2 B' U'
R' D' F2 U B' R2 U'
R' D' F2 B D L2 B2
R' D' F2 B D B2 L2
R' D' B F2 D L2 B2
R' D' B F2 D B2 L2
R' D' B' R2 U' R2 F2
R' D' B' R2 U' F2 R2
L' D2 R F' U R2 B
B' U' B R' B2 D' F2
D U2 L2 R F U R2
D U2 R L2 F U R2
B' U2 R U B R' B2
B' U2 R B U R' B2
R F L2 F U R2 B2
R F L2 F U B2 R2
B' U2 B R U R2 B2
B' U2 B R U B2 R2
F' D L2 F R U R2
R F U2 B' U' R2 B'
R F U2 B' U' B' R2
R F D L2 F B2 U
R F D L2 B2 F U
R' F B2 U' R2 F' U
R F B' U' B' R2 F'
D F' L2 F R U R2
R F' L2 F U R2 B2
R F' L2 F U B2 R2
L F' U' R' F' L' B2
L F' U' R' F' B2 L'
L F' U' R' B2 F' L'
R F' U2 B' U' R2 B'
R F' U2 B' U' B' R2
R F' D L2 F B2 U
R F' D L2 B2 F U
F2 D' R2 B' L' U' R
R' F' B2 U' R2 F' U
R F' B' U' B' R2 F'
R F2 L2 F U R2 B2
R F2 L2 F U B2 R2
D' F2 R2 B' L' U' R
R F2 U2 B' U' R2 B'
R F2 U2 B' U' B' R2
R F2 D L2 F B2 U
R F2 D L2 B2 F U
R' F2 B2 U' R2 F' U
R F2 B' U' B' R2 F'
R' B D L2 D2 F2 B
R' B D L2 D2 B F2
R' B D B' L2 F B2
R' B D B' L2 B2 F
R' B D' F2 D2 L2 B
R' B D' F2 D2 B L2
R' B D' F2 B D2 L2
R' B D' B F2 D2 L2
R B U2 B2 U' R2 B'
R B U2 B2 U' B' R2
R B D B2 U B' L2
R' B' R2 U' B' R2 F'
R2 B' U' D' R F' B'
R2 B' U' D' R B' F'
R2 B' U' D' B' R F'
R B' U R2 D2 B' L2
R B' U R2 B' D2 L2
R B' U B' R2 D2 L2
R B' U' F B' R2 F'
R B' U' F' B' R2 F'
R B' U' F2 B' R2 F'
R B' U' B' R2 D F'
R B' U' B' R2 D' F'
R B' U' B' R2 D2 F'
R B' U' B' R2 F' D
R B' U' B' R2 F' D'
R B' U' B' R2 F' D2
R B' U' B' F R2 F'
R B' U' B' F' R2 F'
R B' U' B' F2 R2 F'
R2 B' D' U' R F' B'
R2 B' D' U' R B' F'
R2 B' D' U' B' R F'
B' F' U' B R' F' B2
B' F' U' B R' B2 F'
F' B' U' B R' F' B2
F' B' U' B R' B2 F'
R' B2 L U' R2 F' U
R B' F U' B' R2 F'
R' B2 L' U' R2 F' U
R B' F' U' B' R2 F'
R' B2 L2 U' R2 F' U
R2 B2 L B U' R B'
R2 B2 L B U' B' R
R B' F2 U' B' R2 F'
R' B2 U D' B U' F2
R' B2 U D2 L2 B U'
R' B2 U D2 B L2 U'
R' B2 U B U' D' F2
R' B2 U B U2 R2 U
R' B2 U B D' U' F2
R' B2 U B D2 L2 U'
R' B2 U' R2 D F' U
R' B2 U' R2 D' F' U
R' B2 U' R2 D2 F' U
R' B2 U' R2 F' U D
R' B2 U' R2 F' U D'
R' B2 U' R2 F' U D2
R' B2 U' R2 F' D U
R' B2 U' R2 F' D' U
R' B2 U' R2 F' D2 U
R' B2 U' F R2 F' U
R2 B2 U L B U' R
R' B2 U' F' R2 F' U
R' B2 U' F2 R2 F' U
R B2 R2 U' F' R2 U
R B2 R2 F D' L2 F2
R B2 R2 F D' F2 L2
R' B2 D' U B U' F2
R' B2 D' F2 U B U'
R' B2 D2 U L2 B U'
R' B2 D2 U B L2 U'
R' B2 F U' R2 F' U
R' B2 F' U' R2 F' U
R' B2 F2 U' R2 F' U
