U B' U2 B' R'
L2 R' F' U' F2 B2
L2 R' F' U' B2 F2
R' L2 F' U' F2 B2
R' L2 F' U' B2 F2
R' L2 F' U' B2 F2
U L2 F R B2 L
L2 U F R B2 L
L2 U' F B' R' B'
L2 U' B' R' F B'
L2 U' B' R' B' F
L2 U' B' F R' B'
F' U B' U2 B' R'
F2 U B' U2 B' R'
F U B' U2 B' R'
B' U' B U' B2 R'
U F B' U2 R B'
R' F' L2 U' F B2
U F B' U2 B' R
R' F' L2 U' B2 F
R' F' U B' U2 B'
U' B' R B' R2 F'
U B' L2 F U2 R
U B' U2 R B' R'
U B' U2 R' B' R'
U B' U2 R2 B' R'
U B' U2 D B' R'
U B' U2 D' B' R'
U B' U2 D2 B' R'
U B' U2 B' R' D
U B' U2 B' R' D'
U B' U2 B' R' D2
U B' U2 B' R' D2
U B' U2 B' D R'
U B' U2 B' D' R'
U B' U2 B' D2 R'
U B' D U2 B' R'
U B' D' U2 B' R'
U B' D2 U2 B' R'
U B' F U2 R B'
U B' F U2 B' R
U' B2 R2 D2 F' R
U' B2 U2 B U2 R'
U' B2 U2 B U2 R'
U' B2 D2 R2 F' R
F L2 U' B' F R' B'
U' L2 U2 F L2 R B2
U' L2 U2 F L2 B2 R
U' L2 U2 F R L2 B2
U' L2 U2 F R B2 L2
U' L2 U2 F B2 L2 R
U' L2 U2 F B2 R L2
U' L2 U2 B2 F L2 R
U' L2 U2 B2 F R L2
U L2 U2 F B' R' B'
U L2 U2 B' R' F B'
U L2 U2 B' R' B' F
U L2 U2 B' F R' B'
R' L2 B2 F D L2 R2
R' L2 B2 F D R2 L2
L' U L B' U2 B' R'
L' U L' F R B2 L
U' L2 F L2 B' R' B'
U L2 D2 F2 U2 F' R
U L2 F L R B2 L
U L2 F L' R B2 L
U L2 F L2 R B2 L
U L2 F R L B2 L
U L2 F R L' B2 L
U L2 F R L2 B2 L
U' L2 F B' R' B' L2
U L2 F R B2 L D
U L2 F R B2 L D'
U L2 F R B2 L D2
U L2 F R B2 D L
U L2 F R B2 D' L
U L2 F R B2 D2 L
L2 U L2 B' U2 B' R'
U L2 F' L' U2 F2 B2
U L2 F' L' U2 B2 F2
U L2 F' U2 F2 R B2
U L2 F' U2 F2 B2 R
U L2 F' U2 B2 F2 R
L2 U R F B2 L R
L2 U R F B2 R L
L2 U R B2 F L R
L2 U R B2 F R L
U L2 F2 U2 F' R B2
U L2 F2 U2 F' B2 R
U L2 F2 U2 B2 F' R
U' L2 B' R' F B' L2
U' L2 B' R' B' F L2
U' L2 B' F R' B' L2
U L2 B' U2 F B' R'
U L2 B' U2 B' R' F
U L2 B' U2 B' F R'
L2 U D2 F2 U2 F' R
L2 U F L R B2 L
L2 U F L' R B2 L
L2 U F L2 R B2 L
L2 U F R L B2 L
L2 U F R L' B2 L
L2 U F R L2 B2 L
U R L B2 L F R
L2 U F R B2 L D
L2 U F R B2 L D'
L2 U F R B2 L D2
L2 U F R B2 D L
L2 U F R B2 D' L
L2 U F R B2 D2 L
L' U F' L' U2 F B2
L' U F' L' U2 B2 F
L2 U F' L' U2 F2 B2
L2 U F' L' U2 B2 F2
U R L2 F B2 L R
U R L2 F B2 R L
L2 U F' U2 F2 R B2
L2 U F' U2 F2 B2 R
L2 U F' U2 B2 F2 R
U R L2 B2 F L R
U R L2 B2 F R L
L2 U F2 U2 F' R B2
L2 U F2 U2 F' B2 R
L2 U F2 U2 B2 F' R
U2 R U' B' U2 B' R'
D R U2 L2 B U F
R' U B' U' F' U' B'
U' R U2 B' U2 B' R'
L2 U B' U2 F B' R'
L2 U B' U2 B' R' F
L2 U B' U2 B' F R'
R U B' U B2 U B
R U B' U2 D' R2 B'
R U B' U2 D' B' R2
R U B' D L2 F U2
R U B' D' U2 R2 B'
R U B' D' U2 B' R2
L2 U' R F B' R' B'
L2 U' R B' R' F B'
L2 U' R B' R' B' F
L2 U' R B' F R' B'
L2 U' R' F B' R' B'
L2 U' R' B' R' F B'
L2 U' R' B' R' B' F
L2 U' R' B' F R' B'
U' R B' R B' R2 F'
L2 U' R2 F B' R' B'
L2 U' R2 B' R' F B'
L2 U' R2 B' R' B' F
L2 U' R2 B' F R' B'
U' R B2 R2 D2 F' R
U R B' U2 B' L R'
U R B' U2 B' R' L
U' R B2 U2 B U2 R'
U' R B2 D2 R2 F' R
L2 U' F R B' R' B'
L2 U' F R' B' R' B'
L2 U' F R2 B' R' B'
R' U' F B2 D R2 F'
D' R' L2 F' R' U' F2
L2 U' F B' R B' R2
L2 U' F B' R' D B'
L2 U' F B' R' D' B'
L2 U' F B' R' D2 B'
L2 U' F B' R' B' D
L2 U' F B' R' B' D'
L2 U' F B' R' B' D2
L2 U' F B' R2 B' R
L2 U' F B' D R' B'
L2 U' F B' D' R' B'
F' R' L2 F' U' F2 B2
L2 U' F B' D2 R' B'
F' R' L2 F' U' B2 F2
F2 R' L2 F' U' F2 B2
F2 R' L2 F' U' B2 F2
F R' L2 F' U' F2 B2
F R' L2 F' U' B2 F2
L2 U' F' B' R' F2 B'
L2 U' F' B' R' B' F2
B2 R' U F' L' B2 U'
B2 R' U F' B2 L' U'
B2 R' U B2 F' L' U'
L2 U' F2 B2 D2 F' R
U2 R' U' B' U2 B' R'
U' R' U2 B' U2 B' R'
L2 U' B' R F R2 B'
L2 U' B' R F B' R2
L2 U' B' R B' R2 F
L2 U' B' R B' F R2
L2 U' B' R' D F B'
L2 U' B' R' D B' F
L2 U' B' R' D' F B'
L2 U' B' R' D' B' F
L2 U' B' R' D2 F B'
L2 U' B' R' D2 B' F
L2 U' B' R' F D B'
L2 U' B' R' F D' B'
L2 U' B' R' F D2 B'
L2 U' B' R' F B' D
L2 U' B' R' F B' D'
L2 U' B' R' F B' D2
L2 U' B' R' B' D F
L2 U' B' R' B' D' F
L2 U' B' R' B' D2 F
L2 U' B' R' B' F D
L2 U' B' R' B' F D'
L2 U' B' R' B' F D2
L2 U' B' R2 B' R F
L2 U' B' D R' F B'
L2 U' B' D R' B' F
L2 U' B' D F R' B'
L2 U' B' D' R' F B'
L2 U' B' D' R' B' F
L2 U' B' D' F R' B'
L2 U' B' D2 R' F B'
L2 U' B' D2 R' B' F
L2 U' B' D2 F R' B'
L2 U' B' F R B' R2
L2 U' B' F R' D B'
L2 U' B' F R' D' B'
L2 U' B' F R' D2 B'
L2 U' B' F R' B' D
L2 U' B' F R' B' D'
L2 U' B' F R' B' D2
L2 U' B' F R2 B' R
L2 U' B' F D R' B'
L2 U' B' F D' R' B'
L2 U' B' F D2 R' B'
L2 U' B' F' R' F2 B'
L2 U' B' F' R' B' F2
R U' B' D' B' R2 F'
R' U' B2 F D R2 F'
L' U' B2 D2 R F' R
L' U' B2 D2 F' R F'
L2 U' B2 D2 F' R F2
R2 U' B2 D' R2 F' R
L2 U' B2 F2 D2 F' R
L' U2 L' B' U F B'
L' U2 L' B' U B' F
D' R' F' L2 R' U' F
F' R' F' L2 U' F B2
D' R' F' R' L2 U' F
F' R' F' L2 U' B2 F
D' R' F' R' U B' U2
D2 R' F' U F' B' U2
D2 R' F' U B' F' U2
F2 R' F' L2 U' F B2
F2 R' F' L2 U' B2 F
F' R' F' U B' U2 B'
F2 R' F' U B' U2 B'
F R' F' L2 U' F B2
F R' F' L2 U' B2 F
D R' F' U2 L2 U F
R U2 L2 B U F B
R U2 L2 B U B F
F R' F' U B' U2 B'
U' R' B' R B' R2 F'
U R' B' R U2 B' R'
U' R' B2 R2 D2 F' R
U' R' B2 U2 B U2 R'
R U2 D L2 B U F
U' R' B2 D2 R2 F' R
D' R2 U D B' L U2
U2 R2 U' B' U2 B' R'
U' R2 U2 B' U2 B' R'
R U2 B U D2 F2 B
R U2 B U D2 B F2
R U2 B U' B2 U2 B'
L2 U2 B' U F B' R'
B2 R2 D L2 D2 F' R
D' R2 D U B' L U2
L2 U2 B' U B' R' F
L2 U2 B' U B' F R'
R U2 B D2 U F2 B
R U2 B D2 U B F2
B2 R2 D' F' D2 L2 R
B2 R2 D' F' D2 R L2
D' R2 D2 L2 U' F R
U' R2 B' R B' R2 F'
U' R2 B2 R2 D2 F' R
U' R2 B2 U2 B U2 R'
U R2 B' R2 U2 B' R'
U' R2 B2 D2 R2 F' R
R D U2 L2 B U F
U2 D L' B' L' U F
R' D F' U2 L2 U F
F' U L2 F R B2 L
D2 U L2 F2 U2 F' R
F2 U L2 F R B2 L
F U L2 F R B2 L
D2 U F' B' L' F' U2
D2 U F2 D2 B' L U2
R' D' L2 F' R2 U' F2
F' U F B' U2 R B'
F' U F B' U2 B' R
F2 U F B' U2 R B'
F2 U F B' U2 B' R
R D' L2 R2 F' U' F2
F U F B' U2 R B'
F U F B' U2 B' R
D2 U B' F' L' F' U2
L2 D' R' F' R' U' F2
F' U B' L2 F U2 R
F2 U B' L2 F U2 R
F' U B' U2 R B' R'
F' U B' U2 R' B' R'
F' U B' U2 R2 B' R'
F' U B' U2 D B' R'
F' U B' U2 D' B' R'
F' U B' U2 D2 B' R'
F' U B' U2 B' R' D
F' U B' U2 B' R' D'
F' U B' U2 B' R' D2
F' U B' U2 B' D R'
F' U B' U2 B' D' R'
F' U B' U2 B' D2 R'
F' U B' D U2 B' R'
F' U B' D' U2 B' R'
F' U B' D2 U2 B' R'
F' U B' F U2 R B'
F' U B' F U2 B' R
F2 U B' U2 R B' R'
F2 U B' U2 R' B' R'
F2 U B' U2 R2 B' R'
F2 U B' U2 D B' R'
F2 U B' U2 D' B' R'
F2 U B' U2 D2 B' R'
F2 U B' U2 B' R' D
F2 U B' U2 B' R' D'
F2 U B' U2 B' R' D2
F2 U B' U2 B' D R'
F2 U B' U2 B' D' R'
F2 U B' U2 B' D2 R'
F2 U B' D U2 B' R'
F2 U B' D' U2 B' R'
F2 U B' D2 U2 B' R'
R D' R2 L2 F' U' F2
F2 U B' F U2 R B'
F2 U B' F U2 B' R
F U B' L2 F U2 R
R D' R2 F' L2 U' F
R D' R2 F' U B' U2
F U B' U2 R B' R'
F U B' U2 R' B' R'
F U B' U2 R2 B' R'
F U B' U2 D B' R'
F U B' U2 D' B' R'
F U B' U2 D2 B' R'
F U B' U2 B' R' D
F U B' U2 B' R' D'
F U B' U2 B' R' D2
F U B' U2 B' D R'
F U B' U2 B' D' R'
F U B' U2 B' D2 R'
F U B' D U2 B' R'
D2 U' L2 F L2 B' R'
F U B' D' U2 B' R'
F U B' D2 U2 B' R'
F U B' F U2 R B'
F U B' F U2 B' R
R' D' F' L2 R2 U' F
R' D' F' R2 L2 U' F
R' D' F' R2 U B' U2
B' U' D B U' B2 R'
D2 U' B D2 F2 B2 R'
D2 U' B D2 B2 R' F2
D2 U' B D2 B2 F2 R'
B' U' D' B U' B2 R'
B' U' D2 B U' B2 R'
B' U' F B U' B2 R'
B' U' F' B U' B2 R'
B' U' F2 B U' B2 R'
B' U' B R U' B2 R'
B' U' B R' U' B2 R'
U' D2 L2 F L2 B' R'
B' U' B R2 U' B2 R'
B' U' B U L U2 B2
B' U' B U' R B2 R'
B' U' B U' R' B2 R'
B' U' B U' R2 B2 R'
B' U' B U' B2 R' D
B' U' B U' B2 R' D'
B' U' B U' B2 R' D2
B' U' B U' B2 D R'
B' U' B U' B2 D' R'
B' U' B U' B2 D2 R'
B' U' B F U' B2 R'
B' U' B F' U' B2 R'
D U2 L' B' L' U F
B' U' B F2 U' B2 R'
F' U' B' R B' R2 F'
F2 U' B' R B' R2 F'
U D2 L2 F2 U2 F' R
F' U' B2 R2 D2 F' R
L2 D2 U F2 U2 F' R
F' U' B2 U2 B U2 R'
F2 U' B2 R2 D2 F' R
F U' B' R B' R2 F'
F' U' B2 D2 R2 F' R
F2 U' B2 U2 B U2 R'
F2 U' B2 D2 R2 F' R
F U' B2 R2 D2 F' R
F U' B2 U2 B U2 R'
F U' B2 D2 R2 F' R
R' D2 F' U F' B' U2
R' D2 F' U B' F' U2
U D2 F' B' L' F' U2
U' D2 B D2 F2 B2 R'
U' D2 B D2 B2 R' F2
U' D2 B D2 B2 F2 R'
U D2 F2 D2 B' L U2
U D2 B' F' L' F' U2
U F L R B2 L F
D2 F L2 U' F B' R'
D2 F L2 U' B' R' F
D2 F L2 U' B' F R'
R' F L2 F2 U' F' B2
R' F L2 F2 U' B2 F'
U F L2 R F B2 L
U F L2 R B2 F L
U F L2 U2 R F B2
U F L2 U2 R B2 F
U F L2 U2 B2 R F
U F R L B2 L F
U F R L2 F B2 L
U F R L2 B2 F L
L2 F R' F' U' F B2
L2 F R' F' U' B2 F
D2 F U F B' U2 R
D2 F U B' F U2 R
R' F U' B2 D R2 F'
U' F U2 B' U2 B' R'
B2 D L2 R2 D' F' R
U F U2 R' B2 R2 F'
U F U2 B2 R2 F' R'
U' F B' R B' R2 F'
B2 D R2 L2 D' F' R
U F D2 F2 B' L' U2
U F D2 B' F2 L' U2
U' F B2 R2 D2 F' R
U' F B2 U2 B U2 R'
R' F B2 D L2 R2 F'
R' F B2 D R2 L2 F'
U' F B2 D2 R2 F' R
R' F B2 D R2 F' L2
U F B' L U2 R B
B' D U' B U' B2 R'
U F B' U2 R D B'
U F B' U2 R D' B'
U F B' U2 R D2 B'
U F B' U2 R B' D
U F B' U2 R B' D'
U F B' U2 R B' D2
U F B' U2 R' B' R2
U F B' U2 D R B'
U F B' U2 D B' R
U F B' U2 D' R B'
U F B' U2 D' B' R
U F B' U2 D2 R B'
U F B' U2 D2 B' R
U F B' U2 B R B2
U F B' U2 B' R D
U F B' U2 B' R D'
U F B' U2 B' R D2
U F B' U2 B' D R
U F B' U2 B' D' R
U F B' U2 B' D2 R
U F B' D U2 R B'
U F B' D U2 B' R
U F B' D' U2 R B'
U F B' D' U2 B' R
U F B' D2 U2 R B'
U F B' D2 U2 B' R
R' F' L2 R U' F B2
R' F' L2 R U' B2 F
R' F' L2 R' U' F B2
R' F' L2 R' U' B2 F
R' F' L2 R2 U' F B2
R' F' L2 R2 U' B2 F
R' F' L2 U' F B2 D
R' F' L2 U' F B2 D'
R' F' L2 U' F B2 D2
R' F' L2 U' B2 D F
R' F' L2 U' B2 D' F
R' F' L2 U' B2 D2 F
R' F' L2 U' B2 F D
R' F' L2 U' B2 F D'
R' F' L2 U' B2 F D2
R' F' L2 D' R2 U' F
R' F' R L2 U' F B2
R' F' R L2 U' B2 F
R' F' R U B' U2 B'
R' F' R' L2 U' F B2
R' F' R' L2 U' B2 F
R' F' R' U B' U2 B'
U F' L2 U2 F B2 R'
U F' L2 U2 B2 R' F
U F' L2 U2 B2 F R'
R' F' R2 L2 U' F B2
R' F' R2 L2 U' B2 F
R' F' R2 U B' U2 B'
L2 F' R' F' U' F' B2
L2 F' R' F' U' B2 F'
R' F' U D2 F2 B' U2
R' F' U D2 B' F2 U2
R' F' U F B' U2 B'
R' F' U F' B' U2 B'
R' F' U F2 B' U2 B'
D2 F' U F' B' L' U2
R' F' U B' U2 D B'
R' F' U B' U2 D' B'
R' F' U B' U2 D2 B'
R' F' U B' U2 B' D
R' F' U B' U2 B' D'
R' F' U B' U2 B' D2
R' F' U B' D U2 B'
R' F' U B' D' U2 B'
R' F' U B' D2 U2 B'
R' F' U B' F U2 B'
R' F' U B' F' U2 B'
R' F' U B' F2 U2 B'
D2 F' U B' F' L' U2
R' F' U' L2 F L2 B2
R' F' U' L2 F B2 L2
R' F' U' L2 B2 F L2
R' F' U' R2 B2 R2 F'
R' F' U' B D2 F2 B
R' F' U' B D2 B F2
R' F' U' B2 R2 F' R2
R' F' U' B2 U2 B U2
R' F' U2 L2 U F B2
R' F' U2 L2 U B2 F
R' F' U2 D L2 U F
L2 F' U' F2 B' R' B'
U' F' U2 B' U2 B' R'
L2 F' U' B' R' F2 B'
L2 F' U' B' R' B' F2
L2 F' U' B' F2 R' B'
R' F' D U2 L2 U F
R' F' D' L2 R2 U' F
R' F' D' R2 L2 U' F
R' F' D' R2 U B' U2
R' F' D2 U F2 B' U2
R' F' D2 U B' F2 U2
U' F' B' R B' R2 F'
U F' D2 F2 B' U2 R
U' F' B2 R2 D2 F' R
U F' D2 B' L' F2 U2
U F' D2 B' F2 U2 R
U' F' B2 U2 B U2 R'
U F' B L' B2 U2 B'
U' F' B2 D2 R2 F' R
U F' B' L2 F L U2
B' D' U' B U' B2 R'
U F' B2 L' B U2 B'
L2 F2 U' F' B' R' B'
U' F2 U2 B' U2 B' R'
L2 F2 U' B' F' R' B'
L2 F2 U' B2 D2 F' R
U F2 U2 B2 R2 F' R
U' F2 B' R B' R2 F'
B2 D2 R2 D' L2 F' R
B2 D2 R2 D' F' L2 R
B2 D2 R2 D' F' R L2
U' F2 B2 R2 D2 F' R
U F2 D2 F2 B' L U2
U F2 D2 B' L F2 U2
U' F2 B2 U2 B U2 R'
U F2 D2 B' F2 L U2
U' F2 B2 D2 R2 F' R
B' D2 U' B U' B2 R'
U F2 B' L2 F L' U2
U' B L B2 U2 B' L'
U B L B2 U2 B' R'
U B L' B2 U2 B' R'
U B L2 B2 U2 B' R'
U' B U2 L B2 U2 B'
U' B U2 B2 U2 R' B'
U2 B U' B2 U2 B' R'
U' B D2 F2 B2 R' B'
U' B D2 B2 R' F2 B'
U' B D2 B2 R' B' F2
U' B D2 B2 F2 R' B'
U B F' L' B2 U2 B'
B' F U' B U' B2 R'
U' B' L' U2 L R' B'
U' B' L' U2 R' L B'
U' B' L2 U2 L2 R' B'
U' B' L2 U2 R' L2 B'
U' B' L2 F U2 L2 R'
U' B' L2 F U2 R' L2
U B' L F U2 R B
U B' L F' L' U2 B'
U' B' R F B' R2 F'
U' B' R F' B' R2 F'
U' B' R F2 B' R2 F'
U' B' R B' R2 D F'
U' B' R B' R2 D' F'
U' B' R B' R2 D2 F'
U' B' R B' R2 F' D
U' B' R B' R2 F' D'
U' B' R B' R2 F' D2
U' B' R B' F R2 F'
U' B' R B' F' R2 F'
U' B' R B' F2 R2 F'
U B' L' F' L' F U2
U' B' R' B' R2 F' R2
U' B' R' B' U2 B U2
U B' L2 D F U2 R
U' B' R' B2 D2 F2 B
U' B' R' B2 D2 B F2
U B' L2 D' F U2 R
U B' L2 D2 F U2 R
U B' L2 F L U2 R
U B' L2 F L' U2 R
U B' L2 F L2 U2 R
U B' L2 F U2 R D
U B' L2 F U2 R D'
U B' L2 F U2 R D2
U B' L2 F U2 D R
U B' L2 F U2 D' R
U B' L2 F U2 D2 R
U B' L2 F D U2 R
U B' L2 F D' U2 R
U B' L2 F D2 U2 R
U B' L2 F' L' F2 U2
U' B' R2 B' R2 F' R'
R' B' U' F' B U' B2
R' B' U' B F' U' B2
U' B' D R B' R2 F'
U B' U' R' F' U' B'
U B' U' F U' B' R'
U' B' D' R B' R2 F'
U B' U' F' U' B' R'
U B' U' F2 U' B' R'
U B' U2 R D B' R'
U B' U2 R D' B' R'
U B' U2 R D2 B' R'
U B' U2 R B' R' D
U B' U2 R B' R' D'
U B' U2 R B' R' D2
U B' U2 R B' D R'
U B' U2 R B' D' R'
U B' U2 R B' D2 R'
U B' U2 R' D B' R'
U B' U2 R' D' B' R'
U B' U2 R' D2 B' R'
U B' U2 R' B' R' D
U B' U2 R' B' R' D'
U B' U2 R' B' R' D2
U B' U2 R' B' D R'
U B' U2 R' B' D' R'
U B' U2 R' B' D2 R'
U B' U2 R2 D B' R'
U B' U2 R2 D' B' R'
U B' U2 R2 D2 B' R'
U B' U2 R2 B' R' D
U B' U2 R2 B' R' D'
U B' U2 R2 B' R' D2
U B' U2 R2 B' D R'
U B' U2 R2 B' D' R'
U B' U2 R2 B' D2 R'
U B' U2 D R B' R'
U B' U2 D R' B' R'
U B' U2 D R2 B' R'
U B' U2 D B' R' D
U B' U2 D B' R' D'
U B' U2 D B' R' D2
U B' U2 D B' D R'
U B' U2 D B' D' R'
U B' U2 D B' D2 R'
U B' U2 D' R B' R'
U B' U2 D' R' B' R'
U B' U2 D' R2 B' R'
U B' U2 D' B' R' D
U B' U2 D' B' R' D'
U B' U2 D' B' R' D2
U B' U2 D' B' D R'
U B' U2 D' B' D' R'
U B' U2 D' B' D2 R'
U B' U2 D2 R B' R'
U B' U2 D2 R' B' R'
U B' U2 D2 R2 B' R'
U B' U2 D2 B' R' D
U B' U2 D2 B' R' D'
U B' U2 D2 B' R' D2
U B' U2 D2 B' D R'
U B' U2 D2 B' D' R'
U B' U2 D2 B' D2 R'
U' B' D2 R B' R2 F'
U B' U2 F' B' R' F
U B' U2 F2 B' R' F2
U B' U2 B R B2 R'
U B' U2 B R' B2 R'
U B' U2 B R2 B2 R'
U B' U2 B' R2 D R
U B' U2 B' R2 D' R
U B' U2 B' R2 D2 R
U B' U2 B' D R' D
U B' U2 B' D R' D'
U B' U2 B' D R' D2
U B' U2 B' D' R' D
U B' U2 B' D' R' D'
U B' U2 B' D' R' D2
U B' U2 B' D2 R' D
U B' U2 B' D2 R' D'
U B' U2 B' D2 R' D2
U B' U2 B' F' R' F
U B' U2 B' F2 R' F2
U B' D L2 F U2 R
U B' D U2 R B' R'
U B' D U2 R' B' R'
U B' D U2 R2 B' R'
U B' D U2 B' R' D
U B' D U2 B' R' D'
U B' D U2 B' R' D2
U B' D U2 B' D R'
U B' D U2 B' D' R'
U B' D U2 B' D2 R'
U B' D F U2 R B'
U' B' F R B' R2 F'
U B' D F U2 B' R
U B' D' L2 F U2 R
B' F' U' B U' B2 R'
U' B' F' R B' R2 F'
U B' D' U2 R B' R'
U B' D' U2 R' B' R'
U B' D' U2 R2 B' R'
U B' D' U2 B' R' D
U B' D' U2 B' R' D'
U B' D' U2 B' R' D2
U B' D' U2 B' D R'
U B' D' U2 B' D' R'
U B' D' U2 B' D2 R'
U B' D' F U2 R B'
U B' D' F U2 B' R
F' B' U' B U' B2 R'
U B' D2 L2 F U2 R
F2 B' U' B U' B2 R'
U' B' F2 R B' R2 F'
U B' D2 U2 R B' R'
U B' D2 U2 R' B' R'
U B' D2 U2 R2 B' R'
U B' D2 U2 B' R' D
U B' D2 U2 B' R' D'
U B' D2 U2 B' R' D2
U B' D2 U2 B' D R'
U B' D2 U2 B' D' R'
U B' D2 U2 B' D2 R'
U B' D2 F U2 R B'
U B' D2 F U2 B' R
U B' F L U2 R B
U B' F U2 R D B'
U B' F U2 R D' B'
U B' F U2 R D2 B'
U B' F U2 R B' D
U B' F U2 R B' D'
U B' F U2 R B' D2
U B' F U2 R' B' R2
U B' F U2 D R B'
U B' F U2 D B' R
U B' F U2 D' R B'
U B' F U2 D' B' R
U B' F U2 D2 R B'
U B' F U2 D2 B' R
U B' F U2 B R B2
U B' F U2 B' R D
U B' F U2 B' R D'
U B' F U2 B' R D2
F B' U' B U' B2 R'
U B' F U2 B' D R
U B' F U2 B' D' R
U B' F U2 B' D2 R
U B' F D U2 R B'
U B' F D U2 B' R
U B' F D' U2 R B'
U B' F D' U2 B' R
U B' F D2 U2 R B'
U B' F D2 U2 B' R
U B' F' L2 F L U2
U B' F2 L2 F L' U2
U B2 L B U2 B' R'
U B2 L' B U2 B' R'
U' B2 R' D2 R' F' R
U' B2 R' B R' F' B'
U' B2 R' B R' B' F'
U B2 L2 B U2 B' R'
U' B2 R2 D2 F' R D
U' B2 R2 D2 F' R D'
U' B2 R2 D2 F' R D2
U' B2 R2 D2 F' D R
U' B2 R2 D2 F' D' R
U' B2 R2 D2 F' D2 R
U' B2 R2 F' B R' B'
L2 B2 R' F D L2 R2
L2 B2 R' F D R2 L2
U' B2 R2 B F' R' B'
U' B2 U2 L B U2 R'
U' B2 U2 L' B U2 R'
