F' L' R' B U R'
F' L' D' R' B U
F' L' B U R' F'
F' R' L' B U R'
F' R' B L' U R'
D2 F' L' R' U R2
D' F' L' R' B U
D2 F' R' L' U R2
D' F' R' L' B U
D' F' R' B L' U
F' D' L' R' B U
F' D' R' L' B U
F' D' R' B L' U
F' B L' U R' F'
B F' L' U R' F'
D' F' L' R' D B U
D' F' L' R' D' B U
D' F' L' R' D2 B U
D2 F' L' R' D B2 U
D' F' L' R' B U D
D' F' L' R' B U D'
D' F' L' R' B U D2
D' F' L' R' B D U
D' F' L' R' B D' U
D' F' L' R' B D2 U
D2 F' L' R' B U R2
D2 F' L' R' B' U R2
D2 F' L' R' B2 U R2
D2 F' L' U R D' F2
L' F' L' R' B U R'
D2 F' L' D R' U R2
D F' L R' B' L2 U
D2 F' L' D' R' U R2
D2 F' L' D2 R' U R2
L' F' L' D' R' B U
L2 F' L' R' B U R'
L' F' L' B U R' F'
L2 F' L' D' R' B U
D F' L' R' U2 F U'
L2 F' L' B U R' F'
L F' L' R' B U R'
L F' L' D' R' B U
L F' L' B U R' F'
B D F' L' U R' F'
U' F' R' U R2 B R'
D' F' R' L B L2 U
D2 F' R' L' U R2 D
D2 F' R' L' U R2 D'
D2 F' R' L' U R2 D2
D2 F' R' L' D B2 U
D' F' R' L' D B U
D' F' R' L' D' B U
D' F' R' L' D2 B U
D2 F' R' L' B U R2
D' F' R' L' B U D
D' F' R' L' B U D'
D2 F' R' L' B' U R2
D' F' R' L' B U D2
D' F' R' L' B D U
D' F' R' L' B D' U
D' F' R' L' B D2 U
D2 F' R' L' B2 U R2
L' F' R' L' B U R'
D2 F' R' D L' B2 U
D' F' R' D L' B U
D' F' R' D B L' U
D2 F' R' D B2 L' U
D' F' R' D' L' B U
D' F' R' D' B L' U
D' F' R' D2 L' B U
D' F' R' D2 B L' U
D2 F' R' B L' U R2
D' F' R' B L' U D
D' F' R' B L' U D'
D' F' R' B L' U D2
D' F' R' B L' D U
D' F' R' B L' D' U
D' F' R' B L' D2 U
D' F' R' B D L' U
D' F' R' B D' L' U
D' F' R' B D2 L' U
L2 F' R' L' B U R'
D2 F' R' B' L' U R2
D' F' R' B' L' B2 U
D2 F' R' B2 L' U R2
U2 F' R' U R B R'
L' F' R' B L' U R'
D F' R' L B' L2 U
D F' R' L' U2 F U'
U2 F' R' B L U R'
L2 F' R' B L' U R'
L F' R' L' B U R'
L F' R' B L' U R'
F' D' L R' B L2 U
F' D' L' R' D B U
F' D' L' R' D' B U
F' D' L' R' D2 B U
F' D' L' R' B U D
F' D' L' R' B U D'
F' D' L' R' B U D2
F' D' L' R' B D U
F' D' L' R' B D' U
F' D' L' R' B D2 U
D2 F' D L' R' U R2
D2 F' D R' L' U R2
D2 F' D' L' R' U R2
D2 F' D' R' L' U R2
L' F' D' L' R' B U
L' F' D' R' L' B U
L' F' D' R' B L' U
L2 F' D' L' R' B U
D2 F' D2 L' R' U R2
L2 F' D' R' L' B U
U2 F' D' R' B L U
L2 F' D' R' B L' U
D2 F' D2 R' L' U R2
F' D' R' L B L2 U
F' D' R' L' D B U
F' D' R' L' D' B U
F' D' R' L' D2 B U
F' D' R' L' B U D
F' D' R' L' B U D'
F' D' R' L' B U D2
F' D' R' L' B D U
F' D' R' L' B D' U
F' D' R' L' B D2 U
L F' D' L' R' B U
F' D' R' D L' B U
F' D' R' D B L' U
F' D' R' D' L' B U
F' D' R' D' B L' U
L' F' B L' U R' F'
F' D' R' D2 L' B U
L F' D' R' L' B U
F' D' R' D2 B L' U
L F' D' R' B L' U
D F' D2 L' R' B U
F' D' R' B L' U D
F' D' R' B L' U D'
F' D' R' B L' U D2
F' D' R' B L' D U
F' D' R' B L' D' U
F' D' R' B L' D2 U
F' D' R' B D L' U
F' D' R' B D' L' U
F' D' R' B D2 L' U
F' D' R' B' L' B2 U
D F' D2 R' L' B U
D F' D2 R' B L' U
U2 F' B L U R' F'
L2 F' B L' U R' F'
L F' B L' U R' F'
B D' F' L' U R' F'
D2 F2 R' F L' U R
D' F2 R' F L' B U
D' F2 R' F B L' U
D' F2 R' B F L' U
F' D2 L' D R' B U
U2 B L F' U R' F'
B D2 F' L' U R' F'
F' B L' U R' D F'
F' B L' U R' D' F'
F' B L' U R' D2 F'
F' B L' U R' F' D
F' B L' U R' F' D'
F' B L' U R' F' D2
F' B L' U D R' F'
F' B L' U D' R' F'
F' B L' U D2 R' F'
F' B L' U F R' F'
F' B L' U F' R' F'
F' B L' U F2 R' F'
F' B L' D U R' F'
F' B L' D' U R' F'
F' B L' D2 U R' F'
L' B F' L' U R' F'
U2 B F' L U R' F'
L2 B F' L' U R' F'
L B F' L' U R' F'
F' B D L' U R' F'
F' B D' L' U R' F'
F' B D2 L' U R' F'
B F' L' U R' D F'
B F' L' U R' D' F'
B F' L' U R' D2 F'
B F' L' U R' F' D
B F' L' U R' F' D'
B F' L' U R' F' D2
B F' L' U D R' F'
B F' L' U D' R' F'
B F' L' U D2 R' F'
B F' L' U F R' F'
B F' L' U F' R' F'
B F' L' U F2 R' F'
B F' L' D U R' F'
B F' L' D' U R' F'
B F' L' D2 U R' F'
B F' D L' U R' F'
B F' D' L' U R' F'
B F' D2 L' U R' F'
