R' L U F B R2
R' L U B R2 F
R' L U B F R2
D2 L U R F B'
D2 L U R B' F
D2 L U B' R F
L R' U F B R2
L R' U B R2 F
L R' U B F R2
L U R F D2 B2
L U R' F B R2
L U R' B R2 F
L U R' B F R2
U2 R' U' F' B R2
U2 R' U' B F' R2
D B' L U R F
U2 R' U' B F' R2 D2
U2 R' U' B F2 R2 F
U2 R' U' B' F' R2 B2
U2 R' U' B2 F' R2 B'
L' U' B' U2 R' B R2
U2 R' D' F2 U' F B
U2 R' D' F2 U' B F
U2 R' F U' F2 B R2
U2 R' F U' B R2 F2
U2 R' F U' B F2 R2
U2 R' F2 U' F B R2
U2 R' F2 U' B R2 F
U2 R' F2 U' B F R2
L U2 R' U' F B R2
L U2 R' U' B R2 F
L U2 R' U' B F R2
U R' B R2 U L U'
U R' B U L U' R2
D R' B' L U R2 F
D R' B' L U F R2
D2 R2 L U R' F B'
D2 R2 L U R' B' F
D2 R2 L U F R' B'
R' D L B2 U F B'
R' D L B2 U B' F
L D B2 U R F B
L D B2 U R B F
L2 D2 L U R F' B'
L2 D2 L U R B' F'
L2 D2 L U B' R F'
B' U2 R' U' F' B R2
B' U2 R' U' B F' R2
B2 U2 R' U' F' B R2
B2 U2 R' U' B F' R2
B U2 R' U' F' B R2
B U2 R' U' B F' R2
R F L F D' L2 B'
U2 F R' U' F' B R
U2 F R' U' B F' R
B' D B' L U R F
B2 D B' L U R F
B D B' L U R F
B' D2 L U R F B'
B' D2 L U R B' F
B' D2 L U B' R F
B2 D2 L U R F B'
B2 D2 L U R B' F
B2 D2 L U B' R F
B D2 L U R F B'
B D2 L U R B' F
B D2 L U B' R F
R F2 D' L F L B'
D2 B L U R F B'
D2 B L U R B' F
D2 B L U B' R F
L' B R' U B R2 F'
L B R' U F B R2
L B R' U B R2 F
L B R' U B F R2
L' B U R' B R2 F'
L B U R F D2 B2
L B U R' F B R2
L B U R' B R2 F
L B U R' B F R2
D B U2 R' U' F' R2
R' B' L U R2 F B2
R' B' L U R2 B2 F
D2 B' L U R F B'
R' B' L U F R2 B2
D2 B' L U R B' F
R' B' L U F B2 R2
R' B' L U B2 R2 F
R' B' L U B2 F R2
D2 B' L U B' R F
R' B' L' U B2 R2 F'
D B' L R' U R2 F
D B' L R' U F R2
D B' L R2 U R' F
D B' L R2 U F R'
D B' L U R D F
D B' L U R D' F
D B' L U R D2 F
D B' L U R F D
D B' L U R F D'
D B' L U R F D2
D B' L U R' F R2
D B' L U R2 F R'
D B' L U D R F
D B' L U D' R F
D B' L U D2 R F
D B' L D U R F
D B' L D' U R F
D B' L D2 U R F
D B' L B U R F
D B' L B' U R F
D B' L B2 U R F
U B' R U' R2 U B
D B' R' L U R2 F
D B' R' L U F R2
L B' R' U F B R2
L B' R' U B R2 F
L B' R' U B F R2
D B' R2 L U R' F
D B' R2 L U F R'
U B' R' B R2 D' F2
L B' U R F D2 B2
L B' U R' F B R2
L B' U R' B R2 F
L B' U R' B F R2
U B' U' R' U B R2
D B' D L U R F
D B' D' L U R F
D B' D2 L U R F
D2 B2 L U R F B'
D2 B2 L U R B' F
D2 B2 L U B' R F
D B2 L U R F B
D B2 L U R B F
L B2 R' U F B R2
L B2 R' U B R2 F
L B2 R' U B F R2
L B2 U R F D2 B2
L B2 U R' F B R2
L B2 U R' B R2 F
L B2 U R' B F R2
