B L2 D R2 U2 B
D' L2 D' R2 F' B
D' L2 D' R2 B F'
B L2 D F' R2 U2
B L2 D' F' U2 L2
B L2 F' U F' U
F' L2 B U F' U
D2 R2 D L2 F' B
D2 R2 D L2 B F'
D2 R2 D F' L2 B
D2 R2 D F' B L2
D2 R2 D B L2 F'
D2 R2 D B F' L2
D2 R2 F' D L2 B
D2 R2 F' D B L2
L2 D R2 U2 F' B
L2 D R2 U2 B F'
L2 D F' R2 U2 F'
L2 D F' B R2 U2
L2 D B R2 U2 B
L2 D B F' R2 U2
F2 U' L2 B U2 B2
L2 D' F' B U2 L2
L2 D' B F' U2 L2
F2 U' F L2 B U2
F2 U' F B L2 U2
F2 U' B L2 U2 B'
F2 U' B F L2 U2
L2 F' B U F' U
F' B L2 U F' U
L2 B D R2 U2 B
L2 B D F' R2 U2
L2 B D' F' U2 L2
L2 B F' U F' U
B F' L2 U F' U
F2 U' B L2 U2 B' D
F2 U' B L2 U2 B' D'
F2 U' B L2 U2 B' D2
F2 U' B L2 D U2 B'
F2 U' B L2 D' U2 B'
F2 U' B L2 D2 U2 B'
F2 U' B L2 F U2 B'
F2 U' B L2 F' U2 B'
F2 U' B L2 F2 U2 B'
F2 U' B D2 F U2 R2
F2 U' B F L2 U2 D
F2 U' B F L2 U2 D'
F2 U' B F L2 U2 D2
F2 U' B F L2 D U2
F2 U' B F L2 D' U2
F2 U' B F L2 D2 U2
F2 U' B F U2 D2 R2
F2 U' B F D2 U2 R2
F2 U' B F' L2 F2 U2
F2 U' B F2 L2 F' U2
F2 U' B' L2 B2 U2 B
F2 U' B' F L2 B2 U2
F2 U' B2 L2 U2 F B'
F2 U' B2 L2 U2 B' F
U' D2 R2 D L2 F' B
U' D2 R2 D L2 B F'
U' D2 R2 D F' L2 B
U' D2 R2 D F' B L2
U' D2 R2 D B L2 F'
U' D2 R2 D B F' L2
F2 U' B2 F L2 U2 F
D2 U2 R2 D L2 F' B
D2 U2 R2 D L2 B F'
D2 U2 R2 D F' L2 B
D2 U2 R2 D F' B L2
D2 U2 R2 D B L2 F'
D2 U2 R2 D B F' L2
U' D2 R2 F' D L2 B
U' D2 R2 F' D B L2
D2 U2 R2 F' D L2 B
D2 U2 R2 F' D B L2
U2 D2 R2 D L2 F' B
U2 D2 R2 D L2 B F'
U2 D2 R2 D F' L2 B
U2 D2 R2 D F' B L2
U2 D2 R2 D B L2 F'
U2 D2 R2 D B F' L2
U2 D2 R2 F' D L2 B
U2 D2 R2 F' D B L2
U D2 R2 D L2 F' B
U D2 R2 D L2 B F'
U D2 R2 D F' L2 B
U D2 R2 D F' B L2
U D2 R2 D B L2 F'
U D2 R2 D B F' L2
U D2 R2 F' D L2 B
U D2 R2 F' D B L2
L2 D2 F' D B U2 L2
L2 D2 F' D' R2 U2 F'
L2 D2 F' D' B R2 U2
L2 D2 F' B U' B U'
L2 D2 B F' U' B U'
R2 D2 B2 U' F' R2 B'
R2 D2 B2 U' F' B' R2
R2 D2 B2 U' B' F' R2
B U2 D' L2 D' R2 B
B U2 D2 R2 D L2 B
B U2 D2 R2 D B L2
B D R2 U' F2 U' B
B D R2 U2 D B R2
B D R2 U2 B D R2
B D R2 D U2 B R2
B D R2 D' L2 U2 B
U' F' L2 B U F' U
L F' L B U F' U
U2 F' L2 B U F' U
B D F' R2 U B U
U F' L2 B U F' U
D2 F' R2 D F' L2 B'
F D F2 R2 B U' F'
D2 F' R2 F' D L2 B'
L2 F' R2 U' B U' F'
D F' R2 U B U F'
D' F' U B2 U L2 F
L2 F' U F' R2 U F'
L2 F' U F' U' B U2
D' F' U2 L2 D' R2 F'
D2 F' U2 R2 D L2 F'
D2 F' U2 R2 D F' L2
D2 F' U2 R2 F' D L2
B' D' L2 D' R2 F2 B
B' D' L2 D' R2 B F2
B2 D' L2 D' R2 F B
B2 D' L2 D' R2 B F
L2 F' D B U F' U
L2 F' D' B U F' U
U' F' B L2 U F' U
D' F' B U B U L2
D2 F' B U' B U' R2
L2 F' D2 B U F' U
L' F' B U F' U R
U2 F' B L2 U F' U
L2 F' B R2 U' B U'
L2 F' B U D F' U
L2 F' B U D' F' U
L2 F' B U D2 F' U
L2 F' B U F' U D
L2 F' B U F' U D'
L2 F' B U F' U D2
L2 F' B U F' D U
L2 F' B U F' D' U
L2 F' B U F' D2 U
L2 F' B D U F' U
B' D' R2 B2 U B' L2
L2 F' B D' U F' U
L2 F' B D2 U F' U
D F' B R2 U B U
U F' B L2 U F' U
B D' U2 L2 D' R2 B
D' F2 L2 D' R2 F' B'
D' F2 L2 D' R2 B' F'
F D' F B2 L2 U F
B D' F' U B2 U L2
B D' F' U2 L2 D' R2
F' D' B U F' B U
F' D' B U B F' U
D2 F2 R2 D L2 F' B'
D2 F2 R2 D L2 B' F'
B' D' B2 R2 U L2 B
B' D' B2 R2 U B L2
U' F2 U' L2 B U2 B2
F2 D' B2 L2 U F B'
F2 D' B2 L2 U B' F
U' F2 U' F L2 B U2
U' F2 U' F B L2 U2
U' F2 U' B L2 U2 B'
U' F2 U' B F L2 U2
F2 D' B2 U' F B' U2
F2 D' B2 U' B' F U2
R2 F2 U D2 F B R2
R2 F2 U D2 B R2 F
R2 F2 U D2 B F R2
D F2 U R2 F U2 F2
R2 F2 U F D2 B R2
R2 F2 U F B D2 R2
U2 F2 U' L2 B U2 B2
D F2 U F R2 U2 F'
R2 F2 U B D2 R2 F
R2 F2 U B D2 F R2
R2 F2 U B F D2 R2
D F2 U F B R2 U2
D F2 U B R2 F U2
D F2 U B F R2 U2
U2 F2 U' F L2 B U2
R2 F2 U' L2 B' U2 B2
U2 F2 U' F B L2 U2
U2 F2 U' B L2 U2 B'
U2 F2 U' B F L2 U2
F D' B2 F L2 U F
U F2 U' L2 B U2 B2
U F2 U' F L2 B U2
L F2 U' F L B U2
U F2 U' F B L2 U2
U F2 U' B L2 U2 B'
U F2 U' B F L2 U2
F2 D2 L2 U R2 F' B'
F2 D2 L2 U R2 B' F'
R2 F2 D' B2 U F B'
R2 F2 D' B2 U B' F
R2 F2 D2 U F B R2
R2 F2 D2 U B R2 F
R2 F2 D2 U B F R2
B' D2 R2 F2 D L2 B
B' D2 R2 F2 D B L2
B2 D2 R2 D L2 F B
B2 D2 R2 D L2 B F
D' F2 B2 U L2 F B'
D' F2 B2 U L2 B' F
F' D2 U F' U R2 F'
B D2 R2 D B L2 F
F2 D2 U R2 F' D2 B2
F2 D2 U F2 R2 F' B
F2 D2 U F2 R2 B F'
F D2 R2 F' B2 D' L2
F2 D2 U' F U2 R2 F'
F D2 R2 B2 F' D' L2
F2 D2 U' F B U2 R2
F2 D2 U' B F U2 R2
L' B L' D R2 U2 B
L' B L' D F' R2 U2
L' B L' D' F' U2 L2
L' B L' F' U F' U
B D2 U' B2 U' R2 B
U' B L2 D R2 U2 B
U' B L2 D F' R2 U2
U' B L2 D' F' U2 L2
U' B L2 F' U F' U
B D2 U2 R2 D L2 B
B D2 U2 R2 D B L2
U2 B L2 D R2 U2 B
