F' L' U D R2 F
F' L' U D F R2
F' L' U2 F2 U' F'
F' L' D U R2 F
F' L' D U F R2
F' L' D2 B2 U F
F U2 F2 L' U F
L' F' L' B' U F2
F D2 R B2 U' F'
F D2 B2 R U' F'
F D2 L' R B2 U' F'
F' D2 R L' B2 U F'
F D2 L' B2 R U' F'
F D2 L2 R B2 U' F'
F' D2 R B2 L' U F'
F D2 L2 B2 R U' F'
F D2 R L B2 U' F'
F D2 R L' B2 U' F'
F D2 R L2 B2 U' F'
F D2 R U' D L2 F'
F D2 R U' D F' L2
F D2 R U' F' D L2
F D2 R D U' L2 F'
F D2 R D U' F' L2
F D2 R B2 L U' F'
F D2 R B2 L' U' F'
F D2 R B2 L2 U' F'
F D2 R B2 U' D F'
F D2 R B2 U' D' F'
F D2 R B2 U' D2 F'
F D2 R B2 U' F' D
F D2 R B2 U' F' D'
F D2 R B2 U' F' D2
F D2 R B2 D U' F'
F D2 R B2 D' U' F'
F D2 R B2 D2 U' F'
R2 B L' U' F R B
F' D2 B2 L' R U F'
F' D2 B2 R L' U F'
F' D2 B2 D2 L' U F
F D2 B' R B' U' F'
F D2 B2 L R U' F'
F D2 B2 L' R U' F'
F D2 B2 L2 R U' F'
F D2 B2 R L U' F'
F D2 B2 R L' U' F'
F D2 B2 R L2 U' F'
F D2 B2 R U' D F'
F D2 B2 R U' D' F'
F D2 B2 R U' D2 F'
F D2 B2 R U' F' D
F D2 B2 R U' F' D'
F D2 B2 R U' F' D2
F D2 B2 R D U' F'
F D2 B2 R D' U' F'
F D2 B2 R D2 U' F'
F' B L' U D R2 F
F' B L' U D F R2
F' B L' U2 F2 U' F'
F' B L' D U R2 F
F' B L' D U F R2
F' B L' D2 B2 U F
R2 B D F L' R U'
R2 B D F R L' U'
R2 B D2 F R U' F'
L' B F' L' B' U F2
R2 B F L' R U' F
R2 B F R L' U' F
R2 B F D2 R U' F'
L2 B' L F' L' U F2
B' F U2 F2 L' U F
B2 F U2 F2 L' U F
B F U2 F2 L' U F
L2 B' L2 F' L' U F
F B U2 F2 L' U F
B' F D2 R B2 U' F'
B2 F D2 R B2 U' F'
B' F D2 B2 R U' F'
B2 F D2 B2 R U' F'
B F D2 R B2 U' F'
B' F' L' U D R2 F
B' F' L' U D F R2
B' F' L' U2 F2 U' F'
F B D2 R B2 U' F'
B' F' L' D U R2 F
B' F' L' D U F R2
B F D2 B2 R U' F'
B' F' L' D2 B2 U F
F' B' L' U D R2 F
F' B' L' U D F R2
F' B' L' U2 F2 U' F'
B2 F' L' U D R2 F
B2 F' L' U D F R2
F' B' L' D U R2 F
F' B' L' D U F R2
B2 F' L' U2 F2 U' F'
F' B' L' D2 B2 U F
B2 F' L' D U R2 F
B2 F' L' D U F R2
F B D2 B2 R U' F'
B2 F' L' D2 B2 U F
B F' L' U D R2 F
B F' L' U D F R2
B F' L' U2 F2 U' F'
B F' L' D U R2 F
B F' L' D U F R2
B F' L' D2 B2 U F
L' B' F' L' B' U F2
L2 B' F' L' U' B' U2
F B' U2 F2 L' U F
F B' D2 R B2 U' F'
F' B2 L' U D R2 F
F' B2 L' U D F R2
F' B2 L' U2 F2 U' F'
F' B2 L' D U R2 F
F' B2 L' D U F R2
F' B2 L' D2 B2 U F
F B' D2 B2 R U' F'
L' B2 F' L' B' U F2
F B2 U2 F2 L' U F
F B2 D2 R B2 U' F'
F B2 D2 B2 R U' F'
