R2 U R' U' F'
B L R U' L' R
B L R U' R L'
L' R U' L R F
L' R U' R L F
R L' U' L R F
R L' U' R L F
R2 U L R' U' F'
R2 U L' R' U' F'
R2 U L2 R' U' F'
R2 U R' L U' F'
R2 U R' L' U' F'
R2 U R' L2 U' F'
R2 U R' U' D F'
R2 U R' U' D' F'
R2 U R' U' D2 F'
R2 U R' U' F' D
R2 U R' U' F' D'
R2 U R' U' F' D2
R' U R2 U' R F'
R2 U R' D U' F'
R2 U R' D' U' F'
R2 U R' D2 U' F'
R2 U D R' U' F'
R2 U D' R' U' F'
B R L U' L' R
B R L U' R L'
R2 U D2 R' U' F'
U R U B U2 R
U R U' R2 F' R'
B R2 U L R' U'
B R2 U R' L U'
R2 D U R' U' F'
B U L R U' R
B U R L U' R
R2 D' U R' U' F'
R2 D2 U R' U' F'
R2 F U R' U' F'
R2 F' U R' U' F'
R2 F2 U R' U' F'
R B L U' L' R
R B L U' R L'
R2 U L2 R' U' D2 F'
R2 U L2 R' U' F' D
R2 U L2 R' U' F' D'
R2 U L2 R' U' F' D2
R2 U L2 R' D U' F'
R2 U L2 R' D' U' F'
R2 U L2 R' D2 U' F'
R2 U L2 D R' U' F'
R2 U L2 D' R' U' F'
R2 U L2 D2 R' U' F'
R2 U R' L U' D F'
R2 U R' L U' D' F'
R2 U R' L U' D2 F'
R2 U R' L U' F' D
R2 U R' L U' F' D'
R2 U R' L U' F' D2
R2 U R' L D U' F'
R2 U R' L D' U' F'
R2 U R' L D2 U' F'
R2 U R' L' U' D F'
R2 U R' L' U' D' F'
R2 U R' L' U' D2 F'
R2 U R' L' U' F' D
R2 U R' L' U' F' D'
R2 U R' L' U' F' D2
R2 U R' L' D U' F'
R2 U R' L' D' U' F'
R2 U R' L' D2 U' F'
R2 U R' L2 U' D F'
R2 U R' L2 U' D' F'
R2 U R' L2 U' D2 F'
R2 U R' L2 U' F' D
R2 U R' L2 U' F' D'
R2 U R' L2 U' F' D2
R2 U R' L2 D U' F'
R2 U R' L2 D' U' F'
R2 U R' L2 D2 U' F'
R2 U R' U B U2 F'
R2 U R' U B' U2 F'
R2 U R' U B2 U2 F'
R2 U R' U' L' F' L
R2 U R' U' L2 F' L2
R2 U R' U' D F' D
R2 U R' U' D F' D'
R2 U R' U' D F' D2
R2 U R' U' D' F' D
R2 U R' U' D' F' D'
R2 U R' U' D' F' D2
R2 U R' U' D2 F' D
R2 U R' U' D2 F' D'
R2 U R' U' D2 F' D2
R2 U R' U' F2 D F
R2 U R' U' F2 D' F
R2 U R' U' F2 D2 F
R2 U R' D L U' F'
R2 U R' D L' U' F'
R2 U R' D L2 U' F'
R2 U R' D U' F' D
R2 U R' D U' F' D'
R2 U R' D U' F' D2
R' U R2 L U' R F'
R2 U R' D' L U' F'
R2 U R' D' L' U' F'
R2 U R' D' L2 U' F'
R' U R2 L' U' R F'
R2 U R' D' U' F' D
R2 U R' D' U' F' D'
R2 U R' D' U' F' D2
R2 U R' D2 L U' F'
R2 U R' D2 L' U' F'
R2 U R' D2 L2 U' F'
R' U R2 L2 U' R F'
R2 U R' D2 U' F' D
R2 U R' D2 U' F' D'
R2 U R' D2 U' F' D2
R' U R2 U' R D F'
R' U R2 U' R D' F'
R' U R2 U' R D2 F'
R' U R2 U' R F' D
R' U R2 U' R F' D'
R' U R2 U' R F' D2
R2 U D L R' U' F'
R2 U D L' R' U' F'
R2 U D L2 R' U' F'
R2 U D R' L U' F'
R2 U D R' L' U' F'
R2 U D R' L2 U' F'
R2 U D R' U' D F'
R2 U D R' U' D' F'
R2 U D R' U' D2 F'
R2 U D R' U' F' D
R2 U D R' U' F' D'
R2 U D R' U' F' D2
R2 U D R' D U' F'
R2 U D R' D' U' F'
R2 U D R' D2 U' F'
R2 U D' L R' U' F'
R2 U D' L' R' U' F'
R2 U D' L2 R' U' F'
R2 U D' R' L U' F'
R2 U D' R' L' U' F'
R2 U D' R' L2 U' F'
R2 U D' R' U' D F'
R2 U D' R' U' D' F'
R2 U D' R' U' D2 F'
R2 U D' R' U' F' D
R2 U D' R' U' F' D'
R2 U D' R' U' F' D2
R2 U D' R' D U' F'
R2 U D' R' D' U' F'
R2 U D' R' D2 U' F'
B R L U' L' R D
B R L U' L' R D'
B R L U' L' R D2
B R L U' L' D R
B R L U' L' D' R
B R L U' L' D2 R
B R L U' R L' D
B R L U' R L' D'
B R L U' R L' D2
B R L U' R D L'
B R L U' R D' L'
B R L U' R D2 L'
B R L U' D L' R
B R L U' D R L'
B R L U' D' L' R
B R L U' D' R L'
B R L U' D2 L' R
B R L U' D2 R L'
R2 U D2 L R' U' F'
B R L D U' L' R
B R L D U' R L'
R2 U D2 L' R' U' F'
B R L D' U' L' R
B R L D' U' R L'
R2 U D2 L2 R' U' F'
U R L U B U2 R
B R L D2 U' L' R
B R L D2 U' R L'
U R L U' R2 F' R'
R2 U D2 R' L U' F'
R2 U D2 R' L' U' F'
R2 U D2 R' L2 U' F'
R2 U D2 R' U' D F'
R2 U D2 R' U' D' F'
R2 U D2 R' U' D2 F'
R2 U D2 R' U' F' D
R2 U D2 R' U' F' D'
R2 U D2 R' U' F' D2
R2 U D2 R' D U' F'
R2 U D2 R' D' U' F'
R2 U D2 R' D2 U' F'
B R L B U' L' R
B R L B U' R L'
B R L B' U' L' R
B R L B' U' R L'
R' U F R2 U' R F'
B R L B2 U' L' R
B R L B2 U' R L'
D' R L' F2 U' L F
U R L' U B U2 R
U R L' U' R2 F' R'
R' U F' R2 U' R F'
U R L2 U B U2 R
U R L2 U' R2 F' R'
R2 U F' R' F U' F2
R' U F2 R2 U' R F'
U R U L B U2 R
U R U L' B U2 R
U R U L2 B U2 R
U R U D B U2 R
U R U D' B U2 R
R2 U F2 R' F2 U' F
U R U D2 B U2 R
U R U B L U2 R
U R U B L' U2 R
U R U B L2 U2 R
U R U B U2 R D
U R U B U2 R D'
U R U B U2 R D2
U R U B U2 D R
U R U B U2 D' R
U R U B U2 D2 R
U R U B D U2 R
U R U B D' U2 R
U R U B D2 U2 R
U R U' R2 D F' R'
U R U' R2 D' F' R'
U R U' R2 D2 F' R'
U R U' R2 F R' F2
U R U' R2 F' R' D
U R U' R2 F' R' D'
U R U' R2 F' R' D2
U R U' R2 F' D R'
U R U' R2 F' D' R'
U R U' R2 F' D2 R'
U R U' R2 F2 R' F
U R U' D R2 F' R'
U R U' D' R2 F' R'
U R U' D2 R2 F' R'
U R U' F R2 F' R
U R U2 R2 U F' R'
B R D L U' L' R
B R D L U' R L'
U R D U B U2 R
U R D U' R2 F' R'
B R D' L U' L' R
B R D' L U' R L'
B' R D2 L2 U' L2 R
B' R D2 L2 U' R L2
U R D' U B U2 R
U R D' U' R2 F' R'
R2 U' L U2 R' U' F
B R D2 L U' L' R
B R D2 L U' R L'
U R D2 U B U2 R
U R D2 U' R2 F' R'
U R F U' R2 F' R
D' R F2 L' U' L F
D' R F2 B L U' L'
U R F2 U L' B U2
U R F2 U B L' U2
D' R B F2 L U' L'
B2 R B' L U' L' R
B2 R B' L U' R L'
F2 R' L' U L R' F'
F2 R' L' U R' L F'
F2 R' L' U R' F' L
B R' U L R2 U' R
B R' U R2 L U' R
U R' U' D F' R' B2
U' R' U2 R2 U' R F'
U R' U' F' D R' B2
R2 U' B2 L B2 U F
U R' D U' F' R' B2
B2 R' D' R F' R2 B
B' R' D2 L2 U L2 R'
B' R' D2 L2 U R' L2
U R' F R2 U' R F2
U R' F2 R2 U' R F
D' R2 U R' F2 U' F
B' R2 U R' U' D' F2
B' R2 U R' U2 R2 U
B' R2 U R' D' U' F2
B' R2 U R' D2 L2 U'
R2 U2 F' U' L' R' U'
R2 U2 F' U' R' L' U'
B R2 U L R' U' D
B R2 U L R' U' D'
B R2 U L R' U' D2
B R2 U L R' D U'
B R2 U L R' D' U'
B R2 U L R' D2 U'
B R2 U L D R' U'
B R2 U L D' R' U'
B R2 U L D2 R' U'
D' R2 U F2 R' U' F'
B R2 U R' L U' D
B R2 U R' L U' D'
B R2 U R' L U' D2
B R2 U R' L D U'
B R2 U R' L D' U'
B R2 U R' L D2 U'
B R2 U R' D L U'
B R2 U R' D' L U'
B R2 U R' D2 L U'
B R2 U D L R' U'
B R2 U D R' L U'
B R2 U D' L R' U'
B R2 U D' R' L U'
B R2 U D2 L R' U'
B R2 U D2 R' L U'
B' R2 U' R U D B2
B' R2 U' R U2 R2 U'
B' R2 U' R D U B2
B' R2 U' R D2 L2 U
F2 R2 U' L' U' B' U2
D R2 U' B2 L U F
B R2 D U L R' U'
B R2 D U R' L U'
R2 U2 B2 U L U F
B R2 D' U L R' U'
B R2 D' U R' L U'
B R2 D2 U L R' U'
B R2 D2 U R' L U'
R D L' U' L R F
R D L' U' R L F
B R2 F U L R' U'
B R2 F U R' L U'
B R2 F' U L R' U'
B R2 F' U R' L U'
B' R2 F2 U L' R' U'
B' R2 F2 U R' L' U'
R D R U R' U' F'
B R2 F2 U L R' U'
B R2 F2 U R' L U'
R' D R2 B2 D' R F'
F2 R2 B' U' L' R' U
F2 R2 B' U' R' L' U
R2 D U L R' U' F'
R2 D U L' R' U' F'
R2 D U L2 R' U' F'
R2 D U R' L U' F'
R2 D U R' L' U' F'
R2 D U R' L2 U' F'
R2 D U R' U' D F'
R2 D U R' U' D' F'
R2 D U R' U' D2 F'
R2 D U R' U' F' D
R2 D U R' U' F' D'
R2 D U R' U' F' D2
B' R2 B2 U' L R U
R2 D U R' D U' F'
R2 D U R' D' U' F'
R2 D U R' D2 U' F'
B' R2 B2 U' R L U
B2 R2 B2 U' L U F
B R2 B2 U' L R' U
B R2 B2 U' R' L U
B U L R U' R D
B U L R U' R D'
B U L R U' R D2
B U L R U' D R
B U L R U' D' R
B U L R U' D2 R
B U L R D U' R
B U L R D' U' R
B U L R D2 U' R
B U L D' R F2 U'
R2 D F U R' U' F'
D2 U R U L2 B U2
R2 D F' U R' U' F'
D' U R U' D R2 F'
D2 U R U B L2 U2
D2 U R U' D2 R2 F'
B' U R U' D' R F2
D' U R D U' R2 F'
B' U R U2 R2 U R'
B' U R D' U' R F2
D2 U R D2 U' R2 F'
B2 U R U' D' R F'
B' U R D2 L2 U' R
D' U R F2 U B U2
B2 U R D' U' R F'
B U R L U' R D
B U R L U' R D'
B U R L U' R D2
B U R L U' D R
B U R L U' D' R
B U R L U' D2 R
B U R L D U' R
B U R L D' U' R
B U R L D2 U' R
D U R U' D' R2 F'
R2 D F2 U R' U' F'
B U R D L U' R
B U R D' L U' R
D U R D' U' R2 F'
B U R D2 L U' R
U D R U' D' R2 F'
D' U R' F2 R2 U' F
U D R D' U' R2 F'
R D B L U' L' R
R D B L U' R L'
U' D R2 B2 L U F
B2 U D' R F2 U' F
B U D' L R F2 U'
B U D' R L F2 U'
B U D' R F2 L U'
R D' L' U' L R F
R D' L' U' R L F
L' D' R F2 U' L F
R D' R U R' U' F'
R2 D' U L R' U' F'
R2 D' U L' R' U' F'
R2 D' U L2 R' U' F'
R2 D' U R' L U' F'
R2 D' U R' L' U' F'
R2 D' U R' L2 U' F'
R2 D' U R' U' D F'
R2 D' U R' U' D' F'
R2 D' U R' U' D2 F'
R2 D' U R' U' F' D
R2 D' U R' U' F' D'
R2 D' U R' U' F' D2
R2 D' U R' D U' F'
R2 D' U R' D' U' F'
R2 D' U R' D2 U' F'
F2 U' L' U' B' U2 R2
U D' R U' D R2 F'
R2 D' F U R' U' F'
U D' R D U' R2 F'
F2 U' L' B2 U R2 F'
U D' R F2 U B U2
R2 D' F' U R' U' F'
U D' R' F2 R2 U' F
R2 D' F2 U R' U' F'
B' U' R' U D R' B2
B' U' R' U2 R2 U' R
B' U' R' D U R' B2
D U' R2 B2 L U F
B' U' R' D2 L2 U R'
R D' B L U' L' R
R D' B L U' R L'
R' D2 L2 U L2 R' F'
R' D2 L2 U R' L2 F'
R' D2 L2 U R' F' L2
R D2 L' U' L R F
R D2 L' U' R L F
R D2 R U R' U' F'
R2 D2 U L R' U' F'
R2 D2 U L' R' U' F'
R2 D2 U L2 R' U' F'
R2 D2 U R' L U' F'
R2 D2 U R' L' U' F'
R2 D2 U R' L2 U' F'
R2 D2 U R' U' D F'
R2 D2 U R' U' D' F'
R2 D2 U R' U' D2 F'
R2 D2 U R' U' F' D
R2 D2 U R' U' F' D'
R2 D2 U R' U' F' D2
U D2 R U L2 B U2
R2 D2 U R' D U' F'
R2 D2 U R' D' U' F'
R2 D2 U R' D2 U' F'
U D2 R U B L2 U2
U D2 R U' D2 R2 F'
U D2 R D2 U' R2 F'
R2 D2 F U R' U' F'
R2 D2 F' U R' U' F'
R2 D2 F2 U R' U' F'
R D2 B L U' L' R
R D2 B L U' R L'
R' F R' U R' U' F'
R' F U R2 U' R F'
R2 F U L R' U' F'
R2 F U L' R' U' F'
R2 F U L2 R' U' F'
R2 F U R' L U' F'
R2 F U R' L' U' F'
R2 F U R' L2 U' F'
R2 F U R' U' D F'
R2 F U R' U' D' F'
R2 F U R' U' D2 F'
R2 F U R' U' F' D
R2 F U R' U' F' D'
R2 F U R' U' F' D2
R2 F U R' D U' F'
R2 F U R' D' U' F'
R2 F U R' D2 U' F'
R2 F U D R' U' F'
R2 F U D' R' U' F'
R2 F U D2 R' U' F'
R2 F D U R' U' F'
R2 F D' U R' U' F'
R2 F D2 U R' U' F'
R' F' R' U R' U' F'
R' F' U R2 U' R F'
R2 F' U L R' U' F'
R2 F' U L' R' U' F'
R2 F' U L2 R' U' F'
R2 F' U R' L U' F'
R2 F' U R' L' U' F'
R2 F' U R' L2 U' F'
R2 F' U R' U' D F'
R2 F' U R' U' D' F'
R2 F' U R' U' D2 F'
R2 F' U R' U' F' D
R2 F' U R' U' F' D'
R2 F' U R' U' F' D2
R2 F' U R' D U' F'
R2 F' U R' D' U' F'
R2 F' U R' D2 U' F'
R2 F' U D R' U' F'
R2 F' U D' R' U' F'
R2 F' U D2 R' U' F'
R2 F' D U R' U' F'
R2 F' D' U R' U' F'
B2 D' R' D R2 F' B2
B2 D' R' D R2 B2 F'
R2 F' D2 U R' U' F'
B D' R F2 L U' L'
B2 D' U R F2 U' F
B D' U L R F2 U'
B D' U R L F2 U'
B D' U R F2 L U'
R' F2 R' U R' U' F'
R' F2 U R2 U' R F'
R2 F2 U L R' U' F'
R2 F2 U L' R' U' F'
R2 F2 U L2 R' U' F'
R2 F2 U R' L U' F'
R2 F2 U R' L' U' F'
R2 F2 U R' L2 U' F'
R2 F2 U R' U' D F'
R2 F2 U R' U' D' F'
R2 F2 U R' U' D2 F'
R2 F2 U R' U' F' D
R2 F2 U R' U' F' D'
R2 F2 U R' U' F' D2
R2 F2 U R' D U' F'
R2 F2 U R' D' U' F'
R2 F2 U R' D2 U' F'
R2 F2 U D R' U' F'
R2 F2 U D' R' U' F'
R2 F2 U D2 R' U' F'
R2 F2 D U R' U' F'
R2 F2 D' U R' U' F'
R2 F2 D2 U R' U' F'
L2 B L R U' L R
L2 B L R U' R L
L B L R U' L2 R
L B L R U' R L2
R B L U' L' R D
R B L U' L' R D'
R B L U' L' R D2
R B L U' L' D R
R B L U' L' D' R
R B L U' L' D2 R
R B L U' R L' D
R B L U' R L' D'
R B L U' R L' D2
R B L U' R D L'
R B L U' R D' L'
R B L U' R D2 L'
R B L U' D L' R
R B L U' D R L'
R B L U' D' L' R
R B L U' D' R L'
R B L U' D2 L' R
R B L U' D2 R L'
R B L D U' L' R
R B L D U' R L'
R B L D' U' L' R
R B L D' U' R L'
R B L D2 U' L' R
R B L D2 U' R L'
R B L B U' L' R
R B L B U' R L'
R B L B' U' L' R
R B L B' U' R L'
R B L B2 U' L' R
R B L B2 U' R L'
D' B R F2 L U' L'
L2 B R L U' L R
L2 B R L U' R L
L B R L U' L2 R
L B R L U' R L2
R B R U L R' U'
R B R U R' L U'
D' B U L R F2 U'
D' B U R L F2 U'
D' B U R F2 L U'
R2 B U L R U' B
R2 B U R L U' B
R B D L U' L' R
R B D L U' R L'
R B D' L U' L' R
R B D' L U' R L'
R B D2 L U' L' R
R B D2 L U' R L'
R2 B' R D' R' F2 B
R2 B' R D' R' B F2
R2 B' R D' F2 R' B
F2 B' L' R' U L R'
F2 B' L' R' U R' L
R2 B' U' D' R' U B
F2 B' R' L' U L R'
F2 B' R' L' U R' L
B' F' R2 U' R U B
F' B' R2 U' R U B
F2 B' R2 U' L' R U
F2 B' R2 U' R L' U
R2 B' D' U' R' U B
F2 B' U' L' R' U R'
F2 B' U' R' L' U R'
B' F2 L' R' U L R'
B' F2 L' R' U R' L
B' F2 R' L' U L R'
B' F2 R' L' U R' L
B' F2 R2 U' L' R U
B' F2 R2 U' R L' U
B' F2 U' L' R' U R'
B' F2 U' R' L' U R'
