D2 R2 B U' F2
D2 L R2 B U' F2
D2 L' R2 B U' F2
D2 L2 R2 B U' F2
D L2 D R2 B U'
F' L2 D' R2 B' U
F' L2 D' B' R2 U
U2 L2 D' F' R2 U
F' L2 D2 B' U F2
U2 L2 D2 F' U F'
U2 L2 F' U D2 F2
U2 L2 F' U' B2 U2
U2 L2 F' D' R2 U
U2 L2 F' D2 U F2
F' L2 B' U' B' U2
D2 R2 L B U' F2
D2 R2 L' B U' F2
D2 R2 L2 B U' F2
D2 R2 D' L2 B U'
D2 R2 D' B L2 U'
D2 R2 B L U' F2
D2 R2 B L' U' F2
D2 R2 B L2 U' F2
D2 R2 B U' F2 D
D2 R2 B U' F2 D'
D2 R2 B U' F2 D2
D2 R2 B D' L2 U'
U2 D' F' R2 U B2
D' U2 F' R2 U B2
B2 U2 L2 F' U F
B' U2 L2 F' U F2
R2 D2 B R2 U' F2
B' U2 F' L2 U F
U2 F' L2 U D2 F2
U2 F' L2 U' B2 U2
U2 F' L2 D' R2 U
U2 F' L2 D2 U F2
U2 F' D' R2 U B2
B D2 R2 B U' F'
D2 B R2 B U' F2
R2 B D2 R2 U' F'
D2 B' R2 B U' F2
F' B' L2 B' U F
B' F' L2 B' U F
D2 B2 R2 B U' F2
U B2 U L2 F' U
U B2 U F' L2 U
L2 D2 F' U2 F U' F2
U2 D2 F' D U F' B2
U2 D2 F' D U B2 F'
U2 D2 F' D2 L2 U F'
B U2 L2 F' R2 U F'
B U2 L2 F' U' B U2
D U2 F' D2 R2 U B
R2 D2 B L R2 U' F2
R2 D2 B L' R2 U' F2
R2 D2 B L2 R2 U' F2
R2 D2 B R2 L U' F2
R2 D2 B R2 L' U' F2
R2 D2 B R2 L2 U' F2
R2 D2 B R2 U' F2 D
R2 D2 B R2 U' F2 D'
R2 D2 B R2 U' F2 D2
R2 D2 B R2 D' L2 U'
R2 D2 B U' F2 D B2
R2 D2 B' R2 B2 U' F2
F' U2 D F L2 U' B'
R2 D2 B2 R2 B' U' F2
B2 U2 D' F' U F B2
B2 U2 D' F' U B2 F
F' U2 D2 R2 F U' F
F' U2 D2 F R2 U' F
B' U2 F L2 F2 U F'
B2 U2 F L2 F2 U F
F' U2 F D2 R2 U' F2
B' U2 F' L2 R U F
B' U2 F' L2 R' U F
B' U2 F' L2 R2 U F
B' U2 F' L2 U D F
B' U2 F' L2 U D' F
B' U2 F' L2 U D2 F
B' U2 F' L2 U F D
B' U2 F' L2 U F D'
B' U2 F' L2 U F D2
B' U2 F' L2 D U F
B' U2 F' L2 D' U F
B' U2 F' L2 D2 U F
B' U2 F' R L2 U F
B' U2 F' R' L2 U F
B' U2 F' R2 L2 U F
B2 U2 F' L2 U' B' U2
U2 F L2 D' R2 U L2
B2 U2 F' U D' F B2
B2 U2 F' U D' B2 F
B2 U2 F' U F D' B2
U2 F L2 F2 U D2 F2
U2 F L2 F2 U' B2 U2
U2 F L2 F2 D' R2 U
U2 F L2 F2 D2 U F2
B2 U2 F' D' U F B2
B2 U2 F' D' U B2 F
B U2 F' L2 R2 U F'
B U2 F' L2 U' B U2
B U2 F' R2 L2 U F'
D' F R2 F2 B U B
D' F R2 B F2 U B
U' F D' L2 B2 D' F2
U' F D' B2 L2 D' F2
U2 F D' R2 U L2 B2
U2 F D' R2 U B2 L2
L2 F D' R2 B U L2
U' F D2 F2 D L2 B2
U' F D2 F2 D B2 L2
U' F B D' B2 L2 F
U' F B' D' L2 F B2
U' F B' D' L2 B2 F
U2 F' L D' L R2 U
U2 F' L D' R2 L U
U2 F' L D2 L U F2
F' D U2 F L2 U' B'
U F B2 U L2 F2 U
U F B2 U F2 L2 U
U F B2 U2 D' L2 B2
U F B2 U2 D' B2 L2
U F B2 D R2 F2 U2
U F B2 D F2 R2 U2
U F B2 D' U2 L2 B2
U F B2 D' U2 B2 L2
D' F' L2 R2 B' U B'
U2 F' L' D' L' R2 U
U2 F' L' D' R2 L' U
U' F' L2 D' R2 U R2
U2 F' L' D2 L' U F2
U2 F' L2 R U D2 F2
U2 F' L2 R U' B2 U2
U2 F' L2 R D' R2 U
U2 F' L2 R D2 U F2
U2 F' L2 R' U D2 F2
U2 F' L2 R' U' B2 U2
U2 F' L2 R' D' R2 U
U2 F' L2 R' D2 U F2
U2 F' L2 R2 U D2 F2
U2 F' L2 R2 U' B2 U2
U2 F' L2 R2 D' R2 U
U2 F' L2 R2 D2 U F2
D' F' L2 B' R2 U B'
U2 F' L2 U D2 F2 D
U2 F' L2 U D2 F2 D'
U2 F' L2 U D2 F2 D2
U2 F' L2 U F D2 F2
U2 F' L2 U F' D2 F2
U2 F' L2 U F2 D2 F2
U2 F' L2 U' B2 U2 D
U2 F' L2 U' B2 U2 D'
U2 F' L2 U' B2 U2 D2
U2 F' L2 U' B2 D U2
U2 F' L2 U' B2 D' U2
U2 F' L2 U' B2 D2 U2
U2 F' L2 U2 D L2 U'
U2 F' L2 D U2 L2 U'
U2 F' L2 D' R2 U D
U2 F' L2 D' R2 U D'
U2 F' L2 D' R2 U D2
U2 F' L2 D' R2 D U
U2 F' L2 D' R2 D' U
U2 F' L2 D' R2 D2 U
U2 F' L2 D2 R U F2
U2 F' L2 D2 R' U F2
U2 F' L2 D2 R2 U F2
U2 F' L2 D2 U F2 D
U2 F' L2 D2 U F2 D'
U2 F' L2 D2 U F2 D2
L2 F' L2 B' L2 U F
U2 F' R L2 U D2 F2
U2 F' R L2 U' B2 U2
U2 F' R L2 D' R2 U
U2 F' R L2 D2 U F2
U F' L2 U D2 R2 F2
U F' L2 U D2 F2 R2
U F' L2 U' L2 B2 U2
U F' L2 U' B2 L2 U2
U2 F' R D' R2 U B2
U F' L2 D' R2 B2 U
U F' L2 D' B2 R2 U
U F' L2 D2 U R2 F2
U F' L2 D2 U F2 R2
U2 F' R' L2 U D2 F2
U2 F' R' L2 U' B2 U2
U2 F' R' L2 D' R2 U
U2 F' R' L2 D2 U F2
D' F' R2 L2 B' U B'
U2 F' R' D' R2 U B2
D' F' R2 U2 F U' B2
D' F' R2 D L2 B' U
U2 F' R2 L2 U D2 F2
U2 F' R2 L2 U' B2 U2
U2 F' R2 L2 D' R2 U
U2 F' R2 L2 D2 U F2
U2 F' R2 D' R2 U B2
D2 F' U F' D R2 B2
D2 F' U F' D B2 R2
U2 F' U D' B2 D' F2
U2 F' U D2 F2 D B2
D2 F' U2 F R2 U' F2
U2 F' U' B2 U L2 U
U2 F' U' B2 U2 D' B2
U2 F' U' B2 D F2 U2
U2 F' U' B2 D' U2 B2
L2 F' U' B2 U' F U'
L2 F' U2 D F L2 U'
U2 F' U2 D2 R2 U' F2
L2 F' U2 D2 F U' F
L2 F' U2 F U B2 U2
L2 F' U2 F U' D2 F2
L2 F' U2 F D L2 U'
L2 F' U2 F D2 U' F2
F' D' L2 R2 B' U B'
U' F' D' R2 U R2 B2
U' F' D' R2 U B2 R2
L2 F' D U2 F L2 U'
F' D' L2 B' R2 U B'
U2 F' D' L R2 U B2
U2 F' D' L' R2 U B2
U2 F' D' L2 R2 U B2
U2 F' D' R2 L U B2
U2 F' D' R2 L' U B2
U2 F' D' R2 L2 U B2
U2 F' D' R2 U B2 D
U2 F' D' R2 U B2 D'
U2 F' D' R2 U B2 D2
U2 F' D' R2 D L2 U
L2 F' D' R2 U2 F U'
D2 F' D2 L2 B' U F'
U2 F' D' U B2 D' F2
U2 F' D2 U F2 D B2
U2 F' D2 U2 R2 U' F2
L2 F' D2 U2 F U' F
F' D' R2 L2 B' U B'
F' D' R2 U2 F U' B2
F' D' R2 D L2 B' U
U2 F' B' L2 B U F
B D' R2 B U' F' B
B D' R2 B U' B F'
L2 F' B2 U2 F U' F'
F D' R2 B U L2 B
F D' R2 B U B L2
U F' B2 U L2 U L2
B2 D' U2 F' U F B2
B2 D' U2 F' U B2 F
D2 F2 U F2 R2 B U'
D F2 U' L2 F2 B' U'
D F2 U' L2 B' F2 U'
B D2 L R2 B U' F'
B' D2 L2 R2 B U' F
B D2 L' R2 B U' F'
