R2 D' B2 L F
L2 U F2 L' R2 F
L2 U F2 L' F R2
L2 U F2 R2 L' F
B' R2 D' B2 L F
B2 R2 D' B2 L F
B R2 D' B2 L F
R D F2 L' B' U2
R2 D' L F B2 L
R2 D' L B2 F L
R D' R B2 L F
R2 D' F B2 L F
R2 D' F' B2 L F
R2 D' F2 B2 L F
R2 D' B2 L D F
R2 D' B2 L D' F
R2 D' B2 L D2 F
R2 D' B2 L F D
R2 D' B2 L F D'
R2 D' B2 L F D2
R2 D' B2 D L F
R2 D' B2 D' L F
R2 D' B2 D2 L F
R2 D' B2 F L F
R2 D' B2 F' L F
R2 D' B2 F2 L F
R2 F D' B2 L F
R2 F' D' B2 L F
L2 F2 U L' R2 F
L2 F2 U L' F R2
L2 F2 U R2 L' F
R2 F2 D' B2 L F
R2 B2 D' L F B2
R2 B2 D' L B2 F
R2 F D' F' B2 L F
R2 F D' F2 B2 L F
R2 F D' B2 L D F
R2 F D' B2 L D' F
R2 F D' B2 L D2 F
R2 F D' B2 L F D
R2 F D' B2 L F D'
R2 F D' B2 L F D2
R2 F D' B2 D L F
R2 F D' B2 D' L F
R2 F D' B2 D2 L F
R2 F D' B2 F L F
R2 F D' B2 F' L F
R2 F D' B2 F2 L F
R2 F B2 D' L F B2
R2 F B2 D' L B2 F
R' F' R' D' B2 L F
F2 D' L' B2 D R2 F'
R2 F' D' L F B2 L
R2 F' D' L B2 F L
R2 F' D' F B2 L F
R2 F' D' F' B2 L F
R2 F' D' F2 B2 L F
R2 F' D' B2 L D F
R2 F' D' B2 L D' F
R2 F' D' B2 L D2 F
R2 F' D' B2 L F D
R2 F' D' B2 L F D'
R2 F' D' B2 L F D2
R2 F' D' B2 D L F
R2 F' D' B2 D' L F
R2 F' D' B2 D2 L F
R2 F' D' B2 F L F
R2 F' D' B2 F' L F
R2 F' D' B2 F2 L F
D' F2 L U' F L2 B2
D' F2 L U' F B2 L2
D' F2 L U' B2 F L2
R2 F' B2 D' L F B2
R2 F' B2 D' L B2 F
L F2 L U L2 F' R2
L F2 L U F' L2 R2
L F2 L U F' R2 L2
L F2 L' F' R2 D' B2
L2 F2 R U L' R F
L2 F2 R U R L' F
R F2 L' B' U L' U
R' F2 R' D' B2 L F
L2 F2 R' U L' R' F
L2 F2 R' U L' F R'
L2 F2 R' U R' L' F
U' F2 R2 D' L' F B2
U' F2 R2 D' L' B2 F
U' F2 R2 D' B2 L' F
L2 F2 U L' R' F R'
L2 F2 U L' R2 D F
L2 F2 U L' R2 D' F
L2 F2 U L' R2 D2 F
L2 F2 U L' R2 F D
L2 F2 U L' R2 F D'
L2 F2 U L' R2 F D2
L2 F2 U L' F R2 D
L2 F2 U L' F R2 D'
L2 F2 U L' F R2 D2
L2 F2 U L' F' R2 F2
L2 F2 U R' L' F R'
L2 F2 U R2 L' D F
L2 F2 U R2 L' D' F
L2 F2 U R2 L' D2 F
L2 F2 U R2 L' F D
L2 F2 U R2 L' F D'
L2 F2 U R2 L' F D2
L2 F2 U' L' F R2 B
R2 F2 D' L F B2 L
R2 F2 D' L B2 F L
R F2 D L' F2 B' U2
R F2 D L' B' F2 U2
R2 F2 D' F B2 L F
R2 F2 D' F' B2 L F
R2 F2 D' F2 B2 L F
R2 F2 D' B2 L D F
R2 F2 D' B2 L D' F
R2 F2 D' B2 L D2 F
R2 F2 D' B2 L F D
R2 F2 D' B2 L F D'
R2 F2 D' B2 L F D2
R2 F2 D' B2 D L F
R2 F2 D' B2 D' L F
R2 F2 D' B2 D2 L F
R2 F2 D' B2 F L F
R2 F2 D' B2 F' L F
R2 F2 D' B2 F2 L F
R F2 D' L' B' U2 B'
L2 F2 B U L' R2 F
L2 F2 B U L' F R2
L2 F2 B U R2 L' F
L2 F2 B' U L' R2 F
L2 F2 B' U L' F R2
L2 F2 B' U R2 L' F
L2 F2 B2 U L' R2 F
L2 F2 B2 U L' F R2
L2 F2 B2 U R2 L' F
R2 F2 B2 D' L F B2
R2 F2 B2 D' L B2 F
R B R D' B2 L F
L2 B U F2 L' R2 F
L2 B U F2 L' F R2
L2 B U F2 R2 L' F
R2 B D' B L F B
R2 B D' B L B F
R B D F2 L' B' U2
R B D' R B2 L F
L2 B F2 U L' R2 F
L2 B F2 U L' F R2
L2 B F2 U R2 L' F
L' B' R U L' U R
R B' R D' B2 L F
L2 B' U F2 L' R2 F
L2 B' U F2 L' F R2
L2 B' U F2 R2 L' F
R B' D F2 L' B' U2
R B' D' R B2 L F
L2 B' F2 U L' R2 F
L2 B' F2 U L' F R2
L2 B' F2 U R2 L' F
R2 B2 L F U' L U
R B2 R D' B2 L F
L2 B2 U F2 L' R2 F
L2 B2 U F2 L' F R2
L2 B2 U F2 R2 L' F
R2 B2 D L D2 F B2
R2 B2 D L D2 B2 F
R2 B2 D' L F B2 D
R2 B2 D' L F B2 D'
R2 B2 D' L F B2 D2
R2 B2 D' L B2 D F
R2 B2 D' L B2 D' F
R2 B2 D' L B2 D2 F
R2 B2 D' L B2 F D
R2 B2 D' L B2 F D'
R2 B2 D' L B2 F D2
R2 B2 D' L2 B2 L' F
R2 B2 D' F L F B2
R2 B2 D' F L B2 F
R2 B2 D' F' L F B2
R2 B2 D' F' L B2 F
R2 B2 D' F2 L F B2
R2 B2 D' F2 L B2 F
R2 B2 D2 L D F B2
R2 B2 D2 L D B2 F
R2 B2 D2 L F D B2
R B2 D F2 L' B' U2
R B2 D' R B2 L F
R2 B2 F D' L F B2
R2 B2 F D' L B2 F
L2 B2 F2 U L' R2 F
L2 B2 F2 U L' F R2
L2 B2 F2 U R2 L' F
R2 B2 F' D' L F B2
R2 B2 F' D' L B2 F
R2 B2 F2 D' L F B2
R2 B2 F2 D' L B2 F
