U' L U L' F
F U' L U L'
U' L R U L' F
U' L R' U L' F
U' L R2 U L' F
U' L U L' D F
U' L U L' D' F
U' L U L' D2 F
U' L U L' F D
U' L U L' F D'
U' L U L' F D2
U2 L U' L' U2 F
F L' U' L2 U L2
F L' D' B2 D L2
F L2 U' L' U L
U' R L U L' F
U' R' L U L' F
B2 R' B2 U' R F
U' R2 L U L' F
U' D L U L' F
B2 U R' B2 U' F
U' D' L U L' F
D2 U' L U L' F
D' U' L U L' F
D U' L U L' F
F' U' L U L' F2
F2 U' L U L' F'
F U' L U L' D
F U' L U L' D'
F U' L U L' D2
F U' L U D L'
F U' L U D' L'
F U' L U D2 L'
F U' L D U L'
F U' L D' U L'
F U' L D2 U L'
F U' D L U L'
F U' D' L U L'
F U' D2 L U L'
U' D2 L U L' F
F U' F L U L'
F U' F' L U L'
F U' F2 L U L'
F' U2 L U F2 R
D' F U' L U L'
D2 F U' L U L'
D F U' L U L'
U' F' L U L' F2
F D U' L U L'
U' F2 L U L' F'
F D' U' L U L'
F D2 U' L U L'
B2 F U R' B2 U'
F B2 U R' B2 U'
F2 L' U' L2 U L2 F'
F2 L' U' L2 U F' L2
F L' U' L2 U L2 D
F L' U' L2 U L2 D'
F L' U' L2 U L2 D2
F L' U' L2 D F2 U
F L' U' L2 F U L2
F L' U' L2 F' U L2
F L' U' L2 F2 U L2
F L' U' F L2 U L2
F L' U' F' L2 U L2
F L' U' F2 L2 U L2
B L' D L F B' L'
B L' D L B' F L'
F L' D' L B2 D L2
F L' D' L' B2 D L2
F L' D' L2 B2 D L2
F2 L' D' F' B2 D L2
F' L' D' B2 D L2 F2
F' L' D' B2 D F2 L2
F2 L' D' B2 D L2 F'
F2 L' D' B2 D F' L2
F2 L' D' B2 F' D L2
F L' D' B2 L D L2
F L' D' B2 L' D L2
F L' D' B2 L2 D L2
F L' D' B2 U B2 U'
F L' D' B2 D L2 D
F L' D' B2 D L2 D'
F L' D' B2 D L2 D2
F2 L' D2 R2 U' R2 F'
U' L' F L2 U L' F
F L' D2 B2 D L2 B2
F L' D2 B2 D B2 L2
U' L' F' L2 U L' F
F2 L' F' U' L2 U L2
F2 L' F' D' B2 D L2
U' L' F2 L2 U L' F
F' L' F2 U' L2 U L2
F' L' F2 D' B2 D L2
F L' B U' L2 F U
F L' B2 D L2 D2 B2
F L' B2 D' B2 D2 L2
F' L2 U' L' U L F2
F' L2 U' L' U F2 L
F2 L2 U' L' U L F'
F2 L2 U' L' U F' L
F L2 U' L' U L D
F L2 U' L' U L D'
F L2 U' L' U L D2
F L2 U' L' U D L
F L2 U' L' U D' L
F L2 U' L' U D2 L
F L2 U' L' D U L
F L2 U' L' D' U L
F L2 U' L' D2 U L
F L2 U' L' F U L
F L2 U' L' F' U L
F L2 U' L' F2 U L
F L2 U' D L' U L
F L2 U' D' L' U L
F L2 U' D2 L' U L
F L2 D U' L' U L
F L2 D' U' L' U L
F L2 D2 U' L' U L
F2 L2 F2 R U' R' F
F2 L2 F2 R U' F R'
F L2 F2 R U' R' F2
F L2 F2 R U' F2 R'
F' R L U R' F2 L'
U' R L U L' D F
U' R L U L' D' F
U' R L U L' D2 F
U' R L U L' F D
U' R L U L' F D'
U' R L U L' F D2
U2 R L U' L' U2 F
U2 R U L U L' F
F R U' L U L' R'
F R U' L U R' L'
F' R U2 L U R' F2
F' R U2 L U F2 R'
F2 R U2 L U R' F
F2 R U2 L U F R'
U' R D L U L' F
B2 R D R' F L2 B2
B2 R D R' F B2 L2
B2 R D R' B2 F L2
B2 R D F L2 R' B2
B2 R D F R' L2 B2
B2 R D F R' B2 L2
U' R D' L U L' F
R' U' L U L' R F
R' U' L U R L' F
U' R D2 L U L' F
R2 U' L U L' R2 F
R2 U' L U L' F R2
R2 U' L U R2 L' F
R U' L U L' R' F
R U' L U L' F R'
R U' L U R' L' F
L2 U' L' U L' F L2
L' U' L2 U L F L
B2 R F D L2 R' B2
B2 R F D R' L2 B2
B2 R F D R' B2 L2
U' R F' L U L' F2
L' U' L2 F R U L2
R' U' R F U' L U
U' R F2 L U L' F'
R U' R' F U' L U
R2 U' R2 F U' L U
U' R' L U L' D F
U' R' L U L' D' F
U' R' L U L' D2 F
U' R' L U L' F D
U' R' L U L' F D'
U' R' L U L' F D2
U R B2 R' U' F L
U2 R' L U' L' U2 F
L' U' F L2 R U L2
L' U' F R L2 U L2
R2 U' F R2 U' L U
R2 U' F U' L U R2
R U' F R' U' L U
R U' F U' L U R'
U2 R' U L U L' F
B2 R' U' R D F L2
B2 R' U' R F D L2
B2 R' U' D R F L2
F R' U' L U L' R
F R' U' L U R L'
F' R' U2 L U R F2
F2 R' U2 L U R F'
U' R' D L U L' F
R' U' B2 R D F B2
R' U' B2 R D B2 F
R' U' B2 R F D B2
B2 R' D U' R F L2
U' R' D' L U L' F
R' U2 L U D2 R F'
R' U2 L D2 U R F'
U' R' D2 L U L' F
L2 U2 L' U' L B' U2
U' R' F' L U L' F2
U' R' F2 L U L' F'
B2 R' B2 U' R D F
B2 R' B2 U' R D' F
B2 R' B2 U' R D2 F
B2 R' B2 U' R F D
B2 R' B2 U' R F D'
B2 R' B2 U' R F D2
B2 R' B2 U' R' F R2
B2 R' B2 U' R2 F R'
B2 R' B2 U' D R F
B2 R' B2 U' D' R F
B2 R' B2 U' D2 R F
B2 R' B2 D U' R F
B2 R' B2 D' U' R F
U' R2 L U L' D F
U' R2 L U L' D' F
U' R2 L U L' D2 F
U' R2 L U L' F D
U' R2 L U L' F D'
U' R2 L U L' F D2
B2 R' B2 D2 U' R F
F R' B2 R D L2 B2
F R' B2 R D B2 L2
U2 R2 L U' L' U2 F
U2 R2 U L U L' F
F R2 U' L U L' R2
F R2 U' L U R2 L'
F' R2 U2 L U R2 F2
F' R2 U2 L U F2 R2
F2 R2 U2 L U R2 F'
R' U2 B' U R F B
R' U2 B' U R B F
U' R2 D L U L' F
L2 U2 B' U L' U L
U' R2 D' L U L' F
F' R2 D' L2 F2 R U'
U' R2 D2 L U L' F
U R2 D B2 R' U' F
U' R2 F' L U L' F2
U' R2 F2 L U L' F'
B2 R2 B2 R U' R F
U' D L R U L' F
U' D L R' U L' F
U' D L R2 U L' F
U' D L U L' D F
U' D L U L' D' F
U' D L U L' D2 F
U' D L U L' F D
U' D L U L' F D'
U' D L U L' F D2
U2 D L U' L' U2 F
U' D R L U L' F
U' D R' L U L' F
B2 U R B2 R2 U' F
B2 U R' U' D F L2
B2 U R' U' F D L2
B2 U R' D U' F L2
U' D R2 L U L' F
F U R B2 R' U' L
B2 U R' B2 U' D F
B2 U R' B2 U' D' F
B2 U R' B2 U' D2 F
B2 U R' B2 U' F D
B2 U R' B2 U' F D'
B2 U R' B2 U' F D2
B2 U R' B2 D U' F
B2 U R' B2 D' U' F
B2 U R' B2 D2 U' F
B2 U R2 B2 R U' F
B2 U D R' U' F L2
F U R2 D B2 R' U'
U' D F' L U L' F2
L' D' L F B2 D L2
U' D F2 L U L' F'
L' D' L B2 D F L2
L' D' L B2 F D L2
B' U B R U' F B
B' U B R U' B F
D' U' L R U L' F
U' D' L R U L' F
D' U' L R' U L' F
D2 U' L R U L' F
U' D' L R' U L' F
D' U' L R2 U L' F
D2 U' L R' U L' F
U' D' L R2 U L' F
D' U' L U L' D F
D' U' L U L' D' F
D' U' L U L' D2 F
D' U' L U L' F D
D' U' L U L' F D'
D' U' L U L' F D2
D2 U' L R2 U L' F
U' D' L U L' D F
U' D' L U L' D' F
U' D' L U L' D2 F
U' D' L U L' F D
U' D' L U L' F D'
U' D' L U L' F D2
D2 U' L U L' D F
D2 U' L U L' D' F
D2 U' L U L' D2 F
D2 U' L U L' F D
D2 U' L U L' F D'
D2 U' L U L' F D2
U2 D' L U' L' U2 F
B U B R' B2 U' F
D U' L R U L' F
D U' L R' U L' F
D U' L R2 U L' F
D U' L U L' D F
D U' L U L' D' F
D U' L U L' D2 F
D U' L U L' F D
D U' L U L' F D'
D U' L U L' F D2
F' U B2 R' U' F2 L'
F' U' L R U L' F2
F' U' L R' U L' F2
F' U' L R2 U L' F2
F' U' L U L F2 L2
F' U' L U L' F2 D
F' U' L U L' F2 D'
F' U' L U L' F2 D2
F' U' L U L2 F2 L
U' D' R L U L' F
D' U' R L U L' F
D2 U' R L U L' F
F' U' L D R2 U L'
F2 U' L U L F' L2
F2 U' L U L' D F'
F2 U' L U L' D' F'
F2 U' L U L' D2 F'
F2 U' L U L' F' D
F2 U' L U L' F' D'
F2 U' L U L' F' D2
F2 U' L U L2 F' L
F2 U' L U D L' F'
F2 U' L U D' L' F'
F2 U' L U D2 L' F'
F U B2 R' U R U2
F2 U' L D U L' F'
F2 U' L D' U L' F'
F2 U' L D2 U L' F'
D' U' R' L U L' F
U' D' R' L U L' F
D2 U' R' L U L' F
D U' R L U L' F
F U' L U L2 D L
F U' L U L2 D' L
F U' L U L2 D2 L
F U' L U D L' D
F U' L U D L' D'
F U' L U D L' D2
F U' L U D' L' D
F U' L U D' L' D'
F U' L U D' L' D2
F U' L U D2 L' D
F U' L U D2 L' D'
F U' L U D2 L' D2
F U' L U B' L' B
F U' L U B2 L' B2
F U' L U' R U2 L'
F U' L U' R' U2 L'
F U' L U' R2 U2 L'
F U' L U2 B U' L'
F U' L U2 B' U' L'
F U' L U2 B2 U' L'
F U' L D U L' D
F U' L D U L' D'
F U' L D U L' D2
F U' L D' U L' D
F U' L D' U L' D'
F U' L D' U L' D2
F U' L D2 U L' D
F U' L D2 U L' D'
F U' L D2 U L' D2
F U' L F2 U' R U2
U' D' R2 L U L' F
D' U' R2 L U L' F
D2 U' R2 L U L' F
D U' R' L U L' F
F U' L' U D' L B2
F U' L' D' U L B2
F U' L' F L2 U L'
F' U' R L U L' F2
F U' L' F' L2 U L'
F U' L' F2 L2 U L'
D U' R2 L U L' F
F U' L2 D L' F2 U
F' U' R' L U L' F2
U' D' F' L U L' F2
D' U' F' L U L' F2
R2 D' F2 U2 L U F'
D2 U' F' L U L' F2
F' U' R2 L U L' F2
U' D' F2 L U L' F'
D' U' F2 L U L' F'
D2 U' F2 L U L' F'
D U' F' L U L' F2
L' D' B2 L D F L2
L' D' B2 L F D L2
F' U' D L R2 U L'
L' D' B2 L' D L2 F
F2 U' D L U L' F'
F' U' D R2 L U L'
D U' F2 L U L' F'
L' D' B2 D L F L
L' D2 L R2 U' R2 F
L' D2 L R2 U' F R2
F2 U' D' L U L' F'
F U' D L U L' D
F U' D L U L' D'
F U' D L U L' D2
F U' D L U D L'
F U' D L U D' L'
F U' D L U D2 L'
F U' D L D U L'
F U' D L D' U L'
F U' D L D2 U L'
F U' D F L U L'
F U' D F' L U L'
F U' D F2 L U L'
F2 U' D2 L U L' F'
F U' D' L U L' D
F U' D' L U L' D'
F U' D' L U L' D2
F U' D' L U D L'
F U' D' L U D' L'
F U' D' L U D2 L'
F U' D' L D U L'
F U' D' L D' U L'
F U' D' L D2 U L'
F' U' F L U L' F
F U' D' F L U L'
F U' D' F' L U L'
F2 U' F L U L' F2
F U' D' F2 L U L'
F U' D2 L U L' D
F U' D2 L U L' D'
F U' D2 L U L' D2
F U' D2 L U D L'
F U' D2 L U D' L'
F U' D2 L U D2 L'
F U' D2 L D U L'
F U' D2 L D' U L'
F U' D2 L D2 U L'
U' D2 L R U L' F
U' D2 L R' U L' F
U' D2 L R2 U L' F
U' D2 L U L' D F
U' D2 L U L' D' F
U' D2 L U L' D2 F
U' D2 L U L' F D
U' D2 L U L' F D'
U' D2 L U L' F D2
D' U2 L U' L' U2 F
F U' D2 F L U L'
F' U' F' L U L' F'
F U' D2 F' L U L'
D2 U2 L U' L' U2 F
F U' D2 F2 L U L'
F U' F L U L' D
F U' F L U L' D'
F U' F L U L' D2
F U' F L U D L'
F U' F L U D' L'
F U' F L U D2 L'
F U' F L D U L'
F U' F L D' U L'
F U' F L D2 U L'
U2 D2 L U' L' U2 F
F U' F D L U L'
F U' F D' L U L'
F U' F D2 L U L'
D U2 L U' L' U2 F
F2 U' F2 L U L' F
F U' F' L U L' D
F U' F' L U L' D'
F U' F' L U L' D2
F U' F' L U D L'
F U' F' L U D' L'
F U' F' L U D2 L'
F U' F' L D U L'
F U' F' L D' U L'
F U' F' L D2 U L'
F U' F' D L U L'
F U' F' D' L U L'
F U' F' D2 L U L'
F U' F2 L U L' D
F U' F2 L U L' D'
F U' F2 L U L' D2
F U' F2 L U D L'
F U' F2 L U D' L'
F U' F2 L U D2 L'
F U' F2 L D U L'
F U' F2 L D' U L'
F U' F2 L D2 U L'
L' D2 R2 L U' R2 F
L' D2 R2 L U' F R2
U' D2 R L U L' F
F U' F2 D L U L'
F U' F2 D' L U L'
F U' F2 D2 L U L'
U' D2 R' L U L' F
U' D2 R2 L U L' F
F' U2 L R U F2 R
F' U2 L R' U F2 R
F' U2 L R2 U F2 R
F' U2 L U R F2 R
F' U2 L U R' F2 R
F' U2 L U R2 F2 R
F' U2 L U F2 R D
F' U2 L U F2 R D'
F' U2 L U F2 R D2
F' U2 L U F2 D R
F' U2 L U F2 D' R
F' U2 L U F2 D2 R
F' U2 L U' L' U2 F2
F2 U2 L U F2 R F
F2 U2 L U' L' U2 F'
F' U2 L B U F2 R
F' U2 L B' U F2 R
F' U2 L B2 U F2 R
U' D2 F' L U L' F2
U' D2 F2 L U L' F'
F' U2 R L U F2 R
F' U2 R' L U F2 R
F U2 R U L U L'
F' U2 R2 L U F2 R
F U2 R' U L U L'
F U2 R2 U L U L'
U' F L F' U F L'
U' F L F2 U F2 L'
D' F L' U' L2 U L2
D2 F L' U' L2 U L2
D' F L' D' B2 D L2
D2 F L' D' B2 D L2
D' F L2 U' L' U L
D2 F L2 U' L' U L
D F L' U' L2 U L2
D F L' D' B2 D L2
D F L2 U' L' U L
F U2 F U L F' U
F U2 F U F' L U
F U2 F' U F L U
F U2 F2 U L F2 U
F U2 F2 U F2 L U
R F R' U' L U L'
R2 F R2 U' L U L'
U' F U' L U' L' U2
D' F U' L U L' D
D' F U' L U L' D'
D' F U' L U L' D2
D' F U' L U D L'
D' F U' L U D' L'
D' F U' L U D2 L'
D' F U' L D U L'
D' F U' L D' U L'
D' F U' L D2 U L'
D2 F U' L U L' D
D2 F U' L U L' D'
D2 F U' L U L' D2
D2 F U' L U D L'
D2 F U' L U D' L'
D2 F U' L U D2 L'
D2 F U' L D U L'
D2 F U' L D' U L'
D2 F U' L D2 U L'
D' F U' D L U L'
D' F U' D' L U L'
D2 F U' D L U L'
D' F U' D2 L U L'
D2 F U' D' L U L'
D' F U' F L U L'
D2 F U' D2 L U L'
D2 F U' F L U L'
D' F U' F' L U L'
D2 F U' F' L U L'
D' F U' F2 L U L'
D2 F U' F2 L U L'
R2 F U' L U L' R2
R2 F U' L U R2 L'
D F U' L U L' D
D F U' L U L' D'
D F U' L U L' D2
D F U' L U D L'
D F U' L U D' L'
D F U' L U D2 L'
D F U' L D U L'
D F U' L D' U L'
D F U' L D2 U L'
D F U' D L U L'
D F U' D' L U L'
D F U' D2 L U L'
D F U' F L U L'
D F U' F' L U L'
R F U' L U L' R'
R F U' L U R' L'
D F U' F2 L U L'
D' F D U' L U L'
D2 F D U' L U L'
F D L' U' L2 U L2
D' F D' U' L U L'
D2 F D' U' L U L'
F D L' D' B2 D L2
D F D U' L U L'
F D L2 U' L' U L
D' F D2 U' L U L'
D2 F D2 U' L U L'
D F D' U' L U L'
B2 D R' U' R F L2
U' F B U' B' L U
D F D2 U' L U L'
U' F B2 U' B2 L U
D' F B2 U R' B2 U'
D2 F B2 U R' B2 U'
B2 D U R' U' F L2
U' F' L R U L' F2
U' F' L R' U L' F2
U' F' L R2 U L' F2
U' F' L U L F2 L2
U' F' L U L' F2 D
U' F' L U L' F2 D'
U' F' L U L' F2 D2
U' F' L U L2 F2 L
F' D U' L R2 U L'
U' F' L D R2 U L'
F2 D U' L U L' F'
F' D U' R2 L U L'
D F B2 U R' B2 U'
F D U' L U L' D
F D U' L U L' D'
F D U' L U L' D2
F D U' L U D L'
F D U' L U D' L'
F D U' L U D2 L'
F D U' L D U L'
F D U' L D' U L'
F D U' L D2 U L'
F D U' F L U L'
F D U' F' L U L'
B2 D F L2 U R' U'
F D U' F2 L U L'
R F' L U R' F2 L'
B2 D F U R' U' L2
U' F' R L U L' F2
F2 D F' U' L U L'
U' F' R' L U L' F2
U' F' R2 L U L' F2
U' F' U' L U F2 R
D2 F' U' L U L' F2
D' F' U' L U L' F2
D2 F' U2 L U F2 R
D' F' U2 L U F2 R
D F' U' L U L' F2
U' F' D L R2 U L'
F D B2 U R' B2 U'
U' F' D R2 L U L'
R2 F' U2 L U R2 F2
R2 F' U2 L U F2 R2
D F' U2 L U F2 R
R F' U2 L U R' F2
R F' U2 L U F2 R'
F' D' L2 F2 R U' R'
F D' L' U' L2 U L2
F D' L' D' B2 D L2
R2 F' D' L2 F2 R U'
F D' L2 U' L' U L
U' F2 L U L F' L2
U' F2 L U L' D F'
U' F2 L U L' D' F'
U' F2 L U L' D2 F'
U' F2 L U L' F' D
U' F2 L U L' F' D'
U' F2 L U L' F' D2
U' F2 L U L2 F' L
U' F2 L U D L' F'
U' F2 L U D' L' F'
U' F2 L U D2 L' F'
U' F2 L D U L' F'
U' F2 L D' U L' F'
U' F2 L D2 U L' F'
F2 D' U' L U L' F'
U2 F2 L F2 U R F
F D' U' L U L' D
F D' U' L U L' D'
F D' U' L U L' D2
F D' U' L U D L'
F D' U' L U D' L'
F D' U' L U D2 L'
F D' U' L D U L'
F D' U' L D' U L'
F D' U' L D2 U L'
F D' U' F L U L'
F D' U' F' L U L'
F D' U' F2 L U L'
L2 F2 L2 R U' R' F
L2 F2 L2 R U' F R'
F2 D' F' U' L U L'
L2 F2 R L2 U' R' F
L2 F2 R L2 U' F R'
U2 F2 U L F2 U F
D2 F2 U' L U L' F'
D' F2 U' L U L' F'
D F2 U' L U L' F'
U' F2 D L U L' F'
F D' B2 U R' B2 U'
R2 F2 U2 L U F' R2
U' F2 D' L U L' F'
R F2 U2 L U F' R'
F D2 L' U' L2 U L2
U' F2 D2 L U L' F'
F D2 L' D' B2 D L2
F D2 L2 U' L' U L
F2 D2 U' L U L' F'
F D2 U' L U L' D
F D2 U' L U L' D'
F D2 U' L U L' D2
F D2 U' L U D L'
F D2 U' L U D' L'
F D2 U' L U D2 L'
F D2 U' L D U L'
F D2 U' L D' U L'
F D2 U' L D2 U L'
F D2 U' F L U L'
F D2 U' F' L U L'
F D2 U' F2 L U L'
F2 D2 F' U' L U L'
L' B U' L2 F R U
B2 F L U R' B2 U'
F D2 B2 U R' B2 U'
B2 F L' U R' B2 U'
B2 F L2 U R' B2 U'
B2 F R D L2 R' B2
B2 F R D R' L2 B2
B2 F R D R' B2 L2
U' B F U' B' L U
B' F U B R U' B
B2 F U R B2 R2 U'
B2 F U R' U' D L2
B2 F U R' D U' L2
B2 F U R' B2 U' D
B2 F U R' B2 U' D'
B2 F U R' B2 U' D2
B2 F U R' B2 D U'
B2 F U R' B2 D' U'
B2 F U R' B2 D2 U'
B2 F U R2 B2 R U'
B2 F U D R' U' L2
B2 F U B2 U2 L U
B F U B R' B2 U'
B F U B' U2 L U
F B U B R' B2 U'
F B U B' U2 L U
B2 F D L2 U R' U'
B2 F D U R' U' L2
B2 F' R' B2 U' R F2
B2 F' U R' B2 U' F2
F B' U B R U' B
R' B2 R D F L2 B2
R' B2 R D F B2 L2
R' B2 R D B2 F L2
R' B2 R F D L2 B2
R' B2 R F D B2 L2
F B2 L U R' B2 U'
R' B2 R' B2 U' R2 F
R' B2 R' B2 U' F R2
D2 B2 R' B2 U' R F
D' B2 R' B2 U' R F
F B2 L' U R' B2 U'
D2 B2 U R' B2 U' F
D' B2 U R' B2 U' F
U B2 R' U R U2 F
D B2 R' B2 U' R F
U B2 R' U' F2 L' F'
F B2 L2 U R' B2 U'
F' B2 R' B2 U' R F2
R B2 R' B2 U' R' F
R B2 R' B2 U' F R'
B2 F2 R' B2 U' R F'
D B2 U R' B2 U' F
F B2 R D L2 R' B2
F B2 R D R' L2 B2
F B2 R D R' B2 L2
F2 B2 R' B2 U' R F'
F' B2 U R' B2 U' F2
U2 B2 U2 R' U' R F
U B2 U' R' U' R F
F B2 U R B2 R2 U'
F B2 U R' U' D L2
F B2 U R' D U' L2
F B2 U R' B2 U' D
F B2 U R' B2 U' D'
F B2 U R' B2 U' D2
F B2 U R' B2 D U'
F B2 U R' B2 D' U'
F B2 U R' B2 D2 U'
F B2 U R2 B2 R U'
F B2 U D R' U' L2
F B2 U B2 U2 L U
U' B2 F U' B2 L U
D2 B2 F U R' B2 U'
D' B2 F U R' B2 U'
F B2 D L2 U R' U'
D B2 F U R' B2 U'
F B2 D U R' U' L2
