U' R B U2 R'
U' L R B U2 R'
U' L' R B U2 R'
U' L2 R B U2 R'
U' R L B U2 R'
U' R L' B U2 R'
U' R L2 B U2 R'
U' R B L U2 R'
U' R B L' U2 R'
U' R B L2 U2 R'
U' R B U2 R' D
U' R B U2 R' D'
U' R B U2 R' D2
U' R B U2 D R'
U' R B U2 D' R'
U' R B U2 D2 R'
U' R B D U2 R'
U' R B D' U2 R'
U' R B D2 U2 R'
U' R B' L B2 U2
B' U' L R B U2
B' U' R L B U2
B U' R U2 R2 F'
B U' R B U2 R2
U' B R U2 R2 F'
U' B R B U2 R2
U' B' L R B U2
U' B' R L B U2
U' B2 R B L U2
U' R B' L U2 D2 F2
U' R B' L D2 U2 F2
U' R B' L B2 U2 D
U' R B' L B2 U2 D'
U' R B' L B2 U2 D2
U' R B' L B2 D U2
U' R B' L B2 D' U2
U' R B' L B2 D2 U2
U' R B' L' B2 L2 U2
U' R B' L2 B2 L' U2
U R B U2 R' F' B'
U R B U2 R' B' F'
F R B F U L' R'
F R B F U R' L'
U' R B' D2 L U2 F2
U R B' L U2 F B
U R B' L U2 B F
U' R B2 L2 U2 F R
U' R B2 D B' U2 R'
U' R B2 D' B' U2 R'
U' R B2 D2 B' U2 R'
R2 U' D2 R' U2 F' R
R' U' B R2 U2 R F'
U' R' U2 D2 L2 F' R
U' R' U2 D2 F' L2 R
U' R' U2 D2 F' R L2
R2 U' B2 U2 L F R
U' R' D2 U2 L2 F' R
U' R' D2 U2 F' L2 R
U' R' D2 U2 F' R L2
U' R' D2 F' L2 R B'
U' R' D2 F' L2 B' R
U' R' D2 F' R L2 B'
U' R' B R2 B U2 R
U' R' B' L R2 B U2
U' R' B' R2 L B U2
U' R' B2 R2 B L U2
B' R2 U' L R' U2 F'
D2 R2 U' R' U2 F' R
B' R2 U' R' L U2 F'
B R2 U' R' U2 F' R2
R U2 B L U' L' R'
R U2 B L U' R' L'
D' R2 B2 U L F R
B' R2 B2 U L R' F
B' R2 B2 U L F R'
B' R2 B2 U R' L F
B R2 B2 U L R F
B R2 B2 U R L F
B U L R' D2 F L2
B U L R' F D2 L2
B U L F2 L' F' R'
B U L' R' D2 L2 F
D2 U L2 F2 L' F R
B' U L2 F2 L' R F
B' U L2 F2 R L' F
U' D R D' B U2 R'
B U L2 F2 L' R' F
B U L2 F2 L' F R'
B U L2 F2 R' L' F
B U R' L D2 F L2
B U R' L F D2 L2
B U R' L' D2 L2 F
B U R' D2 L F L
D2 U F2 L F L2 R
D2 U F2 L F R L2
B U F L R' F L'
B U F L F L' R'
B U F L F R' L'
B U F R' L F L'
B U F2 L R' F L2
B U F2 L F L2 R'
B U F2 L F R' L2
B U F2 R' L F L2
B' U' L R D B U2
B' U' L R D' B U2
B' U' L R D2 B U2
B' U' L R B U2 D
B' U' L R B U2 D'
B' U' L R B U2 D2
B' U' L R B D U2
B' U' L R B D' U2
B' U' L R B D2 U2
B' U' L D R B U2
B' U' L D' R B U2
B' U' L D2 R B U2
D2 U' R U2 R2 F' R
B' U' L B R B U2
B' U' L B' R B U2
B' U' L B2 R B U2
B' U' L' R B L2 U2
D2 U' R D2 B U2 R'
B U' L R U2 R2 F'
B U' L R B U2 R2
U' D' R B U' F' U'
D' U' R B U' F' U'
D U' R D' B U2 R'
B' U' L2 R B L' U2
B U' L' R U2 R2 F'
B U' L' R B U2 R2
B' U' R L D B U2
B' U' R L D' B U2
B' U' R L D2 B U2
B' U' R L B U2 D
B' U' R L B U2 D'
B' U' R L B U2 D2
B' U' R L B D U2
B' U' R L B D' U2
B' U' R L B D2 U2
B U' L2 R U2 R2 F'
B' U' R L' B L2 U2
B U' L2 R B U2 R2
B' U' R L2 B L' U2
B' U' R D L B U2
B' U' R D' L B U2
B' U' R D2 L B U2
B U' R L U2 R2 F'
B U' R L B U2 R2
B U' R L' U2 R2 F'
B U' R L' B U2 R2
B U' R L2 U2 R2 F'
B U' R L2 B U2 R2
B U' R U2 R2 D F'
B U' R U2 R2 D' F'
B U' R U2 R2 D2 F'
B U' R U2 R2 F' D
B U' R U2 R2 F' D'
B U' R U2 R2 F' D2
B U' R U2 F R2 F'
B U' R U2 F' R2 F'
B U' R U2 F2 R2 F'
B U' R D2 L2 B U2
B U' R D2 B L2 U2
B U' R B L U2 R2
B U' R B L' U2 R2
B U' R B L2 U2 R2
B U' R B U2 R2 D
B U' R B U2 R2 D'
B U' R B U2 R2 D2
B U' R B D2 L2 U2
B U' R' D2 F' L2 B'
B U' R' F' D2 L2 B'
B' U' D L R B U2
B' U' D R L B U2
B' U' D' L R B U2
B' U' D' R L B U2
B U' D R U2 R2 F'
B U' D R B U2 R2
B' U' D2 L R B U2
B' U' D2 R L B U2
B U' D' R U2 R2 F'
B U' D' R B U2 R2
B U' D2 R U2 R2 F'
B U' D2 R B U2 R2
B' U' B R B U2 R'
U' D2 R U2 R2 F' R
B' U' B' R B L U2
U' D2 R D2 B U2 R'
B U' B R B L U2
U D2 L2 F2 L' F R
B' U' B2 R U2 R2 F'
B' U' B2 R B U2 R2
B U' B' R B U2 R'
B U' B2 L R B U2
B U' B2 R L B U2
R2 D2 U' R' U2 F' R
F' U2 L' B U' L R'
F' U2 L' B U' R' L
U D2 F2 L F L2 R
U D2 F2 L F R L2
F' U2 B L' U' L2 R'
F' U2 B L' U' R' L2
D F D R F' U R
F D R D F' U R
B' D U' L R B U2
B' D U' R L B U2
B D U' R U2 R2 F'
B D U' R B U2 R2
F2 D' R' B U L' F
F2 D' R2 U L' F R
B' D' U' L R B U2
B' D' U' R L B U2
B D' U' R U2 R2 F'
B D' U' R B U2 R2
U F2 L' U2 B' L U2
U2 F2 B L U' L2 R'
U2 F2 B L U' R' L2
U' B L R U2 R2 F'
U' B L R B U2 R2
B' D2 U' L R B U2
B' D2 U' R L B U2
U' B L' R U2 R2 F'
U' B L' R B U2 R2
U2 B L U R U2 R2
U2 B L U' R' D2 L2
B D2 U' R U2 R2 F'
B D2 U' R B U2 R2
U2 B L F2 U' L' R'
U2 B L F2 U' R' L'
U' B L2 R U2 R2 F'
U' B L2 R B U2 R2
U' B R L U2 R2 F'
U' B R L B U2 R2
U' B R L' U2 R2 F'
U' B R L' B U2 R2
U' B R L2 U2 R2 F'
U' B R L2 B U2 R2
U' B R U2 R2 D F'
U' B R U2 R2 D' F'
U' B R U2 R2 D2 F'
U' B R U2 R2 F' D
U' B R U2 R2 F' D'
U' B R U2 R2 F' D2
U' B R U2 F R2 F'
U' B R U2 F' R2 F'
U' B R U2 F2 R2 F'
U' B R D2 L2 B U2
U' B R D2 B L2 U2
U' B R B L U2 R2
U' B R B L' U2 R2
U' B R B L2 U2 R2
U' B R B U2 R2 D
U' B R B U2 R2 D'
U' B R B U2 R2 D2
U' B R B D2 L2 U2
U' B R' D2 F' L2 B'
U' B R' F' D2 L2 B'
R' B U' R2 U2 R F'
U' B D R U2 R2 F'
U' B D R B U2 R2
U' B D' R U2 R2 F'
U' B D' R B U2 R2
U' B D2 R U2 R2 F'
U' B D2 R B U2 R2
B F R F U L' R2
B F R F U R2 L'
F B R F U L' R2
F B R F U R2 L'
U' B' L R D B U2
U' B' L R D' B U2
U' B' L R D2 B U2
U' B' L R B U2 D
U' B' L R B U2 D'
U' B' L R B U2 D2
U' B' L R B D U2
U' B' L R B D' U2
U' B' L R B D2 U2
F2 B U R' D' L' F
U2 B F2 L U' L2 R'
U2 B F2 L U' R' L2
F2 B U D' L' R' F
F2 B U D' L' F R'
U' B' L D R B U2
F2 B U D' R' L' F
U' B' L D' R B U2
U' B' L D2 R B U2
U' B' L B R B U2
U' B' L B' R B U2
U' B' L B2 R B U2
U' B' L' R B L2 U2
U' B' L2 R B L' U2
U' B' R L D B U2
U' B' R L D' B U2
U' B' R L D2 B U2
U' B' R L B U2 D
U' B' R L B U2 D'
U' B' R L B U2 D2
U' B' R L B D U2
U' B' R L B D' U2
U' B' R L B D2 U2
U' B' R L' B L2 U2
U' B' R L2 B L' U2
U' B' R D L B U2
U' B' R D' L B U2
U' B' R D2 L B U2
B F D R F' U R2
F2 B D' U L' R' F
F2 B D' U L' F R'
F2 B D' U R' L' F
F B D R F' U R2
U' B' D L R B U2
U' B' D R L B U2
U' B' D' L R B U2
U' B' D' R L B U2
U' B' D2 L R B U2
U' B' D2 R L B U2
U' B2 L R B L U2
U' B2 L' R B L U2
U' B2 L2 R B L U2
U' B2 R L B L U2
U' B2 R L' B L U2
U' B2 R L2 B L U2
U' B2 R D B L U2
U' B2 R D' B L U2
U' B2 R D2 B L U2
U' B2 R B L U2 D
U' B2 R B L U2 D'
U' B2 R B L U2 D2
U' B2 R B L D U2
U' B2 R B L D' U2
U' B2 R B L D2 U2
U' B2 R B D L U2
U' B2 R B D' L U2
U' B2 R B D2 L U2
U' B2 D R B L U2
U' B2 D' R B L U2
B F2 U R' D' L' F
B F2 U D' L' R' F
B F2 U D' L' F R'
B F2 U D' R' L' F
U' B2 D2 R B L U2
B F2 D' U L' R' F
B F2 D' U L' F R'
B F2 D' U R' L' F
