R' F' D' L2 B2
R' F' D' B2 L2
F L2 R U R2 F'
F L2 R2 U R F'
F R L2 U R2 F'
R' U' F L2 U F2
F' R' D' L2 F' B2
F' R' D' L2 B2 F'
F' R' D' F' L2 B2
F' R' D' F' B2 L2
F' R' D' B2 L2 F'
F' R' D' B2 F' L2
D' R' F' B2 D' L2
D' R' B2 F' D' L2
F R2 L2 U R F'
R' D' F' B2 D' L2
R' D' B2 F' D' L2
U' F L2 U R' F'
U F L2 R U R2
R F L2 U R2 F'
U F R L2 U R2
R' F' U' L2 F2 U
R' F' U' F2 L2 U
R' F' D' L' B2 L'
R' F' D' L2 B2 D
R' F' D' L2 B2 D'
R' F' D' L2 B2 D2
F' D' L2 R' F' B2
F' D' L2 R' B2 F'
R' F' D' B L2 B
R' F' D' B2 L2 D
R' F' D' B2 L2 D'
R' F' D' B2 L2 D2
F' D' R' L2 F' B2
F' D' R' L2 B2 F'
R' F' B D' L2 B2
R' F' B D' B2 L2
R' F' B D' B2 L2
F' D' R' F' L2 B2
F' D' R' F' B2 L2
F' D' R' B2 L2 F'
F' D' R' B2 F' L2
R' F' B' D' L2 B2
R' F' B' D' B2 L2
R' F' B2 D' L2 B2
R' F' B2 D' B2 L2
R' B F' D' L2 B2
R' B F' D' B2 L2
R' B' F' D' L2 B2
R' B' F' D' B2 L2
R' B2 F' D' L2 B2
R' B2 F' D' B2 L2
F U F R' D' F2 B2
F U F R' D' B2 F2
R' D' U' F U F2 B2
R' D' U' F U B2 F2
R' D' F' L B2 D' L2
R' D' F' L' B2 D' L2
R' D' F' L2 B2 D' L2
R' D' F' U' F2 U B2
R' D' F' D' L2 D B2
R' D' F' B D' L2 B
R' D' F' B D' B L2
R' D' F' B' D' B' L2
R' D' F' B2 L D' L2
R' D' F' B2 L' D' L2
R' D' F' B2 L2 D' L2
R' D' F' B2 U' F2 U
R' D' F' B2 D' L2 D
R' D' F' B2 D' L2 D'
R' D' F' B2 D' L2 D2
F' U' L2 F2 U R' F'
F2 U' L2 F' U R' F'
U' D' F U R' F' B2
D' U' F U R' F' B2
D' U' F U R' B2 F'
U' D' F U R' B2 F'
R' D' B F' D' L2 B
R' D' B F' D' B L2
U D' F R U R2 B2
U D' F R U B2 R2
R' D' B' F' D' B' L2
R' D' B2 U' F U F2
R' D' B2 D F' D' L2
R' D' B2 D' F' D' L2
R' D' B2 D2 F' D' L2
R' D' B2 F' L D' L2
R' D' B2 F' L' D' L2
R' D' B2 F' L2 D' L2
R' D' B2 F' U' F2 U
R' D' B2 F' D' L2 D
R' D' B2 F' D' L2 D'
R' D' B2 F' D' L2 D2
F2 U' F' L2 U R' F'
F' U' F2 L2 U R' F'
R' D2 F' D B2 D2 L2
R' D2 F' D' L2 D2 B2
R' F L2 R U R' F2
R' F L2 R U F2 R'
R' F L2 R' U R F2
R' F L2 R2 U R2 F2
R' F L2 R2 U F2 R2
U' F L2 U R' D F'
U' F L2 U R' D' F'
U' F L2 U R' D2 F'
U' F L2 U R' F' D
U' F L2 U R' F' D'
U' F L2 U R' F' D2
U' F L2 U D R' F'
U' F L2 U D' R' F'
U' F L2 U D2 R' F'
U' F L2 U F R' F'
U' F L2 U F' R' F'
U' F L2 U F2 R' F'
R' F L2 U F2 D R2
U' F L2 D U R' F'
R' F L2 D R2 U R2
U' F L2 D' U R' F'
U' F L2 D2 U R' F'
R' F R L2 U R' F2
R' F R L2 U F2 R'
R2 F L2 R U F' R
D' F R U R2 F' B2
D' F R U R2 B2 F'
R2 F L2 U R F' R
R2 F L2 U F' R F'
U F L2 R U R2 D
U F L2 R U R2 D'
U F L2 R U R2 D2
U F L2 R D B2 U
U F L2 R B U R2
U F L2 R B' U R2
U F L2 R B2 U R2
U F L2 U R' D' F2
R F L2 R U R F'
R' F R' L2 U R F2
U F L2 D R U R2
R2 F R L2 U F' R
U F L2 D' R U R2
R F L2 U R2 D F'
R F L2 U R2 D' F'
R F L2 U R2 D2 F'
R F L2 U R2 F' D
R F L2 U R2 F' D'
R F L2 U R2 F' D2
R F L2 U F R2 F'
R F L2 U F' R2 F'
R F L2 U F2 R2 F'
U F L2 D2 R U R2
R F L2 U' B U2 R2
U F R L2 U R2 D
U F R L2 U R2 D'
U F R L2 U R2 D2
U F R L2 D B2 U
U F R L2 B U R2
U F R L2 B' U R2
U F R L2 B2 U R2
U F R U R2 D' B2
R' F R2 L2 U R2 F2
R' F R2 L2 U F2 R2
R F R L2 U R F'
D' F R2 U R F' B2
D' F R2 U R B2 F'
D' F R2 U B2 R F'
U F R B L2 U R2
U F R B' L2 U R2
U F R B2 L2 U R2
U' F U R' D' F' B2
U' F U R' D' B2 F'
U' F U R' F' D' B2
U' F U D' R' F' B2
U' F U D' R' B2 F'
U F U R' D' F2 B2
U F U R' D' B2 F2
R F U R2 D' F' B2
R F U R2 D' B2 F'
R F U R2 F' D' B2
U' F D' U R' F' B2
U' F D' U R' B2 F'
U F D' R U R2 B2
U F D' R U B2 R2
F' D R' D2 F' B2 L
F' D R' D2 B2 L F'
F' D R' D2 B2 F' L
R' F' L U' L F2 U
R' F' L U' F2 L U
R' F' L' U' L' F2 U
R F B2 L2 U R2 F
R F B2 L2 U F R2
R' F' L2 D' L2 D' B2
U' F' L2 F2 U R' F'
R' F' R D' L2 R' B2
R' F' R D' R' L2 B2
R' F' R D' R' B2 L2
F' D F2 R2 U2 R F'
R' F' R' D' L2 R B2
R' F' R' D' L2 B2 R
R' F' R' D' R L2 B2
R' F' R' D' R B2 L2
R' F' R' D' B2 L2 R
R' F' R' D' B2 R L2
R F' L2 F2 U R2 F'
D' F' R' B2 D' L2 F'
D' F' R' B2 D' F' L2
R' F' U D2 R2 B2 U'
R' F' U D2 B2 R2 U'
R' F' U' L F2 L U
R' F' U' L2 U D' L2
R' F' U' L2 D' U L2
R' F' U' L2 F2 U D
R' F' U' L2 F2 U D'
R' F' U' L2 F2 U D2
R' F' U' L2 F2 D U
R' F' U' L2 F2 D' U
R' F' U' L2 F2 D2 U
R' F' U' F' L2 F' U
R F' R2 D' L2 F' B2
R F' R2 D' L2 B2 F'
R' F' U' F2 L2 U D
R' F' U' F2 L2 U D'
R' F' U' F2 L2 U D2
R' F' U' F2 L2 D U
R' F' U' F2 L2 D' U
R' F' U' F2 L2 D2 U
R' F' U' F2 U D' B2
R F' R2 D' F' L2 B2
R F' R2 D' F' B2 L2
R' F' U' F2 D' U B2
R F' R2 D' B2 L2 F'
R F' R2 D' B2 F' L2
F' D' L R' F' L B2
R' F' U2 D R2 F2 U2
R' F' U2 D F2 R2 U2
F' D' L' R' B2 L' F'
R' F' D L D2 L2 B2
R' F' D L D2 B2 L2
R' F' D L' D2 L2 B2
R' F' D L' D2 B2 L2
R' F' D L2 D2 L2 B2
R' F' D L2 D2 B2 L2
D2 F' D R' F' B2 L
D2 F' D R' B2 L F'
D2 F' D R' B2 F' L
R' F' D U2 R2 F2 U2
R' F' D U2 F2 R2 U2
R' F' D B D2 L2 B2
R' F' D B D2 B2 L2
R' F' D B' D2 L2 B2
R' F' D B' D2 B2 L2
F' D' L2 R' F' B2 D
F' D' L2 R' F' B2 D'
F' D' L2 R' F' B2 D2
F' D' L2 R' B2 D F'
F' D' L2 R' B2 D' F'
F' D' L2 R' B2 D2 F'
F' D' L2 R' B2 F' D
F' D' L2 R' B2 F' D'
F' D' L2 R' B2 F' D2
R' F' D B2 D2 L2 B2
R' F' D B2 D2 B2 L2
F' D' L2 R2 B2 R F'
R' F' D' L' B L' B
R' F' D' L' B2 L' D
R' F' D' L' B2 L' D'
R' F' D' L' B2 L' D2
R' F' D' L' B2 D L'
R' F' D' L' B2 D' L'
R' F' D' L' B2 D2 L'
R' F' D' L2 R' B2 R
R' F' D' L2 R2 B2 R2
R' F' D' L2 B D B
R' F' D' L2 B D' B
R' F' D' L2 B D2 B
R' F' D' L2 B' D B'
R' F' D' L2 B' D' B'
R' F' D' L2 B' D2 B'
R' F' D' R' L2 B2 R
R' F' D' R' B2 L2 R
R' F' D' R' B2 R L2
R' F' D' R2 L2 B2 R2
R' F' D' R2 B2 L2 R2
R' F' D' R2 B2 R2 L2
F' D' L2 F R' F' B2
F' D' L2 F R' B2 F'
F' D' L2 F' R' F' B2
F' D' L2 F' R' B2 F'
F' D' L2 F2 R' F' B2
F' D' L2 F2 R' B2 F'
R' F' D' F L2 F' B2
R' F' D' F L2 B2 F'
R' F' D' F B2 L2 F'
R' F' D' F2 L2 F2 B2
R' F' D' F2 L2 B2 F2
R' F' D' F2 B2 L2 F2
R' F' D' B L' B L'
R' F' D' B L2 D B
R' F' D' B L2 D' B
R' F' D' B L2 D2 B
R' F' D' B L2 B D
R' F' D' B L2 B D'
R' F' D' B L2 B D2
R' F' D' B2 L D L
R' F' D' B2 L D' L
R' F' D' B2 L D2 L
R' F' D' B2 L' D L'
R' F' D' B2 L' D' L'
R' F' D' B2 L' D2 L'
R' F' D' B2 F L2 F'
R' F' D' B2 F2 L2 F2
R' F' D2 L D L2 B2
R' F' D2 L D B2 L2
R' F' D2 L' D L2 B2
R' F' D2 L' D B2 L2
R' F' D2 L2 D L2 B2
R' F' D2 L2 D B2 L2
R' F' D2 U R2 B2 U'
R' F' D2 U B2 R2 U'
F' D' R B2 L2 R2 F
F' D' R B2 L2 F R2
F' D' R B2 R2 L2 F
F' D' R' L F' L B2
F' D' R' L' B2 L' F'
F' D' R' L2 F' B2 D
F' D' R' L2 F' B2 D'
F' D' R' L2 F' B2 D2
F' D' R' L2 B2 D F'
F' D' R' L2 B2 D' F'
F' D' R' L2 B2 D2 F'
F' D' R' L2 B2 F' D
F' D' R' L2 B2 F' D'
F' D' R' L2 B2 F' D2
F' D' R' F L2 F2 B2
F' D' R' F L2 B2 F2
F' D' R' F B2 L2 F2
F' D' R' F' L' B2 L'
F' D' R' F' L2 B2 D
F' D' R' F' L2 B2 D'
F' D' R' F' L2 B2 D2
R' F' B U' L2 F2 U
F' D' R' F' B L2 B
F' D' R' F' B2 L2 D
F' D' R' F' B2 L2 D'
F' D' R' F' B2 L2 D2
R' F' B U' F2 L2 U
F D' R U R2 F' B2
F D' R U R2 B2 F'
F' D' R' B L2 F' B
F' D' R' B L2 B F'
F' D' R' B F' L2 B
R' F' B D' L' B2 L'
R' F' B D' L2 B2 D
R' F' B D' L2 B2 D'
R' F' B D' L2 B2 D2
F' D' R' B2 L F' L
R' F' B D' B L2 B
F' D' R' B2 L2 D F'
F' D' R' B2 L2 D' F'
F' D' R' B2 L2 D2 F'
F' D' R' B2 L2 F' D
F' D' R' B2 L2 F' D'
F' D' R' B2 L2 F' D2
R' F' B D' B2 L2 D
R' F' B D' B2 L2 D'
R' F' B D' B2 L2 D2
F' D' R' B2 F L2 F2
F' D' R' B2 F' L2 D
F' D' R' B2 F' L2 D'
F' D' R' B2 F' L2 D2
F' D' R2 L2 B2 R F'
R' F' B' U' L2 F2 U
R' F' B' U' F2 L2 U
R' F' B' D' L' B2 L'
R' F' B' D' L2 B2 D
R' F' B' D' L2 B2 D'
R' F' B' D' L2 B2 D2
R' F' B' D' B L2 B
R' F' B' D' B2 L2 D
R' F' B' D' B2 L2 D'
R' F' B' D' B2 L2 D2
F' D' R2 B2 L2 R F'
F' D' R2 B2 R L2 F'
F' D' R2 B2 R F' L2
R' F' B2 U' L2 F2 U
R' F' B2 U' F2 L2 U
R' F' B2 D' L' B2 L'
R' F' B2 D' L2 B2 D
R' F' B2 D' L2 B2 D'
R' F' B2 D' L2 B2 D2
R' F' B2 D' B L2 B
R' F' B2 D' B2 L2 D
R' F' B2 D' B2 L2 D'
R' F' B2 D' B2 L2 D2
F D' R2 U R F' B2
F D' R2 U R B2 F'
F D' R2 U B2 R F'
F' D' F L2 R' F' B2
F' D' F L2 R' B2 F'
F' D' F R' L2 F' B2
F' D' F R' L2 B2 F'
F' D' F R' F' L2 B2
F' D' F R' F' B2 L2
F' D' F R' B2 L2 F'
F' D' F R' B2 F' L2
U' F2 L2 F' U R' F'
F' D' F' L2 R' F' B2
F' D' F' L2 R' B2 F'
F' D' F' R' L2 F' B2
F' D' F' R' L2 B2 F'
F' D' F' R' F' L2 B2
F' D' F' R' F' B2 L2
F' D' F' R' B2 L2 F'
F' D' F' R' B2 F' L2
L' F2 R U' R2 F' L'
F' D' F2 L2 R' F' B2
F' D' F2 L2 R' B2 F'
F' D' F2 R' L2 F' B2
F' D' F2 R' L2 B2 F'
F' D' F2 R' F' L2 B2
F' D' F2 R' F' B2 L2
F' D' F2 R' B2 L2 F'
F' D' F2 R' B2 F' L2
U F2 L2 F' R U R2
R F2 L2 F' U R2 F'
D2 F2 R2 B U' R F'
B2 D' B2 R' F' D' L2
R' F2 U' F' L2 U F2
R' F2 D F D' L2 B'
R' F2 D' F B2 D' L2
R' F2 D' B2 F D' L2
F' D2 R2 B2 U' R F'
F2 D2 R2 B U' R F'
R2 B R F' D' L2 B2
R2 B R F' D' B2 L2
R' B U' F L2 U F2
R B U F L2 U R2
R' B D' F' B2 D' L2
R' B D' B2 F' D' L2
R' B F' U' L2 F2 U
R' B F' U' F2 L2 U
R' B F' D' L' B2 L'
R' B F' D' L2 B2 D
R' B F' D' L2 B2 D'
R' B F' D' L2 B2 D2
R' B F' D' B L2 B
R' B F' D' B2 L2 D
R' B F' D' B2 L2 D'
R' B F' D' B2 L2 D2
R2 B' R F' D' L2 B2
R2 B' R F' D' B2 L2
R' B' U' F L2 U F2
R' B' D' F' B2 D' L2
R' B' D' B2 F' D' L2
R' B' F' U' L2 F2 U
R' B' F' U' F2 L2 U
R' B' F' D' L' B2 L'
R' B' F' D' L2 B2 D
R' B' F' D' L2 B2 D'
R' B' F' D' L2 B2 D2
R' B' F' D' B L2 B
R' B' F' D' B2 L2 D
R' B' F' D' B2 L2 D'
R' B' F' D' B2 L2 D2
B2 F' D' B2 L2 R' F'
B2 F' D' B2 R' L2 F'
B2 F' D' B2 R' F' L2
R2 B2 R F' D' L2 B2
R2 B2 R F' D' B2 L2
R' B2 U' F L2 U F2
R' B2 D' F' B2 D' L2
R' B2 D' B2 F' D' L2
R' B2 F' U' L2 F2 U
R' B2 F' U' F2 L2 U
R' B2 F' D' L' B2 L'
R' B2 F' D' L2 B2 D
R' B2 F' D' L2 B2 D'
R' B2 F' D' L2 B2 D2
R' B2 F' D' B L2 B
R' B2 F' D' B2 L2 D
R' B2 F' D' B2 L2 D'
R' B2 F' D' B2 L2 D2
F' B2 D' B2 L2 R' F'
F' B2 D' B2 R' L2 F'
F' B2 D' B2 R' F' L2
R B2 F L2 U R2 F
R B2 F L2 U F R2
