B L D F' R B
F' R D B L R2
F' R D B R2 L
F' R B L D R2
F' R B D L R2
F' R B D R2 L
F' R' D R2 B L
L D F' R B L
U F R B U' F2
F' D R B L R
F' D R B R L
U2 F' L' D R2 B'
U2 F' L' D B' R2
U2 F' L' B' D R2
U2 F' D L' R2 B'
U2 F' D L' B' R2
U2 F' D R2 L' B'
U D F R B U' F2
U2 D F' L' D R2 B'
U2 D F' L' D B' R2
U2 D F' L' B' D R2
U2 D F' D L' R2 B'
U2 D F' D L' B' R2
U2 D F' D R2 L' B'
F' U F R F B U'
F' U F R B F U'
B U F R U' L F2
B U F R U' F2 L
L D' R B L R' F'
L D' R B R' L F'
L D' R B R' F' L
L D' F' R B L R'
L D' F' R B R' L
U D' F R B U' F2
U2 D' F' L' D R2 B'
U2 D' F' L' D B' R2
U2 D' F' L' B' D R2
U2 D' F' D L' R2 B'
U2 D' F' D L' B' R2
U2 D' F' D R2 L' B'
D' U2 F' L' D R2 B'
D' U2 F' L' D B' R2
D' U2 F' L' B' D R2
D2 U2 F' L' D R2 B'
D2 U2 F' L' D B' R2
D2 U2 F' L' B' D R2
D' U2 F' D L' R2 B'
D' U2 F' D L' B' R2
D' U2 F' D R2 L' B'
D2 U2 F' D L' R2 B'
D2 U2 F' D L' B' R2
D2 U2 F' D R2 L' B'
U2 D2 F' L' D R2 B'
U2 D2 F' L' D B' R2
U2 D2 F' L' B' D R2
U D2 F R B U' F2
U2 D2 F' D L' R2 B'
U2 D2 F' D L' B' R2
U2 D2 F' D R2 L' B'
D U2 F' L' D R2 B'
D U2 F' L' D B' R2
D U2 F' L' B' D R2
D U2 F' D L' R2 B'
D U2 F' D L' B' R2
D U2 F' D R2 L' B'
U' F L' B' R' U' F2
U F L R B U' F2
U2 F L' U' F2 B' L'
U2 F L' U' B' F2 L'
U F L' R B U' F2
U F L2 R B U' F2
U F R L B U' F2
U F R L' B U' F2
U F R L2 B U' F2
U F R D' L2 B U'
U F R D' B L2 U'
U F R B L U' F2
U F R B L' U' F2
U F R B L2 U' F2
U F R B U' F2 D
U F R B U' F2 D'
U F R B U' F2 D2
U F R B D' L2 U'
U' F U' F' L' F' B'
U' F U' F' L' B' F'
F' D L R B L R
F' D L R B R L
F' D L' R B L R
F' D L' R B R L
B D L D F' R B
F' D L2 R B L R
F' D L2 R B R L
F' D R L B L R
F' D R L B R L
F' D R L' B L R
F' D R L' B R L
F' D R L2 B L R
F' D R L2 B R L
F' D R D B L R
F' D R D B R L
F' D R D' B L R
F' D R D' B R L
F' D R D2 B L R
F' D R D2 B R L
F' D R B L R D
F' D R B L R D'
F' D R B L R D2
F' D R B L D R
F' D R B L D' R
F' D R B L D2 R
F' D R B R L D
F' D R B R L D'
F' D R B R L D2
F' D R B R D L
F' D R B R D' L
F' D R B R D2 L
F' D R B D L R
F' D R B D R L
F' D R B D' L R
F' D R B D' R L
F' D R B D2 L R
F' D R B D2 R L
F' D R B2 R B' L
U F D' L2 R B U'
U F D' R L2 B U'
U F D' R B L2 U'
F' D R2 D2 B L B'
F' D R2 B D2 L B'
U F B R B U' F2
U F B' R B U' F2
U F B2 R B U' F2
U2 F' L' R D R2 B'
U2 F' L' R D B' R2
U2 F' L' R B' D R2
U2 F' L' R' D R2 B'
U2 F' L' R' D B' R2
U2 F' L' R' B' D R2
U2 F' L' R2 D R2 B'
U2 F' L' R2 D B' R2
U2 F' L' R2 B' D R2
U2 F' L' U F2 U' B'
U2 F' L' D R B' R
U2 F' L' D R2 D B'
U2 F' L' D R2 D' B'
U2 F' L' D R2 D2 B'
U2 F' L' D R2 B' D
U2 F' L' D R2 B' D'
U2 F' L' D R2 B' D2
U2 F' L' D B R2 B2
U2 F' L' D B' R2 D
U2 F' L' D B' R2 D'
U2 F' L' D B' R2 D2
U2 F' L' D' B' D2 R2
U2 F' L' B' R D R2
U2 F' L' B' R' D R2
U2 F' L' B' R2 D R2
U2 F' L' B' U F2 U'
U2 F' L' B' D R2 D
U2 F' L' B' D R2 D'
U2 F' L' B' D R2 D2
U2 F' L' B2 D B R2
D2 F' R D B L R2
D2 F' R D B R2 L
D' F' R D B L R2
D' F' R D B R2 L
D' F' R B L D R2
D2 F' R B L D R2
U2 F' R L' D R2 B'
U2 F' R L' D B' R2
D' F' R B D L R2
D' F' R B D R2 L
D2 F' R B D L R2
D2 F' R B D R2 L
U2 F' R L' B' D R2
U2 F' R D L' R2 B'
U2 F' R D L' B' R2
U2 F' R D R2 L' B'
D2 F' R' D R2 B L
D' F' R' D R2 B L
L2 F' R B L D' R2
L2 F' R B D' L R2
L2 F' R B D' R2 L
F' D B L R B R
D F' R D B L R2
D F' R D B R2 L
U2 F' R' L' D R2 B'
U2 F' R' L' D B' R2
U2 F' R' L' B' D R2
F' D B R L B R
F' D B R2 D2 L B'
U2 F' R' D L' R2 B'
U2 F' R' D L' B' R2
U2 F' R' D R2 L' B'
D F' R B L D R2
D F' R B D L R2
D F' R B D R2 L
L F' R D' B L R'
L F' R D' B R' L
D F' R' D R2 B L
U2 F' R2 L' D R2 B'
U2 F' R2 L' D B' R2
U2 F' R2 L' B' D R2
U2 F' R2 D L' R2 B'
U2 F' R2 D L' B' R2
U2 F' R2 D R2 L' B'
D2 F' D R B L R
D2 F' D R B R L
D' F' D R B L R
D' F' D R B R L
B D' L D F' R B
U2 F' D L' R B' R
U2 F' D L' R2 D B'
U2 F' D L' R2 D' B'
U2 F' D L' R2 D2 B'
U2 F' D L' R2 B' D
U2 F' D L' R2 B' D'
U2 F' D L' R2 B' D2
U2 F' D L' B R2 B2
U2 F' D L' B' R2 D
U2 F' D L' B' R2 D'
U2 F' D L' B' R2 D2
U2 F' D R L' B' R
U2 F' D R2 L' D B'
U2 F' D R2 L' D' B'
U2 F' D R2 L' D2 B'
U2 F' D R2 L' B' D
U2 F' D R2 L' B' D'
U2 F' D R2 L' B' D2
U2 F' D R2 D L' B'
U2 F' D R2 D' L' B'
U2 F' D R2 D2 L' B'
U2 F' D R2 B L' B'
U2 F' D R2 B' L' B'
U2 F' D R2 B2 L' B'
U2 F' D B L' R2 B'
U2 F' D B L' B' R2
U2 F' D B R2 L' B'
U2 F' D B' L' R2 B'
U2 F' D B' L' B' R2
D F' D R B L R
D F' D R B R L
U2 F' D B' R2 L' B'
U2 F' D B2 L' R2 B'
U2 F' D B2 L' B' R2
U2 F' D B2 R2 L' B'
F' D' R D2 B L R2
F' D' R D2 B R2 L
F' D' R B D2 L R2
F' D' R B D2 R2 L
U2 F' D2 L' D' R2 B'
U2 F' D2 L' D' B' R2
L F' D' R B L R'
L F' D' R B R' L
F' D' R' D2 R2 B L
U2 F' B L' D R2 B'
U2 F' B L' D B' R2
U2 F' B L' B' D R2
U2 F' B D L' R2 B'
U2 F' B D L' B' R2
U2 F' B D R2 L' B'
U2 F' B' L' D R2 B'
U2 F' B' L' D B' R2
U2 F' B' L' B' D R2
U2 F' B' D L' R2 B'
U2 F' B' D L' B' R2
U2 F' B' D R2 L' B'
U2 F' B2 L' D R2 B'
U2 F' B2 L' D B' R2
U2 F' B2 L' B' D R2
U2 F' B2 D L' R2 B'
U2 F' B2 D L' B' R2
U2 F' B2 D R2 L' B'
B D2 L D F' R B
F' D2 R D' B L R2
F' D2 R D' B R2 L
F' D2 R' D' R2 B L
D2 B L D F' R B
D' B L D F' R B
D B L D F' R B
R B L R' D F' R
R B L D R' F' R
R B R' L D F' R
R B R' F' L D R2
R B R' F' D L R2
R B R' F' D R2 L
F' B L R D B R2
F' B L R B D R2
F' B L R' D R2 B
F' B L D R B R
F' B R L D B R2
F' B R L B D R2
F' B R D L B R2
L B D L F' R B
F' B R' L D R2 B
L B D F' L R B
L B D F' R L B
F' B R' D L R2 B
B F R U' L F2 B
B F R U' L B F2
F' B R' D R2 L B
B F R U' F2 L B
F B R U' L F2 B
F B R U' L B F2
F B R U' F2 L B
U2 B F' L' D R2 B'
U2 B F' L' D B' R2
U2 B F' L' B' D R2
U2 B F' D L' R2 B'
U2 B F' D L' B' R2
U2 B F' D R2 L' B'
U B F R B U' F2
F' B D L R B R
F' B D R L B R
F' B D R2 D2 L B'
B F' L R D B R2
B F' L R B D R2
B F' L R' D R2 B
B F' L D R B R
B F' R L D B R2
B F' R L B D R2
B F' R D L B R2
B F' R' L D R2 B
B F' R' D L R2 B
B F' R' D R2 L B
U2 B' F' L' D R2 B'
U2 B' F' L' D B' R2
U2 B' F' L' B' D R2
U2 B' F' D L' R2 B'
U2 B' F' D L' B' R2
U2 B' F' D R2 L' B'
U B' F R B U' F2
B F' D L R B R
B F' D R L B R
B F' D R2 D2 L B'
U2 B2 F' L' D R2 B'
U2 B2 F' L' D B' R2
U2 B2 F' L' B' D R2
U2 B2 F' D L' R2 B'
U2 B2 F' D L' B' R2
U2 B2 F' D R2 L' B'
U B2 F R B U' F2
