L2 R' F' U L' R
L2 R' F' U R L'
F' L2 R' U L R2
F' L2 R' U R2 L
U' L2 R' F' U R
R' L2 F' U L' R
R' L2 F' U R L'
F' R D' L' F2 B2
F' R D' L' B2 F2
F' R D' B2 L' F2
F' R' L2 U L R2
F' R' L2 U R2 L
U' R' L2 F' U R
U' R' F' L2 U R
R' F' L2 U L R
R' F' L2 U R L
L2 F' R' U L' R2
L2 F' R' U R2 L'
F' R' L2 F U R2 L
U' R' L2 F' U R D
U' R' L2 F' U R D'
U' R' L2 F' U R D2
U' R' L2 F' U D R
U' R' L2 F' U D' R
U' R' L2 F' U D2 R
U' R' L2 F' D U R
U' R' L2 F' D' U R
U' R' L2 F' D2 U R
U' R' L2 F' B U R
F' R' L2 F' U L R2
F' R' L2 F' U R2 L
U' R' L2 F' B' U R
U' R' L2 F' B2 U R
F' R' L2 F2 U L R2
F' R' L2 F2 U R2 L
U' R' L2 B F' U R
F2 R' L2 F U L' R
F2 R' L2 F U R L'
U' R' L2 B' F' U R
U' R' L2 B2 F' U R
F R' L2 U' L R2 U2
F R' L2 U' R2 L U2
F' R' U R2 D' L' B2
F' R' U R2 D' B2 L'
F R' D' F2 U R B2
F R' D' F2 U B2 R
F2 R' F L2 U L R
F2 R' F L2 U R L
U' R' F' L2 U R D
U' R' F' L2 U R D'
U' R' F' L2 U R D2
U' R' F' L2 U D R
U' R' F' L2 U D' R
U' R' F' L2 U D2 R
U' R' F' L2 D U R
U' R' F' L2 D' U R
U' R' F' L2 D2 U R
U' R' F' L2 B U R
U' R' F' L2 B' U R
U' R' F' L2 B2 U R
U' R' F' U R D' B2
U' R' F' U D' R B2
U' R' F' U D' B2 R
U' R' F' D' U R B2
U' R' F' D' U B2 R
U' R' F' B L2 U R
U' R' F' B' L2 U R
U' R' F' B2 L2 U R
F' R' B L2 U L R2
F' R' B L2 U R2 L
U' R' B L2 F' U R
U' R' B F' L2 U R
F' R' B' L2 U L R2
F' R' B' L2 U R2 L
U' R' B' L2 F' U R
U' R' B' F' L2 U R
F' R' B2 L2 U L R2
F' R' B2 L2 U R2 L
U' R' B2 L2 F' U R
U' R' B2 F' L2 U R
L2 D R' F' B U L'
L2 D R' B F' U L'
F' U L2 R' U L R2
F' U L2 R' U R2 L
L2 D F' R' B U L'
F' U R D' L' F2 B2
F' U R D' L' B2 F2
F' U R D' B2 L' F2
F' U R' L2 U L R2
F' U R' L2 U R2 L
F' U' L2 R' U L R2
F' U' L2 R' U R2 L
F' U' R D' L' F2 B2
F' U' R D' L' B2 F2
F' U' R D' B2 L' F2
F' U' R' L2 U L R2
F' U' R' L2 U R2 L
F' U2 L2 R' U L R2
F' U2 L2 R' U R2 L
F' U2 R D' L' F2 B2
F' U2 R D' L' B2 F2
F' U2 R D' B2 L' F2
F' U2 R' L2 U L R2
F' U2 R' L2 U R2 L
R' F L2 U' L R U2
R' F L2 U' R L U2
L2 F R' U' L' R2 U2
L2 F R' U' R2 L' U2
L2 F R' D' F2 U R
R F D' F2 L' R B2
R F D' F2 L' B2 R
R F D' F2 R L' B2
R F D' F2 R B2 L'
R F D' F2 B2 L' R
R F D' F2 B2 R L'
R F D' B2 F2 L' R
R F D' B2 F2 R L'
U' F' L2 R' F' U R2
L F' L R' U L2 R2
L F' L R' U R2 L2
R' F' L2 U L R D
R' F' L2 U L R D'
R' F' L2 U L R D2
R' F' L2 U L D R
R' F' L2 U L D' R
R' F' L2 U L D2 R
R' F' L2 U R L D
R' F' L2 U R L D'
R' F' L2 U R L D2
R' F' L2 U R D L
R' F' L2 U R D' L
R' F' L2 U R D2 L
R' F' L2 U D L R
R' F' L2 U D R L
R' F' L2 U D' L R
R' F' L2 U D' R L
R' F' L2 U D2 L R
R' F' L2 U D2 R L
R' F' L2 D U L R
R' F' L2 D U R L
R' F' L2 D' U L R
R' F' L2 D' U R L
R' F' L2 D2 U L R
R' F' L2 D2 U R L
L F' L' R D' F2 B2
L F' L' R D' B2 F2
R2 F' L2 U L R F
R2 F' L2 U R L F
U' F' R' L2 F' U R2
R F' L2 R2 U L R'
R F' L2 R2 U R' L
U' F' R' F' L2 U R2
L2 F' R' U L' R2 D
L2 F' R' U L' R2 D'
L2 F' R' U L' R2 D2
L2 F' R' U R2 L' D
L2 F' R' U R2 L' D'
L2 F' R' U R2 L' D2
L2 F' R' U R2 D L'
L2 F' R' U R2 D' L'
L2 F' R' U R2 D2 L'
L F' R L' D' F2 B2
L F' R L' D' B2 F2
L2 F' R' D B2 U L'
L2 F' R' B U L' R2
L2 F' R' B U R2 L'
L2 F' R' B' U L' R2
L2 F' R' B' U R2 L'
L2 F' R' B2 U L' R2
L2 F' R' B2 U R2 L'
L F' R' L U L2 R2
L F' R' L U R2 L2
R' F' U R D' L' B2
R' F' U R D' B2 L'
R' F' U D' L' R B2
R' F' U D' L' B2 R
R' F' U D' R L' B2
R' F' U D' R B2 L'
R' F' U D' B2 L' R
R' F' U D' B2 R L'
L2 F' U L' R D' F2
L2 F' U R L' D' F2
L2 F' U R D' L' F2
R F' R2 L2 U L R'
R F' R2 L2 U R' L
F' D' L' R B2 D' F2
L2 F' D R' U L' R2
L2 F' D R' U R2 L'
R' F' D' U L' R B2
R' F' D' U L' B2 R
R' F' D' U R L' B2
R' F' D' U R B2 L'
R' F' D' U B2 L' R
R' F' D' U B2 R L'
F' D' R L' B2 D' F2
L2 F' D' R' U L' R2
L2 F' D' R' U R2 L'
F' D' R B2 L' D' F2
F' D' R B2 D' L' F2
F' D' R' U L' R2 B2
F' D' R' U L' B2 R2
F' D' R' U R2 L' B2
F' D' R' U R2 B2 L'
F' D' R' U B2 L' R2
F' D' R' U B2 R2 L'
L2 F' D2 R' U L' R2
R' F' B L2 U L R
L2 F' D2 R' U R2 L'
R' F' B L2 U R L
R F' D' L' R F2 B2
R F' D' L' R B2 F2
R F' D' L' B2 R F2
R F' D' R L' F2 B2
R F' D' R L' B2 F2
R F' D' R B2 L' F2
R' F' B' L2 U L R
R' F' B' L2 U R L
R F' D' B2 L' R F2
R F' D' B2 R L' F2
R' F' B2 L2 U L R
R' F' B2 L2 U R L
R' F2 L2 F U L' R
R' F2 L2 F U R L'
L2 F2 R' F U L' R
L2 F2 R' F U R L'
F' D' B2 L' R D F2
F' D' B2 L' D R F2
F' D' B2 R L' D F2
R' B L2 F' U L' R
R' B L2 F' U R L'
R' B F' L2 U L R
R' B F' L2 U R L
R' B' L2 F' U L' R
R' B' L2 F' U R L'
R' B' F' L2 U L R
R' B' F' L2 U R L
B' F' D' L' R F' B2
B' F' D' L' R B2 F'
B' F' D' L' B2 R F'
B' F' D' R L' F' B2
B' F' D' R L' B2 F'
B' F' D' R B2 L' F'
F' B' D' L' R F' B2
F' B' D' L' R B2 F'
F' B' D' L' B2 R F'
F' B' D' R L' F' B2
F' B' D' R L' B2 F'
F' B' D' R B2 L' F'
B' F' D' B2 L' R F'
B' F' D' B2 R L' F'
F' B' D' B2 L' R F'
F' B' D' B2 R L' F'
R' B2 L2 F' U L' R
R' B2 L2 F' U R L'
R' B2 F' L2 U L R
R' B2 F' L2 U R L
