F L' R U2 B U'
F L' R' F' R2 U
F R L' U2 B U'
F R' L' F' R2 U
F2 R' F' L' R U
F2 R' F' R L' U
F' U2 L' R B' U'
F' U2 L' B' R U'
F' U2 R L' B' U'
R' F L' R F2 U
R2 F L' R F' U
R' F R L' F2 U
R2 F R L' F' U
R' F' U2 L' R U'
R' F' U2 R L' U'
R' F' U2 L' R U' D2
R' F' U2 L' R D U'
R' F' U2 L' R D' U'
R' F' U2 L' R D2 U'
R' F' U2 L' D R U'
R' F' U2 L' D' R U'
R' F' U2 L' D2 R U'
R' F' U2 R L' U' D
R' F' U2 R L' U' D'
R' F' U2 R L' U' D2
R' F' U2 R L' D U'
R' F' U2 R L' D' U'
R' F' U2 R L' D2 U'
R' F' U2 R D L' U'
R' F' U2 R D' L' U'
R' F' U2 R D2 L' U'
L' F' U2 L' R B' U'
R' F' U2 D L' R U'
R' F' U2 D R L' U'
L' F' U2 L' B' R U'
R' F' U2 D' L' R U'
R' F' U2 D' L' R U'
R' F' U2 D' R L' U'
L' F' U2 R L' B' U'
R' F' U2 D2 L' R U'
R' F' U2 D2 R L' U'
L2 F' U2 L' R B' U'
L2 F' U2 L' B' R U'
L2 F' U2 R L' B' U'
R' F' D U2 L' R U'
R' F' D U2 R L' U'
L F' U2 L' R B' U'
L F' U2 L' B' R U'
L F' U2 R L' B' U'
F D' L' R U2 B U'
R F' U2 L' B R U'
F D' L' R' F' R2 U
R' F' D' U2 L' R U'
R' F' D' U2 R L' U'
R F' U2 B L' R U'
R F' U2 B R L' U'
R' F' D2 U2 L' R U'
R' F' D2 U2 R L' U'
F D' R L' U2 B U'
F2 D' R' F' L' U F
F D' R' L' F' R2 U
F2 D' U F' L' F B'
F2 D' U F' L' B' F
F' D' U2 L' R B' U'
F' D' U2 L' B' R U'
F' D' U2 R L' B' U'
L' F2 R' F' L' R U
L' F2 R' F' R L' U
R2 F2 R F' L' R U
R2 F2 R F' R L' U
L2 F2 R' F' L' R U
L2 F2 R' F' R L' U
L F2 R' F' L' R U
L F2 R' F' R L' U
R F2 R2 F' L' R U
R F2 R2 F' R L' U
F D2 L' R U2 B U'
F D2 L' R' F' R2 U
F D2 R L' U2 B U'
F D2 R' L' F' R2 U
F' D2 U2 L' R B' U'
F' D2 U2 L' B' R U'
F' D2 U2 R L' B' U'
U2 B L U2 F L' U
U' B U2 D' L F B'
U' B U2 D' L B' F
U' B D' U2 L F B'
U' B D' U2 L B' F
U' B' D R' U2 F' B
U' B' D R' U2 B F'
