U L U2 F L U
U' L2 U2 L' B' U'
L2 U L' B' U' B
B2 U' L2 R' F' U
B2 U' R' L2 F' U
B2 U' R' F' L2 U
D2 F' L' D F2 B2
D2 F' L' D B2 F2
D' F' L' B2 D F2
F' D' L' B2 D F2
F' D2 L' D F2 B2
F' D2 L' D B2 F2
D' B2 U' R' F' U
F' B D' B2 D2 L' F
B2 F' L' U' L' R' U
B2 F' L' U' R' L' U
L2 B' U L' B' U' B
B2 F' L2 R' U L R
B2 F' L2 R' U R L
B2 F' R' L2 U L R
B2 F' R' L2 U R L
B2 F' U' L2 R' U L
B2 F' U' R' L2 U L
D' B2 L U' R' F' U
B F' D L' D2 F B2
B F' D L' D2 B2 F
B' F' D' B2 D L' F
D' B2 L' U' R' F' U
U' B2 L2 R' F' B2 U
U' B2 L2 R' B2 F' U
F' B' D' B2 D L' F
B2 F' D' B2 L' D F2
D' B2 L2 U' R' F' U
B F' D' B2 D2 L' F
U' B2 R' L2 F' B2 U
U' B2 R' L2 B2 F' U
F' B2 L' U' L' R' U
F' B2 L' U' R' L' U
U' B2 R' F' L2 B2 U
U' B2 R' F' B2 L2 U
U' B2 R' B2 L2 F' U
U' B2 R' B2 F' L2 U
F' B2 L2 R' U L R
F' B2 L2 R' U R L
F' B2 R' L2 U L R
F' B2 R' L2 U R L
L2 B2 U L' B' U' B
D' B2 U' R' D F' U
D' B2 U' R' D' F' U
D' B2 U' R' D2 F' U
D' B2 U' R' F' U D
D' B2 U' R' F' U D'
D' B2 U' R' F' U D2
D' B2 U' R' F' D U
D' B2 U' R' F' D' U
D' B2 U' R' F' D2 U
D' B2 U' D R' F' U
D' B2 U' D' R' F' U
D' B2 U' D2 R' F' U
D' B2 U' F R' F' U
D' B2 U' F' R' F' U
D' B2 U' F2 R' F' U
D' B2 D U' R' F' U
F' B2 U' L2 R' U L
F' B2 U' R' L2 U L
U B2 U2 L2 R' F' U
D' B2 D' U' R' F' U
U B2 U2 R' L2 F' U
U B2 U2 R' F' L2 U
D' B2 D2 U' R' F' U
D' B2 F' L' U' R' U
D' B2 F' U' R' U L'
F' B2 D' B2 L' D F2
L B2 F' R' U' L' R
L B2 F' R' U' R L'
