F2 L' R' B' U
F2 R' L' B' U
F2 L' R B' R2 U
F2 L' R' D B' U
F2 L' R' D' B' U
F2 L' R' D2 B' U
F2 L' R' B' U D
F2 L' R' B' U D'
F2 L' R' B' U D2
F2 L' R' B' D U
F2 L' R' B' D' U
F2 L' R' B' D2 U
F2 L' R2 B' R U
F2 L' D R' B' U
F2 L' D' R' B' U
F2 L' D2 R' B' U
F2 R L' B' R2 U
F2 R' L' D B' U
F2 R' L' D' B' U
F2 R' L' D2 B' U
F2 R' L' B' U D
F2 R' L' B' U D'
F2 R' L' B' U D2
F2 R' L' B' D U
F2 R' L' B' D' U
F2 R' L' B' D2 U
F2 R' D L' B' U
F2 R' D' L' B' U
F2 R' D2 L' B' U
F R' F L' B' U
F2 R' B L' B' U
F2 R' B' L' B' U
F2 R' B2 L' B' U
F2 R' B2 L' B' U
F2 R2 L' B' R U
F2 D L' R' B' U
F2 D R' L' B' U
F2 D' L' R' B' U
F2 D' R' L' B' U
L' F2 R' B' L' U
F2 D2 L' R' B' U
F2 D2 R' L' B' U
F2 B L' B' R' U
D2 B2 L R F U'
D2 B2 R L F U'
B F2 L' B' R' U
B L' B' F2 L' R' U
B L' B' F2 R' L' U
F2 L2 D2 L R' B U
F2 L2 D2 R' L B U
B2 R L D' F U' L2
B2 R L D2 F B2 U'
B2 R L D2 B2 F U'
B2 R L F U2 F U
F2 R L' D' B' U F2
F2 R L' B R2 B2 U
F2 R L' B' R2 U D
F2 R L' B' R2 U D'
F2 R L' B' R2 U D2
F2 R L' B' R2 D U
F2 R L' B' R2 D' U
F2 R L' B' R2 D2 U
F2 R L' B' U D' F2
F2 R L' B' D' U F2
L' U F2 R' B' L' U
R' U B' D R' B2 L
U2 R U2 F2 B R2 U
U2 R U2 B R2 F2 U
U2 R U2 B F2 R2 U
B2 R D' L F U' L
F2 R D' L' B' U F2
B2 R D2 L F B2 U'
B2 R D2 L B2 F U'
U2 R D2 B2 L2 F U'
F R F L' R2 B' U
F R F L' B' R2 U
F R F R2 L' B' U
F2 R B L' R2 B' U
F2 R B L' B' R2 U
F2 R B R2 L' B' U
F2 R B' L' R2 B' U
F2 R B' L' B' R2 U
F2 R B' R2 L' B' U
F2 R B2 L' R2 B' U
F2 R B2 L' B' R2 U
F2 R B2 R2 L' B' U
R U' D' L2 F R F
R U' D' F R F L2
F2 R' L B L2 B' U
F2 R' L B' L2 B' U
F2 R' L B2 L2 B' U
F2 R' L' D B' U D
F2 R' L' D B' U D'
F2 R' L' D B' U D2
F2 R' L' D B' D U
F2 R' L' D B' D' U
F2 R' L' D B' D2 U
F2 R' L' D' B' U D
F2 R' L' D' B' U D'
F2 R' L' D' B' U D2
F2 R' L' D' B' D U
F2 R' L' D' B' D' U
F2 R' L' D' B' D2 U
F2 R' L' D2 B' U D
F2 R' L' D2 B' U D'
F2 R' L' D2 B' U D2
F2 R' L' D2 B' D U
F2 R' L' D2 B' D' U
F2 R' L' D2 B' D2 U
F2 R' L' B U D' R2
F2 R' L' B D' U R2
F2 R' L' B2 D B U
F2 R' L' B2 D' B U
F2 R' L' B2 D2 B U
L' U' F2 R' B' L' U
U2 R' U2 F' R2 B U'
F2 R' D L' D B' U
F2 R' D L' D' B' U
F2 R' D L' D2 B' U
F2 R' D L' B' U D
F2 R' D L' B' U D'
F2 R' D L' B' U D2
F2 R' D L' B' D U
F2 R' D L' B' D' U
F2 R' D L' B' D2 U
F2 R' D B L' B' U
F2 R' D B' L' B' U
F2 R' D B2 L' B' U
F2 R' D' L' D B' U
F2 R' D' L' D' B' U
F2 R' D' L' D2 B' U
F2 R' D' L' B' U D
F2 R' D' L' B' U D'
F2 R' D' L' B' U D2
F2 R' D' L' B' D U
F2 R' D' L' B' D' U
F2 R' D' L' B' D2 U
F2 R' D' B L' B' U
F2 R' D' B' L' B' U
F2 R' D' B2 L' B' U
F2 R' D2 L' D B' U
F2 R' D2 L' D' B' U
F2 R' D2 L' D2 B' U
F2 R' D2 L' B' U D
F2 R' D2 L' B' U D'
F2 R' D2 L' B' U D2
F2 R' D2 L' B' D U
F2 R' D2 L' B' D' U
F2 R' D2 L' B' D2 U
F2 R' D2 B L' B' U
F2 R' D2 B' L' B' U
F2 R' D2 B2 L' B' U
F R' F L' D B' U
F R' F L' D' B' U
F R' F L' D2 B' U
F R' F L' B' U D
F R' F L' B' U D'
F R' F L' B' U D2
F R' F L' B' D U
F R' F L' B' D' U
F R' F L' B' D2 U
F R' F D L' B' U
F R' F D' L' B' U
F R' F D2 L' B' U
F R' F B L' B' U
F R' F B' L' B' U
F R' F B2 L' B' U
U2 R' F2 U2 R2 F U'
U2 R' F2 U2 F R2 U'
U2 R' F2 D2 L2 B' U
R U2 R B R F2 U
F2 R' B L' D B' U
F2 R' B L' D' B' U
F2 R' B L' D2 B' U
F2 R' B L' B' U D
F2 R' B L' B' U D'
F2 R' B L' B' U D2
F2 R' B L' B' D U
F2 R' B L' B' D' U
F2 R' B L' B' D2 U
F2 R' B D L' B' U
F2 R' B D' L' B' U
F2 R' B D2 L' B' U
F2 R' B' L' D B' U
F2 R' B' L' D' B' U
F2 R' B' L' D2 B' U
F2 R' B' L' B' U D
F2 R' B' L' B' U D'
F2 R' B' L' B' U D2
F2 R' B' L' B' D U
F2 R' B' L' B' D' U
F2 R' B' L' B' D2 U
F R' B F L' B' U
F2 R' B' D L' B' U
F2 R' B' D' L' B' U
F2 R' B' D2 L' B' U
F2 R' B2 L' D B' U
F2 R' B2 L' D' B' U
F2 R' B2 L' D2 B' U
F2 R' B2 L' B' U D
F2 R' B2 L' B' U D'
F2 R' B2 L' B' U D2
F2 R' B2 L' B' D U
F2 R' B2 L' B' D' U
F2 R' B2 L' B' D2 U
F R' B' F L' B' U
F2 R' B2 D L' B' U
F2 R' B2 D' L' B' U
F2 R' B2 D2 L' B' U
F R' B2 F L' B' U
F2 R2 L' D R B' U
F2 R2 L' D B' R U
F2 R2 L' D' R B' U
F2 R2 L' D' B' R U
F2 R2 L' D2 R B' U
F2 R2 L' D2 B' R U
F2 R2 L' B R B2 U
F2 R2 L' B' R U D
F2 R2 L' B' R U D'
F2 R2 L' B' R U D2
F2 R2 L' B' R D U
F2 R2 L' B' R D' U
F2 R2 L' B' R D2 U
F2 R2 L' B' D R U
F2 R2 L' B' D' R U
F2 R2 L' B' D2 R U
L' U2 F2 R' B' L' U
R U2 F2 R B R U
F2 R2 D L' R B' U
F2 R2 D L' B' R U
F2 R2 D R L' B' U
F2 R2 D' L' R B' U
F2 R2 D' L' B' R U
F2 R2 D' R L' B' U
F2 R2 D2 L' R B' U
F2 R2 D2 L' B' R U
F2 R2 D2 R L' B' U
F2 R2 B L' R B' U
F2 R2 B L' B' R U
F2 R2 B R L' B' U
F2 R2 B' L' R B' U
F2 R2 B' L' B' R U
F2 R2 B' R L' B' U
F2 R2 B2 L' R B' U
F2 R2 B2 L' B' R U
F2 R2 B2 R L' B' U
R D' L F U' F L
R D' U' L2 F R F
R' D' F U L2 B' R'
R D' U' F R F L2
R D' F U' F L2 R
R D' F U' F R L2
F U' R' F L' U R
R D2 L F L B2 U'
F U' F L' R' U R2
F U' F R' L' U R2
L2 D2 B2 L R F' U'
L2 D2 B2 R L F' U'
L2 D2 B2 R F' L U'
R D2 B2 L F L U'
L D2 B2 R F L U'
U' F R' F L' U R2
L' F R' F B' L' U
L' F R' B' F L' U
F2 D L' R B' R2 U
F2 D L' R' D B' U
F2 D L' R' D' B' U
F2 D L' R' D2 B' U
F2 D L' R' B' U D
F2 D L' R' B' U D'
F2 D L' R' B' U D2
F2 D L' R' B' D U
F2 D L' R' B' D' U
F2 D L' R' B' D2 U
F2 D L' R2 B' R U
F2 D L' D R' B' U
F2 D L' D' R' B' U
F2 D L' D2 R' B' U
L F U2 R' F L' U
L F U2 F L' R' U
L F U2 F R' L' U
F2 D R L' B' R2 U
F2 D R' L' D B' U
F2 D R' L' D' B' U
F2 D R' L' D2 B' U
F2 D R' L' B' U D
F2 D R' L' B' U D'
F2 D R' L' B' U D2
F2 D R' L' B' D U
F2 D R' L' B' D' U
F2 D R' L' B' D2 U
F2 D R' D L' B' U
F2 D R' D' L' B' U
F2 D R' D2 L' B' U
F2 D R' B L' B' U
F2 D R' B' L' B' U
F2 D R' B2 L' B' U
F2 D R2 L' B' R U
F' D F' L' R' B' U
F' D F' R' L' B' U
F2 D B L' B' R' U
B2 D' L R F U' L
F2 D' L' R B' R2 U
F2 D' L' R' D B' U
F2 D' L' R' D' B' U
F2 D' L' R' D2 B' U
F2 D' L' R' B' U D
F2 D' L' R' B' U D'
F2 D' L' R' B' U D2
F2 D' L' R' B' D U
F2 D' L' R' B' D' U
F2 D' L' R' B' D2 U
F2 D' L' R2 B' R U
F2 D' L' D R' B' U
F2 D' L' D' R' B' U
F2 D' L' D2 R' B' U
B2 D' R L F U' L
F2 D' R L' B' R2 U
F2 D' R' L' D B' U
F2 D' R' L' D' B' U
F2 D' R' L' D2 B' U
F2 D' R' L' B' U D
F2 D' R' L' B' U D'
F2 D' R' L' B' U D2
F2 D' R' L' B' D U
F2 D' R' L' B' D' U
F2 D' R' L' B' D2 U
F2 D' R' D L' B' U
F2 D' R' D' L' B' U
F2 D' R' D2 L' B' U
F2 D' R' D2 L' B' U
F2 D' R' B L' B' U
F2 D' R' B' L' B' U
F2 D' R' B2 L' B' U
F2 D' R2 L' B' R U
D2 F' B2 L F R U'
R' F2 L U2 R2 F U'
R' F2 L U2 F R2 U'
R' F2 L D2 L2 B' U
L2 F2 L R' B' L2 U
D' F2 L' R' B' U L'
U' F2 L' D R' B U
R' F2 L' D B' U B'
R' F2 L' D2 B' L2 U
L' F2 L' D2 R' B U
U2 F2 L' R B R2 U
R' F2 L' B' U D B2
R' F2 L' B' U2 R2 U'
R' F2 L' B' D U B2
U2 F2 L' R' U2 F' U'
R' F2 L' B' D2 L2 U
L2 F2 L' R' U2 F U'
F' D' F' L' R' B' U
F' D' F' R' L' B' U
U F2 L' R' B' U R'
L F2 L' R2 B R U
U2 F2 R L' B R2 U
L' F2 R B' L' R2 U
L' F2 R B' R2 L' U
D' F2 R' L' B' U L'
U2 F2 R B L' R2 U
L' F2 R' D B' L' U
U2 F2 R B R2 L' U
L' F2 R' D' B' L' U
L' F2 R' D2 B' L' U
L2 F2 R' L B' L2 U
U2 F2 R' L' U2 F' U'
L2 F2 R' L' U2 F U'
L' F2 R' B L' B2 U
L' F2 R' B' L' U D
L' F2 R' B' L' U D'
L' F2 R' B' L' U D2
L' F2 R' B' L' D U
L' F2 R' B' L' D' U
L' F2 R' B' L' D2 U
L' F2 R' B' D L' U
L' F2 R' B' D' L' U
L' F2 R' B' D2 L' U
L' F2 R' B2 L' B U
F2 D' B L' B' R' U
L' F2 R2 B' L' R U
L' F2 R2 B' R L' U
U F2 R' L' B' U R'
R' F2 U D B' R' B'
R' F2 U B D B2 R'
R' F2 U B' D R' B2
U F2 R' B' L' U R'
L F2 R2 L' B R U
L F2 R2 B L' R U
L F2 R2 B R L' U
B2 D2 L R F B2 U'
B2 D2 L R B2 F U'
R' F2 U2 R' F' R' U'
U' F2 D L' R' B U
B2 D2 L B2 R F U'
U' F2 D R' L' B U
R' F2 D L' B' U B'
U' F2 D R' B L' U
F2 D2 L' R B' R2 U
F2 D2 L' R' D B' U
F2 D2 L' R' D' B' U
F2 D2 L' R' D2 B' U
F2 D2 L' R' B' U D
F2 D2 L' R' B' U D'
F2 D2 L' R' B' U D2
F2 D2 L' R' B' D U
F2 D2 L' R' B' D' U
F2 D2 L' R' B' D2 U
F2 D2 L' R2 B' R U
R2 F2 U2 L' R' F' U'
R' F2 D U B' R' B'
F2 D2 L' D R' B' U
L' F2 D R' B' L' U
R2 F2 U2 R' L' F' U'
F2 D2 L' D' R' B' U
F2 D2 L' D2 R' B' U
R' F2 D B' U B' R'
L' F2 D' R' B' L' U
B2 D2 R L F B2 U'
B2 D2 R L B2 F U'
R' F2 D2 L' B' L' U
F2 D2 R L' B' R2 U
L' F2 D2 R' B' L' U
L2 F2 D2 L' R' B U
L2 F2 D2 R' L' B U
L2 F2 D2 R' B L' U
F2 D2 R' L' D B' U
F2 D2 R' L' D' B' U
F2 D2 R' L' D2 B' U
F2 D2 R' L' B' U D
F2 D2 R' L' B' U D'
F2 D2 R' L' B' U D2
F2 D2 R' L' B' D U
F2 D2 R' L' B' D' U
F2 D2 R' L' B' D2 U
F2 D2 R' D L' B' U
F2 D2 R' D' L' B' U
F2 D2 R' D2 L' B' U
F2 D2 R' B L' B' U
F2 D2 R' B' L' B' U
F2 D2 R' B2 L' B' U
F2 D2 R2 L' B' R U
L' F2 B' D L' U F
F' D2 F' L' R' B' U
F' D2 F' R' L' B' U
F2 D2 B L' B' R' U
F2 B L' R B' R' U
F2 B L' R' B' R' U
F2 B L' R2 B' R' U
F2 B L' D B' R' U
F2 B L' D' B' R' U
F2 B L' D2 B' R' U
F2 B L' B' R' U D
F2 B L' B' R' U D'
F2 B L' B' R' U D2
F2 B L' B' R' D U
F2 B L' B' R' D' U
F2 B L' B' R' D2 U
F2 B L' B' D R' U
F2 B L' B' D' R' U
F2 B L' B' D2 R' U
F2 B R L' B' R' U
F2 B R' L' B' R' U
F2 B R2 L' B' R' U
F2 B D L' B' R' U
F2 B D' L' B' R' U
D2 B' R B' L F U'
F2 B D2 L' B' R' U
F2 B' L' B R' B2 U
F2 B' L' B' U2 L U'
D2 B2 L R D F U'
D2 B2 L R D' F U'
D2 B2 L R D2 F U'
D2 B2 L R F U' D
D2 B2 L R F U' D'
D2 B2 L R F U' D2
D2 B2 L R F D U'
D2 B2 L R F D' U'
D2 B2 L R F D2 U'
L' B' F2 D L' U F
D2 B2 L R' F R2 U'
D2 B2 L R2 F R' U'
D' B2 L R F U' L
F2 B' D L' B' U F
D2 B2 L D R F U'
D2 B2 L D' R F U'
D2 B2 L D2 R F U'
D2 B2 R L D F U'
D2 B2 R L D' F U'
D2 B2 R L D2 F U'
D2 B2 R L F U' D
D2 B2 R L F U' D'
D2 B2 R L F U' D2
D2 B2 R L F D U'
D2 B2 R L F D' U'
D2 B2 R L F D2 U'
D' B2 R L F U' L
D2 B2 R D L F U'
D2 B2 R D' L F U'
D2 B2 R D2 L F U'
D2 B2 R F L F U'
D2 B2 R F' L F U'
D2 B2 R F2 L F U'
D2 B2 R' L F R2 U'
B' F2 L' B R' B2 U
B' F2 L' B' U2 L U'
B2 F2 L' U2 L2 F U'
B2 F2 L' D B' U F2
F2 B2 L' U2 L2 F U'
B2 F2 L' D2 R2 B' U
B2 F2 L' D2 B' R2 U
F2 B2 L' D B' U F2
F2 B2 L' D2 R2 B' U
F2 B2 L' D2 B' R2 U
B2 F2 L' B' U D F2
B2 F2 L' B' U2 L2 U'
B2 F2 L' B' D U F2
B2 F2 L' B' D2 R2 U
D2 B2 R2 L F R' U'
F2 B2 L' B' U D F2
F2 B2 L' B' U2 L2 U'
B F2 L' R B' R' U
F2 B2 L' B' D U F2
F2 B2 L' B' D2 R2 U
B F2 L' R' B' R' U
B F2 L' R2 B' R' U
B F2 L' D B' R' U
B F2 L' D' B' R' U
B F2 L' D2 B' R' U
B F2 L' B' R' U D
B F2 L' B' R' U D'
B F2 L' B' R' U D2
B F2 L' B' R' D U
B F2 L' B' R' D' U
B F2 L' B' R' D2 U
B F2 L' B' D R' U
B F2 L' B' D' R' U
B F2 L' B' D2 R' U
B F2 R L' B' R' U
B F2 R' L' B' R' U
D2 B2 D L R F U'
B F2 R2 L' B' R' U
D2 B2 D R L F U'
D2 B2 D' L R F U'
D2 B2 D' R L F U'
D2 B2 D2 L R F U'
D2 B2 D2 R L F U'
B' F2 D L' B' U F
D2 B2 F' L F R U'
B F2 D L' B' R' U
B F2 D' L' B' R' U
B F2 D2 L' B' R' U
