R U B U2 R
R U' R2 F' R'
L' R U B U2 R
L R U B U2 R
L' R U' R2 F' R'
L2 R U B U2 R
R L U B U2 R
L R U' R2 F' R'
L2 R U' R2 F' R'
R L U' R2 F' R'
R L' U B U2 R
R L' U' R2 F' R'
R L2 U B U2 R
R L2 U' R2 F' R'
R U L B U2 R
R U L' B U2 R
R U L2 B U2 R
R U D B U2 R
R U D' B U2 R
R U D2 B U2 R
D2 R U L2 B U2
D2 R U B L2 U2
D' R U' D R2 F'
D2 R U' D2 R2 F'
D R U' D' R2 F'
R U B L U2 R
R U B L' U2 R
R U B L2 U2 R
R U B U2 R D
R U B U2 R D'
R U B U2 R D2
R U B U2 D R
R U B U2 D' R
R U B U2 D2 R
R U B D U2 R
R U B D' U2 R
R U B D2 U2 R
D' R D U' R2 F'
D R D' U' R2 F'
D2 R D2 U' R2 F'
D' R F2 U B U2
R' U' D F' R' B2
R U' R2 D F' R'
R U' R2 D' F' R'
R U' R2 D2 F' R'
R U' R2 F R' F2
R U' R2 F' R' D
R U' R2 F' R' D'
R U' R2 F' R' D2
R U' R2 F' D R'
R U' R2 F' D' R'
R U' R2 F' D2 R'
R U' R2 F2 R' F
R U' D R2 F' R'
R U' D' R2 F' R'
R U' D2 R2 F' R'
R' U' F' D R' B2
R U' F R2 F' R
D' R' F2 R2 U' F
R U2 R2 U F' R'
U' R2 U R' U' F'
R' D U' F' R' B2
R D U B U2 R
R D U' R2 F' R'
R D' U B U2 R
R D' U' R2 F' R'
R D2 U B U2 R
R D2 U' R2 F' R'
R' F R2 U' R F2
R F U' R2 F' R
R' F2 R2 U' R F
R F2 U L' B U2
R F2 U B L' U2
R L' U B L' U2 R
R L' U B L2 U2 R
R L' U B U2 R D
R L' U B U2 R D'
R L' U B U2 R D2
R L' U B U2 D R
R L' U B U2 D' R
R L' U B U2 D2 R
R L' U B D U2 R
R L' U B D' U2 R
R L' U B D2 U2 R
R' L' U' D F' R' B2
L' R' U' D F' R' B2
L R' U' D F' R' B2
L2 R' U' D F' R' B2
R L' U' R2 D F' R'
R' L' U' F' D R' B2
R L' U' R2 D' F' R'
L' R' U' F' D R' B2
R L' U' R2 D2 F' R'
R L' U' R2 F R' F2
R L' U' R2 F' R' D
R L' U' R2 F' R' D'
R L' U' R2 F' R' D2
R L' U' R2 F' D R'
R L' U' R2 F' D' R'
R L' U' R2 F' D2 R'
R L' U' R2 F2 R' F
R L' U' D R2 F' R'
R L' U' D' R2 F' R'
R L' U' D2 R2 F' R'
L R' U' F' D R' B2
R L' U' F R2 F' R
L2 R' U' F' D R' B2
D2 L' R U L' B U2
D2 L' R U B L' U2
R L' U2 R2 U F' R'
D' L' R U' D R2 F'
U' L' R U' L R F
U' L' R U' R L F
D' L' R D U' R2 F'
D L' R U' D' R2 F'
D L' R D' U' R2 F'
D' L' R F2 U B U2
R' L' D U' F' R' B2
L' R' D U' F' R' B2
L R' D U' F' R' B2
L2 R' D U' F' R' B2
R L' D U B U2 R
R L' D U' R2 F' R'
D' L' R' F2 R2 U' F
R L' D' U B U2 R
R L' D' U' R2 F' R'
R L' D2 U B U2 R
R L' D2 U' R2 F' R'
R' L' F R2 U' R F2
L' R' F R2 U' R F2
L2 R' F R2 U' R F2
L R' F R2 U' R F2
R L' F U' R2 F' R
R' L' F2 R2 U' R F
L' R' F2 R2 U' R F
L2 R' F2 R2 U' R F
L R' F2 R2 U' R F
R L' F2 U L' B U2
R L' F2 U B L' U2
R L2 U L B U2 R
R L2 U L' B U2 R
R L2 U L2 B U2 R
R L2 U D B U2 R
R L2 U D' B U2 R
R L2 U D2 B U2 R
R L2 U B L U2 R
R L2 U B L' U2 R
R L2 U B L2 U2 R
R L2 U B U2 R D
R L2 U B U2 R D'
R L2 U B U2 R D2
R L2 U B U2 D R
R L2 U B U2 D' R
R L2 U B U2 D2 R
R L2 U B D U2 R
R L2 U B D' U2 R
R L2 U B D2 U2 R
R' L2 U' D F' R' B2
R' L2 U' F' D R' B2
R L2 U' R2 D F' R'
R L2 U' R2 D' F' R'
R L2 U' R2 D2 F' R'
R L2 U' R2 F R' F2
R L2 U' R2 F' R' D
R L2 U' R2 F' R' D'
R L2 U' R2 F' R' D2
R L2 U' R2 F' D R'
R L2 U' R2 F' D' R'
R L2 U' R2 F' D2 R'
R L2 U' R2 F2 R' F
R L2 U' D R2 F' R'
R L2 U' D' R2 F' R'
R L2 U' D2 R2 F' R'
R L2 U' F R2 F' R
R L2 U2 R2 U F' R'
R' L2 D U' F' R' B2
R L2 D U B U2 R
R L2 D U' R2 F' R'
R L2 D' U B U2 R
R L2 D' U' R2 F' R'
D' L2 R U' D R2 F'
D' L2 R D U' R2 F'
D L2 R U' D' R2 F'
D' L2 R F2 U B U2
D L2 R D' U' R2 F'
R L2 D2 U B U2 R
R L2 D2 U' R2 F' R'
R' L2 F R2 U' R F2
D' L2 R' F2 R2 U' F
R L2 F U' R2 F' R
R' L2 F2 R2 U' R F
R L2 F2 U L' B U2
R L2 F2 U B L' U2
F2 L2 U2 L U R2 F
F2 L2 U2 L U F R2
R U L U2 R2 F' R'
R U L D B U2 R
R U L D' B U2 R
R U L D2 B U2 R
R U L B L U2 R
R U L B L' U2 R
R U L B L2 U2 R
R U L B U2 R D
R U L B U2 R D'
R U L B U2 R D2
R U L B U2 D R
R U L B U2 D' R
R U L B U2 D2 R
R U L B D U2 R
R U L B D' U2 R
R U L B D2 U2 R
R U L' U2 R2 F' R'
R U L' D B U2 R
R U L' D' B U2 R
R U L' D2 B U2 R
R U L' B L U2 R
R U L' B L' U2 R
R U L' B L2 U2 R
R U L' B U2 R D
R U L' B U2 R D'
R U L' B U2 R D2
R U L' B U2 D R
R U L' B U2 D' R
R U L' B U2 D2 R
R U L' B D U2 R
R U L' B D' U2 R
R U L' B D2 U2 R
R U L2 U2 R2 F' R'
R U L2 D B U2 R
R U L2 D' B U2 R
R U L2 D2 B U2 R
R U L2 B L U2 R
R U L2 B L' U2 R
R U L2 B L2 U2 R
R U L2 B U2 R D
R U L2 B U2 R D'
R U L2 B U2 R D2
R U L2 B U2 D R
R U L2 B U2 D' R
R U L2 B U2 D2 R
R U L2 B D U2 R
R U L2 B D' U2 R
R U L2 B D2 U2 R
R2 U R' U B R U2
R U D L B U2 R
R U D L' B U2 R
R U D L2 B U2 R
R' U D' F2 U2 R' F
R' U D' F2 U2 F R'
R U D B L U2 R
R U D B L' U2 R
R U D B L2 U2 R
R U D B U2 R D
R U D B U2 R D'
R U D B U2 R D2
R U D B U2 D R
R U D B U2 D' R
R U D B U2 D2 R
R U D B D U2 R
R U D B D' U2 R
D2 R L U L B U2
R U D B D2 U2 R
D' R L U' D R2 F'
R U D' L B U2 R
R U D' L' B U2 R
D' R L D U' R2 F'
R U D' L2 B U2 R
D R L U' D' R2 F'
D' R L F2 U B U2
R U D' B L U2 R
R U D' B L' U2 R
R U D' B L2 U2 R
D R L D' U' R2 F'
R U D' B U2 R D
R U D' B U2 R D'
R U D' B U2 R D2
R U D' B U2 D R
R U D' B U2 D' R
R U D' B U2 D2 R
R U D' B D U2 R
R U D' B D' U2 R
R U D' B D2 U2 R
D2 R L' U L' B U2
D2 R L' U B L' U2
D' R L' U' D R2 F'
U' R L' U' L R F
U' R L' U' R L F
R U D2 L B U2 R
R U D2 L' B U2 R
D' R L' D U' R2 F'
R U D2 L2 B U2 R
D R L' U' D' R2 F'
D' R L' F2 U B U2
R U D2 B L U2 R
R U D2 B L' U2 R
R U D2 B L2 U2 R
R U D2 B U2 R D
R U D2 B U2 R D'
R U D2 B U2 R D2
R U D2 B U2 D R
R U D2 B U2 D' R
R U D2 B U2 D2 R
D R L' D' U' R2 F'
R U D2 B D U2 R
R U D2 B D' U2 R
R U D2 B D2 U2 R
D' R L2 U' D R2 F'
D' R L2 D U' R2 F'
D R L2 U' D' R2 F'
D' R L2 F2 U B U2
D R L2 D' U' R2 F'
D2 R U L' B L' U2
D2 R U L2 D B U2
D2 R U L2 D' B U2
D2 R U L2 D2 B U2
D2 R U L2 B U2 D
D2 R U L2 B U2 D'
D2 R U L2 B U2 D2
D2 R U L2 B D U2
D2 R U L2 B D' U2
D2 R U L2 B D2 U2
D' R U D B U2 R2
D' R U D' L2 B U2
D2 R U D2 B U2 R2
D' R U D' B L2 U2
D2 R U B L2 U2 D
D2 R U B L2 U2 D'
D2 R U B L2 U2 D2
D2 R U B L2 D U2
D2 R U B L2 D' U2
D2 R U B L2 D2 U2
D2 R U B U2 D2 R2
D2 R U B D2 U2 R2
D2 R U B' L2 B2 U2
D' R U B U' F2 U'
D' R U B U2 D R2
D' R U B D U2 R2
D' R U B D' L2 U2
F' R U B U2 R B
D R U D L2 B U2
D2 R U B2 L2 U2 F
D R U D B L2 U2
D R U D' B U2 R2
D R U B U B U
D2 R U' R2 D2 F' R2
D2 R U' R2 F' D2 R2
D' R U' R2 D F' R2
R U F2 L' F2 B U2
F' R U' R2 F' R' B
R U F2 L' B F2 U2
D' R U' D R2 D F'
D' R U' D R2 D' F'
D' R U' D R2 D2 F'
D' R U' D R2 F' D
D' R U' D R2 F' D'
D' R U' D R2 F' D2
D' R U' D F R2 F'
D' R U' D F' R2 F'
D' R U' D F2 R2 F'
D2 R U' D2 R2 D F'
D2 R U' D2 R2 D' F'
D2 R U' D2 R2 D2 F'
D2 R U' D2 R2 F' D
D2 R U' D2 R2 F' D'
D2 R U' D2 R2 F' D2
D2 R U' D2 F R2 F'
D2 R U' D2 F' R2 F'
D2 R U' D2 F2 R2 F'
D2 R U' F D2 R2 F'
D2 R U' F' D2 R2 F'
D2 R U' F2 D2 R2 F'
D R U' R2 D' F' R2
D R U' R2 F' D' R2
D R U' D' R2 D F'
D R U' D' R2 D' F'
D R U' D' R2 D2 F'
D R U' D' R2 F' D
D R U' D' R2 F' D'
D R U' D' R2 F' D2
D R U' D' F R2 F'
D R U' D' F' R2 F'
D R U' D' F2 R2 F'
D R U' F D' R2 F'
D R U' F' D' R2 F'
R U F2 B L' F2 U2
D R U' F2 D' R2 F'
R U B L U2 R D
R U B L U2 R D'
R U B L U2 R D2
R U B L U2 D R
R U B L U2 D' R
R U B L U2 D2 R
R U B L D U2 R
R U B L D' U2 R
R U B L D2 U2 R
R U B L' U2 R D
R U B L' U2 R D'
R U B L' U2 R D2
R U B L' U2 D R
R U B L' U2 D' R
R U B L' U2 D2 R
R U B L' D U2 R
R U B L' D' U2 R
R U B L' D2 U2 R
R U B L2 U2 R D
R U B L2 U2 R D'
R U B L2 U2 R D2
R U B L2 U2 D R
R U B L2 U2 D' R
R U B L2 U2 D2 R
R U B L2 D U2 R
R U B L2 D' U2 R
R U B L2 D2 U2 R
R U B U B U R
R U B U B' U R
R U B U B2 U R
D R U2 R2 B2 U F'
R U B U2 R2 D R'
R U B U2 R2 D' R'
R U B U2 R2 D2 R'
R U B U2 D R D
R U B U2 D R D'
R U B U2 D R D2
R U B U2 D' R D
R U B U2 D' R D'
R U B U2 D' R D2
R U B U2 D2 R D
R U B U2 D2 R D'
R U B U2 D2 R D2
R U B U2 B R B'
R U B U2 B2 R B2
R U B D L U2 R
R U B D L' U2 R
R U B D L2 U2 R
R U B D U2 R D
R U B D U2 R D'
R U B D U2 R D2
D' R D L U' R2 F'
R U B D' L U2 R
R U B D' L' U2 R
R U B D' L2 U2 R
R U B D' U2 R D
R U B D' U2 R D'
R U B D' U2 R D2
D' R D L' U' R2 F'
R U B D2 L U2 R
R U B D2 L' U2 R
R U B D2 L2 U2 R
R U B D2 U2 R D
R U B D2 U2 R D'
R U B D2 U2 R D2
D' R D L2 U' R2 F'
R U B F2 L' F2 U2
R U B' L B2 U2 R
D R U2 B2 U' B' U2
D' R D U B U2 R2
R U B' L' B2 U2 R
D' R D U' R2 D F'
D' R D U' R2 D' F'
D' R D U' R2 D2 F'
D' R D U' R2 F' D
D' R D U' R2 F' D'
D' R D U' R2 F' D2
D' R D U' F R2 F'
D' R D U' F' R2 F'
D' R D U' F2 R2 F'
R U B' L2 B2 U2 R
D' R D F U' R2 F'
D' R D F' U' R2 F'
D2 R D F2 U B U2
D' R D F2 U' R2 F'
D R D U L2 B U2
D R D U B L2 U2
R U B' U2 R D2 F2
R U B' U2 D2 R F2
R U B' D2 U2 R F2
D' R D' U L2 B U2
D' R D' U B L2 U2
D R D' L U' R2 F'
R U B2 L2 U2 R F
D R D' L' U' R2 F'
D R D' L2 U' R2 F'
D R D' U B U2 R2
D R D' U' R2 D F'
D R D' U' R2 D' F'
D R D' U' R2 D2 F'
D R D' U' R2 F' D
D R D' U' R2 F' D'
D R D' U' R2 F' D2
D R D' U' F R2 F'
D R D' U' F' R2 F'
D R D' U' F2 R2 F'
D2 R D2 L U' R2 F'
D2 R D2 L' U' R2 F'
R U B2 D B' U2 R
D R D' F U' R2 F'
D2 R D2 L2 U' R2 F'
R U B2 D' B' U2 R
D R D' F' U' R2 F'
R U B2 D2 B' U2 R
D R D' F2 U' R2 F'
R U' L R D2 L' F
D2 R D2 U B U2 R2
D2 R D2 U' R2 D F'
D2 R D2 U' R2 D' F'
D2 R D2 U' R2 D2 F'
D2 R D2 U' R2 F' D
D2 R D2 U' R2 F' D'
D2 R D2 U' R2 F' D2
D2 R D2 U' F R2 F'
D2 R D2 U' F' R2 F'
D2 R D2 U' F2 R2 F'
D2 R D2 F U' R2 F'
D2 R D2 F' U' R2 F'
D2 R D2 F2 U' R2 F'
D R D2 F2 U B U2
D2 R F U L2 B U2
D2 R F U B L2 U2
D2 R F U' D2 R2 F'
R U' L' R2 F' L R'
R U' L' R2 F' R' L
D2 R F D2 U' R2 F'
D R F U' D' R2 F'
D R F D' U' R2 F'
D2 R F' U L2 B U2
D2 R F' U B L2 U2
D2 R F' U' D2 R2 F'
R U' L2 R2 F' L2 R'
R U' L2 R2 F' R' L2
D2 R F' D2 U' R2 F'
D' R F2 L U B U2
D R F' U' D' R2 F'
D' R F2 L' U B U2
D' R F2 L2 U B U2
D R F' D' U' R2 F'
R U' R L D2 L' F
D2 R F2 U L2 B U2
D' R F2 U D B U2
D' R F2 U D' B U2
D' R F2 U D2 B U2
D2 R F2 U B L2 U2
D' R F2 U B U2 D
D' R F2 U B U2 D'
D' R F2 U B U2 D2
D' R F2 U B D U2
D' R F2 U B D' U2
D' R F2 U B D2 U2
D2 R F2 U' D2 R2 F'
D' R F2 U' R2 F' R2
D' R F2 U2 R2 U F'
R U' R U' R U F'
D' R F2 D U B U2
D' R F2 D' U B U2
D2 R F2 D2 U' R2 F'
D' R F2 D2 U B U2
R U' R D2 L' F L
R U' R F R F' R'
D R F2 U' D' R2 F'
R U' R F' R F' R'
U' R B L U' L' R
U' R B L U' R L'
R U' R F2 R F' R'
D R F2 D' U' R2 F'
L' U' R2 U R' U' F'
R U' R' F R' F' R'
L2 U' R2 U R' U' F'
R U' R' F' R' F' R'
R U' R' F2 R' F' R'
L U' R2 U R' U' F'
R U' R2 L' F' L R'
R U' R2 L' F' R' L
R U' R2 L2 F' L2 R'
R U' R2 L2 F' R' L2
R' U' D F R' F2 B2
R' U' D F R' B2 F2
R U' R2 D F R' F2
R U' R2 D F' R' D
R U' R2 D F' R' D'
R U' R2 D F' R' D2
R U' R2 D F' D R'
R U' R2 D F' D' R'
R U' R2 D F' D2 R'
R U' R2 D F2 R' F
R' U' D F' R B2 R2
R' U' D F' R' B2 D
R' U' D F' R' B2 D'
R' U' D F' R' B2 D2
R' U' D F' R2 B2 R
R U' R2 D' F R' F2
R U' R2 D' F' R' D
R U' R2 D' F' R' D'
R U' R2 D' F' R' D2
R U' R2 D' F' D R'
R U' R2 D' F' D' R'
R U' R2 D' F' D2 R'
R U' R2 D' F2 R' F
R' U' D F2 R' F B2
R' U' D F2 R' B2 F
R U' R2 D2 F R' F2
R U' R2 D2 F' R' D
R U' R2 D2 F' R' D'
R U' R2 D2 F' R' D2
R U' R2 D2 F' D R'
R U' R2 D2 F' D' R'
R U' R2 D2 F' D2 R'
R U' R2 D2 F2 R' F
R U' R2 F R F2 R2
R U' R2 F R' F2 D
R U' R2 F R' F2 D'
R U' R2 F R' F2 D2
R U' R2 F' R2 D R
R U' R2 F' R2 D' R
R U' R2 F' R2 D2 R
B R B' U B2 U2 R
R U' R2 F' D R' D
R U' R2 F' D R' D'
R U' R2 F' D R' D2
R U' R2 F' D' R' D
R U' R2 F' D' R' D'
R U' R2 F' D' R' D2
B R B' U' R D2 F2
R U' R2 F' D2 R' D
R U' R2 F' D2 R' D'
R U' R2 F' D2 R' D2
B R B' U' D2 R F2
R U' R2 F2 R F R2
R U' R2 F2 R' D F
R U' R2 F2 R' D' F
R U' R2 F2 R' D2 F
R U' R2 F2 R' F D
R U' R2 F2 R' F D'
R U' R2 F2 R' F D2
R U' R2 F2 D R' F
R U' R2 F2 D F R'
R U' R2 F2 D' R' F
R U' R2 F2 D' F R'
R U' R2 F2 D2 R' F
R U' R2 F2 D2 F R'
B R B' D L2 U' R
B R B' D2 U' R F2
B2 R B2 L2 U' R F
R' U' D' F' R2 B R
B2 R B2 U B' U2 R
R U' D R2 D F' R'
R U' D R2 D' F' R'
R U' D R2 D2 F' R'
R U' D R2 F R' F2
R U' D R2 F' R' D
R U' D R2 F' R' D'
R U' D R2 F' R' D2
R U' D R2 F' D R'
R U' D R2 F' D' R'
R U' D R2 F' D2 R'
R U' D R2 F2 R' F
R U' D F R2 F' R
R' U' D2 F' R' D' B2
R' U' D2 F' D' R' B2
D' R' L F2 R2 U' F
R U' D' R2 D F' R'
R U' D' R2 D' F' R'
R U' D' R2 D2 F' R'
R U' D' R2 F R' F2
R U' D' R2 F' R' D
R U' D' R2 F' R' D'
R U' D' R2 F' R' D2
R U' D' R2 F' D R'
R U' D' R2 F' D' R'
R U' D' R2 F' D2 R'
R U' D' R2 F2 R' F
R U' D' F R2 F' R
D' R' L' F2 R2 U' F
R U' D2 R2 D F' R'
R U' D2 R2 D' F' R'
R U' D2 R2 D2 F' R'
R U' D2 R2 F R' F2
R U' D2 R2 F' R' D
R U' D2 R2 F' R' D'
R U' D2 R2 F' R' D2
R U' D2 R2 F' D R'
R U' D2 R2 F' D' R'
R U' D2 R2 F' D2 R'
R U' D2 R2 F2 R' F
R U' D2 F R2 F' R
R' U' F' R' U R' U'
R U' F R F' R F'
D' R' L2 F2 R2 U' F
R' U' F' U R2 U' R
R U' F R2 F' R D
R U' F R2 F' R D'
R U' F R2 F' R D2
R U' F R2 F' D R
R U' F R2 F' D' R
R U' F R2 F' D2 R
R' U' F' D R B2 R2
R' U' F' D R' B2 D
R' U' F' D R' B2 D'
R' U' F' D R' B2 D2
R' U' F' D R2 B2 R
R' U' F' D' R' D2 B2
R' U' F' D2 R' D' B2
R' U' F' B2 D B2 R'
U' R' U R2 U' R F'
R U' F' R F R F'
R U' F' R2 F R F2
R' U' F2 D R' F B2
R' U' F2 D R' B2 F
R' U' F2 D F R' B2
R U' F' U2 B L U2
D' R' U' D F' R2 B2
D' R' U' D F' B2 R2
D' R' U' D B2 F' R2
R U' F2 R F2 R F'
F' R' U' F' R B R2
R U' F2 R2 F2 R F
R U' F2 U2 L' B U2
R U' F2 U2 B L' U2
F2 R' U' F' D R' B
D R' U' D' F' R2 B
F R' U' D F' R' B
F2 R' U2 L' U F' R'
F R' U' F' R' D B2
U2 R' U2 R2 U' R F'
R U' B R' B' R2 F'
B2 R' D L2 F' R' B2
D' R' D U' F' R2 B2
D' R' D U' F' B2 R2
D' R' D U' B2 F' R2
D2 R' D F2 U' F B2
D2 R' D F2 U' B2 F
B2 R' D F' L2 R' B2
B2 R' D F' R' L2 B2
B2 R' D F' R' B2 L2
R' U' B2 D F' B2 R'
R' U' B2 D B2 F' R'
R' U' B2 F' D B2 R'
R U' B' D2 B R F2
F R' D U' F' R' B
R U' B2 R' B2 R2 F'
D R' D' U' F' R2 B
F' R' F R U' R2 F2
F' R' F R U' F2 R2
D' R' F R2 F U' F
B2 R' F' D L2 R' B2
B2 R' F' D R' L2 B2
B2 R' F' D R' B2 L2
D' R' F2 R2 U' D F
D' R' F2 R2 U' D' F
D' R' F2 R2 U' D2 F
D' R' F2 R2 U' F D
D' R' F2 R2 U' F D'
D' R' F2 R2 U' F D2
D' R' F2 R2 D U' F
D' R' F2 R2 D' U' F
D' R' F2 R2 D2 U' F
D' R' F2 U' D F B2
D' R' F2 U' D B2 F
D' R' F2 U' F D B2
F2 R' F2 R U' R2 F
F2 R' F2 R U' F R2
D' R' F2 D U' F B2
D' R' F2 D U' B2 F
R U2 R2 U D F' R'
R U2 R2 U D' F' R'
R U2 R2 U D2 F' R'
R U2 R2 U F R' F2
R U2 R2 U F' R' D
R U2 R2 U F' R' D'
R U2 R2 U F' R' D2
R U2 R2 U F' D R'
R U2 R2 U F' D' R'
R U2 R2 U F' D2 R'
R U2 R2 U F2 R' F
R U2 R2 D U F' R'
R U2 R2 D' U F' R'
R U2 R2 D2 U F' R'
R U2 D R2 U F' R'
R' U2 D2 L2 U F' R'
R U2 D' R2 U F' R'
R U2 D2 R2 U F' R'
U' R2 U L R' U' F'
U' R2 U L' R' U' F'
U' R2 U L2 R' U' F'
U' R2 U R' L U' F'
