F' U L' R' D F2
F' U L' D R' F2
F' U L' D F2 R'
F' U R' L' D F2
F' U2 L U' L2 R'
F' U2 L U' R' L2
F U2 F2 L U' L2 R'
F U2 F2 L U' R' L2
F' D U L' R' D F2
F' D U L' D R' F2
F' D U L' D F2 R'
F' D U R' L' D F2
F' D U2 L U' L2 R'
F' D U2 L U' R' L2
L2 F' R' D' L' F B2
L2 F' R' D' L' B2 F
L2 F' R' D' B2 L' F
D2 F' U L' R' D F2
D' F' U L' R' D F2
D2 F' U L' D R' F2
D2 F' U L' D F2 R'
D' F' U L' D R' F2
D' F' U L' D F2 R'
D2 F' U R' L' D F2
D' F' U R' L' D F2
D F' U L' R' D F2
D F' U L' D R' F2
D F' U L' D F2 R'
D F' U R' L' D F2
D2 F' U2 L U' L2 R'
D2 F' U2 L U' R' L2
D' F' U2 L U' L2 R'
D' F' U2 L U' R' L2
R F' U L' R2 D F2
R F' U R2 L' D F2
L F' U' L' D R' B
L F' U' D L' R' B
L F' U' D R' L' B
L F' U' D R' B L'
D F' U2 L U' L2 R'
D F' U2 L U' R' L2
R F' U2 L U' L2 R2
R F' U2 L U' R2 L2
L2 F' D' L' R' F B2
L2 F' D' L' R' B2 F
L2 F' D' L' F R' B2
L2 F' D' R' L' F B2
L2 F' D' R' L' B2 F
L2 F' D' R' B2 L' F
L F' D U' L' R' B
L F' D U' R' L' B
L F' D U' R' B L'
R F' D B2 R' U L'
F' D' U L' R' D F2
F' D' U L' D R' F2
F' D' U L' D F2 R'
R' F' B2 R' U L' R
R' F' B2 R' U R L'
F' D' U R' L' D F2
F' D' U2 L U' L2 R'
F' D' U2 L U' R' L2
R F' B2 R' U L' R'
R F' B2 R' U R' L'
L F2 R F U' L' R2
L F2 R F U' R2 L'
F' D2 U L' R' D F2
F' D2 U L' D R' F2
F' D2 U L' D F2 R'
F' D2 U R' L' D F2
F' D2 U2 L U' L2 R'
F' D2 U2 L U' R' L2
B2 F R' U' L R2 U2
B2 F R' U' R2 L U2
U B' U B L R' F'
U B' U B R' L F'
U B' U B R' F' L
B2 F' R' U L' D2 R2
B2 F' R' U' L U2 L2
B2 F' R' B2 U L' R'
B2 F' R' B2 U R' L'
R2 B2 R' F' U L' R2
R2 B2 R' F' U R2 L'
F' B2 R' U L' D2 R2
F' B2 R' U' L U2 L2
R B2 R' F' U L' R'
R B2 R' F' U R' L'
F' B2 R' B2 U L' R'
F' B2 R' B2 U R' L'
F B2 R' U' L R2 U2
F B2 R' U' R2 L U2
R' B2 F' R' U L' R
R' B2 F' R' U R L'
R B2 F' R' U L' R'
R B2 F' R' U R' L'
