U L' R' F B R
U L' R' B F R
U L' R2 F R B
L' R' F D B R2
L' R' F B D R2
R' L' F D B R2
R' L' F B D R2
L' R' B F D R2
R' L' B F D R2
U L' F R' B R2
U' L' F B' R' B
U' L' B' R' F B
U' L' B' R' B F
U' L' B' F R' B
U R' L' F B R
U R' L' B F R
U R' B L' F R
U R2 L' F R B
R' B L' F D R2
U' B' L' R' F B
U' B' L' R' B F
U' B' L' F R' B
U' B' R' L' F B
U' B' R' L' B F
U' B' R' B L' F
U R' L' B F R D2
U R' L' B F D R
U R' L' B F D' R
U R' L' B F D2 R
U R' L' B' F R B2
U R' L' B2 F R B'
R' U' B L' F D R2
U2 R' U' L' F B R
U2 R' U' L' B F R
U' R' U2 L' F B R
U2 R' U' B L' F R
U' R' U2 L' B F R
U' R' U2 B L' F R
L' U' B' U R' F B
L' U' B' U R' B F
L' U' B' U F R' B
L U' B' R' B L2 F
L U' B' U2 L2 R' B
L U' B' U2 R' L2 B
L U' B' U2 R' B L2
R' U2 L' F D B R2
R' U2 L' F B D R2
R' U2 L' B F D R2
F R' F' U' L' F B
F R' F' U' L' B F
F R' F' U' B L' F
U' R' B L' D2 R2 F
U' R' B L' D2 F R2
U' R' B L' F D2 R2
B' R' B L' F D R2
B2 R' B L' F D R2
B R' B L' F D R2
U R' B L' R F R
U R' B L' R' F R
U R' B L' R2 F R
U R' B L' D F R
U R' B L' D' F R
U R' B L' D2 F R
U R' B L' F R D
U R' B L' F R D'
U R' B L' F R D2
U R' B L' F D R
U R' B L' F D' R
U R' B L' F D2 R
U' R' B' L' R' F B2
U' R' B' L' R' B2 F
U' R' B' L' F R' B2
U R' B R L' F R
U R' B R' L' F R
U' R' B' R' L' F B2
U' R' B' R' L' B2 F
U R' B R2 L' F R
U' R' B' R' B2 L' F
U R' B' L' F R B2
U R' B' L' F B2 R
U R' B' L' B2 F R
U R2 L' D F R B
U R2 L' D' F R B
U R2 L' D2 F R B
U R2 L' F R D B
U R2 L' F R D' B
U R2 L' F R D2 B
U R2 L' F R B D
U R2 L' F R B D'
U R2 L' F R B D2
U R2 L' F D R B
U R2 L' F D' R B
U R2 L' F D2 R B
U R2 L' F B R B
U R2 L' F B' R B
U R2 L' F B2 R B
U R2 L' B F R B
U R2 L' B' F R B
U R2 L' B2 F R B
R' U2 B L' F D R2
U' R2 U2 L' F R B'
U' R2 U2 L' F B' R
U' R2 U2 L' B' F R
U R2 U2 L' F B' R'
U R2 U2 L' B' R' F
U R2 U2 L' B' F R'
U R2 B L' F R B
U R2 B' L' F R B
U R2 B2 L' F R B
B' U L' R' F B R
B' U L' R' B F R
B' U L' R2 F R B
B2 U L' R' F B R
B2 U L' R' B F R
B2 U L' R2 F R B
B' U L' F R' B R2
B2 U L' F R' B R2
B U L' R' F B R
B U L' R' B F R
B U L' R2 F R B
B U L' F R' B R2
F2 U R F' L' U2 F
B' U R' L' F B R
B' U R' L' B F R
B2 U R' L' F B R
B2 U R' L' B F R
B' U R' B L' F R
B U R' L' F B R
B U R' L' B F R
B2 U R' B L' F R
B' U R2 L' F R B
B2 U R2 L' F R B
B U R' B L' F R
B U R2 L' F R B
B' U' L' F B' R' B
B' U' L' B' R' F B
B' U' L' B' R' B F
B' U' L' B' F R' B
B2 U' L' F B' R' B
B2 U' L' B' R' F B
B2 U' L' B' R' B F
B2 U' L' B' F R' B
B U' L' F B' R' B
B U' L' B' R' F B
B U' L' B' R' B F
B U' L' B' F R' B
B' U' B' L' R' F B
B' U' B' L' R' B F
B' U' B' L' F R' B
B' U' B' R' L' F B
B' U' B' R' L' B F
B2 U' B' L' R' F B
B2 U' B' L' R' B F
B' U' B' R' B L' F
B2 U' B' L' F R' B
B2 U' B' R' L' F B
B2 U' B' R' L' B F
B2 U' B' R' B L' F
B U' B' L' R' F B
B U' B' L' R' B F
B U' B' L' F R' B
B U' B' R' L' F B
B U' B' R' L' B F
B U' B' R' B L' F
L' F R B' D' R2 B
L' F R' U F' U' B
L' F R' B U F' U'
L' F R2 D R B R'
L' F U' B' U R' B
R' F' L' U' F L' B
R' F' L' U' F B L'
R' F' L' U' B F L'
R' F' U' L' F L' B
R' F' U' L' F B L'
R' F' U' L' B F L'
R' F' U' F L' F B
R' F' U' F L' B F
R' F' U' F B L' F
R' F' U' B L' F L'
R' F' U' B F L' F
R' B L' U F' U' F2
R' B L' D F D R2
R' B L' D' F D R2
R' B L' D2 F D R2
R' B L' F R D R2
R' B L' F R' D R2
R' B L' F R2 D R2
R' B L' F U F2 U'
R' B L' F D R2 D
R' B L' F D R2 D'
R' B L' F D R2 D2
U B L' R' F B R
U B L' R' B F R
U B L' R2 F R B
U B L' F R' B R2
L' B R' F D B R2
L' B R' F B D R2
L' B R' B F D R2
U B R' L' F B R
U B R' L' B F R
U B R' B L' F R
U B R2 L' F R B
R B R2 U L' F B
R B R2 U L' B F
R B R2 U B L' F
R B U L' F D2 B2
U' B' L' R' D F B
U' B' L' R' D B F
U' B' L' R' D' F B
U' B' L' R' D' B F
U' B' L' R' D2 F B
U' B' L' R' D2 B F
U' B' L' R' F D B
U' B' L' R' F D' B
U' B' L' R' F D2 B
U' B' L' R' F B D
U' B' L' R' F B D'
U' B' L' R' F B D2
U' B' L' R' B D F
U' B' L' R' B D' F
U' B' L' R' B D2 F
U' B' L' R' B F D
U' B' L' R' B F D'
U' B' L' R' B F D2
U' B' L' F R' D B
U' B' L' F R' D' B
U' B' L' F R' D2 B
U' B' L' F R' B D
U' B' L' F R' B D'
U' B' L' F R' B D2
U' B' L' F' R' F2 B
U' B' L' F' R' B F2
R' B' L' F B2 D R2
R' B' L' B2 F D R2
U B' L' R' F B R
U B' L' R' B F R
U B' L' R2 F R B
U' B' R' L' D F B
U' B' R' L' D B F
U' B' R' L' D' F B
U' B' R' L' D' B F
U' B' R' L' D2 F B
U' B' R' L' D2 B F
U' B' R' L' F D B
U' B' R' L' F D' B
U' B' R' L' F D2 B
U' B' R' L' F B D
U' B' R' L' F B D'
U' B' R' L' F B D2
U' B' R' L' B D F
U' B' R' L' B D' F
U' B' R' L' B D2 F
U' B' R' L' B F D
U' B' R' L' B F D'
U' B' R' L' B F D2
U B' L' F R' B R2
R B' L' D' R2 F B
R B' L' D' R2 B F
U' B' R' B L' D F
U' B' R' B L' D' F
U' B' R' B L' D2 F
U' B' R' B L' F D
U' B' R' B L' F D'
U' B' R' B L' F D2
U' B' R' B' L' F B2
U' B' R' B' L' B2 F
L' B' R' F D B R2
L' B' R' F B D R2
L' B' R' B F D R2
U' B' U L' R' F B
U' B' U L' R' B F
U' B' U L' F R' B
U' B' U R' L' F B
U' B' U R' L' B F
U' B' U R' B L' F
U B' R' L' F B R
U B' R' L' B F R
U' B' U' L' R' F B
U' B' U' L' R' B F
U' B' U' L' F R' B
U' B' U' R' L' F B
U' B' U' R' L' B F
U' B' U' R' B L' F
U B' R' B L' F R
U B' R2 L' F R B
U' B' U2 L' R' F B
U' B' U2 L' R' B F
U' B' U2 L' F R' B
U' B' U2 R' L' F B
U' B' U2 R' L' B F
U' B' U2 R' B L' F
U' B2 L' R' F B R'
U' B2 L' R' B R' F
U' B2 L' R' B F R'
U' B2 L' F R' B R'
U' B2 L' F B R' B
U' B2 L' B R' F B
U' B2 L' B R' B F
U' B2 L' B F R' B
U B2 L' R' F B R
U B2 L' R' B F R
U B2 L' R2 F R B
U' B2 R' L' F B R'
U' B2 R' L' B R' F
U' B2 R' L' B F R'
U B2 L' F R' B R2
U' B2 R' B L' R' F
U' B2 R' B L' F R'
U' B2 R' B R' L' F
L' B2 R' F D B R2
L' B2 R' F B D R2
L' B2 R' B F D R2
U B2 R' L' F B R
U B2 R' L' B F R
U B2 R' B L' F R
U B2 R2 L' F R B
