U' L R U' L F
U2 L F D' L B'
U' R L U' L F
U' R U' L F L
U' R B L U' L
R' U2 L2 D F' B2
R' U2 L2 D B2 F'
R' U2 L2 F' D B2
R' U2 F' L2 D B2
U' B L R U' L
U' B R L U' L
R B U2 L2 D' B2
R' U2 L2 F2 D B2 F
R' U2 L2 B D F' B2
R' U2 L2 B D B2 F'
R' U2 L2 B F' D B2
R' U2 L2 B' D F' B2
R' U2 L2 B' D B2 F'
R' U2 L2 B' F' D B2
R' U2 L2 B2 D F' B2
R' U2 L2 B2 D B2 F'
R' U2 L2 B2 F' D B2
U' R' B L R2 U' L
U' R' B R2 L U' L
R' U2 R2 U' L2 R2 F'
R' U2 R2 U' R2 L2 F'
R' U2 R2 U' R2 F' L2
R U2 R2 U L2 F' R2
R U2 R2 U F' L2 R2
R U2 R2 U F' R2 L2
R' U2 D B2 D' L2 F'
R' U2 D B2 D' F' L2
R' U2 F L2 F2 D B2
R' U2 F' L D L B2
R' U2 F' L' D L' B2
R' U2 F' L' D B2 L'
R' U2 F' L2 U R2 U'
R' U2 F' L2 D B2 D
R' U2 F' L2 D B2 D'
R' U2 F' L2 D B2 D2
R' U2 F' L2 B D B2
R' U2 F' L2 B' D B2
R' U2 F' L2 B2 D B2
R' U2 F' U R2 U' L2
R' U2 F' D B2 D' L2
R' U2 F' B L2 D B2
R' U2 F' B' L2 D B2
R' U2 F' B2 L2 D B2
D2 R2 U' R' U B U2
R' U2 B L2 D F' B2
R' U2 B L2 D B2 F'
R' U2 B L2 F' D B2
R' U2 B F' L2 D B2
R' U2 B' L2 D F' B2
R' U2 B' L2 D B2 F'
R' U2 B' L2 F' D B2
R' U2 B' F' L2 D B2
R' U2 B2 L2 D F' B2
R' U2 B2 L2 D B2 F'
R' U2 B2 L2 F' D B2
R' U2 B2 F' L2 D B2
R U2 B2 L2 D' F B2
R U2 B2 L2 D' B2 F
R U2 B2 L2 F D' B2
L2 D R' D F' R2 B2
L2 D R' D F' B2 R2
L2 D R' D B2 F' R2
R' D U F2 U F B2
R' D U F2 U B2 F
R' D U2 B2 D' L2 F'
R' D U2 B2 D' F' L2
F2 U L' U L F L2
D U F R F L' U
U D F R F L' U
D U F2 D' L' U F
F U F L' R U L'
F U F R L' U L'
U D F2 D' L' U F
L2 D' R' D' F' R2 B
B' U' L R U' L F
B2 U' L R U' L F
D2 U' R U R B U2
B U' L R U' L F
U' D' R B L B U'
D' U' R B L B U'
B' U' R L U' L F
B' U' R U' L F L
B2 U' R L U' L F
R' D' F2 U' B2 U' F
R' D' F2 U2 D F L2
R' D' F2 U2 F D L2
R' D' F2 D U2 F L2
R' D' F2 D' R2 U2 F
B2 U' R U' L F L
B' U' R B L U' L
B2 U' R B L U' L
B U' R L U' L F
B U' R U' L F L
B U' R B L U' L
R D' B U' B U' B'
U' D' B L B R U'
D' U' B L B R U'
D' U' B2 D' R U' F'
U' D' B2 D' R U' F'
B' U' B L R U' L
B' U' B R L U' L
B2 U' B L R U' L
B2 U' B R L U' L
L2 D2 R' D F' R' B2
R' D2 R2 D F2 B U2
R' D2 R2 D B F2 U2
R' D2 R2 D' B U2 B
L2 D2 R' F' D R' B2
U' D2 R U R B U2
R' D2 R2 B U L2 U
R' D2 R2 B U2 D' B2
R' D2 R2 B D F2 U2
R' D2 R2 B D' U2 B2
B U' B L R U' L
B U' B R L U' L
R D2 R2 U2 D F' B2
R D2 R2 U2 D B2 F'
R D2 R2 U2 F' D B2
R D2 R2 D U2 F' B2
R D2 R2 D U2 B2 F'
R D2 R2 D' F2 U2 F
B' U2 L F D' L B'
B2 U2 L F D' L B'
F2 U2 L D' F L B2
F2 U2 L F D' L B2
B U2 L F D' L B'
F U2 L D' F L B'
F U2 L F L D' B2
R D2 B R2 U' R2 U'
R D2 B R2 U2 D B2
R D2 B R2 D U2 B2
R D2 B R2 D' F2 U2
U2 F L D' F L B'
U2 F L F L D' B2
U F R F L' U L'
R' F U' R2 U' L2 F2
R' F U' R2 U' F2 L2
D F U F L' R U
D F U F R L' U
R' F U2 L2 F2 D B2
R' F U2 F2 L2 D B2
R F B U2 L2 D' B2
R' F' L' D B2 L' R'
R' F' L' D B2 R' L'
R' F' L2 D B2 D R2
R' F' L2 D2 R2 D' B2
U F' U2 L' U' L' B'
R F' B U2 L2 D' B2
U2 F2 L D' F L B2
U2 F2 L F D' L B2
U F2 L' U D' L' F
U F2 L' D' U L' F
R' F2 U' R2 U' F L2
D F2 U L' U L F
R' F2 U2 F L2 D B2
U' B L R U' L D
U' B L R U' L D'
U' B L R U' L D2
U' B L R U' D L
U' B L R U' D' L
U' B L R U' D2 L
U' B L R D U' L
U' B L R D' U' L
U' B L R D2 U' L
U' B L D R U' L
U' B L D' R U' L
U' B L D2 R U' L
R F2 B U2 L2 D' B2
U2 B L F D' L B'
U' B R L U' L D
U' B R L U' L D'
U' B R L U' L D2
U' B R L U' D L
U' B R L U' D' L
U' B R L U' D2 L
U' B R L D U' L
U' B R L D' U' L
U' B R L D2 U' L
U' B R D' L B2 U'
R B R U' R' U' L2
R B R' U' R U' L2
R B R2 U' R2 U' L2
D' B U' B L R U'
D' B U' B R L U'
R B R2 U2 L2 D B2
R' B U2 L2 D F' B2
R' B U2 L2 D B2 F'
R' B U2 L2 F' D B2
R' B U2 F' L2 D B2
R B U F' U L2 B'
U' B D' L R B2 U'
U' B D' L B2 R U'
U' B D' R L B2 U'
R B U' D' B2 U' B2
R B U' B U' B' L2
R B U' B' U' L2 B
R B U' B' U' B L2
R B U' B2 U' L2 B2
R B U' B2 U' B2 L2
R B U2 L2 U' L2 U
R B U2 L2 D' B2 D
R B U2 L2 D' B2 D'
R B U2 L2 D' B2 D2
R B U2 L2 B D' B2
R B U2 L2 B' D' B2
R B U2 L2 B2 D' B2
R B U2 B L2 D' B2
R B U2 B' L2 D' B2
R B U2 B2 L2 D' B2
R B D' U' B2 U' B2
R B D2 R2 U' R2 U'
R B D2 R2 U2 D B2
R B D2 R2 D U2 B2
R B D2 R2 D' F2 U2
R B F U2 L2 D' B2
U2 B' L F D' L B'
R B F' U2 L2 D' B2
R B F2 U2 L2 D' B2
U' B' R U' L2 D' F2
U' B' R U2 R2 U L2
U' B' R D' B2 U' F2
R' B' U2 L2 D F' B2
R' B' U2 L2 D B2 F'
R' B' U2 L2 F' D B2
R' B' U2 F' L2 D B2
U' B' D' B2 L R U'
U' B' D' B2 R L U'
L' B2 L' R' D F' B2
L' B2 L' R' D B2 F'
L' B2 L' R' F' D B2
U2 B2 L F D' L B'
L' B2 R U' L' R2 F'
L' B2 R U' R2 L' F'
U' B2 R B' L U' L
L' B2 R' L' D F' B2
L' B2 R' L' D B2 F'
L' B2 R' L' F' D B2
L' B2 R' D L' F' B2
L' B2 R' D L' B2 F'
L' B2 R' D B2 L' F'
R' B2 U2 L2 D F' B2
R' B2 U2 L2 D B2 F'
R' B2 U2 L2 F' D B2
R' B2 U2 F' L2 D B2
U' B2 D' R B2 U' F'
U' B2 D' B2 R U' F'
R B2 U2 L2 D' F B2
R B2 U2 L2 D' B2 F
R B2 U2 L2 F D' B2
