D L2 F' B2 U' B
D L2 B2 F' U' B
B2 R2 F U B U
F R2 B2 U' F2 U'
F R2 B2 U2 D R2
F R2 B2 D U2 R2
F R2 B2 D' L2 U2
F' U R2 F2 B2 U2
F' U R2 B2 F2 U2
F' U F2 R2 B2 U2
F' U F2 B2 R2 U2
F' U B2 R2 F2 U2
F' U B2 F2 R2 U2
F' U' D2 L2 F2 B2
F' U' D2 L2 B2 F2
F' U' D2 F2 L2 B2
F' U' D2 F2 B2 L2
F' U' D2 B2 L2 F2
F' U' D2 B2 F2 L2
F' D L2 R2 B2 U'
F' D L2 B2 R2 U'
F' D R2 L2 B2 U'
F' D R2 B2 L2 U'
R2 F B2 U B' U
F' D B2 L2 R2 U'
F' D B2 R2 L2 U'
F' D2 U' L2 F2 B2
F' D2 U' L2 B2 F2
F' D2 U' F2 L2 B2
F' D2 U' F2 B2 L2
F' D2 U' B2 L2 F2
F' D2 U' B2 F2 L2
B2 F R2 U' F2 U'
B2 F R2 U2 D R2
B2 F R2 D U2 R2
B2 F R2 D' L2 U2
D B2 L2 F' U' B'
F B2 R2 U' F2 U'
F B2 R2 U2 D R2
F B2 R2 D U2 R2
F B2 R2 D' L2 U2
R2 B2 F U B' U
D U' L2 B2 F' U' B
F' U' L' D2 L2 F2 B2
F' U' L' D2 L2 B2 F2
F' U' L' D2 F2 L2 B2
F' U' L' D2 F2 B2 L2
F' U' L' D2 B2 L2 F2
F' U' L' D2 B2 F2 L2
R2 D' F U B R2 U
F' U' L2 D2 L2 F2 B2
F' U' L2 D2 L2 B2 F2
F' U' L2 D2 F2 L2 B2
F' U' L2 D2 F2 B2 L2
F' U' L2 D2 B2 L2 F2
F' U' L2 D2 B2 F2 L2
F' U' R2 F2 B2 U2 R2
F' U' R2 B2 F2 U2 R2
F U' D L2 B2 U' R2
F' U' D2 L F2 L B2
F' U' D2 L' B2 L' F2
F' U' D2 L2 F2 B2 D
F' U' D2 L2 F2 B2 D'
F' U' D2 L2 F2 B2 D2
F' U' D2 L2 B2 F2 D
F' U' D2 L2 B2 F2 D'
F' U' D2 L2 B2 F2 D2
F' U' D2 F' L2 F' B2
F' U' D2 F' L2 B2 F'
F U' D B2 L2 U' R2
F' U' D2 F' B2 L2 F'
F' U' D2 F2 L' B2 L'
F' U' D2 F2 L2 B2 D
F' U' D2 F2 L2 B2 D'
F' U' D2 F2 L2 B2 D2
F' U' D2 F2 B L2 B
F' U' D2 F2 B2 L2 D
F' U' D2 F2 B2 L2 D'
F' U' D2 F2 B2 L2 D2
F' U' D2 B L2 F2 B
F' U' D2 B L2 B F2
F' U' D2 B F2 L2 B
F' U' D2 B2 L F2 L
F' U' D2 B2 L2 F2 D
F' U' D2 B2 L2 F2 D'
F' U' D2 B2 L2 F2 D2
F' U' D2 B2 F' L2 F'
F' U' D2 B2 F2 L2 D
F' U' D2 B2 F2 L2 D'
F' U' D2 B2 F2 L2 D2
F' U' F D2 L2 F2 B'
F' U' F D2 L2 B' F2
D U' B2 L2 F' U' B'
B2 U' F' U R2 F2 U2
B2 U' F' U F2 R2 U2
B2 U' F' U' D2 L2 B2
B2 U' F' U' D2 B2 L2
B2 U' F' D R2 B2 U'
F' U' F' D2 F2 L2 B'
B2 U' F' D B2 R2 U'
B2 U' F' D2 U' L2 B2
B2 U' F' D2 U' B2 L2
F' U' F2 R2 B2 U2 R2
F' U' F2 B2 R2 U2 R2
F' U' B D2 B2 L2 F
F U' F2 U R2 B2 U2
F U' F2 U B2 R2 U2
F U' F2 U' D2 L2 F2
F U' F2 U' D2 F2 L2
F U' F2 D L2 B2 U'
F U' F2 D B2 L2 U'
F U' F2 D2 U' L2 F2
F U' F2 D2 U' F2 L2
D U2 L2 F' B2 U' B
F' U' B' D2 L2 F B2
F' U' B' D2 L2 B2 F
D U2 L2 B2 F' U' B
F' U' B2 R2 F2 U2 R2
F' U' B2 F2 R2 U2 R2
R2 D2 F U B U F
L2 D2 F' U' F' B' L2
L2 D2 F' U' B' L2 F'
L2 D2 F' U' B' F' L2
F' U2 D' L2 R2 F2 U
F' U2 D' L2 F2 R2 U
D U2 B2 L2 F' U' B'
F' U2 D' R2 L2 F2 U
F' U2 D' R2 F2 L2 U
F' U2 D' F2 L2 R2 U
F' U2 D' F2 R2 L2 U
F U2 D R2 D L2 F2
F U2 D R2 D F2 L2
R2 F L B2 U B' U
F U2 D2 L2 F2 D' R2
F U2 D2 F2 L2 D' R2
R2 F L' B2 U B' U
R2 F L2 B2 U B' U
R' F R' B2 U B' U
U' F R2 B2 U' F2 U'
U' F R2 B2 U2 D R2
U' F R2 B2 D U2 R2
U' F R2 B2 D' L2 U2
U2 F R2 B2 U' F2 U'
U2 F R2 B2 U2 D R2
U2 F R2 B2 D U2 R2
U2 F R2 B2 D' L2 U2
R2 F U D' B R2 U
R2 F U D2 B U F2
U F R2 B2 U' F2 U'
U F R2 B2 U2 D R2
U F R2 B2 D U2 R2
U F R2 B2 D' L2 U2
D2 F U' F2 U' L2 F'
D2 F U' F2 U' F' L2
R2 F U B R2 U F'
R2 F U B U' B U2
D F U' L2 F2 B2 U'
D F U' L2 B2 F2 U'
F' D L' R2 B2 L' U'
D F U' F2 L2 B2 U'
D F U' F2 B2 L2 U'
D F U' B2 L2 F2 U'
D F U' B2 F2 L2 U'
F' D L' B2 L' R2 U'
F' D L' B2 R2 L' U'
D F U2 D L2 R2 F2
D F U2 D L2 F2 R2
D F U2 D R2 L2 F2
F' D L2 R B2 R U'
D F U2 D R2 F2 L2
D F U2 D F2 L2 R2
D F U2 D F2 R2 L2
F' D L2 R2 U' D L2
F' D L2 R2 D U' L2
F' D L2 R2 B2 U' D
F' D L2 R2 B2 U' D'
F' D L2 R2 B2 U' D2
F' D L2 R2 B2 D U'
F' D L2 R2 B2 D' U'
F' D L2 R2 B2 D2 U'
F' D L2 U' D L2 B2
F' D L2 U' D B2 L2
F' D L2 D U' L2 B2
F' D L2 D U' B2 L2
F' D L2 B' R2 B' U'
F' D L2 B2 R2 U' D
F' D L2 B2 R2 U' D'
F' D L2 B2 R2 U' D2
F' D L2 B2 R2 D U'
F' D L2 B2 R2 D' U'
F' D L2 B2 R2 D2 U'
F' D L2 B2 U' D B2
F' D L2 B2 D U' B2
D F D U2 L2 R2 F2
F' D R L2 B2 R U'
D F D U2 L2 F2 R2
D F D U2 R2 L2 F2
D F D U2 R2 F2 L2
D F D U2 F2 L2 R2
D F D U2 F2 R2 L2
D F D' L2 R2 B2 U2
D F D' L2 B2 R2 U2
R2 F D' U B R2 U
F' D R B2 L2 R U'
F' D R B2 R L2 U'
D F D' R2 L2 B2 U2
D F D' R2 B2 L2 U2
D F D' B2 L2 R2 U2
D F D' B2 R2 L2 U2
R2 F D2 U B U F2
F' D R2 L' B2 L' U'
F' D R2 L2 U' D L2
F' D R2 L2 D U' L2
F' D R2 L2 B2 U' D
F' D R2 L2 B2 U' D'
F' D R2 L2 B2 U' D2
F' D R2 L2 B2 D U'
F' D R2 L2 B2 D' U'
F' D R2 L2 B2 D2 U'
F' D R2 U' D L2 F2
F' D R2 U' D F2 L2
F' D R2 D U' L2 F2
F' D R2 D U' F2 L2
F' D R2 B L2 B U'
F' D R2 B2 L2 U' D
F' D R2 B2 L2 U' D'
F' D R2 B2 L2 U' D2
F' D R2 B2 L2 D U'
F' D R2 B2 L2 D' U'
F' D R2 B2 L2 D2 U'
F' D R2 B2 U' D F2
F' D R2 B2 D U' F2
U' F B2 R2 U' F2 U'
U' F B2 R2 U2 D R2
U' F B2 R2 D U2 R2
U' F B2 R2 D' L2 U2
R2 F B' D L2 U2 F
R2 F B' D B' L2 U2
R2 F B' D' B' U2 R2
U2 F B2 R2 U' F2 U'
U2 F B2 R2 U2 D R2
U2 F B2 R2 D U2 R2
U2 F B2 R2 D' L2 U2
R2 F B2 L2 U' F U'
R2 F B2 U D B' U
R2 F B2 U D' B' U
R2 F B2 U D2 B' U
R2 F B2 U B' U D
R2 F B2 U B' U D'
R2 F B2 U B' U D2
R2 F B2 U B' D U
R2 F B2 U B' D' U
R2 F B2 U B' D2 U
R2 F B2 D U B' U
R2 F B2 D' U B' U
R2 F B2 D2 U B' U
U F B2 R2 U' F2 U'
U F B2 R2 U2 D R2
U F B2 R2 D U2 R2
U F B2 R2 D' L2 U2
F D U' L2 B2 U' R2
F D U' B2 L2 U' R2
B2 D F U' F2 B2 U'
B2 D F U' B2 F2 U'
B2 D F U2 D L2 R2
B2 D F U2 D R2 L2
B2 D F D U2 L2 R2
B2 D F D U2 R2 L2
B2 D F D' L2 R2 U2
B2 D F D' R2 L2 U2
F D U2 R2 D L2 F2
F D U2 R2 D F2 L2
D F' L2 D R2 U' L2
D F' L2 B2 U F2 U2
D F' L2 B2 U' D2 B2
D F' L2 B2 D R2 U'
D F' L2 B2 D2 U' B2
F' D B L2 B R2 U'
F' D B' R2 B' L2 U'
U' F' U R2 F2 B2 U2
U' F' U R2 B2 F2 U2
U' F' U F2 R2 B2 U2
U' F' U F2 B2 R2 U2
U' F' U B2 R2 F2 U2
U' F' U B2 F2 R2 U2
D2 F' U F2 U2 F L2
F' D B2 L2 R2 U' D
F' D B2 L2 R2 U' D'
F' D B2 L2 R2 U' D2
F' D B2 L2 R2 D U'
F' D B2 L2 R2 D' U'
F' D B2 L2 R2 D2 U'
F' D B2 L2 U' D B2
F' D B2 L2 D U' B2
F' D B2 R2 L2 U' D
F' D B2 R2 L2 U' D'
F' D B2 R2 L2 U' D2
F' D B2 R2 L2 D U'
F' D B2 R2 L2 D' U'
F' D B2 R2 L2 D2 U'
F' D B2 R2 U' D F2
F' D B2 R2 D U' F2
U2 F' U R2 F2 B2 U2
U2 F' U R2 B2 F2 U2
D2 F' U' L2 D2 F' B2
D2 F' U' L2 D2 B2 F'
L2 F' U R2 B2 U2 B
F' D B2 U' D F2 B2
F' D B2 U' D B2 F2
U' F' U' D2 L2 F2 B2
U' F' U' D2 L2 B2 F2
U' F' U' D2 F2 L2 B2
U' F' U' D2 F2 B2 L2
U' F' U' D2 B2 L2 F2
U' F' U' D2 B2 F2 L2
F' D B2 D U' F2 B2
F' D B2 D U' B2 F2
U2 F' U F2 R2 B2 U2
U2 F' U F2 B2 R2 U2
D2 F' U' F L2 F2 B'
D2 F' U' F L2 B' F2
U2 F' U B2 R2 F2 U2
L2 F' U B2 R2 F' U2
U2 F' U B2 F2 R2 U2
U F' U R2 F2 B2 U2
U F' U R2 B2 F2 U2
U2 F' U' D2 L2 F2 B2
U2 F' U' D2 L2 B2 F2
U2 F' U' D2 F2 L2 B2
U2 F' U' D2 F2 B2 L2
U2 F' U' D2 B2 L2 F2
L2 F' U' D2 F2 B' L2
U2 F' U' D2 B2 F2 L2
L2 F' U' D2 B' L2 F2
L2 F' U' D2 B' F2 L2
U F' U F2 R2 B2 U2
U F' U F2 B2 R2 U2
D' F' U2 F' R2 U B
L2 F' U' B' D2 L2 F
U F' U B2 R2 F2 U2
U F' U B2 F2 R2 U2
U' F' D L2 R2 B2 U'
U' F' D L2 B2 R2 U'
U' F' D R2 L2 B2 U'
U' F' D R2 B2 L2 U'
U F' U' D2 L2 F2 B2
U F' U' D2 L2 B2 F2
U F' U' D2 F2 L2 B2
U F' U' D2 F2 B2 L2
U F' U' D2 B2 L2 F2
U F' U' D2 B2 F2 L2
U' F' D B2 L2 R2 U'
U' F' D B2 R2 L2 U'
U2 F' D L2 R2 B2 U'
U2 F' D L2 B2 R2 U'
U2 F' D R2 L2 B2 U'
U2 F' D R2 B2 L2 U'
U2 F' D B2 L2 R2 U'
L2 F' D B2 L2 U' B
U2 F' D B2 R2 L2 U'
D F' D R2 U' L2 F2
D F' D R2 U' F2 L2
