U R F L2 R B
U R F R L2 B
U R F R B L2
U R2 F L2 B R
U R2 F B L2 R
U R2 F B R L2
U R2 B F L2 R
U R2 B F R L2
F2 U' L2 F' B' R'
F2 U' L2 B' F' R'
R2 F L2 D B R'
U F L2 R D2 B2
U F L2 D2 R B2
U F L2 D2 B2 R
U F R L2 D2 B2
U F' L' U2 L' F2
U F' U2 F2 L2 R
U F' U2 F2 R L2
U' F2 L2 F' B' R'
U' F2 L2 B' F' R'
U F2 L2 F' R B'
U F2 L2 F' B' R
U F2 L2 B' F' R
U' F2 L2 F' D' B' R'
U' F2 L2 F' D2 B' R'
U' F2 L2 F' B' R' D
U' F2 L2 F' B' R' D'
U' F2 L2 F' B' R' D2
U' F2 L2 F' B' D R'
U' F2 L2 F' B' D' R'
U' F2 L2 F' B' D2 R'
U' F2 L2 F2 B' R' F
U F2 L F' L R B'
U F2 L F' L B' R
U F2 L F' R L B'
U' F2 L2 B' D F' R'
U' F2 L2 B' D' F' R'
U' F2 L2 B' D2 F' R'
U' F2 L2 B' F R' F2
U' F2 L2 B' F' R' D
U' F2 L2 B' F' R' D'
U' F2 L2 B' F' R' D2
U' F2 L2 B' F' D R'
U' F2 L2 B' F' D' R'
U' F2 L2 B' F' D2 R'
U' F2 L2 B' F2 R' F
U' F2 R L2 B' R' F'
U2 F2 L2 D F' R B'
U2 F2 L2 D F' B' R
U2 F2 L2 D B' F' R
R2 F2 L2 D F' B R'
R2 F2 L2 D B F' R'
U2 F2 L2 B' D F' R
R2 F2 L2 D' F' B R
R2 F2 L2 D' B F' R
R2 F2 L2 F' D B R'
R2 F2 L2 B D' F' R
U F2 L2 F' R D B'
U F2 L2 F' R D' B'
U F2 L2 F' R D2 B'
U F2 L2 F' R B' D
U F2 L2 F' R B' D'
U F2 L2 F' R B' D2
U F2 L2 F' R' B' R2
U F2 L2 F' D R B'
U F2 L2 F' D B' R
U F2 L2 F' D' R B'
U F2 L2 F' D' B' R
U F2 L2 F' D2 R B'
U F2 L2 F' D2 B' R
U F2 L2 F' B R B2
U F2 L2 F' B' R D
U F2 L2 F' B' R D'
U F2 L2 F' B' R D2
U F2 L2 F' B' D R
U F2 L2 F' B' D' R
U F2 L2 F' B' D2 R
U F2 L2 B F' R B2
U F2 L2 B' F' R D
U F2 L2 B' F' R D'
U F2 L2 B' F' R D2
U F2 L2 B' F' D R
U F2 L2 B' F' D' R
U F2 L2 B' F' D2 R
U2 F2 U L2 F' B' R'
U2 F2 U L2 B' F' R'
U F2 U L2 F' R B'
U F2 U L2 F' B' R
U F2 U L2 B' F' R
U F2 U' L2 F' R B'
U F2 U' L2 F' B' R
U F2 U' L2 B' F' R
U F2 U2 L2 F' R B'
U F2 U2 L2 F' B' R
U F2 U2 L2 B' F' R
U' F2 B' L2 F' R' B'
R2 F2 B L2 D' F' R
U F2 B L2 F' R B'
U F2 B L2 F' B' R
U F2 B L2 B' F' R
U F2 B' L2 F' R B'
U F2 B' L2 F' B' R
U F2 B' L2 B' F' R
U F2 B2 L2 F' R B'
U F2 B2 L2 F' B' R
U F2 B2 L2 B' F' R
R2 B R F L2 D R2
U B R F L2 R B
U B R F R L2 B
U B R F R B L2
R B R U F L2 B
R B R U F B L2
R B R U B F L2
U B R2 F L2 B R
U B R2 F B L2 R
U B R2 F B R L2
U B R2 B F L2 R
U B R2 B F R L2
U' B F' L U2 L F2
U' B F' L U2 F2 L
U' B F' U2 L2 F2 R
U B F L2 R D2 B2
U B F L2 D2 R B2
U B F L2 D2 B2 R
U B F R L2 D2 B2
U B F' L' U2 L' F2
R2 B F2 L2 D' F' R
F2 B U' L2 F' B' R'
F2 B U' L2 B' F' R'
U B F' U2 F2 L2 R
U B F' U2 F2 R L2
U B F2 L2 F' R B'
U B F2 L2 F' B' R
U B F2 L2 B' F' R
U' B' R2 B R F L2
U B' R F L2 R B
U B' R F R L2 B
U B' R F R B L2
U B' R2 F L2 B R
U B' R2 F B L2 R
U B' R2 F B R L2
U B' R2 B F L2 R
U B' R2 B F R L2
U' B' F L2 R' D2 B2
U' B' F L2 D2 R' B2
U' B' F R' L2 D2 B2
U' B' F D2 R' B2 L
F2 B' U' L2 F' B' R'
F2 B' U' L2 B' F' R'
U' B' F' U2 L2 R' F2
U' B' F' U2 L2 F2 R'
U' B' F' U2 R' L2 F2
U' B' F' U2 R' F2 L2
U' B' F' U2 F2 L2 R'
U' B' F' U2 F2 R' L2
U' B' F2 L2 F' R' B'
U B' F L2 R D2 B2
U B' F L2 D2 R B2
U B' F L2 D2 B2 R
U B' F R L2 D2 B2
U B' F' L' U2 L' F2
U B' F' U2 F2 L2 R
U B' F' U2 F2 R L2
U B' F2 L2 F' R B'
U B' F2 L2 F' B' R
U B' F2 L2 B' F' R
U' B2 R2 F L2 B R'
U' B2 R2 F B L2 R'
U' B2 R2 F B R' L2
U' B2 R2 B R' F L2
U' B2 R2 B F L2 R'
U' B2 R2 B F R' L2
U B2 R F L2 R B
U B2 R F R L2 B
U B2 R F R B L2
L2 B2 R2 D F' B R'
L2 B2 R2 D B F' R'
L2 B2 R2 D' F' B R
L2 B2 R2 D' B F' R
L2 B2 R2 F' D B R'
L2 B2 R2 B D' F' R
D' B2 U F' L' U2 F2
D' B2 U F' U2 F2 R
U B2 R2 F L2 B R
U B2 R2 F B L2 R
U B2 R2 F B R L2
U B2 R2 B F L2 R
U B2 R2 B F R L2
B' F2 U' L2 F' B' R'
B' F2 U' L2 B' F' R'
B2 F2 U' L2 F' B' R'
B2 F2 U' L2 B' F' R'
F2 B2 U' L2 F' B' R'
F2 B2 U' L2 B' F' R'
B F2 U' L2 F' B' R'
B F2 U' L2 B' F' R'
U B2 F L2 R D2 B2
U B2 F L2 D2 R B2
U B2 F L2 D2 B2 R
U B2 F R L2 D2 B2
U B2 F' L' U2 L' F2
U B2 F' U2 F2 L2 R
U B2 F' U2 F2 R L2
U B2 F2 L2 F' R B'
U B2 F2 L2 F' B' R
U B2 F2 L2 B' F' R
