R2 L' F' B2 U' B
R2 L' B2 F' U' B
L' R2 F' B2 U' B
L' R2 B2 F' U' B
B2 L2 F L U' B'
R' B2 L' U' B' R'
R2 B2 L' F' U' B'
L B2 L2 F U' B'
L' B2 U' B D' R2
L' B2 U2 B' U B2
L B2 L2 F D U' B'
L B2 L2 F D' U' B'
L B2 L2 F D2 U' B'
L B2 R L2 F U' B'
R B2 R L' F' U' B'
L B2 R' L2 F U' B'
L B2 R2 L2 F U' B'
L' B2 U' D B D' R2
L' B2 U' D' B D' R2
L' B2 U' D2 B D' R2
R B2 R2 L' U' B' R'
L' B2 U' B R D' R2
L' B2 U' B R' D' R2
L' B2 U' B R2 D' R2
L' B2 U' B U' B2 U
L' B2 U' B D' R2 D
L' B2 U' B D' R2 D'
L' B2 U' B D' R2 D2
L' B2 U2 D B' U B2
L' B2 U2 D' B' U B2
L' B2 U2 D2 B' U B2
R' B2 D L' U' B' R'
L' B2 U2 B' L U B2
L' B2 U2 B' L' U B2
L' B2 U2 B' L2 U B2
L' B2 U2 B' U B2 D
L' B2 U2 B' U B2 D'
L' B2 U2 B' U B2 D2
L' B2 U2 B' D L2 U
L' B2 D U' B D' R2
L' B2 D U2 B' U B2
R' B2 D' L' U' B' R'
R2 B2 D L' F' U' B'
L' B2 D' U' B D' R2
L' B2 D' U2 B' U B2
R' B2 D2 L' U' B' R'
B2 F2 U2 R B' U B2
F2 B2 U2 R B' U B2
R2 B2 D' L' F' U' B'
L' B2 D2 U' B D' R2
L' B2 D2 U2 B' U B2
B2 F2 U2 B' R U B
F2 B2 U2 B' R U B
R2 B2 D2 L' F' U' B'
L' B2 F U' B D' R2
L' B2 F U2 B' U B2
L' B2 F' U' B D' R2
L' B2 F' U2 B' U B2
R B2 D2 L' F U' B'
L' B2 F2 U' B D' R2
L' B2 F2 U2 B' U B2
