U B' U' R'
R' U B' U' R'
R2 U B' U' R'
R U B' U' R'
U D B' U' R'
D U B' U' R'
D' U B' U' R'
D2 U B' U' R'
U D' B' U' R'
U D2 B' U' R'
U F B' U' R'
U F' B' U' R'
U F2 B' U' R'
U B' U' R' D
U B' U' R' D'
U B' U' R' D2
U B' U' D R'
U B' U' D' R'
U B' U' D2 R'
U B' D U' R'
U B' D' U' R'
U B' D2 U' R'
U B' F U' R'
U B' F' U' R'
U B' F2 U' R'
U D B' D2 U' R'
L' D' U' B' U L
D U B' F' U' R'
U D B' F U' R'
D U B' F2 U' R'
U D B' F' U' R'
U D B' F2 U' R'
R' D' U B' U' R'
F' U B' U' R' F
F' U B' U' F R'
F2 U B' U' R' F2
F2 U B' U' F2 R'
R2 D' U B' U' R'
F U B' U' F' R'
B U B2 U' B R'
R D' U B' U' R'
U D' F B' U' R'
U D' F' B' U' R'
U D' F2 B' U' R'
U D' B' U' R' D
U D' B' U' R' D'
U D' B' U' R' D2
U D' B' U' D R'
U D' B' U' D' R'
U D' B' U' D2 R'
U D' B' D U' R'
U D' B' D' U' R'
U D' B' D2 U' R'
U D' B' F U' R'
U D' B' F' U' R'
U D' B' F2 U' R'
R' D2 U B' U' R'
R2 D2 U B' U' R'
R D2 U B' U' R'
U D2 F B' U' R'
U D2 F' B' U' R'
U D2 F2 B' U' R'
U D2 B' U' R' D
U D2 B' U' R' D'
U D2 B' U' R' D2
U D2 B' U' D R'
U D2 B' U' D' R'
U D2 B' U' D2 R'
U D2 B' D U' R'
U D2 B' D' U' R'
U D2 B' D2 U' R'
U D2 B' F U' R'
U D2 B' F' U' R'
U D2 B' F2 U' R'
U' F U2 B' U' R
U' F U2 B' U' R
U F D B' U' R'
U F D' B' U' R'
U F D2 B' U' R'
U F B' U' R' D
U F B' U' R' D'
U F B' U' R' D2
U F B' U' D R'
U F B' U' D' R'
U F B' U' D2 R'
U F B' D U' R'
U F B' D' U' R'
U F B' D2 U' R'
U F' D B' U' R'
U F' D' B' U' R'
U F' D2 B' U' R'
U F' B' U' R' D
U F' B' U' R' D'
U F' B' U' R' D2
U F' B' U' D R'
U F' B' U' D' R'
U F' B' U' D2 R'
U F' B' D U' R'
U F' B' D' U' R'
U F' B' D2 U' R'
U F2 D B' U' R'
U F2 D' B' U' R'
U F2 D2 B' U' R'
U F2 B' U' R' D
U F2 B' U' R' D'
U F2 B' U' R' D2
U F2 B' U' D R'
U F2 B' U' D' R'
U F2 B' U' D2 R'
U F2 B' D U' R'
U F2 B' D' U' R'
U F2 B' D2 U' R'
L' B D' R2 B' L
L' B D' B' L R2
L' B D' B' R2 L
U B' U L U2 R'
U B' U L' U2 R'
U B' U L2 U2 R'
U B' U' R2 D R
U B' U' R2 D' R
U B' U' R2 D2 R
U B' U' D R' D
U B' U' D R' D'
U B' U' D R' D2
U B' U' D' R' D
U B' U' D' R' D'
U B' U' D' R' D2
U B' U' D2 R' D
U B' U' D2 R' D'
U B' U' D2 R' D2
U B' U' F' R' F
U B' U' F2 R' F2
F' B' U' F B R
F' B' U' B F R
U B' D U' R' D
U B' D U' R' D'
U B' D U' R' D2
B' F' U' F B R
U B' D F U' R'
U B' D F' U' R'
U B' D F2 U' R'
B' F' U' B F R
U B' D' U' R' D
U B' D' U' R' D'
U B' D' U' R' D2
U B' D' F U' R'
U B' D' F' U' R'
U B' D' F2 U' R'
U B' D2 U' R' D
U B' D2 U' R' D'
U B' D2 U' R' D2
U B' D2 F U' R'
U B' D2 F' U' R'
U B' D2 F2 U' R'
U B' F U' R' D
U B' F U' R' D'
U B' F U' R' D2
U B' F U' D R'
U B' F U' D' R'
U B' F U' D2 R'
U B' F D U' R'
U B' F D' U' R'
U B' F D2 U' R'
U B' F' U' R' D
U B' F' U' R' D'
U B' F' U' R' D2
U B' F' U' D R'
U B' F' U' D' R'
U B' F' U' D2 R'
U B' F' D U' R'
U B' F' D' U' R'
U B' F' D2 U' R'
U B' F2 U' R' D
U B' F2 U' R' D'
U B' F2 U' R' D2
U B' F2 U' D R'
U B' F2 U' D' R'
U B' F2 U' D2 R'
U B' F2 D U' R'
U B' F2 D' U' R'
U B' F2 D2 U' R'
U2 L R U B U L
R' L U F B U' L
R2 L U F B U' L
L R U F B U' L
R' L U B F U' L
R2 L U B F U' L
R L U F B U' L
L R U B F U' L
U2 L R' U' F' U' L'
R L U B F U' L
L' R U' D' B' U L
D' L U F B U' L
D2 L U F B U' L
B2 L U F B U' B
D L U F B U' L
D' L U B F U' L
D2 L U B F U' L
B2 L U B F U' B
D L U B F U' L
L' R D' U' B' U L
U L D L' B' U' R'
B' L D F U' F' B
B' L D F U' B F'
U L D' L' B' U' R'
B' L D' F U' F' B
B' L D' F U' B F'
U L D2 L' B' U' R'
B' L D2 F U' F' B
B' L D2 F U' B F'
B' L F L U' F' B
B' L F L U' B F'
B' L F L' U' F' B
B' L F L' U' B F'
B' L F L2 U' F' B
B' L F L2 U' B F'
B' L F U' D F' B
B' L F U' D B F'
B' L F U' D' F' B
B' L F U' D' B F'
B' L F U' D2 F' B
B' L F U' D2 B F'
B' L F U' F' D B
B' L F U' F' D' B
B' L F U' F' D2 B
B' L F U' F' B D
B' L F U' F' B D'
B' L F U' F' B D2
B' L F U' B D F'
B' L F U' B D' F'
B' L F U' B D2 F'
B' L F U' B F' D
B' L F U' B F' D'
B' L F U' B F' D2
B' L F D U' F' B
B' L F D U' B F'
B' L F D' U' F' B
B' L F D' U' B F'
B' L F D2 U' F' B
B' L F D2 U' B F'
B2 L F B U' F' B
B2 L F B U' B F'
L' R B D' R2 B' L
L' R B D' B' L R2
L' R B D' B' R2 L
B' L B U F B' U'
B' L B U B' F U'
B2 L B F U' F' B
B2 L B F U' B F'
L R' U F B U' L
L R' U B F U' L
R' L' U' D' B' U L
L' R' U' D' B' U L
R2 L' U' D' B' U L
R L' U' D' B' U L
B2 L B2 U F B' U'
B2 L B2 U B' F U'
R' L' D' U' B' U L
L' R' D' U' B' U L
R2 L' D' U' B' U L
R L' D' U' B' U L
D2 L' U' D' B' U L
D' L' U' D' B' U L
D L' U' D' B' U L
D2 L' D' U' B' U L
D' L' D' U' B' U L
R' L' B D' R2 B' L
R' L' B D' B' L R2
R' L' B D' B' R2 L
L' R' B D' R2 B' L
L' R' B D' B' L R2
L' R' B D' B' R2 L
D L' D' U' B' U L
R2 L' B D' R2 B' L
R2 L' B D' B' L R2
R2 L' B D' B' R2 L
R L' B D' R2 B' L
R L' B D' B' L R2
R L' B D' B' R2 L
U L' F L B' U' R'
U L' F' L B' U' R'
L R2 U F B U' L
L R2 U B F U' L
L' R2 U' D' B' U L
U L' F2 L B' U' R'
D' L' B D' R2 B' L
D2 L' B D' R2 B' L
D' L' B D' B' L R2
D' L' B D' B' R2 L
D2 L' B D' B' L R2
D2 L' B D' B' R2 L
D L' B D' R2 B' L
D L' B D' B' L R2
D L' B D' B' R2 L
L' R2 D' U' B' U L
U2 L2 R U F B U
U2 L2 R U B F U
U2 L2 U D F U R
U2 L2 U D' F U R
U2 L2 U D2 F U R
U2 L2 U F U R D
U2 L2 U F U R D'
U2 L2 U F U R D2
U2 L2 U F U D R
U2 L2 U F U D' R
U2 L2 U F U D2 R
U2 L2 U F D U R
U2 L2 U F D' U R
U2 L2 U F D2 U R
U2 L2 U F B U R
U2 L2 U F B' U R
U2 L2 U F B2 U R
U2 L2 U B F U R
U2 L2 U B' F U R
U2 L2 U B2 F U R
L' R2 B D' R2 B' L
L' R2 B D' B' L R2
L' R2 B D' B' R2 L
U2 L2 D U F U R
F L2 D F' R D' L2
F L2 D F' D' L2 R
F L2 D F' D' R L2
U' L2 D' F U R B2
U' L2 D' F U B2 R
U2 L2 D' U F U R
U2 L2 D2 U F U R
U' L2 F L2 U R D
U' L2 F L2 U R D'
U' L2 F L2 U R D2
U' L2 F L2 U D R
U' L2 F L2 U D' R
U' L2 F L2 U D2 R
U' L2 F L2 D U R
U' L2 F L2 D' U R
U' L2 F L2 D2 U R
U' L2 F L2 B U R
U' L2 F L2 B' U R
U' L2 F L2 B2 U R
U' L2 F U R D' B2
U' L2 F U D' R B2
U' L2 F U D' B2 R
U' L2 F D' U R B2
U' L2 F D' U B2 R
U' L2 F B L2 U R
U' L2 F B' L2 U R
U' L2 F B2 L2 U R
U' L2 F2 L2 F' U R
R' U R' B' R U' R2
R2 U R' B' R U' R2
U' L2 B F L2 U R
R U R' B' R U' R2
R' U R2 B' R2 U' R
R2 U R2 B' R2 U' R
U' L2 B' F L2 U R
R' U D F B' U' R'
R' U D F' B' U' R'
R' U D F2 B' U' R'
R U R2 B' R2 U' R
R' U D B' U' R' D
R' U D B' U' R' D'
R' U D B' U' R' D2
R' U D B' U' D R'
R' U D B' U' D' R'
R' U D B' U' D2 R'
R' U D B' D U' R'
R' U D B' D' U' R'
R' U D B' D2 U' R'
R' U D B' F U' R'
R' U D B' F' U' R'
R' U D B' F2 U' R'
R2 U D F B' U' R'
R2 U D F' B' U' R'
L U D F B U' L
R2 U D F2 B' U' R'
R2 U D B' U' R' D
R2 U D B' U' R' D'
R2 U D B' U' R' D2
R2 U D B' U' D R'
R2 U D B' U' D' R'
R2 U D B' U' D2 R'
R U D F B' U' R'
R2 U D B' D U' R'
R2 U D B' D' U' R'
R2 U D B' D2 U' R'
R' U D' F B' U' R'
R2 U D B' F U' R'
R2 U D B' F' U' R'
R2 U D B' F2 U' R'
R U D F' B' U' R'
L U D B F U' L
R' U D' F' B' U' R'
R U D F2 B' U' R'
R' U D' F2 B' U' R'
U' L2 B2 F L2 U R
R U D B' U' R' D
R U D B' U' R' D'
R U D B' U' R' D2
R U D B' U' D R'
R U D B' U' D' R'
R U D B' U' D2 R'
R' U D' B' U' R' D
R' U D' B' U' R' D'
R' U D' B' U' R' D2
R' U D' B' U' D R'
R' U D' B' U' D' R'
R' U D' B' U' D2 R'
R U D B' D U' R'
R' U D' B' D U' R'
R U D B' D' U' R'
R' U D' B' D' U' R'
R U D B' D2 U' R'
R' U D' B' D2 U' R'
R U D B' F U' R'
R' U D' B' F U' R'
R U D B' F' U' R'
R' U D' B' F' U' R'
R U D B' F2 U' R'
R' U D' B' F2 U' R'
R2 U D' F B' U' R'
U2 R L U B U L
R2 U D' F' B' U' R'
L U D' F B U' L
R2 U D' F2 B' U' R'
R2 U D' B' U' R' D
R2 U D' B' U' R' D'
R2 U D' B' U' R' D2
R2 U D' B' U' D R'
R2 U D' B' U' D' R'
R2 U D' B' U' D2 R'
R2 U D' B' D U' R'
R' U D2 F B' U' R'
R2 U D' B' D' U' R'
R2 U D' B' D2 U' R'
R U D' F B' U' R'
R2 U D' B' F U' R'
R2 U D' B' F' U' R'
R2 U D' B' F2 U' R'
R' U D2 F' B' U' R'
R U D' F' B' U' R'
L U D' B F U' L
R' U D2 F2 B' U' R'
R U D' F2 B' U' R'
R' U D2 B' U' R' D
R' U D2 B' U' R' D'
R' U D2 B' U' R' D2
R' U D2 B' U' D R'
R' U D2 B' U' D' R'
R' U D2 B' U' D2 R'
R' U D2 B' D U' R'
R' U D2 B' D' U' R'
R' U D2 B' D2 U' R'
R U D' B' U' R' D
R U D' B' U' R' D'
R U D' B' U' R' D2
R U D' B' U' D R'
R U D' B' U' D' R'
R U D' B' U' D2 R'
R' U D2 B' F U' R'
R' U D2 B' F' U' R'
R' U D2 B' F2 U' R'
R U D' B' D U' R'
R U D' B' D' U' R'
R U D' B' D2 U' R'
R U D' B' F U' R'
R U D' B' F' U' R'
R U D' B' F2 U' R'
R2 U D2 F B' U' R'
R2 U D2 F' B' U' R'
L U D2 F B U' L
R2 U D2 F2 B' U' R'
R2 U D2 B' U' R' D
R2 U D2 B' U' R' D'
R2 U D2 B' U' R' D2
R2 U D2 B' U' D R'
R2 U D2 B' U' D' R'
R2 U D2 B' U' D2 R'
R2 U D2 B' D U' R'
R2 U D2 B' D' U' R'
R2 U D2 B' D2 U' R'
R U D2 F B' U' R'
R2 U D2 B' F U' R'
R2 U D2 B' F' U' R'
R2 U D2 B' F2 U' R'
R U D2 F' B' U' R'
L U D2 B F U' L
R U D2 F2 B' U' R'
R' U F D B' U' R'
R U D2 B' U' R' D
R U D2 B' U' R' D'
R U D2 B' U' R' D2
R U D2 B' U' D R'
R U D2 B' U' D' R'
R U D2 B' U' D2 R'
R' U F D' B' U' R'
R U D2 B' D U' R'
R U D2 B' D' U' R'
R U D2 B' D2 U' R'
R U D2 B' F U' R'
R U D2 B' F' U' R'
R U D2 B' F2 U' R'
R' U F D2 B' U' R'
R' U F B' U' R' D
R' U F B' U' R' D'
R' U F B' U' R' D2
R' U F B' U' D R'
R' U F B' U' D' R'
R' U F B' U' D2 R'
R' U F B' D U' R'
R' U F B' D' U' R'
R' U F B' D2 U' R'
U2 R L2 U F B U
U2 R L2 U B F U
R2 U F D B' U' R'
R2 U F D' B' U' R'
L U F U2 F' U L'
R2 U F D2 B' U' R'
L U F D B U' L
L U F D' B U' L
R2 U F B' U' R' D
R2 U F B' U' R' D'
R2 U F B' U' R' D2
R2 U F B' U' D R'
R2 U F B' U' D' R'
R2 U F B' U' D2 R'
R2 U F B' D U' R'
R2 U F B' D' U' R'
R2 U F B' D2 U' R'
R U F D B' U' R'
L U F D2 B U' L
L U F B U' L D
L U F B U' L D'
L U F B U' L D2
L U F B U' D L
L U F B U' D' L
L U F B U' D2 L
R U F D' B' U' R'
L U F B D U' L
L U F B D' U' L
L U F B D2 U' L
L U F B' U R' U2
R' U F' D B' U' R'
R U F D2 B' U' R'
R' U F' D' B' U' R'
R U F B' U' R' D
R U F B' U' R' D'
R U F B' U' R' D2
R U F B' U' D R'
R U F B' U' D' R'
R U F B' U' D2 R'
R U F B' D U' R'
R U F B' D' U' R'
R U F B' D2 U' R'
R' U F' D2 B' U' R'
R' U F' B' U' R' D
R' U F' B' U' R' D'
R' U F' B' U' R' D2
R' U F' B' U' D R'
R' U F' B' U' D' R'
R' U F' B' U' D2 R'
R' U F' B' D U' R'
R' U F' B' D' U' R'
R' U F' B' D2 U' R'
D2 R U D B' U' R'
D2 R U D' B' U' R'
D' R U D B' U' R'
D2 R U D2 B' U' R'
D' R U D' B' U' R'
D2 R U F B' U' R'
D' R U D2 B' U' R'
D2 R U F' B' U' R'
D' R U F B' U' R'
R2 U F' D B' U' R'
D2 R U F2 B' U' R'
D' R U F' B' U' R'
R2 U F' D' B' U' R'
D' R U F2 B' U' R'
D2 R U B' U' R' D
D2 R U B' U' R' D'
D2 R U B' U' R' D2
D2 R U B' U' D R'
D2 R U B' U' D' R'
D2 R U B' U' D2 R'
R2 U F' D2 B' U' R'
D2 R U B' D U' R'
D2 R U B' D' U' R'
D2 R U B' D2 U' R'
D2 R U B' F U' R'
D2 R U B' F' U' R'
D2 R U B' F2 U' R'
D' R U B' U' R' D
D' R U B' U' R' D'
D' R U B' U' R' D2
D' R U B' U' D R'
D' R U B' U' D' R'
D' R U B' U' D2 R'
D R U D B' U' R'
D' R U B' D U' R'
D' R U B' D' U' R'
D' R U B' D2 U' R'
D' R U B' F U' R'
F' R U B' U' R' F
F' R U B' U' F R'
D' R U B' F' U' R'
D' R U B' F2 U' R'
R2 U F' B' U' R' D
R2 U F' B' U' R' D'
R2 U F' B' U' R' D2
R2 U F' B' U' D R'
R2 U F' B' U' D' R'
R2 U F' B' U' D2 R'
R2 U F' B' D U' R'
R2 U F' B' D' U' R'
D R U D' B' U' R'
R2 U F' B' D2 U' R'
R U F' D B' U' R'
D R U D2 B' U' R'
R U F' D' B' U' R'
D R U F B' U' R'
R' U F2 D B' U' R'
U2 R U B U D L2
R U F' D2 B' U' R'
D R U F' B' U' R'
U2 R U B U2 B2 U'
U2 R U B D U L2
U2 R U B D2 F2 U
R' U F2 D' B' U' R'
F2 R U B' U' R' F2
F2 R U B' U' F2 R'
D R U F2 B' U' R'
R U F' B' U' R' D
R U F' B' U' R' D'
R U F' B' U' R' D2
R U F' B' U' D R'
R U F' B' U' D' R'
R U F' B' U' D2 R'
R' U F2 D2 B' U' R'
R U F' B' D U' R'
R U F' B' D' U' R'
R U F' B' D2 U' R'
D R U B' U' R' D
D R U B' U' R' D'
D R U B' U' R' D2
D R U B' U' D R'
D R U B' U' D' R'
D R U B' U' D2 R'
D R U B' D U' R'
D R U B' D' U' R'
D R U B' D2 U' R'
R' U F2 B' U' R' D
R' U F2 B' U' R' D'
R' U F2 B' U' R' D2
R' U F2 B' U' D R'
R' U F2 B' U' D' R'
R' U F2 B' U' D2 R'
D R U B' F U' R'
D R U B' F' U' R'
R' U F2 B' D U' R'
D R U B' F2 U' R'
R' U F2 B' D' U' R'
R' U F2 B' D2 U' R'
B R U B2 U' B R'
F R U B' U' R' F'
R2 U F2 D B' U' R'
R2 U F2 D' B' U' R'
R2 U F2 D2 B' U' R'
R2 U F2 B' U' R' D
R2 U F2 B' U' R' D'
R2 U F2 B' U' R' D2
R2 U F2 B' U' D R'
R2 U F2 B' U' D' R'
R2 U F2 B' U' D2 R'
R2 U F2 B' D U' R'
R2 U F2 B' D' U' R'
R2 U F2 B' D2 U' R'
R U F2 D B' U' R'
R U F2 D' B' U' R'
R U F2 D2 B' U' R'
U2 R U' B' U' D' R2
U2 R U' B' U2 B2 U
U2 R U' B' D' U' R2
R U F2 B' U' R' D
R U F2 B' U' R' D'
R U F2 B' U' R' D2
R U F2 B' U' D R'
R U F2 B' U' D' R'
R U F2 B' U' D2 R'
U2 R U' B' D2 F2 U'
R U F2 B' D U' R'
R U F2 B' D' U' R'
R U F2 B' D2 U' R'
R' U B' U L U2 R'
R' U B' U L' U2 R'
R' U B' U L2 U2 R'
L U B D F U' L
R' U B' U' R2 D R
R' U B' U' R2 D' R
R' U B' U' R2 D2 R
R' U B' U' D R' D
R' U B' U' D R' D'
R' U B' U' D R' D2
R' U B' U' D' R' D
R' U B' U' D' R' D'
R' U B' U' D' R' D2
L U B D' F U' L
R' U B' U' D2 R' D
R' U B' U' D2 R' D'
R' U B' U' D2 R' D2
R' U B' U' F' R' F
R' U B' U' F2 R' F2
L U B D2 F U' L
L U B F U' L D
L U B F U' L D'
L U B F U' L D2
R' U B' D U' R' D
R' U B' D U' R' D'
R' U B' D U' R' D2
L U B F U' D L
L U B F U' D' L
L U B F U' D2 L
R' U B' D F U' R'
L U B F D U' L
R' U B' D F' U' R'
L U B F D' U' L
L U B F D2 U' L
R' U B' D F2 U' R'
R' U B' D' U' R' D
R' U B' D' U' R' D'
R' U B' D' U' R' D2
R' U B' D' F U' R'
R' U B' D' F' U' R'
R' U B' D' F2 U' R'
R' U B' D2 U' R' D
R' U B' D2 U' R' D'
R' U B' D2 U' R' D2
R' U B' D2 F U' R'
R' U B' D2 F' U' R'
R' U B' D2 F2 U' R'
R' U B' F U' R' D
R' U B' F U' R' D'
R' U B' F U' R' D2
R' U B' F U' D R'
R' U B' F U' D' R'
R' U B' F U' D2 R'
R' U B' F D U' R'
R' U B' F D' U' R'
R' U B' F D2 U' R'
R' U B' F' U' R' D
R' U B' F' U' R' D'
R' U B' F' U' R' D2
R' U B' F' U' D R'
R' U B' F' U' D' R'
R' U B' F' U' D2 R'
R' U B' F' D U' R'
R' U B' F' D' U' R'
R' U B' F' D2 U' R'
R' U B' F2 U' R' D
R' U B' F2 U' R' D'
D2 R D U B' U' R'
R' U B' F2 U' R' D2
R' U B' F2 U' D R'
R' U B' F2 U' D' R'
R' U B' F2 U' D2 R'
R' U B' F2 D U' R'
R' U B' F2 D' U' R'
R' U B' F2 D2 U' R'
D' R D U B' U' R'
R2 U B' U L U2 R'
R2 U B' U L' U2 R'
R2 U B' U L2 U2 R'
R2 U B' U' R2 D R
R2 U B' U' R2 D' R
R2 U B' U' R2 D2 R
R2 U B' U' D R' D
R2 U B' U' D R' D'
R2 U B' U' D R' D2
R2 U B' U' D' R' D
R2 U B' U' D' R' D'
R2 U B' U' D' R' D2
R2 U B' U' D2 R' D
R2 U B' U' D2 R' D'
R2 U B' U' D2 R' D2
R2 U B' U' F' R' F
R2 U B' U' F2 R' F2
R2 U B' D U' R' D
R2 U B' D U' R' D'
R2 U B' D U' R' D2
R2 U B' D F U' R'
R2 U B' D F' U' R'
R2 U B' D F2 U' R'
R U B' U L U2 R'
R U B' U L' U2 R'
R U B' U L2 U2 R'
R2 U B' D' U' R' D
R2 U B' D' U' R' D'
R2 U B' D' U' R' D2
R2 U B' D' F U' R'
R2 U B' D' F' U' R'
R2 U B' D' F2 U' R'
R U B' U' R2 D R
R U B' U' R2 D' R
R U B' U' R2 D2 R
R U B' U' D R' D
R U B' U' D R' D'
R U B' U' D R' D2
R U B' U' D' R' D
R U B' U' D' R' D'
R U B' U' D' R' D2
R U B' U' D2 R' D
R U B' U' D2 R' D'
R U B' U' D2 R' D2
R2 U B' D2 U' R' D
R2 U B' D2 U' R' D'
R2 U B' D2 U' R' D2
R U B' U' F' R' F
R2 U B' D2 F U' R'
R U B' U' F2 R' F2
R2 U B' D2 F' U' R'
R2 U B' D2 F2 U' R'
D R D U B' U' R'
R2 U B' F U' R' D
R2 U B' F U' R' D'
R2 U B' F U' R' D2
R2 U B' F U' D R'
R2 U B' F U' D' R'
R2 U B' F U' D2 R'
R2 U B' F D U' R'
R2 U B' F D' U' R'
R2 U B' F D2 U' R'
R2 U B' F' U' R' D
R2 U B' F' U' R' D'
R2 U B' F' U' R' D2
R2 U B' F' U' D R'
R2 U B' F' U' D' R'
R2 U B' F' U' D2 R'
R U B' D U' R' D
R U B' D U' R' D'
R U B' D U' R' D2
R2 U B' F' D U' R'
R U B' D F U' R'
R2 U B' F' D' U' R'
R U B' D F' U' R'
R2 U B' F' D2 U' R'
R U B' D F2 U' R'
R2 U B' F2 U' R' D
R2 U B' F2 U' R' D'
R2 U B' F2 U' R' D2
R2 U B' F2 U' D R'
R2 U B' F2 U' D' R'
R2 U B' F2 U' D2 R'
R2 U B' F2 D U' R'
R2 U B' F2 D' U' R'
R2 U B' F2 D2 U' R'
R U B' D' U' R' D
R U B' D' U' R' D'
R U B' D' U' R' D2
R U B' D' F U' R'
R U B' D' F' U' R'
L U B' F U R' U2
R U B' D' F2 U' R'
R U B' D2 U' R' D
R U B' D2 U' R' D'
R U B' D2 U' R' D2
R U B' D2 F U' R'
R U B' D2 F' U' R'
R U B' D2 F2 U' R'
U R D R' B' U' R'
R U B' F U' R' D
R U B' F U' R' D'
R U B' F U' R' D2
R U B' F U' D R'
R U B' F U' D' R'
R U B' F U' D2 R'
R U B' F D U' R'
R U B' F D' U' R'
R U B' F D2 U' R'
R U B' F' U' R' D
R U B' F' U' R' D'
R U B' F' U' R' D2
R U B' F' U' D R'
R U B' F' U' D' R'
R U B' F' U' D2 R'
R U B' F' D U' R'
R U B' F' D' U' R'
R U B' F' D2 U' R'
R U B' F2 U' R' D
R U B' F2 U' R' D'
R U B' F2 U' R' D2
R U B' F2 U' D R'
R U B' F2 U' D' R'
R U B' F2 U' D2 R'
R U B' F2 D U' R'
R U B' F2 D' U' R'
R U B' F2 D2 U' R'
D2 R D' U B' U' R'
D' R D' U B' U' R'
D R D' U B' U' R'
L U B2 D2 F U' L'
U R D' R' B' U' R'
D2 R D2 U B' U' R'
D' R D2 U B' U' R'
L2 U' L B' L' F U
D R D2 U B' U' R'
L' U' L' F L B' U
U R D2 R' B' U' R'
F' R F U B' U' R'
R' U' L2 F L2 U R
U R F R' B' U' R'
R2 U' L2 F L2 U R
R U' L2 F L2 U R
U R F' R' B' U' R'
F2 R F2 U B' U' R'
U R F2 R' B' U' R'
F' R B' U' F B R
F' R B' U' B F R
L' U' D F B' U L'
B R B' U B' U' R'
L' U' D B' F U L'
L2 U' D F U' L' U2
U R B' U' D' R' B
U R B' D' U' R' B
L' U' D' F B' U L
L' U' D' F' B' U L
L' U' D' F2 B' U L
L' U' D' B' U L D
L' U' D' B' U L D'
L' U' D' B' U L D2
L' U' D' B' U D L
L' U' D' B' U D' L
L' U' D' B' U D2 L
L' U' D' B' D U L
L' U' D' B' D' U L
L' U' D' B' D2 U L
L' U' D' B' F U L
L' U' D' B' F' U L
L' U' D' B' F2 U L
L2 U' D' F B U R'
L2 U' D' B F U R'
U2 R' L U' F' U' L'
L2 U' F L B' L' U
R' U' F U2 B' U' R
