U' L' B U' B2
U' B L' U' B'
U' L B L2 U' B'
B' L' R' B2 U' R'
U' L' U' B' D L2
B L' U' D' B2 R'
U' L' D B U' B2
U' L' D' B U' B2
B L' D' U' B2 R'
U' L' D2 B U' B2
U' L' B R U' B2
U' L' B R' U' B2
U' L' B R2 U' B2
U' L' B U' B2 D
U' L' B U' B2 D'
U' L' B U' B2 D2
U' L' B D' R2 U'
B' R' L' B2 U' R'
U' D L' B U' B2
U' D B L' U' B'
U' D' L' B U' B2
D2 U' L' B U' B2
D' U' L' B U' B2
D U' L' B U' B2
B' U' L' R' B2 U'
B' U' R' L' B2 U'
B' U' R' B2 L' U'
U' D' B L' U' B'
D2 U' B L' U' B'
D' U' B L' U' B'
D U' B L' U' B'
U' D2 L' B U' B2
U' D2 B L' U' B'
U' B L' R U' B'
U' B L' R' U' B'
U' B L' R2 U' B'
U' B L' U' D B'
U' B L' U' D' B'
U' B L' U' D2 B'
U' B L' U' B' D
U' B L' U' B' D'
U' B L' U' B' D'
U' B L' U' B' D2
U' B L' D U' B'
U' B L' D' U' B'
U' B L' D2 U' B'
U' B R L' U' B'
U' B R' L' U' B'
U' B R2 L' U' B'
U' B D L' U' B'
U' B D' L' U' B'
U' B D2 L' U' B'
U' B' L' B2 U' B
U' D' L' B U' B2 D2
D' U' L' B U' B2 D
D' U' L' B U' B2 D'
D' U' L' B U' B2 D2
D' U' L' B D' R2 U'
U' D' L' B D' R2 U'
D2 U' L' B R U' B2
D2 U' L' B R' U' B2
D2 U' L' B R2 U' B2
D2 U' L' B U' B2 D
D2 U' L' B U' B2 D'
D2 U' L' B U' B2 D2
D U' L B L2 U' B'
D2 U' L' B D' R2 U'
D U' L' U' B' D L2
D U' L' D B U' B2
D U' L' D' B U' B2
D U' L' D2 B U' B2
B' U' L R' B2 L2 U'
D U' L' B R U' B2
D U' L' B R' U' B2
D U' L' B R2 U' B2
D U' L' B U' B2 D
D U' L' B U' B2 D'
D U' L' B U' B2 D2
D U' L' B D' R2 U'
B' U' L' R B2 R2 U'
B' U' L' R' U' D L2
B' U' L' R' D U' L2
B' U' L' R' B2 U' D
B' U' L' R' B2 U' D'
B' U' L' R' B2 U' D2
B' U' L' R' B2 D U'
B' U' L' R' B2 D' U'
B' U' L' R' B2 D2 U'
B' U' L' R2 B2 R U'
B' U' L' D R' U' L2
B' U' L' B2 U2 L U
B U' L' U' D' L B2
B U' L' U2 L2 U L'
B U' L' D' U' L B2
B U' L' D2 R2 U' L
B' U' R L' B2 R2 U'
B' U' R B2 L' R2 U'
B' U' R B2 R2 L' U'
B' U' R' L B2 L2 U'
B' U' R' L' U' D L2
B' U' R' L' D U' L2
B' U' R' L' B2 U' D
B' U' R' L' B2 U' D'
B' U' R' L' B2 U' D2
B' U' R' L' B2 D U'
B' U' R' L' B2 D' U'
B' U' R' L' B2 D2 U'
B' U' R' D L' U' L'
B' U' R' B L' B U'
B' U' R' B2 L' U' D
B' U' R' B2 L' U' D'
B' U' R' B2 L' U' D2
B' U' R' B2 L' D U'
B' U' R' B2 L' D' U'
B' U' R' B2 L' D2 U'
B' U' R' B2 D L' U'
B' U' R' B2 D' L' U'
B' U' R' B2 D2 L' U'
B' U' R2 L' B2 R U'
B' U' R2 B2 L' R U'
B' U' R2 B2 R L' U'
B' U' D L' R' U' L'
B' U' D R' L' U' L'
D' U' B L' R U' B'
U' D' B L' R U' B'
D' U' B L' R' U' B'
U' D' B L' R' U' B'
D' U' B L' R2 U' B'
U' D' B L' R2 U' B'
D' U' B L' U' D B'
D' U' B L' U' D' B'
D' U' B L' U' D2 B'
U' D' B L' U' D B'
U' D' B L' U' D' B'
U' D' B L' U' D2 B'
D' U' B L' U' B' D
D' U' B L' U' B' D'
D' U' B L' U' B' D2
U' D' B L' U' B' D
U' D' B L' U' B' D'
U' D' B L' U' B' D2
D' U' B L' D U' B'
U' D' B L' D U' B'
D' U' B L' D' U' B'
U' D' B L' D' U' B'
D' U' B L' D2 U' B'
U' D' B L' D2 U' B'
U' D' B R L' U' B'
D' U' B R L' U' B'
D2 U' B L' R U' B'
D2 U' B L' R' U' B'
D2 U' B L' R2 U' B'
D2 U' B L' U' D B'
D2 U' B L' U' D' B'
D2 U' B L' U' D2 B'
D2 U' B L' U' B' D
D2 U' B L' U' B' D'
D2 U' B L' U' B' D2
D2 U' B L' D U' B'
D2 U' B L' D' U' B'
D' U' B R' L' U' B'
U' D' B R' L' U' B'
D2 U' B L' D2 U' B'
D' U' B R2 L' U' B'
U' D' B R2 L' U' B'
D2 U' B R L' U' B'
D2 U' B R' L' U' B'
D2 U' B R2 L' U' B'
U' D' B D L' U' B'
D' U' B D L' U' B'
U' D' B D' L' U' B'
D' U' B D' L' U' B'
U' D' B D2 L' U' B'
D' U' B D2 L' U' B'
D2 U' B D L' U' B'
D2 U' B D' L' U' B'
D2 U' B D2 L' U' B'
U' D' B' L' B2 U' B
D' U' B' L' B2 U' B
D2 U' B' L' B2 U' B
D U' B L' R U' B'
D U' B L' R' U' B'
D U' B L' R2 U' B'
D U' B L' U' D B'
D U' B L' U' D' B'
D U' B L' U' D2 B'
D U' B L' U' B' D
D U' B L' U' B' D'
D U' B L' U' B' D2
D U' B L' D U' B'
D U' B L' D' U' B'
D U' B L' D2 U' B'
D U' B R L' U' B'
D U' B R' L' U' B'
D U' B R2 L' U' B'
D U' B D L' U' B'
D U' B D' L' U' B'
D U' B D2 L' U' B'
D U' B' L' B2 U' B
U' D2 L B L2 U' B'
U' D2 L' U' B' D L2
U' D2 L' D B U' B2
U' D2 L' D' B U' B2
U' D2 L' D2 B U' B2
U' D2 L' B R U' B2
U' D2 L' B R' U' B2
U' D2 L' B R2 U' B2
U' D2 L' B U' B2 D
U' D2 L' B U' B2 D'
U' D2 L' B U' B2 D2
U' D2 L' B D' R2 U'
B2 U' B L' R' B2 U'
B2 U' B R' L' B2 U'
B2 U' B R' B2 L' U'
F2 U' B U2 R U B
B2 U' B' L' U' D' B2
B2 U' B' L' U2 L2 U
B2 U' B' L' D' U' B2
B2 U' B' L' D2 R2 U'
B' U' B2 L' U' D' B2
B' U' B2 L' U2 L2 U
B' U' B2 L' D' U' B2
B' U' B2 L' D2 R2 U'
B U' B2 L' R' U' L
B U' B2 R' L' U' L
B' U2 L' R' B2 U' R
B U2 L D2 R2 U R2
U' D2 B L' R U' B'
U' D2 B L' R' U' B'
U' D2 B L' R2 U' B'
U' D2 B L' U' D B'
U' D2 B L' U' D' B'
U' D2 B L' U' D2 B'
U' D2 B L' U' B' D
U' D2 B L' U' B' D'
U' D2 B L' U' B' D2
U' D2 B L' D U' B'
U' D2 B L' D' U' B'
U' D2 B L' D2 U' B'
U' D2 B R L' U' B'
U' D2 B R' L' U' B'
B' U2 R' L' B2 U' R
U' D2 B R2 L' U' B'
U' D2 B D L' U' B'
U' D2 B D' L' U' B'
U' D2 B D2 L' U' B'
U' D2 B' L' B2 U' B
B' U2 R' B2 L' U' R
B D L' U' D' B2 R'
B D L' D' U' B2 R'
U2 F B R U' R' F'
B' D U' L' R' U' L'
B' D U' R' L' U' L'
B D' L' U' D' B2 R'
B D' L' D' U' B2 R'
B' D' R2 U' L' R U'
B' D' R2 U' R L' U'
R2 F2 U R F U B
U F2 R2 F' R' U B
R F2 U R F' U B
B D2 L' U' D' B2 R'
B D2 L' D' U' B2 R'
U' B L' R U' D B'
U' B L' R U' D' B'
U' B L' R U' D2 B'
U' B L' R U' B' D
U' B L' R U' B' D'
U' B L' R U' B' D2
U' B L' R D U' B'
U' B L' R D' U' B'
U' B L' R D2 U' B'
U' B L' R' U' D B'
U' B L' R' U' D' B'
U' B L' R' U' D2 B'
U' B L' R' U' B' D
U' B L' R' U' B' D'
U' B L' R' U' B' D2
U' B L' R' D U' B'
U' B L' R' D' U' B'
U' B L' R' D2 U' B'
U' B L' R2 U' D B'
U' B L' R2 U' D' B'
U' B L' R2 U' D2 B'
U' B L' R2 U' B' D
U' B L' R2 U' B' D'
U' B L' R2 U' B' D2
U' B L' R2 D U' B'
U' B L' R2 D' U' B'
U' B L' R2 D2 U' B'
U' B L' U F U2 B'
U' B L' U F' U2 B'
U' B L' U F2 U2 B'
U' B L' U' R' B' R
U' B L' U' R2 B' R2
U' B L' U' D B' D
U' B L' U' D B' D'
U' B L' U' D B' D2
U' B L' U' D' B' D
U' B L' U' D' B' D'
U' B L' U' D' B' D2
U' B L' U' D2 B' D
U' B L' U' D2 B' D'
U' B L' U' D2 B' D2
U' B L' U' B2 D B
U' B L' U' B2 D' B
U' B L' U' B2 D2 B
U' B L' D R U' B'
U' B L' D R' U' B'
U' B L' D R2 U' B'
U' B L' D U' B' D
U' B L' D U' B' D'
U' B L' D U' B' D2
U' B L' D' R U' B'
U' B L' D' R' U' B'
U' B L' D' R2 U' B'
U' B L' D' U' B' D
U' B L' D' U' B' D'
U' B L' D' U' B' D2
U' B L' D2 R U' B'
U' B L' D2 R' U' B'
U' B L' D2 R2 U' B'
D2 B L' U' D' B2 R'
U' B L' D2 U' B' D
U' B L' D2 U' B' D'
U' B L' D2 U' B' D2
D' B L' U' D' B2 R'
D2 B L' D' U' B2 R'
D' B L' D' U' B2 R'
U2 B L' R' U' R B
U2 B L' F R U' R'
D B L' U' D' B2 R'
U' B R L' U' D B'
U' B R L' U' D' B'
U' B R L' U' D2 B'
U' B R L' U' B' D
U' B R L' U' B' D'
U' B R L' U' B' D2
U' B R L' D U' B'
U' B R L' D' U' B'
U' B R L' D2 U' B'
D B L' D' U' B2 R'
U' B R D L' U' B'
U' B R D' L' U' B'
U' B R D2 L' U' B'
U' B R' L' U' D B'
U' B R' L' U' D' B'
U' B R' L' U' D2 B'
U' B R' L' U' B' D
U' B R' L' U' B' D'
U' B R' L' U' B' D2
U' B R' L' D U' B'
U' B R' L' D' U' B'
U' B R' L' D2 U' B'
U' B R' D L' U' B'
U' B R' D' L' U' B'
U' B R' D2 L' U' B'
U' B R2 L' U' D B'
U' B R2 L' U' D' B'
U' B R2 L' U' D2 B'
U' B R2 L' U' B' D
U' B R2 L' U' B' D'
U' B R2 L' U' B' D2
U' B R2 L' D U' B'
U' B R2 L' D' U' B'
U' B R2 L' D2 U' B'
U2 B R' L' U' R B
U' B R2 D L' U' B'
U' B R2 D' L' U' B'
U' B R2 D2 L' U' B'
L' B U' B D' R' B
L' B U2 L B U R'
L' B U2 D L B' U
U' B D L' R U' B'
U' B D L' R' U' B'
U' B D L' R2 U' B'
U' B D L' U' D B'
U' B D L' U' D' B'
U' B D L' U' D2 B'
U' B D L' U' B' D
U' B D L' U' B' D'
U' B D L' U' B' D2
U' B D L' D U' B'
U' B D L' D' U' B'
U' B D L' D2 U' B'
U' B D R L' U' B'
U' B D R' L' U' B'
U' B D R2 L' U' B'
L' B D U2 L B' U
U' B D' L' R U' B'
U' B D' L' R' U' B'
U' B D' L' R2 U' B'
U' B D' L' U' D B'
U' B D' L' U' D' B'
U' B D' L' U' D2 B'
U' B D' L' U' B' D
U' B D' L' U' B' D'
U' B D' L' U' B' D2
U' B D' L' D U' B'
U' B D' L' D' U' B'
U' B D' L' D2 U' B'
U' B D' R L' U' B'
U' B D' R' L' U' B'
U' B D' R2 L' U' B'
U' B D2 L' R U' B'
U' B D2 L' R' U' B'
U' B D2 L' R2 U' B'
U' B D2 L' U' D B'
U' B D2 L' U' D' B'
U' B D2 L' U' D2 B'
U' B D2 L' U' B' D
U' B D2 L' U' B' D'
U' B D2 L' U' B' D2
U' B D2 L' D U' B'
U' B D2 L' D' U' B'
U' B D2 L' D2 U' B'
U' B D2 R L' U' B'
U' B D2 R' L' U' B'
U' B D2 R2 L' U' B'
U2 B F R U' R' F'
B' F U' R' B2 U' F'
U' B' L B2 L2 U' B'
U' B' L' R B2 U' B
U' B' L' R' B2 U' B
U' B' L' R2 B2 U' B
U' B' L' U' D B' L2
D2 B' L' R' B2 U' R'
U' B' L' D U' B' L2
D' B' L' R' B2 U' R'
F2 B U2 L R U R'
U' B' L' B2 U' D B
U' B' L' B2 U' D' B
U' B' L' B2 U' D2 B
U' B' L' B2 U' B D
U' B' L' B2 U' B D'
U' B' L' B2 U' B D2
U' B' L' B2 D U' B
U' B' L' B2 D' U' B
U' B' L' B2 D2 U' B
F2 B U2 R L U R'
D B' L' R' B2 U' R'
U' B' R L' B2 U' B
U' B' R B2 L' U' B'
U' B' R' L' B2 U' B
D2 B' R' L' B2 U' R'
D' B' R' L' B2 U' R'
L B' L2 R' B2 U' R'
U' B' R' B2 L' U' B'
U' B' R2 L' B2 U' B
U' B' R2 B2 L' U' B'
D B' R' L' B2 U' R'
L B' R' L2 B2 U' R'
U2 B' U L' B2 U' B
D2 B' U' L' R' B2 U'
D' B' U' L' R' B2 U'
D2 B' U' R' L' B2 U'
D2 B' U' R' B2 L' U'
D' B' U' R' L' B2 U'
D' B' U' R' B2 L' U'
U2 B' U B2 L' U' B'
D B' U' L' R' B2 U'
U' B' D L' U' B' L'
D B' U' R' L' B2 U'
D B' U' R' B2 L' U'
R B' U' L' R' B U'
R B' U' R' L' B U'
R B' U' R' B L' U'
F B' U' R' B2 U' F'
U' B2 L' U' D' B' L
U' B2 L' D' U' B' L
U' B2 R B' L' U' B'
U' B2 R' B' L' U' B'
U' B2 R2 B' L' U' B'
U2 B2 U B' L' U' B'
U' B2 D B' L' U' B'
U' B2 D' B' L' U' B'
U' B2 D2 B' L' U' B'
B F2 U2 L R U R'
B F2 U2 R L U R'
