R D' B U' F' B
R D' B U' B F'
R' D2 R2 B U' F'
R B U' D' F' B2
R B U' D' B2 F'
R B U' F' D' B2
R B U2 L2 U F'
R B D' U' F' B2
R B D' U' B2 F'
R' U2 F' L2 U' B U2
R' U2 F' R2 L2 U F'
D2 R2 U' L' D' F L'
R D B U F2 U2 F
R D B U' D2 F' B2
R D B U' D2 B2 F'
R D B D2 U' F' B2
R D B D2 U' B2 F'
R D' L B U' F' B
R D' L B U' B F'
R D' L' B U' F' B
R D' L' B U' B F'
R D' L2 B U' F' B
R D' L2 B U' B F'
R' D' R2 B U' F' B
R' D' R2 B U' B F'
R D' B L U' F' B
R D' B L U' B F'
R D' B L' U' F' B
R D' B L' U' B F'
R D' B L2 U' F' B
R D' B L2 U' B F'
R D' B U' D F' B
R D' B U' D B F'
R D' B U' D' F' B
R D' B U' D' B F'
R D' B U' D2 F' B
R D' B U' D2 B F'
R D' B U' F' D B
R D' B U' F' D' B
R D' B U' F' D2 B
R D' B U' F' B D
R D' B U' F' B D'
R D' B U' F' B D2
R D' B U' B D F'
R D' B U' B D' F'
R D' B U' B D2 F'
R D' B U' B F' D
R D' B U' B F' D'
R D' B U' B F' D2
R D' B D U' F' B
R D' B D U' B F'
R D' B D' U' F' B
R D' B D' U' B F'
R D' B D2 U' F' B
R D' B D2 U' B F'
R' D2 L R2 B U' F'
R' D2 L' R2 B U' F'
R' D2 L2 R2 B U' F'
R' D2 R2 L B U' F'
R' D2 R2 L' B U' F'
R' D2 R2 L2 B U' F'
R' D2 R2 D B U' F'
R' D2 R2 D' B U' F'
R' D2 R2 D2 B U' F'
R' D2 R2 B L U' F'
R' D2 R2 B L' U' F'
R' D2 R2 B L2 U' F'
R' D2 R2 B U' D F'
R' D2 R2 B U' D' F'
R' D2 R2 B U' D2 F'
R' D2 R2 B U' F' D
R' D2 R2 B U' F' D'
R' D2 R2 B U' F' D2
R' D2 R2 B D U' F'
R' D2 R2 B D' U' F'
R' D2 R2 B D2 U' F'
R D2 B R2 U B U2
R D2 B U' D F' B2
R D2 B U' D B2 F'
R D2 B U' F' D B2
R D2 B D U' F' B2
R D2 B D U' B2 F'
U F R U L2 U F'
U F R U2 D' F' B2
U F R U2 D' B2 F'
U F R U2 F' D' B2
U F R D F2 U2 F
U F R D' U2 F' B2
U F R D' U2 B2 F'
R' F' L2 R2 B' U F'
R' F' L2 B' U D2 F2
R' F' L2 B' U' B2 U2
R' F' L2 B' D' R2 U
R' F' L2 B' D2 U F2
R' F' R2 L2 B' U F'
R' F' B2 L2 B' U F
L' F2 R F2 B U' F
L' F2 R B F2 U' F
R B L U2 L U F'
R B L' U2 L' U F'
R B R2 D2 R2 U' F'
R' B U2 L2 F' U F
R B U D F2 U2 F
R B U' D' F' B2 D
R B U' D' F' B2 D'
R B U' D' F' B2 D2
R B U' D' B2 D F'
R B U' D' B2 D' F'
R B U' D' B2 D2 F'
R B U' D' B2 F' D
R B U' D' B2 F' D'
R B U' D' B2 F' D2
R B U' D2 F' D B2
R B U' F' U' L2 U
R B U' F' D' B2 D
R B U' F' D' B2 D'
R B U' F' D' B2 D2
R B U' F' B D' B2
R B U' F' B' D' B2
R B U' F' B2 D' B2
R B U' F2 D' F B2
R B U' F2 D' B2 F
R B U' B D' F' B2
R B U' B D' B2 F'
R B U' B F' D' B2
R B U' B' D' F' B2
R B U' B' D' B2 F'
R B U' B' F' D' B2
R B U' B2 D' F' B2
R B U' B2 D' B2 F'
R B U' B2 F' D' B2
R B U2 L2 U D F'
R B U2 L2 U D' F'
R B U2 L2 U D2 F'
R B U2 L2 U F' D
R B U2 L2 U F' D'
R B U2 L2 U F' D2
R B U2 L2 D U F'
R B U2 L2 D' U F'
R B U2 L2 D2 U F'
R B D U F2 U2 F
R B D' L U' F' B2
R B D' L U' B2 F'
R B D' L' U' F' B2
R B D' L' U' B2 F'
R B D' L2 U' F' B2
R B D' L2 U' B2 F'
R B D' U' F' B2 D
R B D' U' F' B2 D'
R B D' U' F' B2 D2
R B D' U' B2 D F'
R B D' U' B2 D' F'
R B D' U' B2 D2 F'
R B D' U' B2 F' D
R B D' U' B2 F' D'
R B D' U' B2 F' D2
R B D2 R2 U B U2
R B D2 U' F' D B2
R' B' D2 R2 B U' F2
R' B2 U2 L2 F' U F2
R' B2 U2 F' L2 U F
R B2 U2 L2 F U F2
R' B2 F' L2 B' U F
R B2 D' B' U' F' B'
R B2 D' B' U' B' F'
