U' R U2 R2 F' B
U' R U2 R2 B F'
U' R F' U2 R2 F'
U' R F' B U2 R2
U' R B U2 R2 B
U' R B F' U2 R2
F2 R' D' L' F B
F2 R' D' L' B F
F2 R' D' B L' F
U' R' D2 L2 F' B
U' R' D2 L2 B F'
U' R' D2 F' L2 B
U' R' D2 F' B L2
U' R' D2 B L2 F'
U' R' D2 B F' L2
U' R' F' D2 L2 B
U' R' F' D2 B L2
U' R' F' B D2 L2
F2 R' B D' L' F
U' R' B D2 L2 F'
U' R' B D2 F' L2
U' R' B F' D2 L2
U' F' R' F' L' B
U' F' R' F' B L'
U' F' R' B F' L'
R F' U' L' U' R2
U' F2 L' R' F' B
U' F2 L' R' B F'
U' F2 R' L' F' B
U' F2 R' L' B F'
U' F2 R' B L' F'
U' R' B D F' D L2
U' R' B D2 L F' L
U' R' B D2 L2 D F'
U' R' B D2 L2 D' F'
U' R' B D2 L2 D2 F'
U' R' B D2 L2 F' D
U' R' B D2 L2 F' D'
U' R' B D2 L2 F' D2
U' R' B D2 F L2 F2
U' R' B D2 F' L2 D
U' R' B D2 F' L2 D'
U' R' B D2 F' L2 D2
U' R' B F' L D2 L2
U' R' B F' L' D2 L2
U' R' B F' L2 D2 L2
F' R' B F' D' L' F
U' R' B F' U2 R2 U2
U' R' B F' D2 L2 D
U' R' B F' D2 L2 D'
U' R' B F' D2 L2 D2
F2 R' B D' L' D F
F2 R' B D' L' D' F
F2 R' B D' L' D2 F
F2 R' B D' L' F D
F2 R' B D' L' F D'
F2 R' B D' L' F D2
U' R' B F2 D2 F L2
U R' B L D2 F L2
U R' B L F D2 L2
U R' B L' D2 L2 F
F R' B F L' D' F2
U R' B D2 L F L
F R' B F D' L' F2
F R' B F' D' F2 L'
R U2 R2 B U L U'
U' R' B2 D2 F' B' L2
U' R' B2 D2 B' L2 F'
U' R' B2 D2 B' F' L2
U' R' B2 F' D2 B' L2
F2 R' B2 D' B' L' F
F2 R2 L' D R F' B
F2 R2 L' D R B F'
F2 R2 D L' R F' B
F2 R2 D L' R B F'
F2 R2 D R L' F' B
F2 R2 D R L' B F'
F2 R2 D R B L' F'
F2 R2 D' L' R F B
F2 R2 D' L' R B F
F2 R2 D' R L' F B
F2 R2 D' R L' B F
F2 R2 D' R B L' F
U' R2 B R F' B L
U' R2 B R B L F'
U' R2 B R B F' L
U R2 B R B L F
U' R2 B2 L R F' B
U' R2 B2 L R B F'
U' R2 B2 R L F' B
U' R2 B2 R L B F'
U' R2 B2 R F' L B
U R2 B2 L R F B
U R2 B2 L R B F
B2 U L R F' U2 F2
U R2 B2 R L F B
U R2 B2 R L B F
B2 U R L F' U2 F2
B2 U R F' L U2 F
F2 U R' D' L' F B
F2 U R' D' L' B F
F2 U R' D' B L' F
F2 U R' B D' L' F
B2 U' L R F' B U2
B2 U' L R B F' U2
F' U' L' U' R' B L
B2 U' R L F' B U2
B2 U' R L B F' U2
B' U' R F' B U2 R'
B' U' R B F' U2 R'
B2 U' R F' L B U2
R D' F' U' L' F' U'
F2 U' R' D' L' F B
F2 U' R' D' L' B F
F2 U' R' D' B L' F
F2 U' R' B D' L' F
R D2 L2 F' U' L' U'
R D2 F' L2 U' L U'
F2 U2 R' D' L' F B
F2 U2 R' D' L' B F
F2 U2 R' D' B L' F
F' U2 R' B L D F2
F2 U2 R' B D' L' F
U F L R' F L' B
U F L R' F B L'
U F L R' B F L'
U F L F L' R' B
U F L F R' L' B
U F L F R' B L'
U' F R' F L' F2 B
U' F R' F L' B F2
U' F R' F B L' F2
U' F R' B F L' F2
U F R' L F L' B
U F R' L F B L'
U F R' L B F L'
U F R' B L F L'
U' F' L R' F' L' B
U' F' L R' F' B L'
U' F' L R' B F' L'
U' F' L' R' F' L' B
U' F' L' R' F' B L'
U' F' L' R' B F' L'
U' F' L2 R' F' L' B
U' F' L2 R' F' B L'
U' F' L2 R' B F' L'
R F' L U' L2 U' R2
R F' L U2 R2 D F2
R F' L' U2 R2 D' F2
U' F' R' L F' L' B
U' F' R' L F' B L'
U' F' R' L B F' L'
U' F' R' L' F' L' B
U' F' R' L' F' B L'
U' F' R' L' B F' L'
U' F' R' L2 F' L' B
U' F' R' L2 F' B L'
U' F' R' L2 B F' L'
U' F' R' D F' L' B
U' F' R' D F' B L'
U' F' R' D B F' L'
U' F' R' D' F' L' B
U' F' R' D' F' B L'
U' F' R' D' B F' L'
U' F' R' D2 F' L' B
U' F' R' D2 F' B L'
U' F' R' D2 B F' L'
R F' L2 U' L U' R2
U' F' R' F' L B L2
U' F' R' F' L' D B
U' F' R' F' L' D' B
U' F' R' F' L' D2 B
U' F' R' F' L' B D
U' F' R' F' L' B D'
U' F' R' F' L' B D2
U' F' R' F' D L' B
U' F' R' F' D B L'
U' F' R' F' D' L' B
U' F' R' F' D' B L'
U' F' R' F' D2 L' B
U' F' R' F' D2 B L'
U' F' R' F' B L' D
U' F' R' F' B L' D'
U' F' R' F' B L' D2
U' F' R' F' B D L'
U' F' R' F' B D' L'
U' F' R' F' B D2 L'
U' F' R' F' B' L' B2
U' F' R' B L F' L'
U' F' R' B L' F' L'
U' F' R' B L2 F' L'
U' F' R' B D F' L'
U' F' R' B D' F' L'
U' F' R' B D2 F' L'
U' F' R' B F' L' D
U' F' R' B F' L' D'
U' F' R' B F' L' D2
U' F' R' B F' D L'
U' F' R' B F' D' L'
U' F' R' B F' D2 L'
U' F' R' B' F' L' B2
U' F' U2 R' B L F
R F' U' L' U' R2 D
R F' U' L' U' R2 D'
R F' U' L' U' R2 D2
R F' U' L' D' F2 U'
R F' U' L' F U' R2
R F' U' L' F' U' R2
R F' U' L' F2 U' R2
F2 D' L' D R' F B
F2 D' L' D R' B F
F2 D' L' D F R' B
R F' U' D' L' F2 U'
U F' U2 R' F' B L
U F' U2 R' B L F'
U F' U2 R' B F' L
R F' U2 R2 U L' U'
R F' D' U' L' F2 U'
R F' D2 L2 U' L U'
U' F2 L R' F' L2 B
U' F2 L R' F' B L2
U' F2 L R' B L2 F'
U' F2 L R' B F' L2
R F' B U' L' U' R2
U' F2 L' R' D F' B
U' F2 L' R' D B F'
U' F2 L' R' D' F' B
U' F2 L' R' D' B F'
U' F2 L' R' D2 F' B
U' F2 L' R' D2 B F'
U' F2 L' R' F' D B
U' F2 L' R' F' D' B
U' F2 L' R' F' D2 B
U' F2 L' R' F' B D
U' F2 L' R' F' B D'
U' F2 L' R' F' B D2
U' F2 L' R' B D F'
U' F2 L' R' B D' F'
U' F2 L' R' B D2 F'
U' F2 L' R' B F' D
U' F2 L' R' B F' D'
U' F2 L' R' B F' D2
R F' B' U' L' U' R2
U' F2 L' F R' F' B
U' F2 L' F R' B F'
U' F2 L' F' R' F' B
U' F2 L' F' R' B F'
U' F2 L' F2 R' F' B
U' F2 L' F2 R' B F'
U' F2 L2 R' F' L B
R F' B2 U' L' U' R2
U F2 L R' F L2 B
U F2 L R' F B L2
U F2 L R' B F L2
U F2 L F L2 R' B
U F2 L F R' L2 B
U F2 L F R' B L2
U F2 L' R' B D2 F2
U' F2 R' L F' L2 B
U' F2 R' L F' B L2
U' F2 R' L B L2 F'
U' F2 R' L B F' L2
U' F2 R' L' D F' B
U' F2 R' L' D B F'
U' F2 R' L' D' F' B
U' F2 R' L' D' B F'
U' F2 R' L' D2 F' B
U' F2 R' L' D2 B F'
U' F2 R' L' F' D B
U' F2 R' L' F' D' B
U' F2 R' L' F' D2 B
U' F2 R' L' F' B D
U' F2 R' L' F' B D'
U' F2 R' L' F' B D2
U' F2 R' L' B D F'
U' F2 R' L' B D' F'
U' F2 R' L' B D2 F'
U' F2 R' L' B F' D
U' F2 R' L' B F' D'
U' F2 R' L' B F' D2
U' F2 R' L2 F' L B
U' F2 R' D L' F' B
U' F2 R' D L' B F'
U' F2 R' D B L' F'
U' F2 R' D' L' F' B
U' F2 R' D' L' B F'
U' F2 R' D' B L' F'
U' F2 R' D2 L' F' B
U' F2 R' D2 L' B F'
U' F2 R' D2 B L' F'
U' F2 R' B L F' L2
U' F2 R' B L' D F'
U' F2 R' B L' D' F'
U' F2 R' B L' D2 F'
U' F2 R' B L' F' D
U' F2 R' B L' F' D'
U' F2 R' B L' F' D2
U' F2 R' B L2 F' L
U' F2 R' B D L' F'
U' F2 R' B D' L' F'
U' F2 R' B D2 L' F'
U' F2 R' B' L' F' B2
L' F2 R' D' L' F B
U' F2 R' B' L' B2 F'
L' F2 R' D' L' B F
L' F2 R' D' B L' F
L' F2 R' B D' L' F
L2 F2 R' D' L' F B
L2 F2 R' D' L' B F
L2 F2 R' D' B L' F
U2 F2 R' B L' D F2
L2 F2 R' B D' L' F
U F2 R' L F L2 B
U F2 R' L F B L2
U F2 R' L B F L2
U F2 R' L' B D2 F2
L F2 R' D' L' F B
L F2 R' D' L' B F
L F2 R' D' B L' F
U F2 R' B L F L2
U2 F2 U L' R' F' B
U2 F2 U L' R' B F'
L F2 R' B D' L' F
U2 F2 U R' L' F' B
U2 F2 U R' L' B F'
U2 F2 U R' B L' F'
U F2 U2 L' R' F' B
U F2 U2 L' R' B F'
U F2 U2 R' L' F' B
U F2 U2 R' L' B F'
U F2 U2 R' B L' F'
D F2 D' L' R' F B
D F2 D' L' R' B F
D F2 D' L' F R' B
D F2 D' R' L' F B
D F2 D' R' L' B F
D F2 D' R' B L' F
U' B R F' B L U2
U' B R B L F' U2
U' B R B F' L U2
R B F' U' L' U' R2
U' B' R F' B U2 R'
U' B' R B F' U2 R'
U' B2 L R F' B U2
U' B2 L R B F' U2
R B' F' U' L' U' R2
U B2 L R F' U2 F2
U' B2 R L F' B U2
U' B2 R L B F' U2
U' B2 R F' L B U2
U B2 R L F' U2 F2
U B2 R F' L U2 F
R B2 F' U' L' U' R2
