F' R' U R2 B
F' L R' U R2 B
F' L' R' U R2 B
F' L2 R' U R2 B
F' R' L U R2 B
F' R' L' U R2 B
F' R' L2 U R2 B
F' R' U R2 D B
F' R' U R2 D' B
F' R' U R2 D2 B
F' R' U R2 B D
F' R' U R2 B D
F' R' U R2 B D'
F' R' U R2 B D2
F' R' U B R2 B
F' R' U B' R2 B
F' R' U B2 R2 B
F' R' U' F' U2 R2
F' R' B U R2 B
F' R' B' U R2 B
F' R' B2 U R2 B
F' D R' U R2 B
L' F' R' U R2 B
U F' L' R' U R2
L2 F' R' U R2 B
L F' R' U R2 B
U F' R' L' U R2
F' D' R' U R2 B
F' D2 R' U R2 B
L2 F' R' B U R2 B
L2 F' R' B' U R2 B
L2 F' R' B2 U R2 B
U F' R' L' U R2 D
U F' R' L' U R2 D'
U F' R' L' U R2 D2
U F' R' L' D B2 U
L F' R' L U R2 B
U F' R' L' B U R2
U F' R' L' B' U R2
U F' R' L' B2 U R2
U' F' U R D' F2 B
U' F' U R D' B F2
L F' R' L' U R2 B
U' F' U R B D' F2
L F' R' L2 U R2 B
L F' R' U R2 D B
L F' R' U R2 D' B
L F' R' U R2 D2 B
L F' R' U R2 B D
L F' R' U R2 B D'
L F' R' U R2 B D2
L F' R' U B R2 B
L F' R' U B' R2 B
L F' R' U B2 R2 B
D F' R' B U' F' U2
L F' R' U' F' U2 R2
U F' R' D L' B2 U
U F' R' D B2 L' U
U F' R' B L' U R2
U F' R' B' L' U R2
L F' R' B U R2 B
U F' R' B2 L' U R2
L F' R' B' U R2 B
L F' R' B2 U R2 B
F' D' L R' U R2 B
F' D' L' R' U R2 B
L' F' D R' U R2 B
F' D' L2 R' U R2 B
L2 F' D R' U R2 B
L' F' D' R' U R2 B
U F' D L' R' U R2
L2 F' D' R' U R2 B
U F' D R' L' U R2
L F' D R' U R2 B
L' F' D2 R' U R2 B
F' D' R' L U R2 B
F' D' R' L' U R2 B
F' D' R' L2 U R2 B
F' D' R' U R2 D B
F' D' R' U R2 D' B
F' D' R' U R2 D2 B
F' D' R' U R2 B D
F' D' R' U R2 B D'
F' D' R' U R2 B D2
F' D' R' U B R2 B
F' D' R' U B' R2 B
U F' D' L' R' U R2
F' D' R' U B2 R2 B
F' D' R' U' F' U2 R2
L2 F' D2 R' U R2 B
U F' D' R' L' U R2
L F' D' R' U R2 B
F' D' R' B U R2 B
F' D' R' B' U R2 B
F' D' R' B2 U R2 B
U F' D2 L' R' U R2
U F' D2 R' L' U R2
L F' D2 R' U R2 B
F2 D' F R' U R2 B
U' F2 R' F U R B
U F2 R' F L' U R
F' D2 L R' U R2 B
F' D2 L' R' U R2 B
F' D2 L2 R' U R2 B
F' D2 R' L U R2 B
F' D2 R' L' U R2 B
F' D2 R' L2 U R2 B
F' D2 R' U R2 D B
F' D2 R' U R2 D' B
F' D2 R' U R2 D2 B
F' D2 R' U R2 B D
F' D2 R' U R2 B D'
F' D2 R' U R2 B D2
F' D2 R' U B R2 B
F' D2 R' U B' R2 B
F' D2 R' U B2 R2 B
F' D2 R' U' F' U2 R2
F' D2 R' B U R2 B
F' D2 R' B' U R2 B
F' D2 R' B2 U R2 B
F2 D2 F R' U R2 B
B' D2 F' R U B R'
F' B R2 U R' F' B
F' B R2 U R' B F'
B F' R2 U R' F' B
B F' R2 U R' B F'
