U' L' D R2 B' U'
U' L' D B' R2 U'
U' L' D2 B' U' B'
U' L' B' U F2 U2
U' L' B' U' D2 B2
U' L' B' D R2 U'
U' L' B' D2 U' B2
B' R' F2 U R U
F2 R2 U R' F' U
U' D L' R2 B' U'
U' D L' B' R2 U'
F2 U R U2 B U'
F2 U R' F' R2 U
U' D R2 L' B' U'
D2 U' L' B' U' B'
D U' L' R2 B' U'
D U' L' B' R2 U'
D U' R2 L' B' U'
U' D2 L' B' U' B'
F2 B U R U L
F2 B' R' U R2 U
F2 B' R' U2 D' F2
F2 B' R' D B2 U2
F2 B' R' D' U2 F2
B' F2 R' U R2 U
B' F2 R' U2 D' F2
B' F2 R' D B2 U2
B' F2 R' D' U2 F2
B F2 U R U L
R2 U' L' B' U F2 U2
R2 U' L' B' U' D2 B2
R2 U' L' B' D R2 U'
R2 U' L' B' D2 U' B2
R U' L' B' U F2 U2
R U' L' B' U' D2 B2
R U' L' B' D R2 U'
R U' L' B' D2 U' B2
B' R F2 R2 U R' U
B R F2 U R U L
R' U' D L' R2 B' U'
R' U' D L' B' R2 U'
F2 R B' R' U R U
R' U' D R2 L' B' U'
R2 U' D L' R2 B' U'
R2 U' D L' B' R2 U'
R2 U' D R2 L' B' U'
R U' D L' R2 B' U'
R U' D L' B' R2 U'
R U' D R2 L' B' U'
R' U' D2 L' B' U' B'
R2 U' D2 L' B' U' B'
U' R' L' D R2 B' U'
R U' D2 L' B' U' B'
U' R' L' D B' R2 U'
U' R' L' D2 B' U' B'
U' R' L' B' U F2 U2
U' R' L' B' U' D2 B2
U' R' L' B' D R2 U'
U' R' L' B' D2 U' B2
F2 R' U R' F' R' U
D2 R' U' L' B' U' B'
B' R' U' L' U F2 U2
B' R' U' L' U' D2 B2
B' R' U' L' D R2 U'
B' R' U' L' D2 U' B2
B' R' U' D L' R2 U'
B' R' U' D R2 L' U'
B' R' U' D2 L' U' B2
D R' U' L' R' B' U'
D R' U' R' L' B' U'
F2 R' U2 D' F' L' F'
F2 R' U2 F D' F2 L'
F2 R' U2 F' L' D' F2
F2 R' U2 F' D' L' F2
U' R' D L' R2 B' U'
U' R' D L' B' R2 U'
U' R' D R2 L' B' U'
B' R' D U' L' R2 U'
B' R' D U' R2 L' U'
F2 R' D B' R' B' U2
F2 R' D' U2 F' L' F'
U' R' D2 L' B' U' B'
F2 R' D' B U2 L F2
F2 R' D' B U2 F2 L
F2 R' D' B' R' U2 F2
B' R' D2 U' L' U' B2
B' R' F2 U R U D
B' R' F2 U R U D'
B' R' F2 U R U D2
B' R' F2 U R D U
B' R' F2 U R D' U
B' R' F2 U R D2 U
B' R' F2 U D R U
B' R' F2 U D' R U
B' R' F2 U D2 R U
B' R' F2 D U R U
B' R' F2 D' U R U
B' R' F2 D2 U R U
B' R' F2 B U R U
B' R' F2 B' U R U
B' R' F2 B2 U R U
B R' F2 U R U L
F2 R' B U R2 U L
F2 R' B U2 L D' F2
F2 R' B U2 D' L F2
F2 R' B U2 D' F2 L
B' R' B F2 U R U
F2 R' B D B2 R' U2
F2 R' B D' U2 L F2
F2 R' B D' U2 F2 L
F2 R' B' R' U R' U
F2 R' B' D R' B2 U2
B' R' B' F2 U R U
F2 R' B' D B2 U2 L
F2 R' B' D' R' U2 F2
B' R' B2 F2 U R U
U' R2 L' D R2 B' U'
U' R2 L' D B' R2 U'
U' R2 L' D2 B' U' B'
U' R2 L' B' U F2 U2
U' R2 L' B' U' D2 B2
U' R2 L' B' D R2 U'
U' R2 L' B' D2 U' B2
F2 R2 U R' D F' U
F2 R2 U R' D' F' U
F2 R2 U R' D2 F' U
F2 R2 U R' F' U D
F2 R2 U R' F' U D'
F2 R2 U R' F' U D2
F2 R2 U R' F' D U
F2 R2 U R' F' D' U
F2 R2 U R' F' D2 U
F2 R2 U D R' F' U
F2 R2 U D' R' F' U
F2 R2 U D2 R' F' U
F2 R2 U F R' F' U
F2 R2 U F' R' F' U
F2 R2 U F2 R' F' U
D2 R2 U' L' B' U' B'
D R2 U' L' B' U' B
U' R2 D L' R2 B' U'
U' R2 D L' B' R2 U'
U' R2 D R2 L' B' U'
F2 R2 D U R' F' U
F2 R2 D' U R' F' U
U' R2 D2 L' B' U' B'
F2 R2 D2 U R' F' U
B' R2 F2 U R U L'
B R2 F2 U R U L
F2 R2 B' D' R' B U2
R' D U' L' R2 B' U'
R' D U' L' B' R2 U'
R' D U' R2 L' B' U'
R2 D U' L' R2 B' U'
R2 D U' L' B' R2 U'
R2 D U' R2 L' B' U'
R D U' L' R2 B' U'
R D U' L' B' R2 U'
U' D L' R B' R U'
R D U' R2 L' B' U'
U' D L' R2 D B' U'
U' D L' R2 D' B' U'
U' D L' R2 D2 B' U'
U' D L' R2 B' U' D
U' D L' R2 B' U' D'
U' D L' R2 B' U' D2
U' D L' R2 B' D U'
U' D L' R2 B' D' U'
U' D L' R2 B' D2 U'
U' D L' D B' U' B'
U' D L' B R2 B2 U'
U' D L' B' R2 U' D
U' D L' B' R2 U' D'
U' D L' B' R2 U' D2
U' D L' B' R2 D U'
U' D L' B' R2 D' U'
U' D L' B' R2 D2 U'
U' D L' B' U' D B2
U' D L' B' D U' B2
U' D R L' B' R U'
F2 U R U2 D B U'
F2 U R U2 D' B U'
F2 U R U2 D2 B U'
F2 U R U2 B U' D
F2 U R U2 B U' D'
F2 U R U2 B U' D2
F2 U R U2 B D U'
F2 U R U2 B D' U'
F2 U R U2 B D2 U'
F2 U R D U2 B U'
F2 U R D' U2 B U'
F2 U R D2 U2 B U'
F2 U R F U2 B U'
F2 U R F' U2 B U'
F2 U R F2 U2 B U'
F2 U R' D' F' U F'
F2 U R' F R2 F2 U
F2 U R' F' R2 U D
F2 U R' F' R2 U D'
F2 U R' F' R2 U D2
F2 U R' F' R2 D U
F2 U R' F' R2 D' U
F2 U R' F' R2 D2 U
U' D R2 L' D B' U'
F2 U R' F' U D' F2
U' D R2 L' D' B' U'
U' D R2 L' D2 B' U'
F2 U R' F' D' U F2
U' D R2 L' B' U' D
U' D R2 L' B' U' D'
U' D R2 L' B' U' D2
U' D R2 L' B' D U'
U' D R2 L' B' D' U'
U' D R2 L' B' D2 U'
F2 U R' F2 R2 F U
U' D R2 D L' B' U'
U' D R2 D' L' B' U'
U' D R2 D2 L' B' U'
U' D R2 B L' B' U'
U' D R2 B' L' B' U'
U' D R2 B2 L' B' U'
F2 U D R U2 B U'
F2 U D R' F' R2 U
F2 U D' R U2 B U'
F2 U D' R' F' R2 U
F2 U D2 R U2 B U'
F2 U D2 R' F' R2 U
U' D B L' R2 B' U'
U' D B L' B' R2 U'
F2 U F R' F' R U
U' D B R2 L' B' U'
U' D B' L' R2 B' U'
U' D B' L' B' R2 U'
U' D B' R2 L' B' U'
U' D B2 L' R2 B' U'
U' D B2 L' B' R2 U'
U' D B2 R2 L' B' U'
F2 U F2 U2 L' B' U'
D2 U' L' R B' U' B'
D2 U' L' R' B' U' B'
D2 U' L' R2 B' U' B'
D2 U' L' D' R2 B' U'
D2 U' L' D' B' R2 U'
D' U' L' B' U2 L' U
U' D' L' B' U2 L' U
D2 U' L' B' R U' B'
D2 U' L' B' R' U' B'
D2 U' L' B' R2 U' B'
D2 U' L' B' U' D B'
D2 U' L' B' U' D' B'
D2 U' L' B' U' D2 B'
D2 U' L' B' U' B' D
D2 U' L' B' U' B' D'
D2 U' L' B' U' B' D2
D2 U' L' B' D U' B'
D2 U' L' B' D' U' B'
D2 U' L' B' D2 U' B'
D U' L' R B' R U'
D U' L' R2 D B' U'
D U' L' R2 D' B' U'
D U' L' R2 D2 B' U'
D U' L' R2 B' U' D
D U' L' R2 B' U' D'
D U' L' R2 B' U' D2
D U' L' R2 B' D U'
D U' L' R2 B' D' U'
D U' L' R2 B' D2 U'
D U' L' D B' U' B'
D U' L' B R2 B2 U'
D U' L' B' R2 U' D
D U' L' B' R2 U' D'
D U' L' B' R2 U' D2
D U' L' B' R2 D U'
D U' L' B' R2 D' U'
D U' L' B' R2 D2 U'
D U' L' B' U' D B2
D U' L' B' D U' B2
D2 U' R L' B' U' B'
F2 U' L U2 R F U
B' U' L' U R' F2 U2
B' U' L' U F2 R' U2
B' U' L' U' D2 B2 L
B' U' L' D2 U' B2 L
D2 U' R' L' B' U' B'
D U' R L' B' R U'
F2 U' L' B' U2 R U
B U' L' U F2 U2 L2
B U' L' U' L2 D2 B2
D2 U' R2 L' B' U' B'
D U' R2 L' D B' U'
D U' R2 L' D' B' U'
D U' R2 L' D2 B' U'
D U' R2 L' B' U' D
D U' R2 L' B' U' D'
D U' R2 L' B' U' D2
D U' R2 L' B' D U'
D U' R2 L' B' D' U'
D U' R2 L' B' D2 U'
D U' R2 D L' B' U'
D U' R2 D' L' B' U'
D U' R2 D2 L' B' U'
D U' R2 B L' B' U'
D U' R2 B' L' B' U'
D U' R2 B2 L' B' U'
U2 D' F' D' L' F B2
U2 D' F' D' L' B2 F
U2 D' F' D' B2 L' F
D2 U' B L' B' U' B2
B U' D L' R2 U' L2
B U' D R2 L' U' L2
D U' B L' R2 B' U'
D U' B L' B' R2 U'
B' U' D2 L' U' B2 L
D U' B R2 L' B' U'
D2 U' B2 L' B' U' B
D U' B' L' R2 B' U'
D U' B' L' B' R2 U'
B U' D2 L' U' L2 B2
B U' D2 L' U' B2 L2
D U' B' R2 L' B' U'
D U' B2 L' R2 B' U'
D U' B2 L' B' R2 U'
D U' B2 R2 L' B' U'
U' D2 L' R B' U' B'
U' D2 L' R' B' U' B'
U' D2 L' R2 B' U' B'
U' D2 L' D' R2 B' U'
U' D2 L' D' B' R2 U'
F2 U' F2 L' F2 B' U'
F2 U' F2 L' B' F2 U'
U' D2 L' B' R U' B'
U' D2 L' B' R' U' B'
U' D2 L' B' R2 U' B'
U' D2 L' B' U' D B'
U' D2 L' B' U' D' B'
U' D2 L' B' U' D2 B'
U' D2 L' B' U' B' D
U' D2 L' B' U' B' D'
U' D2 L' B' U' B' D2
U' D2 L' B' D U' B'
U' D2 L' B' D' U' B'
U' D2 L' B' D2 U' B'
U' D2 R L' B' U' B'
U' D2 R' L' B' U' B'
R' D2 U' L' B' U' B'
U' D2 R2 L' B' U' B'
R2 D2 U' L' B' U' B'
R D2 U' L' B' U' B'
B U2 L D F2 D B2
B U2 L D2 B2 D' F2
D' U2 F' D' L' F B2
D' U2 F' D' L' B2 F
D' U2 F' D' B2 L' F
D2 U2 F' B2 D' L' F
U2 D2 F' B2 D' L' F
U' D2 B L' B' U' B2
L' D2 B U' L B R'
U' D2 B2 L' B' U' B
D2 U2 B2 U L' B' U'
D2 U2 B2 F' D' L' F
U2 D2 B2 U L' B' U'
B U2 D L D F2 B2
B U2 D L D B2 F2
U2 D2 B2 F' D' L' F
B' U2 D2 B2 L D F2
B U2 D2 L B2 D F2
F2 U2 F D' F2 L' F
B D L D F2 R B2
B D L D F2 B2 R
B D L D B2 F2 R
F' D R U2 F' L' B'
B' D R' U' L' R' U'
B' D R' U' R' L' U'
F2 D R2 U R' F' U
F2 D U R U2 B U'
F2 D U R' F' R2 U
B D U' L' R2 U' L2
B D U' R2 L' U' L2
B D U2 L D F2 B2
B D U2 L D B2 F2
F' D F' R U2 F' L'
F' D F' R' B U2 L
F' D F' B' R' B U2
F2 D B U R U L
F2 D B' R' U R2 U
F2 D B' R' U2 D' F2
F2 D B' R' D B2 U2
F2 D B' R' D' U2 F2
F' D B' F' R' B U2
U2 F' D' L' F D2 B2
F2 D' R2 U R' F' U
F2 D' U R U2 B U'
F2 D' U R' F' R2 U
L' F2 L U' L' B' U'
L2 F2 L2 U' L' B' U'
F' D' F' U2 F' L' F
R' F2 R2 U R' F' U
U F2 R U2 B U' B'
F2 D' B U R U L
R' F2 U R U2 B U'
R' F2 U R' F' R2 U
F2 D' B' R' U R2 U
F2 D' B' R' U2 D' F2
F2 D' B' R' D B2 U2
F2 D' B' R' D' U2 F2
R2 F2 R2 U R' F' U
R2 F2 U R U2 B U'
R2 F2 U R' F' R2 U
R F2 R2 U R' F' U
R F2 U R U2 B U'
R F2 U R' F' R2 U
B' D2 L' U' B2 L R'
B' D2 L' U' B2 R' L
B D2 L B2 D F2 R
B D2 L' U' B2 L2 R'
B D2 L' U' B2 R' L2
B' D2 R' U' L' U' B2
R' F2 B U R U L
R' F2 B' R' U R2 U
R' F2 B' R' U2 D' F2
R' F2 B' R' D B2 U2
R' F2 B' R' D' U2 F2
F2 D2 R2 U R' F' U
R2 F2 B U R U L
F2 D2 U R U2 B U'
B' D2 U' L' U' B2 L
R2 F2 B' R' U R2 U
R2 F2 B' R' U2 D' F2
R2 F2 B' R' D B2 U2
R2 F2 B' R' D' U2 F2
F2 D2 U R' F' R2 U
R F2 B U R U L
D2 B L D F2 B R
D2 B L D B F2 R
D2 B L B D F2 R
U' B L' D R2 B' U'
R F2 B' R' U R2 U
R F2 B' R' U2 D' F2
R F2 B' R' D B2 U2
R F2 B' R' D' U2 F2
U' B L' D B' R2 U'
U' B L' D2 B' U' B'
B' D2 U2 B2 L D F2
B D2 U' L' U' L2 B2
B D2 U' L' U' B2 L2
U' B L' B' U F2 U2
U' B L' B' U' D2 B2
U' B L' B' D R2 U'
U' B L' B' D2 U' B2
D B L D F2 R B2
D B L D F2 B2 R
D B L D B2 F2 R
B D2 U2 L B2 D F2
F2 D2 B U R U L
F2 D2 B' R' U R2 U
B' D2 B2 L D F2 R
F2 D2 B' R' U2 D' F2
F2 D2 B' R' D B2 U2
F2 D2 B' R' D' U2 F2
D2 B U' L' U' L2 B
D2 B U' L' U' B L2
D2 B U2 L D F2 B
D2 B U2 L D B F2
D2 B U2 L B D F2
D B U' L' R2 U' L2
U' B D L' R2 B' U'
U' B D L' B' R2 U'
D B U' R2 L' U' L2
U' B D R2 L' B' U'
D B U2 L D F2 B2
D B U2 L D B2 F2
U' B D2 L' B' U' B'
B' F R' F U R U
F2 B R' U R2 U L
F2 B R' U2 L D' F2
F2 B R' U2 D' L F2
F2 B R' U2 D' F2 L
F2 B R' D B2 R' U2
F2 B R' D' U2 L F2
F2 B R' D' U2 F2 L
F2 B R2 U R' U L
R' B F2 U R U L
F2 B U R U L D
F2 B U R U L D'
F2 B U R U L D2
F2 B U R U D L
F2 B U R U D' L
F2 B U R U D2 L
F2 B U R D U L
F2 B U R D' U L
F2 B U R D2 U L
F2 B U R F U L
F2 B U R F' U L
F2 B U R F2 U L
F2 B U D R U L
F2 B U D' R U L
F2 B U D2 R U L
F2 B U F' U L F
R2 B F2 U R U L
U' B' L' D R2 B' U'
U' B' L' D B' R2 U'
U' B' L' D2 B' U' B'
U' B' L' B' U F2 U2
U' B' L' B' U' D2 B2
U' B' L' B' D R2 U'
U' B' L' B' D2 U' B2
F2 B U2 L U' R U
R B F2 U R U L
F2 B U2 F2 L D F2
F2 B D U R U L
F2 B D' U R U L
R' B' R' F2 U R U
F2 B D2 U R U L
D B' R' U' L' R' U'
D B' R' U' R' L' U'
R2 B' R' F2 U R U
R B' R' F2 U R U
U' B' D L' R2 B' U'
U' B' D L' B' R2 U'
U' B' D R2 L' B' U'
F2 B' R' U R2 U D
F2 B' R' U R2 U D'
F2 B' R' U R2 U D2
F2 B' R' U R2 D U
F2 B' R' U R2 D' U
F2 B' R' U R2 D2 U
F2 B' R' U' D2 L2 U'
F2 B' R' U2 D' F2 D
F2 B' R' U2 D' F2 D'
F2 B' R' U2 D' F2 D2
F2 B' R' U2 F D' F2
F2 B' R' U2 F' D' F2
F2 B' R' U2 F2 D' F2
F2 B' R' D B2 U2 D
F2 B' R' D B2 U2 D'
F2 B' R' D B2 U2 D2
F2 B' R' D B2 D U2
F2 B' R' D B2 D' U2
F2 B' R' D B2 D2 U2
F2 B' R' D' U2 F2 D
F2 B' R' D' U2 F2 D'
F2 B' R' D' U2 F2 D2
F2 B' R' D' B U2 F2
F2 B' R' D' B' U2 F2
F2 B' R' D' B2 U2 F2
F2 B' R' D2 U' L2 U'
F2 B' R' B U R2 U
F2 B' R' B U2 D' F2
F2 B' R' B D B2 U2
F2 B' R' B D' U2 F2
F2 B' R' B' U R2 U
F2 B' R' B' U2 D' F2
F2 B' R' B' D B2 U2
F2 B' R' B' D' U2 F2
F2 B' R' B2 U R2 U
F2 B' R' B2 U2 D' F2
F2 B' R' B2 D B2 U2
F2 B' R' B2 D' U2 F2
U' B' D2 L' B' U' B'
F B' R' F U R U
F2 B' U R U D2 L2
F2 B' U R U' R2 U2
F2 B' U R D' F2 U
F2 B' U R D2 U L2
R' B' F2 R' U R2 U
R' B' F2 R' U2 D' F2
R' B' F2 R' D B2 U2
R' B' F2 R' D' U2 F2
B' F' D F' R' B U2
F2 B' D R' U R2 U
F2 B' D R' U2 D' F2
F2 B' D R' D B2 U2
F2 B' D R' D' U2 F2
F' B' D F' R' B U2
R2 B' F2 R' U R2 U
R2 B' F2 R' U2 D' F2
R2 B' F2 R' D B2 U2
R2 B' F2 R' D' U2 F2
U' B2 L' D R2 B' U'
U' B2 L' D B' R2 U'
U' B2 L' D2 B' U' B'
F2 B' D' R' U R2 U
F2 B' D' R' U2 D' F2
F2 B' D' R' D B2 U2
F2 B' D' R' D' U2 F2
U' B2 L' B' U F2 U2
U' B2 L' B' U' D2 B2
U' B2 L' B' D R2 U'
U' B2 L' B' D2 U' B2
R B' F2 R' U R2 U
R B' F2 R' U2 D' F2
R B' F2 R' D B2 U2
R B' F2 R' D' U2 F2
F2 B' D2 R' U R2 U
F2 B' D2 R' U2 D' F2
F2 B' D2 R' D B2 U2
F2 B' D2 R' D' U2 F2
B' F2 R' U R2 U D
B' F2 R' U R2 U D'
B' F2 R' U R2 U D2
B' F2 R' U R2 D U
B' F2 R' U R2 D' U
B' F2 R' U R2 D2 U
B' F2 R' U' D2 L2 U'
B' F2 R' U2 D' F2 D
B' F2 R' U2 D' F2 D'
B' F2 R' U2 D' F2 D2
B' F2 R' U2 F D' F2
B' F2 R' U2 F' D' F2
B' F2 R' U2 F2 D' F2
B' F2 R' D B2 U2 D
B' F2 R' D B2 U2 D'
B' F2 R' D B2 U2 D2
B' F2 R' D B2 D U2
B' F2 R' D B2 D' U2
B' F2 R' D B2 D2 U2
B' F2 R' D' U2 F2 D
B' F2 R' D' U2 F2 D'
B' F2 R' D' U2 F2 D2
B' F2 R' D' B U2 F2
B' F2 R' D' B' U2 F2
B' F2 R' D' B2 U2 F2
B' F2 R' D2 U' L2 U'
B' F2 R' B U R2 U
B' F2 R' B U2 D' F2
B' F2 R' B D B2 U2
B' F2 R' B D' U2 F2
B' F2 R' B' U R2 U
B' F2 R' B' U2 D' F2
B' F2 R' B' D B2 U2
B' F2 R' B' D' U2 F2
B' F2 R' B2 U R2 U
B' F2 R' B2 U2 D' F2
B' F2 R' B2 D B2 U2
B' F2 R' B2 D' U2 F2
B F2 R' U R2 U L
B F2 R' U2 L D' F2
B F2 R' U2 D' L F2
B F2 R' U2 D' F2 L
B F2 R' D B2 R' U2
B' F2 U R U D2 L2
B' F2 U R U' R2 U2
B F2 R' D' U2 L F2
B F2 R' D' U2 F2 L
B' F2 U R D' F2 U
B' F2 U R D2 U L2
U' B2 D L' R2 B' U'
U' B2 D L' B' R2 U'
U' B2 D R2 L' B' U'
B F2 R2 U R' U L
B2 F2 U D' R F' U
F2 B2 U D' R F' U
B F2 U R U L D
B F2 U R U L D'
B F2 U R U L D2
B F2 U R U D L
B F2 U R U D' L
B F2 U R U D2 L
B F2 U R D U L
B F2 U R D' U L
B F2 U R D2 U L
B F2 U R F U L
B F2 U R F' U L
B F2 U R F2 U L
B F2 U D R U L
B F2 U D' R U L
B F2 U D2 R U L
B F2 U F' U L F
U' B2 D2 L' B' U' B'
B' F2 D R' U R2 U
B' F2 D R' U2 D' F2
B' F2 D R' D B2 U2
B' F2 D R' D' U2 F2
B F2 U2 L U' R U
B' F2 D' R' U R2 U
B' F2 D' R' U2 D' F2
B' F2 D' R' D B2 U2
B' F2 D' R' D' U2 F2
B F2 U2 F2 L D F2
B2 F2 D' U R F' U
B F2 D U R U L
B' F2 D2 R' U R2 U
B' F2 D2 R' U2 D' F2
B' F2 D2 R' D B2 U2
B' F2 D2 R' D' U2 F2
F2 B2 D' U R F' U
B F2 D' U R U L
B F2 D2 U R U L
