B' U L F2 B U2
B' U L B F2 U2
B' U F2 L B U2
F2 U' B' U L U2
U' B' U L F2 U2
U' B' U F2 L U2
U' B' U' D2 B2 R'
U' B' D2 U' B2 R'
F2 U B' U' L U2 L'
B' U' L F2 B R U2
B' U' L B F2 R U2
B' U' R' D2 B2 R' F'
D2 U' F' B' U' R B'
D2 U' F' B' U' B' R
B' U' R2 D2 F' B2 R'
B' U' R2 D2 B2 F' R'
F' U' R2 B' U' B2 R'
B' U' D2 R' B2 R' F'
B' U' D2 R2 F' B2 R'
B' U' D2 R2 B2 F' R'
D2 U' B' F' U' R B'
D2 U' B' F' U' B' R
F2 U' D2 F' B' U' R
F2 U' D2 B' F' U' R
F2 U' F B' U L U2
B' U' F2 L B U2 L'
F2 U' F' B' U L U2
F2 U' F2 B' U L U2
F2 U' B U' R' D L2
F2 U' B U' D L2 R'
F2 U' B U' D R' L2
F2 U' B D U' L2 R'
F2 U' B D U' R' L2
F' U' B' U L F' U2
F' U' B' U F' L U2
F2 U' B' U L U2 D
F2 U' B' U L U2 D'
F2 U' B' U L U2 D2
F2 U' B' U L D U2
F2 U' B' U L D' U2
F2 U' B' U L D2 U2
F2 U' B' U D L U2
F2 U' B' U D' L U2
F2 U' B' U D2 L U2
F2 U' B' U' B2 R' B2
F2 U' B' U2 B2 U R'
F2 U' B' D U L U2
F2 U' B' D' U L U2
F2 U' B' D2 U L U2
F2 U' B' F U L U2
F2 U' B' F' U L U2
F2 U' B' F2 U L U2
F U' B' U F L U2
U' D2 F' B' U' R B'
U' D2 F' B' U' B' R
U' D2 B' F' U' R B'
U' D2 B' F' U' B' R
F' U2 R2 B R' D L2
F' U2 R2 B D L2 R'
F' U2 R2 B D R' L2
F2 U2 B R' D B' L2
F2 U2 B D R' B' L2
F U2 B R' D L2 B'
F U2 B D L2 R' B'
F U2 B D R' L2 B'
B D L2 D R' F B2
B D L2 D R' B2 F
B D L2 D F R' B2
B D L2 F D R' B2
B' D R2 U L U2 F'
U' F B' U F L U2
B D R2 U' L2 R F
B D R2 U' R L2 F
U' F' R2 B' U' B2 R'
D2 F' U' B' U' R B'
D2 F' U' B' U' B' R
F2 D' R U' F' B' U'
F2 D' R U' B' F' U'
U' F' B' U L F' U2
U' F' B' U F' L U2
F2 D' R2 U' B' U' R'
L2 F2 R2 U' B U' R'
L2 F2 U D2 F' U R
L2 F2 U F' B U R'
L2 F2 U B F' U R'
R' F2 U' B' U L U2
D2 F2 U' B' U' B' R'
L F2 U B U L R'
L F2 U B U R' L
R2 F2 U' B' U L U2
R F2 U' B' U L U2
L2 F2 D2 U F' U R
B' D2 R2 U' F' B2 R'
B' D2 R2 U' B2 F' R'
B' D2 U L B U2 B
B' D2 U B U2 B R'
B' D2 U' R' B2 R' F'
B' D2 U' R2 F' B2 R'
B' D2 U' R2 B2 F' R'
F2 D2 U' F' B' U' R
F2 D2 U' B' F' U' R
F' D2 F' U' B' U' R
U2 B R' D L2 D B2
U2 B R' D2 B2 D' L2
B' D2 B2 R' D L2 F
B' D2 B2 D L2 R' F
B' D2 B2 D L2 F R'
B' D2 B2 D R' L2 F
U' B D R2 U' L2 R
U' B D R2 U' R L2
U2 B D L2 D R' B2
U2 B D' R' D' B2 L
U2 B D2 R' B2 D' L2
B F R' D L2 F B'
B F R' D L2 B' F
F B R' D L2 F B'
F B R' D L2 B' F
U B D2 F2 U R' B2
B' F U F L B U2
F2 B U2 R' D L2 F
F2 B U2 D L2 R' F
F2 B U2 D L2 F R'
F2 B U2 D R' L2 F
D B' L' R2 F U' F2
U' B' R U L F2 U2
U' B' R U F2 L U2
U' B' R U' D2 B2 R'
D B' L' F R2 U' F'
F2 B D U2 L2 R' F
F2 B D U2 L2 F R'
F2 B D U2 R' L2 F
U' B' R D2 U' B2 R'
B F D L2 R' F B'
B F D L2 R' B' F
B F D L2 F R' B'
B F D R' L2 F B'
B F D R' L2 B' F
U' B' R' U L F2 U2
U' B' R' U F2 L U2
U' B' R' U' D2 B2 R'
F2 B D' R2 B' U2 R
F B D L2 R' F B'
F B D L2 R' B' F
F B D L2 F R' B'
U' B' R' D2 U' B2 R'
F B D R' L2 F B'
F B D R' L2 B' F
U' B' R2 U L F2 U2
U' B' R2 U F2 L U2
U' B' R2 U' D2 B2 R'
U' B' R2 D2 U' B2 R'
D2 B' R2 U' F' R B'
D2 B' R2 U' F' B' R
D2 B' R2 U' B' F' R
U' B' U L U2 D2 B2
U' B' U L D2 U2 B2
U' B' U L F2 U2 D
U' B' U L F2 U2 D'
U' B' U L F2 U2 D2
U' B' U L F2 D U2
U' B' U L F2 D' U2
U' B' U L F2 D2 U2
U' B' U L' F2 L2 U2
U' B' U L2 F2 U2 R
R' B' U L F2 B U2
R' B' U L B F2 U2
U' B' U D2 L U2 B2
U' B' U F' L F' U2
U' B' U F2 L U2 D
U' B' U F2 L U2 D'
U' B' U F2 L U2 D2
U' B' U F2 L D U2
U' B' U F2 L D' U2
U' B' U F2 L D2 U2
U' B' U F2 D L U2
U' B' U F2 D' L U2
U' B' U F2 D2 L U2
F2 B' L B U' B' U'
D B' R2 L' F U' F2
R' B' U F2 L B U2
D B' R2 U' D F' R
U' B' U' R D2 B2 R'
D B' R2 D U' F' R
U' B' U' R' D2 B2 R'
U' B' U' R2 D2 B2 R'
U' B' U' D2 R B2 R'
U' B' U' D2 R' B2 R'
U' B' U' D2 R2 B2 R'
U' B' U' D2 B2 R' D
U' B' U' D2 B2 R' D'
U' B' U' D2 B2 R' D2
U' B' U' D2 B2 D R'
U' B' U' D2 B2 D' R'
U' B' U' D2 B2 D2 R'
D2 B' U' R2 F' R B'
D2 B' U' R2 F' B' R
D2 B' U' R2 B' F' R
R2 B' U L F2 B U2
R2 B' U L B F2 U2
U' B' U' B2 R' D2 B2
U' B' U' B2 D2 R' B2
R2 B' U F2 L B U2
U B' U L F2 U2 F2
R B' U L F2 B U2
R B' U L B F2 U2
U B' U F2 L U2 F2
U' B' D R2 U L U2
U B' U' L F2 R U2
R B' U F2 L B U2
U B' U' F2 L U2 L'
U' B' D2 R U' B2 R'
B' F' U L F' B U2
B' F' U L B F' U2
U' B' D2 R' U' B2 R'
U' B' D2 R2 U' B2 R'
U' B' D2 U L U2 B2
U' B' D2 U' R B2 R'
U' B' D2 U' R' B2 R'
U' B' D2 U' R2 B2 R'
U' B' D2 U' B2 R' D
U' B' D2 U' B2 R' D'
U' B' D2 U' B2 R' D2
U' B' D2 U' B2 D R'
U' B' D2 U' B2 D' R'
U' B' D2 U' B2 D2 R'
U' B' D2 F U' B2 R'
U' B' D2 F' U' B2 R'
F' B' U L F' B U2
F' B' U L B F' U2
U' B' D2 F2 U' B2 R'
B' F' U F' L B U2
F' B' U F' L B U2
U' B' F U F L U2
U2 B' D2 B2 R' D L2
U2 B' D2 B2 D L2 R'
U2 B' D2 B2 D R' L2
U' B' F' U L F' U2
U' B' F' U F' L U2
F B' U F L B U2
B' F2 L B U' B' U'
B F2 U2 R' D L2 F
B F2 U2 D L2 R' F
B F2 U2 D L2 F R'
B F2 U2 D R' L2 F
B F2 D U2 L2 R' F
B F2 D U2 L2 F R'
B F2 D U2 R' L2 F
B F2 D' R2 B' U2 R
