R' U2 B L2 U L
R' U2 B L2 U L D'
R' U2 B L2 U L D2
R' U2 B L2 U D L
R' U2 B L2 U D' L
R' U2 B L2 U D2 L
R' U2 B L2 D U L
R' U2 B L2 D' U L
R' U2 B L2 D2 U L
R' U2 B L2 F U L
R' U2 B L2 F' U L
R' U2 B L2 F2 U L
R' U2 B U D' L' B2
R' U2 B U D' B2 L'
R' U2 B D' U L' B2
R' U2 B D' U B2 L'
D2 R2 D' B U' L' R'
D2 R2 D' B U' R' L'
U' D L' B R' D2 B2
U' D L' B D2 R' B2
U' D L' B' D2 B2 R'
R D F' U F' R U2
U' D B L' R' D2 B2
U' D B L' D2 R' B2
U' D B R' L' D2 B2
U' D B R' D2 L' B2
U' D B R' D2 B2 L'
U' D B D2 L' R' B2
U' D B D2 R' L' B2
U' D B D2 R' B2 L'
U' D B' L' D2 R2 B2
U' D B' L' D2 B2 R2
U' D B' D2 B2 L' R'
U' D B' D2 B2 R' L'
D2 U' L' U R2 F U'
D2 U' L' U F R2 U'
U' D' L' F' R F B2
U' D' L' F' R B2 F
D' U' L' F' R F B2
D' U' L' F' R B2 F
D' U' L' F' B2 R F
U' D' L' F' B2 R F
D' U' L' B D2 B R'
U' D' L' B D2 B R'
U' D' L' B2 F' R F
D' U' L' B2 F' R F
R2 D' U' L' B' R' B'
D U' L' B R' D2 B2
D U' L' B D2 R' B2
D U' L' B' D2 B2 R'
R' D' U2 B U L' B
R' D' U2 B U B L'
R2 D' U' B' R' B' L'
U' D' F' R F L' B2
D' U' F' R F L' B2
U' D' F' R F B2 L'
D' U' F' R F B2 L'
D' U' F' R B2 F L'
U' D' F' R B2 F L'
U' D' F' B2 R F L'
D' U' F' B2 R F L'
D' U' B L' D2 B R'
U' D' B L' D2 B R'
R2 D' B' U' B' L' R'
R2 D' B' U' B' R' L'
U' D' B D2 L' B R'
D' U' B D2 L' B R'
U' D' B D2 B L' R'
U' D' B D2 B R' L'
D' U' B D2 B L' R'
D' U' B D2 B R' L'
D U' B L' R' D2 B2
D U' B L' D2 R' B2
D U' B R' L' D2 B2
D U' B R' D2 L' B2
D U' B R' D2 B2 L'
D U' B D2 L' R' B2
D' U' B2 L' F' R F
U' D' B2 L' F' R F
D U' B D2 R' L' B2
D U' B D2 R' B2 L'
D U' B' L' D2 R2 B2
D U' B' L' D2 B2 R2
D' U' B2 F' R F L'
U' D' B2 F' R F L'
D U' B' D2 B2 L' R'
D U' B' D2 B2 R' L'
U' D2 L' U R2 F U'
U' D2 L' U F R2 U'
R D2 R2 U2 B U L'
R' D2 F R2 F' U' L'
R' F U2 L2 B U L
R' F U2 B L2 U L'
U' F D' F' L' R B2
U' F D' F' L' B2 R
U' F D' F' R L' B2
U' F D' F' R B2 L'
U' F D' F' B2 L' R
U' F D' F' B2 R L'
U' F D' B2 F' L' R
U' F D' B2 F' R L'
R' F D2 R2 F' U' L'
R F' U2 L2 F U L'
R F' U2 F L2 U L
R F' D2 R2 B' U' L
R F' D2 B' R2 U' L
L' F2 R F' L U' L'
F D' F' U' L' R B2
F D' F' U' L' B2 R
F D' F' U' R L' B2
F D' F' U' R B2 L'
F D' F' U' B2 L' R
F D' F' U' B2 R L'
L' F2 U L R F' U'
L' F2 U R L F' U'
L' F2 U R F' L U'
R' B L2 U D L F2
R' B L2 U D F2 L
R' B L2 U2 L2 U' L'
R' B L2 D U L F2
R' B L2 D U F2 L
R' B L2 D2 R2 U L
D' B U' L' D2 B R'
R' B U' D' L' B2 R'
D' B U' D2 L' B R'
D' B U' D2 B L' R'
D' B U' D2 B R' L'
D B U F2 R U2 R2
D B U' L' R' D2 B2
D B U' L' D2 R' B2
D B U' R' L' D2 B2
D B U' R' D2 L' B2
D B U' R' D2 B2 L'
D B U' D2 L' R' B2
D B U' D2 R' L' B2
D B U' D2 R' B2 L'
R' B D' U' L' B2 R'
D B D R2 U' L' R
D B D R2 U' R L'
D' B D2 U' L' B R'
D' B D2 U' B L' R'
D' B D2 U' B R' L'
D B D2 U' L' R' B2
D B D2 U' R' L' B2
D B D2 U' R' B2 L'
R' B' U' D' L' R2 B2
R' B' U' D' L' B2 R2
R' B' U' D' R2 L' B2
R' B' U' D' R2 B2 L'
R' B' U' D' B2 L' R2
R' B' U' D' B2 R2 L'
D B' U L F2 U2 L2
D B' U F2 L R U2
D B' U F2 R L U2
D B' U' L' D2 R2 B2
D B' U' L' D2 B2 R2
R' B' U2 B2 L2 U L
D B' U' D2 B2 L' R'
D B' U' D2 B2 R' L'
R' B' D' U' L' R2 B2
R' B' D' U' L' B2 R2
R' B' D' U' R2 L' B2
R' B' D' U' R2 B2 L'
R' B' D' U' B2 L' R2
R' B' D' U' B2 R2 L'
D B' D2 U' B2 L' R'
D B' D2 U' B2 R' L'
L' B2 R' B L' U L
L' B2 U' L' R' B U
L' B2 U' R' L' B U
L' B2 U' R' B L' U
R' B2 U2 B' L2 U L
