L2 U' B2 L' R'
L2 U' B2 R' L'
L2 R U' B2 L' R'
L2 R U' B2 R' L'
F2 L B2 R D' F2
L2 R' U' B2 L' R'
L2 R' U' B2 R' L'
R' L2 U' B2 L' R'
R' L2 U' B2 R' L'
L2 R2 U' B2 L' R'
L2 R2 U' B2 R' L'
R2 L2 U' B2 L' R'
R2 L2 U' B2 R' L'
R L2 U' B2 L' R'
R L2 U' B2 R' L'
F2 L2 U' L' R B2
F2 L2 U' L' B2 R
F2 L2 U' R L' B2
F2 L2 U' R B2 L'
U' L2 U' B2 L' R'
U' L2 U' B2 R' L'
F2 L2 U' B2 L' R
F2 L2 U' B2 R L'
U2 L2 U' B2 L' R'
U2 L2 U' B2 R' L'
U L2 U' B2 L' R'
U L2 U' B2 R' L'
L2 U L U2 L2 B2
L2 U L U2 B2 L2
L U L U' B2 R'
L' U' L' U' L' B2
L' U' L' U' B2 L'
L2 U' L' B2 D2 R2
L2 U' R B2 L' R'
L2 U' R B2 R' L'
L2 U' R' B2 L' R'
L2 U' R' B2 R' L'
L2 U' R2 B2 L' R'
L2 U' R2 B2 R' L'
L2 U' B L' B R'
L2 U' B2 L' R' D
L2 U' B2 L' R' D'
L2 U' B2 L' R' D2
L2 U' B2 L' D R'
L2 U' B2 L' D' R'
L2 U' B2 L' D2 R'
L2 U' B2 R' L' D
L2 U' B2 R' L' D'
L2 U' B2 R' L' D2
L2 U' B2 R' D L'
L2 U' B2 R' D' L'
L2 U' B2 R' D2 L'
L2 U' B2 D L' R'
L2 U' B2 D R' L'
L2 U' B2 D' L' R'
L2 U' B2 D' R' L'
L2 U' B2 D2 L' R'
L2 U' B2 D2 R' L'
B2 R2 D F2 L' R
B2 R2 D F2 R L'
B2 D R2 F2 L' R
B2 D R2 F2 R L'
B2 D F2 R D2 L2
D F2 R D' L B2
D F2 D' L R B2
D F2 D' L B2 R
D F2 D' R L B2
L2 B U' L' B R'
L2 B U' B L' R'
L2 B U' B R' L'
L2 U' B2 D' R' L' D2
L2 U' B2 D' R' D L'
L2 U' B2 D' R' D' L'
L2 U' B2 D' R' D2 L'
L2 U' B2 D2 L' R' D
L2 U' B2 D2 L' R' D'
L2 U' B2 D2 L' R' D2
L2 U' B2 D2 L' D R'
L2 U' B2 D2 L' D' R'
L2 U' B2 D2 L' D2 R'
L2 U' B2 D2 R' L' D
L2 U' B2 D2 R' L' D'
L2 U' B2 D2 R' L' D2
L2 U' B2 D2 R' D L'
L2 U' B2 D2 R' D' L'
L2 U' B2 D2 R' D2 L'
L2 U' B2 F' R' F L'
B2 R' D' B2 L' U2 B2
R' U2 L2 U' B2 L' R'
R' U2 L2 U' B2 R' L'
L' U2 L2 U L U' B2
R2 U2 L2 U' B2 L' R'
R2 U2 L2 U' B2 R' L'
L' U2 L2 B2 U' R' U
L U2 L2 U' L' U' B2
R U2 L2 U' B2 L' R'
R U2 L2 U' B2 R' L'
D R' F2 R D' L B2
D R' F2 D' L R B2
D R' F2 D' L B2 R
D R' F2 D' R L B2
F2 R' B2 R2 D F2 L'
U' R2 L2 U' B2 L' R'
U' R2 L2 U' B2 R' L'
F2 R2 L2 U' L' R' B2
F2 R2 L2 U' R' L' B2
F2 R2 L2 U' R' B2 L'
U2 R2 L2 U' B2 L' R'
U2 R2 L2 U' B2 R' L'
D2 R2 U L D2 R2 B2
D2 R2 U L D2 B2 R2
D' R2 U L' B2 U2 L2
U R2 L2 U' B2 L' R'
U R2 L2 U' B2 R' L'
D' R2 U B2 L' R' U2
D' R2 U B2 R' L' U2
D' R2 U' L D2 R2 F2
D' R2 U' L D2 F2 R2
D2 R2 U' L' F2 U2 L2
D' R2 U' D2 F2 L R
D' R2 U' D2 F2 R L
D2 R2 U' F2 U2 L R
D2 R2 U' F2 U2 R L
L2 U2 B U L' B R'
L2 U2 B U B L' R'
L2 U2 B U B R' L'
L' U2 B2 L D L F2
L' U2 B2 L D F2 L
L' U2 B2 L2 U L U'
L' U2 B2 U L' U' L'
B2 R2 D F2 L' R D
B2 R2 D F2 L' R D'
B2 R2 D F2 L' R D2
B2 R2 D F2 L' D R
B2 R2 D F2 L' D' R
B2 R2 D F2 L' D2 R
B2 R2 D F2 R L' D
B2 R2 D F2 R L' D'
B2 R2 D F2 R L' D2
B2 R2 D F2 R D L'
B2 R2 D F2 R D' L'
B2 R2 D F2 R D2 L'
B2 R2 D F2 D L' R
B2 R2 D F2 D R L'
B2 R2 D F2 D' L' R
B2 R2 D F2 D' R L'
B2 R2 D F2 D2 L' R
B2 R2 D F2 D2 R L'
D' R2 D2 U' F2 L R
D' R2 D2 U' F2 R L
B2 R2 F2 R D L' F2
B2 R2 F2 D L' R F2
B2 R2 F2 D R L' F2
D R2 F2 R D' L B2
D R2 F2 D' L R B2
D R2 F2 D' L B2 R
D R2 F2 D' R L B2
L' D U F2 L2 R U
L' D U F2 R L2 U
F2 U L B2 R D' F2
B2 U L2 U L R' U2
B2 U L2 U R' L U2
F2 U L2 U' L' R B2
F2 U L2 U' L' B2 R
F2 U L2 U' R L' B2
F2 U L2 U' R B2 L'
F2 U L2 U' B2 L' R
F2 U L2 U' B2 R L'
R' D F2 R D' L B2
B2 U L2 B2 U' L R'
B2 U L2 B2 U' R' L
R' D F2 D' L R B2
R' D F2 D' L B2 R
R' D F2 D' R L B2
R2 D F2 R D' L B2
R2 D F2 D' L R B2
R2 D F2 D' L B2 R
R2 D F2 D' R L B2
R D F2 R D' L B2
R D F2 D' L R B2
R D F2 D' L B2 R
R D F2 D' R L B2
U' D F2 R D' L B2
L' D' L' R2 B2 U' R'
U' D F2 D' L R B2
U' D F2 D' L B2 R
U' D F2 D' R L B2
U2 D F2 R D' L B2
L' D' L' B2 R2 U' R
D U F2 R D' L B2
U2 D F2 D' L R B2
U2 D F2 D' L B2 R
U2 D F2 D' R L B2
U D F2 R D' L B2
D U F2 D' L R B2
D U F2 D' L B2 R
D U F2 D' R L B2
U D F2 D' L R B2
U D F2 D' L B2 R
U D F2 D' R L B2
L' D' R2 L' B2 U' R'
L2 D' R2 U L U2 L2
L2 D' R2 U' L' D2 R2
L2 D' R2 B2 U' L' R'
L2 D' R2 B2 U' R' L'
L' D' U' L' R2 B2 U'
L' D' U' L' B2 R2 U'
L' D' U' R2 L' B2 U'
L' D' U' R2 B2 L' U'
L' D' U' B2 L' R2 U'
L' D' U' B2 R2 L' U'
F2 U' L B2 R D' F2
F2 U' L2 U' L' R B2
F2 U' L2 U' L' B2 R
F2 U' L2 U' R L' B2
F2 U' L2 U' R B2 L'
F2 U' L2 U' B2 L' R
F2 U' L2 U' B2 R L'
D U' F2 R D' L B2
L2 D' B2 R2 U' L' R
L2 D' B2 R2 U' R L'
D U' F2 D' L R B2
D U' F2 D' L B2 R
D U' F2 D' R L B2
L' D2 R2 F2 U R U
L2 D2 U L F2 U2 L2
L2 D2 U F2 L R U2
L2 D2 U F2 R L U2
L2 D2 U' L' D2 R2 B2
L2 D2 U' L' D2 B2 R2
B2 U2 L' R' U' L' U'
F2 U2 L B2 R D' F2
F2 U2 L2 U' L' R B2
F2 U2 L2 U' L' B2 R
F2 U2 L2 U' R L' B2
F2 U2 L2 U' R B2 L'
F2 U2 L2 U' B2 L' R
F2 U2 L2 U' B2 R L'
L' D2 F2 R2 U R' U
B2 U2 R' L' U' L' U'
D U2 F2 R D' L B2
B2 U2 R' U2 D F2 R
B2 U2 R' D L' U2 F2
B2 U2 R' D U2 F2 R
B2 U2 R' D' L' B2 U2
B2 U2 R' D' B2 L' U2
D U2 F2 D' L R B2
D U2 F2 D' L B2 R
D U2 F2 D' R L B2
B2 U2 D L' R' U2 F2
B2 U2 D R' L' U2 F2
B2 U2 D R' U2 F2 R
B2 U2 D' L' R' B2 U2
B2 U2 D' L' B2 U2 L
B2 U2 D' R' L' B2 U2
B2 U2 D' R' B2 L' U2
B2 U2 D' B2 L' U2 L2
L F L U' B2 L' R'
L F L U' B2 R' L'
L F U L U' B2 R'
F2 D L2 U L' R F2
F2 D L2 U R L' F2
B2 D R F2 D2 L2 R
B2 D R F2 D2 R L2
F2 D R F2 D' L B2
D F D' F L R B2
D F D' F L B2 R
D F D' F R L B2
B2 D R2 F2 L' R D
B2 D R2 F2 L' R D'
B2 D R2 F2 L' R D2
B2 D R2 F2 L' D R
B2 D R2 F2 L' D' R
B2 D R2 F2 L' D2 R
B2 D R2 F2 R L' D
B2 D R2 F2 R L' D'
B2 D R2 F2 R L' D2
B2 D R2 F2 R D L'
B2 D R2 F2 R D' L'
B2 D R2 F2 R D2 L'
B2 D R2 F2 D L' R
B2 D R2 F2 D R L'
B2 D R2 F2 D' L' R
B2 D R2 F2 D' R L'
B2 D R2 F2 D2 L' R
B2 D R2 F2 D2 R L'
B2 D U2 L' R' U2 F2
B2 D U2 R' L' U2 F2
B2 D U2 R' U2 F2 R
L F' L U' B2 L' R'
L F' L U' B2 R' L'
D F' L2 U L' F' R
B' D F2 R B L B2
B2 D F2 L R D2 L2
B2 D F2 L' R D2 L2
B2 D F2 L2 R D2 L2
B2 D F2 R L D2 L2
B2 D F2 R L' D2 L2
B2 D F2 R L2 D2 L2
B2 D F2 R U2 R2 U2
B2 D F2 R D2 L2 D
B2 D F2 R D2 L2 D'
B2 D F2 R D2 L2 D2
B' D F2 B L R B2
B' D F2 B L B2 R
B' D F2 B R L B2
B' D F2 B' R D2 L2
B2 D F2 U2 R' U2 R2
B2 D F2 D R D2 L2
B2 D F2 D' R D2 L2
B2 D F2 D2 R D2 L2
B2 D F2 B2 L R B2
B2 D F2 B2 L B2 R
B2 D F2 B2 R L B2
B' D B F2 L R B2
B' D B F2 L B2 R
B' D B F2 R L B2
B' D B' R2 F2 L' R
B' D B' R2 F2 R L'
B' D B' F2 R D2 L2
B2 D B2 F2 L R B2
B2 D B2 F2 L B2 R
B2 D B2 F2 R L B2
L F' U L U' B2 R'
B2 D' L D2 R2 F2 L'
B2 D' L' R' B2 U2 B2
B2 D' L' B2 U2 L B2
B2 D' R D2 F2 L2 R
B2 D' R D2 F2 R L2
B2 D' R' L' B2 U2 B2
B2 D' R' B2 L' U2 B2
B2 D' R2 D2 F2 L' R
B2 D' R2 D2 F2 R L'
U' F2 L B2 R D' F2
R' F2 L B2 R D' F2
B2 D' U2 L' R' B2 U2
B2 D' U2 L' B2 U2 L
B2 D' U2 R' L' B2 U2
D F2 L R U' L U
B2 D' U2 R' B2 L' U2
D F2 L U' L U R
U2 F2 L B2 R D' F2
B2 D' U2 B2 L' U2 L2
U' F2 L2 U' L' R B2
U' F2 L2 U' L' B2 R
U' F2 L2 U' R L' B2
U' F2 L2 U' R B2 L'
U' F2 L2 U' B2 L' R
U' F2 L2 U' B2 R L'
R2 F2 L B2 R D' F2
R' F2 L2 U' L' R B2
R' F2 L2 U' L' B2 R
R' F2 L2 U' R L' B2
R' F2 L2 U' R B2 L'
R' F2 L2 U' B2 L' R
R' F2 L2 U' B2 R L'
L F2 L U' B2 L' R'
L F2 L U' B2 R' L'
D F2 L B2 R D B2
U F2 L B2 R D' F2
U2 F2 L2 U' L' R B2
U2 F2 L2 U' L' B2 R
U2 F2 L2 U' R L' B2
U2 F2 L2 U' R B2 L'
U2 F2 L2 U' B2 L' R
U2 F2 L2 U' B2 R L'
R F2 L B2 R D' F2
R2 F2 L2 U' L' R B2
R2 F2 L2 U' L' B2 R
R2 F2 L2 U' R L' B2
R2 F2 L2 U' R B2 L'
R2 F2 L2 U' B2 L' R
R2 F2 L2 U' B2 R L'
B2 D' F2 R D2 L2 F2
B2 D' F2 R D2 F2 L2
U F2 L2 U' L' R B2
U F2 L2 U' L' B2 R
U F2 L2 U' R L' B2
U F2 L2 U' R B2 L'
U F2 L2 U' B2 L' R
U F2 L2 U' B2 R L'
D F2 R L U' L U
R F2 L2 U' L' R B2
R F2 L2 U' L' B2 R
R F2 L2 U' R L' B2
R F2 L2 U' R B2 L'
R F2 L2 U' B2 L' R
R F2 L2 U' B2 R L'
D F2 R U' L2 U L'
D F2 R D L D2 B2
D F2 R D' L B2 D
D F2 R D' L B2 D'
D F2 R D' L B2 D2
D F2 R D' L' B2 L2
D F2 R D' L2 B2 L'
D F2 R D2 L D B2
D F2 R B2 D' B2 L
L2 F2 R2 U' B2 L R'
L2 F2 R2 U' B2 R' L
D2 F2 U R2 U L R'
D2 F2 U R2 U R' L
L' F2 U R U L2 B2
L' F2 U R U B2 L2
L2 F2 U L R U2 B2
D F2 R2 D' L R' B2
D F2 R2 D' R' L B2
L2 F2 U R L U2 B2
L2 F2 U R U2 B2 R'
B2 D' B2 L' U2 L2 B2
B2 D' B2 L' U2 B2 L2
D2 F2 U2 L D' R F2
L F2 U L U' B2 R'
L2 F2 U' R2 B2 L R'
L2 F2 U' R2 B2 R' L
D2 F2 U2 D' L R F2
D2 F2 U2 D' R L F2
D2 F2 U2 D' R F2 L
D F2 U' L2 U L' R
D F2 U' L2 U R L'
L2 F2 U' B2 R' D2 L2
D2 F2 D B2 R' U2 R2
D F2 D L R D2 B2
D F2 D L D2 R B2
D F2 D L D2 B2 R
D2 F2 D' U2 L R F2
D2 F2 D' U2 R L F2
D2 F2 D' U2 R F2 L
D F2 D R L D2 B2
D F2 D R D2 L B2
D F2 D' L R B2 D
D F2 D' L R B2 D'
D F2 D' L R B2 D2
D F2 D' L R' B2 R2
D F2 D' L B' R B'
D F2 D' L B2 R D
D F2 D' L B2 R D'
D F2 D' L B2 R D2
D F2 D' L B2 D R
D F2 D' L B2 D' R
D F2 D' L B2 D2 R
D F2 D' L' R B2 L2
D F2 D' L' B2 L2 R
D F2 D' L' B2 R L2
D F2 D' L2 R B2 L'
D F2 D' L2 B2 L' R
D F2 D' L2 B2 R L'
D F2 D' R L B2 D
D F2 D' R L B2 D'
D F2 D' R L B2 D2
D F2 D' R L' B2 L2
D F2 D' R L2 B2 L'
D F2 D' R' L B2 R2
D F2 D' B2 R D2 L2
D F2 D2 L D R B2
D F2 D2 L D B2 R
D F2 B2 D' B2 L R
D F2 B2 D' B2 R L
L' B U' L' U' L' B
L' B U' L' U' B L'
L2 B U' L B L2 R'
L2 B U' L B R' L2
L2 B U' L' B R' D
L2 B U' L' B R' D'
L2 B U' L' B R' D2
L2 B U' L' B D R'
L2 B U' L' B D' R'
L2 B U' L' B D2 R'
L2 B U' B L' R' D
L2 B U' B L' R' D'
L2 B U' B L' R' D2
L2 B U' B L' D R'
L2 B U' B L' D' R'
L2 B U' B L' D2 R'
L2 B U' B R' L' D
L2 B U' B R' L' D'
L2 B U' B R' L' D2
L2 B U' B R' D L'
L2 B U' B R' D' L'
L2 B U' B R' D2 L'
L2 B U' B D L' R'
L2 B U' B D R' L'
L2 B U' B D' L' R'
L2 B U' B D' R' L'
L2 B U' B D2 L' R'
L2 B U' B D2 R' L'
L' B2 L D F2 L R
L' B2 L D F2 R L
D' B2 L' R' U' R' U'
D' B2 L' U2 D B2 L
D' B2 L' D R' U2 B2
D' B2 L' D U2 B2 L
D' B2 L' D' R' F2 U2
D' B2 L' D' F2 R' U2
L2 B2 L' R' U L U'
L2 B2 L' U L U' R'
L2 B2 L2 R' D L F2
L2 B2 L2 R' D F2 L
L2 B2 L2 D L R' F2
L2 B2 L2 D L F2 R'
L2 B2 L2 D R' L F2
L2 B2 L2 D R' F2 L
L2 B2 L2 D F2 L R'
L2 B2 L2 D F2 R' L
D' B2 R' L' U' R' U'
L2 B2 R' L' U L U'
L2 B2 R' L2 D L F2
L2 B2 R' L2 D F2 L
U' B2 R2 D F2 L' R
U' B2 R2 D F2 R L'
R' B2 R2 D F2 L' R
R' B2 R2 D F2 R L'
L B2 R D' F2 D' R2
L B2 R D2 R2 D F2
U2 B2 R2 D F2 L' R
U2 B2 R2 D F2 R L'
B2 F2 R D F2 D L2
B2 F2 R D2 L2 D' F2
F2 B2 R D F2 D L2
F2 B2 R D2 L2 D' F2
L B2 R' D2 R2 D' F2
R2 B2 R2 D F2 L' R
R2 B2 R2 D F2 R L'
U B2 R2 D F2 L' R
U B2 R2 D F2 R L'
R B2 R2 D F2 L' R
R B2 R2 D F2 R L'
B2 F2 R2 D F2 L' R'
B2 F2 R2 D F2 R' L'
F2 B2 R2 D F2 L' R'
F2 B2 R2 D F2 R' L'
U' B2 D R2 F2 L' R
U' B2 D R2 F2 R L'
D' B2 D L' R' U2 B2
D' B2 D L' U2 B2 L
R' B2 D R2 F2 L' R
R' B2 D R2 F2 R L'
U' B2 D F2 R D2 L2
D' B2 D R' L' U2 B2
L B2 U' R' U D2 R2
L B2 U' R' U' L2 U2
L B2 U' R' D' B2 U
L B2 U' R' D2 U R2
R' B2 D F2 R D2 L2
L B2 U' D' R' B2 U
L B2 U' D2 R' U R'
D' B2 D' L' R' F2 U2
D' B2 D' L' F2 R' U2
U2 B2 D R2 F2 L' R
U2 B2 D R2 F2 R L'
D' B2 D' R' L' F2 U2
D' B2 D' R' F2 U2 R
L B2 U2 L2 U R' U
U2 B2 D F2 R D2 L2
D' B2 D' F2 R' U2 R2
R2 B2 D R2 F2 L' R
R2 B2 D R2 F2 R L'
R2 B2 D F2 R D2 L2
U B2 D R2 F2 L' R
U B2 D R2 F2 R L'
U B2 D F2 R D2 L2
B2 F2 D R F2 D2 L2
R B2 D R2 F2 L' R
R B2 D R2 F2 R L'
B2 F2 D R2 F2 L' R'
B2 F2 D R2 F2 R' L'
F2 B2 D R F2 D2 L2
L B2 D' R D' R2 F2
L B2 D' R D' F2 R2
F2 B2 D R2 F2 L' R'
F2 B2 D R2 F2 R' L'
R B2 D F2 R D2 L2
L B2 D' U' R' B2 U
B2 F2 D' R D2 L2 F2
B2 F2 D' R D2 F2 L2
F2 B2 D' R D2 L2 F2
F2 B2 D' R D2 F2 L2
L B2 D2 R D' R F2
L B2 D2 R2 U' R U
L B2 D2 U' R' U R'
D B2 F2 D' B2 L R
D B2 F2 D' B2 R L
