F U L R F'
F U R L F'
F U R F' L
U L R F' D R2
R U L F' D R2
U R L F' D R2
F2 R U L F' R
F2 R U F' L R
F2 R U F' R L
F R' U L R2 F'
F R' U R2 L F'
F R' U R2 F' L
F2 U L R F' R
F2 U L F' R F'
F U L R D F'
F U L R D' F'
F U L R D2 F'
F U L R F' D
F U L R F' D'
F U L R F' D2
F U L R F' D2
F U L' R F' L2
F2 U R L F' R
F2 U R F' L R
F2 U R F' R L
F U R L D F'
F U R L D' F'
F U R L D2 F'
F U R L F' D
F U R L F' D'
F U R L F' D2
F U R L' F' L2
F U R D L F'
F U R D F' L
F U R D' L F'
F U R D' F' L
F U R D2 L F'
F U R D2 F' L
F U R F L F2
F U R F' L D
F U R F' L D'
F U R F' L D2
F U R F' D L
F U R F' D' L
F U R F' D2 L
F2 U F' L R F'
F2 U F' R L F'
F2 U F' R F' L
F' U F2 L R F'
F' U F2 R L F'
F' U F2 R F' L
R F U L R F2
R F U R L F2
R F U R F2 L
F U L2 R D2 L' F'
F2 U R L F' R D
F2 U R L F' R D'
F2 U R L F' R D2
F2 U R L F' D R
F2 U R L F' D' R
F2 U R L F' D2 R
F2 U R L' F' L2 R
F2 U R L' F' R L2
F U L2 D2 L' R F
F U L2 D2 R L' F
F' U R F2 R F L
F2 U R F' L R D
F2 U R F' L R D'
F2 U R F' L R D2
F2 U R F' L D R
F2 U R F' L D' R
F2 U R F' L D2 R
F2 U R F' R L D
F2 U R F' R L D'
F2 U R F' R L D2
F2 U R F' R D L
F2 U R F' R D' L
F2 U R F' R D2 L
F2 U R F' D L R
F2 U R F' D R L
F2 U R F' D' L R
F2 U R F' D' R L
F2 U R F' D2 L R
F2 U R F' D2 R L
F' U R' L D2 R2 F'
F U R L D F' D
F U R L D F' D'
F U R L D F' D2
F U R L D' F' D
F U R L D' F' D'
F U R L D' F' D2
F U R L D2 F' D
F U R L D2 F' D'
F U R L D2 F' D2
F U R L F2 D F
F U R L F2 D' F
F U R L F2 D2 F
F U R L' F L2 F2
F U R L' F' L2 D
F U R L' F' L2 D'
F U R L' F' L2 D2
F U R L2 D L' F'
F U R L2 D' L' F'
F U R L2 D2 L' F'
F U R D L D F'
F U R D L D' F'
F U R D L D2 F'
F U R D L F' D
F U R D L F' D'
F U R D L F' D2
F U R D L' F' L2
F U R D F L F2
F U R D F' L D
F U R D F' L D'
F U R D F' L D2
F U R D F' D L
F U R D F' D' L
F U R D F' D2 L
F U R D' L D F'
F U R D' L D' F'
F U R D' L D2 F'
F U R D' L F' D
F U R D' L F' D'
F U R D' L F' D2
F U R D' L' F' L2
F U R D' F L F2
F U R D' F' L D
F U R D' F' L D'
F U R D' F' L D2
F U R D' F' D L
F U R D' F' D' L
F U R D' F' D2 L
F U R D2 L D F'
F U R D2 L D' F'
F U R D2 L D2 F'
F U R D2 L F' D
F U R D2 L F' D'
F U R D2 L F' D2
F U R D2 L' F' L2
F U R D2 F L F2
F U R D2 F' L D
F U R D2 F' L D'
F U R D2 F' L D2
F U R D2 F' D L
F U R D2 F' D' L
F U R D2 F' D2 L
F U R F L F2 D
F U R F L F2 D'
F U R F L F2 D2
F U R F L' F2 L2
F U R F' L2 D L'
F U R F' L2 D' L'
F U R F' L2 D2 L'
F U R F' D L D
F U R F' D L D'
F U R F' D L D2
F U R F' D' L D
F U R F' D' L D'
F U R F' D' L D2
F U R F' D2 L D
F U R F' D2 L D'
F U R F' D2 L D2
F U R F2 D F L
F U R F2 D' F L
F U R F2 D2 F L
F U R' L F R2 F'
F U R' L F' R2 F'
F U R' L F2 R2 F'
F U R' F L R2 F'
F U R' F R2 L F'
F U R' F R2 F' L
F U R' F' L R2 F'
F U R' F' R2 L F'
F U R' F' R2 F' L
F U R' F2 L R2 F'
F U R' F2 R2 L F'
F U R' F2 R2 F' L
F U R2 L D R' F'
F U R2 L D' R' F'
F U R2 L D2 R' F'
F U R2 L F R' F'
F U R2 L F' R' F'
F U R2 L F2 R' F'
F U R2 D L R' F'
F U R2 D R' L F'
F U R2 D R' F' L
F U R2 D' L R' F'
F U R2 D' R' L F'
F U R2 D' R' F' L
F U R2 D2 L R' F'
F U R2 D2 R' L F'
F U R2 D2 R' F' L
F U R2 F L R' F'
F U R2 F R' L F'
F U R2 F R' F' L
F U R2 F' L R' F'
F U R2 F' R' L F'
F U R2 F' R' F' L
F U R2 F2 L R' F'
F U R2 F2 R' L F'
F U R2 F2 R' F' L
F U D L D' R F'
F U D' L D R F'
F' U F L F R F'
F U D2 L' R F L2
F U D2 R L' F L2
F' U F' L R F' R
F' U F' L F' R F'
F' U F' R L F' R
F U F L R F' R
F' U F' R F' L R
F' U F' R F' R L
F U F L F' R F'
F2 U F' L R D F'
F2 U F' L R D' F'
F2 U F' L R D2 F'
F2 U F' L R F' D
F2 U F' L R F' D'
F2 U F' L R F' D2
F2 U F' L' R F' L2
F U F R L F' R
F U F R F' L R
F U F R F' R L
F2 U F' R L D F'
F2 U F' R L D' F'
F2 U F' R L D2 F'
F2 U F' R L F' D
F2 U F' R L F' D'
F2 U F' R L F' D2
F2 U F' R L' F' L2
F2 U F' R D L F'
F2 U F' R D F' L
F2 U F' R D' L F'
F2 U F' R D' F' L
F2 U F' R D2 L F'
F2 U F' R D2 F' L
F2 U F' R F L F2
F2 U F' R F' L D
F2 U F' R F' L D'
F2 U F' R F' L D2
F2 U F' R F' D L
F2 U F' R F' D' L
F2 U F' R F' D2 L
F' U F2 L R D F'
F' U F2 L R D' F'
F' U F2 L R D2 F'
F' U F2 L R F' D
F' U F2 L R F' D'
F' U F2 L R F' D2
F' U F2 L' R F' L2
F' U F2 R L D F'
F' U F2 R L D' F'
F' U F2 R L D2 F'
F' U F2 R L F' D
F' U F2 R L F' D'
F' U F2 R L F' D2
F' U F2 R L' F' L2
F' U F2 R D L F'
F' U F2 R D F' L
F' U F2 R D' L F'
F' U F2 R D' F' L
F' U F2 R D2 L F'
F' U F2 R D2 F' L
F' U F2 R F L F2
F' U F2 R F' L D
F' U F2 R F' L D'
F' U F2 R F' L D2
F' U F2 R F' D L
F' U F2 R F' D' L
F' U F2 R F' D2 L
F U F' L F R F'
F2 U F2 L F R F'
F U B R F' B' L
F U B R B' L F'
F U B R B' F' L
U D' L U F L' U'
R D' U L F' D R2
F' U' L' R U2 L2 F'
F' U' L' R U2 F' L2
F' U' L' R' B U2 L2
F U' L' R F' L2 B'
F U' L' U2 L2 R F'
F U' L' U2 R L2 F'
F U' L' U2 R F' L2
R D' F U L R F2
R D' F U R L F2
R D' F U R F2 L
F' U' R L' U2 L2 F'
F' U' R L' U2 F' L2
F2 U' R U2 L F' R
F2 U' R U2 F' L R
F2 U' R U2 F' R L
F U' L2 U2 L' R F'
F U' L2 U2 R L' F'
F' U' R' L' B U2 L2
F U' R L' F' L2 B'
B2 U' R' B U' F' U'
F U' R F' L2 B' L'
F U' R' U2 L R2 F'
F U' R' U2 R2 L F'
F U' R' U2 R2 F' L
F U' R2 U2 L R' F
F U' R2 U2 L F R'
F U' R2 U2 R' L F
L2 D' B2 D' L' F R
F' U' D2 L' U2 F L2
L2 D2 L' D F R B2
L2 D2 L' D F B2 R
L2 D2 L' D B2 F R
L2 D2 L' F D R B2
L2 D2 L' F D B2 R
F' U' B2 L' R' B U2
F' U' B2 R' L' B U2
F' U' B2 R' B L' U2
F U' B' U2 R F' L'
R D2 U L F' D R2
F U' B2 R' U2 R2 F'
F U' B2 R' B U2 R2
L D2 U' L' U F R
F U2 L' U' L2 R F'
F U2 L' U' R L2 F'
F U2 L' U' R F' L2
R D2 F U L R F2
R D2 F U R L F2
R D2 F U R F2 L
F U2 L2 U' L' R F'
F U2 L2 U' R L' F'
L' F L U L R F'
L' F L U R L F'
L' F L U R F' L
U F L R F' D R2
F2 U2 F' U' L R F'
F2 U2 F' U' R L F'
F2 U2 F' U' R F' L
L2 F R D' F' L' B2
L2 F R D' F' B2 L'
F' U2 F2 U' L R F'
L2 F R D' B2 F' L'
F' U2 F2 U' R L F'
F' U2 F2 U' R F' L
L2 F R F' D' L' B2
L2 F R F' D' B2 L'
U F R L F' D R2
R' F R2 U L F' R'
R' F R2 U F' L R'
R' F R2 U F' R' L
R2 F R' U L F' R2
R2 F R' U F' L R2
R2 F R' U F' R2 L
L F R F' U' L' U
R' F U L R2 F' R'
D' F U L R D F2
D' F U L D R F2
D2 F U L' R F L2
D' F U R L D F2
R F R' U L R2 F2
R F R' U L F2 R2
R F R' U R2 L F2
R F R' U R2 F2 L
R F R' U F2 L R2
R F R' U F2 R2 L
D2 F U R L' F L2
R' F U R2 L F' R'
R' F U R2 F' L R'
R' F U R2 F' R' L
D2 F U D2 L R F'
D2 F U D2 R L F'
D2 F U D2 R F' L
R F R2 U L R' F2
R F R2 U L F2 R'
R F R2 U R' L F2
R F R2 U R' F2 L
R F R2 U F2 L R'
R F R2 U F2 R' L
D F U L D' R F'
D F U D' L R F'
D F U D' R L F'
D F U D' R F' L
R F U L R F2 D
R F U L R F2 D'
R F U L R F2 D2
R F U L R' F2 R2
R F U L R2 F2 R'
D' F U2 L' U' L2 R
D' F U2 L' U' R L2
R F U L' R F2 L2
R F U R L F2 D
R F U R L F2 D'
R F U R L F2 D2
R F U R L' F2 L2
R F U R F' L F'
R F U R F2 L D
R F U R F2 L D'
R F U R F2 L D2
R F U R F2 D L
R F U R F2 D' L
R F U R F2 D2 L
R F U R' L F2 R2
R F U R' F2 L R2
R F U R' F2 R2 L
R F U R2 L F2 R'
R F U R2 F2 L R'
R F U R2 F2 R' L
R F U F2 L D2 R2
R F D R2 U L R'
D2 F D2 U L R F'
R F D R2 U R' L
D2 F D2 U R L F'
D2 F D2 U R F' L
D F D' U L R F'
D F D' U R L F'
D F D' U R F' L
F D U L D' R F'
U F' L R F' D R2
D' F' R U L D2 R2
D' F' R U' L' U2 L2
D' F' R F2 U L R
D' F' R F2 U R L
R F' L2 D' B2 L' R'
R F' L2 D' B2 R' L'
U F' R L F' D R2
R' F' U L D2 R2 F'
R' F' U' L' B U2 L2
D2 F' U' L' U2 F L2
F D' U L D R F'
U F2 L R F' D R2
F' D' F2 U L R F
F' D' F2 U R L F
U F2 R L F' D R2
R' F2 R2 U L F' R
R' F2 R2 U F' L R
R' F2 R2 U F' R L
R2 F2 R' U L F' R
R2 F2 R' U F' L R
R2 F2 R' U F' R L
R' F2 U L R2 F' R
D' F2 U L F' R F2
R' F2 U R2 L F' R
R' F2 U R2 F' L R
R' F2 U R2 F' R L
D' F2 U F' L R F
D' F2 U F' R L F
D' F2 U F2 L F R
L F2 U R U' F' R
R F2 U F L D2 R2
R F2 U F' L R F2
R F2 U F' R L F2
R F2 U F' R F2 L
F' D2 U' L' U2 F L2
F D2 U L' R F L2
F D2 U R L' F L2
B D2 F U L' R F
B D2 F U R L' F
B2 F U R D2 L2 F'
B2 F U R D2 F' L2
B2 F U R F' D2 L2
B2 F U' R' U2 R2 F'
B2 F U' R' B U2 R2
B2 F' U' L' R' B U2
B2 F' U' R' L' B U2
B2 F' U' R' B L' U2
U' B2 R' B U' F' U'
U2 B2 U R' B U2 R'
F' B2 U' L' R' B U2
F' B2 U' R' L' B U2
F' B2 U' R' B L' U2
F B2 U R D2 L2 F'
F B2 U R D2 F' L2
F B2 U R F' D2 L2
F B2 U' R' U2 R2 F'
F B2 U' R' B U2 R2
