F' U2 D F' R B'
F' U2 D F' B' R
F' U2 D B' F' R
B2 U2 F2 D' B R'
F' U2 B' D F' R
F' D U2 F' R B'
F' D U2 F' B' R
F' D U2 B' F' R
U2 F' D F' R B'
U2 F' D F' B' R
U2 F' D B' F' R
U2 F' B' D F' R
U2 F2 D' B R' B2
U2 F2 B2 D' B R'
U2 B' F' D F' R
D2 B2 U2 D B R'
D2 B2 D U2 B R'
U2 B2 F2 D' B R'
R' F' D F' R B' L'
R' F' D F' B' L' R
R' F' D F' B' R L'
R' F' D B' F' L' R
R' F' D B' F' R L'
D F' U2 D' R F2 B'
D F' U2 D' R B' F2
D F' U2 D' B' R F2
D F' U2 B' D' R F2
U2 F' D F' R D B'
U2 F' D F' R D' B'
U2 F' D F' R D2 B'
U2 F' D F' R B' D
U2 F' D F' R B' D'
U2 F' D F' R B' D2
U2 F' D F' R' B' R2
U2 F' D F' D R B'
U2 F' D F' D B' R
U2 F' D F' D' R B'
U2 F' D F' D' B' R
U2 F' D F' D2 R B'
U2 F' D F' D2 B' R
U2 F' D F' B R B2
U2 F' D F' B' R D
U2 F' D F' B' R D'
U2 F' D F' B' R D2
U2 F' D F' B' D R
U2 F' D F' B' D' R
U2 F' D F' B' D2 R
U2 F' D B F' R B2
U2 F' D B' F' R D
U2 F' D B' F' R D'
U2 F' D B' F' R D2
U2 F' D B' F' D R
U2 F' D B' F' D' R
U2 F' D B' F' D2 R
D F' D B2 U2 B R
U2 F' D' F' B R' B2
U2 F' D' B F' R' B2
D F' D' U2 R F2 B'
D F' D' U2 R B' F2
F D' L2 F B' L U2
D F' D' U2 B' R F2
F D' L2 B' F L U2
U2 F' D2 B' D' F' R
R' F' B' D F' L' R
R' F' B' D F' R L'
F2 D' R2 B R' B2 L
D2 F' B2 U2 D B R'
U2 F' B' D F' R D
U2 F' B' D F' R D'
U2 F' B' D F' R D2
U2 F' B' D F' D R
U2 F' B' D F' D' R
U2 F' B' D F' D2 R
D2 F' B2 D U2 B R'
B2 D' U' L2 U' B R'
U2 F' B2 D F' B R
U2 F' B2 D B F' R
U2 F' B2 D' F' B R'
U2 F' B2 D' B F' R'
F' D' U2 F' B R' B2
F' D' U2 B F' R' B2
B2 D' U2 B R' D F2
B2 D' U2 B D R' F2
B2 D' U2 B D F2 R'
F D' U2 F B R' B2
F D' U2 B R' F B2
F D' U2 B R' B2 F
F D' U2 B F R' B2
U2 F2 R D' B R' B2
U2 F2 R B2 D' B R'
B2 D' B R' D F2 L'
U2 F2 R' D' B R' B2
F' D' B U2 F' R' B2
F2 D' B R B2 L R2
F2 D' B R B2 R2 L
B2 D' B D R' F2 L'
U2 F2 R' B2 D' B R'
U2 F2 R2 D' B R' B2
F2 D' B' U2 L U2 L'
U2 F2 R2 B2 D' B R'
F D' B U2 R' F B2
F D' B U2 R' B2 F
F D' B U2 F R' B2
D F2 U R2 U B' R'
F D' B2 U2 F B R
F D' B2 U2 B F R
D F2 U2 D' F2 B' R'
D F2 U2 D' B' R' F2
D F2 U2 D' B' F2 R'
D F2 U2 B' D' R' F2
D F2 U2 B' D' F2 R'
U2 F2 D F' R F B'
U2 F2 D F' R B' F
U2 F2 D F' B' R F
R' F2 D' B L' R' B2
U2 F2 D B' F' R F
R' F2 D' B R' L' B2
R' F2 D' B R' B2 L'
R' F2 D' B' L' D2 R2
U2 F2 D B2 D2 B R'
U2 F2 D' R B R' B2
U2 F2 D' R' B R' B2
U2 F2 D' R2 B R' B2
U2 F2 D' B R B2 R2
U2 F2 D' B R' B2 D
U2 F2 D' B R' B2 D'
U2 F2 D' B R' B2 D2
U2 F2 D' B R2 B2 R
U2 F2 D' B' U2 L U2
D F2 D' U2 F2 B' R'
D F2 D' U2 B' R' F2
D F2 D' U2 B' F2 R'
U2 F2 D2 R' B' D' R2
U2 F2 D2 B2 D B R'
R' F2 B' L' U F U'
U F2 D' B L2 R' B2
U F2 D' B R' L2 B2
U F2 D' B R' B2 L2
D2 F2 B2 U2 D B R'
R' F2 B2 D' L' B R'
U2 F2 B' D F' R F
D2 F2 B2 D U2 B R'
R' F2 B2 D' B L' R'
R' F2 B2 D' B R' L'
U2 F2 B' D' B R' B'
U2 F2 B2 D' B R' D
U2 F2 B2 D' B R' D'
U2 F2 B2 D' B R' D2
U2 F2 B2 D' B D R'
U2 F2 B2 D' B D' R'
U2 F2 B2 D' B D2 R'
F' D2 U2 B' D' F' R
R F2 B2 L B D' R2
U F2 B2 D' L2 B R'
U F2 B2 D' B L2 R'
U F2 B2 D' B R' L2
R F2 B2 D' L B R'
U B L B' U F2 B'
U B L B' U B' F2
D' B R' B2 D F2 L'
D' B U' L2 U' R' B2
D' B U2 R' B2 D F2
B2 F U2 D' F B R'
B2 F U2 D' B R' F
B2 F U2 D' B F R'
B2 F U2 F D' B R'
F' B U2 B2 D F' R
U B' L B' U F2 B
U B' L B' U B F2
B2 F D' U2 F B R'
B2 F D' U2 B R' F
B2 F D' U2 B F R'
U2 B' R F' D F' R
U2 B' R' F' D F' R
U2 B' R2 F' D F' R
U2 B' U L' F U' F
D2 B' D B' L U2 B
D' B' D' L B2 U2 B2
U2 B' D F D' F2 R
U2 B' D F' D' R F2
D' B' D' B2 U2 R' B2
R' B' F' D F' L' R
R' B' F' D F' R L'
U2 B' F D F' R F2
R' B' F2 L' U F U'
B2 F' U2 D F' B R
B2 F' U2 D B F' R
B2 F' U2 D' F' B R'
B2 F' U2 D' B F' R'
B2 F' U2 F' D' B R'
B2 F' U2 B D F' R
U2 B' F' D F' R D
U2 B' F' D F' R D'
U2 B' F' D F' R D2
U2 B' F' D F' D R
U2 B' F' D F' D' R
U2 B' F' D F' D2 R
D2 B2 L U2 D B R'
D2 B2 L D U2 B R'
B2 F' D U2 F' B R
B2 F' D U2 B F' R
U2 B' F2 D F' R F
U2 B' F2 D' B R' B'
B F' U2 B2 D F' R
D2 B2 L' U2 D B R'
D2 B2 L' D U2 B R'
B2 F' D' U2 F' B R'
B2 F' D' U2 B F' R'
D2 B2 L2 U2 D B R'
D2 B2 L2 D U2 B R'
U B2 L B' U F2 B2
U B2 L B' U B2 F2
R B2 L F2 B D' R2
R B2 L B F2 D' R2
D2 B2 U2 D B R' D
D2 B2 U2 D B R' D'
D2 B2 U2 D B R' D2
D2 B2 U2 D B D R'
D2 B2 U2 D B D' R'
D2 B2 U2 D B D2 R'
D2 B2 D L U2 B R'
D2 B2 D L' U2 B R'
D2 B2 D L2 U2 B R'
L B2 U B L U F2
U B2 U F2 D' B R'
D2 B2 D U2 B R' D
D2 B2 D U2 B R' D'
D2 B2 D U2 B R' D2
D2 B2 D U2 B D R'
D2 B2 D U2 B D' R'
D2 B2 D U2 B D2 R'
D2 B2 D F U2 B R'
D2 B2 D F' U2 B R'
D2 B2 D F2 U2 B R'
D2 B2 D' F L' U2 B
D2 B2 D' F' U2 B R
F' B2 U2 D F' B R
F' B2 U2 D B F' R
F' B2 U2 D' F' B R'
F' B2 U2 D' B F' R'
F' B2 U2 F' D' B R'
F' B2 U2 B D F' R
U2 B2 D' B R' D F2
U2 B2 D' B D R' F2
U2 B2 D' B D F2 R'
F' B2 D U2 F' B R
F' B2 D U2 B F' R
D2 B2 F U2 D B R'
D2 B2 F D U2 B R'
F B2 U2 D' F B R'
F B2 U2 D' B R' F
F B2 U2 D' B F R'
F B2 U2 F D' B R'
D2 B2 F' U2 D B R'
F' B2 D' U2 F' B R'
F' B2 D' U2 B F' R'
D2 B2 F' D U2 B R'
U2 B2 F D' F B R'
U2 B2 F D' B R' F
U2 B2 F D' B F R'
D2 B2 F2 U2 D B R'
D2 B2 F2 D U2 B R'
R' B2 F2 D' L' B R'
R' B2 F2 D' B L' R'
R' B2 F2 D' B R' L'
U2 B2 F' D F' B R
U2 B2 F' D B F' R
U2 B2 F' D' F' B R'
U2 B2 F' D' B F' R'
F B2 D' U2 F B R'
F B2 D' U2 B R' F
F B2 D' U2 B F R'
U2 B2 F2 D' B R' D
U2 B2 F2 D' B R' D'
U2 B2 F2 D' B R' D2
U2 B2 F2 D' B D R'
U2 B2 F2 D' B D' R'
U2 B2 F2 D' B D2 R'
R B2 F2 L B D' R2
U B2 F2 D' L2 B R'
U B2 F2 D' B L2 R'
U B2 F2 D' B R' L2
R B2 F2 D' L B R'
