F2 L D B' L2 U'
F2 L D2 B' U' F2
F2 L B' L2 U' F
F2 L B' U B' U2
F2 L' D L2 B' U'
D L2 F U' L' R2
D L2 F U' R2 L'
D L2 F U' R2 L'
B' L2 F2 U' F' L'
L' D L2 B' U' R2
L D B' L2 U' R2
D F L2 U' L R2
D F L2 U' R2 L
F D F L2 U' L
L F2 D B' L2 U'
L F2 D2 B' U' F2
L F2 B' L2 U' F
L F2 B' U B' U2
L B' L2 F2 U' F'
L B' F2 L2 U' F
L B' F2 U B' U2
L F2 B' U B' U2 D
L F2 B' U B' U2 D'
L F2 B' U B' U2 D2
L F2 B' U B' D U2
L F2 B' U B' D' U2
L F2 B' U B' D2 U2
L F2 B' U' L2 F L2
F2 D2 U' F D' F L'
L F2 B' D L2 U' F
L F2 B' D U B' U2
L F2 B' D' L2 U' F
L F2 B' D' U B' U2
L F2 B' D2 L2 U' F
L F2 B' D2 U B' U2
F2 D2 U2 R F' U F'
F D2 F U' D' F L'
D B L2 F U' L' R2
D B L2 F U' R2 L'
F D2 F D' U' F L'
L2 B U' D R2 F' L'
F2 B L B' U B2 U2
F2 B L B' U' D2 F2
F2 B L B' D L2 U'
F2 B L B' D2 U' F2
L B U' D L2 R2 F'
L B U' D R2 L2 F'
L B U' D R2 F' L2
F2 B L2 U B U2 L
L2 B D U' R2 F' L'
L B D U' L2 R2 F'
L B D U' R2 L2 F'
L B D U' R2 F' L2
U B D' L2 B R' U2
U B D' B L2 R' U2
U B D' B R' L2 U2
D B F L2 U' L R2
D B F L2 U' R2 L
F2 B U D' B R' U2
L2 B F2 U B U2 L
L B' L F2 L U' F
L' B' L2 F2 B' U' F'
L' B' L2 B' F2 U' F'
L B' L' F2 L' U' F
F2 B D' U B R' U2
D B' L2 F U' L' R2
D B' L2 F U' R2 L'
L B' L2 U' D R2 F
L B' L2 U' D F R2
L B' L2 D U' R2 F
L B' L2 D U' F R2
L B' L2 F2 L U' F'
L B' L2 F2 L' U' F'
L B' L2 F2 L2 U' F'
L B' L2 F2 U' D F'
L B' L2 F2 U' D' F'
L B' L2 F2 U' D2 F'
L B' L2 F2 U' F' D
L B' L2 F2 U' F' D'
L B' L2 F2 U' F' D2
L B' L2 F2 D U' F'
L B' L2 F2 D' U' F'
L B' L2 F2 D2 U' F'
F2 B' L B' L U' F
F2 B' L2 U' F' L' F2
L B' U D B' U2 R2
L B' U D' L2 U2 F
L B' U D' B' L2 U2
L B' U B' U' F2 U'
L B' U B' U2 D R2
L B' U B' D U2 R2
L B' U B' D' L2 U2
D2 B' D' L2 F U' L'
D' B' D2 L2 U' L' R2
D' B' D2 L2 U' R2 L'
L B' D L2 U' R2 F
L B' D L2 U' F R2
L B' D U B' U2 R2
F2 B' U D' B' U2 L
L B' D' U L2 U2 F
L B' D' U B' L2 U2
F2 B' U' D L2 F L'
U B' D' B' L2 U2 L'
D B' F L2 U' L R2
D B' F L2 U' R2 L
F2 B' D L2 U' F L'
L2 B' F2 U B' R' U2
F2 B' D U' L2 F L'
L B' F' L2 F' U' F2
L B' F2 L2 U' D F
L B' F2 L2 U' D' F
L B' F2 L2 U' D2 F
L B' F2 L2 U' F D
L B' F2 L2 U' F D'
L B' F2 L2 U' F D2
L B' F2 L2 D U' F
L B' F2 L2 D' U' F
L B' F2 L2 D2 U' F
F2 B' D' U B' U2 L
L B' F2 U D B' U2
L B' F2 U D' B' U2
L B' F2 U D2 B' U2
L B' F2 U B' U2 D
L B' F2 U B' U2 D'
L B' F2 U B' U2 D2
L B' F2 U B' D U2
L B' F2 U B' D' U2
L B' F2 U B' D2 U2
L B' F2 U' L2 F L2
L B' F2 D L2 U' F
L B' F2 D U B' U2
L B' F2 D' L2 U' F
L B' F2 D' U B' U2
L B' F2 D2 L2 U' F
L B' F2 D2 U B' U2
U B2 L U' F2 B' U'
U B2 L U' B' F2 U'
B' F2 L B' L U' F
B2 F2 L B' U B U2
F2 B2 L B' U B U2
D B2 L2 F U' L' R2
D B2 L2 F U' R2 L'
B2 F2 L' U2 F U F'
F2 B2 L' U2 F U F'
B' F2 L2 U' F' L' F2
B F2 L B' U B2 U2
B F2 L B' U' D2 F2
B F2 L B' D L2 U'
B F2 L B' D2 U' F2
B F2 L2 U B U2 L
B' F2 U D' B' U2 L
B' F2 U' D L2 F L'
L B2 U' F2 B U' B'
L B2 U' B F2 U' B'
B F2 U D' B R' U2
B' F2 D L2 U' F L'
B' F2 D U' L2 F L'
B' F2 D' U B' U2 L
D B2 F L2 U' L R2
D B2 F L2 U' R2 L
L' B2 F2 U2 F' U F
B F2 D' U B R' U2
